ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Field_10_1_0_48480_005,Field_10_1_0_48776_006
"Fish Up Items in the Dragon Isles While ""Looking"" Good","You ""look"" good when you wear Onyx Glare-Reducers or the Craftman's Monocle.",122,142063,50,0,0
"Craft Items While ""Looking"" Good","You ""look"" good when you wear Onyx Glare-Reducers or the Craftman's Monocle.",123,142065,50,0,0
Change the Appearance of your Grand Hunt Companion,Speak to a Grand Hunt Trainer on the Dragon Isles to change the appearance of your companion.,126,142080,20,0,0
Discover the Hidden Gem Clusters of the Dragon Isles,,127,142082,50,0,0
Feast on Soup While Lookin' Good,Feast on the Community Soup in Iskaara on the Dragon Isles while lookin' good.,143,142261,50,0,0
Show Some Love to the Trading Post,Emote /love at the Trading Post merchants and their wares.,144,142268,50,0,0
Harpoon a Lunker with 5 Friends,"In the Dragon Isles, use a harpoon with 5 other players to catch a lunker.",146,142297,50,0,0
Fulfill Public Crafting Orders,Speak to a Crafting Orders Clerk in Valdrakken's Artisan's Market to access Crafting Orders.,147,142299,100,0,0
Defeat bosses during the Storm's Fury event,The Storms Fury event can be found on the Dragon Isles in the Primalist Future.,150,142527,100,0,0
[DNT] Test: Noblegarden: Complete a Dragonflight Dungeon in a Spring Circlet,"[DNT]  Test: From 4/10 - 4/17, complete a Dragonflight dungeon wearing any Spring Circlet.",184,144640,150,0,0
Defeat Storm Pet Event Bosses with Elemental Pets,Defeat storm pet event bosses with a lineup of at least 2 elemental pets.,189,146075,200,0,0
Loot Suffusion Crucibles at the Suffusion Camps,Loot Suffusion Crucibles at the Suffusion Camps during the Fyrakk Assaults.,248,145855,100,0,0
Discover the Ancient Stones in the Zaralek Caverns,,249,145857,100,0,0
Gather Titan Parts,Gather Titan Parts during the Researchers Under Fire: Titan Lockdown Event,250,145862,100,0,0
Defeat Creatures during the Researchers Under Fire Event,,253,145988,100,0,0
Midsummer Fire Festival: /bow at a Scorchling,From 6/21 - 6/30 emote /bow at a Summer Scorchling or a Festival Scorchling.,256,146088,50,0,0
