ID,ContainerName_lang,ContainerDescription_lang,MinAmount,MaxAmount,ContainerIconID,ContainerQuality,OnLootSpellVisualKitID,CurrencyTypeID
174,用爪子刻写的感谢信,和宗主艾莉奥瑟的友谊提高%d点。,1,1000000,442743,3,0,1851
175,狩猎队长发出的感谢信,和狩猎队长柯莱恩的友谊提高%d点。,1,1000000,237247,3,0,1852
176,充满魔力的感谢字条,和月莓女勋爵的友谊提高%d点。,1,1000000,237249,3,0,1853
182,经验值加成,大幅度提高玩家的经验值。,1,9999999,1001982,3,0,1877
183,缝合大师奖章,在缝合大师中的声望提高%d点。,1,1000000,3622121,3,0,1878
184,罪碑研究,在宣罪者中的声望提高%d点。,1,1000000,1506458,3,0,1884
185,噬渊生存专家的徽章,在威·娜莉处的声望提高%d点。,1,1000000,1362656,3,0,1880
186,死亡先锋军奖章,在死亡先锋军中的声望提高%d点。,1,1000000,4064729,3,0,1907
188,档案员卷宗册,档案员卷宗的进度提高%d点。,1,1000000,442732,3,0,1997
189,开悟者奖章,在开悟者中的声望提高%d点。,1,1000000,4226232,3,0,1982
190,巨龙群岛补给箱,含有%d份宝贵的物资，可以和巨龙群岛的各个阵营进行交易。,25,0,1518638,3,0,2003
191,伊斯卡拉海象人奖章,在伊斯卡拉海象人中的声望提高%d点。,1,1000000,4687629,3,0,2109
192,龙鳞探险队奖章,在龙鳞探险队中的声望提高%d点。,1,1000000,4687628,3,0,2031
193,瓦德拉肯联军奖章,在瓦德拉肯联军中的声望提高%d点。,1,1000000,4687630,3,0,2106
194,马鲁克半人马奖章,在马鲁克半人马中的声望提高%d点。,1,1000000,4687627,3,0,2108
195,钴蓝集所强效奥能,在钴蓝集所中的声望提高%d点。,26,1000000,132860,3,0,2134
196,钴蓝集所中效奥能,在钴蓝集所中的声望提高%d点。,10,25,132841,2,0,2134
197,钴蓝集所弱效奥能,在钴蓝集所中的声望提高%d点。,1,9,237551,1,0,2134
198,峈姆鼹鼠人奖章,在峈姆鼹鼠人中的声望提高%d点。,1,1000000,5140835,3,0,2420
199,索莉多米奖章,在索莉多米处的声望提高%d点。,1,1000000,922527,3,0,2645
