ID,Description_lang,OrderIndex,ProfTraitTreeID
93,制作青纹和时序布护甲，它们都有独特的套装加成。,0,162
94,制作命缚皮甲。,0,126
95,制作采矿和锻造工具。,1,102
96,制作原始熔火武器。,0,102
97,制作抄写员的明灿羽毛笔。,0,148
98,制作多层勋章镶嵌底座，用来给项链添加插槽。,0,131
99,制作生机荒布护甲。,0,164
100,制作好玩的幻影物品，为大家的生活增添乐趣。,2,245
101,制作更安全的炸弹，可供所有玩家使用。,3,204
102,制作气阀灵魂吸入器，这是一种很重要的装置，可以收集关键材料。,3,207
103,发现玄秘物品，可以分解为材料和活力元素。,0,244
104,在拆解稀有布料时发现活力元素。,0,161
105,在骑乘坐骑的状态下采集草药。,0,235
106,从元素矿脉采集更多的活力元素。,1,213
107,从元素草药采集更多的活力元素。,1,234
108,在骑乘坐骑的状态下采集矿脉。,0,211
109,打碎觉醒元素，从而获得暂时的战斗和制作加成。,3,244
110,附魔材料碎裂为较低稀有度的同类材料。,2,244
111,撰写巨龙论述，可以使读者增加专业知识。,3,176
112,精通强化石的制作，比如原始磨刀石和原始平衡石。,2,103
113,精通有套装加成的装备的制作。,1,134
114,精通墨水的制作，这是铭文师的主要材料。,2,147
115,精通制作魔法强化的布甲。,2,162
116,精通专业配饰和鼓的制作。,2,135
117,精通基础材料、附加材料和成品材料的制作。,1,59
118,把材料研磨为颜料时，提高你的制作技能和效率。,1,147
119,制作护甲片和材料时，提高你的制作技能。,1,135
120,你每进行一次采矿，过载元素采矿点的冷却时间就会缩短。,0,213
121,你每采集一次，过载元素草药的冷却时间就会缩短。,0,234
122,提升你对炸弹的处理能力，降低部署炸弹时发生可怕的走火的几率。,2,204
123,降低开采元素矿脉时的负面副作用。,2,213
124,降低采集元素草药时的负面副作用。,2,234
125,将你的较低品质的草药精制为较高品质。,1,236
126,将你的较低品质的矿石精制为较高品质。,1,212
127,将你的较低品质的材料精制为较高品质。,1,143
128,提升装置的可靠性，降低部署时发生故障的几率。,3,206
129,在采矿时，偶尔可以发现稀有宝石或无限钻石。,1,211
130,制作瓶剂时，提升你的产能属性和产能的效果。,2,84
131,提高大量制作药水的能力。,2,58
132,专精于制作远程武器的瞄准镜和弹药。,2,205
