ID,Name_lang,Description_lang,DescriptionShort_lang,Icon,Order,ChrRacesID
253,唤引圣林,"在目标区域制造一片圣光之林，可以每3秒为你和一位受伤的盟友恢生命值。

在圣光之林中对敌人施放审判时，有几率不会触发冷却时间。",,135931,0,17
254,暗影之门,扭曲暗影，出现在目标位置。,,134430,0,18
255,灰烬日落,"将圣光吸入体内，从附近的敌人身上吸收生命值并恢复自己。

吸收至少一名敌人会使你的下一个技能必定爆击。",,461857,0,18
490,影遁,可以遁入阴影中。,可以遁入阴影中,132089,0,4
491,迅捷,更难被击中。,更难被击中,132279,1,4
492,精灵之魂,死后变成小精灵形态，移动速度加快。,死后移动速度提高,136116,2,4
493,自然抗性,对自然伤害有抗性。,对自然伤害有抗性,136094,3,4
494,难觅行踪,潜行时移动速度加快。,潜行时移动速度加快,132280,4,4
495,艾露恩之触,夜晚提高攻击速度；白天提高爆击几率。,夜晚提高攻击速度；白天提高爆击几率,135900,5,4
496,逃命专家,可挣脱各种减速效果的影响。,可挣脱各种减速效果的影响,132309,0,7
497,开阔思维,提高资源上限。,提高资源上限,132864,1,7
498,奥术抗性,对奥术伤害有抗性。,对奥术伤害有抗性,136116,2,7
499,工程学专精,提高工程学技能。,提高工程学技能,134063,3,7
500,心灵手巧,提高攻击速度。,提高攻击速度,135641,4,7
501,宝石切割,珠宝加工技能提高。,珠宝加工技能提高,135998,0,11
502,纳鲁的赐福,可以持续治疗自己或其他人。,可以持续治疗自己或其他人,135923,1,11
503,英雄灵气,提高敏捷、智力和力量。,提高敏捷、智力和力量,133123,2,11
504,暗影抗性,对暗影伤害有抗性。,对暗影伤害有抗性,136152,3,11
505,疾步夜行,每隔一段时间能够提高移动速度。,每隔一段时间能够提高移动速度,366937,0,22
506,恶意,爆击几率提高。,爆击几率提高,132203,1,22
507,畸变,对自然和暗影伤害有抗性。,对自然和暗影伤害有抗性,136121,2,22
508,剥皮专家,提高剥皮技能，剥皮速度加快。,提高剥皮技能，剥皮速度加快,132140,3,22
509,震山掌,点穴掌法能使敌人陷入沉睡。,点穴掌法能使敌人陷入沉睡,572035,0,24
510,平常心,在平常心的驱使下，休息获得的经验奖励可以翻倍。,你休息后的经验值奖励时间将是平时的两倍,572034,1,24
511,美食家,进食充分获得的增益效果提高。,进食充分获得的增益效果提高,571692,2,24
512,食神,提高烹饪技能。,提高烹饪技能,571693,3,24
513,弹力轻功,弹力轻功可以降低坠落伤害。,高处坠落伤害降低,572033,4,24
514,血性狂怒,可狂暴，提高攻击力。,可狂暴，提高攻击力,135726,0,2
515,坚韧,对昏迷效果有更高的抵抗能力。,对昏迷效果有更高的抵抗能力,133125,1,2
516,命令,提高宠物的伤害。,提高宠物的伤害,132366,2,2
517,战争践踏,可以践踏并震昏周围的敌人。,可以践踏并震昏周围的敌人,132368,0,6
518,耐久,提高耐力。,提高耐力,136112,1,6
519,栽培,提高草药学技能，采集速度加快。,提高草药学技能，采集速度加快,133938,2,6
520,自然抗性,对自然伤害有抗性。,对自然伤害有抗性,136094,3,6
521,健硕,提高爆击效果。,提高爆击效果,134174,4,6
522,狂暴,狂暴，提高攻击施法速度。,狂暴，提高攻击施法速度,135727,0,8
523,再生,提高回复速度。,提高回复速度,136077,1,8
524,野兽杀手,提高消灭野兽时所获得的经验值。,提高消灭野兽时所获得的经验值,134357,2,8
525,巫毒步,缩短诱捕效果的持续时间。,缩短诱捕效果的持续时间,134231,3,8
526,奥术亲和,附魔技能提高。,附魔技能提高,132876,0,10
527,奥术洪流,可以恢复战斗资源、如法力值或者能量。,可以恢复战斗资源、如法力值或者能量,136222,1,10
528,奥术洪流,可以驱散附近敌人的增益效果。,驱散附近敌人的增益效果,136222,2,10
529,奥术抗性,对奥术伤害有抗性。,对奥术伤害有抗性,136120,3,10
530,火箭跳,能够向前使用火箭跳。,能够向前使用火箭跳,370769,0,9
531,火箭弹幕,能够向敌人发射火箭。,能够向敌人发射火箭,133032,1,9
532,哪里都有好买卖,享受商人折扣。,享受商人折扣,369760,2,9
533,呼叫大胖,每隔一段时间可以召唤一个私人银行。,召唤私人银行,370211,3,9
534,时间就是金钱,急速提高。,急速提高,369214,4,9
535,化学让生活更美好,提高炼金术技能，药水治疗效果提高。,提高炼金术技能，药水治疗效果提高,370670,5,9
606,翱翔 / 滑翔,使用双翼在空中滑翔，以及从高处翱翔。,使用双翼在空中滑翔，以及从高处翱翔,4622485,0,52
607,疾速升空,运用驭空术强化你的翱翔，使你可以更频繁地起飞,运用驭空术强化你的翱翔，使你可以更频繁地起飞,4622483,1,52
608,扫尾 / 飞翼打击,用你的翅膀和尾巴将敌人击飞。,用你的翅膀和尾巴将敌人击飞,4622486,2,52
609,觉醒,提高精通。,提高精通,4622481,3,52
610,敏锐目光,采集时获得额外稀有材料。,采集时获得额外稀有材料,4630415,4,52
611,翱翔 / 滑翔,使用双翼在空中滑翔，以及从高处翱翔。,使用双翼在空中滑翔，以及从高处翱翔,4622485,0,70
612,疾速升空,运用驭空术强化你的翱翔，使你可以更频繁地起飞,运用驭空术强化你的翱翔，使你可以更频繁地起飞,4622483,1,70
613,扫尾 / 飞翼打击,用你的翅膀和尾巴将敌人击飞。,用你的翅膀和尾巴将敌人击飞,4622486,2,70
614,觉醒,提高精通。,提高精通,4622481,3,70
615,敏锐目光,采集时获得额外稀有材料。,采集时获得额外稀有材料,4630415,4,70
616,艾泽里特涌动,对敌人造成火焰伤害，并治疗你的盟友。,对敌人造成火焰伤害，并治疗盟友,5788297,0,84
617,矿石摄入,食用宝石并获得永久的进食充分效果。,食用宝石并获得进食充分效果,5788301,1,84
618,非凡高产,提高精细，有几率采集到额外材料。,有几率采集到额外材料,5788298,2,84
619,泰坦打造的身躯,护甲值提高。,护甲值提高,5788302,3,84
620,大开眼界,提高探索经验值。,提高探索经验值,5788303,4,84
621,艾泽里特涌动,对敌人造成火焰伤害，并治疗你的盟友。,对敌人造成火焰伤害，并治疗你的盟友。,5788297,0,85
622,矿石摄入,食用宝石并获得永久的进食充分效果。,食用宝石并获得进食充分效果,5788301,1,85
623,非凡高产,提高精细，有几率采集到额外材料。,有几率采集到额外材料,5788298,2,85
624,泰坦打造的身躯,护甲值提高。,护甲值提高,5788302,3,85
625,大开眼界,提高探索经验值。,提高探索经验值,5788303,4,85
