ID,OverrideName_lang,Field_9_1_0_38709_001_lang,Flags
324,稍微有点冰的水晶,,0
325,有点冰的水晶,,0
326,一般冰的水晶,,0
327,非常冰的水晶,,0
328,休眠的注能者,,0
329,被激怒的石根,,0
330,鲍勃,,0
331,坚鳞,,0
332,啃啃先生,,0
333,冯·斯乌彭拜特男爵,,0
334,火嬉勋爵,,0
335,精致的椅子,,1
336,路灯,,1
338,点燃的热源,,0
339,光耀之子,,0
340,虚空之子,,0
341,邪煞恶兽,,0
342,,,1
343,被摧毁的样本箱,,0
344,被震慑的龙希尔,,0
345,获救的牛头人囚犯,,1
346,诺库德拜荒者,,0
347,回收的圣物记录,,0
348,暗影形体,,1
349,陨落的巨龙,,0
350,胜出的外观,时尚试炼,0
351,农夫萨丁,粮仓公会,0
352,萨尔玛·萨丁,粮仓公会,0
353,克洛-诺米,,0
354,脆弱之荒,,0
355,古老的半人马发现物,,0
356,阿敲,,0
357,普通石头,,0
358,,巫妖王之手,0
359,,,1
360,古老的鼹鼠人回收物,,0
361,粗糙的龙裔陶罐,,0
362,火焰树人,,1
363,复苏树人,,1
364,焦化树人,,1
365,,邪能腐蚀者,0
366,,阵营叛徒,0
367,米莎,,0
368,过时的地质学教材,,0
369,盛放之花,,1
370,蓝蜜之箱,,0
371,被邪能腐化的勇士,,0
372,古代龙族之瓶,,0
373,阿扎卡尔,,0
374,蛊心魔古厄夏,,1
375,黑化球茎,,1
376,复苏的刺藤屏障,,1
377,焦灼刺藤,,1
378,灼烧之根,,1
379,灼热刺藤,,1
380,拉罗达尔，灰烬化形,,1
381,考古助理,,0
382,压垮的元素,,0
383,守望者指挥官,,1
384,守望者新兵,,1
385,达纳苏斯新手法师,,1
386,强化的元素,,0
387,莉莉乌娜,棘触者,0
388,阿基尔,棘触者,0
389,阿斯特拉,棘触者,0
390,灰烬花粉野兽,,0
391,感激的古树,,0
392,漫林苔绒羱,,0
393,闯入者,不属于这里,0
394,精灵龙,,0
395,Void Touched Elemental [PH],,0
396,巨型半人马发现物,,0
397,贮藏龙裔补给,,0
398,凝结污泥,,1
399,鼹鼠人不义之财,,0
400,龙族学者宝箱,,0
401,战争古树,,1
402,知识古树,,1
403,风之古树,,1
404,Test,,1
405,变形术受害者,,1
406,沉睡的德鲁伊,,0
407,菲琳,,1
408,奇特土壤,,1
409,阿莱克丝塔萨，生命的缚誓者,生命的守护者,0
410,麦琳瑟拉,梦境的守护者,0
411,卡雷苟斯,魔法的守护者,0
412,艾比西安,大地的守护者,0
413,诺兹多姆,时光的守护者,0
414,威拉诺兹,风暴的守护者,0
415,斥候威歇尔姆,,1
416,萨尔,,0
417,欧尔巴里格,,0
418,冷鳍护蟹者,,0
420,被抓住的德里克,,1
421,非常普通的狗头人,,0
422,附和员,好好先绅,0
423,赞成者,好好先神,0
424,唱和人,好好先圣,0
425,暗影癫狂之猪,,1
426,麦格尼？,,1
427,人偶大师的操纵对象,,1
428,Eye of the Queen,,0
429,扬升的奈非蕾丝女王,,0
430,可疑的鼹鼠人,,0
431,鲁弗瑟拉,风暴护持,0
432,桀骜之兽,,1
433,尊敬的市民,,0
434,萨布莉娜·哀凝,,0
435,蔽影锋爪兽,,0
436,蔽影曲角麋,,0
437,蔽影野性幼崽,,0
438,蔽影蟹,,0
439,“ZZ”,,0
440,菲果·碎底,,0
441,伊克罗特,,0
442,凯拉·格瑞姆洛克,,0
443,哈罗德·温斯顿,,0
444,斯奇马克,,0
445,蔽影碎步蟹,,0
446,蔽影斩浪者,,0
447,蔽影深邃猎手,,0
448,蔽影浅滩栖鱼,,0
449,海马兹,,0
450,达拉然护法者,肯瑞托,0
451,宰相,,0
452,高阶代言人布琳泽,,0
453,被腐化的幸存者,,0
454,丘石清道夫,,0
455,被捕的野兽,,1
456,着迷的平民,,0
457,被抓住的土灵,,0
458,蛛网恐魔,,0
459,旧忆英雄,,0
460,蔽影幽暗爬行者,,0
461,蔽影曲角麋,,0
462,蔽影莓鸣蜂,,0
463,蔽影熊,,0
464,蔽影巢母,,0
465,蔽影水螈,,0
466,蔽影蝾螈,,0
467,蔽影混血犬,,0
468,蔽影蛾,,0
469,蔽影深井蛛,,0
470,矶石宝库魔像,壁垒守卫,0
471,蔽影利颚爬行者,,0
472,惊恐的魃羖,,0
473,蔽影狂吠的混血犬,,0
474,蔽影飞鹰,,0
475,蔽影博学的混血犬,,0
476,蔽影潜伏的混血犬,,0
477,蔽影蝙蝠,,0
478,蔽影蜘蛛,,0
479,染孢群聚虫,,0
480,蔽影金丝燕,,0
481,休眠魔像,,0
482,,邪恶双子,0
483,维利西亚·斯蒂泰克,,1
484,蔽影遁泥者,,0
485,蔽影甜刺蜂,,0
486,腐蚀工虫,,1
487,蔽影甲虫,,0
488,蔽影巨熊,,0
489,蔽影幼崽,,0
490,贝雷达尔之怒,,0
491,蔽影碎步蟹,,0
492,贝雷达尔之忿,,0
493,蔽影鲑鱼,,0
494,蔽影鲈鱼,,0
495,蔽影海鹰,,0
496,向日葵先生,,1
497,奥拉莉亚·斯蒂泰克,,1
498,蔽影碎步蟹,,0
499,多恩诺嘉尔市民,,0
500,加恩基,蜡烛,0
501,蔽影石斑鱼,,0
502,蔽影鳗鱼,,0
503,蔽影洞穴熊,,0
504,蔽影梭鱼,,0
505,蔽影噬污者,,0
506,蔽影巢母,,0
507,蔽影迅翼鹰,,0
508,蔽影黑暗犬,,0
509,蔽影幼犬,,0
510,蔽影鱼,,0
511,蔽影妖萤,,0
513,蔽影山猫,,0
