TaskName_lang,Description_lang,ID,CriteriaTreeID,QuestID,ProgressContributionAmount,RepetitionContributionDampeningCurve,Supersedes,Field_12_0_0_63534_008
[DNT] Collect 20 Lumber in The Ringing Deeps,[DNT] Collect 20 Lumber in The Ringing Deeps,48,211139,91024,10,87592,0,1
[DNT] Complete 5 Delves in The Ringing Deeps,[DNT] Complete 5 Delves in The Ringing Deeps,49,211141,91022,25,87592,0,1
[DNT] Complete 5 World Quests in The Ringing Deeps,[DNT] Complete 5 World Quests in The Ringing Deeps,50,211148,91023,50,87592,0,1
在住宅区里重新点亮10个灯笼,在住宅区里重新点亮10个灯笼,51,211150,91024,10,87592,0,0
[DNT] Collect 10 Globs of Dropped Wax,[DNT] Collect 10 Globs of Dropped Wax in the Neighborhood,52,211152,91024,10,87592,0,0
[DNT] Collect 20 Draenei Archaeology Fragments in Zangarmarsh,[DNT] Collect 20 Draenei Archaeology Fragments in Zangarmarsh,53,211154,91024,10,87592,0,1
[DNT] Defeat 20 Gyreworms in Deepholm,[DNT] Defeat 20 Gyreworms in Deepholm,54,211156,91023,50,87592,0,1
[DNT] Defeat 20 Rockslice and Jaspertip Clawscythes in Deepholm,[DNT] Defeat 20 Rockslice and Jaspertip Clawscythes in Deepholm,55,211161,91023,50,87592,0,1
[DNT] Defeat 20 Twilight Ogres in Deepholm,[DNT] Defeat 20 Twilight Ogres in Deepholm,56,211169,91023,50,87592,0,1
[DNT] Defeat 20 Twilight Cultists in Deepholm,[DNT] Defeat 20 Twilight Cultists in Deepholm,57,211174,91023,50,87592,0,1
[DNT] Defeat 20 Stone or Needlerock Troggs in Deepholm,[DNT] Defeat 20 Stone or Needlerock Troggs in Deepholm,58,211187,91023,50,87592,0,1
[DNT] Defeat 20 Fungal Terrors or Behemoths in Deepholm,[DNT] Defeat 20 Fungal Terrors or Behemoths in Deepholm,59,211202,91023,50,87592,0,1
[DNT] Defeat 20 Stone Drakes in Deepholm,[DNT] Defeat 20 Stone Drakes in Deepholm,60,211205,91023,50,87592,0,1
[DNT] Collect 20 Albino Cavefish in Deepholm,[DNT] Collect 20 Albino Cavefish in Deepholm,61,211209,91023,50,87592,0,1
[DNT] Collect 20 Lumber in Deepholm,[DNT] Collect 20 Lumber in Deepholm,62,211211,91024,10,87592,0,1
完成史诗钥石地下城,,63,212060,91023,50,87592,0,1
消灭团队副本首领,,64,212062,91023,50,87592,0,1
获得荣誉点数,,65,212064,91023,50,87592,0,1
完成世界任务,,66,214555,91023,50,87592,0,1
完成至暗之夜战役,完成至暗之夜战役。,67,212076,91022,25,0,0,0
萨瑟利尔的聚会,参与萨瑟利尔的聚会，并在永歌森林完成一次加固符文石任务。,68,212082,91022,25,0,0,0
萨瑟利尔的聚会爱好者,参与位于永歌森林的萨瑟利尔的聚会，并为参与者完成每周恩典。,69,212089,91022,25,0,0,0
银月宫廷 - 万众瞩目,参与银月宫廷，并完成公共目标。,70,212091,91022,25,0,0,0
至暗之夜地下城,完成至暗之夜的地下城。,71,212208,92099,75,87592,0,0
采集资源：至暗之夜,在至暗之夜区域中采集草药、矿石、皮革或鱼类。,73,212222,91022,25,87592,0,0
深海潜水,在祖阿曼完成深渊钓客事件,74,212255,92099,75,0,0,0
丰饶成效,在至暗之夜区域的事件中获取丰饶。,75,212257,91023,50,0,0,0
丰饶富裕,在至暗之夜区域的事件中获取丰饶。,76,222818,91022,25,0,75,0
哈籁尼尔的传说,在哈籁恩达尔完成一次“哈籁尼尔的传说”事件。,77,212261,91023,50,0,0,0
消灭光绽生物,在任意地方消灭威胁艾泽拉斯的光绽生物。,78,214538,91022,25,0,0,0
消灭光绽生物 2,在任意地方消灭威胁艾泽拉斯的光绽生物。,79,214541,91023,50,0,78,0
消灭光绽生物 3,在任意地方消灭威胁艾泽拉斯的光绽生物。,80,214544,92099,75,0,79,0
世界任务：永歌森林,在永歌森林完成世界任务。,81,212066,91023,50,87592,0,0
消灭稀有敌人：永歌森林,在永歌森林消灭稀有或稀有精英敌人。,82,214557,91023,50,87592,0,0
收集斯托玛兰核心,在虚影风暴收集斯托玛兰核心。,83,214559,91023,50,0,0,0
奇点锚点,在虚影风暴保卫奇点锚点。,84,214561,91023,50,87592,0,0
潜藏奥能,在永歌森林收集潜藏奥能。,85,214680,91022,25,87592,0,0
成为一个阵营特使的勇士,在禁忌离岛成为一个阵营特使的勇士。,86,214735,91024,10,0,0,0
日常任务：禁忌离岛,在禁忌离岛完成日常任务。,87,214884,91023,50,0,0,0
兹斯克拉宝库里的门,在禁忌离岛打开兹斯克拉宝库里的门。,88,214992,91022,25,87592,0,0
消灭稀有敌人：禁忌离岛,在禁忌离岛消灭稀有敌人。,89,215007,91023,50,87592,0,0
完成霜石宝库的原始风暴,在禁忌离岛完成霜石宝库的原始风暴,90,215020,91023,50,87592,0,0
采集资源：禁忌离岛,在禁忌离岛采集草药、矿石、皮革或鱼类。,91,215423,91022,25,87592,0,0
宠物对战世界任务：禁忌离岛,在禁忌离岛完成一个宠物对战世界任务。,92,215469,91022,25,87592,0,0
驭空术竞速：禁忌离岛,在禁忌离岛完成驭空术竞赛,93,215575,91024,10,87592,0,0
镇压战争育幼所,在禁忌离岛完成世界任务“战争育幼所”。,94,215577,91023,50,87592,0,0
专业稀有敌人：禁忌离岛,在禁忌离岛消灭一个通过专业物品召唤的稀有或稀有精英生物。,95,215666,91739,150,0,0,0
寻找密封卷轴的宝藏,使用禁忌离岛的密封卷轴，拾取揭示的宝藏。,96,215668,91022,25,87592,0,0
消灭生物：禁忌离岛,在禁忌离岛消灭生物。,97,215670,91022,25,87592,0,0
拾取一个禁忌宝藏,在禁忌离岛拾取一个禁忌宝藏。,98,215672,91022,25,87592,0,0
采集资源：昆莱山,在昆莱山采集草药、矿石、皮革或鱼类。,100,216319,91023,50,87592,0,0
采集木料：昆莱山,在昆莱山采集木料。,101,216323,91023,50,87592,0,0
击败首领：昆莱山,在昆莱山的地下城和团队副本中完成首领战。,102,216327,91022,25,87592,0,0
安居乐业：吃下寇塔咔啡果,在你的住宅区里或寇塔峰上吃下寇塔咔啡果。,103,216329,91022,25,87592,0,0
荣誉消灭：昆莱山,在昆莱山获得荣誉消灭。,104,216334,91023,50,87592,0,0
采集木料：禁忌离岛,在禁忌离岛采集木料。,105,216352,91023,50,87592,0,0
完成地下堡,,106,216354,91023,50,87592,0,1
安居乐业：使困倦的居民振作精神,在住宅区里使困倦的居民振作精神,107,216664,91022,25,87592,0,0
安居乐业：交易咔啡果,在住宅区的咔啡商人处交易寇塔咔啡果。,108,216671,91022,25,87592,0,0
击败怒之煞,击败昆莱山的怒之煞。,109,216306,91022,25,87592,0,0
安居乐业：完成住宅区每周任务,在住宅区里为来访的龙希尔完成每周任务。,110,216872,91023,50,87592,0,0
安居乐业：装饰时间,在你的住宅或地块中摆放装饰，打动银月城访客。,111,216890,91023,50,0,0,0
安居乐业：装饰时间 2,在你的住宅或地块中摆放装饰，打动银月城访客。,112,216892,91023,50,0,111,0
安居乐业：装饰时间 3,在你的住宅或地块中摆放装饰，打动银月城访客。,113,216894,91023,50,0,112,0
安居乐业：获取装饰,为你的住宅或地块获取新装饰，打动银月城访客。,114,216898,91023,50,0,0,0
安居乐业：运送幸运符,将幸运符运送到住宅区的攀爬训练基地。,115,216957,91022,25,87592,0,0
安居乐业：收集咔啡果,在住宅区的攀爬训练中收集寇塔咔啡果。,116,216959,91024,10,87592,0,0
安居乐业：骑乘咔啡摄入过多的山峰住民,在住宅区中骑乘一只咔啡摄入过多的飞行生物并使其疲惫。,117,216961,91024,10,87592,0,0
安居乐业：受伤的艺术家,通过魔法、绷带或炼金，治疗访问住宅区的受伤的艺术家。,118,217031,91022,25,87592,0,0
消灭稀有敌人：麦卡贡,在麦卡贡消灭稀有敌人。,120,217061,91023,50,87592,0,0
日常任务：麦卡贡,在麦卡贡完成日常任务。,121,217063,91023,50,87592,0,0
麦卡贡国王,在麦卡贡行动中击败麦卡贡国王。,122,217068,91023,50,0,0,0
HK-8型空中压制单位,在麦卡贡行动中击败HK-8型空中压制单位。,123,217070,91023,50,0,0,0
完美建造者,在麦卡贡完成建筑工程。,124,217072,91022,25,87592,0,0
K1N6的匠技,在麦卡贡使用帕斯卡K1N6型制造垃圾场匠技物品。,125,217074,91023,50,87592,0,0
采集木料：麦卡贡,在麦卡贡采集木料。,126,217076,91023,50,87592,0,0
采集资源：麦卡贡,在麦卡贡采集草药、矿石、皮革或鱼类。,127,217078,91022,25,87592,0,0
锈痕弑王,在另一个时间线的麦卡贡中击败锈痕王子。,128,217082,91023,50,0,0,0
干杯！,在麦卡贡为锈栓镇的抵抗军干杯。,129,217084,91024,10,0,0,0
消灭生物：麦卡贡,在麦卡贡消灭生物。,130,217086,91022,25,87592,0,0
宠物对战世界任务：麦卡贡,在麦卡贡完成一个宠物对战世界任务。,131,217484,91022,25,87592,0,0
红色三倍速,在麦卡贡将你的斯克维里加全地形载具或机械猫涂成其他颜色。,132,217486,91023,50,0,0,0
开垦计划,在麦卡贡中协助重建并保护开垦钻机。,133,217489,92099,75,87592,0,0
安居乐业：好邻居,在你的住宅区中广施援手，友善待人。,134,214565,91023,50,87592,0,0
安居乐业：归还丢失的机械鸡,在你的住宅区中，找到并归还未校准的母鸡。,135,217689,92099,75,87592,0,0
安居乐业：机械侏儒的交通,在你的住宅区中，测试机械侏儒喷气机。,136,217691,91023,50,87592,0,0
安居乐业：海滩废料,在你的住宅区中，帮助回收者从海滩上收集废金属。,137,218132,92099,75,0,0,0
采集资源：外域,在外域采集草药、矿石、皮革或鱼类。,138,218431,91022,25,87592,0,0
击败计算者帕萨雷恩,在能源舰地下城中击败计算者帕萨雷恩。,139,218435,91023,50,0,0,0
击败迁跃扭木,在生态船地下城中击败迁跃扭木。,140,218437,91023,50,0,0,0
击败预言者斯克瑞斯,在禁魔监狱地下城中击败预言者斯克瑞斯。,141,218439,91023,50,0,0,0
歼灭复仇军,在外域的户外区域中击败复仇军成员及其盟友。,142,218548,91023,50,87592,0,0
采集木料：至暗之夜,在至暗之夜区域中采集木料。,143,219644,91023,50,87592,0,0
消灭日怒,在虚空风暴中击败日怒成员。,144,220010,91023,50,87592,0,0
有赏必应,在沙塔斯为星界财团完成悬赏任务。,145,220012,91023,50,87592,0,0
击败节点亲王沙法尔,在法力陵墓地下城中击败节点亲王沙法尔。,146,220024,91023,50,0,0,0
击败尤尔,在法力陵墓地下城中击败尤尔。,147,220026,91739,150,0,0,0
重复是学习之母,在外域为星界财团完成声望上交任务。,148,220115,91022,25,87592,0,0
天空卫队之锋,在刀锋山的巴什伊尔码头支援天空卫队的进攻。每双数整点时，进攻行动将从刀锋山的天空卫队哨站发起。,149,220183,91739,150,87592,0,0
痛击巴什伊尔,在刀锋山的巴什伊尔码头击败巴什伊尔或其副官之一。,150,220206,91022,25,87592,0,0
采集资源：查拉雷克洞窟,在查拉雷克洞窟采集草药、矿石、皮革或鱼类。,151,221088,91022,25,87592,0,0
世界任务：查拉雷克洞窟,完成查拉雷克洞窟的世界任务。,152,221096,91023,50,87592,0,0
研究员遇袭,完成研究员遇袭事件的世界任务。,153,221098,91023,50,87592,0,0
击败萨卡雷斯,在亚贝鲁斯，焰影熔炉击败萨卡雷斯。,155,221104,91023,50,0,0,0
地下宠物对战,在查拉雷克洞窟中携带至少1只元素宠物完成一个宠物对战世界任务。,156,221164,91024,10,87592,0,0
声望就是天,在查拉雷克洞窟中提高在峈姆鼹鼠人中的声望。,157,221174,91023,50,87592,0,0
嗅味探寻,在查拉雷克洞窟中与麦里特一起探索洞穴时拾取宝箱。,158,221179,91023,50,87592,0,0
铁石榨血,与庞佐易物来换取一张以物易物得来的挖掘地图，然后在查拉雷克洞窟中使用它。,159,221186,91023,50,0,0,0
稳扎稳打才能赢得比赛,在查拉雷克洞窟的格里梅罗格中完成布里谷尔的日常任务。,160,221188,91022,25,87592,0,0
消灭稀有敌人：查拉雷克洞窟,在查拉雷克洞窟消灭稀有或稀有精英敌人。,161,221190,91023,50,87592,0,0
驭空术：地下,在查拉雷克洞窟完成驭空术竞赛,162,221192,91024,10,87592,0,0
臭烘烘的硬币，香喷喷的奖品,在查拉雷克洞窟中获取出土的芬芳硬币。,163,221268,91023,50,87592,0,0
安居乐业：放置熏香,在住宅区周围放置熏香以吸引蜜蜂。,164,221576,91024,10,87592,0,0
安居乐业：制作熏香,将原材料从住宅区带到鼹鼠人的移动大桶中以制作熏香。,165,221584,91024,10,87592,0,0
安居乐业：帮助嗅味探寻者,在住宅区治愈嗅味探寻者的嗅觉失灵。,166,221684,91024,10,87592,0,0
安居乐业：蜗牛邮件,帮助城里的大滑在住宅区附近递送信件。与布里谷尔交谈以开始。,167,221800,91023,50,87592,0,0
安居乐业：为花朵授粉,引导蜜蜂，为住宅区城镇中心周围的花朵授粉。,168,221878,91024,10,87592,0,0
安居乐业：奥术特技,在你的住宅区中，进入无拘之域，并抵达最后的助理建筑师的试炼终点。该任务每天可完成一次。,169,221930,92099,75,87592,0,0
安居乐业：我没有“相位迷失”，我只是“相位不和”！,在你的住宅区中，进入无拘之域，协助你的邻居寻找并归还当地居民遗落的物品。,170,221932,91022,25,87592,0,0
安居乐业：垂下系链,在你的住宅区中，激活无拘拴绳或使用迷失相位的捷径。,171,222537,91022,25,0,0,0
安居乐业：空中喷气三连,在你的住宅区中，连续三次测试机械侏儒喷气机且不落地。,172,222540,92099,75,0,0,0
采集木料：外域,在外域区域中采集木料。,173,222672,91023,50,87592,0,0
深海潜水,在祖阿曼完成深渊钓客事件,174,212255,91024,10,0,0,0
Tiger测试鼹鼠人,Tiger测试鼹鼠人,190,223750,0,10,0,0,0
