ID,Title_lang,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Field_9_0_1_35755_007,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,Field_10_0_2_45779_012,Field_10_0_2_46144_013
146,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
147,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
148,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
149,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
150,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
151,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
153,9.0 Covenant Campaigns Ch 2 - Torghast,解锁寻找贝恩和刻符者的前置条件,0,0,5703,5703,0,0,0,0,0,0,0
154,托加斯特剧情进度跳过,,0,0,5703,5703,0,0,0,0,0,0,0
155,9.0 Covenant Campaigns Ch 3 - Peering Into Darkness,完成安度因剧情,0,0,5703,5703,0,0,0,0,0,0,0
156,暗影国度,,0,0,5703,5703,0,0,0,1,0,0,0
157,万物之盒初始任务,,0,0,5703,5703,0,0,0,0,90,0,0
158,初诞者的秘密,展现9.2新内容的战役。,5408,0,94855,0,94857,0,31,0,91,105475,0
159,苏醒的龙希尔,龙希尔初始区域，区域0，联盟,5467,0,99583,96647,99952,0,46,0,108,0,0
160,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
161,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
162,初始,,0,0,5703,5703,0,0,0,0,0,0,0
163,初始,,0,0,5703,5703,0,0,0,0,0,0,0
164,跳转到第六章,,0,0,5703,5703,0,0,0,0,0,0,0
165,龙鳞探险队,开场剧情,5468,0,21439,21439,0,0,50,0,108,21439,0
166,欧恩哈拉平原,平原升级任务,5469,0,21439,21439,0,0,48,0,106,104511,0
167,跳转到第五章,,0,0,5703,5703,0,0,0,0,0,0,0
168,跳转到第七章,,0,0,5703,5703,0,0,0,0,0,0,0
169,觉醒海岸,觉醒海岸升级,5471,0,21439,21439,0,0,49,0,107,104511,0
173,苏醒的龙希尔,龙希尔初始区域，区域0，部落,5467,0,99584,96645,99954,0,46,0,108,0,0
174,碧蓝林海,碧蓝林海,5466,0,21439,21439,0,0,47,0,105,21439,0
189,索德拉苏斯,索德拉苏斯升级,5470,0,21439,21439,0,0,51,0,104,104511,0
190,沉睡者,欧恩哈拉平原满级绿龙剧情,5469,0,21439,21439,0,0,48,0,0,0,34450
191,专业入门跳过,,0,0,5703,5703,0,0,0,0,0,0,0
192,白银使命,提尔故事线1-4章满级提尔地图4,5470,0,122671,122671,122676,0,51,0,1089,0,34450
193,瓦德拉肯,,5470,0,21439,21439,0,0,51,0,0,0,0
194,伊斯卡拉海象人,满级名望伊斯卡拉海象人地图1,5471,0,21439,21439,0,0,49,0,103,0,34450
197,龙鳞探险队,龙鳞探险队名望战役,5468,0,21439,21439,0,0,50,0,103,0,21439
198,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
199,誓言母石,10.0 - Raid Opening Quests,5470,0,21439,103947,0,0,51,0,0,0,0
200,黑曜堡垒,,0,0,5703,5703,0,0,0,0,0,0,0
201,巨龙时代,主战役,5468,0,131377,131377,104950,0,50,2,1099,0,0
203,奈萨里奥之烬,10.0.7/10.1 Narrative Campaign,5522,0,122679,122679,123577,0,53,0,1070,0,34450
206,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
207,碧蓝林海,隐藏战役,5466,0,5703,5703,5703,5703,47,0,0,5703,0
208,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
209,蓝龙军团,,5468,0,21439,21439,0,0,50,0,102,0,21439
210,兹斯克拉宝库,,0,0,108197,0,0,0,50,0,0,34450,0
212,流放者离岛,本战役通过流放者离岛的内容让新玩家体验游戏。,5531,0,108830,108830,108834,0,55,0,5,0,0
213,流放者离岛,本战役通过流放者离岛的内容让新玩家体验游戏。,5531,0,108835,108835,108834,0,55,0,5,0,0
214,争霸艾泽拉斯,身为联盟的勇士，你的职责是增援战事，对抗部落和他们的新盟友。,261,0,109122,924,109672,0,8,2,89,0,0
215,争霸艾泽拉斯,身为联盟的勇士，你的职责是增援战事，对抗部落和他们的新盟友。,261,0,86702,86702,108940,0,8,0,89,0,0
216,阵营战役,身为联盟的勇士，你的职责是增援战事，对抗部落和他们的新盟友。,261,0,109193,109193,109793,0,8,0,88,0,49081
217,纳沙塔尔,身为联盟的勇士，你的职责是增援战事，对抗部落和他们的新盟友。,261,0,109210,109210,109183,0,8,0,87,0,49081
218,麦卡贡,身为联盟的勇士，你的职责是增援战事，对抗部落和他们的新盟友。,261,0,109180,109180,109182,0,8,0,86,0,49081
219,恩佐斯的幻象,身为联盟的勇士，你的职责是增援战事，对抗部落和他们的新盟友。,261,0,109211,109211,109789,0,8,0,85,0,49081
221,争霸艾泽拉斯,身为联盟的勇士，你的职责是增援战事，对抗部落和他们的新盟友。,262,0,109810,109810,109672,0,10,2,89,0,0
222,麦卡贡,,262,0,109812,109812,109182,0,10,0,86,0,49081
223,纳沙塔尔,,262,0,109814,109814,109183,0,10,0,87,0,49081
224,恩佐斯的幻象,,262,0,109820,109820,109789,0,10,0,85,0,49081
225,阵营战役,,262,0,109821,109821,109822,0,10,0,88,0,49081
226,争霸艾泽拉斯,,262,0,109832,109832,109833,0,10,0,89,0,0
227,飞珑石,,5468,0,0,34450,0,0,50,0,102,0,34450
228,暗影烈焰火花,,5522,0,0,34450,0,0,53,0,102,0,34450
229,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
230,测试战役,,5470,0,0,0,0,0,51,0,104,104511,0
231,梦境守护者,,5542,0,122691,122691,123578,0,57,0,1060,0,34450
233,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
234,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
235,艾泽拉斯的幻象,内容更新初始任务,5570,0,119581,119581,0,0,60,0,1104,0,0
236,多恩岛,Zone 1 Level-Up Questing,5578,0,119583,119583,0,0,63,0,1103,0,119582
237,喧鸣深窟,Zone 2 Level-Up Questing,5579,0,119585,119585,120831,0,61,0,1102,0,119582
238,陨圣峪阿拉希人,Zone 3 Level-Up Questing,5580,0,119594,119594,0,0,62,0,1101,0,119582
239,艾基-卡赫特,Zone 5 Level-Up Questing,5581,0,119596,119596,118153,0,64,0,1100,0,119582
240,地心之战,满级任务,5570,0,135146,135146,0,0,60,0,1110,0,34450
241,追赶！,,0,0,5703,5703,0,0,0,0,0,0,0
242,追猎先驱,,5570,0,121891,121891,0,0,60,0,1100,34450,34450
246,夺岛奇兵,,262,0,119806,119806,119684,0,59,0,58,0,49081
247,熊猫人之谜,击败死亡之翼后，部落和联盟的战火重燃。你身为部落的勇士，必须加入战斗。,5568,0,119683,119683,119712,0,59,0,59,0,0
248,熊猫人之谜,击败死亡之翼后，部落和联盟的战火重燃。你身为联盟的勇士，必须加入战斗。,5568,0,119829,119829,119830,0,59,0,59,0,0
249,夺岛奇兵,,261,0,119896,119896,119900,0,59,0,58,0,49081
250,雷电之王,,261,0,119947,119947,119948,0,59,0,57,0,49081
251,雷电之王,,262,0,119956,119956,119957,0,59,0,57,0,49081
252,绝地反击,,263,0,119959,119959,119962,0,59,0,56,0,49081
253,决战奥格瑞玛,,261,0,119963,119963,119964,0,59,0,56,0,49081
254,决战奥格瑞玛,,262,0,119965,119965,119964,0,59,0,56,0,49081
256,巨龙时代,Master group header while in level up zones,5468,0,122644,122644,122645,0,50,0,1099,0,0
257,蓝龙军团,,5468,0,122672,122672,122675,0,50,0,1080,0,34450
258,绿龙军团,Green Dragons Ch 1+2,5468,0,122673,122673,122674,0,50,0,1090,0,34450
260,萦绕暗影,11.1战役序章,5644,0,126297,126297,0,0,67,1,1120,0,34450
261,跳过内容更新初始任务,,0,0,5703,5703,0,0,0,0,0,0,0
262,(DNT) Campaign,,0,0,0,0,0,0,0,0,0,0,0
263,(DNT) Legendary,,0,0,0,0,0,0,0,0,0,0,0
264,安德麦,安德麦风云,5644,0,126435,126435,0,0,66,0,1140,0,0
265,肯瑞托的命运,肯瑞托任务线,5570,0,126299,126299,0,0,60,1,1130,0,34450
276,海妖岛,,0,0,5703,5703,0,0,0,0,0,0,0
