ID,SourceText_lang,PvpFaction,SourceTypeEnum,SpellID
2607,|cFFFFD200专业技能训练师：|r锻造（20）|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,3319
2608,|cFFFFD200专业技能训练师：|r锻造（25）|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3320
2609,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3321
2610,|cFFFFD200专业技能训练师：|r锻造（40）|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3323
2611,|cFFFFD200专业技能训练师：|r锻造（45）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3324
2612,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,3325
2613,|cFFFFD200专业技能训练师：|r锻造（75）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,3326
2614,|cFFFFD200专业技能训练师：|r锻造（110）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3328
2615,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,3330
2616,|cFFFFD200专业技能训练师：|r锻造（130）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3331
2617,|cFFFFD200专业技能训练师：|r锻造（135）|n|cFFFFD200价格：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3333
2618,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3334
2619,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3336
2620,|cFFFFD200专业技能训练师：|r锻造（125）|n|cFFFFD200价格：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3337
2621,|cFFFFD200专业技能训练师：|r炼金（110）|n|cFFFFD200价格：|r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3447
2622,|cFFFFD200专业技能训练师：|r炼金（165）|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3448
2623,|cFFFFD200专业技能训练师：|r炼金（165）|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3449
2624,|cFFFFD200专业技能训练师：|r炼金（175）|n|cFFFFD200价格：|r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3450
2625,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3451
2626,|cFFFFD200专业技能训练师：|r炼金（160）|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3452
2627,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3453
2628,|cFFFFD200商人出售：|r布洛金|n|cFFFFD200地区：|r希尔斯布莱德丘陵|n|cFFFFD200价格：|r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,2,3454
2630,|cFFFFD200专业技能训练师：|r锻造（105）|n|cFFFFD200价格：|r6|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3491
2631,|cFFFFD200商人出售：|r世界商人|n|cFFFFD200价格：|r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,2,3492
2632,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3493
2633,|cFFFFD200商人出售：|r舰队司令“贝壳”约里克|n|cFFFFD200地区：|r西部荒野|n|cFFFFD200价格：|r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200商人出售：|r穆尔兰|n|cFFFFD200地区：|r凄凉之地|n|cFFFFD200价格：|r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,0,2,3494
2634,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3495
2635,|cFFFFD200商人出售：|r萨瑞娜·克罗姆温德|n|cFFFFD200地区：|r荆棘谷海角|n|cFFFFD200价格：|r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,2,3496
2636,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3497
2637,|cFFFFD200商人出售：|r加奎琳娜·德拉米特|n|cFFFFD200地区：|r北荆棘谷|n|cFFFFD200价格：|r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200商人出售：|r维哈尔|n|cFFFFD200地区：|r北荆棘谷|n|cFFFFD200价格：|r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,2,3498
2638,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3500
2639,|cFFFFD200专业技能训练师：|r锻造（165）|n|cFFFFD200价格：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3501
2640,|cFFFFD200专业技能训练师：|r锻造（170）|n|cFFFFD200价格：|r12|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,3502
2641,|cFFFFD200商人出售：|r克林科·古德斯迪尔|n|cFFFFD200地区：|r塔纳利斯|n|cFFFFD200价格：|r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|cFFFFD200商人出售：|r克林科·古德斯迪尔|n|cFFFFD200地区：|r塔纳利斯|n|cFFFFD200价格：|r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,2,3503
2642,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3504
2643,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3505
2644,|cFFFFD200专业技能训练师：|r锻造（155）|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3506
2645,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3507
2646,|cFFFFD200专业技能训练师：|r锻造（180）|n|cFFFFD200价格：|r75|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3508
2647,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3511
2648,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3513
2649,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3515
2652,|cFFFFD200专业技能训练师：|r采矿（125）|n|cFFFFD200价格：|r7|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,3569
2655,|cFFFFD200专业技能训练师：|r制皮（25）|n|cFFFFD200价格：|r75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,3753
2656,|cFFFFD200专业技能训练师：|r制皮（55）|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,3756
2657,|cFFFFD200专业技能训练师：|r制皮（75）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3759
2658,|cFFFFD200专业技能训练师：|r制皮（150）|n|cFFFFD200价格：|r6|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3760
2659,|cFFFFD200专业技能训练师：|r制皮（85）|n|cFFFFD200价格：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,3761
2660,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,3762
2661,|cFFFFD200专业技能训练师：|r制皮（80）|n|cFFFFD200价格：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3763
2662,|cFFFFD200专业技能训练师：|r制皮（145）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3764
2663,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3765
2664,|cFFFFD200专业技能训练师：|r制皮（125）|n|cFFFFD200价格：|r4|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3766
2665,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,3767
2666,|cFFFFD200专业技能训练师：|r制皮（130）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3768
2667,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3769
2668,|cFFFFD200专业技能训练师：|r制皮（135）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3770
2669,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3771
2670,|cFFFFD200商人出售：|r乔治·坎达特|n|cFFFFD200地区：|r希尔斯布莱德丘陵|n|cFFFFD200价格：|r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,0,2,3772
2671,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3773
2672,|cFFFFD200专业技能训练师：|r制皮（160）|n|cFFFFD200价格：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3774
2673,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3775
2674,|cFFFFD200专业技能训练师：|r制皮（180）|n|cFFFFD200价格：|r12|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3776
2675,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3777
2676,|cFFFFD200商人出售：|r雷克奇兹|n|cFFFFD200地区：|r荆棘谷海角|n|cFFFFD200价格：|r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,2,3778
2677,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3779
2678,|cFFFFD200专业技能训练师：|r制皮（35）|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,3816
2679,|cFFFFD200专业技能训练师：|r制皮（100）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3817
2680,|cFFFFD200专业技能训练师：|r制皮（150）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3818
2681,|cFFFFD200专业技能训练师：|r制皮（150）|n|cFFFFD200价格：|r7|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,3780
2687,|cFFFFD200专业技能训练师：|r裁缝（10）|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2385
2688,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r外域,0,0,2389
2689,|cFFFFD200专业技能训练师：|r裁缝（65）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2386
2690,|cFFFFD200专业技能训练师：|r裁缝（40）|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2392
2691,|cFFFFD200专业技能训练师：|r裁缝（1）|n|cFFFFD200价格：|r25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2393
2692,|cFFFFD200专业技能训练师：|r裁缝（40）|n|cFFFFD200价格：|r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2394
2693,|cFFFFD200专业技能训练师：|r裁缝（60）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2397
2694,|cFFFFD200专业技能训练师：|r裁缝（70）|n|cFFFFD200价格：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2395
2695,|cFFFFD200专业技能训练师：|r裁缝（70）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2396
2696,|cFFFFD200专业技能训练师：|r裁缝（75）|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2964
2697,|cFFFFD200专业技能训练师：|r裁缝（75）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,2402
2698,|cFFFFD200专业技能训练师：|r裁缝（85）|n|cFFFFD200价格：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2399
2699,|cFFFFD200专业技能训练师：|r裁缝（95）|n|cFFFFD200价格：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2401
2700,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,2403
2701,|cFFFFD200专业技能训练师：|r裁缝（100）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,2406
2702,|cFFFFD200专业技能训练师：|r裁缝（125）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3839
2703,|cFFFFD200专业技能训练师：|r裁缝（175）|n|cFFFFD200价格：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3865
2704,|cFFFFD200专业技能训练师：|r裁缝（35）|n|cFFFFD200价格：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3840
2705,|cFFFFD200专业技能训练师：|r裁缝（60）|n|cFFFFD200价格：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3841
2706,|cFFFFD200专业技能训练师：|r裁缝（70）|n|cFFFFD200价格：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3842
2707,|cFFFFD200专业技能训练师：|r裁缝（85）|n|cFFFFD200价格：|r4|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3843
2708,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,3844
2709,|cFFFFD200专业技能训练师：|r裁缝（80）|n|cFFFFD200价格：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3845
2710,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,3847
2711,|cFFFFD200专业技能训练师：|r裁缝（110）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3848
2712,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,3849
2713,|cFFFFD200专业技能训练师：|r裁缝（110）|n|cFFFFD200价格：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,-1,3,3850
2714,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落|n|n|cFFFFD200采集：|r世界采集点,0,0,3851
2715,|cFFFFD200专业技能训练师：|r裁缝（130）|n|cFFFFD200价格：|r7|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,3852
2716,|cFFFFD200商人出售：|r基瑞娜|n|cFFFFD200地区：|r凄凉之地|n|cFFFFD200价格：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,0,2,3854
2717,|cFFFFD200专业技能训练师：|r裁缝（125）|n|cFFFFD200价格：|r7|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,-1,3,3855
2718,|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200宝藏：|r世界掉落,0,0,3856
