ID,Description_lang,PendingText_lang,UiTextureKitID,GarrTypeID,GarrBuildingType,BaseCapacity,SmallDisplayInfoID,MediumDisplayInfoID,LargeDisplayInfoID,WorkingDisplayInfoID,WorkingSpellVisualID,CompleteSpellVisualID,MediumThreshold,LargeThreshold,Faction,CrossFactionID
52,"生产一批魔法水晶。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",时光水晶,44,2,18,1,16091,16092,22545,0,0,0,14,21,1,59
53,"生产一批弹簧齿轮。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",弹簧齿轮,47,2,19,7,16091,16092,22545,0,0,0,14,21,1,60
54,"生产一批战争颜料。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",战争颜料,45,2,20,1,16091,16092,22545,0,0,0,14,21,1,61
55,"使用你收集的德拉诺种子生产一批草药。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",药圃货物,54,2,2,1,16091,16092,16093,0,0,0,14,21,1,80
56,"使用你采集到的德拉诺岩石生产一批矿石。

你可以在要塞报告中查看生产进度。

等制造完成后再回来验收货物。",采矿货物,54,2,1,1,16091,16092,16093,0,0,0,14,21,1,79
57,"生产一批炼金催化剂。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",炼金催化剂,43,2,16,1,19959,19958,22544,0,0,0,14,21,0,31
58,"生产一批真钢锭。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",真钢锭,42,2,17,1,19959,19958,22544,0,0,0,14,21,0,49
59,"生产一批魔法水晶。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",时光水晶,44,2,18,1,19959,19958,22544,0,0,0,14,21,0,52
60,"生产一批弹簧齿轮。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",弹簧齿轮,47,2,19,1,19959,19958,22544,0,0,0,14,21,0,53
61,"生产一批战争颜料。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",战争颜料,45,2,20,1,19959,19958,22544,0,0,0,14,21,0,54
62,"生产一批塔拉迪特水晶。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",塔拉迪特水晶,46,2,21,1,19959,19958,22544,0,0,0,14,21,0,51
63,"生产一批上蜡皮革。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",上蜡皮革,49,2,22,1,19959,19958,22544,0,0,0,14,21,0,50
64,"生产一批妖纹布。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",妖纹布,52,2,23,1,19959,19958,22544,0,0,0,14,21,0,37
65,"在白骨祭坛上交敌人的残骸，换取丰厚且强大的物品。

你可以在要塞报告中查看生产进度。",胜利者的礼物,54,2,25,1,2614,15449,22474,0,0,0,14,21,-1,0
66,"用未加工过的生产材料换取要塞物资。

你可以在要塞报告中查看生产进度。

等制造完成后再回来验收货物。",要塞物资,54,2,6,1,16091,16092,16093,0,0,0,14,21,1,70
70,"用未加工过的生产材料换取要塞物资。

你可以在要塞报告中查看生产进度。

等制造完成后再回来验收货物。",要塞物资,54,2,6,1,19959,19958,22544,0,0,0,14,21,0,66
74,"生产一辆过载的攻城车。

你可以在要塞报告中查看生产进度。

等制造完成后再回来验收货物。",过载的攻城车,159,2,26,1,24673,24673,24673,0,0,0,1,2,0,75
75,"生产一辆过载的攻城坦克。

你可以在要塞报告中查看生产进度。

等制造完成后再回来验收货物。",过载的攻城坦克,90,2,26,1,24672,24672,24672,0,0,0,1,2,1,74
77,"卖出要塞物资，换取追随者的升级和护甲碎片。

你可以在要塞报告中查看订单进度。

当生产完成后，再回来接收货物。",,18,2,10,1,19959,19958,22544,0,0,0,14,21,0,78
78,"卖出要塞物资，换取追随者的升级和护甲碎片。

你可以在要塞报告中查看订单进度。

当生产完成后，再回来接收货物。",,16,2,10,1,16091,16092,22545,0,0,0,14,21,1,77
79,"使用你采集到的德拉诺岩石生产一批矿石。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",采矿货物,54,2,1,1,19959,19958,22544,0,0,0,14,21,0,56
80,"使用你收集的德拉诺种子生产一批草药。

你可以在要塞报告中查看生产进度。

当建筑达到2级或以上时，你可以通过建筑设计桌指派一名追随者在其中工作，以提高产量。",药圃货物,54,2,2,1,19959,19958,22544,0,0,0,14,21,0,55
100,"上交食人魔道标石，换取埃匹希斯水晶以及加急任务指令。

你可以在要塞报告中查看生产进度。

等生产完成后，记得回来接收货物。",,149,2,13,1,19959,19958,22544,0,0,0,14,21,0,101
101,"上交食人魔道标石，换取埃匹希斯水晶以及加急任务指令。

你可以在要塞报告中查看生产进度。

等生产完成后，记得回来接收货物。",,29,2,13,1,16091,16092,22545,0,0,0,14,21,1,100
103,"可以向水下发射炮弹，摧毁水下舰船。

|cFFFFD200建造时间：30分钟|r

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff潜水艇|r",,9,2,9,1,10070,10070,10070,10070,44449,0,2,3,1,113
104,"一艘毁灭性的潜水舰艇，可用于海军行动。

|cFFFFD200建造时间：2小时|r

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t |cffffffff航母|r",,9,2,9,1,10309,10309,10309,10309,44449,0,2,3,1,111
105,"一艘拥有大口径火炮的强力舰船，可用于海军行动。

|cFFFFD200建造时间：1小时|r

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t |cffffffff驱逐舰|r",,9,2,9,1,15165,15165,15165,15165,44449,0,2,3,1,112
106,"一艘运输部队和给养的大型舰船，可用于海军行动。

|cFFFFD200建造时间：30分钟|r

|cffb2f0ff应对：|r
|TInterface\ICONS\ABILITY_ROGUE_FLEETFOOTED.BLP:24:24:0:0|t |cffffffff地面目标|r",,9,2,9,1,26784,26784,26784,26784,44449,0,2,3,-1,0
107,"一艘可以在海上发动空中打击的战略性舰船，可用于海军行动。

|cFFFFD200建造时间：2小时|r

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_ArmorPiercingAmmo.blp:24:24:0:0|t |cffffffff战列舰|r",,9,2,9,1,27015,27015,27015,27015,44449,0,2,3,-1,0
109,"一艘运输部队和给养的大型舰船，可用于海军行动。

|cFFFFD200建造时间：1分钟|r

|cffb2f0ff应对：|r
|TInterface\ICONS\ABILITY_ROGUE_FLEETFOOTED.BLP:24:24:0:0|t |cffffffff地面目标|r",,9,2,9,1,26784,26784,26784,26784,44449,0,2,3,-1,0
111,"一艘毁灭性的潜水舰艇，可用于海军行动。

|cFFFFD200建造时间：2小时|r

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t |cffffffff航母|r",,9,2,9,1,27211,27211,27211,27211,44449,0,2,3,0,104
112,"一艘拥有大口径火炮的强力舰船，可用于海军行动。

|cFFFFD200建造时间：1小时|r

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t |cffffffff驱逐舰|r",,9,2,9,1,10322,10322,10322,10322,44449,0,2,3,0,105
113,"可以向水下发射炮弹，摧毁水下舰船。

|cFFFFD200建造时间：30分钟|r

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff潜水艇|r",,9,2,9,1,10941,10941,10941,10941,44449,0,2,3,0,103
114,"可以向水下发射炮弹，摧毁水下舰船。

|cFFFFD200建造时间：1分钟|r

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff潜水艇|r",,9,2,9,1,10070,10070,10070,10070,44449,0,2,3,1,115
115,"可以向水下发射炮弹，摧毁水下舰船。

|cFFFFD200建造时间：1分钟|r

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff潜水艇|r",,9,2,9,1,10941,10941,10941,10941,44449,0,2,3,0,114
119,"可以向水下发射炮弹，摧毁水下舰船。

|cFFFFD200建造时间：1分钟|r

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff潜水艇|r",,9,2,9,1,10070,10070,10070,10070,44449,0,2,3,1,121
121,"可以向水下发射炮弹，摧毁水下舰船。

|cFFFFD200建造时间：1分钟|r

|cffb2f0ff应对舰船：|r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff潜水艇|r",,9,2,9,1,10941,10941,10941,10941,44449,0,2,3,0,119
122,诺米会为你研究新的食谱。,实验厨房成果,51,3,0,24,12572,12573,12573,0,0,0,20,21,-1,0
124,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,0,3,0,4,11843,11843,11843,11843,61015,0,4,4,-1,0
125,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,0,3,0,3,11843,11843,11843,11843,61015,0,2,3,-1,0
126,"征调一队朱鹤弟子陪伴追随者执行任务，提高获得额外奖励的几率。

|cFFFFD200建造时间：30分钟|r",部队物资,9,3,0,2,11843,11843,11843,0,0,0,2,3,-1,0
128,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,3,35397,35397,35397,35397,61015,0,3,3,-1,0
129,召唤一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,4,35397,35397,35397,35397,61015,0,4,4,-1,0
130,"征调大量恶魔卫士为你执行任务。

|cFFFFD200建造时间：1小时|r",恶魔卫士,9,3,0,1,8618,8618,8618,0,0,0,1,1,-1,0
131,召唤一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,4,35172,35172,35172,35172,61015,0,4,4,-1,0
132,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队物资,9,3,0,3,35172,35172,35172,35172,61015,0,3,3,-1,0
133,"征调一队[单位]为你执行任务。

|cFFFFD200建造时间：30分钟|r",部队物资,9,3,0,1,35172,35172,35172,0,0,0,2,3,-1,0
134,复活一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,4,8225,8225,8225,8225,61015,0,4,4,-1,0
135,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,3,8225,8225,8225,8225,61015,0,3,3,-1,0
136,"征调一支部队，可以陪勇士一起进行任务，从而提高成功率。
|cFFFFD200建造时间：30分钟|r",部队物资,9,3,0,1,8225,8225,8225,0,0,0,2,3,-1,0
137,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,4,26916,26916,26916,26916,61015,0,4,4,-1,0
138,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,3,26916,26916,26916,26916,61015,0,3,3,-1,0
139,"征调一支部队，可以陪勇士一起进行任务，从而提高成功率。

|cFFFFD200建造时间：30分钟|r",部队物资,9,3,0,1,26916,26916,26916,0,0,0,2,3,-1,0
140,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,4,35171,35171,35171,35171,61015,0,4,4,-1,0
141,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,3,35171,35171,35171,35171,61015,0,3,3,-1,0
142,"征调一支部队，可以陪勇士一起进行任务，从而提高成功率。

|cFFFFD200建造时间：30分钟|r",部队物资,9,3,0,1,35171,35171,35171,0,0,0,2,3,-1,0
143,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,4,36448,36448,36448,36448,61015,0,4,4,-1,0
144,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,3,36448,36448,36448,36448,61015,0,3,3,-1,0
145,"征调一队[单位]为你执行任务。

|cFFFFD200建造时间：30分钟|r",部队物资,9,3,0,1,10721,10721,10721,0,0,0,2,3,-1,0
146,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,4,35170,35170,35170,35170,61015,0,4,4,-1,0
147,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,3,35170,35170,35170,35170,61015,0,3,3,-1,0
148,"征调一队[单位]为你执行任务。

|cFFFFD200建造时间：30分钟|r",部队物资,9,3,0,1,35170,35170,35170,0,0,0,2,3,-1,0
149,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,4,35174,35174,35174,35174,61015,0,4,4,-1,0
150,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,3,35174,35174,35174,35174,61015,0,3,3,-1,0
151,"征调一支部队，可以陪勇士一起进行任务，从而提高成功率。

|cFFFFD200建造时间：30分钟|r",部队物资,9,3,0,1,35174,35174,35174,0,0,0,2,3,-1,0
152,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,4,36449,36449,36449,36449,61015,0,4,4,-1,0
153,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,3,36449,36449,36449,36449,61015,0,3,3,-1,0
154,"征调一支部队，可以陪勇士一起进行任务，从而提高成功率。

|cFFFFD200建造时间：30分钟|r",部队物资,9,3,0,1,10721,10721,10721,0,0,0,2,3,-1,0
155,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,0,3,0,3,35398,35398,35398,35398,61015,0,3,3,-1,0
156,召唤一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,0,3,0,4,35398,35398,35398,35398,61015,0,4,4,-1,0
157,召唤一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,1,35398,35398,35398,35398,61015,0,1,1,-1,0
158,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,4,33176,33176,33176,33176,61015,0,4,4,-1,0
159,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,3,33176,33176,33176,33176,61015,0,3,3,-1,0
160,"征调训练一支部队，可以陪勇士一起进行任务，从而提高成功率。
|cFFFFD200建造时间：30分钟|r",部队物资,9,3,0,1,33176,33176,33176,0,0,0,2,3,-1,0
161,"征调一队朱鹤高手陪伴追随者执行任务，提高获得额外奖励的几率。

|cFFFFD200建造时间：30分钟|r",部队物资,9,3,0,2,10811,10811,10811,0,0,0,2,3,-1,0
163,"征调一队白虎高手陪伴追随者执行任务，提高成功率。

|cFFFFD200建造时间：30分钟|r",部队物资,9,3,0,2,11843,11843,11843,0,0,0,2,3,-1,0
164,召唤一个强大的盟友，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,1,35173,35173,35173,35173,61015,0,1,1,-1,0
165,"征调一队玄牛高手陪伴追随者执行任务，提高成功率。

|cFFFFD200建造时间：30分钟|r",部队物资,9,3,0,4,11843,11843,11843,0,0,0,4,4,-1,0
166,"征调一群野生小鬼来为你执行任务。

|cFFFFD200建造时间：30分钟|r",一群野生小鬼,9,3,0,4,8618,8618,8618,0,0,0,4,4,-1,0
167,"征调一群邪能愤怒卫士恶魔来为你执行任务。

|cFFFFD200建造时间：1小时|r",邪能愤怒卫士恶魔,9,3,0,1,8618,8618,8618,0,0,0,1,1,-1,0
168,"征调一群黑暗收割祈祷者来为你执行任务。

|cFFFFD200建造时间：30分钟|r",黑暗收割祈祷者,9,3,0,2,8618,8618,8618,0,0,0,2,2,-1,0
171,征调一批勇士武器和装备物资。,部队物资,16,3,0,4,36928,36928,36928,0,0,0,4,2,-1,0
173,开始对你的神器进行附加研究。获得的知识会提高你获得神器能量的速度。,等待研究的笔记,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
177,征调一个破碎命运印记。,破碎命运印记物资,16,3,0,1,26060,26060,26060,0,0,0,1,1,-1,0
178,征调一头冰霜巨龙用来释放。,召唤冰霜巨龙,16,3,0,1,36780,36780,36780,36780,61015,0,1,1,-1,0
179,召唤一个放在魔化护命匣里的地狱火，可以释放它以完成一个世界任务。,被奴役的地狱火,16,3,0,1,37137,37137,37137,37137,61015,0,1,1,-1,0
180,把组织的力量引导到聚焦水晶中，让你可以释放达拉然之力，完成一个世界任务。,引导达拉然之力。,16,3,0,1,7631,7631,7631,7631,61015,0,1,1,-1,0
181,开始对你的神器进行附加研究。获得的知识会提高你获得神器能量的速度。,等待研究的笔记,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
182,开始对你的神器进行附加研究。获得的知识会提高你获得神器能量的速度。,等待研究的笔记,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
183,开始对你的神器进行附加研究。获得的知识会提高你获得神器能量的速度。,等待研究的笔记,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
184,开始对你的神器进行附加研究。获得的知识会提高你获得神器能量的速度。,等待研究的笔记,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
185,开始对你的神器进行附加研究。获得的知识会提高你获得神器能量的速度。,等待研究的笔记,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
186,开始对你的神器进行附加研究。获得的知识会提高你获得神器能量的速度。,等待研究的笔记,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
187,开始对你的神器进行附加研究。获得的知识会提高你获得神器能量的速度。,等待研究的笔记,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
188,开始对你的神器进行附加研究。获得的知识会提高你获得神器能量的速度。,等待研究的笔记,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
189,开始对你的神器进行附加研究。获得的知识会提高你获得神器能量的速度。,等待研究的笔记,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
190,开始对你的神器进行附加研究。获得的知识会提高你获得神器能量的速度。,等待研究的笔记,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
191,开始对你的神器进行附加研究。获得的知识会提高你获得神器能量的速度。,等待研究的笔记,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
192,开始招募白银之手先锋，可以释放他们来完成世界任务。,先锋崛起,16,3,0,1,37230,37230,37230,37230,61015,0,1,1,-1,0
193,召唤组织的祈祷，祝福你的勇士，提高他们任务的成功率。,祝福仪式,16,3,0,1,35853,35853,35853,35853,61015,0,1,1,-1,0
194,开始召唤瓦格里，你可以把她们部署出去，完成一个世界任务。,召唤瓦格里,16,3,0,1,33174,33174,33174,33174,61015,0,1,1,-1,0
195,引导组织的怒火，为裂隙之核充能，让你可以部署裂隙火炮，完成一个世界任务。,引导组织的怒火。,16,3,0,1,25536,25536,25536,25536,61015,0,1,1,-1,0
196,召唤一名强大的盟友，可以陪勇士一起进行任务，从而提高成功率。,部队物资,9,3,0,1,35171,35171,35171,35171,61015,0,1,1,-1,0
197,征调一批勇士武器和装备物资。,部队物资,16,3,0,4,36928,36928,36928,35924,61015,0,4,2,-1,0
198,征调一批勇士武器和装备物资。,部队物资,16,3,0,4,31180,31180,31180,31180,61015,0,4,2,-1,0
199,征调一批勇士武器和装备物资。,部队物资,16,3,0,4,36928,36928,36928,36928,61015,0,4,2,-1,0
200,征调一批勇士武器和装备物资。,部队物资,16,3,0,4,7088,7088,7088,7088,61015,0,4,2,-1,0
201,征调一批勇士武器和装备物资。,部队物资,16,3,0,4,37189,37189,37189,37189,61015,0,4,4,-1,0
202,征调一批勇士武器和装备物资。,部队物资,16,3,0,4,37480,37478,37481,37480,61015,0,2,4,-1,0
203,征调一批勇士武器和装备物资。,部队物资,16,3,0,4,30825,30825,30825,30825,61015,0,4,2,-1,0
204,征调一批勇士武器和装备物资。,部队物资,16,3,0,4,36928,36928,36928,36928,61015,0,4,2,-1,0
205,征调一批勇士武器和装备物资。,部队物资,16,3,0,4,36928,36928,36928,36928,61015,0,4,2,-1,0
206,征调一批勇士武器和装备物资。,部队物资,16,3,0,4,30127,30127,30127,30127,61015,0,4,2,-1,0
207,征调一批勇士武器和装备物资。,部队物资,16,3,0,4,37231,37231,37231,37231,61015,0,4,2,-1,0
208,征调一批勇士武器和装备物资。,部队物资,16,3,0,4,37234,37234,37234,37234,61015,0,4,2,-1,0
209,征调一个破碎命运印记。,破碎命运印记物资,16,3,0,1,37191,37191,37191,37191,61015,0,1,1,-1,0
210,征调一个破碎命运印记。,破碎命运印记物资,16,3,0,1,27369,27369,27369,27369,61015,0,1,1,-1,0
211,征调一个破碎命运印记。,破碎命运印记物资,16,3,0,1,36278,36278,36278,36278,61015,0,1,1,-1,0
212,征调一个破碎命运印记。,破碎命运印记物资,16,3,0,1,6964,6964,6964,6964,61015,0,1,1,-1,0
213,征调一个破碎命运印记。,破碎命运印记物资,16,3,0,1,35501,35501,35501,35501,61015,0,1,1,-1,0
214,征调一个破碎命运印记。,破碎命运印记物资,16,3,0,1,26060,26060,26060,26060,61015,0,1,1,-1,0
215,征调一个破碎命运印记。,破碎命运印记物资,16,3,0,1,26060,26060,26060,26060,61015,0,1,1,-1,0
216,征调一个破碎命运印记。,破碎命运印记物资,16,3,0,1,34442,34442,34442,34442,61015,0,1,1,-1,0
217,征调一个破碎命运印记。,破碎命运印记物资,16,3,0,1,32320,32320,32320,32320,61015,0,1,1,-1,0
218,征调一个破碎命运印记。,破碎命运印记物资,16,3,0,1,29891,29891,29891,29891,61015,0,1,1,-1,0
219,征调一个破碎命运印记。,破碎命运印记物资,16,3,0,1,34219,34219,34219,34219,61015,0,1,1,-1,0
220,征调一个破碎命运印记。,破碎命运印记物资,16,3,0,1,26060,26060,26060,26060,61015,0,1,1,-1,0
223,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队物资,9,3,0,2,35172,35172,35172,35172,61015,0,2,2,-1,0
224,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,2,33176,33176,33176,33176,61015,0,2,2,-1,0
225,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,2,8225,8225,8225,8225,61015,0,2,2,-1,0
226,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,2,26916,26916,26916,26916,61015,0,2,2,-1,0
227,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,2,35171,35171,35171,35171,61015,0,2,2,-1,0
228,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,2,36448,36448,36448,36448,61015,0,2,2,-1,0
229,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,2,11843,11843,11843,11843,61015,0,2,2,-1,0
230,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,2,35170,35170,35170,35170,61015,0,2,2,-1,0
231,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,2,35174,35174,35174,35174,61015,0,2,2,-1,0
232,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,2,36449,36449,36449,36449,61015,0,2,2,-1,0
233,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,2,35398,35398,35398,35398,61015,0,2,2,-1,0
234,训练一支部队，可以陪勇士一起进行任务，从而提高成功率。,部队训练,9,3,0,2,35397,35397,35397,35397,61015,0,2,2,-1,0
238,想要获得增援？下个订单吧，我会从暴风城安排运兵船，提供额外的部队。,联盟部队已部署。,0,9,0,6,5651,5651,5651,5651,61015,0,6,6,1,239
239,想要获得增援？下个订单吧，我会从奥格瑞玛安排运兵船，提供额外的部队。,部落部队已部署。,0,9,0,6,5652,5652,5652,5652,61015,0,6,6,0,238
