ID,EffectDescription_lang,AuraDescription_lang,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
42,每$t@effectindex秒对一名敌人造成一次暗影伤害，持续$d。,每$t@effectindex秒受到一次暗影伤害。,6,70,1,3,32,50,50
43,对一名敌人造成物理伤害。,,31,0,1,3,1,50,50
44,对一名敌人造成神圣伤害。,,31,0,1,3,2,50,50
45,对一名敌人造成火焰伤害。,,31,0,1,3,4,50,50
46,对一名敌人造成自然伤害。,,31,0,1,3,8,50,50
47,对一名敌人造成冰霜伤害。,,31,0,1,3,16,50,50
48,对一名敌人造成暗影伤害。,,31,0,1,3,32,50,50
49,对一名敌人造成奥术伤害。,,31,0,1,3,64,50,50
50,对一名敌人造成混乱伤害。,,31,0,1,3,127,50,50
51,每$t@effectindex秒对一名敌人造成一次物理伤害，持续$d。,每$t@effectindex秒受到一次物理伤害。,6,70,1,3,1,50,50
52,每$t@effectindex秒对一名敌人造成一次神圣伤害，持续$d。,每$t@effectindex秒受到一次神圣伤害。,6,70,1,3,2,50,50
53,每$t@effectindex秒对一名敌人造成一次火焰伤害，持续$d。,每$t@effectindex秒受到一次火焰伤害。,6,70,1,3,4,50,50
54,每$t@effectindex秒对一名敌人造成一次自然伤害，持续$d。,每$t@effectindex秒受到一次自然伤害。,6,70,1,3,8,50,50
55,每$t@effectindex秒对一名敌人造成一次冰霜伤害，持续$d。,每$t@effectindex秒受到一次冰霜伤害。,6,70,1,3,16,50,50
56,每$t@effectindex秒对一名敌人造成一次奥术伤害，持续$d。,每$t@effectindex秒受到一次奥术伤害。,6,70,1,3,64,50,50
57,每$t@effectindex秒对一名敌人造成一次混乱伤害，持续$d。,每$t@effectindex秒受到一次混乱伤害。,6,70,1,3,127,50,50
58,每$t@effectindex秒对一名敌人造成$s@effectindex点物理伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点物理伤害。,6,3,1,1,1,50,50
59,每$t@effectindex秒对一名敌人造成$s@effectindex点神圣伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点神圣伤害。,6,3,1,1,2,50,50
60,每$t@effectindex秒对一名敌人造成$s@effectindex点火焰伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点火焰伤害。,6,3,1,1,4,50,50
61,每$t@effectindex秒对一名敌人造成$s@effectindex点自然伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点自然伤害。,6,3,1,1,8,50,50
62,每$t@effectindex秒对一名敌人造成$s@effectindex点冰霜伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点冰霜伤害。,6,3,1,1,16,50,50
63,每$t@effectindex秒对一名敌人造成$s@effectindex点暗影伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点暗影伤害。,6,3,1,1,32,50,50
64,每$t@effectindex秒对一名敌人造成$s@effectindex点奥术伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点奥术伤害。,6,3,1,1,64,50,50
65,每$t@effectindex秒对一名敌人造成$s@effectindex点混乱伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点混乱伤害。,6,3,1,1,127,50,50
66,每$t@effectindex秒对一名敌人造成一次物理伤害，持续$d。,每$t@effectindex秒受到一次物理伤害。,6,70,1,1,1,50,50
67,每$t@effectindex秒对一名敌人造成一次神圣伤害，持续$d。,每$t@effectindex秒受到一次神圣伤害。,6,70,1,1,2,50,50
68,每$t@effectindex秒对一名敌人造成一次火焰伤害，持续$d。,每$t@effectindex秒受到一次火焰伤害。,6,70,1,1,4,50,50
69,每$t@effectindex秒对一名敌人造成一次自然伤害，持续$d。,每$t@effectindex秒受到一次自然伤害。,6,70,1,1,8,50,50
70,每$t@effectindex秒对一名敌人造成一次冰霜伤害，持续$d。,每$t@effectindex秒受到一次冰霜伤害。,6,70,1,1,16,50,50
71,每$t@effectindex秒对一名敌人造成一次奥术伤害，持续$d。,每$t@effectindex秒受到一次奥术伤害。,6,70,1,1,64,50,50
72,每$t@effectindex秒对一名敌人造成一次混乱伤害，持续$d。,每$t@effectindex秒受到一次混乱伤害。,6,70,1,1,127,50,50
83,每$t@effectindex秒为施法者恢复$s@effectindex%的最大生命值，持续$d。,每$t@effectindex秒恢复$s@effectindex%的最大生命值。,6,20,1,1,0,0,0
85,为施法者恢复其最大生命值的$s@effectindex%。,,136,0,1,1,0,0,0
91,打断$A@effectindex码范围内的所有敌人的施法，持续$d。,,68,0,0,7,0,30,0
92,打断一名敌人施法，持续$d。,,68,0,1,3,1,30,0
93,使一名敌人沉默，在$d内不能施法。,不能施法。,6,27,0,3,0,30,0
94,攻击和施法速度降低$s@effectindex%，持续$d。,攻击和施法速度降低$s@effectindex%。,6,193,2,3,0,0,0
96,击退一名敌人。,,98,0,1,3,0,0,0
97,用护盾围绕施法者，持续$d，吸收最多$s@effectindex点伤害。,吸收$s@effectindex点伤害。,6,69,1,1,127,0,0
98,用护盾围绕施法者，持续$d，吸收最多$s@effectindex点物理伤害。,吸收$s@effectindex点物理伤害。,6,69,1,1,1,0,0
99,用护盾围绕施法者，持续$d，吸收最多$s@effectindex点神圣伤害。,吸收$s@effectindex点神圣伤害。,6,69,1,1,2,0,0
100,用护盾围绕施法者，持续$d，吸收最多$s@effectindex点火焰伤害。,吸收$s@effectindex点火焰伤害。,6,69,1,1,4,0,0
101,用护盾围绕施法者，持续$d，吸收最多$s@effectindex点自然伤害。,吸收$s@effectindex点自然伤害。,6,69,1,1,8,0,0
102,用护盾围绕施法者，持续$d，吸收最多$s@effectindex点冰霜伤害。,吸收$s@effectindex点冰霜伤害。,6,69,1,1,16,0,0
103,用护盾围绕施法者，持续$d，吸收最多$s@effectindex点暗影伤害。,吸收$s@effectindex点暗影伤害。,6,69,1,1,32,0,0
104,用护盾围绕施法者，持续$d，吸收最多$s@effectindex点奥术伤害。,吸收$s@effectindex点奥术伤害。,6,69,1,1,64,0,0
105,使施法者的攻击和施法速度提高$s@effectindex%，持续$d。,攻击和施法速度提高$s@effectindex%。,6,193,1,1,0,10,0
106,攻击和施法速度降低$s@effectindex%，持续$d。,攻击和施法速度降低$s@effectindex%。,6,193,2,1,0,0,0
107,使移动速度降低$s@effectindex%。,移动速度降低$s@effectindex%。,6,33,1,1,0,0,0
108,对冲击点周围$A@effectindex码内的所有敌人造成物理伤害。,,31,0,1,5,1,50,50
109,对冲击点周围$A@effectindex码内的所有敌人造成神圣伤害。,,31,0,1,5,2,50,50
110,对冲击点周围$A@effectindex码内的所有敌人造成火焰伤害。,,31,0,1,5,4,50,50
111,对冲击点周围$A@effectindex码内的所有敌人造成自然伤害。,,31,0,1,5,8,50,50
112,对冲击点周围$A@effectindex码内的所有敌人造成冰霜伤害。,,31,0,1,5,16,50,50
113,对冲击点周围$A@effectindex码内的所有敌人造成暗影伤害。,,31,0,1,5,32,50,50
114,对冲击点周围$A@effectindex码内的所有敌人造成奥术伤害。,,31,0,1,5,64,50,50
115,对冲击点周围$A@effectindex码内的所有敌人造成混乱伤害。,,31,0,1,5,127,50,50
116,使施法者的移动速度提高$s@effectindex%，持续$d。,移动速度提高$s@effectindex%。,6,31,1,1,0,10,0
118,击退冲击点周围$A@effectindex码内的所有敌人。,,98,0,1,5,0,0,0
119,对$A@effectindex码内的所有敌人造成物理伤害。,,31,0,1,7,1,50,50
120,对$A@effectindex码内的所有敌人造成神圣伤害。,,31,0,1,7,2,50,50
121,对$A@effectindex码内的所有敌人造成火焰伤害。,,31,0,1,7,4,50,50
122,对$A@effectindex码内的所有敌人造成自然伤害。,,31,0,1,7,8,50,50
123,对$A@effectindex码内的所有敌人造成冰霜伤害。,,31,0,1,7,16,50,50
124,对$A@effectindex码内的所有敌人造成暗影伤害。,,31,0,1,7,32,50,50
125,对$A@effectindex码内的所有敌人造成奥术伤害。,,31,0,1,7,64,50,50
126,对$A@effectindex码内的所有敌人造成混乱伤害。,,31,0,1,7,127,50,50
127,使$A@effectindex码内所有敌人的移动速度降低$s@effectindex%，持续$d。,移动速度降低$s@effectindex%。,6,33,1,7,0,10,0
128,对施法者前方的所有敌人造成物理伤害。,,31,0,1,9,1,50,50
129,对施法者前方的所有敌人造成火焰伤害。,,31,0,1,9,4,50,50
130,使施法者造成的伤害提高$s@effectindex%。,造成的伤害提高$s@effectindex%。,6,79,1,1,127,30,30
131,使一名敌人的护甲降低$s@effectindex%，持续$d。,护甲降低$s@effectindex%。,6,101,2,3,1,0,0
132,对$A@effectindex码内的所有敌人造成物理伤害。,,165,0,1,7,1,50,50
136,对施法者前方的所有敌人造成$s@effectindex点暗影伤害。,,2,0,1,9,32,50,50
137,对施法者前方的所有敌人造成$s@effectindex点物理伤害。,,2,0,1,9,1,50,50
138,对施法者前方的所有敌人造成$s@effectindex点火焰伤害。,,2,0,1,9,4,50,50
139,对施法者前方的所有敌人造成$s@effectindex点神圣伤害。,,2,0,1,9,2,50,50
140,对施法者前方的所有敌人造成$s@effectindex点自然伤害。,,2,0,1,9,8,50,50
141,对施法者前方的所有敌人造成$s@effectindex点冰霜伤害。,,2,0,1,9,16,50,50
142,对施法者前方的所有敌人造成$s@effectindex点奥术伤害。,,2,0,1,9,64,50,50
143,对施法者前方的所有敌人造成$s@effectindex点混乱伤害。,,2,0,1,9,127,50,50
144,使一名敌人受到的物理伤害提高$s@effectindex%，持续$d。,受到的物理伤害提高$s@effectindex%。,6,87,1,3,1,0,0
145,使一名敌人受到的神圣伤害提高$s@effectindex%，持续$d。,受到的神圣伤害提高$s@effectindex%。,6,87,1,3,2,0,0
146,使一名敌人受到的火焰伤害提高$s@effectindex%，持续$d。,受到的火焰伤害提高$s@effectindex%。,6,87,1,3,4,0,0
147,使一名敌人受到的自然伤害提高$s@effectindex%，持续$d。,受到的自然伤害提高$s@effectindex%。,6,87,1,3,8,0,0
148,使一名敌人受到的冰霜伤害提高$s@effectindex%，持续$d。,受到的冰霜伤害提高$s@effectindex%。,6,87,1,3,16,0,0
149,使一名敌人受到的暗影伤害提高$s@effectindex%，持续$d。,受到的暗影伤害提高$s@effectindex%。,6,87,1,3,32,0,0
150,使一名敌人受到的奥术伤害提高$s@effectindex%，持续$d。,受到的奥术伤害提高$s@effectindex%。,6,87,1,3,64,0,0
151,使一名敌人受到的伤害提高$s@effectindex%，持续$d。,受到的伤害提高$s@effectindex%。,6,87,1,3,127,0,0
152,使$A@effectindex码内所有敌人受到的物理伤害提高$s@effectindex%，持续$d。,受到的物理伤害提高$s@effectindex%。,6,87,1,7,1,0,0
153,使$A@effectindex码内所有敌人受到的神圣伤害提高$s@effectindex%，持续$d。,受到的神圣伤害提高$s@effectindex%。,6,87,1,7,2,0,0
154,使$A@effectindex码内所有敌人受到的火焰伤害提高$s@effectindex%，持续$d。,受到的火焰伤害提高$s@effectindex%。,6,87,1,7,4,0,0
155,使$A@effectindex码内所有敌人受到的自然伤害提高$s@effectindex%，持续$d。,受到的自然伤害提高$s@effectindex%。,6,87,1,7,8,0,0
156,使$A@effectindex码内所有敌人受到的冰霜伤害提高$s@effectindex%，持续$d。,受到的冰霜伤害提高$s@effectindex%。,6,87,1,7,16,0,0
157,使$A@effectindex码内所有敌人受到的暗影伤害提高$s@effectindex%，持续$d。,受到的暗影伤害提高$s@effectindex%。,6,87,1,7,32,0,0
158,使$A@effectindex码内所有敌人受到的奥术伤害提高$s@effectindex%，持续$d。,受到的奥术伤害提高$s@effectindex%。,6,87,1,7,64,0,0
159,使$A@effectindex码内所有敌人受到的伤害提高$s@effectindex%，持续$d。,受到的伤害提高$s@effectindex%。,6,87,1,7,127,0,0
160,向一名敌人发起冲锋。,,96,0,0,3,0,1,0
161,向一名敌人发起冲锋。,,149,0,0,3,0,1,0
162,向一名敌人发起冲锋。,,149,0,0,0,0,1,0
163,对施法者前方的所有敌人造成混乱伤害。,,31,0,1,9,127,50,50
164,对施法者前方的所有敌人造成奥术伤害。,,31,0,1,9,64,50,50
165,对施法者前方的所有敌人造成冰霜伤害。,,31,0,1,9,16,50,50
166,对施法者前方的所有敌人造成自然伤害。,,31,0,1,9,8,50,50
167,对施法者前方的所有敌人造成神圣伤害。,,31,0,1,9,2,50,50
170,对施法者前方的所有敌人造成暗影伤害。,,31,0,1,9,32,50,50
171,击退施法者前方的所有敌人。,,98,0,1,9,0,0,0
172,使$A@effectindex码内所有盟友造成的伤害提高$s@effectindex%。,造成的伤害提高$s@effectindex%。,6,79,1,6,127,30,30
173,使$A@effectindex码内所有敌人的移动速度降低$s@effectindex%，持续$d。,移动速度降低$s@effectindex%。,6,33,2,7,0,0,0
174,使目标的移动速度降低$s@effectindex%，持续$d。,移动速度降低$s@effectindex%。,6,33,1,3,0,0,0
175,使一名敌人造成的伤害降低$s@effectindex%，持续$d。,造成的伤害降低$s@effectindex%。,6,79,2,3,127,20,20
176,每$t@effectindex秒从目标身上吸取生命值并转移给施法者。,每$t@effectindex秒吸取一次生命值。,6,53,1,3,0,0,0
177,使施法者前方锥形范围内的所有敌人受到的治疗降低$s@effectindex%，持续$d。,受到的治疗效果降低$s@effectindex%。,6,118,2,9,127,0,0
178,对施法者前方锥形范围内的所有敌人造成暗影伤害。,,165,0,1,9,32,50,50
179,对$A@effectindex码内的所有敌人造成自然伤害。,,165,0,1,7,8,50,50
180,沉默$A@effectindex内的所有敌人，使他们无法施法，持续$d。,不能施法。,6,27,0,7,0,0,0
181,使施法者受到的伤害降低$s@effectindex%，持续$d。,受到的伤害降低$s@effectindex%。,6,87,2,1,127,0,0
182,传送至一个位置。,,252,0,0,1,0,0,0
183,每$t@effectindex秒对一名敌人造成相当于其最大生命值$s@effectindex%的物理伤害，持续$d。,每$t@effectindex秒受到相当于最大生命值的$s@effectindex%的物理伤害。,6,89,1,1,1,20,20
184,每$t@effectindex秒对一名敌人造成相当于其最大生命值$s@effectindex%的神圣伤害，持续$d。,每$t@effectindex秒受到相当于最大生命值的$s@effectindex%的神圣伤害。,6,89,1,1,2,20,20
185,每$t@effectindex秒对一名敌人造成相当于其最大生命值$s@effectindex%的火焰伤害，持续$d。,每$t@effectindex秒受到相当于最大生命值的$s@effectindex%的火焰伤害。,6,89,1,1,4,20,20
186,每$t@effectindex秒对一名敌人造成相当于其最大生命值$s@effectindex%的自然伤害，持续$d。,每$t@effectindex秒受到相当于最大生命值的$s@effectindex%的自然伤害。,6,89,1,1,8,20,20
187,每$t@effectindex秒对一名敌人造成相当于其最大生命值$s@effectindex%的冰霜伤害，持续$d。,每$t@effectindex秒受到相当于最大生命值的$s@effectindex%的冰霜伤害。,6,89,1,1,16,20,20
188,每$t@effectindex秒对一名敌人造成相当于其最大生命值$s@effectindex%的暗影伤害，持续$d。,每$t@effectindex秒受到相当于最大生命值的$s@effectindex%的暗影伤害。,6,89,1,1,32,20,20
189,每$t@effectindex秒对一名敌人造成相当于其最大生命值$s@effectindex%的奥术伤害，持续$d。,每$t@effectindex秒受到相当于最大生命值的$s@effectindex%的奥术伤害。,6,89,1,1,64,20,20
190,每$t@effectindex秒对一名敌人造成相当于其最大生命值$s@effectindex%的混乱伤害，持续$d。,每$t@effectindex秒受到相当于最大生命值的$s@effectindex%的混乱伤害。,6,89,1,1,127,20,20
291,使冲击点周围$A@effectindex码内所有敌人受到的伤害提高$s@effectindex%，持续$d。,受到的伤害提高$s@effectindex%。,6,87,1,5,127,10,10
292,使冲击点周围$A@effectindex码内所有敌人受到的奥术伤害提高$s@effectindex%，持续$d。,受到的奥术伤害提高$s@effectindex%。,6,87,1,5,64,10,10
293,使冲击点周围$A@effectindex码内所有敌人受到的暗影伤害提高$s@effectindex%，持续$d。,受到的暗影伤害提高$s@effectindex%。,6,87,1,5,32,10,10
294,使冲击点周围$A@effectindex码内所有敌人受到的冰霜伤害提高$s@effectindex%，持续$d。,受到的冰霜伤害提高$s@effectindex%。,6,87,1,5,16,10,10
295,使冲击点周围$A@effectindex码内所有敌人受到的自然伤害提高$s@effectindex%，持续$d。,受到的自然伤害提高$s@effectindex%。,6,87,1,5,8,10,10
296,使冲击点周围$A@effectindex码内所有敌人受到的火焰伤害提高$s@effectindex%，持续$d。,受到的火焰伤害提高$s@effectindex%。,6,87,1,5,4,10,10
297,使冲击点周围$A@effectindex码内所有敌人受到的神圣伤害提高$s@effectindex%，持续$d。,受到的神圣伤害提高$s@effectindex%。,6,87,1,5,2,10,10
298,使冲击点周围$A@effectindex码内所有敌人受到的物理伤害提高$s@effectindex%，持续$d。,受到的物理伤害提高$s@effectindex%。,6,87,1,5,1,10,10
299,使$A@effectindex码内所有敌人造成的伤害提高$s@effectindex%，持续$d。,造成的伤害提高$s@effectindex%。,6,79,1,7,127,30,30
300,使一名敌人造成的伤害提高$s@effectindex%，持续$d。,造成的伤害提高$s@effectindex%。,6,79,1,3,127,30,30
301,对一名敌人造成法术打击伤害。,,31,0,1,3,65,50,50
302,对冲击点周围$A@effectindex码内的敌人造成火焰伤害。,,165,0,1,5,4,50,50
303,每$t@effectindex秒使冲击点周围$A@effectindex码内的所有敌人受到一次火焰伤害，持续$d。,每$t@effectindex秒受到一次火焰伤害。,6,70,1,5,4,50,50
304,使目标的移动速度降低$s@effectindex%，持续$d。,移动速度降低$s@effectindex%。,6,33,2,3,0,0,0
305,每$t@effectindex秒为施法者和周围$A@effectindex码范围内所有盟友恢复$s@effectindex%的最大生命值，持续$d。,每$t@effectindex秒恢复$s@effectindex%的最大生命值。,6,20,1,4,0,0,0
306,每$t@effectindex秒为施法者和周围$A@effectindex码范围内所有盟友恢复$s@effectindex%的最大生命值，持续$d。,每$t@effectindex秒恢复$s@effectindex%的最大生命值。,6,20,1,6,0,0,0
308,对$A@effectindex内的所有敌人造成自然伤害。,,2,0,1,4,8,50,50
309,对$A@effectindex码范围内的所有敌人每$t@effectindex秒造成一次暗影伤害。持续$d。,每$t@effectindex秒受到一次暗影伤害。,6,70,1,7,32,50,50
310,每$t@effectindex秒对$A@effectindex码范围内的所有敌人造成一次自然伤害。持续$d。,每$t@effectindex秒受到一次自然伤害。,6,70,1,7,8,50,50
321,使目标在恐惧中逃跑，持续$d。,因恐惧而逃跑。,6,407,0,3,0,0,0
322,使$A@effectindex码内所有盟友的移动速度提高$s@effectindex%，持续$d。,移动速度提高$s@effectindex%。,6,31,1,6,0,0,0
326,test,test,244,0,0,0,0,2,0
327,迷惑目标，持续$d。,被迷惑。,6,5,0,3,0,0,0
329,每$t@effectindex秒对施法者周围$A@effectindex码内的所有敌人造成$s@effectindex点暗影伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点暗影伤害。,6,3,1,7,32,50,50
330,对一名敌人造成$s@effectindex点火焰伤害。,,2,0,1,1,4,50,50
331,造成法术打击伤害。,,2,0,1,1,65,50,50
332,对一名敌人造成$s@effectindex点暗影伤害。,,2,0,1,1,32,50,50
333,造成物理伤害。,,2,0,1,1,1,50,50
334,造成自然伤害。,,2,0,1,1,8,50,50
335,造成神圣伤害。,,2,0,1,1,2,50,50
336,对一名敌人造成$s@effectindex点冰霜伤害。,,2,0,1,1,16,50,50
337,造成混乱伤害。,,2,0,1,1,127,50,50
338,造成奥术伤害。,,2,0,1,1,64,50,50
339,每$t@effectindex秒对施法者前方的所有敌人造成一次暗影伤害，持续$d。,每$t@effectindex秒受到一次暗影伤害。,6,70,1,9,32,50,50
340,每$t@effectindex秒对施法者前方的所有敌人造成一次物理伤害，持续$d。,每$t@effectindex秒受到一次物理伤害。,6,70,1,9,1,50,50
341,每$t@effectindex秒对施法者前方的所有敌人造成一次自然伤害，持续$d。,每$t@effectindex秒受到一次自然伤害。,6,70,1,9,8,50,50
342,每$t@effectindex秒对施法者前方的所有敌人造成一次神圣伤害，持续$d。,每$t@effectindex秒受到一次神圣伤害。,6,70,1,9,2,50,50
343,每$t@effectindex秒对施法者前方的所有敌人造成一次冰霜伤害，持续$d。,每$t@effectindex秒受到一次冰霜伤害。,6,70,1,9,16,50,50
344,每$t@effectindex秒对施法者前方的所有敌人造成一次火焰伤害，持续$d。,每$t@effectindex秒受到一次火焰伤害。,6,70,1,9,4,50,50
345,每$t@effectindex秒对施法者前方的所有敌人造成一次奥术伤害，持续$d。,每$t@effectindex秒受到一次混乱伤害。,6,70,1,9,127,50,50
346,每$t@effectindex秒对施法者前方的所有敌人造成一次奥术伤害，持续$d。,每$t@effectindex秒受到一次奥术伤害。,6,70,1,9,64,50,50
347,使施法者前方锥形区域内的所有敌人迷惑$d。,被迷惑。,6,5,0,9,0,0,0
348,使冲击点周围$A@effectindex码内的敌人迷惑$d。,被迷惑。,6,5,0,5,0,0,0
349,击退一名敌人。,,98,0,1,1,0,0,0
350,使施法者前方的所有敌人昏迷，无法移动或攻击，持续$d。,昏迷。,6,12,0,9,0,0,0
351,使施法者前方的所有敌人都无法移动，持续$d。,无法移动。,6,26,0,9,0,20,0
352,使冲击点周围$A@effectindex码内的所有敌人都无法移动，持续$d。,无法移动。,6,26,0,5,0,20,0
353,使施法者周围$A@effectindex码内的所有敌人都无法移动，持续$d。,无法移动。,6,26,0,7,0,20,0
354,每$t@effectindex秒使冲击点周围$A@effectindex码内的所有敌人受到一次自然伤害，持续$d。,每$t@effectindex秒受到一次自然伤害。,6,70,1,5,8,50,50
355,每$t@effectindex秒使冲击点周围$A@effectindex码内的所有敌人受到一次物理伤害，持续$d。,每$t@effectindex秒受到一次物理伤害。,6,70,1,5,1,50,50
356,每$t@effectindex秒使冲击点周围$A@effectindex码内的所有敌人受到一次神圣伤害，持续$d。,每$t@effectindex秒受到一次神圣伤害。,6,70,1,5,2,50,50
357,每$t@effectindex秒使冲击点周围$A@effectindex码内的所有敌人受到一次冰霜伤害，持续$d。,每$t@effectindex秒受到一次冰霜伤害。,6,70,1,5,16,50,50
358,每$t@effectindex秒使冲击点周围$A@effectindex码内的所有敌人受到一次暗影伤害，持续$d。,每$t@effectindex秒受到一次暗影伤害。,6,70,1,5,32,50,50
359,每$t@effectindex秒使冲击点周围$A@effectindex码内的所有敌人受到一次奥术伤害，持续$d。,每$t@effectindex秒受到一次奥术伤害。,6,70,1,5,64,50,50
360,使一名敌人无法移动，持续最多$d。,无法移动。,6,26,0,1,0,20,0
361,使冲击点周围$A@effectindex码内所有敌人的移动速度降低$s@effectindex%，持续$d。,移动速度降低$s@effectindex%。,6,33,2,5,0,0,0
362,使施法者前方所有敌人的移动速度降低$s@effectindex%，持续$d。,移动速度降低$s@effectindex%。,6,33,2,9,0,0,0
363,击退施法者周围$A@effectindex码内的所有敌人。,,98,0,1,7,0,0,0
364,每$t@effectindex秒对施法者周围$A@effectindex码内的所有敌人造成$s@effectindex点物理伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点物理伤害。,6,3,1,7,1,50,50
365,每$t@effectindex秒对施法者周围$A@effectindex码内的所有敌人造成$s@effectindex点神圣伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点神圣伤害。,6,3,1,7,2,50,50
366,每$t@effectindex秒对施法者周围$A@effectindex码内的所有敌人造成$s@effectindex点火焰伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点火焰伤害。,6,3,1,7,4,50,50
367,每$t@effectindex秒对施法者周围$A@effectindex码内的所有敌人造成$s@effectindex点自然伤害，持续$d。,每$t@effectindex秒受到$s@effectindex点自然伤害。,6,3,1,7,8,50,50
