ID,Reaction_lang,FriendshipRepID,ReactionThreshold,OverrideColor
599,朋友,202,25200,0
600,朋友,204,25200,0
601,朋友,206,25200,0
602,朋友,208,25200,0
603,雏龙,209,0,0
604,时空新兵,209,1000,0
605,时空跃迁者,209,2500,0
606,时光之友,209,4500,0
607,青铜盟友,209,7000,0
608,纪元修复者,209,10000,0
609,时光领主,209,15000,0
611,等级 1,210,0,0
612,等级 2,210,1000,0
613,等级 3,210,2000,0
614,等级 4,210,3000,0
615,等级5,210,4000,0
616,等级 6,210,5000,0
617,等级 7,210,6000,0
618,等级 8,210,7000,0
619,等级 9,210,8000,0
620,顶级,210,9000,0
631,等级 1,212,0,0
632,等级 2,212,1000,0
633,等级 3,212,2000,0
634,等级 4,212,3000,0
635,等级5,212,4000,0
636,等级 6,212,5000,0
637,等级 7,212,6000,0
638,等级 8,212,7000,0
639,等级 9,212,8000,0
640,顶级,212,9000,0
641,幼崽,213,0,0
642,幼年,213,5000,0
643,亚成年,213,15000,0
644,成年,213,30000,0
746,幼崽,315,0,0
750,等级1,316,0,0
751,等级 2,316,300,0
752,等级 3,316,600,0
753,等级 4,316,900,0
754,等级1,317,0,0
755,等级 2,317,300,0
756,等级 3,317,600,0
757,等级 4,317,900,0
758,等级1,318,0,0
760,等级 3,318,600,0
761,等级 4,318,900,0
766,等级1,320,0,0
767,等级 2,320,300,0
768,等级 3,320,600,0
769,等级 4,320,900,0
774,等级 5,316,1200,0
775,等级 6,316,1500,0
776,等级 7,316,1800,0
777,等级 8,316,2100,0
778,等级 9,316,2400,0
779,等级10,316,2700,0
780,等级11,316,3000,0
781,等级 12,316,3300,0
782,等级 13,316,3600,0
783,等级 14,316,3900,0
784,等级 15,316,4200,0
785,等级 16,316,4500,0
786,等级 17,316,4800,0
787,等级 18,316,5100,0
788,等级 19,316,5400,0
789,等级 20,316,5700,0
790,等级 21,316,6000,0
791,等级 22,316,6300,0
792,等级 23,316,6600,0
793,等级 24,316,6900,0
794,等级 25,316,7200,0
795,等级 26,316,7500,0
796,等级 27,316,7800,0
797,等级 28,316,8100,0
798,等级 29,316,8400,0
799,等级 30,316,8700,0
821,幼体,315,4000,0
822,成体,315,8000,0
823,等级 5,320,1200,0
824,等级 6,320,1500,0
825,等级 7,320,1800,0
826,等级 8,320,2100,0
827,等级 9,320,2400,0
828,等级10,320,2700,0
829,等级11,320,3000,0
830,等级 12,320,3300,0
831,等级 13,320,3600,0
832,等级 14,320,3900,0
833,等级 15,320,4200,0
834,等级 16,320,4500,0
835,等级 17,320,4800,0
836,等级 18,320,5100,0
837,等级 19,320,5400,0
838,等级 20,320,5700,0
839,等级 21,320,6000,0
840,等级 22,320,6300,0
841,等级 23,320,6600,0
842,等级 24,320,6900,0
843,等级 25,320,7200,0
844,等级 26,320,7500,0
845,等级 27,320,7800,0
846,等级 28,320,8100,0
847,等级 29,320,8400,0
848,等级 30,320,8700,0
879,等级1,323,0,0
880,等级 2,323,300,0
881,等级 3,323,600,0
882,等级 4,323,900,0
883,等级 5,323,1200,0
884,等级 6,323,1500,0
885,等级 7,323,1800,0
886,等级 8,323,2100,0
887,等级 9,323,2400,0
888,等级10,323,2700,0
889,等级11,323,3000,0
890,等级 12,323,3300,0
891,等级 13,323,3600,0
892,等级 14,323,3900,0
893,等级 15,323,4200,0
894,等级 16,323,4500,0
895,等级 17,323,4800,0
896,等级 18,323,5100,0
897,等级 19,323,5400,0
898,等级 20,323,5700,0
899,等级 21,323,6000,0
900,等级 22,323,6300,0
901,等级 23,323,6600,0
902,等级 24,323,6900,0
903,等级 25,323,7200,0
904,等级 26,323,7500,0
905,等级 27,323,7800,0
906,等级 28,323,8100,0
907,等级 29,323,8400,0
908,等级 30,323,8700,0
909,等级1,324,0,0
910,等级 2,324,300,0
911,等级 3,324,600,0
912,等级 4,324,900,0
913,等级 5,324,1200,0
914,等级 6,324,1500,0
915,等级 7,324,1800,0
916,等级 8,324,2100,0
917,等级 9,324,2400,0
918,等级10,324,2700,0
919,等级11,324,3000,0
920,等级 12,324,3300,0
921,等级 13,324,3600,0
922,等级 14,324,3900,0
923,等级 15,324,4200,0
924,等级 16,324,4500,0
925,等级 17,324,4800,0
926,等级 18,324,5100,0
927,等级 19,324,5400,0
928,等级 20,324,5700,0
929,等级 21,324,6000,0
930,等级 22,324,6300,0
931,等级 23,324,6600,0
932,等级 24,324,6900,0
933,等级 25,324,7200,0
934,等级 26,324,7500,0
935,等级 27,324,7800,0
936,等级 28,324,8100,0
937,等级 29,324,8400,0
938,等级 30,324,8700,0
939,等级 5,318,1200,0
940,等级 6,318,1500,0
941,等级 7,318,1800,0
942,等级 8,318,2100,0
943,等级 9,318,2400,0
944,等级10,318,2700,0
945,等级11,318,3000,0
946,等级 12,318,3300,0
947,等级 13,318,3600,0
948,等级 14,318,3900,0
949,等级 15,318,4200,0
950,等级 16,318,4500,0
951,等级 17,318,4800,0
952,等级 18,318,5100,0
953,等级 19,318,5400,0
954,等级 20,318,5700,0
955,等级 21,318,6000,0
956,等级 22,318,6300,0
957,等级 23,318,6600,0
958,等级 24,318,6900,0
959,等级 25,318,7200,0
960,等级 26,318,7500,0
961,等级 27,318,7800,0
962,等级 28,318,8100,0
963,等级 29,318,8400,0
964,等级 30,318,8700,0
965,等级 5,317,1200,0
966,等级 6,317,1500,0
967,等级 7,317,1800,0
968,等级 8,317,2100,0
969,等级 9,317,2400,0
970,等级10,317,2700,0
971,等级11,317,3000,0
972,等级 12,317,3300,0
973,等级 13,317,3600,0
974,等级 14,317,3900,0
975,等级 15,317,4200,0
976,等级 16,317,4500,0
977,等级 17,317,4800,0
978,等级 18,317,5100,0
979,等级 19,317,5400,0
980,等级 20,317,5700,0
981,等级 21,317,6000,0
982,等级 22,317,6300,0
983,等级 23,317,6600,0
984,等级 24,317,6900,0
985,等级 25,317,7200,0
986,等级 26,317,7500,0
987,等级 27,317,7800,0
988,等级 28,317,8100,0
989,等级 29,317,8400,0
990,等级 30,317,8700,0
991,初生,325,0,0
992,幼年,325,3500,0
993,初生,326,0,0
994,幼年,326,7000,0
995,初生,327,0,0
996,幼年,327,14000,0
999,等级1,339,0,0
1000,等级 2,339,1000,0
1001,等级 3,339,2000,0
1002,等级 4,339,3000,0
1003,等级 5,339,4000,0
1004,等级 6,339,5000,0
1005,等级 7,339,6000,0
1006,等级 8,339,7000,0
1007,等级 9,339,8000,0
1008,顶级,339,9000,0
1009,等级1,340,0,0
1010,等级 2,340,1000,0
1011,等级 3,340,2000,0
1012,等级 4,340,3000,0
1013,等级 5,340,4000,0
1014,等级 6,340,5000,0
1015,等级 7,340,6000,0
1016,等级 8,340,7000,0
1017,等级 9,340,8000,0
1018,顶级,340,9000,0
1020,成熟,327,42000,0
1021,成熟,325,10500,0
1022,成熟,326,21000,0
1024,等级 2,318,300,0
1088,孵化中……,365,0,0
1089,幼虫,365,5000,0
1090,幼崽,365,10000,0
1091,成年,365,15000,0
1092,犹豫,366,7000,0
1100,猜忌,366,0,0
1101,防备,366,1000,0
1102,纠结,366,14000,0
1103,和善,366,21000,0
1107,欣赏,366,42000,0
1108,陌生人,367,0,0
1109,熟人,367,8400,0
1110,哥们,367,16800,0
1111,朋友,367,25200,0
1112,好友,367,33600,0
1113,挚友,367,42000,0
1114,陌生人,368,0,0
1115,熟人,368,8400,0
1116,哥们,368,16800,0
1117,朋友,368,25200,0
1118,好友,368,33600,0
1119,挚友,368,42000,0
1126,陌生人,370,0,0
1127,熟人,370,8400,0
1128,哥们,370,16800,0
1129,朋友,370,25200,0
1130,好友,370,33600,0
1131,挚友,370,42000,0
1132,陌生人,371,0,0
1133,熟人,371,8400,0
1134,哥们,371,16800,0
1135,朋友,371,25200,0
1136,好友,371,33600,0
1137,挚友,371,42000,0
1138,陌生人,372,0,0
1139,熟人,372,8400,0
1140,哥们,372,16800,0
1141,朋友,372,25200,0
1142,好友,372,33600,0
1143,挚友,372,42000,0
1144,陌生人,373,0,0
1145,熟人,373,8400,0
1146,哥们,373,16800,0
1147,朋友,373,25200,0
1148,好友,373,33600,0
1149,挚友,373,42000,0
1156,陌生人,375,0,0
1157,熟人,375,8400,0
1158,哥们,375,16800,0
1159,朋友,375,25200,0
1160,好友,375,33600,0
1161,挚友,375,42000,0
1162,陌生人,376,0,0
1163,熟人,376,8400,0
1164,哥们,376,16800,0
1165,朋友,376,25200,0
1166,好友,376,33600,0
1167,挚友,376,42000,0
1168,陌生人,377,0,0
1169,熟人,377,8400,0
1170,哥们,377,16800,0
1171,朋友,377,25200,0
1172,好友,377,33600,0
1173,挚友,377,42000,0
1180,陌生人,379,0,0
1181,熟人,379,8400,0
1182,哥们,379,16800,0
1183,朋友,379,25200,0
1184,好友,379,33600,0
1185,挚友,379,42000,0
1192,陌生人,381,0,0
1193,熟人,381,8400,0
1194,哥们,381,16800,0
1195,朋友,381,25200,0
1196,好友,381,33600,0
1197,挚友,381,42000,0
1198,陌生人,382,0,0
1199,熟人,382,8400,0
1200,哥们,382,16800,0
1201,朋友,382,25200,0
1202,好友,382,33600,0
1203,挚友,382,42000,0
1204,陌生人,383,0,0
1205,熟人,383,8400,0
1206,哥们,383,16800,0
1207,朋友,383,25200,0
1208,好友,383,33600,0
1209,挚友,383,42000,0
1210,陌生人,384,0,0
1211,熟人,384,8400,0
1212,哥们,384,16800,0
1213,朋友,384,25200,0
1214,好友,384,33600,0
1215,挚友,384,42000,0
1216,陌生人,385,0,0
1217,熟人,385,8400,0
1218,哥们,385,16800,0
1219,朋友,385,25200,0
1220,好友,385,33600,0
1221,挚友,385,42000,0
1228,陌生人,387,0,0
1229,熟人,387,8400,0
1230,哥们,387,16800,0
1231,朋友,387,25200,0
1232,好友,387,33600,0
1233,挚友,387,42000,0
1240,中立,389,0,0
1241,友善,389,3000,0
1242,尊敬,389,9000,0
1243,崇敬,389,21000,0
1244,崇拜,389,42000,0
1245,中立,390,0,0
1246,友善,390,3000,0
1247,尊敬,390,9000,0
1248,崇敬,390,21000,0
1249,崇拜,390,42000,0
1250,中立,391,0,0
1251,友善,391,3000,0
1252,尊敬,391,9000,0
1253,崇敬,391,21000,0
1254,崇拜,391,42000,0
1255,零,392,0,0
1256,一,392,1000,0
1257,二,392,2000,0
1258,三,392,3000,0
1259,四,392,4000,0
1260,五,392,5000,0
1261,六,392,6000,0
1262,七,392,7000,0
1263,八,392,8000,0
1264,九,392,9000,0
1265,十,392,10000,0
1266,十一,392,11000,0
1267,十二,392,12000,0
1268,十三,392,13000,0
1269,十四,392,14000,0
1270,十五,392,15000,0
1271,等级1,393,0,0
1272,等级2,393,3000,0
1273,等级3,393,7500,0
1274,等级4,393,14000,0
1275,等级5,393,25000,0
1276,等级6,393,41000,0
1294,同好,396,8400,0
1295,盟友,396,16800,0
1296,龙牙,396,25200,0
1297,朋友,396,33600,0
1298,挚友,396,42000,0
1300,同好,397,8400,0
1301,盟友,397,16800,0
1302,龙牙,397,25200,0
1303,朋友,397,33600,0
1304,挚友,397,42000,0
1305,中立,398,0,0
1306,偏爱,398,500,0
1307,尊重,398,2500,0
1308,重视,398,5500,0
1309,崇尚,398,12500,0
1316,低,400,300,0
1317,中,400,1200,0
1318,高,400,3600,0
1319,最大,400,10000,0
1322,空,400,0,0
1325,熟人,397,0,0
1328,熟人,396,0,0
1344,有抱负,408,0,0
1345,业余,408,700,0
1346,能干,408,1400,0
1347,老练,408,2100,0
1348,专业,408,2800,0
1359,畸体,411,0,0
1360,未来之友,411,7000,0
1361,裂隙修复者,411,14000,0
1362,时间行者,411,24000,0
1363,传奇,411,42000,0
1364,等级 1,412,0,0
1392,陌生人,416,0,0
1393,熟人,416,2500,0
1394,亲信,416,5000,0
1395,同谋,416,7500,0
1396,沆瀣,416,10000,0
1397,陌生人,417,0,0
1398,熟人,417,2500,0
1399,亲信,417,5000,0
1400,同谋,417,7500,0
1401,沆瀣,417,10000,0
1402,陌生人,418,0,0
1403,熟人,418,2500,0
1404,亲信,418,5000,0
1405,同谋,418,7500,0
1406,沆瀣,418,10000,0
1407,学士,419,0,0
1408,助理,419,10500,0
1409,合约,419,21000,0
1410,常驻,419,32500,0
1411,终身,419,42000,0
1794,等级 2,412,2500,0
1795,等级 3,412,5500,0
1796,等级 4,412,9100,0
1797,等级 5,412,13420,0
1798,等级 6,412,18604,0
1801,等级 7,412,24825,0
1802,等级 8,412,32290,0
1803,等级 9,412,41248,0
1804,等级 10,412,51997,0
1805,等级 11,412,64497,0
1806,等级 12,412,76997,0
1807,等级 13,412,89497,0
1808,等级 14,412,101997,0
1809,等级 15,412,114497,0
1810,等级 16,412,152185,0
1811,等级 17,412,190060,0
1812,等级 18,412,228122,0
1813,等级 19,412,266372,0
1814,等级 20,412,304810,0
1815,等级 21,412,343435,0
1816,等级 22,412,382247,0
1817,等级 23,412,421247,0
1818,等级 24,412,460435,0
1819,等级 25,412,499810,0
1820,等级 26,412,562310,0
1821,等级 27,412,624997,0
1822,等级 28,412,687872,0
1823,等级 29,412,750935,0
1824,等级 30,412,814185,0
1825,等级 31,412,877622,0
1826,等级 32,412,941247,0
1827,等级 33,412,1005060,0
1828,等级 34,412,1069060,0
1829,等级 35,412,1133247,0
1830,等级 36,412,1220747,0
1831,等级 37,412,1308435,0
1832,等级 38,412,1396310,0
1833,等级 39,412,1484372,0
1834,等级 40,412,1572622,0
1835,等级 41,412,1661060,0
1836,等级 42,412,1749685,0
1837,等级 43,412,1838497,0
1838,等级 44,412,1927497,0
1839,等级 45,412,2016685,0
1840,等级 46,412,2266685,0
1841,等级 47,412,2522935,0
1842,等级 48,412,2785435,0
1843,等级 49,412,3054185,0
1844,等级 50,412,3329185,0
1845,从犯,416,12500,0
1846,教唆者,416,15000,0
1847,阴谋家,416,17500,0
1848,幕后黑手,416,20000,0
1849,从犯,417,12500,0
1850,教唆者,417,15000,0
1851,阴谋家,417,17500,0
1852,幕后黑手,417,20000,0
1853,从犯,418,12500,0
1854,教唆者,418,15000,0
1855,阴谋家,418,17500,0
1856,幕后黑手,418,20000,0
1857,等级 51,412,3610435,0
1858,等级 52,412,3897935,0
1859,等级 53,412,4191685,0
1860,等级 54,412,4491685,0
1861,等级 55,412,4797935,0
1862,等级 56,412,5235435,0
1863,等级 57,412,5797935,0
1864,等级 58,412,6485435,0
1865,等级 59,412,7297935,0
1866,等级 60,412,8172935,0
1887,阶段4 - 第五章,184,50000,0
