Name_lang,Description_lang,Map[0],Map[1],ID,JournalInstanceID,DungeonEncounterID,OrderIndex,FirstSectionID,UiMapID,MapDisplayConditionID,Flags,DifficultyMask
拉夏，太阳的造物,拉夏所监管着的能量，滋养也湮灭了他的无数同类。他是四个构造体中最强的一个，其能力可以将一千个太阳的怒火倾泻到艾泽拉斯之上。,0.47504994,0.25299394,130,70,1078,7,2926,299,0,0,-1
乌比斯将军,艾泽拉斯的勇者和他们的红龙盟军对格瑞姆巴托的大门发动了进攻，率领堡垒中教徒和暮光龙兽展开防御的，正是凶神恶煞般的乌比斯将军。,0.40518978,0.6871258,131,71,1051,1,3353,293,0,0,-1
铸炉之主索朗格斯,这名巨大的双头魔是暮光之锤教派的匠人，他热衷于用自己所铸造的武器和铠甲，消灭那些入侵者。,0.515,0.3,132,71,1050,2,816,293,0,0,-1
达加·燃影者,这名暮光之锤的信使正在执行一个来自暮光之锤的任务。如果英雄们能够征服他那些烈焰的爪牙，达加就会让艾泽拉斯的保卫者们见证一个真实的末日预言。,0.6946116,0.19311368,133,71,1048,3,3364,293,0,0,-1
地狱公爵埃鲁达克,死亡之翼派出了他最厉害的副手之一，旨在探寻强大的红龙牺牲性命也要保住的秘密。这名无面者将军来自深岩之洲的洞穴世界，任何敢于向他发起挑战的蠢货，都会被其体内融合的新生代龙族之力所消灭。,0.8562618,0.74700606,134,71,1049,4,3374,293,0,0,-1
阿尔加洛斯,由于深渊领主阿尔加洛斯过于巨大，达拉然宏伟的紫罗兰监狱都无法容下，肯瑞托的法师们别无选择，只好把这头强大的恶魔关在托尔巴拉德的地下。,0.8043925,0.6347306,139,75,1033,1,2602,282,0,2,15
欧库塔尔,这头饥饿的恶魔从牢笼中挣脱了出来，来到了监狱的西侧，吞噬了那里关押的所有囚犯。欧库塔尔的贪吃导致他的身躯臃肿，难以逃离，结果无非只是将自己困在了更大的牢狱中。,0.15568893,0.6317773,140,75,1250,2,2605,282,0,2,15
风之议会,随着南风之主希亚玛特被尼斐塞特所囚，奥拉基尔的副手们踊跃地想要填补风之议会里出现的权力真空。剩下的三名议会成员分别是：能够使用狂风治疗盟友或毒伤敌人的西风之主安舍尔，能够用风暴将最宏伟的山脉磨成齑粉的东风之主洛哈西，而葬送在北风之主尼希尔冰冷风暴之下的性命，比其他三位加起来的还要多。,0.47504994,0.26047897,154,74,1035,1,3166,328,0,2,15
奥拉基尔,借着无人能比的智慧和狡诈，风元素领主奥拉基尔曾是上古之神那支可怖军队中最出色的战略家。大灾变之后，他和死亡之翼同流合污，把神一般的力量用来对付空气元素的远古宿敌托维尔人。,0.47504994,0.5,155,74,1034,2,3021,328,0,2,15
哈尔弗斯·碎龙者,受古加尔之赐，双头魔哈尔弗斯·碎龙者具备着超自然的力量和体力，能够捕获巨龙，来让暮光之锤的仪式得以为继。为此，他奴役了一头巨型的始祖龙，来帮他进行狩猎。,0.5349303,0.19311368,156,72,1030,1,2959,294,0,2,15
瑟纳利昂和瓦里昂娜,奇迹般成年的瓦里昂娜和瑟纳利昂本该在新一代的暮光巨龙中充当典范，带着其子嗣吞噬艾泽拉斯的生命。然而，他们却总是把无与伦比的力量浪费在争斗和口角上。,0.53992033,0.7844312,157,72,1032,2,2994,294,0,2,15
升腾者议会,和大多数被转化成元素生物的强大暮光之锤邪教徒一样，升腾者议会的成员早已忘记了他们作为凡人的存在。他们在邪恶的圣堂里监管着新的升腾者候选人的选拔。,0.42514983,0.4550898,158,72,1028,3,3109,295,0,2,15
古加尔,在古加尔的控制下，暮锤氏族的兽人已经变成了一支嗜杀的邪教，盲目地崇拜着上古之神及其使者死亡之翼。因为长时间地同他那黑暗的主子接触，古加尔的身心已经遭到了异常的扭曲。,0.73453194,0.7544911,167,72,1029,4,3165,295,0,2,15
希奈丝特拉,作为死亡之翼的原配，希奈丝特拉创造了第一代暮光巨龙，却在之后被自己所诞下的可怖生物所泯灭。如今的她只是一具疮痍满布的枯骸，被恶毒的魔法所复生，监管着新一代暮光龙群的诞生。,0.49001998,0.34281433,168,72,1082,5,3226,296,0,2,12
全能金刚防御系统,全能金刚防御系统曾被标榜为黑铁矮人最伟大的技术奇迹。当奈法利安来到黑翼血环时，他修复了这个当时业已废弃的系统，并用其歼灭任何胆敢闯入他实验室的人。,0.6546913,0.5748503,169,73,1027,1,3193,285,0,2,15
熔喉,熔喉是一只巨大的岩浆虫。几个世纪前，它被拉格纳罗斯的黑铁奴仆们从火焰之地召唤出来。一开始奈法利安觉得熔喉不过是只麻烦的害虫，不过后来他养成了一个特别的习惯……用这头畜生来处理失败的试验品……,0.27544948,0.5748503,170,73,1024,2,3310,285,0,2,15
艾卓曼德斯,艾卓曼德斯，又称实验体25463-D，是企图为一只黑龙幼崽强化感知力而诞生的失败作品。剧毒的药膏夺去了他的视力，迫使他只能靠嗅觉和听觉来生存。刨去艾卓曼德斯邪恶非凡这一点来看，这还真是个悲惨的故事。,0.47504994,0.32784426,171,73,1022,3,3072,286,0,2,15
奇美隆,恐怖、丑恶、邪恶。杀了它。,0.2455094,0.70209587,172,73,1023,4,3008,286,0,2,15
马洛拉克,马洛原是一名前途无量的人类炼金师，直到奈法利安将他绑架，并把他同一具龙兽的尸体融合在一起。结果就造出了这名笨手笨脚、只有几分前世心智残存的仆从：马洛拉克。,0.7145718,0.70209587,173,73,1025,5,2929,286,0,2,15
奈法利安的末日,因为曾使用艾泽拉斯各大龙族军团的精华来创造多彩巨龙，死亡之翼之子奈法利安变得臭名昭著。在他死于黑翼之巢后，死亡之翼将他复活，并赐予其新的力量，让他继续那邪恶的计划。,0.48003995,0.70209587,174,73,1026,6,3276,286,0,2,15
高阶祭司温诺希斯,温诺希斯本来是被派去杀死哈卡的，可他却被那凶残的存在所奴役，直到艾泽拉斯的英雄们完成了他的使命。在夺灵者的使徒们的努力下，温诺希斯从灵魂世界转生，受命和他的毒蛇一起守卫祖尔格拉布。,0.5099801,0.53742516,175,76,1178,1,2787,337,0,0,-1
血领主曼多基尔,恶名昭著的血领主曼多基尔多年前备受折磨而死，之后其尸体更是被血顶巨魔所亵渎。风传曼多基尔将其恶毒的灵魂寄宿在强大的血顶酋长甘祖拉恩的尸体里，血领主再一次出现在了荆棘谷的丛林中。,0.60479087,0.7994013,176,76,1179,2,2610,337,0,0,-1
疯狂之缘——格里雷克,疯狂之缘里有四名充满仇恨的灵魂：可怕的巨魔格里雷克被神剥夺了再生能力；战士雷纳塔基以热衷施虐而臭名昭著；先知哈扎拉尔整日被恐怖的未来预言所折磨；强大的战将乌苏雷则拥有号令风暴的力量。,0.599801,0.462575,177,76,788,3,2504,337,0,0,-1
疯狂之缘——哈扎拉尔,疯狂之缘里有四名充满仇恨的灵魂：可怕的巨魔格里雷克被神剥夺了再生能力；战士雷纳塔基以热衷施虐而臭名昭著；先知哈扎拉尔整日被恐怖的未来预言所折磨；强大的战将乌苏雷则拥有号令风暴的力量。,0.6367,0.462575,178,76,788,4,3508,337,0,0,-1
疯狂之缘——雷纳塔基,疯狂之缘里有四名充满仇恨的灵魂：可怕的巨魔格里雷克被神剥夺了再生能力；战士雷纳塔基以热衷施虐而臭名昭著；先知哈扎拉尔整日被恐怖的未来预言所折磨；强大的战将乌苏雷则拥有号令风暴的力量。,0.599801,0.51497,179,76,788,5,2501,337,0,0,-1
疯狂之缘——乌苏雷,疯狂之缘里有四名充满仇恨的灵魂：可怕的巨魔格里雷克被神剥夺了再生能力；战士雷纳塔基以热衷施虐而臭名昭著；先知哈扎拉尔整日被恐怖的未来预言所折磨；强大的战将乌苏雷则拥有号令风暴的力量。,0.601905,0.414711,180,76,788,6,2498,337,0,0,-1
高阶祭司基尔娜拉,高阶祭司娅尔罗被杀之后，豹神贝瑟克选择她的妹妹基尔娜拉作为其新的凡间代表。为了支持最近古拉巴什和赞达拉部落达成的协议，基尔娜拉放出了她凶残的猎豹，来对付这里不设防的住民。,0.48003995,0.20059872,181,76,1180,7,2692,337,0,0,-1
赞吉尔,因为把同胞变成了丧失心智的奴隶，赞吉尔一度被劈颅部落所放逐。为了壮大祖尔格拉布的军队，碎神者金度让他在古拉巴什中任职。众所周知，起死回生这种事，对他的药剂来说一点都不难。,0.31733844,0.24550891,184,76,1181,8,2508,337,0,0,-1
碎神者金度,在祖尔格拉布被打败之后，金度的灵魂因为没能满足哈卡的愿望而饱受折磨。但最近，他通过某种办法回到了现世，并奴役了夺灵者。带着恐怖神灵的可怕力量，金度誓要恢复古拉巴什帝国往日的辉煌。,0.48502997,0.39520955,185,76,1182,9,2899,337,0,0,-1
埃基尔松,作为阿曼尼部落曾经的萨满，埃基尔松驾驭空气元素的本领令人赞赏。他的天赋被妖术领主玛拉卡斯所看中，这也让巨魔们的鹰神没费太大力气就找到了合适的宿主。,0.35528967,0.23053885,186,77,1189,1,2521,333,0,0,-1
纳洛拉克,纳洛拉克在战场上以其可怕的怒火和野蛮的力量而著称，妖术领主玛拉卡斯认为他是承载熊神精华的理想容器。,0.40518978,0.7739929,187,77,1190,2,2867,333,0,0,-1
加亚莱,龙鹰是敏捷的猛禽，其利爪可以轻易地撕碎敌人。阿曼尼部族也有这样一只训练有素的野兽，它就是加亚莱。,0.55489045,0.7095809,188,77,1191,3,2621,333,0,0,-1
哈尔拉兹,艾泽拉斯的山猫是凶猛的猎手，拥有能够撕碎猎物的利爪和利齿。受启发的妖术领主玛拉卡斯觉得，在部族最厉害的猎手里挑一名，把山猫之神的精华封在里面，应该很合适。,0.5848307,0.23802388,189,77,1192,4,2804,333,0,0,-1
妖术领主玛拉卡斯,数十年来，妖术领主玛拉卡斯都被说成是阿曼尼部族里最可怕的巫医。他的所作所为令人难以想象，还将数名强大的巨魔动物神灵的精华封存在部族最强壮的战士体内……而他也把最为黑暗的一只寄宿在了自己身上。,0.7145718,0.5299401,190,77,1193,5,2706,333,0,0,-1
达卡拉,为了弥补督军祖尔金死后所形成的权力真空，阿曼尼部族余下的巨魔们推举他们最喜爱的常胜将军：战无不胜的达卡拉来恢复他们失落的荣光。,0.90419334,0.5299401,191,77,1194,6,2875,333,0,0,-1
贝丝缇拉克,作为烬网蜘蛛的蛛母，贝丝缇拉克和她无情的后代们靠吮吸火元素残骸上的岩浆和火焰来满足他们的食欲。为了给她的子嗣们提供更多的养分，贝丝缇拉克在她的巢穴周围编织了一张巨大的火网，用来诱捕误入其中的猎物。,0.21057922,0.32784426,192,78,1197,1,20826,367,0,0,-1
雷奥利斯领主,雷奥利斯是现存最古老的元素生物之一，他源自创造艾泽拉斯的洪荒烈焰。他负责在火焰之地创造新的元素，同时他认为那些将他迁移的泰坦们过于的傲慢，这股仇恨仍在他胸中燃烧。,0.65369326,0.7500001,193,78,1204,2,20812,367,0,0,-1
奥利瑟拉佐尔,当拉格纳罗斯的军队涌入海加尔山时，绿龙奥利瑟拉背叛了盟军，帮忙把叛变的大德鲁伊范达尔·鹿盔放了出来。作为奖赏，她被烈焰所净化，重生成了一只可怕的火鹰。,0.6437137,0.38023955,194,78,1206,3,20817,367,0,0,-1
沙恩诺克斯,在火焰之地的元素守护者中，火妖是最为恐怖的一类。沙恩诺克斯也不例外。身为拉格纳罗斯帐下的首席猎人兼熔火恶犬驯犬人，沙恩诺克斯巡视着这块元素的领域，陪伴着他的是两只最为凶猛的畜生：裂肢和狂脸。,0.49301347,0.44311342,195,78,1205,4,20808,367,0,0,-1
护门人贝尔洛克,在上古时代艾泽拉斯的元素战争中，贝尔洛克作为一名无情的战士而声名鹊起。如今他被困在了火焰之地，变得愈发不理智起来。很少有元素敢来打扰他，生怕牺牲在他对战斗的渴望之下。,0.4950096,0.3098805,196,78,1200,5,20822,367,0,0,-1
管理者鹿盔,在流沙之战中痛失爱子瓦斯坦恩一事，彻底击垮了范达尔·鹿盔的精神。现在，他被拉格纳罗斯灌注力量，成了火焰之地新任的管理者（顶替死亡的管理者埃克索图斯），并兼任背叛塞纳里奥议会的烈焰德鲁伊首领。范达尔宁愿毁掉艾泽拉斯，也不要活在这个失去爱子的世界里。,0.5099801,0.72455096,197,78,1185,6,20830,369,0,0,-1
拉格纳罗斯,火焰之地的领主拉格纳罗斯象征着愤怒与毁灭，一如铸就了艾泽拉斯的原初地狱之火。上古之神向拉格纳罗斯保证，他有机会把艾泽拉斯变成一片火海，而耐普图隆和塞拉赞恩将对此无能为力。为了取悦上古之神，拉格纳罗斯誓要点燃诺达希尔的世界之树。,0.507502,0.15383,198,78,1203,7,20834,369,0,0,-1
泰兰德的残影,作为前暗夜精灵领袖及艾露恩高阶祭司，这个位于错乱时空中的泰兰德·语风的残影在艾泽拉斯未来的废土上徘徊。她被永恒的黑夜包围，几乎看不清艾露恩那令人慰藉的光辉。,0.515514,0.433775,283,184,1884,4,3667,405,0,0,-1
吉安娜的残影,吉安娜·普罗德摩尔饱受折磨的投影已经惨遭撕裂并被注入了她的法杖碎片中。为了恢复时间流的平衡，你必须击败这个残影。可是，这位骄傲的前塞拉摩统治者掌握着毁灭性的魔法力量，而她这个时空错乱的幽灵投影同样如此。在这个未来的艾泽拉斯，她只是被分裂了，并且等待着……,0.495389,0.660817,285,184,1883,2,3641,402,0,0,-1
姆诺兹多,游离于时间流之外，如今的姆诺兹多正是曾经崇高的时光之王，守护巨龙诺兹多姆。由于泰坦让诺兹多姆亲眼目睹了自己的死亡，饱受折磨的巨龙被上古之神所蒙骗。他企图扭转自己的宿命。于是，诺兹多姆破坏了时间的正常流转，并创造出了永恒之龙…艾泽拉斯的未来将被摧毁。,0.484811,0.323013,289,184,1271,5,3675,406,0,0,-1
佩罗萨恩,"与他的许多上层精灵同伴一样，佩罗萨恩立誓效忠于堕落的萨维斯以换取恶魔的力量。

佩罗萨恩在受到了萨特诅咒的影响后，成了一名操控恶魔法术的大师。他驻守在艾萨拉的宫廷之外，为燃烧军团担当防御职责，时刻准备着消灭那些企图阻止堕落泰坦萨格拉斯入侵艾泽拉斯的冒险者们。",0.237485,0.482577,290,185,1272,1,4164,398,0,0,-1
艾萨拉女王,歌颂艾萨拉女王的美丽、威严与强大的歌谣数不胜数，可也正是她的虚荣导致上层精灵召来了燃烧军团。现在，她正坐视她最信赖的法师们为萨格拉斯降临艾泽拉斯的传送门输送能量，让她的众多子民在黑暗泰坦降临之前死去。,0.463389,0.369625,291,185,1273,2,3968,398,0,0,-1
玛诺洛斯与瓦罗森,瓦罗森是艾萨拉女王的亲卫队长，而玛诺洛斯则是在未来用自己的血液使所有兽人陷入堕落的深渊领主。现在他们组成了最后一道防线，抵御任何企图阻止萨格拉斯进入艾泽拉斯的势力。尽管泰兰德和伊利丹奋战至此，但永恒之井的动荡不安已经将艾泽拉斯的命运推向了危机的边缘。,0.873028,0.482577,292,185,1274,3,3684,398,0,0,-1
莫卓克,作为死亡之翼麾下最强大的元素生物，莫卓克曾是一个温顺的守护者。可现在，他却坚信，只有毁灭艾泽拉斯，他才有可能获得救赎。作为艾泽拉斯对抗暮光审判的最后希望，龙眠神殿尤其受到莫卓克的痛恨。,0.503996,0.692524,311,187,1292,1,3879,409,0,0,-1
缚风者哈格拉,哈格拉曾是跟随被遗忘者学习奥术魔法的第一人。作为一个这么晚才开始学习魔法的学徒，她表现出了惊人的天赋。可她肆无忌惮地进行魔法实验，试图奴役元素，最终被风元素领主奥拉基尔诱惑并扭曲。现在，她狂热地效忠暮光之锤，为她的元素主子们束缚并折磨那些牺牲品。,0.527504,0.520451,317,187,1296,4,3912,412,0,0,-1
死亡之翼的背脊,当死亡之翼第一次引导巨龙之魂的力量对付其他巨龙军团时，爆发出来的巨大能量几乎毁掉他自己的躯体。可他并没有放弃这件武器，反而在自己的鳞片上嵌入了合金装甲以接合他的躯体。之后，他又用源质矿强化了这些装甲。可现在，这些装甲却成了他的弱点——这也是死亡之翼唯一的致命的弱点。,0.332117,0.852587,318,187,1291,7,4050,414,0,0,-1
阿奎里恩,部落与联盟对暮光之锤的进攻杀死了许多邪教徒的元素升腾者。但阿奎里恩是个例外。这个可怕的寒冰升腾者受命杀死萨尔并夺回巨龙之魂。如果让这个扭曲的元素生物获得成功，那就没有什么能阻止死亡之翼发动暮光审判了。,0.567376,0.277179,322,186,1337,1,3942,399,0,0,-1
希尔瓦娜斯的残影,在破碎的时间流中，被遗忘者的领袖，希尔瓦娜斯·风行者疯狂的残影独自徘徊在红玉巨龙圣地的焦土上，不安地等待着。这个饱受折磨的残影失去了一切，在扭曲时空中无法安息，渴望向这片废墟上的一切活物发泄她黑暗的怒火。,0.559097,0.392068,323,184,1882,3,3955,403,0,0,-1
督军佐诺兹,无数个世纪之前，督军佐诺兹和他的士兵们对克苏恩和尤格-萨隆发动了无休止的战争。数千年过去了，可这个督军依然听命于上古之神恩佐斯的混沌统治。现在，死亡之翼释放出了这个传奇无面者，想靠他来消灭龙眠神殿的守护者们。,0.509638,0.530325,324,187,1294,2,3970,410,0,0,-1
