Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
铸光者,铸光者已经熟练掌握了圣光之力，他们能够使其化为有形，并以此强化自己的武器和防御，保护他们的盟友。,49,26680,790
烈日先驱,烈日先驱与太阳和烈日之力有着深刻的联系，可以运用这份力量来灼烧敌人，并治愈盟友的伤口。当他们与圣光完全连接时，还能施展强大的烈日射线。,50,26702,790
欺诈者,当欺诈者进入战斗时，肮脏的把戏和闪光的利刃就会一一展现。他们会用干扰的手段和缭乱的剑花吸引对手的注意，再用一把对方从未看到的利刃发起攻击。,51,27018,852
命缚者,命缚者渴望扮演命运之手的角色，在精心策划的计划中播下混乱的种子。在命运硬币的指引下，他们为敌人送去了早已注定的命运——他们应得的结局。,52,27433,852
死亡猎手,死亡追猎者是死亡的先驱者，从暗影中悄然出击，为目标送去利落的结局。,53,27432,852
图腾祭司,图腾祭司擅长释放图腾全部的力量，强化其图腾并获得新的图腾。他们还磨练了灌魔的本领，在短兵相接时同样不容小觑。,54,26703,786
风暴使者,风暴使者驾驭着风暴的神力，能够轻而易举地掌控电闪雷鸣，一念之间便可呼风唤雨。召唤猛烈的风暴，在狂风怒号中向敌人播撒混乱。唤醒风暴的力量，摧残沿路的一切。,55,26683,786
先知,运用你的灵魂魔法，强化你的法术施放能力，并让你能够召唤先祖的灵体，协助你和你的盟友作战。,56,27019,786
灵魂收割者,"Few grasp the power hidden within souls, but many know the hunger demons share for spirits of the fallen. Soul Harvesters enter pacts with demons from the Twisting Nether, serving as their host and feeding them the souls of their foes in exchange for incredible power.",57,27530,720
地狱召唤者,在艾泽拉斯的萨特教徒之中，地狱召唤者最为令人恐惧；地狱召唤者术士学会了以腐蚀自己的灵魂为代价，编织最为邪恶的暗影魔法和熵能邪火。,58,27746,720
恶魔使徒,燃烧军团被击败之后，许多强大的恶魔也摆脱了约束。恶魔信徒曾驱使过被认为是无法控制的强大恶魔，在战场上运用着来自扭曲虚空的深渊之力。,59,26935,720
屠戮者,他们是凶狠的战士，会锁定并无情地追猎目标，用利刃和力量向敌人发起压倒性的攻势。,60,26704,850
山丘领主,山丘领主是凶猛的斗士，活着就是为了挑战自己，与值得一战的对手战斗。他们能从大地和风暴中汲取力量，施展雷霆般的攻势，使敌人难以招架。,61,26684,850
巨像兵,经历了无数战斗的老兵，能够面不改色地迎接其他人无法承受的攻势，还能凭借娴熟的战技迅猛出击、粉碎敌人。,62,26765,850
天神御师,天神御师献身于至尊天神的教导，拥抱他们的智慧并驾驭他们的力量。天神御师还可以在短时间内同时引导所有天神的力量。,64,27069,1000
影踪派,影踪派吸纳先烈的教诲，傲然屹立在敌人面前，为捍卫家人与朋友而寸步不让。他们会静待时机，积蓄力量，然后施展迅猛缭乱的连击，令对手无力招架。,65,27070,1000
祥和宗师,祥和宗师追求修身上的化境，能将身体化为纯粹的力量，从而融入真气流转和乾坤循环之道。,66,27745,1000
风暴使者,风暴使者驾驭着风暴的神力，能够轻而易举地掌控电闪雷鸣，一念之间便可呼风唤雨。召唤猛烈的风暴，在狂风怒号中向敌人播撒混乱。唤醒风暴的力量，摧残沿路的一切。,70,26683,1033
图腾祭司,图腾祭司擅长释放图腾全部的力量，强化其图腾并获得新的图腾。他们还磨练了灌魔的本领，在短兵相接时同样不容小觑。,71,26703,1033
先知,运用你的灵魂魔法，强化你的法术施放能力，并让你能够召唤先祖的灵体，协助你和你的盟友作战。,72,27019,1033
风暴使者,风暴使者驾驭着风暴的神力，能够轻而易举地掌控电闪雷鸣，一念之间便可呼风唤雨。召唤猛烈的风暴，在狂风怒号中向敌人播撒混乱。唤醒风暴的力量，摧残沿路的一切。,73,26683,1034
图腾祭司,图腾祭司擅长释放图腾全部的力量，强化其图腾并获得新的图腾。他们还磨练了灌魔的本领，在短兵相接时同样不容小觑。,74,26703,1034
先知,运用你的灵魂魔法，强化你的法术施放能力，并让你能够召唤先祖的灵体，协助你和你的盟友作战。,75,27019,1034
