DisplayName_lang,VerboseName_lang,ID,ClassID,SubClassID,AuctionHouseSortOrder,PrerequisiteProficiency,Flags,DisplayFlags,WeaponSwingSize,PostrequisiteProficiency
炼金,,331,19,2,0,-1,0,0,0,-1
草药学,,332,19,3,0,-1,0,0,0,-1
烹饪,,333,19,4,0,-1,0,0,0,-1
采矿,,334,19,5,0,-1,0,0,0,-1
裁缝,,335,19,6,0,-1,0,0,0,-1
工程学,,336,19,7,0,-1,0,0,0,-1
附魔,,337,19,8,0,-1,0,0,0,-1
钓鱼,,338,19,9,0,-1,0,0,0,-1
剥皮,,339,19,10,0,-1,0,0,0,-1
珠宝加工,,340,19,11,0,-1,0,0,0,-1
铭文,,341,19,12,0,-1,0,0,0,-1
考古学,,342,19,13,0,-1,0,0,0,-1
成品材料,,343,7,19,25,-1,0,1,0,-1
材料包,,344,1,11,0,-1,0,0,0,-1
效能珍玩,,345,0,10,0,-1,0,0,0,-1
战斗珍玩,,346,0,11,0,-1,0,0,0,-1
