Name_lang,ID,MapID,DifficultyID,OrderIndex,CompleteWorldStateID,Bit,Flags,SpellIconFileID,Faction
践踏者克雷格,363,429,1,9000,4679,10,4,0,-1
卫兵芬古斯,364,429,1,10000,4680,11,4,0,-1
卫兵斯里基克,365,429,1,11000,4681,12,4,0,-1
克罗卡斯,366,429,1,12000,4682,13,4,0,-1
观察者克鲁什,367,429,1,13000,4683,14,4,0,-1
戈多克大王,368,429,1,14000,1544,15,4,0,-1
粘性辐射尘,378,90,1,2500,4693,1,4,0,-1
格鲁比斯,379,90,1,2000,4694,2,4,0,-1
电刑器6000型,380,90,1,3000,4695,3,4,0,-1
群体打击者9-60,381,90,1,4000,4696,4,4,0,-1
机械师瑟玛普拉格,382,90,1,5000,4697,5,4,0,-1
诺克赛恩,422,349,1,0,4703,0,4,0,-1
锐刺鞭笞者,423,349,1,1000,4704,1,4,0,-1
维利塔恩,424,349,1,2000,4705,2,4,0,-1
被诅咒的塞雷布拉斯,425,349,1,3000,4706,3,4,0,-1
兰斯利德,426,349,1,4000,4707,4,4,0,-1
工匠吉兹洛克,427,349,1,1500,4708,5,4,0,-1
洛特格里普,428,349,1,6000,4709,6,4,0,-1
瑟莱德丝公主,429,349,1,7000,4710,7,4,0,-1
鲁古格,438,47,1,375,8591,0,0,0,-1
审讯员韦沙斯,444,189,1,0,4567,0,0,0,-1
驯犬者洛克希,446,189,1,2000,4569,2,0,0,-1
奥法师杜安,447,189,1,3000,4570,3,0,0,-1
赫洛德,448,189,1,4000,4571,4,0,0,-1
大检察官法尔班克斯,449,189,1,5000,4572,5,0,0,-1
大检察官怀特迈恩,450,189,1,6000,1201,6,0,0,-1
传令官基尔图诺斯,451,289,1,0,4573,0,0,0,-1
詹迪斯·巴罗夫,452,289,1,1000,4574,1,0,0,-1
血骨傀儡,453,289,1,2000,4575,2,0,0,-1
马杜克·布莱克波尔,454,289,1,3000,4576,3,0,0,-1
维克图斯,455,289,1,4000,4577,4,0,0,-1
莱斯·霜语,456,289,1,5000,4578,5,0,0,-1
讲师玛丽希亚,457,289,1,6000,4588,6,0,0,-1
瑟尔林·卡斯迪诺夫教授,458,289,1,7000,4589,7,0,0,-1
博学者普克尔特,459,289,1,8000,4590,8,0,0,-1
拉文尼亚,460,289,1,9000,4591,9,0,0,-1
阿雷克斯·巴罗夫,461,289,1,10000,4592,10,0,0,-1
伊露希亚·巴罗夫,462,289,1,11000,4593,11,0,0,-1
黑暗院长加丁,463,289,1,12000,4594,12,0,0,-1
不可宽恕者,472,329,1,6500,4719,0,4,0,-1
弗雷斯特恩,473,329,1,1000,4720,1,4,0,-1
悲惨的提米,474,329,1,2000,4721,2,4,0,-1
希望破坏者威利,475,329,1,3000,4723,3,4,0,-1
指挥官玛洛尔,476,329,1,2500,4722,4,4,0,-1
档案管理员加尔福特,477,329,1,5000,4724,5,4,0,-1
巴纳扎尔,478,329,1,6000,4725,6,4,0,-1
安娜丝塔丽男爵夫人,479,329,1,7000,4726,7,4,0,-1
奈鲁布恩坎,480,329,1,8000,4727,8,4,0,-1
苍白的玛勒基,481,329,1,9000,4728,9,4,0,-1
巴瑟拉斯镇长,482,329,1,10000,4729,10,4,0,-1
吞咽者拉姆斯登,483,329,1,11000,4730,11,4,0,-1
奥里克斯·瑞文戴尔领主,484,329,1,12000,4731,12,4,0,-1
德姆塞卡尔,486,109,1,1000,4734,1,4,0,-1
德拉维沃尔,487,109,1,2000,4735,2,4,0,-1
预言者迦玛兰,488,109,1,500,121,3,4,0,-1
摩弗拉斯,490,109,1,5000,4737,5,4,0,-1
哈扎斯,491,109,1,6000,4738,6,4,0,-1
哈卡的化身,492,109,1,-500,4739,7,4,0,-1
伊兰尼库斯的阴影,493,109,1,8000,4740,8,4,0,-1
冰封指挥官,519,576,2,0,3685,0,0,0,-1
大魔导师泰蕾丝塔,520,576,1,0,3691,1,4,0,-1
大魔导师泰蕾丝塔,521,576,2,1000,3691,1,0,0,-1
阿诺玛鲁斯,522,576,1,1000,3692,2,0,0,-1
阿诺玛鲁斯,523,576,2,2000,3692,2,0,0,-1
塑树者奥莫洛克,524,576,1,2000,3693,3,0,0,-1
塑树者奥莫洛克,525,576,2,3000,3693,3,0,0,-1
克莉斯塔萨,526,576,1,3000,3694,4,0,0,-1
克莉斯塔萨,527,576,2,4000,3694,4,0,0,-1
审讯者达库斯,528,578,1,0,3869,0,0,0,-1
审讯者达库斯,529,578,2,1000,3869,0,0,0,-1
瓦尔洛斯·云击,530,578,1,1000,3871,1,0,0,-1
瓦尔洛斯·云击,531,578,2,2000,3871,1,0,0,-1
法师领主伊洛姆,532,578,1,2000,3872,2,0,0,-1
法师领主伊洛姆,533,578,2,3000,3872,2,0,0,-1
魔网守护者埃雷苟斯,534,578,1,3000,3873,3,0,0,-1
魔网守护者埃雷苟斯,535,578,2,4000,3873,3,0,0,-1
鲁维罗什,547,70,1,0,4758,0,4,0,-1
失落的矮人,548,70,1,1000,4761,1,4,0,-1
艾隆纳亚,549,70,1,2000,4762,2,4,0,-1
远古巨石卫士,551,70,1,4000,4764,4,4,0,-1
加加恩·火锤,552,70,1,5000,4765,5,4,0,-1
格瑞姆洛克,553,70,1,6000,4766,6,4,0,-1
阿扎达斯,554,70,1,7000,4767,7,4,0,-1
安娜科德拉,585,43,1,0,4776,0,4,0,-1
考布莱恩,586,43,1,1000,4777,1,4,0,-1
克雷什,587,43,1,2000,4778,2,4,0,-1
皮萨斯,588,43,1,3000,4779,3,4,0,-1
斯卡姆,589,43,1,4000,4780,4,4,0,-1
瑟芬迪斯,590,43,1,5000,4781,5,4,0,-1
永生者沃尔丹,591,43,1,6000,4782,6,4,0,-1
吞噬者穆坦努斯,592,43,1,7000,4783,7,4,0,-1
水占师维蕾萨,593,209,1,0,4784,0,4,0,-1
加兹瑞拉,594,209,1,1000,4785,1,4,0,-1
安图苏尔,595,209,1,2000,4786,2,4,0,-1
殉教者塞卡,596,209,1,3000,4787,3,4,0,-1
巫医祖穆拉恩,597,209,1,4000,4788,4,4,0,-1
耐克鲁姆,598,209,1,5000,4789,5,4,0,-1
暗影祭司塞瑟斯,599,209,1,6000,4790,6,4,0,-1
乌克兹·沙顶,600,209,1,7000,4791,7,4,0,-1
高阶督军纳因图斯,601,564,0,0,3013,0,6,0,-1
苏普雷姆斯,602,564,0,1000,3012,1,6,0,-1
阿卡玛之影,603,564,0,2000,3058,2,6,0,-1
塔隆·血魔,604,564,0,3000,4792,3,6,0,-1
古尔图格·血沸,605,564,0,4000,3014,4,6,0,-1
灵魂之匣,606,564,0,5000,4793,5,6,0,-1
莎赫拉丝主母,607,564,0,6000,12150,6,6,0,-1
伊利达雷议会,608,564,0,7000,3030,7,6,0,-1
伊利丹·怒风,609,564,0,8000,4794,8,7,0,-1
狂野的拉佐格尔,610,469,0,0,4795,0,6,0,-1
堕落的瓦拉斯塔兹,611,469,0,1000,4796,1,6,0,-1
勒什雷尔,612,469,0,2000,4797,2,6,0,-1
费尔默,613,469,0,3000,4798,3,6,0,-1
埃博诺克,614,469,0,4000,4799,4,6,0,-1
弗莱格尔,615,469,0,5000,4800,5,6,0,-1
克洛玛古斯,616,469,0,6000,4801,6,6,0,-1
奈法利安,617,469,0,7000,1641,7,7,0,-1
雷基·冬寒,618,534,0,0,2519,0,6,0,-1
安纳塞隆,619,534,0,1000,2464,1,6,0,-1
卡兹洛加,620,534,0,2000,2523,2,6,0,-1
阿兹加洛,621,534,0,3000,2487,3,6,0,-1
阿克蒙德,622,534,0,4000,2530,4,7,0,-1
不稳定的海度斯,623,548,0,0,2853,0,6,0,-1
鱼斯拉,624,548,0,1000,2855,1,6,0,-1
盲眼者莱欧瑟拉斯,625,548,0,2000,2857,2,6,0,-1
深水领主卡拉瑟雷斯,626,548,0,3000,2856,3,6,0,-1
莫洛格里·踏潮者,627,548,0,4000,2854,4,6,0,-1
瓦丝琪,628,548,0,5000,4802,5,7,0,-1
莫加尔大王,649,565,0,0,2778,0,2,0,-1
屠龙者格鲁尔,650,565,0,1000,4804,1,3,0,-1
玛瑟里顿,651,544,0,0,4805,0,7,0,-1
猎手阿图门,652,532,0,0,2315,0,4,0,-1
莫罗斯,653,532,0,1000,2309,1,4,0,-1
贞节圣女,654,532,0,2000,4806,2,4,0,-1
歌剧院,655,532,0,3000,2381,3,4,0,-1
馆长,656,532,0,4000,2501,4,4,0,-1
特雷斯坦·邪蹄,657,532,0,5000,2336,5,4,0,-1
埃兰之影,658,532,0,6000,2910,6,4,0,-1
虚空幽龙,659,532,0,7000,2865,7,4,0,-1
国际象棋,660,532,0,8000,2517,8,4,0,-1
玛克扎尔王子,661,532,0,9000,4807,9,4,0,-1
夜之魇,662,532,0,10000,4808,10,4,0,-1
鲁西弗隆,663,409,0,0,4809,0,6,0,-1
玛格曼达,664,409,0,1000,847,1,6,0,-1
基赫纳斯,665,409,0,2000,848,2,6,0,-1
加尔,666,409,0,3000,846,3,6,0,-1
沙斯拉尔,667,409,0,4000,850,4,6,0,-1
迦顿男爵,668,409,0,5000,845,5,6,0,-1
萨弗隆先驱者,669,409,0,6000,761,6,6,0,-1
焚化者古雷曼格,670,409,0,7000,741,7,6,0,-1
管理者埃克索图斯,671,409,0,8000,1502,8,6,0,-1
拉格纳罗斯,672,409,0,9000,1666,9,7,0,-1
预言者斯克拉姆,709,531,0,0,4821,0,6,0,-1
安其拉三宝,710,531,0,1000,4822,1,6,0,-1
沙尔图拉,711,531,0,2000,4823,2,6,0,-1
顽强的范克瑞斯,712,531,0,3000,4824,3,6,0,-1
维希度斯,713,531,0,4000,4825,4,6,0,-1
哈霍兰公主,714,531,0,5000,4826,5,6,0,-1
双子皇帝,715,531,0,6000,4827,6,6,0,-1
奥罗,716,531,0,7000,2296,7,6,0,-1
克苏恩,717,531,0,8000,4828,8,7,0,-1
库林纳克斯,718,509,0,0,4811,0,6,0,-1
拉贾克斯将军,719,509,0,1000,2174,1,6,0,-1
莫阿姆,720,509,0,2000,4812,2,6,0,-1
吞咽者布鲁,721,509,0,3000,4813,3,6,0,-1
狩猎者阿亚米斯,722,509,0,4000,4814,4,6,0,-1
无疤者奥斯里安,723,509,0,5000,4815,5,7,0,-1
卡雷苟斯,724,580,0,0,3434,0,6,0,-1
布鲁塔卢斯,725,580,0,1000,3336,1,6,0,-1
菲米丝,726,580,0,2000,3337,2,6,0,-1
艾瑞达双子,727,580,0,3000,3435,3,6,0,-1
穆鲁,728,580,0,4000,3423,4,6,0,-1
基尔加丹,729,580,0,5000,4816,5,7,0,-1
奥,730,550,0,0,4817,0,6,0,-1
空灵机甲,731,550,0,1000,4818,1,6,0,-1
大星术师索兰莉安,732,550,0,2000,4819,2,6,0,-1
凯尔萨斯·逐日者,733,550,0,3000,4820,3,7,0,-1
高阶祭司温诺希斯,784,309,1,0,1967,0,0,0,-1
高阶祭司耶克里克,785,309,1,-1000,1968,1,0,0,-1
高阶祭司玛尔里,786,309,1,2000,1969,2,0,0,-1
血领主曼多基尔,787,309,1,3000,4839,3,0,0,-1
疯狂之缘,788,309,1,4000,4850,4,0,0,-1
高阶祭司塞卡尔,789,309,1,5000,1970,5,0,0,-1
加兹兰卡,790,309,1,6000,4840,6,0,0,-1
高阶祭司娅尔罗,791,309,1,7000,1971,7,0,0,-1
妖术师金度,792,309,1,8000,4841,8,0,0,-1
哈卡,793,309,1,9000,4844,9,0,0,-1
艾卓曼德斯,1022,669,0,0,5182,0,6,0,-1
奇美隆,1023,669,0,1000,5318,1,6,0,-1
熔喉,1024,669,0,-500,5301,2,14,0,-1
马洛拉克,1025,669,0,3000,5315,3,6,0,-1
奈法利安的末日,1026,669,0,4000,5203,4,7,0,-1
全能金刚防御系统,1027,669,0,-1000,5303,5,6,0,-1
升腾者议会,1028,671,0,2000,5339,0,10,0,-1
古加尔,1029,671,0,2500,5494,1,11,0,-1
哈尔弗斯·碎龙者,1030,671,0,-1000,5380,2,10,0,-1
瑟纳利昂与瓦里昂娜,1032,671,0,1500,5517,4,10,0,-1
阿尔加洛斯,1033,757,0,0,5575,0,14,0,-1
奥拉基尔,1034,754,0,0,5565,0,11,0,-1
风之议会,1035,754,0,-1000,5563,1,6,0,-1
升腾者领主奥西迪斯,1036,645,0,0,5131,0,4,0,-1
如花,1037,645,0,-1000,5129,1,4,0,-1
柯尔拉，暮光之兆,1038,645,0,-2000,5112,2,4,0,-1
卡尔什·断钢,1039,645,0,-1500,5119,3,4,0,-1
摧骨者罗姆欧格,1040,645,0,-3000,5127,4,4,0,-1
阿尔泰鲁斯,1041,657,0,0,5497,0,4,0,-1
阿萨德,1042,657,0,1000,5496,1,4,0,-1
大宰相尔埃尔坦,1043,657,0,-1000,5500,2,4,0,-1
指挥官乌尔索克,1044,643,0,0,5325,0,4,0,-1
纳兹夏尔女士,1045,643,0,-1000,5125,1,4,0,-1
蛊心魔古厄夏,1046,643,0,1000,5326,2,4,0,-1
厄祖玛特,1047,643,0,2000,5557,3,4,0,-1
达加·燃影者,1048,670,0,0,5098,0,4,0,-1
埃鲁达克,1049,670,0,1000,5175,1,4,0,-1
铸炉之主索朗格斯,1050,670,0,-1000,5077,2,4,0,-1
乌比斯将军,1051,670,0,-2000,5065,3,4,0,-1
胡辛姆将军,1052,755,0,0,5389,0,4,0,-1
高阶预言者巴林姆,1053,755,0,1000,5382,1,4,0,-1
锁喉,1054,755,0,2000,5562,2,4,0,-1
希亚玛特,1055,755,0,3000,5476,3,4,0,-1
克伯鲁斯,1056,725,0,0,5569,0,4,0,-1
高阶女祭司艾苏尔,1057,725,0,1000,5572,1,4,0,-1
欧泽鲁克,1058,725,0,500,5571,2,4,0,-1
岩皮,1059,725,0,250,5570,3,4,0,-1
“船长”曲奇,1060,36,0,0,5556,0,4,0,-1
撕心狼将军,1062,36,0,-1000,5555,1,4,0,-1
死神5000,1063,36,0,-2000,5554,2,4,0,-1
格拉布托克,1064,36,0,-3000,5538,3,4,0,-1
赫利克斯·破甲,1065,36,0,-2500,5549,4,4,0,-1
灰葬男爵,1069,33,0,0,5551,0,4,0,-1
席瓦莱恩男爵,1070,33,0,1000,4597,1,4,0,-1
指挥官斯普林瓦尔,1071,33,0,2000,4598,2,4,0,-1
高弗雷勋爵,1072,33,0,3000,5553,3,4,0,-1
沃登勋爵,1073,33,0,2500,5552,4,4,0,-1
阿穆纳伊,1074,644,0,0,5166,0,4,0,-1
安拉斐特,1075,644,0,-1000,5107,1,4,0,-1
地怒者塔赫,1076,644,0,-2000,5165,2,4,0,-1
伊希斯特,1077,644,0,-500,5002,3,4,0,-1
拉夏,1078,644,0,1000,5168,4,4,0,-1
塞特斯,1079,644,0,500,5167,5,4,0,-1
神殿守护者安努尔,1080,644,0,-3000,4985,6,4,0,-1
梵妮莎·范克里夫,1081,36,2,1000,5613,5,4,0,-1
希奈丝特拉,1082,671,5,3500,5523,3,11,0,-1
希奈丝特拉,1083,671,6,3500,5523,3,11,0,-1
奥妮克希亚,1084,249,0,0,4810,0,7,0,-1
阿努巴拉克,1085,649,0,5000,4241,0,11,0,-1
阵营冠军,1086,649,0,3000,4803,1,10,0,-1
加拉克苏斯大王,1087,649,0,2000,4272,2,10,0,-1
诺森德猛兽,1088,649,0,0,4370,3,10,0,-1
瓦格里双子,1089,649,0,4000,4334,4,10,0,-1
萨塔里奥,1090,615,0,4000,4833,0,7,0,-1
沙德隆,1091,615,0,3000,4831,1,4,0,-1
塔尼布隆,1092,615,0,2000,4830,2,4,0,-1
维斯匹隆,1093,615,0,0,4832,3,4,0,-1
玛里苟斯,1094,616,0,0,4829,0,2,0,-1
鲜血议会,1095,631,0,7000,4733,0,10,0,-1
死亡使者萨鲁法尔,1096,631,0,3000,4519,1,2,0,-1
烂肠,1097,631,0,5000,4870,2,10,0,-1
踏梦者瓦莉瑟瑞娅,1098,631,0,10000,4855,3,6,0,-1
冰冠冰川炮舰战,1099,631,0,2000,4492,4,10,0,-1
亡语者女士,1100,631,0,1000,4869,5,10,0,-1
玛洛加尔领主,1101,631,0,0,4471,6,10,0,-1
普崔塞德教授,1102,631,0,6000,4871,7,10,0,-1
兰娜瑟尔女王,1103,631,0,9000,4868,8,10,0,-1
腐面,1104,631,0,4000,4435,9,10,0,-1
辛达苟萨,1105,631,0,12000,4842,10,10,0,-1
巫妖王,1106,631,0,14000,4910,11,7,0,-1
阿努布雷坎,1107,533,0,0,2255,0,14,0,-1
格拉斯,1108,533,0,1000,2242,1,14,0,-1
收割者戈提克,1109,533,0,500,2238,2,14,0,-1
黑女巫法琳娜,1110,533,0,250,2256,3,14,0,-1
格罗布鲁斯,1111,533,0,750,2247,4,14,0,-1
肮脏的希尔盖,1112,533,0,375,2258,5,14,0,-1
教官拉苏维奥斯,1113,533,0,437,2307,6,14,0,-1
克尔苏加德,1114,533,0,2000,2269,7,7,0,-1
洛欧塞布,1115,533,0,406,2245,8,14,0,-1
迈克斯纳,1116,533,0,312,2253,9,14,0,-1
药剂师诺斯,1117,533,0,343,2257,10,14,0,-1
帕奇维克,1118,533,0,625,2244,11,14,0,-1
萨菲隆,1119,533,0,1500,2268,12,14,0,-1
塔迪乌斯,1120,533,0,1250,2243,13,14,0,-1
天启四骑士,1121,533,0,562,4012,14,6,0,-1
岩石看守者阿尔卡冯,1126,624,0,0,4836,0,10,0,-1
风暴看守者埃玛尔隆,1127,624,0,1000,4837,1,10,0,-1
火焰看守者科拉隆,1128,624,0,2000,4838,2,10,0,-1
寒冰看守者图拉旺,1129,624,0,3000,4895,3,10,0,-1
观察者奥尔加隆,1130,603,0,0,4093,0,66,0,-1
欧尔莉亚,1131,603,0,-1000,4140,1,6,0,-1
烈焰巨兽,1132,603,0,-2000,4114,2,6,0,-1
弗蕾亚,1133,603,0,-500,4059,3,6,0,-1
维扎克斯将军,1134,603,0,-250,4067,4,6,0,-1
霍迪尔,1135,603,0,-750,4050,5,6,0,-1
掌炉者伊格尼斯,1136,603,0,-1500,4834,6,6,0,-1
科隆加恩,1137,603,0,-1250,4089,7,6,0,-1
米米尔隆,1138,603,0,-375,4060,8,6,0,-1
锋鳞,1139,603,0,-1375,4835,9,6,0,-1
钢铁议会,1140,603,0,-1312,4091,10,6,0,-1
托里姆,1141,603,0,-625,4057,11,6,0,-1
XT-002拆解者,1142,603,0,-1343,4138,12,6,0,-1
尤格-萨隆,1143,603,0,-125,4121,13,7,0,-1
霍格,1144,34,1,1000,5509,3,4,0,-1
灼热勋爵,1145,34,1,2000,5510,4,4,0,-1
兰多菲·摩洛克,1146,34,1,3000,5511,5,4,0,-1
战争之子巴尔萨鲁斯,1147,724,0,0,5031,0,4,0,-1
萨瑞瑟里安将军,1148,724,0,1000,5033,1,4,0,-1
塞维娅娜·怒火,1149,724,0,500,5032,2,4,0,-1
海里昂,1150,724,0,2000,5048,3,6,0,-1
明叶长老,1164,603,0,-562,5630,14,0,0,-1
铁枝长老,1165,603,0,-531,5631,15,0,0,-1
石树长老,1166,603,0,-515,5632,16,0,0,-1
高阶祭司温诺希斯,1178,859,0,0,5779,0,12,0,-1
血领主曼多基尔,1179,859,0,1000,5810,1,12,0,-1
高阶祭司基尔娜拉,1180,859,0,2000,5780,2,4,0,-1
赞吉尔,1181,859,0,3000,5769,3,12,0,-1
碎神者金度,1182,859,0,4000,5778,4,4,0,-1
管理者鹿盔,1185,720,0,0,5827,0,14,0,-1
疯狂之缘,1188,859,0,1500,5824,5,4,0,-1
埃基尔松,1189,568,0,0,3122,0,12,0,-1
纳洛拉克,1190,568,0,1000,3077,1,12,0,-1
加亚莱,1191,568,0,2000,3153,2,12,0,-1
哈尔拉兹,1192,568,0,3000,3152,3,12,0,-1
妖术领主玛拉卡斯,1193,568,0,4000,3146,4,12,0,-1
达卡拉,1194,568,0,5000,3148,5,12,0,-1
贝丝缇拉克,1197,720,0,-4000,5882,1,14,0,-1
贝尔洛克,1200,720,0,-1000,5898,2,14,0,-1
拉格纳罗斯,1203,720,0,2000,5911,3,15,0,-1
雷奥利斯领主,1204,720,0,-3000,5872,4,6,0,-1
沙恩诺克斯,1205,720,0,-2375,5919,5,14,0,-1
奥利瑟拉佐尔,1206,720,0,-1750,5942,6,14,0,-1
欧库塔尔,1250,757,0,1000,5821,1,14,0,-1
姆诺兹多,1271,938,0,8000,6048,4,4,0,-1
佩罗萨恩,1272,939,0,0,6067,0,4,0,-1
艾萨拉女王,1273,939,0,1000,6038,1,4,0,-1
玛诺洛斯,1274,939,0,2000,6055,2,4,0,-1
死亡之翼的背脊,1291,967,0,0,6097,0,6,0,-1
莫卓克,1292,967,0,-1000,6082,1,2,0,-1
督军佐诺兹,1294,967,0,-500,6084,2,2,0,-1
不眠的约萨希,1295,967,0,-250,6102,3,2,0,-1
哈格拉,1296,967,0,-125,6106,4,2,0,-1
奥卓克希昂,1297,967,0,-62,6128,5,2,0,-1
战争大师黑角,1298,967,0,-31,6134,6,2,0,-1
疯狂的死亡之翼,1299,967,0,1000,6142,7,7,0,-1
古·穿云,1303,959,0,0,6585,0,0,0,-1
雪流大师,1304,959,0,1000,6117,1,0,0,-1
狂之煞,1305,959,0,2000,6138,2,0,0,-1
祝踏岚,1306,959,0,3000,6151,3,0,0,-1
阿丽萨巴尔,1332,757,0,2000,6158,2,14,0,-1
阿奎里恩,1337,940,0,0,6161,0,4,0,-1
大主教本尼迪塔斯,1339,940,0,1000,6088,1,4,0,-1
埃希拉·黎明克星,1340,940,0,500,6062,2,4,0,-1
Omar the Test Dragon,1348,598,1,0,6215,0,0,0,-1
受诅者魔封,1390,1008,0,0,6428,0,6,306868,-1
石头守卫,1395,1008,0,-1000,6431,1,6,0,-1
破坏者吉普提拉克,1397,962,0,0,6153,0,4,0,-1
突袭者加杜卡,1405,962,0,1000,6465,1,0,0,-1
指挥官瑞魔克,1406,962,0,2000,6466,2,0,0,-1
皇帝的意志,1407,1008,0,3000,6470,2,7,0,-1
无尽守护者,1409,996,0,0,6473,0,6,0,-1
乌克乌克,1412,961,0,0,6143,0,4,0,-1
跳跳大王,1413,961,0,1000,6375,1,4,0,-1
破桶而出的炎诛,1414,961,0,2000,6378,2,4,0,-1
刘·焰心,1416,960,0,1000,6141,1,4,0,-1
游学者石步,1417,960,0,0,6295,2,4,0,-1
贤者马里,1418,960,0,-1000,6400,3,4,0,-1
莱公,1419,962,0,3000,6293,3,0,0,-1
织焰者孔格勒,1420,1001,0,0,6330,0,4,0,-1
武器大师哈兰,1421,1001,0,-500,6542,1,4,0,-1
驯犬者布兰恩,1422,1001,0,-1000,6521,2,4,0,-1
裂魂者萨尔诺斯,1423,1004,0,0,4568,0,4,0,-1
科洛夫修士,1424,1004,0,1000,6444,1,4,0,-1
大检察官怀特迈恩,1425,1004,0,2000,6450,2,4,0,-1
指导者寒心,1426,1007,0,0,6321,0,0,0,-1
詹迪斯·巴罗夫,1427,1007,0,1000,6331,1,0,0,-1
血骨傀儡,1428,1007,0,2000,6335,2,0,0,-1
莉莉安·沃斯,1429,1007,0,3000,6334,3,0,0,-1
黑暗院长加丁,1430,1007,0,4000,6319,4,0,0,-1
惧之煞,1431,996,0,1000,6525,1,7,0,-1
缚灵者戈拉亚,1434,1008,0,500,6463,3,6,0,-1
先王之魂,1436,1008,0,2000,6529,4,6,0,-1
疑之煞,1439,960,0,3000,6125,0,4,0,-1
武器大师席恩,1441,994,0,1000,6579,1,0,0,-1
君王的试炼,1442,994,0,-1000,6586,2,4,0,-1
阿达罗格,1443,389,0,0,6580,0,4,0,-1
黑暗萨满柯兰萨,1444,389,0,1000,6583,1,4,0,-1
焰喉,1445,389,0,2000,6589,2,4,0,-1
熔岩守卫戈多斯,1446,389,0,3000,6592,3,4,0,-1
将军帕瓦拉克,1447,1011,0,1500,6594,0,0,0,-1
加拉隆,1463,1009,0,-1250,6649,0,6,0,-1
翼虫首领尼诺洛克,1464,1011,0,2500,6658,1,0,0,-1
宰相金巴卡,1465,1011,0,0,6625,2,0,0,-1
风领主梅尔加拉克,1498,1009,0,-1000,6677,1,6,0,-1
琥珀塑形者昂舒克,1499,1009,0,1000,6700,2,7,0,-1
伊拉贡,1500,1008,0,2500,6786,5,6,368365,-1
大女皇夏柯希尔,1501,1009,0,2000,6729,3,7,237143,-1
指挥官沃加克,1502,1011,0,1250,6735,3,0,0,-1
刀锋领主塔亚克,1504,1009,0,-1500,6944,5,6,0,-1
烛龙,1505,996,0,500,6747,2,6,0,-1
雷施,1506,996,0,750,6738,3,6,0,-1
皇家宰相佐尔洛克,1507,1009,0,-2500,6741,6,6,0,-1
杰翰,1509,994,1,0,6558,3,0,0,-1
杰翰,1510,994,2,500,6558,3,4,0,-1
铁穹,1559,1098,0,0,7329,0,7,646675,-1
神女双天,1560,1098,0,1000,7502,1,7,133886,-1
炮舰,1563,870,0,0,0,0,8,0,-1
怒之煞,1564,870,0,1000,0,1,8,0,-1
托多斯,1565,1098,0,-1000,7507,2,6,0,-1
长者议会,1570,1098,0,-1500,7543,3,6,0,-1
纳拉克,1571,870,0,2000,0,2,8,0,-1
遗忘者杜鲁姆,1572,1098,0,-250,7563,4,6,0,-1
季鹍,1573,1098,0,-500,7565,5,6,0,-1
普利莫修斯,1574,1098,0,-125,7571,6,6,0,-1
赫利东,1575,1098,0,-2000,7570,7,6,0,-1
