ID,Description_lang
201,"暗月马戏团已经开张营业！

去拜访希拉斯·暗月和他的马戏团，玩一玩考验头脑和胆量的游戏，看一看来自艾泽拉斯各地的奇特珍品……还有更多的乐趣在等着你！"
204,唯利是图的风险投资公司将碎银矿脉的开采权同时出售给了联盟和部落！就在我们说话间，为铁炉堡和锈水海湾效力的佣兵一直在为宝贵的矿产资源大打出手……
205,金莲教的间谍在封印已久的寇魔古寺中发现了古老强大的神器。土水派与火金派的武僧至今仍在用武力争夺这些神秘的装置，不遗余力地从联盟和部落征募任何可助其成就大业的盟友。
215,在四风谷中，新战场深风峡谷中的金矿不是以敌方的阵亡数，而是以双方的黄金数量来衡量胜利的。
217,在此活动期间，你的宠物可获得双倍经验值！快出去战斗吧！
218,在此活动期间，击败任意100级英雄或史诗地下城里的敌人可获得相应德拉诺阵营的声望。
219,在此活动期间，随机战场奖励的荣誉值提高。荣耀在战场上等着你！
220,"在此活动期间，30级及以上玩家可以加入特殊的随机时空漫游地下城队列，将玩家的角色及物品等级降低到“巫妖王之怒”的旧地下城的相同水平。在时空漫游中，首领会掉落适合玩家真实等级的战利品。

在“巫妖王之怒”时空漫游期间，你可以组建一个10人到30人的团队，前往诺森德的达拉然，与沃尔姆谈话以进入奥杜尔团队副本的时空漫游版本。"
221,在此活动期间，竞技场练习赛奖励的荣誉值提高。你是否愿意响应战斗的召唤呢？
222,"在此活动期间，30级及以上玩家可以加入特殊的随机时空漫游地下城队列，将玩家的角色及物品等级降低到“燃烧的远征”的旧地下城的相同水平。在时空漫游中，首领会掉落适合玩家真实等级的战利品。

在“燃烧的远征”时空漫游期间，你可以组建一个10人到30人的团队，前往外域的沙塔斯，与沃尔姆谈话以进入黑暗神殿团队副本的时空漫游版本。"
223,在此活动期间，埃匹希斯水晶的产量将离奇增长，德拉诺各地的敌人掉落水晶的概率将大幅提高。
224,"在此活动期间，35级及以上玩家可以加入特殊的随机时空漫游地下城队列，将玩家的角色及物品等级降低到“大地的裂变”的旧地下城的相同水平。在时空漫游中，首领会掉落适合玩家真实等级的战利品。

在“大地的裂变”时空漫游期间，你可以组建一个10人到30人的团队，前往奥格瑞玛或暴风城，与沃尔姆谈话以进入火焰之地团队副本的时空漫游版本。"
225,在此活动期间，每个“军团再临”地下城的最终首领都会在被击败后额外奖励玩家一件物品。
226,在此活动期间，完成世界任务会额外奖励对应阵营的声望值。
227,今天，艾泽拉斯和德拉诺的居民将共同表彰他们的保卫者所作出的贡献。向一名卫兵敬礼以表达你的敬意吧！
228,群魔乱舞的庆典，绝对没有奶牛关。
229,历史上的今天，甲虫之锣被敲响，开启了安其拉的大门。代表你的阵营收集补给品，或者击杀暮光之锤和其拉虫族的部队。获胜的阵营可以将自己的旗帜挂在甲虫之锣旁，直至年末！
230,今天是乱羽角鹰兽孵化的日子。前往位于菲拉斯的乱羽高地，亲眼见证这一奇景吧！
231,艾泽拉斯的居民需要休息。让我们去千针石林划船吧！
232,安戈洛环形山的恐龙越来越焦躁了。该去拜访它们一下了！
233,这是一个风和日丽的日子……最适合坐着热气球观光了。快乘上热气球饱览美景，结交新朋友吧！
234,艾泽拉斯的法师们也需要休闲。快去你所在地的酒吧，进入传送门，参加旅店趴活动吧！
235,今天，北风苔原的冬鳍部族的幼年鱼人们将完成他们穿越西部裂谷的旅程。
236,今天，赞加沼泽孢子村的孢子人们将举行他们一年一度的蘑菇节。尽可能帮助他们保护伟大的弗肖，不要让她死亡！
237,在此活动期间，35级及以上玩家可以加入特殊的随机时空漫游地下城队列，将玩家的角色及物品等级降低到“熊猫人之谜”的旧地下城的相同水平。在时空漫游中，首领会掉落适合玩家真实等级的战利品。
238,
239,
240,
241,掸去肩甲上的征尘，加入艾泽拉斯的时尚比拼吧！与任意主城的幻化师对话，参与时尚试炼！
242,今天，奥格瑞玛和暴风城的主拍卖行已经清场并改为了舞会！快来展示一下你们的阵营荣誉感吧！
243,今天，月光林地将举办一场有关枭兽的有趣庆典。快来看看你能学到些什么吧！
244,和侏儒们一起向他们百折不挠的精神致敬！跨越东部王国，从诺莫瑞根南下，一直跑到藏宝海湾！
245,进入普通或英雄难度的萨格拉斯之墓，基尔加丹在等着你！
246,史诗难度的萨格拉斯之墓正等待着最勇敢的冒险者，同时玩家可以使用团队查找器进入这个团队副本的第一个区域：地狱之门。
247,玩家可以使用团队查找器进入萨格拉斯之墓的第二个区域：哀嚎大厅。
248,玩家可以使用团队查找器进入萨格拉斯之墓的第三个区域：化身密室。
249,玩家可以使用团队查找器进入萨格拉斯之墓的最后一场战斗：欺诈者之陨。基尔加丹在等着你！
250,在阿古斯之影的第二部分完成克罗库恩的故事线，并前往化为废墟的德莱尼城市艾瑞达斯。能够进入侵入点，并挫败燃烧军团在其他世界的阴谋。将解锁额外的世界任务。
251,在阿古斯之影的第三部分完成玛凯雷的故事线，解锁有所的世界任务，并深入全新地下城——执政团之座。激活你在维迪卡尔上的虚空之光熔炉并开始铸造圣物。
252,玩家可以使用团队查找器进入安托鲁斯，燃烧王座的第二个区域：禁忌深渊。
253,玩家可以使用团队查找器进入安托鲁斯，燃烧王座的第三个区域：希望的终末。
254,玩家可以使用团队查找器进入安托鲁斯，燃烧王座的最终区域：万神之座。
255,史诗难度的安托鲁斯，燃烧王座在等待着最勇敢的冒险者。现在，玩家可以使用团队查找器进入团队副本的第一个区域：圣光突破口。
256,进入普通或英雄难度的安托鲁斯，燃烧王座，阿古斯在等着你！
357,为战备贡献力量，然后与你的阵营的军队并肩作战，参与激流堡之战！
358,黑海岸烽烟再起，部落和联盟会在这个限时事件中争夺对泰达希尔的控制权！
359,跟着联盟登陆洛丹伦城堡外的海岸，参与这场争夺战吧！为了胜利，为了荣耀——为了洛丹伦！
360,进入普通或英雄难度的奥迪尔，戈霍恩在等着你！
361,在此活动期间，每个“争霸艾泽拉斯”地下城的最终首领都会在被击败后额外奖励玩家一件物品。
362,史诗难度的奥迪尔正等待着最勇敢的冒险者，同时玩家可以使用团队查找器进入这个团队副本的第一个区域：抑制大厅。
363,玩家可以使用团队查找器进入奥迪尔的第二个区域：猩红深渊。
364,玩家可以使用团队查找器进入奥迪尔的最终区域：腐蚀之心。
365,继续阵营战役，跟雷克萨一同前往库尔提拉斯，扰乱联盟的艾泽里特武器测试。
366,继续阵营战役，跟吉安娜·普罗德摩尔一起保卫库尔提拉斯。集结盟友，击溃部落！
367,一位新的战争盟友需要你的帮助——以及一小点侏儒工程的加成——来执行他聪明绝顶的计划。
368,帮助贸易大王加里维克斯测试他致命的全新机甲——加氏灭世机甲。
369,跟雷克萨和奥术师瓦尔托伊一起潜入敌方的地盘，救出敌人的敌人，希望能借此拉拢一位新的盟友。
370,与弗林·法温德和马迪亚斯·肖尔一起参与一场惊天大劫，深入敌方领地，取回深渊节杖。
371,经过仔细规划和准备后，联盟对纳兹米尔沼泽发起了突袭。这次行动风险极大，一定有人无法生还。
372,联盟部队悍然对纳兹米尔沼泽发动了突袭。在塔兰吉公主出发阻止联盟时，与她并肩作战！
373,达萨罗之战后部落的领袖进行了一场会晤，加入这场会议吧。
374,达萨罗之战后联盟的领袖进行了一场会晤，加入这场会议吧。
375,库尔提拉斯海军深入赞达拉的同时，两个超级势力在达萨罗之战团队副本中短兵相接。普通难度和英雄难度的达萨罗之战现已开放。
376,史诗难度的达萨罗之战团队副本正在等待最勇敢的冒险者。此外，玩家现在可以使用团队查找器来进入此团队副本的第一个区域：围攻达萨罗。
377,玩家可以使用团队查找器进入达萨罗之战的第二个区域：帝国的末日。
378,玩家可以使用团队查找器进入达萨罗之战的第三个区域。联盟玩家可以进入“联盟之力”，部落玩家可以进入“不胜利，毋宁死”。
379,前往卡桑琅丛林的海龟沙滩，纪念刘浪和神真子的传奇。这是沉思的时刻，也是欢歌的时刻。
380,目击者称，艾泽拉斯有多处出现了T恤商，而且他们的T恤……不要钱！！！甚至还有传言说，有艺人正在主城中发放免费的二手衬衫！
381,GG工程公司在瓦丝琪尔的深海里发现了冷光生物。他们急需你的帮助才能展开研究，因为这些生物很快就会重新消失在深海中！
382,在此活动期间，40级及以上玩家可以加入特殊的随机时空漫游地下城队列，将玩家的角色及物品等级降低到“德拉诺之王”的旧地下城的相同水平。在时空漫游中，首领会掉落适合玩家真实等级的战利品。
383,深入斯托颂谷地下方的密室，探寻蔓延于这片土地的暗影之源。普通难度和英雄难度现已开放。
384,史诗难度的风暴熔炉正等待着最勇敢的冒险者，同时玩家可以使用团队查找器进入这个团队副本。
387,纳沙塔尔的危险只是前奏。攻入王宫大门，深入艾萨拉的致命领域吧。
388,史诗难度的永恒王宫在等待着最勇敢的冒险者，同时玩家可以使用团队查找器进入这个团队副本。
389,玩家可以使用团队查找器进入永恒王宫的第二个区域：虔信深渊
390,玩家可以使用团队查找器进入永恒王宫的最终区域：群星之环。
391,
392,深入尼奥罗萨，觉醒之城，在恩佐斯的领域与他正面抗衡。
393,史诗难度的尼奥罗萨，觉醒之城在等待着最勇敢的冒险者，同时玩家可以使用团队查找器进入这个团队副本。
394,玩家可以使用团队查找器进入尼奥罗萨，觉醒之城的第二个区域：虔敬大厅。
395,玩家可以使用团队查找器进入尼奥罗萨，觉醒之城的第三个区域：血肉赐福。
396,玩家可以使用团队查找器进入尼奥罗萨，觉醒之城的最终区域：觉醒之梦。
397,玩家可以使用团队查找器进入纳斯利亚堡的第二个区域：丰饶圣物所。
398,玩家可以使用团队查找器进入纳斯利亚堡的第三个区域：石中殷红。
399,史诗难度的纳斯利亚堡在等待着最勇敢的冒险者，同时玩家可以使用团队查找器进入这个团队副本的第一个区域：汲心宝库。
400,进入纳斯利亚堡，在德纳修斯大帝的要塞中直面他本人。
401,玩家可以使用团队查找器进入纳斯利亚堡的最终区域：谒见傲慢。
402,浪骸野兽已被释放到了托加斯特，罪魂之塔！
403,无拘黑暗已被释放到了托加斯特，罪魂之塔！
404,丧魂在托加斯特，罪魂之塔中肆虐！
405,在此活动期间，每个“暗影国度”地下城的最终首领都会在被击败后额外奖励玩家一件物品。
407,登上托加斯特的顶层，进入统御圣所，阻止典狱长的阴谋。
408,史诗难度的统御圣所正等待着最勇敢的冒险者，同时玩家可以使用团队查找器进入这个团队副本。
409,玩家可以使用团队查找器进入统御圣所的第二个区域：晦暗刑狱。
410,玩家可以使用团队查找器进入统御圣所的第三个区域：命运镣铐。
411,玩家可以使用团队查找器进入统御圣所的最终区域：典狱长的报复。
412,
413,
414,
415,
416,
417,在此活动期间，45级及以上玩家可以加入特殊的随机时空漫游地下城队列，将玩家的角色及物品等级降低到“军团再临”的旧地下城的相同水平。在时空漫游中，首领会掉落适合玩家真实等级的战利品。
418,
419,深入初诞者圣墓，挫败佐瓦尔统御现实的图谋。
420,史诗难度的初诞者圣墓正等待着最勇敢的冒险者，同时玩家可以使用团队查找器进入这个团队副本。
421,玩家可以使用团队查找器进入初诞者圣墓的第二个区域：创生基石。
422,玩家可以使用团队查找器进入初诞者圣墓的第三个区域：统御之握。
423,玩家可以使用团队查找器进入初诞者圣墓的第四个区域：宏伟蓝图。
424,本周内，纳斯利亚堡的首领难度提高并拥有一项特殊的词缀强化。掉落的战利品的物品等级提高。
425,本周内，统御圣所的首领难度提高并拥有一项特殊的词缀强化。掉落的战利品的物品等级提高。
426,本周内，初诞者圣墓的首领难度提高并拥有一项特殊的词缀强化。掉落的战利品的物品等级提高。
427,在此活动期间，每个“巨龙时代”地下城的最终首领都会在被击败后额外奖励玩家一件物品。
428,深入化身巨龙牢窟，阻止莱萨杰丝的阴谋！
429,玩家可以使用团队查找器进入化身巨龙牢窟的第一个区域：原始壁垒。
430,玩家可以使用团队查找器进入化身巨龙牢窟的二个区域：注能岩洞。
431,玩家可以使用团队查找器进入化身巨龙牢窟的最终区域：风暴之怒。
432,响应守护巨龙的召唤，和龙鳞探险队一起登上巨龙群岛——冒险在等待着你！
433,深入焰影熔炉，阻止萨卡雷斯夺取奈萨里奥的遗产。
434,你可以使用团队查找器进入焰影熔炉的第一个区域：被遗弃的造物。
435,你可以使用团队查找器进入焰影熔炉的第二个区域：巨人之怒。
436,你可以使用团队查找器进入焰影熔炉的第三个区域：奈萨里奥之影。
437,你可以使用团队查找器进入焰影熔炉的最终区域：虚空之缘。
438,"诡谲的烈风从另一个世界吹来，还有零星的传闻说，手持麻袋的奇怪生物现身于世……

快去找找，看看它们究竟藏着什么样的财宝！"
439,"诡谲的烈风从另一个世界吹来，令英雄们感到精力愈加充沛。

活动期间，角色获得更多的经验值和声望。"
440,驭龙者受到艾泽拉斯骑手会的邀请，前往卡利姆多参加各地的赛事！和瓦德拉肯的安德斯塔兹领主谈谈，了解更多信息。
441,"这片土地充满了秘密！隐世的奇珍，失窃的财宝，探明的线索……

这背后是谁的阴谋？寻找捍卫者，帮他们查出真相！每天下午3点（太平洋时间）都会有新的秘密被发掘！"
442,"这片土地充满了秘密！隐世的奇珍，失窃的财宝，探明的线索……

这背后是谁的阴谋？寻找捍卫者，帮他们查出真相！每天晚上10点（欧洲中部时间）都会有新的秘密被发掘！"
443,"这片土地充满了秘密！隐世的奇珍，失窃的财宝，探明的线索……

这背后是谁的阴谋？寻找捍卫者，帮他们查出真相！每天上午7点（韩国时间）都会有新的秘密被发掘！"
444,驭龙者受到艾泽拉斯骑手会的邀请，前往东部王国参加各地的赛事！和瓦德拉肯的安德斯塔兹领主谈谈，了解更多信息。
445,驭龙者受到艾泽拉斯骑手会的邀请，前往外域参加各地的赛事！和瓦德拉肯的安德斯塔兹领主谈谈，了解更多信息。
446,
447,"青铜龙军团再次发现时间流变得越发紊乱，有好几条时间流在与我们的时间流迅速交叉！

连续完成时空漫游地下城后，你会获得时间流学识，暂时提升你获得的经验值。此外，在限定时间内，瓦德拉肯的卡兹拉提供的时空漫游任务奖励也会提升，会变为全新的英雄等级牢窟珍宝箱。"
448,驭龙者受到艾泽拉斯骑手会的邀请，前往诺森德参加各地的赛事！和瓦德拉肯的安德斯塔兹领主谈谈，了解更多信息。
449,驭龙者受到艾泽拉斯骑手会的邀请，前往潘达利亚参加各地的赛事！和瓦德拉肯的安德斯塔兹领主谈谈，了解更多信息。
450,驭龙者受到艾泽拉斯骑手会的邀请，前往破碎群岛参加各地的赛事！和瓦德拉肯的安德斯塔兹领主谈谈，了解更多信息。
451,深入圣泉神殿，追击菲莱克，不能让他吞噬阿梅达希尔之心！
452,玩家可以使用团队查找器进入阿梅达希尔，梦境之愿的第一个区域：化身余波。
453,玩家可以使用团队查找器进入阿梅达希尔，梦境之愿的第二个区域：熔火侵攻。
454,玩家可以使用团队查找器进入阿梅达希尔，梦境之愿的第三个区域：茏葱织纹。
455,玩家可以使用团队查找器进入阿梅达希尔，梦境之愿的第四个区域：阿梅达希尔的命运。
