Name_lang,FemaleName_lang,Description_lang,ID,ClassID,OrderIndex,PetTalentType,Role,Flags,SpellIconFileID,PrimaryStatPriority,AnimReplacements,MasterySpellID[0],MasterySpellID[1]
恶魔学识,恶魔学识,"恶魔指挥官，扭曲恶魔之魂来施展破坏之力。

偏好武器：法杖、魔杖、匕首和剑",266,9,1,0,2,3,136172,0,357,77219,0
毁灭,毁灭,"混乱魔法的大师，能用灾厄的烈焰将敌人焚烧殆尽。

偏好武器：法杖、魔杖、匕首和剑",267,9,2,0,2,3,136186,0,357,77220,0
酒仙,酒仙,"坚韧斗士，以变化莫测的身法闪避伤害并保护盟友。

偏好武器：法杖、长柄武器",268,10,0,0,0,4,608951,2,618,117906,0
踏风,踏风,"武艺无双，尤其擅长拳脚功夫的武者。

偏好武器：拳套、斧、锤和剑",269,10,2,0,2,68,608953,2,618,115636,0
织雾,织雾,"在青龙的指引下操纵生命能量的神秘治疗者。

偏好武器：法杖、锤和剑",270,10,1,0,1,5,608952,0,618,117907,0
狂野,狂野,在强烈的执念驱使下不断追逐猎物，这些食肉的猛兽会不择手段地夺取胜利；对这些掠食者而言，死亡也不过是短暂的休憩。,535,0,0,0,2,32,236159,0,0,0,0
狡诈,狡诈,狡猾的生物，擅长化解针对自己及其盟友的致命攻击。,536,0,2,2,2,32,132150,0,0,0,0
坚韧,坚韧,健壮而老练的防御者，他们无疑会将自己厚实的皮肤和防护性外壳挡在针对其盟友的伤害之前。,537,0,1,1,0,32,132121,0,0,0,0
浩劫,浩劫,"恐怖的战刃大师，使用邪能魔法的破灭之力。

偏好武器：战刃、剑、斧和拳套",577,12,0,0,2,68,1247264,3,364,185164,0
复仇,复仇,"接受内心的恶魔，用它烧尽敌人，保护盟友。

偏好武器：战刃、剑、斧和拳套",581,12,1,0,0,4,1247265,3,364,203747,0
初始,初始,,1444,7,4,0,2,3,136048,0,369,0,0
初始,初始,,1446,1,4,0,2,68,132355,5,0,0,0
初始,初始,,1447,11,4,0,2,331,136096,0,363,0,0
初始,初始,,1448,3,4,0,2,66,461112,2,0,0,0
初始,初始,,1449,8,4,0,2,67,135846,0,362,0,0
初始,初始,,1450,10,4,0,2,68,608953,2,618,0,0
初始,初始,,1451,2,4,0,2,68,135873,5,0,0,0
初始,初始,,1452,5,4,0,1,67,135940,0,353,0,0
初始,初始,,1453,4,4,0,2,68,236270,3,0,0,0
初始,初始,,1454,9,4,0,2,67,136145,0,357,0,0
初始,初始,,1455,6,4,0,2,68,135775,5,0,0,0
初始,初始,,1456,12,4,0,2,68,1247264,3,364,0,0
初始,初始,,1465,13,4,0,2,3,4574311,0,0,0,0
湮灭,湮灭,"将内心的力量化为混沌的红龙烈焰，或者精准的蓝龙魔法，用毁灭之力笼罩战场。

偏好武器： 法杖、剑、匕首、锤",1467,13,0,0,2,67,4511811,0,0,362980,0
恩护,恩护,"召唤翡翠梦境令生命复苏，以及召唤青铜龙的时间之沙，阻止伤害的降临。

偏好武器： 法杖、剑、匕首、锤",1468,13,1,0,1,3,4511812,0,0,363510,0
