Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,ParentCategory,DefaultAuctionHouseFilter,AuctionHouseExtraColumn
肩部,物品等级,48,5,21,3,30,45,0,1
胸部,物品等级,49,5,21,5,40,45,0,1
腰部,物品等级,50,5,21,6,50,45,0,1
腿部,物品等级,51,5,21,7,60,45,0,1
脚部,物品等级,52,5,21,8,70,45,0,1
腕部,物品等级,53,5,21,9,80,45,0,1
手部,物品等级,54,5,21,10,90,45,0,1
布甲,物品等级,55,5,20,0,40,24,0,1
符文铭刻,物品等级,56,5,20,0,10,55,12,1
头部,物品等级,57,5,20,1,20,55,0,1
肩部,物品等级,58,5,20,3,30,55,0,1
胸部,物品等级,59,5,20,5,40,55,0,1
腰部,物品等级,60,5,20,6,50,55,0,1
腿部,物品等级,61,5,20,7,60,55,0,1
脚部,物品等级,62,5,20,8,70,55,0,1
腕部,物品等级,63,5,20,9,80,55,0,1
手部,物品等级,64,5,20,10,90,55,0,1
其它,物品等级,65,5,19,0,50,24,0,1
符文铭刻,物品等级,66,5,19,0,10,65,12,1
颈部,物品等级,67,5,19,2,20,65,0,1
披风,物品等级,68,5,20,16,30,65,0,1
手指,物品等级,69,5,19,11,40,65,0,1
饰品,物品等级,70,5,19,12,50,65,0,1
副手物品,物品等级,71,5,19,23,60,65,0,1
盾牌,物品等级,72,5,25,14,70,65,0,3
衬衣,物品等级,73,5,19,4,80,65,0,1
头部,物品等级,74,5,19,1,90,65,0,1
装饰品,物品等级,75,5,24,0,60,24,0,1
容器,容量,76,2,0,0,300,0,0,2
背包,容量,77,2,2,0,10,76,0,2
矿石袋,容量,78,2,118,0,20,76,0,2
工具箱,容量,79,2,171,0,30,76,0,2
铭文包,容量,80,2,167,0,40,76,0,2
制皮材料包,容量,81,2,149,0,50,76,0,2
草药袋,容量,82,2,109,0,60,76,0,2
附魔材料袋,容量,83,2,110,0,70,76,0,2
工程学材料袋,容量,84,2,111,0,80,76,0,2
宝石袋,容量,85,2,116,0,90,76,0,2
烹饪包,容量,86,2,179,0,100,76,0,2
宝石,物品等级,87,4,0,0,400,0,0,1
神器圣物,物品等级,88,4,187,0,10,87,0,1
智力,物品等级,89,4,36,0,20,87,0,1
敏捷,物品等级,90,4,119,0,30,87,0,1
力量,物品等级,91,4,120,0,40,87,0,1
耐力,物品等级,92,4,121,0,50,87,0,1
爆击,物品等级,93,4,123,0,60,87,0,1
精通,物品等级,94,4,124,0,70,87,0,1
急速,物品等级,95,4,125,0,80,87,0,1
全能,物品等级,96,4,126,0,90,87,0,1
其他,物品等级,97,4,169,0,100,87,0,1
复合属性,物品等级,98,4,170,0,110,87,0,1
物品强化,物品等级,99,9,0,0,500,0,0,1
胸部,物品等级,100,9,191,0,10,99,0,1
手腕,物品等级,101,9,192,0,20,99,0,1
手部,物品等级,102,9,193,0,30,99,0,1
其他,物品等级,103,9,201,0,40,99,0,1
头部,物品等级,104,9,48,0,50,99,0,1
双手武器,物品等级,105,9,199,0,60,99,0,1
盾牌/副手,物品等级,106,9,200,0,70,99,0,1
肩部,物品等级,107,9,189,0,80,99,0,1
披风,物品等级,108,9,190,0,90,99,0,1
武器,物品等级,109,9,198,0,100,99,0,1
手指,物品等级,110,9,197,0,110,99,0,1
脚部,物品等级,111,9,196,0,120,99,0,1
腿部,物品等级,112,9,195,0,130,99,0,1
腰部,物品等级,113,9,194,0,140,99,0,1
消耗品,等级,114,1,0,0,600,0,0,3
凡图斯符文,等级,115,1,184,0,10,114,0,3
合剂和瓶剂,等级,116,1,131,0,20,114,0,3
爆炸物与装置,等级,117,1,43,0,30,114,0,3
药水,等级,118,1,44,0,40,114,0,3
药剂,等级,119,1,45,0,50,114,0,3
食物和饮水,等级,120,1,133,0,60,114,0,3
绷带,等级,121,1,135,0,70,114,0,3
其它,等级,122,1,136,0,80,114,0,3
雕文,,123,17,0,0,700,0,0,0
德鲁伊,,124,17,161,0,10,123,0,0
术士,,125,17,160,0,20,123,0,0
法师,,126,17,159,0,30,123,0,0
萨满祭司,,127,17,158,0,40,123,0,0
牧师,,128,17,157,0,50,123,0,0
潜行者,,129,17,156,0,60,123,0,0
猎人,,130,17,155,0,70,123,0,0
圣骑士,,131,17,154,0,80,123,0,0
死亡骑士,,132,17,162,0,90,123,0,0
武僧,,133,17,177,0,100,123,0,0
战士,,134,17,153,0,110,123,0,0
恶魔猎手,,135,17,183,0,120,123,0,0
杂货,,136,8,0,0,800,0,0,0
布料,,137,8,137,0,10,136,0,0
皮革,,138,8,138,0,20,136,0,0
金属和矿石,,139,8,139,0,30,136,0,0
烹饪,,140,8,140,0,40,136,0,0
草药,,141,8,141,0,50,136,0,0
附魔材料,,142,8,148,0,50,136,0,0
铭文,,143,8,185,0,60,136,0,0
珠宝加工,,144,8,115,0,70,136,0,0
零件,,145,8,38,0,80,136,0,0
元素,,146,8,142,0,90,136,0,0
附加材料,,147,8,327,0,100,136,0,0
其它,,148,8,143,0,110,136,0,0
配方,技能,149,10,0,0,900,0,0,4
铭文,技能,150,10,168,0,10,149,0,4
裁缝,技能,151,10,42,0,20,149,0,4
制皮,技能,152,10,41,0,30,149,0,4
珠宝加工,技能,153,10,106,0,40,149,0,4
炼金术,技能,154,10,102,0,50,149,0,4
锻造,技能,155,10,100,0,60,149,0,4
工程学,技能,156,10,99,0,70,149,0,4
附魔,技能,157,10,104,0,80,149,0,4
烹饪,技能,158,10,101,0,90,149,0,4
急救,技能,159,10,103,0,100,149,0,4
钓鱼,技能,160,10,105,0,110,149,0,4
书籍,技能,161,10,40,0,120,149,0,4
战斗宠物,等级,162,18,0,0,1000,0,0,3
宠物小伙伴,等级,163,16,145,0,1000,162,0,3
任务物品,,164,13,0,0,1100,0,0,0
杂项,,165,16,0,0,1200,0,0,0
垃圾,,166,16,52,0,10,165,0,0
材料,,167,16,144,0,20,165,0,0
节日,,168,16,146,0,30,165,0,0
其它,,169,16,147,0,40,165,0,0
坐骑,,170,16,152,0,50,165,0,0
坐骑装备,,171,16,326,0,60,165,0,0
专业装备,物品等级,172,145,0,0,950,0,0,1
铭文,物品等级,173,145,341,0,10,172,0,1
裁缝,物品等级,174,145,335,0,20,172,0,1
制皮,物品等级,175,145,330,0,30,172,0,1
珠宝加工,物品等级,176,145,340,0,40,172,0,1
炼金,物品等级,177,145,331,0,50,172,0,1
锻造,物品等级,178,145,329,0,60,172,0,1
工程学,物品等级,179,145,336,0,70,172,0,1
附魔,物品等级,180,145,337,0,80,172,0,1
烹饪,物品等级,181,145,333,0,120,172,0,1
钓鱼,物品等级,182,145,338,0,130,172,0,1
工具,物品等级,183,145,341,29,10,173,0,1
配饰,物品等级,184,145,341,30,20,173,0,1
工具,物品等级,185,145,340,29,10,176,0,1
配饰,物品等级,186,145,340,30,20,176,0,1
配饰,物品等级,187,145,335,30,20,174,0,1
工具,物品等级,188,145,335,29,10,174,0,1
工具,物品等级,189,145,330,29,10,175,0,1
配饰,物品等级,190,145,330,30,20,175,0,1
工具,物品等级,191,145,331,29,10,177,0,1
配饰,物品等级,192,145,331,30,20,177,0,1
工具,物品等级,193,145,329,29,10,178,0,1
配饰,物品等级,194,145,329,30,20,178,0,1
工具,物品等级,195,145,336,29,10,179,0,1
配饰,物品等级,196,145,336,30,20,179,0,1
工具,物品等级,197,145,337,29,10,180,0,1
配饰,物品等级,198,145,337,30,20,180,0,1
工具,物品等级,199,145,333,29,10,181,0,1
配饰,物品等级,200,145,333,30,20,181,0,1
工具,物品等级,201,145,338,29,10,182,0,1
配饰,物品等级,202,145,338,30,20,182,0,1
采矿,物品等级,203,145,334,0,90,172,0,1
草药学,物品等级,204,145,332,0,100,172,0,1
剥皮,物品等级,205,145,339,0,110,172,0,1
配饰,物品等级,206,145,334,30,20,203,0,1
工具,物品等级,207,145,334,29,10,203,0,1
配饰,物品等级,208,145,332,30,20,204,0,1
工具,物品等级,209,145,332,29,10,204,0,1
配饰,物品等级,210,145,339,30,20,205,0,1
工具,物品等级,211,145,339,29,10,205,0,1
颈部,物品等级,212,9,188,0,45,99,0,0
材料包,容量,215,2,344,0,15,76,0,2
