ID,DisplayName_lang,Description_lang,Field_9_0_1_33978_001,MatQualityWeight,Field_10_0_0_44649_004
445,10.0 Inscription - Optional Reagent - Jetscale Sigil,巨龙群岛暗月套牌盒图纸。,0,0,0
450,指定充裕,大部分巨龙群岛的制作工具图纸。,0,0,0
451,指定产能,大部分巨龙群岛的制作工具图纸。,0,0,0
452,指定制作速度,大部分巨龙群岛的制作工具图纸。,0,0,0
453,指定精细,大部分巨龙群岛的采集工具图纸。,0,0,0
454,指定感知,大部分巨龙群岛的采集工具图纸。,0,0,0
455,指定熟练,大部分巨龙群岛的采集工具图纸。,0,0,0
459,钢铸之魂,德拉诺锻造武器。,0,0,0
460,真钢之魂,德拉诺锻造护甲。,0,0,0
461,加油锁具袋,德拉诺工程学目镜。,0,0,0
462,真铁扳机,德拉诺工程学枪械。,0,0,0
463,上光精华,德拉诺制皮护甲。,0,0,0
464,妖纹精华,德拉诺裁缝护甲。,0,0,0
465,武器水晶,德拉诺铭文武器。,0,0,0
467,格里伏塔的万能修饰粉,巨龙群岛大部分非美化史诗装备图纸。,0,0,0
468,高阶征服战利品,可制作的史诗品质的物品（头部、胸部或腿部），用暗影烈焰火花制作。,0,0,0
469,征服战利品,可制作的史诗品质的物品（肩部、手部、腰部和脚部），用暗影烈焰火花制作。,0,0,0
470,低阶征服战利品,可制作的史诗品质的物品（颈部、背部、腕部和手指），用暗影烈焰火花制作。,0,0,0
471,高阶荣誉纹章,可制作的史诗品质的物品（头部、胸部或腿部），用暗影烈焰火花制作。,0,0,0
472,荣誉纹章,可制作的史诗品质的物品（肩部、手部、腰部和脚部），用暗影烈焰火花制作。,0,0,0
473,低阶荣誉纹章,可制作的史诗品质的物品（颈部、背部、腕部和手指），用暗影烈焰火花制作。,0,0,0
474,10.0 Professions - Shared - Season 1 Upgrade,,2,0,0
475,10.1 Professions - Shared - Season 2 Upgrade,,2,0,0
476,10.1 Optional Reagent - Season 2 - End Game Upgrade,巨龙群岛史诗装备图纸，用暗影烈焰火花制作。,0,0,0
477,暗影烈焰淬火的护甲补丁,巨龙群岛大部分非美化史诗装备图纸。,0,0,0
478,预判,许多巨龙群岛护甲和配饰图纸。,0,0,0
479,绝非预判,许多巨龙群岛护甲和配饰图纸。,0,0,0
480,焰影合金,,0,33,1
481,备用降落伞,巨龙群岛非美化史诗装备图纸。,0,0,0
483,医疗包工具,巨龙群岛非美化史诗装备图纸。,0,0,0
486,荒布绷带,,0,34,1
487,镶孔,,0,0,3
488,镶孔,,0,0,3
489,镶孔,,0,0,3
490,10.2 Professions - Shared - Season 3 Upgrade,,2,0,0
491,10.2 Optional Reagent - Season 3 - End Game Upgrade,巨龙群岛史诗装备图纸，用梦境火花制作。,0,0,0
492,枯萎活力药水,,0,21,1
493,苍翠导能器,巨龙群岛大部分非美化史诗装备图纸。,0,0,0
494,低阶荣誉纹章,可制作的史诗品质的物品（颈部、背部、腕部和手指），用梦境火花制作。,0,0,0
495,低阶征服战利品,可制作的史诗品质的物品（颈部、背部、腕部和手指），用梦境火花制作。,0,0,0
496,荣誉纹章,可制作的史诗品质的物品（肩部、手部、腰部和脚部），用梦境火花制作。,0,0,0
497,征服战利品,可制作的史诗品质的物品（肩部、手部、腰部和脚部），用梦境火花制作。,0,0,0
498,高阶荣誉纹章,可制作的史诗品质的物品（头部、胸部或腿部），用梦境火花制作。,0,0,0
499,高阶征服战利品,可制作的史诗品质的物品（头部、胸部或腿部），用梦境火花制作。,0,0,0
500,护梦者的咒符,巨龙群岛大部分非美化史诗装备图纸。,0,0,0
505,镶孔,,0,0,3
506,镶孔,,0,0,3
507,苍郁系链,巨龙群岛大部分非美化史诗装备图纸。,0,0,0
529,低阶征服战利品,可制作的史诗品质的物品（颈部、背部、腕部和手指），用梦境火花制作。,0,0,0
530,征服战利品,可制作的史诗品质的物品（肩部、手部、腰部和脚部），用梦境火花制作。,0,0,0
531,高阶征服战利品,可制作的史诗品质的物品（头部、胸部或腿部），用梦境火花制作。,0,0,0
532,低阶荣誉纹章,可制作的史诗品质的物品（颈部、背部、腕部和手指），用梦境火花制作。,0,0,0
533,荣誉纹章,可制作的史诗品质的物品（肩部、手部、腰部和脚部），用梦境火花制作。,0,0,0
534,高阶荣誉纹章,可制作的史诗品质的物品（头部、胸部或腿部），用梦境火花制作。,0,0,0
