Name_lang,ID,Field_9_0_1_33978_001,PlayerConditionID,ReagentType,Field_10_0_2_46091_005
抛光布,234,0,0,2,2
次级卓然洞悉,235,0,0,2,2
钢铸之魂,236,0,0,0,0
真钢之魂,237,0,0,0,0
加油锁具袋,238,0,0,0,0
真铁扳机,239,0,0,0,0
上光精华,240,0,0,0,0
妖纹精华,241,0,0,0,0
武器水晶,242,0,0,0,0
自定义副属性,243,2,0,0,0
提高PvP物品等级,244,0,0,0,1
提高PvP物品等级,245,0,0,0,1
提高PvP物品等级,246,0,0,0,1
火花,247,4,0,0,1
Shadowed Alloy (DNT),248,0,0,1,0
去污沙,249,0,0,2,2
Wildercloth Bandage (DNT),250,0,0,1,0
镶孔,251,0,0,3,3
镶孔,252,0,0,3,3
