Name_lang,ID,SpecSetID,InventoryTypeMask,SpellID,ItemBonusListID,PlayerConditionID,Field_9_0_1_34972_007,UnlockItemID,CovenantID,Field_9_1_0_38549_010
灼焰炙气,86,24,65792,338138,7076,85787,68,183287,0,0
风暴烈酒的珍藏酒桶,87,24,1096,337288,7077,85789,69,183289,0,0
天神灌注,88,24,384,337290,7078,85788,70,183288,0,0
少昊之力,89,24,1050656,337570,7079,85786,71,183286,0,0
禅院古训,90,25,1536,337172,7075,85790,75,183290,0,0
玉珑的低语,91,25,2056,337225,7073,85791,74,183291,0,0
雾云专注,92,25,516,337343,7074,85792,73,183292,0,0
晨晖之露,93,25,66,337473,7072,85793,72,183293,0,0
雪怒珍宝,94,26,1114144,337481,7070,85797,76,183297,0,0
基佛的通天掌,95,26,1030,337334,7068,85795,77,183295,0,0
青玉破,96,26,65664,337483,7071,85794,78,183294,0,0
少昊的容电器,97,26,192,337292,7069,85796,79,183296,0,0
乌瑟尔的虔诚,98,30,36,337600,7053,85800,81,183301,0,0
黄昏与黎明,100,30,14,337746,7055,85798,82,183299,0,0
法官的审判,101,30,2560,337681,7056,85799,83,183300,0,0
玛尔拉德的临终之息,102,27,2080,340458,7128,85802,86,183303,0,0
震击屏障,103,27,384,337825,7059,85804,87,183305,0,0
破影者，日之破晓,104,27,1096,337812,7057,85803,85,183304,0,0
太阳井之花,105,27,65792,337777,7058,85801,84,183302,0,0
神圣复仇者的刻印,106,28,66,337831,7060,85806,89,183307,0,0
炽热防御者圣所,107,28,516,337838,7061,85808,91,183309,0,0
正义之怒壁垒,108,28,2056,337847,7062,85805,88,183306,0,0
无尽列王之御,109,28,548,337850,7063,85807,90,183308,0,0
光明使者的风暴,110,29,192,337257,7067,85812,95,183313,0,0
无情审讯,111,30,65664,337297,7066,85811,94,183312,0,0
先锋之势,112,29,1282,337638,7065,85809,92,183310,0,0
最终审判,113,29,65568,337247,7064,85810,93,183311,0,0
提神影尘,114,165,36,340080,7114,85828,115,183331,0,0
血牙精华,115,165,2058,340079,7113,85136,114,183330,0,0
细齿淬毒之刃,116,165,320,340078,7112,85830,113,183333,0,92622
刺客大师印记,117,165,2560,340076,7111,85829,112,183332,0,0
冲动恶徒,118,34,65792,340081,7115,85831,116,183334,0,0
末日之刃,119,34,66568,340082,7116,85832,117,183335,0,0
佐迪克徽章,120,34,384,340083,7117,85834,118,183337,0,0
暮行者的眼罩,121,34,2080,340084,7118,85833,119,183336,0,0
隐秘短枪,122,35,1536,340088,7122,85836,123,183339,0,0
狂猛迅疾,123,35,2056,340087,7121,85835,122,183338,0,0
狡诈魅力,124,35,516,340086,7120,85838,121,183341,0,0
绿皮船长的柳枝,125,35,66,340085,7119,85837,120,183340,0,0
终结预兆,126,36,65568,340089,7123,85841,124,183344,0,0
阿卡丽的灵魂碎片,127,36,1030,340090,7124,85839,125,183342,0,0
腐化印记,128,36,65664,340091,7125,85842,126,183345,0,0
致命暗影,129,165,192,340092,7126,85840,127,183343,0,0
先祖之忆,130,13,2560,336741,6985,85137,160,183346,0,0
深震之石,131,13,2368,336739,6986,85845,162,183349,0,0
根深蒂固的元素,132,13,522,336738,6987,85844,163,183348,0,92623
毁灭之链,133,13,1048612,336735,6988,85843,161,183347,0,0
碎天者的炽烈灭亡,134,11,1050656,336734,6989,85848,166,183352,0,0
元素均衡,135,11,384,336730,6990,85847,167,183351,0,0
大分裂的回响,136,11,1032,336215,6991,85846,164,183350,0,0
风语者的熔岩崛起,137,11,65792,336063,6992,85849,165,183353,0,0
毁灭之风,138,12,65602,335902,6993,85850,168,183354,0,0
霜巫的传承,139,12,516,335899,6994,85851,171,183355,0,0
巫医的狼骨,140,12,2056,335897,6995,85853,170,183357,0,0
始源熔岩助动器,141,12,1536,335895,6996,85852,169,183356,0,0
约纳特的自然专注,142,4,192,335893,6997,85855,174,183359,0,0
灵魂行者的潮汐图腾,143,4,65664,335891,6998,85857,175,183361,0,0
始源之潮核心,144,4,1026,335889,6999,85856,173,183360,0,0
大地祥和,145,4,1114144,335886,7000,85854,172,183358,0,0
审慎沉思,146,166,1048612,341804,7161,85813,99,183315,0,92621
双子太阳女祭司,147,166,14,336897,7002,85814,98,183316,0,0
烧灼暗影,148,166,320,336370,6975,85135,96,183314,0,0
天堂之跃,149,166,2560,336470,6972,85815,97,183317,0,0
悔罪者,150,31,65792,336011,6976,85819,102,183321,0,0
晶化反射,151,31,1032,336507,6978,85817,103,183319,0,0
死神之吻,152,31,384,336133,6979,85818,101,183320,0,0
坚定意志,153,31,1050656,336067,6980,85816,100,183318,0,0
萨什，大主教本尼迪塔斯的归来,154,32,65664,337477,6984,85823,107,183325,0,0
谐律装置,155,32,2056,336314,6977,85822,106,183324,0,0
快速专注,156,32,516,336266,6974,85821,104,183323,0,0
神圣镜像,157,32,65602,336400,6973,85820,105,183322,0,0
痛灭圣歌,158,33,1114144,336165,6981,85825,110,183327,0,0
暗影烈焰棱镜,159,33,1026,336143,6982,85827,109,183329,0,0
永恒虚空召唤,160,33,1536,336214,6983,85824,111,183326,0,0
塔尔巴达的谋略,161,33,192,342415,7162,85826,108,183328,0,0
威尔弗雷德的超级召唤魔印,162,167,2560,337020,7025,85864,183,183369,0,0
恩德雷思之爪,163,167,320,337038,7026,85861,181,183366,0,92624
恶魔协同印记,164,167,65546,337057,7027,85862,180,183367,0,0
黑暗之门柱石,165,167,1048612,337065,7028,85863,182,183368,0,0
阿兹亚基的永恒痛苦,166,37,1050656,337106,7029,85858,176,183363,0,0
萨洛拉丝的黑暗之击,167,37,384,337111,7030,85859,177,183364,0,0
灾难狂怒,168,37,1032,337122,7031,85138,178,183362,0,0
吞噬之怒,169,37,65792,337128,7032,85860,179,183365,0,0
内爆潜能,170,39,1090,337135,7033,85868,189,183373,0,0
冷酷审讯官的恐惧召唤,171,39,516,337141,7034,85867,186,183372,0,0
恐角梦魇大军,172,39,2056,337146,7035,85866,187,183371,0,0
邪蛛的燃烧核心,173,39,1536,337159,7036,85865,191,183370,0,0
奥德，伊米亚的披巾,174,38,192,337163,7037,85872,188,183377,0,0
阿兹亚基的燃烬,175,38,65664,337166,7038,85869,185,183374,0,0
阿兹亚基的疯狂,176,38,1026,337169,7039,85871,184,183376,0,0
天魔法衣余烬,177,38,1114144,337272,7040,85870,190,183375,0,0
跃行勇士,178,168,320,335214,6955,85139,128,183378,0,0
裂地回响,179,168,266,335758,6971,85874,131,183380,0,0
畸形镜像,180,168,36,335253,6958,85873,130,183379,0,92625
痛苦之王的印章,181,168,2560,335266,6959,85875,129,183381,0,0
持久挥砍,182,40,66,335458,6962,85877,134,183383,0,0
战争领主,183,40,516,335274,6960,85876,135,183382,0,0
穷追猛打,184,40,2056,335451,6961,85878,133,183384,0,0
迷狂乱舞,185,40,3584,335282,6970,85879,132,183385,0,0
弗吉达之韵,186,41,192,335555,6963,85880,136,183386,0,0
致死者,187,41,65664,335567,6964,85881,138,183387,0,0
鲁莽防御,188,41,1090,335582,6965,85882,139,183388,0,0
狂暴意志,189,41,65568,335594,6966,85883,137,183389,0,0
雷霆之王,190,42,1280,335229,6956,85886,143,183392,0,0
磐固壁垒,191,42,65544,335239,6957,85885,142,183391,0,0
不屈意志,192,42,2080,335629,6967,85887,141,183393,0,0
复仇心切,193,42,384,335718,6969,85884,140,183390,0,0
疯狂圣贤,196,30,320,337594,7054,85134,80,183298,0,92620
艾欧娜尔的回响,199,2,2624,338477,7100,85130,192,183242,0,0
仲裁官之裁,200,2,3584,339344,7101,85746,193,183243,0,0
诺甘农的睿智,201,2,65920,339340,7102,85748,194,183245,0,0
塞弗斯的宣言,202,2,1048620,339348,7103,85749,195,183246,0,0
稳定的幻灭心能诱饵,203,2,66052,339351,7104,85750,196,183247,0,0
典狱长的第三只眼,204,2,78,339058,7105,85751,197,183248,0,0
活力献祭,205,2,1050666,338743,7106,85752,198,183249,0,0
噬渊哀鸣,206,2,1408,340197,7159,85747,199,183244,0,0
蔓延转移,210,43,96,353882,7466,91087,1,186565,3,0
最终裁决,211,43,65546,353822,7467,91088,2,186566,1,0
饥肠辘辘,212,43,384,353699,7468,91096,3,186567,2,0
憎恶之狂,213,43,1792,353447,7458,91097,4,186568,4,0
荣耀,214,168,96,353577,7469,91102,5,186570,4,0
罪孽冲动,215,168,14,354131,7470,91112,6,186572,2,0
自然之怒,216,168,67072,354161,7471,91123,8,186576,3,0
虫群风暴,217,48,544,354123,7472,92922,1,186577,4,0
谐律回响,218,162,65602,354186,7473,91139,9,186591,1,0
罪孽恩宠,220,48,1088,354109,7474,91168,2,186609,2,0
死亡深渊,221,162,776,354294,7475,91173,12,186621,4,0
堕落欢愉,222,162,384,354333,7476,91185,13,186635,2,0
志趣亲和,223,48,12,354115,7477,91206,3,186673,1,0
淬毒强攻,224,165,416,354473,7478,91217,16,186676,3,0
天界万灵,226,48,384,354118,7571,91256,4,186687,3,0
碎裂元素,228,13,68,354647,7570,92160,17,186689,4,0
苦打成招,229,165,65538,354703,7572,91284,18,186710,2,0
黯灭之刺,230,165,1536,354731,7573,91293,19,186712,4,0
明澈回响,231,165,72,354837,7577,91356,20,186775,1,0
圣洁共鸣,234,30,96,355098,7679,91124,1,187106,1,0
义缚之槌,235,30,2058,355099,7680,91706,2,187107,4,0
痛楚凝视,236,8,130,355886,7681,91707,21,187105,2,0
炽焰亡魂,237,8,65800,355890,7698,91710,22,187109,3,0
盲者信念,238,8,65568,355893,7699,91711,23,187111,1,0
恶魔誓言,239,8,576,355996,7700,91748,24,187118,4,0
耀光余烬,240,30,67072,355447,7701,91791,3,187127,2,0
四季丰裕,241,30,384,355100,7702,91884,4,187132,3,0
邦桑迪的契约,242,166,1090,356391,7703,92111,1,187161,3,0
暗言术：控,243,166,516,356392,7704,92114,2,187162,2,0
万古酒,244,164,44,356592,7707,92155,24,187217,4,0
狂乱生长之种,246,13,1026,356218,7708,92161,18,187223,3,0
元素导能,247,13,544,356250,7709,92162,19,187224,2,0
受难灵魂碎岩,248,167,1114656,356254,7710,92163,17,187225,1,0
灭魂碎片,249,167,192,356344,7711,92164,18,187226,4,0
灵魂衰败之囊,250,167,1280,356362,7712,92165,19,187227,3,0
遏制永爆,251,167,14,356259,7713,92166,19,187228,2,0
灵魂追踪者之契,252,163,1088,356262,7714,92167,19,187229,1,0
军需品背包,253,163,514,356264,7715,92168,19,187230,4,0
宏角碎片,254,163,36,356375,7716,92169,19,187231,3,0
碎刀片之袋,255,163,384,356618,7717,92171,19,187232,2,0
唤神令,256,164,384,356684,7718,92183,25,187237,1,0
妖魂祥和,257,164,1088,356705,7721,92245,26,187258,3,0
狂暴暮钟旋涡,258,13,384,356789,7722,92250,18,187259,1,0
罪邪古训,259,164,2560,356818,7726,92260,28,187277,2,0
法夜之心,260,162,1049632,356877,7727,92279,30,187280,3,0
天球祥和,261,166,136,356395,7728,92370,3,187163,1,0
苍白指令,262,166,2304,356390,7729,92414,4,187160,4,0
极乐伟力,263,168,384,357996,7730,92634,9,187511,1,0
团结,264,43,69614,364758,8119,95736,9,190584,0,95777
团结,267,8,69614,364824,8120,95790,9,190587,0,95777
团结,268,48,69614,364814,8121,95791,9,190588,0,95777
团结,269,163,69614,364743,8122,95792,9,190589,0,95777
团结,270,162,1118190,364852,8123,95793,9,190590,0,95777
团结,271,164,69614,364857,8124,95794,9,190591,0,95777
团结,272,30,69614,364642,8125,95795,9,190592,0,95777
团结,273,166,1118190,364911,8126,95796,9,190593,0,95777
团结,274,165,69614,364922,8127,95797,9,190594,0,95777
团结,275,13,69614,364738,8128,95798,9,190595,0,95777
团结,276,167,1118190,364939,8129,95799,9,190596,0,95777
团结,277,168,69614,364929,8130,95800,9,190598,0,95777
团结,279,170,69614,387431,8934,101270,9,199552,0,95777
