ID,Directory,MapName_lang,MapDescription0_lang,MapDescription1_lang,PvpShortDescription_lang,PvpLongDescription_lang,Corpse[0],Corpse[1],MapType,InstanceType,ExpansionID,AreaTableID,LoadingScreenID,TimeOfDayOverride,ParentMapID,CosmeticParentMapID,TimeOffset,MinimapIconScale,CorpseMapID,MaxPlayers,WindSettingsID,ZmpFileDataID,WdtFileDataID,NavigationMaxDistance,Flags[0],Flags[1],Flags[2]
409,MoltenCore,熔火之心,,,,,-7510.565,-1036.6981,2,2,0,2717,192,-1,-1,-1,0,1,0,40,0,0,788659,0,1553,134479880,0
429,DireMaul,厄运之槌,,,,,-3908.03,1130,2,1,0,2557,82,-1,-1,-1,0,1,1,5,0,0,780814,0,1537,134479880,128
449,AlliancePVPBarracks,联盟PvP兵营,,,,,0,0,2,0,0,2918,181,-1,-1,-1,0,1,-1,0,0,0,775968,0,1553,134479880,0
450,HordePVPBarracks,部落PvP兵营,,,,,0,0,2,0,0,2917,182,-1,-1,-1,0,1,-1,0,0,0,782776,0,1553,134479880,0
469,BlackwingLair,黑翼之巢,,,,,-7663.4126,-1218.6665,1,2,0,2677,141,-1,-1,-1,0,1,0,40,0,0,780178,0,1553,134479880,0
489,PVPZone03,战歌峡谷（经典版）,"在位于灰谷森林和贫瘠之地交界处的战歌峡谷中，联盟和部落之间的战争一直在激烈地进行着。

作为一个10v10的夺旗战场，首先夺得三面旗帜的阵营将取得胜利。

为了帮助自己的盟友取得胜利，艾泽拉斯所有种族的勇士们正不断冲入这座峡谷，用自己的剑和魔法与敌人展开厮杀。","在位于灰谷森林和贫瘠之地交界处的战歌峡谷中，联盟和部落之间的战争一直在激烈地进行着。

作为一个10v10的夺旗战场，首先夺得三面旗帜的阵营将取得胜利。

为了帮助自己的盟友取得胜利，艾泽拉斯所有种族的勇士们正不断冲入这座峡谷，用自己的剑和魔法与敌人展开厮杀。",夺取敌方旗帜,"- 保卫你方旗帜
- 夺取敌方旗帜
- 平局时最后一次夺取旗帜的队伍获胜",0,0,1,3,0,3277,122,-1,-1,-1,0,1,-1,0,0,0,790291,0,1553,135004160,0
509,AhnQiraj,安其拉废墟,,,,,-8114.4644,1526.3657,1,2,0,3429,184,-1,-1,-1,0,1,1,20,0,0,775637,0,1553,134479880,0
529,PVPZone04,阿拉希盆地（经典版）,"阿拉希盆地是人类和被遗忘者在艾泽拉斯的主战场之一。

阿拉希盆地是一个15v15的控制战场，参战双方的目标是尽可能长时间地控制这里的兽栏、铁匠铺、矿洞、伐木场和农场。

污染者的精锐部队的目标是切断人类和他们南方的矮人同盟之间的联络。

与此同时，阿拉索联军则想要为暴风城的支持者夺回更多的失地。","阿拉希盆地是人类和被遗忘者在艾泽拉斯的主战场之一。

阿拉希盆地是一个15v15的控制战场，参战双方的目标是尽可能长时间地控制这里的兽栏、铁匠铺、矿洞、伐木场和农场。

阿拉索联军的目标是想要为暴风城的支持者夺回更多的失地。

与此同时，污染者的精锐部队的目标是切断人类和他们南方的矮人同盟之间的联络。",占领目标,"- 占领并守卫目标
- 获得1500份资源",0,0,1,3,0,3358,183,-1,-1,-1,0,1.25,-1,0,0,0,790377,0,1553,135004160,0
530,Expansion01,外域,,,,,0,0,1,0,1,0,198,-1,-1,-1,0,1,-1,0,0,804943,828395,0,1553,134479880,128
531,AhnQirajTemple,安其拉神殿,,,,,-8111.724,1526.7858,1,2,0,3428,185,-1,-1,-1,0,1,1,40,0,0,775840,0,1553,134479880,0
532,Karazahn,卡拉赞,,,,,-11110.407,-2004.0653,1,2,1,3457,200,-1,-1,-1,0,1,0,10,0,0,834192,0,1553,134479880,0
533,Stratholme Raid,纳克萨玛斯,,,,,0,0,1,2,2,3456,197,-1,-1,-1,0,1,-1,25,0,0,827115,0,34321,134479880,0
534,HyjalPast,海加尔山之战,,,,,-8178.508,-4182.0503,1,2,1,616,212,-1,-1,-1,0,1,1,25,0,0,831824,0,1553,134479880,0
540,HellfireMilitary,地狱火堡垒：破碎大厅,,,,,-306.75818,3064.4355,2,1,1,3714,199,-1,-1,-1,0,1,530,5,0,0,831277,0,1553,134479880,0
542,HellfireDemon,地狱火堡垒：鲜血熔炉,,,,,-295.41934,3151.9927,2,1,1,3713,199,-1,-1,-1,0,1,530,5,0,0,830642,0,1553,134479880,0
543,HellfireRampart,地狱火堡垒：城墙,,,,,-360.04987,3067.8955,1,1,1,3562,199,-1,-1,-1,0,1,530,5,0,0,832154,0,67089,134479880,0
544,HellfireRaid,玛瑟里顿的巢穴,,,,,-330.23386,3106.636,2,2,1,3836,208,-1,-1,-1,0,1,530,25,0,0,833183,0,1553,134479880,0
545,CoilfangPumping,盘牙湖泊：蒸汽地窟,,,,,764.21906,6915.0796,2,1,1,3715,207,-1,-1,-1,0,1,530,5,0,0,828422,0,1553,134479880,0
546,CoilfangMarsh,盘牙湖泊：幽暗沼泽,,,,,764.62823,6768.0728,2,1,1,3716,207,-1,-1,-1,0,1,530,5,0,0,831262,0,1553,134479880,0
547,CoilfangDraenei,盘牙湖泊：奴隶围栏,,,,,742.1582,7011.3267,2,1,1,3717,207,-1,-1,-1,0,1,530,5,0,0,830731,0,1553,134479880,0
548,CoilfangRaid,盘牙湖泊：毒蛇神殿,,,,,775.7864,6865.2427,2,2,1,3607,207,-1,-1,-1,0,1,530,25,0,0,829900,0,1553,134479880,0
550,TempestKeepRaid,风暴要塞,,,,,0,0,2,2,1,3845,206,-1,-1,-1,0,1,-1,25,0,0,832484,0,1553,134479880,0
552,TempestKeepArcane,风暴要塞：禁魔监狱,,,,,0,0,2,1,1,3848,206,-1,-1,-1,0,1,-1,5,0,0,832070,0,1553,134479880,0
553,TempestKeepAtrium,风暴要塞：生态船,,,,,0,0,2,1,1,3847,206,-1,-1,-1,0,1,-1,5,0,0,833950,0,1553,134479880,0
554,TempestKeepFactory,风暴要塞：能源舰,,,,,0,0,2,1,1,3849,206,-1,-1,-1,0,1,-1,5,0,0,831974,0,1553,134479880,0
555,AuchindounShadow,奥金顿：暗影迷宫,,,,,-3640.6877,4943.1626,2,1,1,3789,201,-1,-1,-1,0,1,530,5,0,0,828331,0,1553,134479880,0
556,AuchindounDemon,奥金顿：塞泰克大厅,,,,,-3361.8625,4665.5923,2,1,1,3791,201,-1,-1,-1,0,1,530,5,0,0,828811,0,1553,134479880,0
557,AuchindounEthereal,奥金顿：法力墓穴,,,,,-3089.5164,4942.7563,2,1,1,3792,201,-1,-1,-1,0,1,530,5,0,0,830899,0,1553,134479880,0
558,AuchindounDraenei,奥金顿：奥金尼地穴,,,,,-3363.44,5156.455,2,1,1,3790,201,-1,-1,-1,0,1,530,5,0,0,830415,0,1553,134479880,0
559,PVPZone05,纳格兰竞技场（旧）,,,,,0,0,1,4,0,0,219,-1,-1,-1,0,1,-1,0,0,0,790469,0,1553,135004168,0
560,HillsbradPast,逃离敦霍尔德,,,,,-8309.81,-4061.5088,1,1,1,267,212,-1,-1,-1,0,1,1,5,0,0,833998,0,9745,134479880,0
562,bladesedgearena,刀锋山竞技场,,,,,0,0,1,4,0,3702,218,-1,-1,-1,0,1,-1,0,0,0,780261,0,1553,135004168,0
564,BlackTemple,黑暗神殿,,,,,-3644.53,317.294,1,2,1,0,215,-1,-1,-1,0,1,530,25,0,0,829630,0,1553,134479880,0
565,GruulsLair,格鲁尔的巢穴,,,,,3525.453,5144.151,2,2,1,3923,213,-1,-1,-1,0,1,530,25,0,0,833180,0,1553,134479880,0
566,NetherstormBG,风暴之眼,"这座被称作“风暴之眼”的小岛悬浮在破碎的虚空风暴地区上空。

风暴之眼是一个15v15的控制战场，参战双方的目标是尽可能长时间地控制这里的法师塔、魔能机甲废墟、血精灵塔和德莱尼废墟。

血精灵垂涎着岛上的丰富能源。

德莱尼也因为它和纳鲁的神秘飞船，风暴要塞的密切关系而想要夺取它。","这座被称作“风暴之眼”的小岛悬浮在破碎的虚空风暴地区上空。

风暴之眼是一个15v15的控制战场，参战双方的目标是尽可能长时间地控制这里的法师塔、魔能机甲废墟、血精灵塔和德莱尼废墟。

德莱尼因为它和纳鲁的神秘飞船，风暴要塞的密切关系而想要夺取它。

血精灵也垂涎着岛上的丰富能源。",占领目标,"- 占领并守卫目标
- 占领中央旗帜
- 获得1500份资源",0,0,1,3,0,0,210,-1,-1,-1,0,1,-1,0,0,0,788893,0,1553,135004168,0
568,ZulAman,祖阿曼,,,,,6851.021,-7989.7134,1,1,3,0,276,-1,-1,-1,0,1,530,10,0,0,815727,0,1553,134479880,0
571,Northrend,诺森德,,,,,0,0,1,0,2,0,216,-1,-1,-1,0,1,-1,0,0,804939,822688,0,9757,134479896,128
572,PVPLordaeron,洛丹伦废墟,,,,,0,0,1,4,0,0,217,-1,-1,-1,0,1,-1,0,0,0,789984,0,1553,135004168,0
574,Valgarde70,乌特加德城堡,,,,,1211.7594,-4868.422,1,1,2,0,220,-1,-1,-1,0,1,571,5,0,0,825743,0,9757,134479880,0
575,UtgardePinnacle,乌特加德之巅,,,,,1232.4098,-4860.9536,1,1,2,0,221,-1,-1,-1,0,1,571,5,0,0,827661,0,67101,134479880,0
576,Nexus70,魔枢,,,,,3899.9258,6985.4355,2,1,2,4265,226,-1,-1,-1,0,1,571,5,0,0,821331,0,1553,134479880,0
578,Nexus80,魔环,,,,,3865.923,6983.94,1,1,2,0,227,-1,-1,-1,0,1,571,5,0,0,819814,0,1565,134479880,0
580,SunwellPlateau,太阳之井,,,,,12551.763,-6774.5654,1,2,1,0,225,-1,-1,-1,0,1,530,25,0,0,832953,0,1553,134479880,0
582,Transport176244,运输 - 鲁瑟兰到奥伯丁,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
584,Transport176231,运输 - 米奈希尔到塞拉摩,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
585,Sunwell5ManFix,魔导师平台,,,,,12881.902,-7343.0947,1,1,1,0,224,-1,-1,-1,0,1,530,5,0,0,834223,0,67101,134479880,0
586,Transport181645,运输 - 埃索达到奥伯丁,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
587,Transport177233,运输 - 羽月渡口,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
588,Transport176310,运输 - 米奈希尔到奥伯丁,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
589,Transport175080,运输 - 奥格瑞玛到格罗姆高,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
590,Transport176495,运输 - 格罗姆高到幽暗城,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
591,Transport164871,运输 - 幽暗城到奥格瑞玛,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
592,Transport186238,Transport: Borean Tundra Test,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
593,Transport20808,运输 - 藏宝海湾到棘齿城,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
594,Transport187038,Transport: Howling Fjord Sister Mercy (Quest),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
595,StratholmeCOT,净化斯坦索姆,,,,,-8756.087,-4457.418,1,1,2,0,222,-1,-1,-1,0,1,1,5,0,0,826005,0,1553,134479880,0
596,Transport187263,Transport: Naglfar,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
599,Ulduar70,岩石大厅,,,,,8921.793,-966.80646,1,1,2,0,230,-1,-1,-1,0,1,571,5,0,0,824642,0,1565,134479880,0
600,DrakTheronKeep,达克萨隆要塞,,,,,4774.583,-2023.0491,1,1,2,0,228,-1,-1,-1,0,1,571,5,0,0,820968,0,1565,134479880,0
601,Azjol_Uppercity,艾卓-尼鲁布,,,,,3672.2153,2171.2751,1,1,2,0,229,-1,-1,-1,0,1,571,5,0,0,818693,0,1565,134479880,0
602,Ulduar80,闪电大厅,,,,,9185.088,-1386.7906,1,1,2,0,231,-1,-1,-1,0,1,571,5,0,0,824768,0,1565,134479880,0
603,UlduarRaid,奥杜尔,,,,,9359.371,-1115.1754,1,2,2,0,244,0,-1,-1,0,1,571,5,0,0,825015,0,1565,134479880,0
604,GunDrak,古达克,,,,,6708.731,-4654.904,1,1,2,0,237,-1,-1,-1,0,1,571,5,0,0,818626,0,1565,134479880,0
607,NorthrendBG,远古海滩,"在龙骨荒野的南面有一处保存着古代泰坦神器的圣殿，联盟和部落都想要夺取这件神器，以获得有关泰坦的重要情报。

远古海滩是一个15人对15人战场，交战双方将轮流进攻和防守岛屿南端的泰坦宝物。

做好战斗的准备吧，在这片远古海滩的战斗中，命运并非决定性的因素。","在龙骨荒野的南面有一处保存着古代泰坦神器的圣殿，联盟和部落都想要夺取这件神器，以获得有关泰坦的重要情报。

远古海滩是一个15人对15人战场，交战双方将轮流进攻和防守岛屿南端的泰坦宝物。

做好战斗的准备吧，在这片远古海滩的战斗中，命运并非决定性的因素。",夺取泰坦遗物,"- 进攻方：摧毁大门和圣物
- 守卫方：保卫大门和圣物
- 夺取圣物最快的队伍获胜",0,0,1,3,0,0,238,-1,-1,-1,0,1,-1,0,0,0,789579,0,1565,135004168,0
608,DalaranPrison,紫罗兰监狱,,,,,5689.4897,498.04694,1,1,2,0,235,-1,-1,-1,0,1,571,5,0,0,818205,0,1565,134479880,0
609,DeathKnightStart,黑锋要塞,,,,,0,0,1,0,2,0,233,-1,-1,-1,0,1,-1,0,0,0,818210,0,67101,134479880,0
610,Transport_Tirisfal _Vengeance_Landing,Transport: Tirisfal to Vengeance Landing,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
612,Transport_Menethil_Valgarde,Transport: Menethil to Valgarde,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
613,Transport_Orgrimmar_Warsong_Hold,Transport: Orgrimmar to Warsong Hold,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
614,Transport_Stormwind_Valiance_Keep,Transport: Stormwind to Valiance Keep,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
615,ChamberOfAspectsBlack,黑曜石圣殿,,,,,3438.1533,260.4013,1,2,2,0,239,-1,-1,-1,0,1,571,0,0,0,820448,0,34333,134479880,0
616,NexusRaid,永恒之眼,,,,,3869.9814,6984.33,1,2,2,0,236,-1,-1,-1,0,1,571,5,0,0,822560,0,34333,134479880,0
617,DalaranArena,达拉然下水道,,,,,0,0,1,4,0,0,242,0,-1,-1,0,1,-1,0,0,0,780309,0,1565,135004168,0
618,OrgrimmarArena,勇气竞技场,,,,,0,0,1,4,0,0,240,720,-1,-1,0,1,-1,0,0,0,789925,0,4195869,135004168,0
619,Azjol_LowerCity,安卡赫特：古代王国,,,,,3641.458,2032.0638,1,1,2,0,234,-1,-1,-1,0,1,571,0,0,0,818056,0,1565,134479880,0
620,Transport_Moa'ki_Unu'pe,Transport: Moa'ki to Unu'pe,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
621,Transport_Moa'ki_Kamagua,Transport: Moa'ki to Kamagua,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
622,Transport192241,Transport: Orgrim's Hammer,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
623,Transport192242,Transport: The Skybreaker,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
624,WintergraspRaid,阿尔卡冯的宝库,,,,,5488.1245,2840.3337,1,2,2,0,243,-1,-1,-1,0,1,571,0,0,0,826589,0,34365,-2013003768,0
627,unused,Unused (DELETE ME),,,,,0,0,1,5,6,0,25,-1,-1,-1,0,1,-1,0,0,0,856557,0,15957,134479872,0
628,IsleofConquest,征服之岛,"征服之岛是联盟与部落在诺森德的必争之地。两大阵营都势必要夺取这座岛屿的控制权。

这是一处大型战场，参战双方都要竭尽全力攻占攻城武器工厂、码头或飞艇基地，以打通进入敌方要塞的道路，最终击败敌方将军（哈尔弗·维姆班恩或者阿格玛大王）。","征服之岛是联盟与部落在诺森德的必争之地。两大阵营都势必要夺取这座岛屿的控制权。

这是一处大型战场，参战双方都要竭尽全力攻占攻城武器工厂、码头或飞艇基地，以打通进入敌方要塞的道路，最终击败敌方将军（哈尔弗·维姆班恩或者阿格玛大王）。",击杀敌方首领,"- 占领车辆刷新点
- 围攻敌方堡垒
- 击杀敌方首领",0,0,1,3,2,0,245,-1,-1,-1,0,1,-1,0,0,0,821811,0,1565,135004168,0
631,IcecrownCitadel,冰冠堡垒,,,,,5776.922,2065.9324,1,2,2,0,250,-1,-1,-1,0,1,571,0,0,0,820428,0,34333,-2013003768,0
632,IcecrownCitadel5Man,灵魂洪炉,,,,,5670.7915,2003.6285,1,1,2,0,249,-1,-1,-1,0,1,571,0,0,0,818965,0,1565,134479880,0
637,AbyssalMaw,深渊之喉外部,,,,,0,0,1,1,3,0,23,-1,-1,-1,0,1,-1,0,0,0,814762,0,1565,134479880,0
638,Gilneas,吉尔尼斯,,,,,0,0,1,0,0,0,4,-1,654,-1,0,1,-1,0,0,0,782283,0,1629,134479884,0
641,Transport_AllianceAirshipBG,Transport: Alliance Airship BG,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
642,Transport_HordeAirshipBG,Transport: HordeAirshipBG,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
643,AbyssalMaw_Interior,潮汐王座,,,,,-5585.8716,5401.6494,1,1,3,0,255,-1,-1,-1,0,1,0,0,0,0,814875,0,17949,134479880,0
644,Uldum,起源大厅,,,,,-10225.995,-1837.4791,1,1,3,0,256,1080,-1,-1,0,1,1,0,0,0,817800,0,1565,134479880,0
645,BlackRockSpire_4_0,黑石岩窟,,,,,-7570.2446,-1330.6841,1,1,3,0,267,-1,-1,-1,0,1,0,0,0,0,813034,0,1565,134479880,0
646,Deephome,深岩之洲,,,,,0,0,1,0,3,0,268,-1,-1,-1,0,1,-1,0,0,0,816934,0,1629,134488072,0
647,Transport_Orgrimmar_to_Thunderbluff,运输 - 奥格瑞玛到雷霆崖,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
648,LostIsles,失落群岛,,,,,0,0,1,0,0,0,3,-1,-1,-1,0,1,-1,0,0,0,787837,0,271965,134479884,0
649,ArgentTournamentRaid,十字军的试炼,,,,,8515.286,736.13715,1,2,2,0,246,-1,-1,-1,0,1,571,0,0,0,818173,0,34333,-2013003768,0
650,ArgentTournamentDungeon,冠军的试炼,,,,,8571.435,792.2205,1,1,2,0,247,-1,-1,-1,0,1,571,0,0,0,817987,0,1565,-2013003768,0
654,Gilneas2,吉尔尼斯2,,,,,0,0,1,0,0,0,4,-1,-1,-1,0,1,-1,0,0,0,782341,0,263709,134479884,0
655,GilneasPhase1,吉尔尼斯位面1,,,,,0,0,1,0,0,0,0,-1,654,-1,0,1,-1,0,0,0,782644,0,1629,134479884,0
656,GilneasPhase2,吉尔尼斯位面2,,,,,0,0,1,0,0,0,0,-1,654,-1,0,1,-1,0,0,0,782667,0,1629,134479884,0
657,SkywallDungeon,旋云之巅,,,,,-11522.493,-2317.934,1,1,3,0,259,1230,-1,-1,0,1,1,0,0,0,817086,0,1565,134479880,0
658,QuarryofTears,萨隆矿坑,,,,,5592.057,2010.2709,1,1,2,0,252,-1,-1,-1,0,1,571,0,0,0,827056,0,1565,134479880,0
659,LostIslesPhase1,失落群岛火山爆发,,,,,0,0,1,0,0,0,3,-1,648,-1,0,1,-1,0,0,0,788585,0,1565,134479884,0
661,LostIslesPhase2,失落群岛胶囊镇,,,,,0,0,1,0,0,0,0,-1,648,-1,0,1,-1,0,0,0,788648,0,1565,134479884,0
662,Transport197195,运输工具：联盟瓦丝琪尔船只,,,,,0,0,3,0,3,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
668,HallsOfReflection,映像大厅,,,,,5628.875,1973.2865,1,1,2,0,253,-1,-1,-1,0,1,571,0,0,0,818690,0,1565,134479880,0
669,BlackwingDescent,黑翼血环,,,,,-7541.7676,-1188.8317,1,2,3,0,260,-1,-1,-1,0,1,0,0,0,0,813052,0,34333,134479880,0
670,GrimBatolDungeon,格瑞姆巴托,,,,,-4047.74,-3446.35,1,1,3,0,257,-1,-1,-1,0,1,0,0,0,0,815686,0,1565,134479880,0
671,GrimBatolRaid,暮光堡垒,,,,,-4903.0103,-4221.21,1,2,3,0,266,-1,-1,-1,0,1,0,0,0,0,814552,0,34333,134479880,0
672,Transport197347,Transport: The Skybreaker (Icecrown Citadel Raid),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
673,Transport197348,Transport: Orgrim's Hammer (Icecrown Citadel Raid),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
674,Transport197349-2,运输工具：开往瓦丝琪尔的船只,,,,,0,0,3,0,3,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
712,Transport197349,Transport: The Skybreaker (IC Dungeon),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
713,Transport197350,Transport: Orgrim's Hammer (IC Dungeon),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
718,Transport201834,Transport: The Mighty Wind (Icecrown Citadel Raid),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1537,134479880,0
719,MountHyjalPhase1,海加尔山位面1,,,,,0,0,1,0,0,0,3,-1,1,-1,0,1,-1,0,0,0,788845,0,8521309,134479896,128
720,Firelands1,火焰之地,,,,,3987.2,-2943.32,1,2,3,0,275,720,-1,-1,0,1,1,0,0,0,816444,0,2098717,134479896,0
