Name_lang,ID,Parent,Ui_order
货币,15280,15234,7
世界,15283,95,18
争霸艾泽拉斯,15284,96,9
争霸艾泽拉斯地下城,15285,168,13
争霸艾泽拉斯团队,15286,168,14
涌泉海滩,15292,95,13
争霸艾泽拉斯,15298,97,9
争霸艾泽拉斯地下城,15299,15079,13
争霸艾泽拉斯团队,15300,15079,14
特色更新,15301,-1,12
潘达利亚场景战役,15302,15301,3
德拉诺要塞,15303,15301,5
军团再临职业大厅,15304,15301,6
争霸艾泽拉斯,15305,201,8
海岛探险,15307,15301,7
军事行动,15308,15301,8
争霸艾泽拉斯,15409,14807,8
特色更新,15411,15234,9
阿什兰,15414,95,6
世界事件,15416,15234,8
艾泽拉斯之心,15417,15301,9
暗影国度,15422,96,10
恩佐斯的幻象,15426,15301,10
暗影国度地下城,15428,168,15
暗影国度地下城,15429,15079,15
暗影国度,15430,14807,9
暗影国度,15436,97,10
暗影国度团队,15438,168,16
暗影国度,15439,201,9
托加斯特,15440,15301,11
盟约圣所,15441,15301,12
暗影国度团队,15442,15079,16
角色,15446,15234,1
任务,15447,15234,2
时空漫游,15454,155,11
巨龙时代,15455,96,11
驭空术,15462,15301,13
巨龙群岛,15465,97,11
巨龙时代,15466,201,10
巨龙时代地下城,15467,168,17
巨龙时代团队,15468,168,18
巨龙时代,15469,14807,10
巨龙时代地下城,15470,15079,17
巨龙时代团队,15471,15079,18
巨龙群岛幼龙外观,15478,15246,4
炼金,15489,169,1
锻造,15490,169,2
附魔,15491,169,3
工程学,15492,169,4
铭文,15493,169,5
珠宝加工,15494,169,6
制皮,15495,169,7
裁缝,15496,169,8
采矿,15497,169,10
剥皮,15498,169,11
草药学,15499,169,9
地心之战,15506,96,12
地心之战,15520,14807,11
地心之战,15521,97,12
地下堡,15522,-1,4
地心之战,15523,15522,1
地心之战地下城,15524,168,19
御渊溪谷,15525,95,15
地心之战团队,15526,168,20
地心之战地下城,15528,15079,19
地心之战团队,15529,15079,20
地心之战,15530,201,11
地下堡,15531,81,2
周年庆典,15532,155,12
地下堡,15533,1,8
地心之战,15534,15533,1
幻境新生：潘达利亚,15536,15234,10
