ID,Value_lang,ReqID,ParentWidgetID
1514,找到瘟疫谷物箱 = %3480w/5,2,539
1515,找到瘟疫谷物箱的数量。,3,539
1516,,4,539
1517,天灾波次 = %3504w/10,2,541
1518,天灾部队入侵的波次。,3,541
1519,,4,541
1520,载具：%3490w/%3491w,2,542
1521,部落状态,3,542
1522,,4,542
1523,载具：%3680w/%3681w,2,543
1524,联盟状态,3,543
1525,,4,543
1526,离心构造体：剩余%3486w台,2,544
1527,,3,544
1528,,4,544
1529,进攻方,2,546
1530,联盟状态,3,546
1531,,4,546
1532,防御方,2,547
1533,部落状态,3,547
1534,,4,547
1535,回合结束：%3557k,2,548
1536,本回合结束的时间,3,548
1537,,4,548
1538,防御方,2,549
1539,联盟状态,3,549
1540,,4,549
1541,进攻方,2,550
1542,部落状态,3,550
1543,,4,550
1544,奖励时间：%3557k,2,551
1545,获取奖励分数的时间,3,551
1546,,4,551
1547,回合结束：%3557k,2,552
1548,本回合结束的时间,3,552
1549,,4,552
1550,圣光的部队剩余兵力：%3590w,2,553
1551,圣光的部队所剩余的兵力！,3,553
1552,,4,553
1553,天灾的部队剩余兵力：%3591w,2,554
1554,天灾的部队所剩余的兵力！,3,554
1555,,4,554
1556,圣光之愿礼拜堂的战斗将在%3604w分钟后开始！,2,555
1557,圣光之愿礼拜堂的战斗开始的倒计时！,3,555
1558,,4,555
1559,圣光之愿礼拜堂的战斗开始了！,2,556
1560,,3,556
1561,,4,556
1562,金队剩余人数：%3601w,2,557
1563,,3,557
1564,,4,557
1565,紫队剩余人数：%3600w,2,558
1566,,3,558
1567,,4,558
1568,金队剩余人数：%3601w,2,559
1569,,3,559
1570,,4,559
1571,紫队剩余人数：%3600w,2,560
1572,,3,560
1573,,4,560
1574,剩余时间：%3781k,2,561
1575,时间耗尽后游戏结束,3,561
1576,,4,561
1577,联盟控制,2,562
1578,,3,562
1579,,4,562
1580,部落控制,2,563
1581,,3,563
1582,,4,563
1583,下一场战斗：%4354k,2,564
1584,冬拥湖的战斗重新开始的时间倒计时,3,564
1585,,4,564
1586,监狱封印完整度：%3815w%,2,565
1587,,3,565
1588,,4,565
1589,已打开传送门：%3810w/18,2,566
1590,,3,566
1591,,4,566
1592,幽暗城之战开始了！,2,567
1593,幽暗城之战开始了！,3,567
1594,,4,567
1595,幽暗城之战将在%3877w分钟后开始！,2,568
1596,距离幽暗城之战开始的时间！,3,568
1597,,4,568
1598,敌人控制了幽暗城！,2,569
1599,瓦里玛萨斯和大药剂师普特雷斯控制了幽暗城！,3,569
1600,,4,569
1601,部落正在攻打庭院！,2,570
1602,协助部落的军队攻占幽暗城庭院！,3,570
1603,,4,570
1604,部落控制了庭院！,2,571
1605,该区域已被占领。,3,571
1606,,4,571
1607,部落正在攻打内城区！,2,572
1608,协助部落的军队攻占贸易区和运河！,3,572
1609,,4,572
1610,部落控制了内城区！,2,573
1611,该区域已被占领。,3,573
1612,,4,573
1613,部落正在攻打炼金房！,2,574
1614,协助部落的军队攻占炼金房！,3,574
1615,,4,574
1616,部落控制了炼金房！,2,575
1617,该区域已被占领。,3,575
1618,,4,575
1619,部落正在攻打皇家区！,2,576
1620,协助部落的军队攻占皇家区！,3,576
1621,,4,576
1622,部落控制了皇家区！瓦里玛萨斯被击败了！,2,577
1623,部落夺回了幽暗城的控制权！,3,577
1624,,4,577
1625,这个事件将在%3893w分钟后重置。,2,578
1626,,3,578
1627,,4,578
1628,剩余时间 = %3931w分钟。,2,579
1629,距离时光守护者被腐蚀的倒计时。,3,579
1630,,4,579
1631,敌人控制了幽暗城！,2,580
1632,瓦里玛萨斯和大药剂师普特雷斯控制了幽暗城！,3,580
1633,,4,580
1634,联盟正在攻打下水道！,2,581
1635,协助联盟的军队攻占幽暗城下水道！,3,581
1636,,4,581
1637,联盟控制了下水道！,2,582
1638,该区域已被占领。,3,582
1639,,4,582
1640,突袭将在%3957w分钟后开始！,2,583
1641,距离突袭大药剂师普特雷斯之战即将开始的时间！,3,583
1642,,4,583
1643,突袭开始了！,2,584
1644,突袭开始了！,3,584
1645,,4,584
1646,联盟正在攻打炼金房！,2,585
1647,协助联盟的军队攻占炼金房！,3,585
1648,,4,585
1649,联盟控制了炼金房！,2,586
1650,该区域已被占领。大药剂师普特雷斯被击败了！,3,586
1651,,4,586
1652,奥尔加隆发送危险信号的倒计时 = %4131w分钟。,2,587
1653,发送信号的倒计时。,3,587
1654,,4,587
1655,援军：%4226w,2,588
1656,联盟援军,3,588
1657,,4,588
1658,援军：%4227w,2,589
1659,部落援军,3,589
1660,,4,589
1661,回合结束：%3557k,2,590
1662,本回合结束的时间,3,590
1663,本回合结束的时间,4,590
1664,剩余失败尝试次数：%4389w,2,591
1665,,3,591
1666,,4,591
1667,灵魂波次 = %4882w/10,2,592
1668,灵魂袭来的波次。,3,592
1669,,4,592
1670,处决倒计时：%4904w分钟,2,593
1671,距离米查尔屈服的时间。,3,593
1672,,4,593
1673,撤退前的英雄模式失败尝试次数：%4941w/%4942w,2,594
1674,,3,594
1675,,4,594
1676,撤退前的英雄模式失败尝试次数：%4941w/%4942w,2,595
1677,,3,595
1678,,4,595
1679,撤退前的英雄模式失败尝试次数：%4941w/%4942w,2,596
1680,,3,596
1681,,4,596
1682,撤退前的英雄模式失败尝试次数：%4941w/%4942w,2,597
1683,,3,597
1684,,4,597
1685,撤退前的英雄模式失败尝试次数：%4941w/%4942w,2,598
1686,,3,598
1687,,4,598
1688,已杀死纳迦攻击者：%5028w/50,2,599
1689,杀死的纳迦攻击者数量。,3,599
1690,,4,599
1691,诺莫瑞根行动正在进行中。,2,600
1692,诺莫瑞根行动正在进行中。,3,600
1693,,4,600
1694,已摧毁的火箭发射器 = %5027w/4,2,601
1695,,3,601
1696,,4,601
1697,协助诺莫瑞根的军队攻占工程设施。,2,602
1698,协助诺莫瑞根的军队攻占工程设施。,3,602
1699,,4,602
1700,飞机场正在遭受攻击。,2,603
1701,协助诺莫瑞根的军队攻占飞机场！,3,603
1702,,4,603
1703,侏儒控制了飞机场！,2,604
1704,侏儒控制了飞机场！,3,604
1705,,4,604
1706,已摧毁反坦克大炮 = %5006w/6,2,605
1707,协助诺莫瑞根的军队攻占工程设施。,3,605
1708,,4,605
1709,侏儒控制了飞机场和指挥站。,2,606
1710,侏儒已占领了飞机场和地上指挥站。,3,606
1711,,4,606
1712,军队正在攻打诺莫瑞根入口。,2,607
1713,协助诺莫瑞根的军队攻占诺莫瑞根入口。,3,607
1714,,4,607
1715,侏儒控制了诺莫瑞根的地上部分。,2,608
1716,诺莫瑞根入口、指挥站和飞机场都已被占领。,3,608
1717,,4,608
1718,军队正在攻打诺莫瑞根隧道。,2,609
1719,协助攻击部队攻占诺莫瑞根隧道。,3,609
1720,,4,609
1721,诺莫瑞根隧道已被占领。,2,610
1722,诺莫瑞根隧道已被占领。,3,610
1723,,4,610
1724,诺莫瑞根行动将在%5037w分钟后开始！,2,611
1725,诺莫瑞根行动将于此时开始,3,611
1726,,4,611
1727,海里昂的肉身：%5050w%,2,612
1728,海里昂在这个空间的肉身。,3,612
1729,,4,612
1730,海里昂的肉身：%5049w%,2,613
1731,海里昂在这个空间的肉身。,3,613
1732,,4,613
1733,暗矛巨魔已做好重夺回音群岛的准备。,2,614
1734,暗矛巨魔已做好重夺回音群岛的准备。,3,614
1735,,4,614
1736,重夺回音群岛的战斗将在%5071w分钟后开始！,2,615
1737,重夺回音群岛的战斗将于此时开始,3,615
1738,,4,615
1739,请求邦桑迪的帮助,2,616
1740,协助巨魔说服邦桑迪来帮助他们,3,616
1741,,4,616
1742,邦桑迪站到了巨魔的一边！,2,617
1743,邦桑迪站到了巨魔的一边！,3,617
1744,,4,617
1745,协助巨魔重夺被烧毁的村庄。,2,618
1746,协助巨魔重夺被烧毁的村庄。,3,618
1747,,4,618
1748,被烧毁的村庄已被夺回！,2,619
1749,巨魔已消灭被烧毁村庄中的疯狂敌军。,3,619
1750,,4,619
1751,沃金和他的军队正在对抗扎拉赞恩。,2,620
1752,沃金和他的军队正在对抗扎拉赞恩及其爪牙。,3,620
1753,,4,620
1754,扎拉赞恩已逃往另一个岛屿！,2,621
1755,巨魔军队已将扎拉赞恩赶到了另一个岛屿上。,3,621
1756,,4,621
1757,军队正在攻击扎拉赞恩,2,622
1758,军队正在攻击扎拉赞恩,3,622
1759,,4,622
1760,扎拉赞恩已被击败！,2,623
1761,扎拉赞恩已被击败！,3,623
1762,,4,623
1763,从拉格纳罗斯的魔爪下拯救海加尔山的战斗还有%5146k就要开始了!,2,624
1764,,3,624
1765,,4,624
1766,从拉格纳罗斯的魔爪下拯救海加尔山的战斗开始了!,2,625
1767,,3,625
1768,,4,625
1769,从拉格纳罗斯的魔爪下拯救海加尔山的战斗还有%5147k就要开始了!,2,626
1770,,3,626
1771,,4,626
1772,从拉格纳罗斯的魔爪下拯救海加尔山的战斗开始了!,2,627
1773,,3,627
1774,,4,627
1775,%1581w/%1601w,2,628
1776,联盟夺取的军旗,3,628
1777,部落军旗被拿走了,4,628
1778,%1582w/%1601w,2,629
1779,部落夺取的军旗,3,629
1780,联盟军旗被拿走了,4,629
1781,剩余时间：%4248k,2,630
1782,剩余时间,3,630
1783,,4,630
1784,基地：%2752w 胜利点数：%2749w/1600,2,632
1785,,3,632
1786,,4,632
1787,基地：%2753w 胜利点数：%2750w/1600,2,633
1788,,3,633
1789,,4,633
1790,守住桥梁！剩下%5207w分钟。,2,634
1791,为希拉柯丝女士完成召唤仪式争取到足够的时间。,3,634
1792,,4,634
1793,守住桥梁！剩下%5208w分钟。,2,635
1794,为希拉柯丝女士完成召唤仪式争取到足够的时间。,3,635
1795,,4,635
1796,贸易区：%4440w道残余裂隙,2,636
1797,关闭所有的元素裂隙以控制贸易区。,3,636
1798,,4,636
1799,贸易区：%5216w名被围困的平民,2,637
1800,释放被围困的平民以控制贸易区。,3,637
1801,,4,637
1802,未控制区域：%5215w,2,638
1803,,3,638
1804,,4,638
1805,教堂广场：%5212w道残余裂隙,2,639
1806,关闭所有的元素裂隙以控制教堂广场。,3,639
1807,,4,639
1808,教堂广场：%5213w名被围困的平民,2,640
1809,释放被围困的平民以控制教堂广场。,3,640
1810,,4,640
1811,旧城区：%4439w道残余裂隙,2,641
1812,关闭所有的元素裂隙以控制旧城区。,3,641
1813,,4,641
1814,旧城区：%4458w名被围困的平民,2,642
1815,释放被围困的平民以控制旧城区。,3,642
1816,,4,642
1817,法师区：%5217w道残余裂隙,2,643
1818,关闭所有的元素裂隙以控制法师区。,3,643
1819,,4,643
1820,法师区：%4441w名被围困的平民,2,644
1821,释放被围困的平民以控制法师区。,3,644
1822,,4,644
1823,矮人区：%5223w道残余裂隙,2,645
1824,关闭所有的元素裂隙以控制矮人区。,3,645
1825,,4,645
1826,矮人区：%5222w名被围困的平民,2,646
1827,释放被围困的平民以控制矮人区。,3,646
1828,,4,646
1829,花园：%5221w道残余裂隙,2,647
1830,关闭所有的元素裂隙以控制花园。,3,647
1831,,4,647
1832,花园：%5220w名被围困的平民,2,648
1833,释放被围困的平民以控制花园。,3,648
1834,,4,648
1835,暴风城港口：%5219w道残余裂隙,2,649
1836,关闭所有的元素裂隙以控制暴风城港口。,3,649
1837,,4,649
1838,暴风城港口：%5218w名被围困的平民,2,650
1839,释放被围困的平民以控制暴风城港口。,3,650
1840,,4,650
1841,未控制区域：%4857w,2,651
1842,,3,651
1843,,4,651
1844,力量谷：%4584w道残余裂隙,2,652
1845,关闭所有的元素裂隙以控制力量谷。,3,652
1846,,4,652
1847,力量谷：%4582w名被围困的平民,2,653
1848,释放被围困的平民以控制力量谷。,3,653
1849,,4,653
1850,精神谷：%5229w道残余裂隙,2,654
1851,关闭所有的元素裂隙以控制精神谷。,3,654
1852,,4,654
1853,精神谷：%5230w名被围困的平民,2,655
1854,释放被围困的平民以控制精神谷。,3,655
1855,,4,655
1856,智慧谷：%5232w道残余裂隙,2,656
1857,关闭所有的元素裂隙以控制智慧谷。,3,656
1858,,4,656
1859,智慧谷：%5231w名被围困的平民,2,657
1860,释放被围困的平民以控制智慧谷。,3,657
1861,,4,657
1862,荣誉谷：%5234w道残余裂隙,2,658
1863,关闭所有的元素裂隙以控制荣誉谷。,3,658
1864,,4,658
1865,荣誉谷：%5233w名被围困的平民,2,659
1866,释放被围困的平民以控制荣誉谷。,3,659
1867,,4,659
1868,暗巷区：%5236w道残余裂隙,2,660
1869,关闭所有的元素裂隙以控制暗巷区。,3,660
1870,,4,660
1871,暗巷区：%5235w名被围困的平民,2,661
1872,释放被围困的平民以控制暗巷区。,3,661
1873,,4,661
1874,暗影裂口：%5227w道残余裂隙,2,662
1875,关闭所有的元素裂隙以控制暗影裂口。,3,662
1876,,4,662
1877,暗影裂口：%5228w名被围困的平民,2,663
1878,释放被围困的平民以控制暗影裂口。,3,663
1879,,4,663
1880,还需要%4587w个沙袋,2,664
1881,在指定地点放置沙袋以阻挡洪水。,3,664
1882,,4,664
1883,还需筑起%5256w道路障！,2,665
1884,筑起路障来协助防御！,3,665
1885,,4,665
1886,还需筑起%5266w道路障！,2,666
1887,筑起路障来协助防御！,3,666
1888,,4,666
1889,未控制区域：%5267w,2,667
1890,,3,667
1891,,4,667
1892,雷霆崖：%5268w道残余裂隙,2,668
1893,关闭所有的元素裂隙以控制雷霆崖。,3,668
1894,,4,668
1895,雷霆崖：%5269w名被围困的平民,2,669
1896,释放被围困的平民以控制雷霆崖。,3,669
1897,,4,669
1898,长者高地：%5271w道残余裂隙,2,670
1899,关闭所有的元素裂隙以控制长者高地。,3,670
1900,,4,670
1901,长者高地：%5270w名被围困的平民,2,671
1902,释放被围困的平民以控制长者高地。,3,671
1903,,4,671
1904,猎人高地：%5273w道残余裂隙,2,672
1905,关闭所有的元素裂隙以控制猎人高地。,3,672
1906,,4,672
1907,猎人高地：%5272w名被围困的平民,2,673
1908,释放被围困的平民以控制猎人高地。,3,673
1909,,4,673
1910,灵魂高地：%5275w道残余裂隙,2,674
1911,关闭所有的元素裂隙以控制灵魂高地。,3,674
1912,,4,674
1913,灵魂高地：%5274w名被围困的平民,2,675
1914,释放被围困的平民以控制灵魂高地。,3,675
1915,,4,675
1916,预见之池：%5277w道残余裂隙,2,676
1917,关闭所有的元素裂隙以控制预见之池。,3,676
1918,,4,676
1919,预见之池：%5276w名被围困的平民,2,677
1920,释放被围困的平民以控制预见之池。,3,677
1921,,4,677
1922,还需筑起%5284w座防御工事！,2,678
1923,筑起防御工事来控制铁炉堡！,3,678
1924,,4,678
1925,未控制区域：%5285w,2,679
1926,,3,679
1927,,4,679
1928,平民区：%5286w道残余裂隙,2,680
1929,关闭所有的元素裂隙以控制平民区。,3,680
1930,,4,680
1931,平民区：%5287w名被围困的平民,2,681
1932,释放被围困的平民以控制平民区。,3,681
1933,,4,681
1934,剩余时间：%5333k,2,682
1935,距防守方获胜的剩余时间,3,682
1936,,4,682
1937,摧毁塔楼：%5347w / 3,2,683
1938,防守方摧毁的塔楼数量,3,683
1939,,4,683
1940,占领建筑：%5348w / 3,2,684
1941,攻击方占据的建筑数量。,3,684
1942,,4,684
1943,部落控制,2,686
1944,部落控制了托尔巴拉德监狱建筑群。,3,686
1945,,4,686
1946,联盟控制,2,687
1947,联盟控制了托尔巴拉德监狱建筑群。,3,687
1948,,4,687
1949,下一场战斗：%5332k,2,688
1950,托尔巴拉德的战斗重新开始的时间倒计时,3,688
1951,,4,688
1952,秘法区：%5290w道残余裂隙,2,689
1953,关闭所有的元素裂隙以控制秘法区。,3,689
1954,,4,689
1955,秘法区：%5291w名被围困的平民,2,690
1956,释放被围困的平民以控制秘法区。,3,690
1957,,4,690
1958,荒弃的洞穴：%5295w道残余裂隙,2,691
1959,关闭所有的元素裂隙以控制荒弃的洞穴。,3,691
1960,,4,691
1961,荒弃的洞穴：%5294w名被围困的平民,2,692
1962,释放被围困的平民以控制荒弃的洞穴。,3,692
1963,,4,692
1964,探险者大厅：%5292w道残余裂隙,2,693
1965,关闭所有的元素裂隙以控制探险者大厅。,3,693
1966,,4,693
1967,军事区：%5289w道残余裂隙,2,694
1968,关闭所有的元素裂隙以控制军事区。,3,694
1969,,4,694
1970,军事区：%5288w名被围困的平民,2,695
1971,释放被围困的平民以控制军事区。,3,695
1972,,4,695
1973,大锻炉：%5296w道残余裂隙,2,696
1974,关闭所有的元素裂隙以控制大锻炉。,3,696
1975,,4,696
1976,大锻炉：%5297w名被围困的平民,2,697
1977,释放被围困的平民以控制大锻炉。,3,697
1978,,4,697
1979,探险者大厅：%5293w名被围困的平民,2,698
1980,释放被围困的平民以控制探险者大厅。,3,698
1981,,4,698
1982,基地：%1779w  物资：%1776w/%1780w,2,699
1983,联盟状态,3,699
1984,,4,699
1985,基地：%1778w  物资：%1777w/%1780w,2,700
1986,部落状态,3,700
1987,,4,700
1988,联盟进攻,2,701
1989,联盟正在进攻托尔巴拉德监狱建筑群。,3,701
1990,,4,701
1991,部落进攻,2,702
1992,部落正在进攻托尔巴拉德监狱建筑群。,3,702
1993,,4,702
1994,已收集金色宝珠：%5649w,2,703
1995,,3,703
1996,,4,703
2003,现有恶魔：%6017w,2,706
2004,庭院中的恶魔总数,3,706
2005,,4,706
2006,已收集到碎片数量：%6025w / 16,2,707
2007,,3,707
2008,,4,707
2009,胜利点数：%6303w/1500,2,708
2010,,3,708
2011,,4,708
2012,胜利点数：%6304w/1500,2,709
2013,,3,709
2014,,4,709
2015,酿酒进度：%6403w / 100,2,710
2016,,3,710
2017,,4,710
2018,%1581w/%1601w,2,711
2019,联盟夺取的军旗,3,711
2020,部落军旗被拿走了,4,711
2021,%1582w/%1601w,2,712
2022,部落夺取的军旗,3,712
2023,联盟军旗被拿走了,4,712
2024,剩余时间：%4248w分钟。,2,713
2025,剩余时间,3,713
2026,,4,713
2027,资源：%6437w/1500,2,714
2028,,3,714
2029,,4,714
2030,资源：%6438w/1500,2,715
2031,,3,715
2032,,4,715
2033,活跃治疗者：%6488w/12,2,716
2034,参与治疗神真子伤口的治疗者数量。,3,716
2035,,4,716
2036,当前回合：%6608w,2,717
2037,,3,717
2038,,4,717
2039,分数：%6607w,2,718
2040,,3,718
2041,,4,718
2042,金队剩余人数：%3601w,2,719
2043,,3,719
2044,,4,719
2045,紫队剩余人数：%3600w,2,720
2046,,3,720
2047,,4,720
2048,,2,721
2049,,3,721
2050,,4,721
2051,捕获魁麟：%6748w / 5,2,722
2052,,3,722
2053,,4,722
2054,剩余尝试次数：%7844w,2,730
2055,,3,730
2056,,4,730
2057,剩余的雾行兽数量：%7889w,2,731
2058,,3,731
2059,,4,731
2060,紫队剩余人数：%3600w,2,732
2061,,3,732
2062,,4,732
2063,金队剩余人数：%3601w,2,733
2064,,3,733
2065,,4,733
2072,货币：%8278w,2,736
2073,,3,736
2074,,4,736
2075,第#%8280w波,2,737
2076,,3,737
2077,,4,737
2078,剩余时间：%8529k,2,738
2079,,3,738
2080,,4,738
2081,恶臭酒桶裂口,19,739
2084,剩余时间：%8529k,2,740
2085,,3,740
2086,,4,740
2087,剩余时间：%8529k,2,741
2088,,3,741
2089,,4,741
2090,剩余时间：%8529k,2,742
2091,,3,742
2092,,4,742
2093,剩余时间：%8529k,2,743
2094,,3,743
2095,,4,743
2096,剩余时间：%8529k,2,744
2097,时间耗尽后游戏结束,3,744
2098,,4,744
2099,剩余时间：%8529k,2,745
2100,,3,745
2101,,4,745
2102,防御系统将在%8381w秒后启动。,2,746
2103,距离GB-11010“末日决战”级防御系统启动所剩余的时间。,3,746
2104,,4,746
2105,剩余火炮 = %8373w,2,747
2106,尚未摧毁的火炮数量,3,747
2107,,4,747
2108,剩余火炮 = %8373w,2,748
2109,尚未摧毁的火炮数量,3,748
2110,,4,748
2111,剩余敌人 = %8412w,2,749
2112,本波攻击中尚未击杀的敌人数量,3,749
2113,,4,749
2114,受冷落而离开的客人数量：%8457w,2,750
2115,,3,750
2116,,4,750
2117,南部塔楼进度：%8461w%,2,751
2118,,3,751
2119,,4,751
2120,北部塔楼进度：%8462w%,2,752
2121,,3,752
2122,,4,752
2123,北部塔楼龙喉兵力：%8469w%,2,753
2124,,3,753
2125,,4,753
2126,南部塔楼龙喉兵力：%8468w%,2,754
2127,,3,754
2128,,4,754
2129,.        剩余兽人：%8484w,2,755
2130,,3,755
2131,,4,755
2132,绿队复活机会：%15480w,2,756
2133,,3,756
2134,,4,756
2135,金队复活机会：%15481w,2,757
2136,,3,757
2137,,4,757
2138,绿队复活机会：%15480w,2,930
2139,,3,758
2140,,4,758
2141,绿队复活机会：%15480w,2,1042
2142,,3,759
2143,,4,759
2144,绿队复活机会：%15480w,2,760
2145,,3,760
2146,,4,760
2147,金队复活机会：%15481w,2,761
2148,,3,761
2149,,4,761
2150,绿队复活机会：%15480w,2,762
2151,,3,762
2152,,4,762
2153,金队复活机会：%15481w,2,763
2154,,3,763
2155,,4,763
2156,金队复活机会：%15481w,2,1041
2157,,3,764
2158,,4,764
2159,金队复活机会：%15481w,2,931
2160,,3,765
2161,,4,765
2162,绿队复活机会：%15480w,2,766
2163,,3,766
2164,,4,766
2165,金队复活机会：%15481w,2,767
2166,,3,767
2167,,4,767
2168,绿队复活机会：%15480w,2,768
2169,,3,768
2170,,4,768
2171,金队复活机会：%15481w,2,769
2172,,3,769
2173,,4,769
2174,喂给布罗克的食人魔 = %8604w/10,2,770
2175,吞噬者饿了。快喂他吃食人魔！,3,770
2176,,4,770
2180,杀敌：%8933w/%9801w,2,772
2181,击杀敌人并召唤一名队长,3,772
2182,,4,772
2183,杀敌：%8934w/%9802w,2,773
2184,击杀敌人并召唤一名队长,3,773
2185,,4,773
2186,下一场战斗：%8945k,2,774
2187,下一阶段的战斗将在该时间后开始,3,774
2188,,4,774
2189,活跃阶段：%8955w,2,776
2190,,3,776
2191,,4,776
2192,捕获的复活的游魂：%9200w/20,2,778
2193,捕获的复活的游魂,3,778
2194,,4,778
2195,捕获的复活的游魂：%9201w/20,2,779
2196,捕获的复活的游魂,3,779
2197,,4,779
2198,收集矿石：%1582w/20,2,780
2199,部落状态,3,780
2200,,4,780
2201,收集矿石：%1581w/20,2,781
2202,联盟状态,3,781
2203,,4,781
2204,圈数：%9292w/5,2,782
2205,部落状态,3,782
2206,,4,782
2207,圈数：%9291w/5,2,783
2208,联盟状态,3,783
2209,,4,783
2210,下一场战斗：%8945k,2,784
2211,下一阶段的战斗将在该时间后开始,3,784
2212,,4,784
2213,下一场战斗：%8945k,2,785
2214,下一阶段的战斗将在该时间后开始,3,785
2215,,4,785
2216,剩余时间：%9316k,2,786
2217,联盟必须击杀沃拉斯,3,786
2218,,4,786
2219,剩余时间：%9316k,2,787
2220,部落必须击杀泰布雷德,3,787
2221,,4,787
2222,积分：%9384w/%9386w,2,788
2223,联盟得分,3,788
2224,,4,788
2225,积分：%9385w/%9386w,2,789
2226,部落得分,3,789
2227,,4,789
2228,剩余时间：%8529k,2,790
2229,剩余时间,3,790
2230,,4,790
2231,火焰：%9782w  积分：%9418w/%9784w,2,791
2232,联盟状态,3,791
2233,,4,791
2234,火焰：%9783w  积分：%9419w/%9784w,2,792
2235,部落状态,3,792
2236,,4,792
2237,烤鸡计时器：%9524w秒。,2,793
2238,距离里诺艾烤完鸡并开始执行你的进攻计划剩余的时间。,3,793
2239,,4,793
2240,剩余时间：%9316k,2,796
2241,部落必须击杀泰布雷德,3,796
2242,,4,796
2243,剩余时间：%9316k,2,797
2244,联盟必须击杀沃拉斯,3,797
2245,,4,797
2246,杀敌：%8933w/%9801w,2,798
2247,击杀敌人并召唤一名队长,3,798
2248,,4,798
2249,杀敌：%8933w/%9801w,2,799
2250,击杀敌人并召唤一名队长,3,799
2251,,4,799
2252,杀敌：%8934w/%9802w,2,800
2253,击杀敌人并召唤一名队长,3,800
2254,,4,800
2255,杀敌：%8934w/%9802w,2,801
2256,击杀敌人并召唤一名队长,3,801
2257,,4,801
2258,%9662w名幸存角斗士,2,802
2259,不是你死，就是我活。,3,802
2260,,4,802
2261,通向竞技场的升降机将于%9667w分钟后激活。,2,803
2262,,3,803
2263,,4,803
2264,杀敌：%8934w/%9802w,2,804
2265,击杀敌人并召唤一名队长,3,804
2266,,4,804
2267,杀敌：%8934w/%9802w,2,805
2268,击杀敌人并召唤一名队长,3,805
2269,,4,805
2270,杀敌：%8934w/%9802w,2,806
2271,击杀敌人并召唤一名队长,3,806
2272,,4,806
2273,杀敌：%8934w/%9802w,2,807
2274,击杀敌人并召唤一名队长,3,807
