ID,Description_lang,Color
13232,第3阶段（共9阶段）,65280
13233,第4阶段（共9阶段）,65280
13234,第5阶段（共9阶段）,65280
13235,第6阶段（共9阶段）,65280
13236,第7阶段（共9阶段）,65280
13237,第8阶段（共9阶段）,65280
13238,第9阶段（共9阶段）,65280
13239,泰坦造物,65280
13241,奥丁之怒,-1651584
13242,海拉之怒,-1651584
13243,掠霜使者,-1651584
13244,寒冰使者,-1651584
13245,维鲁斯,-1651584
13246,穆拉玛斯,-1651584
13247,阿布尔克,-1651584
13248,奥拉艾德,-1651584
13249,痛楚,-1651584
13250,哀伤,-1651584
13251,命运,-1651584
13252,机遇,-1651584
13253,血牙,-1651584
13254,阿卡丽的意志,-1651584
13256,抑魔金：0/10,65280
13257,抑魔金：1/10,65280
13258,抑魔金：2/10,65280
13259,抑魔金：3/10,65280
13260,抑魔金：4/10,65280
13261,抑魔金：5/10,65280
13262,抑魔金：6/10,65280
13263,抑魔金：7/10,65280
13264,可摧毁,-7820545
13265,史诗 2,-16711936
13266,史诗 3,-16711936
13267,史诗 4,-16711936
13268,史诗 5,-16711936
13269,史诗 6,-16711936
13270,史诗 7,-16711936
13271,史诗 8,-16711936
13272,史诗 9,-16711936
13273,史诗 10,-16711936
13274,史诗2奖励,-16711936
13275,史诗3奖励,-16711936
13276,史诗4奖励,-16711936
13277,史诗5奖励,-16711936
13278,史诗6奖励,-16711936
13279,史诗7奖励,-16711936
13280,史诗8奖励,-16711936
13281,史诗9奖励,-16711936
13282,抑魔金：8/10,65280
13284,老兵,-16711936
13285,抑魔金：9/10,65280
13286,抑魔金：10/10,65280
13287,军团再临第2赛季,65280
13288,军团再临第2赛季精锐,65280
13289,史诗 11,-16711936
13290,史诗 12,-16711936
13291,25人（普通）,0
13292,25人（英雄）,0
13293,10人（普通）,65280
13294,等级 8,-16711681
13295,“军团再临”第3赛季,65280
13296,“军团再临”第3赛季精锐,65280
13297,“军团再临”第4赛季,65280
13298,“军团再临”第4赛季精锐,65280
13299,“军团再临”第5赛季,65280
13300,“军团再临”第5赛季精锐,65280
13301,角斗士,-16711936
13302,争斗者 I,-16711936
13303,候选者,-16711936
13304,荣誉,-16711936
13305,太阳之井,-16711936
13306,PVP精良,65280
13307,PVP史诗,65280
13308,史诗 13,-16711936
13309,史诗 14,-16711936
13310,史诗 15,-16711936
13311,“军团再临”第6赛季,65280
13312,“军团再临”第7赛季,65280
13313,“军团再临”第6赛季精锐,65280
13314,“军团再临”第7赛季精锐,65280
13315,“军团再临”第1和第2赛季,65280
13316,“军团再临”第1和第2赛季精锐,65280
13317,“军团再临”第3和第4赛季,65280
13318,“军团再临”第3和第4赛季精锐,65280
13319,制造物品,-10044417
13320,重塑,65280
13321,果敢,65280
13322,源生抑魔金：0/10,65280
13323,源生抑魔金：1/10,65280
13324,源生抑魔金：2/10,65280
13325,源生抑魔金：3/10,65280
13326,源生抑魔金：4/10,65280
13327,源生抑魔金：5/10,65280
13328,源生抑魔金：6/10,65280
13329,源生抑魔金：7/10,65280
13330,源生抑魔金：8/10,65280
13331,源生抑魔金：9/10,65280
13332,源生抑魔金：10/10,65280
13333,沙图格,-6081042
13334,法尔格,-6081042
13335,“军团再临”第5、6、7赛季,65280
13336,“军团再临”第5、6、7赛季精锐,65280
13337,缴获,65280
13338,纯洁,65280
13339,纯洁,-16711936
13343,艾泽里特等级 3,15923845
13445,挑战者 I,-16711936
13446,竞争者 I,-16711936
13447,决斗者,-16711936
13448,战争前线,-1
13449,神器能量,-6447715
13450,念忆,65280
13451,悚然争斗者,-16711936
13452,惊恶争斗者,-16711936
13453,悚然挑战者,-16711936
13454,惊恶挑战者,-16711936
13455,悚然竞争者,-16711936
13456,惊恶竞争者,-16711936
13457,悚然决斗者,-16711936
13458,惊恶决斗者,-16711936
13459,悚然角斗士,-16711936
13460,惊恶角斗士,-16711936
13461,“争霸艾泽拉斯”第1赛季,65280
13462,“争霸艾泽拉斯”第2赛季,65280
13463,惊恶精锐,-16711936
13464,悚然精锐,65280
13465,麦卡贡匠技,-10044417
13486,封印的险恶赐福,-6081042
13487,开启的险恶赐福,-6081042
13488,时尚试炼第4赛季,65280
13489,时尚试炼第2赛季,65280
13490,时尚试炼第1赛季,65280
13491,校准：0.75 急速：0.75 全能,-14614752
13492,时尚试炼第3赛季,65280
13493,罪邪挑战者,-16711936
13494,罪邪争斗者,-16711936
13495,罪邪决斗者,-16711936
13496,罪邪精英,-16711936
13497,罪邪角斗士,-16711936
13498,罪邪竞争者,-16711936
13499,坐骑装备,-9316865
13500,能量聚合,-11776
13501,红色打孔卡,-14614752
13502,黄色打孔卡,-14614752
13503,蓝色打孔卡,-14614752
13504,奥术材料,-14614752
13505,镶珠,-14614752
13506,“争霸艾泽拉斯”第3赛季,65280
13507,底栖,-14614752
13508,“争霸艾泽拉斯”第4赛季,65280
13509,1级黑暗帝国圣物,-16711681
13510,2级黑暗帝国圣物,-16711681
13511,3级黑暗帝国圣物,-16711681
13512,4级黑暗帝国圣物,-16711681
13513,25腐蚀,14417920
13516,5腐蚀,16580611
13517,10腐蚀,16580611
13518,15腐蚀,16580611
13519,20腐蚀,16580611
13520,30腐蚀,16580611
13521,5-30腐蚀,16580611
13524,等级10,-16711681
13525,等级11,-16711681
13526,等级 12,-16711681
13527,等级 13,-16711681
13528,等级 14,-16711681
13529,等级 15,-16711681
13530,腐化挑战者,-16711936
13531,腐化争斗者,-16711936
13532,腐化决斗者,-16711936
13533,腐化精英,-16711936
13534,腐化角斗士,-16711936
13535,腐化竞争者,-16711936
13536,腐化,-57312
13538,灵魂密文,-10044417
13543,致命工匠之,0
13544,精湛工匠之,0
13545,迅捷工匠之,0
13546,万能工匠之,0
13547,屠兽之,0
13549,附加制作材料,-10044417
13551,四,0
13552,三,0
13553,二,0
13554,一,0
13555,憎恶缝合,-10044417
13556,女王的温室,-7820545
13557,触媒之囊强化剂,-7820545
13558,触媒之囊,-7820545
13559,导灵器,-14614752
13565,66腐蚀,11962111
13566,35腐蚀,11962111
13567,15腐蚀,11962111
13568,20腐蚀,11962111
13569,10腐蚀,11962111
13570,75腐蚀,11962111
13571,50腐蚀,11962111
13572,25腐蚀,11962111
13573,45腐蚀,11962111
13574,28腐蚀,11962111
13575,17腐蚀,11962111
13576,30腐蚀,11962111
13577,12腐蚀,11962111
13578,16腐蚀,11962111
13579,8腐蚀,11962111
13580,60腐蚀,11962111
13581,晋升工艺,3650303
13583,噬渊学识,-7820545
13584,灰烬王庭,-7820545
13585,心能,-10044417
13586,The Coldest of Fronts (DNT),0
13587,Show them snow mercy! (DNT),0
13588,A Triple Threat (DNT),0
13589,"It's like double trouble, but better! (DNT)",0
13590,战役,65280
13591,名望,-14614752
13592,女王的温室,-14614752
13593,威望,-14614752
13594,憎恶缝合,-14614752
13595,团结,-14614752
13596,旅行网络,-7820545
13597,虚渺,713192
13599,审慎沉思,0
13600,双子太阳女祭司,0
13601,萨什，大主教本尼迪塔斯的归来,0
13602,永恒虚空召唤,0
13603,暗影烈焰棱镜,0
13604,痛灭圣歌,0
13605,坚定意志,0
13606,死神之吻,0
13607,晶化反射,0
13608,谐律装置,0
13609,悔罪者,0
13610,烧灼暗影,0
13611,快速专注,0
13612,神圣镜像,0
13613,天堂之跃,0
13614,塔尔巴达的谋略,0
13615,德鲁伊长者之誓,0
13616,莱卡拉的惊鸿一瞥,0
13617,生死循环,0
13618,深度专注饮剂,0
13619,欧奈斯的洞察,0
13620,原始奥能脉冲星,0
13621,万物平衡,0
13622,古朴缚梦者,0
13623,猫眼奇珍,0
13624,顶级捕食者的渴望,0
13625,狂乱兽群,0
13626,丝瓜精粹的拥抱,0
13627,稳定的幻灭心能诱饵,0
13628,自然秩序的意志,0
13629,典狱长的第三只眼,0
13630,诺甘农的睿智,0
13631,塞弗斯的宣言,0
13632,仲裁官之裁,0
13633,活力献祭,0
13634,乌索克的铭记之怒,0
13635,噬渊哀鸣,0
13636,艾欧娜尔的回响,0
13637,沉睡者的遗产,0
13638,母亲之树的回忆,0
13639,黑暗泰坦之训,0
13640,翡翠灌注,0
13641,无尽春天的愿景,0
13642,惊恐对称之眼,0
13643,致命之触,0
13644,乾坤腾挪,0
13645,祈求者之愉,0
13646,基佛的通天掌,0
13647,末代皇帝的容电器,0
13648,雪怒珍宝,0
13649,青玉破,0
13650,天神灌注,0
13651,风暴烈酒的珍藏酒桶,0
13652,少昊之力,0
13653,灼焰炙气,0
13654,晨晖之露,0
13655,玉珑的低语,0
13656,禅院古训,0
13657,雾云专注,0
13658,魂游天外,0
13659,反魔法护罩的持续时间延长，吸收伤害时会对你产生治疗。,-16711936
13660,休闲者,-16711936
13661,死亡之拥,0
13662,超级菌株,0
13663,致命缠绕,0
13664,死亡终途,0
13665,狂热畸兽,0
13666,复活的蹒跚者,0
13667,血魔统御,0
13668,吸血光环,0
13669,赤红符文,0
13670,布伦达尔之力,0
13671,库尔迪拉之眷,0
13672,冰封勇士之怒,0
13673,绝对零度,0
13674,刺骨之寒,0
13675,永生之握,0
13676,梦魇,0
13678,太阳之王的祝福,0
13679,熔火天降,0
13680,火焰风暴,0
13681,咒术之环,0
13682,恐怖冰锥,0
13683,三一守护者,0
13684,纪律严明,0
13685,拓展潜能,0
13686,冻结寒风,0
13687,冷锋之罩,0
13688,寒冰使者,0
13689,冰霜灼烧,0
13690,风暴虹吸,0
13691,奥术祥和,0
13692,时霎扭曲,0
13693,奥术之殇,0
13694,疯狂圣贤,0
13695,乌瑟尔的守护,0
13696,痛苦之王的印章,0
13697,黄昏与黎明,0
13698,震击屏障,0
13699,法官的审判,0
13700,破影者，日之破晓,0
13701,太阳井之花,0
13702,神圣复仇者的刻印,0
13703,炽热防御者圣所,0
13704,正义之怒壁垒,0
13705,无尽列王之御,0
13706,最终审判,0
13707,先锋之势,0
13708,弗吉达之韵,0
13709,无情审讯,0
13710,致死者,0
13711,毁灭者的意志,0
13712,不屈意志,0
13713,复仇心切,0
13714,磐固壁垒,0
13715,光明使者的风暴,0
13716,雷霆之王,0
13717,玛尔拉德的临终之息,0
13718,最终审判,0
13719,鲁莽防御者,0
13720,迷狂乱舞,0
13721,畸形镜像,0
13722,战争领主,0
13723,裂地回响,0
13724,先祖之忆戒指,0
13725,深震石靴,0
13726,元素深渊头盔,0
13727,毁灭之链,0
13728,碎天者的熔火之戒,0
13729,元素均衡足垫,0
13730,大分裂护手,0
13731,风语者的披风,0
13732,毁灭之风,0
13733,霜巫的传承,0
13734,巫医的狼骨,0
13735,始源熔岩助动器,0
13736,约纳特的自然专注裹腰,0
13737,灵魂行者的潮汐护腿,0
13738,始源之潮核心,0
13739,地谐胸甲,0
13740,神算谋略,0
13741,处决者,0
13742,持久挥砍,0
13743,荒野呼唤戒指,0
13744,奈辛瓦里的陷阱靴,0
13745,魂铸余烬面具,0
13746,示弱战术链甲外衣,0
13747,凶暴命令半身甲,0
13748,火妖的眼镜蛇护足,0
13749,奎普拉，艾瑞达战争护手,0
13750,飞龙追猎者便鞋,0
13751,鹰爪的全神贯注,0
13752,激涌射击护符,0
13753,巨蛇追猎者的诡计之戒,0
13754,无懈警戒裹手,0
13755,野火战甲,0
13756,飞龙追猎者裹布,0
13757,潜藏毒素注射器,0
13758,屠夫的白骨碎片,0
13759,威尔弗雷德的超级召唤魔印,0
13760,恩德雷思腰索,0
13761,恶魔协同印记,0
13762,黑暗之门纹章法袍,0
13763,阿兹亚基的永恒痛苦之戒,0
13764,萨洛拉丝的黑暗便鞋,0
13765,灾难狂怒肩垫,0
13766,吞噬之怒斗篷,0
13767,内爆潜能愿景,0
13768,冷酷审讯官的恐惧召唤,0
13769,恐角梦魇之戒,0
13770,邪蛛的燃烧裹布,0
13771,阿兹亚基的燃烬披风,0
13772,阿兹亚基的疯狂,0
13773,天魔法衣余烬,0
13774,伊米亚的裹腿,0
13775,聚凝痛楚,0
13776,半巨人强化,0
13777,黑眼之赐,0
13778,至暗时刻裹腿,0
13779,心中的恶魔,0
13780,混沌护指,0
13781,古怪的邪能核心,0
13782,邪能轰炸者,0
13783,黑炎之魂勋章,0
13784,拉瑟莱克的污秽,0
13785,螺旋邪焰腰带,0
13786,灼烧之魂镣铐,0
13787,冬脉,-14614752
13789,狂猛迅疾,0
13790,刺客大师印记,0
13791,淬毒之刃腰带,0
13792,血牙风帽,0
13793,影尘项坠,0
13794,冲动恶徒,0
13795,染血的末日之刃手套,0
13796,佐迪克家族训练镣铐,0
13797,暮行者的眼罩,0
13798,绿皮船长的柳枝,0
13799,匪徒的狡诈,0
13800,隐秘短枪,0
13801,终结预兆,0
13802,阿卡丽的灵魂碎片,0
13803,腐化印记,0
13804,致命暗影,0
13805,装饰品,-16711681
13806,符文在这件护甲的表面不断游走。,-11776
13808,,0
13809,末日领主败将护肩,0
13810,不灭,0
13811,永久升级：托加斯特,-16724737
13812,永久升级：噬渊,-16724737
13813,晋升之路,-7820545
13815,等级 1/7,-16711681
13816,等级 2/7,-16711681
13817,等级 3/7,-16711681
13818,等级 4/7,-16711681
13819,等级 5/7,-16711681
13820,等级 6/7,-16711681
13821,等级 7/7,-16711681
13822,升级：1/7,65535
13823,升级：2/7,65535
13824,升级：3/7,65535
13825,升级：4/7,65535
13826,升级：5/7,65535
13827,升级：6/7,65535
13828,升级：1/6,65535
13829,冥殇制作,-10044417
13830,刻希亚圣物,-7820545
13831,强化,65280
13832,憎恶之狂,0
13833,蔓延转移,0
13834,最终裁决,0
13835,饥肠辘辘,0
13836,荣耀,0
13837,罪孽冲动,0
13838,自然之怒,0
13839,罪孽恩宠,0
13840,谐律回响,0
13841,虫群风暴,0
13842,死亡深渊,0
13843,堕落欢愉,0
13844,志趣亲和,0
13845,淬毒强攻,0
13846,天界万灵,0
13847,苦打成招,0
13848,黯灭之刺,0
13849,死亡先锋军,0
13850,刻希亚,0
13851,明澈回响,0
13852,统御碎片,-10044417
13853,耀光余烬,0
13854,义缚之槌,0
13855,痛楚凝视,0
13856,渊触,-16711936
13857,炽焰亡魂,0
13858,盲者信念,0
13859,名望军需官,-14614752
13860,恶魔誓言,0
13861,四季丰裕,0
13862,邦桑迪的契约,0
13863,暗言术：控,0
13864,不羁角斗士的渊誓镣铐,0
13865,不羁角斗士的邪咒镣铐,0
13866,万古酒,0
13867,碎裂元素,0
13868,狂乱生长之种,0
13869,元素导能,0
13870,受难灵魂碎岩,0
13871,灭魂碎片,0
13872,灵魂衰败之囊,0
13873,遏制永爆,0
13874,灵魂追踪者之契,0
13875,军需品背包,0
13876,宏角碎片,0
13877,碎刀片之袋,0
13878,唤神令,0
13879,噬灭之寒,0
13881,妖魂祥和,0
13882,Test 1 Override,0
13883,Test 2 Override,0
13884,狂暴暮钟旋涡,0
13885,罪邪古训,0
13886,法夜之心,0
13887,天球祥和,0
13888,苍白指令,0
13889,极乐伟力,0
13890,圣洁共鸣,0
13891,无价,-16711936
13892,建筑材料,-7820545
13895,争斗者 II,-16711936
13896,挑战者 II,-16711936
13897,竞争者 II,-16711936
13898,元尊模块,-10044417
13899,初诞者密文,-10044417
13900,可用于：,-11776
13901,“暗影国度”精良（蓝色）或更高品质的护甲的制作。,-1
13907,维系,-11776
13908,宿命,1496809
13911,“暗影国度”第2赛季,65280
13912,品质4/5,65280
13914,原生体合成,-10044417
13915,团结,0
13916,密文装备,-10044417
13920,寻宝,-7820545
13922,宿命,-16711936
13923,英雄宿命,65280
13924,史诗宿命,65280
13925,巨龙群岛神器,-7820545
13926,观龙者手稿,-10044417
13927,海象人大餐原料,-7820545
13929,毒素,10405150
13932,随机宿命,-16711936
13933,空气宝石,14286079
13934,火焰宝石,16341785
13935,冰霜宝石,1872097
13936,大地宝石,8411981
13937,空气红玉,14286079
13938,空气青玉,14286079
13939,空气翡翠,14286079
13940,空气玛瑙,14286079
13941,空气琥珀,14286079
13942,大地红玉,8411981
13943,大地青玉,8411981
13944,大地翡翠,8411981
13945,大地玛瑙,8411981
13946,大地琥珀,8411981
13947,火焰红玉,16341785
13948,火焰青玉,16341785
13949,火焰翡翠,16341785
13950,火焰玛瑙,16341785
13951,火焰琥珀,16341785
13952,冰霜红玉,1872097
13953,冰霜青玉,1872097
13954,冰霜翡翠,1872097
13955,冰霜玛瑙,1872097
13956,冰霜琥珀,1872097
13957,狩猎行动,-10044417
13958,“暗影国度”第3赛季,-16711936
13959,辐光 - 装备限定 2,-10044417
13960,辐光,-10044417
13961,钴蓝集所奥术精华,-7820545
13962,海象人大餐原料,65280
13963,“暗影国度”第4赛季,-16711936
13964,青铜,65280
13965,红色,65280
13966,黑色,65280
13967,蓝色,65280
13968,绿色,65280
13969,原始注能,65280
13970,伊斯卡拉渔具材料,-10044417
13971,巨龙群岛补给,-7820545
13976,原始注能,-16711936
13978,商栈,-11776
13979,原始风暴,65280
13980,战争模式,65280
13981,黑曜,65280
13982,萨贝里安,-16711936
13983,翡翠,65280
13984,猩红,65280
13985,钴蓝,65280
13986,沙形,65280
13987,世界任务和每周任务,-14614752
13988,地下城,-14614752
13989,任务奖励,-14614752
13990,世界掉落,-14614752
13991,专业,-14614752
13992,世界掉落,65280
13993,制造,65280
13994,匠械模块,-32704
13995,“暗影国度”第3、4赛季,-16711936
13996,“暗影国度”第1赛季,65280
13997,元素材料,5435969
13998,玄秘,-10044417
13999,“巨龙时代”第1赛季,-16711936
14000,令人难忘,65535
14001,非凡,65535
14002,原始强化,65280
14003,兹斯克拉宝库,-10044417
14004,始源之石,16755456
14005,匠人珍玩,8956671
14008,“巨龙时代”第2赛季,-15073511
14009,禁忌离岛,65280
14011,灵思制造,-16711936
14012,暗影烈焰制造,-15073511
14014,碧蓝,130816
14015,紫色,65280
14016,世界任务和世界掉落,65280
14017,弥散营地和PvP,65280
14018,宝藏和独特生物,65280
14020,天灾杀手,-15073511
14021,恶魔克星,-15073511
14022,时光之击,-15073511
14023,精神,-15073511
14025,时光裂隙,0
14026,艾泽拉斯之秘,-7820545
14027,歧路,-16711936
14028,时光裂隙和永恒黎明,0
14029,永恒黎明,0
14030,索莉多米,65280
14033,传承,65280
