Name_lang,Description_lang,ID,DisplayIndex,UiCameraID,AltHandUICameraID,ForgeAttachmentOverride,Flags,ArtifactID
光之子纹章,,232,6,947,0,-1,1,45
恩佐斯之爪,,233,6,857,956,-1,1,47
幽灵之刃,,234,5,862,867,-1,0,43
雷霆之怒，风领主的神圣之刃,,235,6,872,877,-1,1,44
剧毒之咬,,236,6,878,879,-1,1,17
阿曼尼的威严,,237,6,884,889,-1,1,40
赞达拉的勇士,,238,6,890,0,-1,1,41
盘蛇权杖,,239,6,891,960,-1,1,42
罪人之脊,,240,5,892,0,-1,0,39
萨奇尔之面,,241,6,893,924,20,1,37
亵渎者的伪装,,242,5,894,0,-1,0,38
奥金破刃斧,,243,6,895,0,-1,1,36
斩龙者之锋,,244,6,896,897,-1,1,35
军团粉碎者,,245,5,898,964,-1,0,11
