ID,Name_lang,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,CreatureDisplayID[0],CreatureDisplayID[1],CreatureDisplayID[2],CreatureDisplayID[3],PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
23,磐牛式,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,猛虎式,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,亡灵,6,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,狂乱,1,216,0,0,0,0,0,17170,0,0,0,0,0,0,0,0,0,0,0
27,史诗飞行形态,1,32776,0,0,0,0,246,21243,0,0,0,0,0,0,0,0,0,0,0
28,暗影形态,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,飞行形态,1,32776,0,0,0,0,245,20857,0,0,0,0,0,0,0,0,0,0,0
30,潜行,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,枭兽形态,0,2241,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,救赎之魂,0,82704,0,0,0,0,0,16031,0,0,0,0,0,0,0,0,0,0,0
33,角斗姿态,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,恶魔变形,3,472,1035040,0,0,0.4,0,64560,0,0,0,0,0,0,0,0,0,0,0
35,枭兽形态,0,2241,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,树人形态,7,2257,0,0,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0
37,灵魂猫头鹰形态,1,32776,0,0,0,0,295,38633,0,0,0,0,0,0,0,0,0,0,0
38,灵魂猫头鹰形态,0,32776,0,0,0,0,204,38633,0,0,0,0,0,0,0,0,0,0,0
39,小精灵形态,6,32776,0,0,0,0,295,10045,0,0,0,0,0,0,0,0,0,0,0
40,小精灵形态,6,32776,0,0,0,0,204,10045,0,0,0,0,0,0,0,0,0,0,0
41,灵魂变形,1,216,0,0,0,0,0,93949,0,0,0,0,0,0,0,0,0,0,0
42,炉脉幻想,0,65792,0,0,0,0,0,66094,0,0,0,0,0,0,0,0,0,0,0
43,人类形态,7,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,巨龙群岛幼龙,0,217,0,4,0,0,0,0,0,0,0,372608,372610,361584,403092,0,0,0,0
48,幽魂之狼,1,216,0,0,0,0,0,55287,0,0,0,0,0,0,0,0,0,0,0
49,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
