ID,Title_lang,Description_lang,WorldPosition[0],WorldPosition[1],Type,PlayerConditionID,QuestID,LfgDungeonID,RewardItemID,UiTextureAtlasMemberID,UiTextureKitID,MapID,AreaTableID
152,纳兹米尔,在纳兹米尔协助布莱恩·铜须。,2084,184,1,61800,51571,0,0,0,261,1642,0
153,沃顿,在沃顿协助联盟。,2840,4199,1,61799,51572,0,0,0,261,1642,0
161,斯科杜斯之厅,狱卒斯科杜斯和他凶残的野兽折磨着囚禁在这些大厅中的灵魂。,300,700,1,34450,60092,0,0,0,0,2162,0
162,断骨密室,玛卓克萨斯的囚犯被关在这些囚室里，你能听到他们的骨头反复碎裂的声音。,325,300,1,34450,60099,0,0,0,0,2162,0
163,灵魂熔炉,这里炽热的熔炉足以熔化灵魂，将其铸造为护甲和武器，以武装典狱长的大军。,400,700,1,34450,60100,0,0,0,0,2162,0
164,丧魂间隙,囚室与囚室间奇特的变换之地，充满了灵魂之影，他们受到的折磨过于深重，以至于他们已经忘记了自己的过往。,425,300,1,34450,60101,0,0,0,0,2162,0
165,卡克弗努斯,渊誓格里恩风中的栖地。,500,700,1,34450,60102,0,0,0,0,2162,0
166,畸变侧厅,通灵师和灵魂扭曲者在这里对灵魂展开了各种实验，将他们转变为可怕而黑暗的怪物。,525,300,1,34450,60103,0,0,0,0,2162,0
167,黑暗领域,光线几乎无法触及的地方。每个角落里都隐藏着鬼祟的潜行者、猎犬、老鼠、噬魂者，还有被遗忘的魂灵。,600,700,1,34450,60104,0,0,0,0,2162,0
168,噬罪钟楼,忠于典狱长的温西尔的临时家园。,625,300,1,34450,60105,0,0,0,0,2162,0
169,上层区域,典狱长最重要的囚犯……和最危险的副官的家园。,700,700,1,34450,60106,0,0,0,0,2162,0
171,曲径大厅,托加斯特的这片区域似乎没有开始也没有尽头——只有永无休止的大厅，不断盘旋向上……,250,500,1,34450,60107,0,0,0,0,2162,0
172,晋升堡垒,通过服务他人度过一生的人会来到晋升堡垒，他们会把灵魂运送到暗影界。,-2000,-4600,1,87724,62275,0,0,0,0,2222,0
173,玛卓克萨斯,玛卓克萨斯是通灵魔法的诞生地，充满野心的灵魂在此可以不断发展和成长。,2500,-2000,1,87723,62278,0,0,0,0,2222,0
174,炽蓝仙野,炽蓝仙野是无尽的恢复领域，由法夜进行看护。,-7000,800,1,87725,62277,0,0,0,0,2222,0
175,雷文德斯,雷文德斯是温西尔的家园，他们是罪孽的收割者。邪恶的灵魂来到这里后，可以获得救赎……同时免于受到噬渊的永恒折磨。,-2500,7000,1,87726,62279,0,0,0,0,2222,0
176,托加斯特,托加斯特是典狱长的权力宝座。它之前是全宇宙最危险的灵魂的牢狱，现在则囚禁着许多无辜者，他们遭受着永世的折磨，无法摆脱这种厄运。,3500,7000,1,93245,64846,0,0,0,0,2222,0
177,战场,奥利波斯的掮灵正在召集有兴趣在战场上展开冲突的人，希望这些竞争者能和敌方作战，这样他们就能进行观察和学习。,-2100,1300,1,93585,65031,0,0,0,0,2222,0
178,翡翠花园界门,早已被忘却的沉眠之石，隐藏在欧恩哈拉平原苍翠的山丘上。,-1379.76,4499.69,1,101296,70706,0,0,0,0,2444,0
181,觉醒海岸,觉醒海岸是黑龙和红龙军团的家园。,3200,0,1,103950,72266,0,0,0,0,2444,0
182,欧恩哈拉平原,欧恩哈拉平原是半人马和绿龙军团的家园。,-1000,2600,1,103951,72267,0,0,0,0,2444,0
183,碧蓝林海,碧蓝林海是蓝龙军团曾经的家园。,-3300,-1000,1,103952,72268,0,0,0,0,2444,0
184,索德拉苏斯,索德拉苏斯是守护巨龙的权力中心，以及青铜龙军团的家园。,0,-2000,1,103953,72269,0,0,0,0,2444,0
185,塞拉摩,前往塞拉摩废墟，调查一支叛乱的法师。,-2000,6000,1,110001,72939,0,0,0,0,-1,14620
186,冬泉谷,前往冬泉谷，和哈尔琳一起摆弄神器。,1750,5500,1,110002,72656,0,0,0,0,-1,14620
187,晶歌,在晶歌森林纠正古时犯下的错误。,6500,500,1,110003,73091,0,0,0,0,-1,14620
188,翡翠林,前往翡翠林，与卡雷苟斯的老朋友姬蕾苟萨重聚。,-5200,250,1,110004,73227,0,0,0,0,-1,14620
189,藏宝海湾,拯救蓝龙泽洛斯，他在藏宝海湾欠下了一屁股债。,-4200,-8500,1,105628,73026,0,0,0,0,-1,14620
