ID,ClassSpec_lang,ClassSpec_Male_lang,ClassSpec_Female_lang,UiTextureAtlasMemberID,GarrFollItemSetID,FollowerClassLimit,Flags
32,痛苦术士,痛苦术士,痛苦术士,3483,34,0,0
33,恶魔学识术士,恶魔学识术士,恶魔学识术士,3483,35,0,0
34,毁灭术士,毁灭术士,毁灭术士,3483,36,0,0
35,武器战士,武器战士,武器战士,3478,37,0,0
37,狂怒战士,狂怒战士,狂怒战士,3478,38,0,0
38,防护战士,防护战士,防护战士,3478,39,0,0
53,运输舰,运输舰,运输舰,4597,0,0,0
54,驱逐舰,驱逐舰,驱逐舰,4620,0,0,0
55,航母,航母,航母,4838,0,0,0
56,战列舰,战列舰,战列舰,4601,0,0,0
57,潜水艇,潜水艇,潜水艇,4609,0,0,0
58,运输舰,运输舰,运输舰,4597,0,0,0
59,驱逐舰,驱逐舰,驱逐舰,4568,0,0,0
60,航母,航母,航母,4842,0,0,0
61,战列舰,战列舰,战列舰,4601,0,0,0
62,潜水艇,潜水艇,潜水艇,4605,0,0,0
63,浩劫恶魔猎手,浩劫恶魔猎手,浩劫恶魔猎手,5939,0,0,0
64,复仇恶魔猎手,复仇恶魔猎手,复仇恶魔猎手,5940,0,0,0
65,赤精的弟子,赤精的弟子,赤精的弟子,3480,0,4,3
66,雪怒的弟子,雪怒的弟子,雪怒的弟子,3480,0,2,3
67,砮皂的弟子,砮皂的弟子,砮皂的弟子,3480,0,3,3
68,酒仙武僧,酒仙武僧,酒仙武僧,5951,0,0,0
69,织雾武僧,织雾武僧,织雾武僧,5952,0,0,0
70,踏风武僧,踏风武僧,踏风武僧,5953,0,0,0
72,奥术师,奥术师,奥术师,3482,0,2,3
73,元素生物,元素,元素,3482,0,3,3
74,法师C部队,法师C部队,法师C部队,3482,0,4,3
75,复生的群落,复生的群落,复生的群落,3487,0,3,3
76,黑锋骑士团士兵,黑锋骑士团士兵,黑锋骑士团士兵,3487,0,2,3
77,憎恶,憎恶,憎恶,3487,0,1,3
79,破碎者,破碎者,破碎者,5940,0,3,3
80,伊利达雷战士,伊利达雷战士,伊利达雷战士,5940,0,2,3
81,森林之友,森林之友,森林之友,3485,0,3,3
82,林地守望者,林地守望者,林地守望者,3485,0,2,3
84,猎人C部队,猎人C部队,猎人C部队,3477,0,4,3
85,伐木工,伐木工,伐木工,3477,0,2,3
86,弓箭手,弓箭手,弓箭手,3477,0,3,3
87,白银之手新兵,白银之手新兵,白银之手新兵,3486,0,3,3
88,白银之手军官,白银之手军官,白银之手军官,3486,0,2,3
89,圣骑士C部队,圣骑士C部队,圣骑士C部队,3486,0,4,3
90,牧师C部队,牧师C部队,牧师C部队,3479,0,4,3
91,助祭,助祭,助祭,3479,0,3,3
92,狂热者,狂热者,狂热者,3479,0,2,3
93,强盗,强盗,强盗,3481,0,3,3
94,海盗,海盗,海盗,3481,0,2,3
95,潜行者C部队,潜行者C部队,潜行者C部队,3481,0,4,3
96,战争古树,战争古树,战争古树,3485,0,1,3
97,元素,元素,元素,3484,0,3,3
98,唤地者,唤地者,唤地者,3484,0,2,3
99,瓦拉加尔,瓦拉加尔,瓦拉加尔,3478,0,3,3
100,女武神,女武神,女武神,3478,0,2,3
101,战士C部队,战士C部队,战士C部队,3478,0,4,3
102,恶魔部落,恶魔部落,恶魔部落,3483,0,3,3
103,黑暗收割仆从,黑暗收割仆从,黑暗收割仆从,3483,0,2,3
104,恶魔卫士,恶魔卫士,恶魔卫士,3483,0,1,3
105,天神,天神,天神,3480,0,1,3
108,鲜血死亡骑士,鲜血死亡骑士,鲜血死亡骑士,5936,6,0,0
109,冰霜死亡骑士,冰霜死亡骑士,冰霜死亡骑士,5937,7,0,0
110,邪恶死亡骑士,邪恶死亡骑士,邪恶死亡骑士,5938,8,0,0
111,平衡德鲁伊,平衡德鲁伊,平衡德鲁伊,5941,0,0,0
112,野性德鲁伊,野性德鲁伊,野性德鲁伊,5942,0,0,0
113,守护德鲁伊,守护德鲁伊,守护德鲁伊,5943,0,0,0
114,恢复德鲁伊,恢复德鲁伊,恢复德鲁伊,5944,0,0,0
115,野兽控制猎人,野兽控制猎人,野兽控制猎人,5945,0,0,0
116,射击猎人,射击猎人,射击猎人,5946,0,0,0
117,生存猎人,生存猎人,生存猎人,5947,0,0,0
118,奥术法师,奥术法师,奥术法师,5948,0,0,0
119,火焰法师,火焰法师,火焰法师,5949,0,0,0
120,冰霜法师,冰霜法师,冰霜法师,5950,0,0,0
121,神圣圣骑士,神圣圣骑士,神圣圣骑士,5954,0,0,0
122,防护圣骑士,防护圣骑士,防护圣骑士,5955,0,0,0
123,惩戒圣骑士,惩戒圣骑士,惩戒圣骑士,5956,0,0,0
124,戒律牧师,戒律牧师,戒律牧师,5957,0,0,0
125,神圣牧师,神圣牧师,神圣牧师,5958,0,0,0
126,暗影牧师,暗影牧师,暗影牧师,5959,0,0,0
127,奇袭潜行者,奇袭潜行者,奇袭潜行者,5960,0,0,0
128,狂徒潜行者,狂徒潜行者,狂徒潜行者,5961,0,0,0
129,敏锐潜行者,敏锐潜行者,敏锐潜行者,5962,0,0,0
130,元素萨满祭司,元素萨满祭司,元素萨满祭司,5963,0,0,0
131,增强萨满祭司,增强萨满祭司,增强萨满祭司,5964,0,0,0
132,恢复萨满祭司,恢复萨满祭司,恢复萨满祭司,5965,0,0,0
133,痛苦术士,痛苦术士,痛苦术士,5966,0,0,0
134,恶魔学识术士,恶魔学识术士,恶魔学识术士,5967,0,0,0
135,毁灭术士,毁灭术士,毁灭术士,5968,0,0,0
136,武器战士,武器战士,武器战士,5969,0,0,0
137,狂怒战士,狂怒战士,狂怒战士,5970,0,0,0
138,防护战士,防护战士,防护战士,5971,0,0,0
139,升腾者,升腾者,升腾者,3484,0,1,3
140,流放者,流放者,流放者,6163,0,0,0
141,管家,管家,管家,6219,0,0,0
142,晚宴客人,晚宴客人,晚宴客人,6219,0,1,1
143,拳手,拳手,拳手,6219,0,0,0
144,库斯卡蛮兵,库斯卡蛮兵,库斯卡蛮兵,5940,0,1,3
145,恐怖图腾战士,恐怖图腾战士,恐怖图腾战士,3484,0,1,3
146,avagner - test,,,6159,0,0,1
147,肯瑞托卫士,元素,肯瑞托卫士,3482,0,2,3
148,黑锋寒霜骑士,元素,黑锋寒霜骑士,3487,0,2,3
149,突击队,元素,突击队,3478,0,2,3
150,梦境林地防御者,元素,梦境林地防御者,3485,0,2,3
151,破坏魔,元素,破坏魔,5940,0,2,3
152,大地之环卫兵,元素,大地之环卫兵,3484,0,2,3
153,宁静大师,元素,宁静大师,3480,0,2,3
154,恶魔卫士蛮兵,元素,恶魔卫士蛮兵,3483,0,2,3
155,戴兜帽的祭司,元素,戴兜帽的祭司,3479,0,2,3
156,白银之手十字军,元素,白银之手十字军,3486,0,2,3
157,拉文霍德刺客,元素,拉文霍德刺客,3481,0,2,3
158,夜之子猎人,,,3477,0,2,1
160,克罗库山岭猎手,,,6817,0,2,3
161,被虚空净化的克罗库,,,6816,0,2,3
162,光铸盾卫,,,6818,0,2,3
164,技师,,技师,3581,0,0,0
165,火枪手,,火枪手,5946,278,1,3
166,特工,,特工,3481,0,0,0
167,斥候,,斥候,3481,0,0,0
168,哨兵,,,5947,277,1,3
169,特工,,特工,5962,279,1,3
170,渗透者,,渗透者,3481,280,0,0
171,技师,,,3581,282,1,3
172,战斗专家,,,5947,281,0,0
173,维和者,,维和者,5956,283,1,3
174,追猎者,,追猎者,5960,0,1,3
175,元素萨满祭司,元素萨满祭司,,5963,0,0,1
176,专家,,,5960,290,1,1
177,萨满,,,5963,291,1,3
178,恐怖卫士,,,3487,0,0,1
179,女巫,,,5949,0,1,3
180,工兵,,工兵,3581,0,1,3
181,武僧,,,5953,0,1,3
182,奥术师,,,5948,0,0,0
183,工程师,,工程师,8390,0,0,0
184,敏锐潜行者,敏锐潜行者,敏锐潜行者,5962,0,0,0
185,生存猎人,生存猎人,生存猎人,5947,0,0,0
186,暗影猎手,,暗影猎手,5946,0,0,0
187,鹰巢山大领主,,,5964,0,0,0
188,独狼,,,5947,281,0,0
189,魔导师,,魔导师,5959,0,0,0
190,秘密部队技师,,秘密部队技师,8390,0,0,0
191,驾驶员,,,3581,0,0,3
192,哨兵部队的将军,,,5946,0,0,0
193,联盟部队,,,7709,0,4,7
194,部落部队,,,7710,0,4,7
295,船长,,,7709,0,0,0
296,船长,,,7710,0,0,0
297,迷雾之刃,,,6557,0,0,0
298,指挥官,,,6557,0,0,0
299,癫狂公爵,,,6557,0,0,0
300,迷踪之拳,,,6036,0,0,0
301,汲魂者,,,6557,0,0,0
302,掘墓者,,,6557,0,0,0
303,暗拳武僧,,,6557,0,0,0
304,罪碑投手,,,6557,0,0,0
305,谎言治愈者,,,6557,0,0,0
306,一无所有,,,6557,0,0,0
307,光明之矛,,,6557,0,0,0
308,坚定之拳,,,6557,0,0,0
309,活力医师,,,6557,0,0,0
310,夜刃战士,,,6557,0,3,1
311,魂法师,,,6557,0,3,1
312,方阵兵,,,6557,0,3,1
313,戟兵,,,6557,0,3,1
314,突击者,,,6557,0,3,1
315,吟凋者,,,6557,0,3,1
316,护林者,,,6557,0,3,1
317,诱捕者,,,6557,0,3,1
318,愉悦刺客,,,6557,0,0,0
319,接待员,,,6557,0,0,0
320,镜匠,,,6557,0,0,0
321,管事,,,6557,0,0,0
322,修理工,,,6557,0,0,0
323,拳手,,,2117,0,0,0
325,护林者,,,6557,0,3,9
326,诱捕者,,,6557,0,3,9
327,夜刃战士,,,6557,0,3,9
328,魂法师,,,6557,0,3,9
329,方阵兵,,,6557,0,3,9
330,戟兵,,,6557,0,3,9
331,突击者,,,6557,0,3,9
332,吟凋者,,,6557,0,3,9
333,剑斗士,,,6558,0,1,0
334,憎恶,,,6558,0,1,0
335,“发电机”,,,6558,0,1,0
336,学识大师,,,6558,0,1,0
337,软泥,,,6558,0,1,0
338,骷髅,,,6558,0,1,0
339,憎恶,,,6558,0,1,0
340,巫妖,,,6558,0,1,0
341,角斗士,,,6558,0,1,0
342,装配工,,,6558,0,1,0
343,骷髅,,,6558,0,1,0
344,暗影之刃,,,6558,0,1,0
345,魔药设计师,,,6558,0,1,0
346,骨匠,,,6558,0,1,0
347,屠宰之女,,,6558,0,1,0
348,尊崇之剑,,,6557,0,0,0
349,好帮手,,,6557,0,0,0
350,尽职的构造体,,,6557,0,0,0
351,翼狮大师,,,6557,0,0,0
352,灵豹大师,,,6557,0,0,0
353,勤勉的助理,,,6557,0,0,0
354,候选者,,,6557,0,0,0
355,信徒,,,6557,0,0,0
356,米卡尼科斯的伙伴,,,6557,0,0,0
357,勇气之手,,,6557,0,0,0
358,炫目者,,,6557,0,0,0
359,欺诈者,,,6557,0,0,0
360,温柔的照看者,,,6557,0,0,0
361,寒冰之枪,,,6557,0,0,0
362,星光塑造者,,,6557,0,0,0
363,无名者之眷,,,6557,0,0,0
364,瓦尔仙林的防御者,,,6557,0,0,0
365,瓦尔仙林的匠人,,,6557,0,0,0
366,精魂之牙,,,6557,0,0,0
367,魅夜之角,,,6557,0,0,0
368,森林之眼,,,6557,0,0,0
369,黎明之枝,,,6557,0,0,0
370,照看者,,,6557,0,0,0
371,狩猎队长,,,6557,0,0,0
372,护林者,,,6557,0,0,0
373,晋升者,,,6557,0,0,0
374,候选者,,,6557,0,0,0
375,掌炉宗师,,,6557,0,0,0
376,野人,,,2117,0,0,0
377,玻璃大师,,,6557,0,0,0
378,巫妖,,,6558,0,1,0
379,铁匠,,,6558,0,1,0
380,赐福伙伴,,,6558,0,1,0
381,激情角斗士,,,6558,0,1,0
382,坚不可摧,,,6558,0,1,0
383,武器匠,,,6557,0,0,0
384,军需官,,,6557,0,0,0
385,使者,,,6557,0,0,0
386,孢子,,,6557,0,0,0
387,编织者,,,6557,0,0,0
388,信使,,,6557,0,0,0
389,秘士,,,6557,0,0,0
390,灵魂向导,,,6557,0,0,0
391,保护者,,,6557,0,0,0
392,愈合之翼,,,6557,0,0,0
393,农夫,,,6557,0,0,0
394,艺人,,,6557,0,0,0
395,贵族,,,6557,0,0,0
396,复原者,,,6557,0,0,0
397,按摩师,,,6557,0,0,0
398,镇定的仆人,,,6557,0,0,0
400,考古学家,生存猎人,,5946,0,0,0
