ID,NameSubtext_lang,Description_lang,AuraDescription_lang
136,,"在$d内为你的宠物恢复$<total>%的最大生命值。$?s343242[

每次使用治疗宠物进行治疗时，都有$343242s2%的几率为你的宠物净化一个有害的魔法效果。][]","每$t1秒为宠物恢复$w1%的生命值。$?s343242[
每次使用治疗宠物进行治疗时，都有$343242s2%的几率为你的宠物净化一个有害的魔法效果。][]"
139,,让目标满怀对圣光的信仰，在$d内恢复$o1点生命值。,每$t1秒恢复$w1点生命值。
172,,腐蚀目标，造成$s3点暗影伤害，并且$?a196103[每$146739t1秒造成$146739s1点暗影伤害。][在$146739d内造成$146739o1点暗影伤害。],
184,,为盟友施加火焰之盾，每$t1秒对其周围的所有敌人造成火焰伤害，持续$d。,每$t1秒对施法者周围的所有敌人造成火焰伤害。
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
227,,,
228,等级 2,将敌人变成一只鸡，使其不能施法，伤害能力降低$s3%，最多持续$d。,不能施法，伤害能力降低$s3%。
246,,使敌人的移动速度降低$s2%，攻击速度降低$s1%，持续$d。,"移动速度降低$s2%。
攻击速度降低$s1%。"
261,,,
264,,,
265,,轰杀半径30码范围内的所有敌人，爽吧……,
266,,,
269,,,
339,,"将目标固定在原地，持续$d。任何伤害都可能会取消此效果。$?s33891[

|C0033AA11生命之树：瞬发。|R][]",被定身。$?<$w2>0>[每$t2秒受到$w2点自然伤害。][]
348,,"用火焰灼烧敌人，立即造成$s1点火焰伤害，并在接下来的$157736d内额外造成$157736o1点火焰伤害。

|cFFFFFFFF周期性伤害可产生1块灵魂碎片裂片，爆击时还有$s2%几率额外产生1块。|r",
355,,嘲讽目标攻击你。,被嘲讽。
370,,"净化敌方目标，移除$m1个有益魔法效果。$?(s147762&s51530)
[成功净化一个目标后会获得一层漩涡武器。][]",
379,,$@spelldesc974,
408,,"终结技，使目标昏迷$?a426588[并产生暗影克隆体，使周围的所有敌人昏迷][]。根据连击点数决定持续时间，最多$s2秒：
   1点：${$m2-4}秒
   2点：${$s2-3}秒
   3点：${$s2-2}秒
   4点：${$s2-1}秒
   5点：$s2秒",昏迷。
427,,传送到修道院！！！,
428,,,
430,,在$d内恢复总计${$m2/5*18}点法力值，喝水时必须保持坐姿。,每秒恢复${$m2/5}点法力值。
431,,在$d内恢复总计${$m2/5*21}点法力值，喝水时必须保持坐姿。,每秒恢复${$m2/5}点法力值。
432,,在$d内恢复总计${$m2/5*24}点法力值，喝水时必须保持坐姿。,每秒恢复${$m2/5}点法力值。
433,,在$d内恢复${$m1*18/5}点生命值，进食时必须保持坐姿。,每秒恢复${$m1/5}点生命值。
434,,在$d内恢复${$s1*$d/5}点生命值。进食时必须保持坐姿。,每秒恢复$/5;s1点生命值。
435,,在$d内恢复${$s1*$d/5}点生命值，进食时必须保持坐姿。,每秒恢复$/5;s1点生命值。
436,,恢复$s1点法力值。,
437,,恢复$s1点法力值。,
438,,恢复$s1点法力值。,
439,,恢复$s1点生命值。,
440,,恢复$s1点生命值。,
441,,恢复$s1点生命值。,
442,,传送到北郡修道院！！！,
443,,传送到兵营！！！,
444,,传送到灯塔！！！,
445,,传送到夜色镇！！！,
446,,传送到墓地！！！,
447,,传送到树人！！！,
453,,安抚目标区域的敌人，使其警戒范围减少$s1码。只对人型和龙类目标有效。不会产生威胁值。持续$d。,减小目标的警戒范围。
458,,召唤或解散一匹可供骑乘的棕马。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
459,,召唤或解散一头可供骑乘的灰狼。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
465,,使$a1码范围内的小队和团队成员受到自身虔诚的激励，受到的伤害降低$s1%。,受到的伤害降低$w1%。
467,,使友方目标身上环绕着荆棘，敌人命中后会对其造成$?s33876[${$M1+($AP*.168)}][${($M1+($SP*.168))*$<mult>}]点自然伤害。$?s84840[由复仇效果获得的攻击强度不会提高荆棘术的伤害。 ][]持续$d。,对攻击者造成$w1点自然伤害。
468,,召唤或解散一匹可供骑乘的白马。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
470,,召唤或解散一匹可供骑乘的黑马。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
471,,召唤或解散一匹可供骑乘的褐色马。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
472,,召唤或解散一匹可供骑乘的杂色马。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
475,,从一个友方目标身上移除所有诅咒。$?s115700[如果成功移除任何诅咒，在接下来的$115701d内你造成的伤害提高$115701s1%。][],
483,,,
498,,使你受到的所有伤害降低$s1%，持续$d。能够在昏迷中使用。,"受到的伤害降低$w1%。$?a469439[

治疗效果提高$w2%。][]"
512,等级 2,在敌人周围形成冰封的链条，将目标锁定在原地，持续$d。,被定身在原地。
514,,,
518,,从安其拉深处召唤出一群范克瑞斯的爪牙。,
522,,,
527,,驱散目标身上的有害效果，移除所有魔法$?s390632[和疾病][]效果。,
528,,驱散敌方目标身上的魔法，移除$m1个增益魔法效果。,
530,,,
546,,使友方目标可以在水面行走，持续$d。伤害会解除水上行走效果。,可以在水上行走。
550,等级 1,目标对毒素免疫，并且治愈所有当前中毒状态，持续时间$d。,免疫毒药。
556,,让你穿越扭曲虚空，回到$z。与不同地区的旅店老板谈话可以改变你的家所在的位置。,
568,,对$a1码内所有敌人造成$s1点奥术伤害，使其移动速度降低$s3%并将其击退。,移动速度降低$s3%。
578,,召唤或解散一头可供骑乘的黑狼。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
579,,召唤或解散一头可供骑乘的赤狼。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
580,,召唤或解散一头可供骑乘的森林狼。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
581,,召唤或解散一头可供骑乘的冬狼。,$?j1g[地面移动速度提高$j1g%。][]$?j1f[飞行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
585,,惩击一名敌人，造成$s1点神圣伤害$?s231682[，吸收接下来该目标造成的$<shield>点伤害]?s231687[，并有$231687s1%几率重置神圣之火的冷却时间][]。,
586,,"渐隐，移除你的所有威胁值并缩短敌人对你的攻击距离，持续$d。
","威胁等级降低。敌人对你的攻击距离缩短。$?e3
[
受到的伤害降低$s4%。][]"
589,,"黑暗的咒语，立即造成$?a390707[${$s1*(1+$390707s1/100)}][$s1]点暗影伤害，并在接下来的$d内额外造成$?a390707[${$o2*(1+$390707s1/100)}][$o2]点暗影伤害。$?s137033[

|cFFFFFFFF产生${$m3/100}点狂乱值。|r][]",每$t2秒受到$w2点暗影伤害。
596,,强大的祷言，为你的目标及其周围$A2码内的${$s3-1}名受伤的盟友恢复$s2点生命值。,
603,,"让末日降临在目标身上，立即造成$s2点暗影伤害，并在$d后对$453567a1码内的敌人造成$453567s1点暗影伤害。目标超过$s1个时伤害降低。

消耗一个恶魔之核使末日降临的持续时间缩短$s3秒。",即将迎来末日，引起剧烈爆炸，对$453567a1码内的敌人造成$453567s1点暗影伤害。
605,,控制一个等级不高于你的等级+1的目标，持续$d。对恶魔$?A320889[][、亡灵]或机械类生物无效。与其他迷惑类效果共享递减效果。,受到$@auracaster的控制。
606,等级 1,从目标身上吸取$o1点法力值，持续$d。,"Mana drain, $s1 points every 5 seconds."
633,,"治疗一个友方目标，数值相当于你的最大生命值的$s2%。$?a387791[

提高目标$387792s1%的护甲值，持续$387792d。][]

无法对有自律效果的目标使用。造成自律效果，持续$25771d。",
642,,"你对所有的伤害、有害效果、击退和强制移动效果免疫，持续$d。$?a204077[嘲讽15码内所有目标。][]

带有自律效果时无法使用。造成自律效果，持续$25771d。",免疫一切攻击和有害效果。
668,,,
669,,,
670,,,
671,,,
672,,,
673,,护甲提高$m1点，持续$d。守护药剂。,护甲值提高$w1点。守护药剂。
674,被动,可以在副手上装备单手和副手武器。,
686,,"向敌人发射一支暗影箭，对其造成$s1点暗影伤害。$?c2[

|cFFFFFFFF产生1个灵魂碎片。|r][]",
688,召唤,召唤一个小鬼为你作战，小鬼会施放远程火焰箭。,
691,召唤,召唤一只地狱猎犬为你作战，地狱猎犬能够扰乱敌人施法。,
697,召唤,召唤一个虚空行者为你作战，虚空行者能经受住大量打击。,
698,,开启一个召唤传送门的仪式，需要施法者和2名盟友来完成。该传送门可用来召唤小队或团队成员。,
700,等级 1,使敌人进入睡眠状态，最多持续$d。任何对目标造成伤害的行为都会唤醒它。同一时间内只能有一个目标被催眠。$ctrmax2067级以上的敌人抵抗该效果的几率提高。,沉睡。
702,,"使敌人的攻击间隔延长$s1%，持续$d。$?s103112[

|CFFE55BB0灵魂燃烧：你的虚弱诅咒会影响你目标周围半径$104222A码范围内的所有敌人。|R][]

|cFF8282FF诅咒：对于一个目标，每个术士只能施加一种诅咒。|r",攻击间隔延长$w1%。$?e1[爆击几率降低$w2%。][]
703,,"对敌人施放锁喉，在$d内对其造成$o1点流血伤害。$?a196861[在潜行状态下施放时可以使目标沉默$1330d。][]

|cFFFFFFFF奖励$s3个连击点数。|r",每$t1秒受到$w1点伤害。
710,,放逐一个敌方恶魔、畸变怪$?s386651[、亡灵][]或元素生物，使其无法行动，持续$d。只能对一个目标使用。再次对目标施放放逐术会取消该效果。,不会受到任何伤害，但也无法做出任何动作。
712,召唤,召唤一个魅魔为你作战，魅魔能魅惑人形生物，阻止其发动攻击。,
720,,顽强的范克瑞斯的巢穴将目标拖至附近异种巢虫的路径中，并将其纠缠$d。,被纠缠。
731,,顽强的范克瑞斯的巢穴将目标拖至附近异种巢虫的路径中，并将其纠缠$d。,被纠缠。
740,,"在$d内为$a2码范围内的所有盟友恢复$<healing>点生命值。每次治疗可为目标额外在$157982d内恢复$157982o2点生命值。此效果可叠加。

目标超过$s3个时治疗效果降低。",每$t1秒为$a1码范围内的所有盟友恢复$157982s1点生命值。
742,,,
744,,每$t1秒对目标造成一次自然伤害，持续$d。,每$t1秒受到一次自然伤害。
745,,使目标无法移动，持续$d。,无法移动。
746,等级 1,在$d内恢复$o1点生命值。,每秒恢复$w1点生命值。
747,,召唤$s1个施法者的幻象。,
750,,使你可以装备板甲类护甲物品。,
755,,在$d内牺牲${$m3*$d/$t1}%的最大生命值，为你召唤的恶魔恢复双倍的生命值。,正在转移生命值。
759,,"制造一颗法力宝石，用来立即回复$5405s1%的法力值，并使法术伤害提高$384280s1%，持续$384280d。最多可使用$s2次。

$@spellname118812
$@spelldesc118812",
768,变形,"进入猎豹形态，自动攻击伤害提高$s4%，移动速度提高$113636s1%，对变形效果免疫，并降低坠落伤害。

变形可以解除你身上的移动限制效果。","自动攻击的伤害提高$w4%。
免疫变形效果。
移动速度提高$113636s1%并减少坠落伤害。"
772,,"重伤目标，立即造成$s1点物理伤害，并在随后的$388539d内额外造成$388539o1点流血伤害。$?s6343[

|cFFFFFFFF雷霆一击会使附近的$6343s5个目标受到撕裂影响。
][]",每$t2秒受到$w2点流血伤害。
774,,"在$d内为目标恢复$o1点生命值。$?s155675[

你可以对同一个目标施加两次回春术。][]$?s33891[

|C0033AA11生命之树：治疗效果提高$5420s5%，法力消耗降低$5420s4%。|R][]",每$t1秒恢复$w1点生命值。
781,,向后跳跃$?s109215[，解除移动限制效果，并使你在$118922d内移动速度提高$118922s1%][]$?s109298[，并激活一个蛛网陷阱，使$115928A1码范围内的所有目标都被黏黏的蛛网缠住且无法移动，持续$136634d][]。,
783,变形,"变形为适合当前地形的旅行形态，提高地面、游泳或飞行速度，并免疫变形效果。

变形可以解除你身上的移动限制效果。$?a159456[

在战斗外使用时会提高地面移动速度。该效果在战场和竞技场中不起作用。][]",免疫变形效果。移动速度提高。
785,,被预言者斯克拉姆的力量所转化，神圣的力量充盈在目标的体内。受到转化时，目标的所有法术皆变为瞬发，造成的伤害提高$s2%，所有抗性提高$2313s2点，并且移动速度提高$2313s3%，持续$d。,"被魅惑。
伤害提高$s2%。
所有法术瞬发。
所有抗性提高$2313s2点。
移动速度提高$2313s3%。"
799,,,
800,,,
802,,使附近的圣甲虫的生命值和伤害提高。,"生命值提高$s1%。
攻击伤害提高$s3%。"
804,,将能量注入一只圣甲虫体内，使其在$t1秒后爆炸。,即将爆炸。
806,,使你的力量提高$s1点，但是每$m2秒对你造成$s2点伤害，持续$d。,力量提高，但是受到持续的伤害。
812,,周期性地施放法力燃烧。,周期性地施放法力燃烧。
813,,,
814,,,
815,,,
816,,,
817,,,
818,,点起一堆营火，使附近所有冒险者的全能提高$7353s1，并可以在营火旁烹饪。,
822,被动种族特长,受到的奥术伤害降低$s1%。,
823,,,
824,被动,,
825,被动,,
826,被动,,
827,,骑乘速度提高$s1点。,
828,被动,,
829,,,
830,,,
831,,,
833,,立刻恢复$s1点生命值，并在$d内恢复$o2点法力值。饮用时必须保持坐姿。,每秒恢复$/5;s2点法力值。
835,,使目标昏迷$d。$ctrmax2067级以上的目标对这个效果的抵抗几率更高。,昏迷。
836,,,
845,,打击你前方的所有敌人，造成$s1点物理伤害并施加重伤效果。顺劈斩会消耗你的压制效果来造成更多的伤害。目标数量超过$s2个后造成的伤害降低。,
851,等级 3,将敌人变成一只不能施法、不能攻击的绵羊，移动速度降低$s2%，最多持续$d。,不能施法或攻击，移动速度降低$s2%。
853,,使目标昏迷$d。,昏迷。
871,,你受到的所有伤害降低$s1%，持续$d。,受到的所有伤害降低$w1%。
883,,召唤你的第一个宠物。,
898,,制造一瓶热情药水。,
921,,收集目标携带的物品。,
932,,恢复目标的法力值。,
952,,,
974,,"用大地之盾保护目标，使你对其造成的治疗效果提高$s1%，在其受到伤害时为其恢复${$379s1*(1+$s1/100)}点生命值。这个治疗效果每$?a462454[${$proccooldown+($462454s2/1000)}.1][$proccooldown]秒只能触发一次。$?a1217622[持续$d][最多拥有$u层充能]。

$?s383010[同一时间只能在萨满祭司以及另一个目标身上施放大地之盾。萨满祭司最多可激活两种元素护盾。][同一时间只能在一个目标身上施放大地之盾。萨满祭司在同一时间只能激活一种元素护盾。]","$?$w3!=0[受到的伤害降低$w3%。

][]受到伤害时会恢复${$w2*(1+$w1/100)}点生命值。"
980,,"使目标受到越来越深的痛楚，在$d内造成最多${$s1*$d/$t1*$u}点暗影伤害。该伤害在初期较低，但随着持续时间会不断提高。在目标身上刷新痛楚时会保持其当前的伤害。

|cFFFFFFFF痛楚造成伤害有几率产生1块灵魂碎片。|r",每$t1秒遭受$w1点暗影伤害。伤害随时间逐步提高。
982,,复活你的宠物，并为其恢复$s1%的基础生命值。,
1022,,"祝福一名小队或团队成员，使其免疫所有物理伤害和有害效果，持续$d。

无法对有自律效果的目标使用。造成自律，持续$25771d。$?c2[

与破咒祝福共享冷却时间。][]","免疫物理攻击与有害效果。$?a469770[

移动速度提高$w4%。][]"
1044,,祝福一名小队或团队成员，使其免疫任何移动限制效果，$?s199325[并使其移动速度提高$199325m1%，][]持续$d。,对一切移动限制效果免疫。$?s199325[移动速度提高$199325m1%][]
1050,,,
1064,,为友方目标恢复$s1点生命值，然后跳跃到最多$?a236502[${$s3*(($236502s2/100)+1)}][$s3]码范围内受伤最重的$<jumps>名盟友进行治疗。治疗效果每跳一次就会降低$s2%。,
1066,变形,"变形进入水栖形态，使德鲁伊的游泳速度提高$5421s1%，并使其可以在水下呼吸。还使施法者免疫变形效果。

变形可以解除施法者身上的移动限制效果。",免疫变形效果。游泳速度提高$w2%，并可以在水下呼吸。
1079,,"终结技，使目标持续受到流血伤害。连击点数越多，持续时间越长。

   1点：在${$d*2}秒内造成${$o1*2}点伤害
   2点：在${$d*3}秒内造成${$o1*3}点伤害
   3点：在${$d*4}秒内造成${$o1*4}点伤害
   4点：在${$d*5}秒内造成${$o1*5}点伤害
   5点：在${$d*6}秒内造成${$o1*6}点伤害",每$t1秒受到$w1点流血伤害。
1090,等级 2,使敌人进入睡眠状态，最多持续$d。任何对目标造成伤害的行为都会唤醒它。同一时间内只能有一个目标被催眠。对高于$ctrmax2067级的敌人不一定成功。,沉睡。
1098,,制伏等级不超过$s1的目标恶魔，迫使其听从你的命令，持续$d。,被$@auracaster奴役。
1121,,顽强的范克瑞斯的巢穴将目标拖至附近异种巢虫的路径中，并将其纠缠$d。,被纠缠。
1122,守卫,"从扭曲虚空召唤出地狱火，对坠落区域内的所有敌人造成$22703s1点火焰伤害，并使其昏迷$22703d。

地狱火会在$111685d内为你作战，每$19483t1秒对附近所有敌人造成${$20153s1*(100+$137046s3)/100}点伤害，并且每$264364t1秒就会产生$264365s1块灵魂碎片裂片。",
1126,,"将野性之力注入一名友方目标的体内，使其全能提高$s1%，持续60分钟。

如果目标在你的小队或团队中，则全体小队和团队成员都会获得此效果。",全能提高$w1%。
1127,,在$d内恢复${$m1*5}点生命值。进食时必须保持坐姿。,每秒恢复${$m1/5}点生命值。
1129,,在$d内恢复${$s1*$d/5}点生命值，进食时必须保持坐姿。,每秒恢复$/5;s1点生命值。
1130,,"给目标加上猎人印记，使所有攻击者对该目标造成的远程伤害都提高$s2%。被施加印记的目标无法摆脱猎人的追踪。

奥术射击、奇美拉射击、杀戮命令和爆炸射击会自动施加猎人印记。

持续$d。",所有攻击者对该目标造成的远程伤害都提高$s2%。无论是潜行还是隐身，都无法摆脱猎人的追踪。
1131,,"在$d内恢复${$s1*$d/5}点生命值。
进食时必须保持坐姿。",每秒恢复$/5;s1点生命值。
1132,,,
1133,,在$d内恢复总计${$m2/5*27}点法力值，喝水时必须保持坐姿。,每秒恢复${$m2/5}点法力值。
1135,,在$d内恢复总计${$m2/5*30}点法力值，喝水时必须保持坐姿。,每秒恢复${$m2/5}点法力值。
1137,,在$d内恢复总计${$m2/5*30}点法力值，喝水时必须保持坐姿。,每秒恢复${$m2/5}点法力值。
1139,,使目标的攻击间隔延长$s1%，持续$d。,攻击速度降低。
1159,等级 2,在$d内恢复$o1点生命值。,每$t1秒治疗$s1点伤害。
1160,,"$?s199023[使$A2码内的所有敌人士气下降，造成的伤害降低$s1%，持续$d。][使$A2码内的所有敌人士气下降，对你造成的伤害降低$s2%，持续$d。]$?s202743[

|cFFFFFFFF产生${$m5/10}点怒气。|r][]","$?s199023[士气下降，造成的伤害降低$w2%。][士气下降，对$@auracaster造成的伤害降低$w1%。]$?s202743[
受到$@auracaster的伤害提高$w3%。][]"
1161,,嘲讽$A1码范围内的所有敌人，使其攻击你，持续$d。,被嘲讽。
1178,,,
1180,,,
1234,,"吸收致命伤害。
每$t2秒恢复$s2%的生命值。

","吸收致命伤害。
每$t2秒恢复$s2%的生命值。"
1329,,"用两把武器进行攻击，总计造成$<dmg>点物理伤害。

|cFFFFFFFF奖励$s2个连击点数。|r",
1330,,使一个敌人沉默$d。,沉默。
1364,等级 4,,
1373,召唤,,
1386,等级 4,,对亡灵所造成的近战、远程和法术伤害提高$s1%。
1446,变形,,
1449,,"制造一次以施法者为中心的魔法爆炸，对$A2码范围内的所有敌人造成$s2点奥术伤害。$?a137021[

|cFFFFFFFF如果击中目标，则产生$s1层奥术充能。|r][]",
1454,,消耗$s2%的最大生命值，获得${$s1/10}个灵魂碎片。,
1459,,"为目标注入智慧的能量，使其智力提高$s1%，持续$d。

如果目标在你的小队或团队中，则全体小队和团队成员都会获得此效果。",智力提高$w1%。
1462,,收集目标野兽的相关资料，显示其饮食习惯、技能、专精、能否被驯服，以及是否属于奇珍异兽。,显示相关资料。
1463,,战斗时，魔法能量流遍全身，使你的伤害最多提高${$116267m1*5}%，随后衰退至$116267s1%。每隔10秒循环一次。,
1464,,"猛击对手，对其造成$s1点物理伤害。$?s388903[

|cFFFFFFFF产生${$388903s6/10}点怒气。][]",
1485,,使用远程武器攻击目标。,
1490,,$@spelldesc255260,受到的魔法伤害提高$s1%。
1494,,在小地图上显示附近所有野兽的位置。,正在追踪野兽。
1513,,恐吓一头野兽，使其因恐慌而逃跑，最多持续$d。任何伤害都有可能打断这个效果。每个猎人在同一时间内只能恐吓一头野兽。,恐惧。
1515,,"$?a166615[|CFFFF2020你必须解散当前的宠物才能驯服新宠物。|CFFFFD200

][]尝试驯服一只野兽，使其成为你的伙伴。一旦你因为任何原因而失去了它的注意力，驯服过程就将失败。

你必须解散任何当前激活的野兽伙伴并且有一个空的召唤宠物空格才能驯服新宠物。只有野兽控制专精的猎人才能驯服奇珍异兽。",正在驯服宠物。
1516,等级 1,,
1522,,,
1528,,使你的主人逃脱任何束缚和禁锢。,
1536,,,
1538,,在三座葬礼火堆上为赫尔库拉魔棒充能。,
1539,,使用指定的食物为你的宠物喂食，为其恢复$1539s1%的总生命值。无法在战斗中使用。,
1543,,使指定区域内的所有潜行和隐形的敌人暴露，持续$m1秒。,
1557,,移动速度提高$s1,
1588,,,
1604,,强力的打击，令目标强制离开坐骑，移动速度降低$s1%，持续$d。,移动速度降低$s1%。
1609,,,
1645,,传授狼人双重形态技能。,
1650,,,
1680,,释放出钢铁旋风，$?s202316[猛击你的主要目标，并][]对附近所有敌人造成$<baseDmg>点物理伤害。目标数量超过$s1个后造成的伤害降低。,
1706,,让一名队伍或团队成员漂起，持续$111759d，悬浮在离地面几尺的空中，下落速度减慢，并且可以越过水面。,漂浮。
1714,,"强迫目标使用恶魔语，使其所有法术的施放时间延长$s1%，持续$d。$?s103112[

|CFFE55BB0灵魂燃烧：你的语言诅咒会影响你目标周围半径$104224A码范围内的所有敌人。|R][]

|cFF8282FF诅咒：对于一个目标，每个术士只能施加一种诅咒。|r",以恶魔语念出咒语，使施法时间延长$w1%。
1715,,使敌人残废，造成$s2点物理伤害，并降低$s1%的移动速度，持续$d。,移动速度降低$s1%。
1719,,"变得狂暴，所有产生的怒气提高$s1%，并使你的技能的爆击几率提高$s4%，持续$d。$?a396749[

|cFFFFFFFF产生${$s3/10}点怒气。|r][]","产生的怒气提高$w1%。
所有技能的爆击几率提高$w4%。"
1725,,投掷物体吸引附近所有怪物的注意力，持续$s1秒。可在潜行状态下使用。,
1752,,"凶狠地攻击一名敌人，造成$s1点物理伤害。

|cFFFFFFFF奖励$s2个连击点数。|r",
1766,,快速用脚踢目标，打断其正在施放的法术，并使其在$d内无法施放该系的任何法术。,
1776,,"凿击敌方目标，令其瘫痪$d。伤害可能打断此效果。

只能在目标的前方施放。

|cFFFFFFFF奖励$s2个连击点数。|r",瘫痪。
1784,,使你进入潜行状态直到取消为止，悄悄地接近敌人而不被发现。$?s14062[潜行时移动速度提高$s3%，造成的伤害提高$s4%。]?s108209[潜行时技能的消耗降低$112942s1%。][]$?s31223[潜行状态下或脱离潜行之后$31223s1秒内进行的攻击将额外造成$31665s1%的伤害。][],"潜行。$?$w3!=0[
移动速度提高$w3%。][]"
1800,,,
1804,,可以打开需要开锁技能达到$PL点的锁住的箱子和门。,
1809,初级,,
1810,中级,,
1822,,"斜掠目标，造成$s1点流血伤害，并在$155722d内额外造成$155722o1点流血伤害。$?s48484[使目标的移动速度降低$58180s1%，持续$58180d。][]$?a231052[

如果在潜行时使用，则使目标昏迷$163505d，而且伤害提高$s4%。][]$?a405834[

如果在潜行时使用，则使目标昏迷$163505d，而且伤害提高$s4%。][]

|cFFFFFFFF奖励$s2个连击点数。|r",
1825,,将你的宠物的控制权转给另一个玩家。,
1833,,"使目标昏迷$d。

|cFFFFFFFF奖励$s2个连击点数。|r",昏迷。
1834,,提高移动速度,移动速度提高$s1%。
1843,,正在解除陷阱……,
1844,,如果在此效果激活时被缴械，阿图门会选择使用一套新能力。,
1848,,,
1850,,变形进入猎豹形态，并使你在猎豹形态下的移动速度提高$s1%，持续$d。,在猎豹形态下移动速度提高$s1%。
1852,,GM禁言工具。,你只能与GM谈话。
1856,,使你从敌人的视野中消失，在战斗中进入潜行模式。消失后的最初$11327d内，受到伤害和有害效果影响都不会脱离潜行。同时解除一切移动限制效果。,强化潜行。
1860,被动,减少从高处坠落所受的伤害。,
1881,,,
