ID,Text_lang
35,黑暗狂热者神秘的黑暗仪式会考验参与者的意志，使其突破临界点。从仪式中活下来的人能够将自己完全隐藏在阴影中。
36,盗匪与普通的罪犯并无太大区别，无冕者常派他们用偷窃或暴力的手段获取情报与货物。
37,迪菲亚兄弟会这些久经考验的法外狂徒以反抗贵族的腐败统治为己任，他们通常戴着红色的面罩，象征着受压迫者的鲜血。
38,“这里居然有决斗场？无论如何都要堕落成赌鬼的话，不如当个能打的赌鬼。”——乔拉齐·拉文霍德
39,血帆海盗无论在海上还是陆地、无论清醒还是喝醉状态下都能战斗。他们的对手远远看到血红色的船帆时，通常就会吓得放弃抵抗直接投降。
40,小型元素是地位较低的元素生物，靠压倒性的数量吞没敌人。
41,只有最强大的萨满才能召唤并支配巨型元素。换做其他人，很可能会命丧巨型元素之手。
42,“倾听脚下的大地并不需要耳朵，因为大地之声无需言语。”——唤地者耶法
43,“如果你能支配敌人脚下的土地，那他们想击败你简直是异想天开。”——地卜师贾卡拉
44,老练的空气萨满能够化身成为元素之力的导体，将身体包裹在狂怒的风暴中，化身为空气升腾者。
45,烈焰升腾者将火焰注入自己的体内，与烈焰融为一体，将敌人烧成灰烬。
46,超越肉体的束缚、接受水元素的流水升腾者驾驭流水多变而洁净的力量，如同大海一般深沉而强大。
47,小鬼是低阶恶魔，常常因为单体力量薄弱而被低估。但集群之后，它们前赴后继，最让人头疼的一点就是很难把它们赶尽杀绝。
48,“我们不知道它们从哪儿冒出来的。我刚刚还在对敌人降下火雨，一转眼就发现一大群这种小鬼东西到处乱丢邪能箭。”——露露贝拉·菲兹班
49,黑暗收割议会的助祭愿意为了探求禁断的知识献出一切，包括彼此的生命。很多新加入的助祭常常在实验性仪式中丧命。
50,黑暗收割议会中很少有助祭能晋升为祈祷者，因为他们常常会被自己在晋升仪式中召唤出来的黑暗能量吞噬。
51,“我们抓来的维库囚犯用怪异而悲伤的眼神看着死去的同伴。就好像他们羡慕死者一样。”——瓦里安·乌瑞恩国王
52,能够在死后的生命中证明自己的瓦拉加尔得到的奖励是纯粹的金属与天空中的闪电打制的身躯。
53,女武神的性格耿直，战术也是直来直往，她们追求在战斗中证明自己的价值，让自己的名字在奥丁的英灵殿中永世流传。
54,瓦尔基拉会挑选最强大的女武神为泰坦监护者艾尔效力。如果瓦尔基拉女武神英勇战死，则将会被选为传说的瓦格里。
55,砮皂的回响坚毅顽强，能抵御最强大的敌人。
56,赤精的回响能用美妙的歌声恢复盟友的士气，给他们活力和希望。
57,雪怒的回响代表了白虎天神的凶猛与灵敏，能在战场上造成难以置信的伤害。
58,这名守护者能唤起古老的冲突中被遗忘的能量，令自然展现出可怕的一面，并再现支配万物的生死循环。
59,激荡的天神之力将力量、重生与野性赋予他们选中的盟友。
61,手持切肉刀和肉钩的憎恶由若干具尸体缝合而成，魁梧、强大而野蛮，时刻准备着将敌人一刀撂倒。
64,他们乘着坐骑冰封的双翼，将怒火和复仇降到受害者的头上。那些面对寒霜骑士的人很快就会开始畏惧头顶的天空。
65,这些高大的恶魔女祭司俯视战场，用六条手臂挥舞长剑，在敌阵中杀出一条血路。在面对这些怪物时，对于战斗稍有概念的人都该懂得放弃。
66,梦境林地的守护者都是从小招募和训练的。他们远离家人，与林地本身产生了紧密的联系。只要有任何威胁靠近林地，都会让他们感受到切肤之痛。
67,在夜之子中非常少见的猎人是伏击的专家。他们经常利用魔法回廊的地形进行攻击，然后在敌人发现之前悄然远遁。
68,这些训练有素的卫兵曾发誓保护肯瑞托，是战场上不容忽视的可怕力量。他们能够极其精准地对敌方阵列发动强大的协同攻击。
69,虽然许多武僧弟子都会专注于某位至尊天神的流派，但宁静大师们相信，均衡发展可以让他们更接近启迪。
70,十字军只出现在最险恶的战场上，是白银之手的攻坚部队。
71,如果你看到一位带着兜帽的牧师向你走来，那你最好转身换条路走，甚至是用跑的。
72,拉文霍德的私人卫兵。每当有“特殊”情况发生时，他们才会出动。
73,虽然大分裂的余波仍在，大地之环还是响应号召来到了破碎群岛。燃烧军团的威胁太强大了，需要团结一切可团结的力量。
74,魁梧的野蛮战士，以破坏为乐。许多人认为他们没有脑子，其实对恶魔而言，他们相当聪明。
75,只有最精锐、最久经战火考验的士兵才能加入突击队。
76,光铸者是坚定的战士，坚持着一场看似毫无胜算的战争。他们沐浴在圣光中，以圣焰为武器，足以在低级恶魔中轻松杀出重围。
77,克罗库在阿古斯地狱般的环境中逃过了灭顶之灾并得以存续。他们是生存专家。
78,艾瑞达斯的破碎者虽然逃过了邪能的魔掌，却还是屈服于虚空的力量。少数灵媒克罗库虽然心智尚存，但还是无法摆脱与虚空的联系。
79,在强大的牛头人部族当中，恐怖图腾是出了名的好战分子。他们穷凶极恶、好勇斗狠。有了这群凶悍的战士，玛加萨的部队势不可挡。
80,恐怖图腾的战士战斗的目的是消灭牛头人的敌人。对恐怖图腾来说，几乎所有种族都是牛头人的敌人。但是，只要玛加萨还留在大漩涡，恐怖图腾就会协助大地之环。
181,合约招募的精锐部队。
182,斯通哈克很喜欢扔他的罪碑。当敌人屈服于他先前的罪行时，飞溅的血肉和碎裂的骨头会让他乐开花。
