Name_lang,Description_lang,ID,JournalEncounterID,CreatureDisplayInfoID,FileDataID,OrderIndex,UiModelSceneID
拉夏,,430,130,33177,522262,0,66
乌比斯将军,,431,131,31498,522227,0,9
铸炉之主索朗格斯,,432,132,33429,522226,0,66
达加·燃影者,,433,133,31792,522218,0,9
瓦里昂娜,,434,133,31795,522276,1,9
埃鲁达克,,435,134,33428,522222,0,9
阿尔加洛斯,,463,139,35426,522198,0,9
欧库塔尔,,464,140,37876,523207,0,9
尼希尔,北风之主,555,154,35232,522256,1,9
安舍尔,西风之主,556,154,35233,522196,0,9
洛哈西,东风之主,557,154,35234,522265,2,9
奥拉基尔,,558,155,35248,522191,0,9
哈尔弗斯·碎龙者,,559,156,34816,522232,0,66
瓦里昂娜,,560,157,34812,522277,1,9
瑟纳利昂,,561,157,34813,522274,0,9
泰拉斯卓,土之升腾者议员,562,158,34824,522273,3,9
源质畸体,升腾者议会成员的组合体,563,158,34825,522221,4,9
伊格纳休斯,火之升腾者议员,564,158,34821,522240,1,9
费伦迪乌斯,水之升腾者议员,565,158,34822,522224,0,9
艾里昂,气之升腾者议员,566,158,34823,522199,2,9
古加尔,,587,167,34576,522212,0,9
希奈丝特拉,,588,168,34335,522270,0,9
电荷金刚,,589,169,32688,522220,2,9
剧毒金刚,,590,169,32684,522275,3,9
熔岩金刚,,591,169,32685,522250,0,9
奥能金刚,,592,169,32687,522197,1,9
熔喉,,593,170,37993,522251,0,9
艾卓曼德斯,,594,171,34547,522202,0,9
奇美隆,,595,172,33308,522211,0,9
马洛拉克,,596,173,33186,522252,0,9
奥妮克希亚,,599,174,32569,522257,1,9
奈法利安,,600,174,32716,522255,0,9
高阶祭司温诺希斯,,601,175,37788,522236,0,9
血领主曼多基尔,,602,176,37816,522209,0,9
格里雷克,,603,177,8390,522230,0,9
哈扎拉尔,,604,178,37832,522233,0,9
雷纳塔基,,605,179,37830,522263,0,9
乌苏雷,,606,180,37831,522279,0,9
高阶祭司基尔娜拉,,607,181,37805,522238,0,9
赞吉尔,,616,184,37813,522280,0,9
碎神者金度,,617,185,37789,522243,0,9
埃基尔松,,618,186,21630,522190,0,9
纳洛拉克,,619,187,21631,522254,0,9
加亚莱,,620,188,21633,522242,0,9
哈尔拉兹,,621,189,21632,522231,0,9
妖术领主玛拉卡斯,,622,190,22332,522235,0,9
达卡拉,,623,191,38118,522217,0,9
贝丝缇拉克,,624,192,38227,522208,0,9
雷奥利斯领主,,625,193,38414,522248,0,9
奥利瑟拉佐尔,,626,194,38446,522193,0,9
沙恩诺克斯,,627,195,38448,522268,0,9
管理者鹿盔,,628,197,37953,522223,0,9
拉格纳罗斯,,629,198,37875,522261,0,280
伐木场巨怪,,630,90,33003,523206,1,9
贝尔洛克,,770,196,38621,522204,0,9
泰兰德的残影,,817,283,39617,571749,0,9
姆诺兹多,永恒之主,827,289,38931,536059,0,9
死亡之翼,,855,318,35268,536056,0,9
缚风者哈格拉,,856,317,39318,536057,0,9
阿奎里恩,,862,322,35978,571743,0,9
希尔瓦娜斯的残影,,864,323,38655,571748,0,9
艾萨拉女王,,865,291,39391,571747,0,9
督军佐诺兹,,867,324,39138,536061,0,9
奥卓克希昂,,875,331,39099,571750,0,9
不眠的约萨希,,876,325,39101,536062,0,9
战争大师黑角,,877,332,39399,571752,0,9
莫卓克,,881,311,39094,536058,0,9
佩罗萨恩,,895,290,39182,536060,0,9
阿丽萨巴尔,,896,339,21252,571742,0,9
大主教本尼迪塔斯,,899,341,38991,536053,0,9
贝恩的残影,,900,340,38791,571744,0,9
吉安娜的残影,,903,285,38802,571745,0,9
埃希拉·黎明克星,,904,342,38995,536054,0,9
死亡之翼,,905,333,40087,536055,0,9
玛诺洛斯,,913,292,38996,571746,0,9
禁卫队长瓦罗森,,914,292,39127,571746,1,9
审讯官格斯塔恩,,942,369,8761,607644,0,9
洛考尔,,943,370,5781,607697,0,9
驯犬者格雷布玛尔,,944,371,9212,607647,0,9
控火师罗格雷恩,,945,373,8762,607749,0,9
伊森迪奥斯,,946,374,1204,607694,0,63
典狱官斯迪尔基斯,,947,375,9089,607814,0,9
弗诺斯·达克维尔,,948,376,8704,607602,0,9
贝尔加,,949,377,12162,607549,0,9
怒炉将军,,950,378,8756,607610,0,9
傀儡统帅阿格曼奇,,951,379,8759,607618,0,9
霍尔雷·黑须,,952,380,8658,607650,0,9
法拉克斯,,953,381,8177,607740,0,9
普拉格,,955,383,8652,607741,0,9
弗莱拉斯大使,,956,384,8329,607535,0,9
玛格姆斯,,957,386,12162,607705,0,9
达格兰·索瑞森大帝,,958,387,8807,607595,0,9
欧莫克大王,,959,388,11565,607645,0,9
暗影猎手沃什加斯,,960,389,9732,607769,0,9
指挥官沃恩,,961,390,28281,607810,0,9
烟网蛛后,,962,391,36506,607719,0,9
尤洛克·暗嚎,,963,392,11583,607801,0,9
军需官兹格雷斯,,964,393,9738,607751,0,9
哈雷肯,,965,394,9567,607634,0,9
奴役者基兹鲁尔,,966,395,9564,607615,0,9
维姆萨拉克,,967,396,8711,607737,0,9
瑟雷姆·刺蹄,,973,402,11335,607824,0,9
海多斯博恩,,974,403,5489,607653,0,9
蕾瑟塔蒂丝,,975,404,21012,607686,0,9
荒野变形者奥兹恩,,976,405,14416,607533,0,9
特迪斯·扭木,,977,406,14383,607785,0,9
伊琳娜·暗木,,978,407,11270,607656,0,9
卡雷迪斯镇长,,979,408,14384,607703,0,9
伊莫塔尔,,980,409,14173,607657,0,9
托塞德林王子,,981,410,11256,607745,0,9
卫兵摩尔达,,982,411,11561,607630,0,9
践踏者克雷格,,983,412,11545,607777,0,9
卫兵芬古斯,,984,413,11561,607629,0,9
卫兵斯里基克,,985,414,11561,607631,0,9
克罗卡斯,,986,415,11564,607560,0,9
观察者克鲁什,,987,416,11537,607565,0,9
戈多克大王,,988,417,11583,607673,0,9
群体打击者9-60,,989,418,36560,607572,0,9
格鲁比斯,,990,419,6533,607628,0,9
电刑器6000型,,991,421,36558,607594,0,9
机械师瑟玛普拉格,,992,422,36563,607714,0,9
诺克赛恩,,993,423,11172,607728,0,9
锐刺鞭笞者,,994,424,12389,607756,0,9
工匠吉兹洛克,,995,425,7125,607796,0,9
维利塔恩,,997,427,12334,607699,0,9
被诅咒的塞雷布拉斯,,998,428,12350,607562,0,9
兰斯利德,,999,429,12293,607684,0,9
洛特格里普,,1000,430,13589,607761,0,9
瑟莱德丝公主,,1001,431,12292,607747,0,9
弗雷斯特恩,,1011,443,10482,607637,0,9
阿库麦尔,多头蛇,1012,444,62522,607532,0,91
悲惨的提米,,1013,445,571,607795,0,9
希望破坏者威利,,1014,446,34480,607818,0,9
档案管理员加尔福特,,1016,448,34498,607660,0,9
巴纳扎尔,,1017,449,34424,607551,0,9
不可宽恕者,,1018,450,10771,607792,0,9
安娜丝塔丽男爵夫人,,1019,451,10698,607553,0,9
奈鲁布恩坎,,1021,452,9793,607724,0,9
苍白的玛勒基,,1022,453,10546,607707,0,9
巴瑟拉斯镇长,,1023,454,10433,607791,0,9
吞咽者拉姆斯登,,1024,455,12818,607752,0,9
奥里克斯·瑞文戴尔领主,,1025,456,34837,607692,0,9
哈卡的化身,,1026,457,8053,607548,0,9
预言者迦玛兰,,1027,458,6708,607665,0,9
德姆塞卡尔,,1028,459,7553,608311,0,9
伊兰尼库斯的阴影,,1032,463,7806,607768,0,9
霍格,,1033,464,108956,4776138,0,9
灼热勋爵,,1034,465,1204,607695,0,9
兰多菲·摩洛克,,1035,466,35068,607753,0,9
鲁维罗什,,1036,467,5945,607757,0,9
迅捷的埃瑞克,,1037,468,5708,0,1,9
奥拉夫,,1038,468,5709,0,2,9
巴尔洛戈,,1039,468,5710,607550,0,9
艾隆纳亚,,1040,469,6089,607664,0,67
远古巨石卫士,,1041,470,10798,607538,0,9
加加恩·火锤,,1042,471,6059,607606,0,9
格瑞姆洛克,,1043,472,11165,607626,0,9
阿扎达斯,,1044,473,5988,607546,0,65
安娜科德拉,,1045,474,4313,607680,0,9
考布莱恩,,1046,475,4213,607693,0,9
皮萨斯,,1047,476,4214,607696,0,9
克雷什,,1048,477,5126,607676,0,9
斯卡姆,,1049,478,4203,607775,0,9
瑟芬迪斯,,1050,479,4215,607698,0,9
永生者沃尔丹,,1051,480,4256,607805,0,9
吞噬者穆坦努斯,,1052,481,4088,607721,0,9
加兹瑞拉,,1054,483,7271,607614,0,9
安图苏尔,,1055,484,7353,607541,0,9
殉教者塞卡,,1056,485,6696,607793,0,9
巫医祖穆拉恩,,1057,486,6434,607819,0,9
耐克鲁姆,,1058,487,6690,607723,0,9
杜姆雷尔,七贤之首,1059,385,8687,607587,0,9
乌克兹·沙顶,,1061,489,6439,607564,0,9
死亡观察者希尔拉克,,1098,523,18916,607771,0,9
大主教玛拉达尔,,1099,524,17715,607600,0,9
巡视者加戈玛,,1104,527,18236,607817,0,9
无疤者奥摩尔,,1105,528,18237,607734,0,9
传令官瓦兹德,,1106,529,18944,607803,0,9
塞林·火心,,1107,530,22642,607767,0,9
维萨鲁斯,,1108,531,22731,607806,0,9
女祭司德莉希亚,,1109,532,22596,607742,0,9
凯尔萨斯·逐日者,,1110,533,22906,607669,0,9
潘德莫努斯,,1111,534,71757,607738,0,9
塔瓦洛克,,1112,535,19332,607782,0,9
尤尔,,1113,536,14173,607822,0,9
节点亲王沙法尔,,1114,537,19780,607726,0,9
德拉克中尉,,1115,538,17386,607689,0,9
斯卡洛克上尉,,1116,539,17387,607561,0,9
时空猎手,,1117,540,19135,607596,0,9
黑暗编织者塞斯,,1118,541,20599,607583,0,9
安苏,,1119,542,21492,607544,0,9
利爪之王艾吉斯,,1120,543,18636,607780,0,9
赫尔默大使,,1121,544,18821,607536,0,9
煽动者布莱卡特,,1122,545,18058,607555,0,9
沃匹尔大师,,1123,546,18535,607625,0,9
摩摩尔,,1124,547,18839,607720,0,9
自由的瑟雷凯斯,,1125,548,19882,607823,0,9
末日预言者达尔莉安,,1126,549,19888,607574,0,9
天怒预言者苏克拉底,,1127,550,19977,607820,0,9
预言者斯克瑞斯,,1128,551,19943,607635,0,9
时空领主德亚,,1129,552,20513,607566,0,9
坦普卢斯,,1130,553,19066,607784,0,9
埃欧努斯,,1131,554,20510,607529,0,9
制造者,,1132,555,18369,607789,0,9
布洛戈克,,1133,556,19372,607558,0,9
击碎者克里丹,,1134,557,17153,607670,0,9
指挥官萨拉妮丝,,1135,558,18929,607570,0,9
高级植物学家弗雷温,,1136,559,19045,607641,0,9
看管者索恩格林,,1137,560,14416,607794,0,9
拉伊,,1138,561,13109,607683,0,9
迁跃扭木,,1139,562,19438,607816,0,9
机械领主卡帕西图斯,,1140,563,19162,607712,0,9
灵术师塞比瑟蕾,,1141,564,19166,607725,0,9
计算者帕萨雷恩,,1142,565,20033,607739,0,9
高阶术士奈瑟库斯,,1143,566,16628,607624,0,9
战争使者沃姆罗格,,1145,568,18031,607811,0,9
酋长卡加斯·刃拳,,1146,569,19799,607812,0,9
背叛者门努,,1147,570,17728,607715,0,9
巨钳鲁克玛尔,,1148,571,17729,607759,0,9
夸格米拉,,1149,572,18224,607750,0,9
水术师瑟丝比娅,,1150,573,11268,607651,0,9
机械师斯蒂里格,,1151,574,18638,607713,0,9
督军卡利瑟里斯,,1152,575,20235,607815,0,9
霍加尔芬,,1153,576,17228,607649,0,9
加兹安,,1154,577,17528,607614,0,9
沼地领主穆塞雷克,,1155,578,18570,607779,0,9
黑色阔步者,,1156,579,18194,607788,0,67
纳多克斯长老,,1157,580,27407,607593,0,9
塔达拉姆王子,,1158,581,27406,607744,0,9
耶戈达·觅影者,,1159,582,26777,607667,0,9
埃曼尼塔,,1160,583,28133,607534,0,9
看门者克里克希尔,,1161,585,27394,607678,0,9
哈多诺克斯,,1162,586,26776,607633,0,9
托尔戈,,1163,588,26352,607798,0,9
召唤者诺沃斯,,1164,589,26292,607727,0,9
暴龙之王爵德,,1165,590,5240,607672,0,9
斯拉德兰,,1167,592,27422,607776,0,9
达卡莱巨像,,1168,593,26589,607589,0,9
莫拉比,,1169,594,27059,607716,0,9
凶残的伊克,,1170,595,26644,607592,0,9
迦尔达拉,,1171,596,27061,607605,0,9
比亚格里将军,,1172,597,27301,607611,0,66
沃尔坎,,1173,598,27071,607809,0,64
艾欧纳尔,,1174,599,27484,607663,0,9
洛肯,,1175,600,27485,607690,0,66
法瑞克,,1176,601,30972,607601,0,9
玛维恩,,1177,602,30973,607710,0,9
巫妖王,,1178,603,30721,607688,0,9
克莱斯塔卢斯,,1179,604,20909,607679,0,9
悲伤圣女,,1180,605,26657,607706,0,67
塑铁者斯约尼尔,,1181,607,27483,607772,0,66
熔炉之主加弗斯特,,1182,608,30843,607603,0,65
伊克,,1183,609,30347,607655,1,9
科瑞克,,1184,609,30331,607677,0,9
天灾领主泰兰努斯,,1185,610,30277,607765,0,9
肉钩,,1186,611,26579,607711,0,9
塑血者沙尔拉姆,,1187,612,26581,607763,0,9
时光领主埃博克,,1188,613,26580,607567,0,9
玛尔加尼斯,,1189,614,26582,607708,0,9
布隆亚姆,,1190,615,30226,607559,0,9
噬魂者,,1191,616,30148,607585,0,9
指挥官斯托比德,,1193,617,24366,607571,0,9
大魔导师泰蕾丝塔,,1194,618,24066,607623,0,9
阿诺玛鲁斯,,1195,619,26259,607540,0,9
塑树者奥莫洛克,,1196,620,26298,607735,0,9
克莉斯塔萨,,1197,621,24307,607671,0,9
审讯者达库斯,,1198,622,27032,607590,0,9
瓦尔洛斯·云击,,1199,623,27033,607802,0,9
法师领主伊洛姆,,1200,624,25010,607702,0,9
魔网守护者埃雷苟斯,,1201,625,27034,607687,0,9
埃雷克姆,,1202,626,27488,607597,0,9
摩拉格,,1203,627,20590,607717,0,9
艾库隆,,1204,628,27487,607654,0,9
谢沃兹,,1205,629,27486,607821,0,9
拉文索尔,,1206,630,10193,607685,0,9
湮灭者祖拉玛特,,1207,631,27855,607825,0,9
塞安妮苟萨,,1208,632,27508,607573,0,9
碎颅者莫克拉,,1214,634,28587,607622,0,9
祖尔托,,1215,634,28588,0,3,9
埃蕾希·晨歌,,1216,634,28637,0,1,9
鲁诺克·蛮鬃,,1217,634,28597,0,2,9
死亡猎手维赛里,,1218,634,28589,0,4,9
纯洁者耶德瑞克,,1219,635,29616,607591,0,9
银色神官帕尔崔丝,,1220,636,29490,607547,0,9
黑骑士,,1221,637,29837,607787,0,9
凯雷塞斯王子,,1222,638,25338,607743,0,9
建筑师斯卡瓦尔德,,1223,639,24605,607774,0,65
控制者达尔隆,,1224,639,26349,607575,1,9
掠夺者因格瓦尔,,1225,640,21953,607659,0,65
席瓦拉·索格蕾,,1226,641,26096,607778,0,9
戈托克·苍蹄,,1227,642,27419,607620,0,9
狂野的犀牛,,1228,642,26284,0,1,9
巨型冰虫,,1229,642,24564,0,3,9
狂乱的狼人,,1230,642,26327,0,2,9
贪婪的熊怪,,1231,642,23999,0,4,9
残忍的斯卡迪,,1232,643,27418,607773,0,67
伊米隆国王,,1233,644,28019,607674,0,67
裁决者格里斯通,,1234,372,9329,608314,0,9
粘性辐射尘,,1236,420,36529,607808,0,9
复生的火枪手,,1239,446,34481,0,1,9
暗影祭司塞瑟斯,,1240,487,6441,607770,1,9
莱公,,1252,649,39519,630845,0,9
武器大师哈兰,,1253,654,40293,630816,0,9
雪流大师,,1255,657,41902,630841,0,9
刘·焰心,,1257,658,39487,630839,0,9
指导者寒心,,1258,659,40301,630835,0,9
詹迪斯·巴罗夫,,1265,663,40639,607666,0,9
血骨傀儡,,1269,665,31092,607755,0,9
莉莉安·沃斯,,1270,666,40256,630838,0,9
跳跳大王,,1273,669,40339,630832,0,9
科洛夫修士,,1275,671,41154,630818,0,9
指挥官杜兰德,,1276,674,41220,607643,1,9
大检察官怀特迈恩,,1277,674,2043,607643,0,9
秦希,,1294,677,41392,0,1,9
剑曦,,1295,677,41391,630836,0,9
缚灵者戈拉亚,,1296,682,41256,630826,0,9
祝踏岚,,1305,686,41121,630852,0,9
无情之齐昂,战王,1308,687,41812,0,1,9
暴虐之蒙恩,疯王,1309,687,41813,630861,0,9
迅弓之速不台,匪王,1310,687,41565,0,2,9
裂魂者萨尔诺斯,,1312,688,27705,630853,0,9
受诅者魔封,,1313,689,41192,630824,0,9
杰翰,,1315,690,41920,630828,0,9
怒之煞,,1316,691,41448,630847,0,9
黑暗萨满柯兰萨,,1321,695,42101,608310,0,9
驯犬者布兰恩,,1326,660,42264,630833,0,9
力冠三军库乌艾,,1334,708,42058,630842,0,9
鬼谋神算冥谷子,,1335,708,42059,0,1,9
势不可挡哈伊岩,,1336,708,42060,0,2,9
传令官沃拉兹,,1337,584,27408,607639,0,9
阿努巴拉克,,1338,587,27856,607542,0,9
布莱恩·铜须,,1342,606,26353,607797,0,9
阿达罗格,,1343,694,38759,608309,0,9
焰喉,,1344,696,38391,522251,0,9
熔岩守卫戈多斯,,1345,697,42100,608315,0,9
哈扎斯,,1346,459,9584,0,3,9
德拉维沃尔,,1347,459,6375,0,1,9
摩弗拉斯,,1348,459,7975,0,2,9
伊拉贡,,1383,726,41399,630823,0,9
头领萨莱斯,,1385,725,42468,0,1,9
炮舰,,1386,725,42439,630819,0,9
黑暗院长加丁,,1393,684,40322,607582,0,9
血卫士伯鲁恩,,1394,728,17725,607556,0,9
琥珀塑形者昂舒克,,1400,737,43126,630815,0,9
琥珀畸怪,,1401,737,44140,0,1,9
古·穿云,,1402,673,39489,630831,0,9
碧空翔龙,,1403,673,39492,0,1,9
织焰者孔格勒,,1404,656,40597,630825,0,9
加拉隆,,1405,713,42368,630827,0,9
指挥官沃加克,,1407,738,42169,630822,0,9
雷施,,1412,729,42811,630837,0,65
大女皇夏柯希尔,,1417,743,42730,630830,0,9
皇家宰相佐尔洛克,,1421,745,42807,630834,0,9
破坏者吉普提拉克,,1422,655,43122,630846,0,9
黑曜石哨兵,,1423,748,5285,607729,0,9
指挥官玛洛尔,,1424,749,34463,607569,0,9
永影之提安,巫王,1425,687,41566,0,3,9
突袭者加杜卡,,1428,675,43275,630851,0,9
指挥官瑞魔克,,1429,676,43286,630821,0,9
乌克乌克,,1430,668,39498,630843,0,9
破桶而出的炎诛,,1431,670,42969,630860,0,65
贤者马里,,1432,672,41125,630858,0,9
游学者石步,,1433,664,39506,630840,0,9
疑之煞,,1434,335,45980,630848,0,9
武器大师席恩,,1435,698,41987,630859,0,9
宰相金巴卡,,1439,693,43197,630855,0,9
烛龙,夜间,1444,742,42532,630854,0,9
烛龙,日间,1465,742,42533,0,1,9
翼虫首领尼诺洛克,,1475,727,43151,630857,0,9
紫晶守护者,,1476,679,41892,630820,0,9
红玉守护者,,1477,679,42644,0,3,9
蓝晶守护者,,1478,679,41893,0,1,9
青玉守护者,,1479,679,41894,0,2,9
长老阿萨尼,,1480,683,41504,0,2,9
长老睿盖尔,,1481,683,41502,0,1,9
守护者考兰,,1482,683,41503,630844,0,9
风领主梅尔加拉克,,1485,741,42645,630856,0,9
狂之煞,,1488,685,43283,630850,0,9
莉莉安的灵魂,,1489,666,43908,0,1,9
先知萨隆亚,,1498,591,27072,607790,0,9
将军帕瓦拉克,,1516,692,43120,630829,0,9
刀锋领主塔亚克,,1517,744,43141,630817,0,9
惧之煞,,1519,709,45065,630849,0,9
纳拉克,,1540,814,47227,796778,0,9
铁穹,,1544,817,46627,796775,0,9
罗沙克,,1545,817,46628,0,1,9
魁兹扎尔,,1546,817,46629,0,2,9
玳刃,,1547,817,46630,0,3,9
杜鲁姆,,1548,818,47189,796772,0,9
普利莫修斯,,1551,820,47009,796780,0,9
沙行者苏尔,,1558,816,47505,0,1,9
霜王玛拉克,,1559,816,47506,0,2,9
卡兹拉金,,1561,816,47229,796770,0,9
赫利东,,1562,819,47325,796774,0,9
黑暗意志,,1563,824,47527,796771,0,9
托多斯,,1564,825,46559,796781,0,9
乌达斯塔,,1566,826,47257,796779,0,9
击碎者金罗克,,1567,827,47552,796776,0,9
露琳,,1569,829,46975,796773,0,9
雷神,,1572,832,46770,796777,0,9
季鹍,,1573,828,46675,796785,0,9
指挥官库鲁尔格,,1574,833,24352,607568,0,9
雅克布·奥勒留斯元帅,,1575,834,28560,607621,0,9
克罗索斯,,1576,834,28736,0,4,9
安布罗斯·雷钉,,1577,834,28586,0,1,9
拉娜·硬锤,,1578,834,28564,0,3,9
娅琳·永歌,,1579,834,28735,0,2,9
莱登,,1580,831,47739,828452,0,9
夙娥,,1581,829,46974,0,1,9
高阶祭司玛尔里,,1582,816,47730,0,3,9
毒素之头,,1594,821,47416,0,1,91
火焰之头,,1595,821,47414,796786,0,91
冰霜之头,,1596,821,47415,0,2,91
马尔考罗克,,1602,846,49070,901164,0,9
禾·软足,,1605,849,48917,0,1,9
鲁克·石趾,,1606,849,48918,901159,0,9
孙·柔心,,1607,849,48919,0,2,9
纳兹戈林将军,,1608,850,48995,901158,0,9
库卡隆狱卒,,1609,851,49082,0,1,9
嗜血的索克,,1610,851,51144,901171,0,9
伊墨苏斯,,1611,852,49056,901160,0,9
碎地者哈洛姆,,1614,856,49176,901163,0,9
缚潮者卡德里斯,,1615,856,49177,0,1,9
赤精,,1618,857,49237,901155,0,9
玉珑,,1619,858,49234,901173,0,9
砮皂,,1620,859,49235,901165,0,9
雪怒,,1621,860,49236,901172,0,9
斡耳朵斯,,1623,861,49285,901167,0,9
钢铁战蝎,,1624,864,49844,901161,0,9
诺鲁什,,1625,866,48860,901166,0,66
傲之煞,,1626,867,49098,901168,0,9
迦拉卡斯,,1627,868,49337,901156,0,9
加尔鲁什·地狱咆哮,,1628,869,49585,901157,0,9
觅血者斯基尔,,1648,853,48674,901162,0,9
虫群卫士希赛克,,1649,853,48675,0,1,9
暴食蝗卡诺兹,,1650,853,48676,0,2,9
至尊者柯尔凡,,1651,853,48677,0,3,9
操纵者卡兹提克,,1652,853,48678,0,4,9
毒心者夏克里尔,,1653,853,48679,0,5,9
切割者里卡尔,,1654,853,48680,0,6,9
明澈者伊约库克,,1655,853,48681,0,7,9
掠风者克尔鲁克,,1656,853,48682,0,8,9
腐蚀混合物,,2827,866,49360,0,1,9
攻城匠师黑索,,2830,865,51657,901169,0,9
秘藏的潘达利亚战利品,,2831,870,51173,901170,0,9
迦拉卡斯,,2835,881,49337,901156,0,9
玛格莫拉图斯,,2845,893,52033,0,1,9
锻造大师戈杜哈,,2846,893,52899,1044355,0,9
盲眼猎手,,2853,900,52595,1064175,0,9
熔岩恶火水晶,,2855,901,42641,0,2,9
卡尔加·刺肋,,2856,901,31042,607563,0,9
剧毒倾泻水晶,,2857,901,42643,0,3,9
潮汐风暴水晶,,2858,901,41366,0,1,9
督军拉姆塔斯,,2859,899,52515,607736,0,9
亡语者贾格巴,,2860,899,4756,607584,1,9
阿格姆,,2861,899,4645,607531,2,9
剃刀沼泽野兽追踪者,,2862,895,1964,0,3,9
剃刀沼泽剑卫,,2863,895,6109,0,1,9
剃刀沼泽狩猎大师,,2864,895,1342,0,2,9
鲁古格,,2865,895,52383,607760,0,9
猎手布塔斯克,,2866,896,52047,607531,0,9
鸦人拜日狂信徒,,2936,968,55994,0,1,9
鸦人防护构装体,,2938,968,56653,0,2,9
屠夫,他喜欢砍人剁人。,2939,971,53855,1044375,0,9
兰吉特,,3108,965,56015,1044362,0,9
阿拉卡纳斯,,3109,966,54006,1044334,0,9
高阶贤者维里克斯,,3111,968,56016,1044348,0,9
鸦人炎阳构装体雏形,,3112,966,56653,0,1,9
守奴人库鲁斯托,,3125,888,52893,1044368,0,9
恐翼,,3126,1122,53505,0,2,9
兽王达玛克,,3127,1122,53499,1044338,0,9
碎铁,,3128,1122,53541,0,3,9
弗特莱,,3129,1122,53542,0,4,9
虐牙,,3130,1122,53511,0,1,9
缚火者卡格拉兹,,3131,1123,53471,1044344,0,9
啸天者托瓦拉,,3144,1133,55630,1044376,0,9
卡加斯·刃拳,,3151,1128,54674,1044352,0,9
莎达娜·血怒,,3152,1139,54587,1044366,0,9
加摩拉,,3155,368,52010,1064179,0,9
多米尼娜,,3156,436,52034,1064180,0,9
征服者克鲁尔,,3157,426,52173,522214,0,9
深渊守护者,,3158,447,75359,1064182,0,9
暮光领主巴赛尔,,3159,437,52283,1064184,0,9
刽子手戈尔,,3160,1144,52084,1064183,0,9
苏克,,3161,1145,52057,1064181,0,9
主管索戈尔,,3162,1147,53519,1044357,0,9
费莫斯,,3163,1148,55849,0,1,65
普尔,,3164,1148,54385,1044377,0,65
熔炉工程师,,3172,1154,53472,0,2,9
山脉之心,,3173,1154,53456,1044374,7,9
鼓风者,,3174,1154,53473,0,3,65
熔渣元素,,3175,1154,53481,0,6,9
保安,,3176,1154,53474,0,1,9
元素尊者,,3177,1154,53475,0,4,9
召火者,,3178,1154,53477,0,5,9
监工长石,,3179,1154,53470,1044374,0,9
弗兰佐克,,3180,1155,53576,1044345,0,9
汉斯加尔,,3181,1155,53575,0,1,9
耐奥祖,,3190,1160,52769,1044356,0,9
格鲁尔,,3191,1161,55050,1044346,0,9
黑石突击队火炮,,3195,1163,55161,0,1,9
尼托格·雷塔,,3197,1163,55162,1044339,0,9
罗托尔,,3200,887,54259,1044363,0,9
戈洛克,,3226,889,52902,1044347,0,9
警戒者凯萨尔,,3234,1185,58263,1044336,0,9
缚魂者尼娅米,,3235,1186,53089,1044370,0,9
吞噬者奥尔高格,,3255,1202,54317,1044484,0,9
真菌食肉者,,3257,1196,58939,0,1,65
执行者苏卡,,3265,1203,53752,0,1,9
血腥的玛拉卡,,3266,1203,53876,0,2,9
加安上将,,3267,1203,53982,1044350,0,9
烈焰欺诈者,,3274,1216,53112,0,3,9
尖啸纵火魔,,3275,1216,19618,0,1,9
恶魔卫士,,3276,1216,39908,0,2,9
阿扎凯尔,,3277,1216,52964,1044337,0,9
塔隆戈尔,,3284,1225,54036,1044373,0,9
