ID,Name_lang,UiMapGroupID,UiMapID,FloorIndex,RelativeHeightIndex
577,浮空城上层,163,167,6,0
578,蒸汽地窟,164,263,1,0
579,冷却池,164,264,2,0
580,静止隔间：特雷奥,165,269,1,0
581,静止隔间：玛克希姆,165,270,2,0
582,密封核心,165,271,3,0
583,能源舰,166,267,1,0
584,计算密室,166,268,2,0
585,塞泰克鸦巢,167,258,1,0
586,哀悼大厅,167,259,2,0
587,转生大厅,168,256,1,0
588,灵魂之桥,168,257,2,0
589,卡拉波下水道,169,340,0,0
590,黑暗神殿,169,339,1,0
591,暗影圣殿,169,341,2,0
592,苦痛大厅,169,342,3,0
593,血魔之厅,169,343,4,0
594,欢愉之园,169,344,5,0
595,命令大厅,169,345,6,0
596,神殿之巅,169,346,7,0
597,达拉然城,170,125,1,0
598,达拉然下水道,170,126,2,0
599,诺迪尔备战区,171,133,1,0
600,掠龙氏族高台,171,134,2,0
601,提尔之台,171,135,3,0
602,尖塔下层,172,136,1,0
603,尖塔上层,172,137,2,0
604,突变之环,173,143,1,0
605,加速之环,173,144,2,0
606,转化之环,173,145,3,0
607,校准之环,173,146,4,0
608,太阳之井高地,174,335,0,0
609,日蚀神殿,174,336,1,0
610,大魔导师的圣堂,175,348,1,0
611,观测台,175,349,2,0
612,净化斯坦索姆,176,130,0,0
613,斯坦索姆城,176,131,1,0
614,达克萨隆前庭,177,160,1,0
615,达克萨隆悬崖,177,161,2,0
616,孵化深渊,178,157,1,0
617,哈多诺克斯之巢,178,158,2,0
618,镀金之门,178,159,3,0
619,坚韧军营,179,138,1,0
620,造物者步道,179,139,2,0
621,奥杜尔,180,147,0,0
622,奥杜尔的前厅,180,148,1,0
623,奥杜尔的内部圣殿,180,149,2,0
624,尤格-萨隆的监狱,180,150,3,0
625,思想火花,180,151,4,0
626,心灵之眼,180,152,5,0
627,堡垒下层,181,186,1,0
628,颅骨之墙,181,187,2,0
629,死亡使者之台,181,188,3,0
630,冰霜女王的巢穴,181,189,4,0
631,上层区域,181,190,5,0
632,皇家区,181,191,6,0
633,冰封王座,181,192,7,0
634,霜之哀伤,181,193,8,0
635,深渊大厅,182,322,1,0
636,耐普图隆的王座,182,323,2,0
637,圣光穹顶,183,297,1,0
638,地怒者的陵墓,183,298,2,0
639,四神之座,183,299,3,0
640,焚烧之厅,184,283,1,0
641,暮光铸炉,184,284,2,0
642,1楼,185,208,1,0
643,2楼,185,209,2,0
644,矿道,186,177,3,0
645,矿洞,186,178,4,0
646,银色演武场,187,172,1,0
647,寒冰深渊,187,173,2,0
648,主层,188,181,2,0
649,上层,188,182,3,0
650,破碎大厅,189,285,1,0
651,暗影烈焰穹顶,189,286,2,0
652,暮光教区,190,294,1,0
653,末世王座,190,295,2,0
654,暮光之穴,190,296,3,0
655,火焰之地,191,367,0,0
656,厄火铁砧,191,368,1,0
657,萨弗隆城堡,191,369,2,0
658,新月大厅,192,391,1,0
659,皇家贸易区,192,392,2,0
660,帝皇之阶,193,393,3,0
661,帝皇商站,193,394,4,0
662,采石场上层,194,372,6,0
663,采石场下层,194,373,7,0
664,上层,195,383,11,0
665,下层,195,384,12,0
666,郭莱古厅,196,395,18,0
667,翔龙大厅,196,396,19,0
668,寇茹废墟,197,386,20,0
669,寇茹墓穴,197,387,21,0
670,时光之末,198,401,0,0
671,碧蓝巨龙圣地,198,402,1,0
672,红玉巨龙圣地,198,403,2,0
673,黑曜石巨龙圣地,198,404,3,0
674,翡翠巨龙圣地,198,405,4,0
675,青铜巨龙圣地,198,406,5,0
676,暮光审判,199,399,0,0
677,龙眠神殿,199,400,1,0
678,影踪禅院,200,443,0,0
679,穿云道场,200,444,1,0
680,雪流道场,200,445,2,0
681,封印之厅,200,446,3,0
682,青龙寺,201,429,1,0
683,藏卷人密室,201,430,2,0
684,谷仓地窖,202,439,1,0
685,风暴烈酒酿造厅,202,440,2,0
686,大水车,202,441,3,0
687,品酒间,202,442,4,0
688,残阳关,203,437,1,0
689,关塞哨塔,203,438,2,0
690,巨龙之魂,204,409,0,0
691,苟拉斯之口,204,410,1,0
692,舒玛之口,204,411,2,0
693,永恒之眼,204,412,3,0
694,天火号飞船,204,413,4,0
695,死亡之翼的背脊,204,414,5,0
696,大漩涡,204,415,6,0
697,赤红议事厅,205,453,1,0
698,古王陵墓,205,454,2,0
699,上古征服者王座,205,455,3,0
700,训练场,206,431,1,0
701,图书馆,206,432,2,0
702,遗忘回廊,207,435,1,0
703,十字军礼拜堂,207,436,2,0
704,遗骨之穴,208,476,1,0
705,召唤大厅,208,477,2,0
706,书房上层,208,478,3,0
707,院长的书房,208,479,4,0
708,征服者之台,209,471,1,0
709,藏书馆,209,472,2,0
710,无尽熔炉,209,473,3,0
711,声之神剧厅,210,474,1,0
712,恐惧之心,210,475,2,0
713,围攻砮皂寺,211,457,0,0
714,刳心巨树,211,458,1,0
715,树之环上层,211,459,2,0
716,上层墓室,212,481,1,0
717,地穴深渊,212,482,2,0
718,联盟挖掘场,213,419,1,0
719,敖骨打废墟,213,420,2,0
720,神圣遗物学会前哨站,213,421,3,0
721,蔓草废殿,214,508,1,0
722,皇家校场,214,509,2,0
723,被遗忘的深渊,214,510,3,0
724,季鹍栖木,214,511,4,0
725,修身殿,214,512,5,0
726,先王殿,214,513,6,0
727,风暴之巅,214,514,7,0
728,密室,214,515,8,0
729,达拉然城,215,501,1,0
730,达拉然下水道,215,502,2,0
731,黑暗神殿,216,490,0,0
732,卡拉波下水道,216,491,1,0
733,暗影圣殿,216,492,2,0
734,苦痛大厅,216,493,3,0
735,血魔之厅,216,494,4,0
736,欢愉之园,216,495,5,0
737,命令大厅,216,496,6,0
738,神殿之巅,216,497,7,0
739,刀塔堡垒,217,526,1,0
740,刀塔庭院,217,527,2,0
741,刀塔王座,217,528,3,0
742,污煤矿洞,217,529,4,0
743,羽颈火山口,218,548,20,0
744,羽颈深渊,218,549,21,0
745,狂怒裂隙,219,546,18,0
746,愤怒之心,219,547,19,0
747,茉艾拉堡垒,220,544,16,0
748,要塞军械库,220,545,17,0
749,格鲁洛克岩洞,221,531,7,0
750,格鲁洛克的巢穴,221,532,8,0
751,决战奥格瑞玛,222,556,0,0
752,能量池,222,557,1,0
753,亚煞极地窟,222,558,2,0
754,奥格瑞玛城门,222,559,3,0
755,力量谷,222,560,4,0
756,暗影裂口,222,561,5,0
757,阶梯区,222,562,6,0
758,库卡隆兵营,222,563,7,0
759,展览馆,222,564,8,0
760,军工厂,222,565,9,0
761,英杰大厅,222,566,10,0
762,内部圣殿,222,567,11,0
763,永春台,222,568,12,0
764,青龙寺,222,569,13,0
765,朱鹤寺,222,570,14,0
766,先祖墓穴,223,574,1,0
767,暗影祭坛,223,575,2,0
768,现世边界,223,576,3,0
769,黑色熔炉,224,596,1,0
770,熔渣车间,224,597,2,0
771,车间,224,598,3,0
772,钢铁装配车间,224,599,4,0
773,大坩埚,224,600,5,0
774,栈桥,225,607,1,0
775,后车厢,225,608,2,0
778,下层平台,226,601,1,0
779,主峰,226,602,2,0
780,暗影大厅,227,626,4,1
781,达拉然,227,627,10,3
782,达拉然下水道,227,628,11,2
783,艾格文的画廊,227,629,12,4
784,阿彻鲁斯之心,228,647,1,0
785,命令大厅,228,648,2,0
786,沉眠者地穴下层,229,643,14,0
787,沉眠者地穴上层,229,644,15,0
788,法兰纳尔隧道,230,692,41,0
789,法兰纳尔隧道,230,693,42,0
794,生命之泉洞穴下层,233,655,20,0
795,生命之泉洞穴上层,233,656,21,0
796,法尔多拉神殿,234,684,32,0
797,法兰纳尔隧道,234,685,33,0
798,悬槌堡,235,610,0,0
799,角斗士休息区,235,611,1,0
800,角斗场,235,612,2,0
801,破魔殿,235,613,3,0
802,元首高塔,235,614,4,0
803,元首王座,235,615,5,0
804,永茂林地,236,620,0,0
805,巨石悬台,236,621,1,0
806,龙塔大厅,237,616,1,0
807,孵化间,237,617,2,0
808,黑手大厅,237,618,3,0
809,地狱火堡垒,238,661,0,0
810,地狱火前厅,238,662,1,0
811,地狱火小径,238,663,2,0
812,玛诺洛斯熔池,238,664,3,0
813,鲜血庭院,238,665,4,0
814,格罗玛什之厄,238,666,5,0
815,邪脉裂口,238,667,6,0
816,萨格雷大厅,238,668,7,0
817,毁灭者高台,238,669,8,0
818,黑暗之门,238,670,9,0
819,伊利达雷监牢,239,677,1,0
820,守望者地窟,239,678,2,0
821,守望者庭院,239,679,3,0
822,英灵殿,240,703,0,0
823,至高之门,240,704,1,0
824,英灵殿,240,705,2,0
825,阿彻鲁斯下层,241,698,1,0
826,阿彻鲁斯上层,241,699,2,0
827,冰冠堡垒,241,700,3,0
828,冰封王座,241,701,4,0
829,灵魂引擎下层,242,674,2,0
830,灵魂引擎上层,242,675,3,0
831,冥口峭壁,243,706,0,0
832,堡垒,243,707,1,0
833,纳格法尔号,243,708,2,0
834,守望者庭院,244,710,1,0
835,守望者地窟,244,711,2,0
836,背叛者地窟,244,712,3,0
837,渡鸦墓地,245,751,1,0
838,大礼堂,245,752,2,0
839,渡鸦堡,245,753,3,0
840,渡鸦栖木,245,754,4,0
841,拉文凯斯领主大厅,245,755,5,0
842,渡鸦之冠,245,756,6,0
843,守护者圣殿,246,734,1,0
844,守护者的图书馆,246,735,2,0
845,破碎深渊马顿,247,719,0,0
846,指挥中心上层,247,720,1,0
847,指挥中心下层,247,721,2,0
848,腐蚀之爪,248,777,1,0
849,梦魇之核,248,778,2,0
850,莫高雷,248,779,3,0
851,安戈洛环形山,248,780,4,0
852,翡翠梦魇,248,781,5,0
853,灰谷,248,782,6,0
854,辛特兰,248,783,7,0
855,暮色森林,248,784,8,0
856,菲拉斯,248,785,9,0
857,灰熊丘陵,248,786,10,0
858,月光林地,248,787,11,0
859,艾林裂隙,248,788,12,0
860,翡翠梦境,248,789,13,0
861,指挥中心上层,249,879,1,0
862,指挥中心下层,249,880,2,0
863,仆役宿舍,250,794,1,0
864,舞厅,250,795,2,0
865,歌剧院,250,796,3,0
866,守护者的图书馆,250,797,4,0
867,暗夜井,251,764,1,0
868,魔力深渊,251,765,2,0
869,暗夜要塞,251,766,3,0
870,夏多雷平台,251,767,4,0
871,队长宅邸,251,768,5,0
872,星术师高塔,251,769,6,0
873,暗夜之塔,251,770,7,0
874,艾利桑德的房间,251,771,8,0
875,暗夜之泉,251,772,9,0
876,群星庭院,252,761,0,0
877,宝石庄园,252,762,1,0
878,露台,252,763,2,0
879,奥杜尔的前厅,253,744,1,0
880,思想火花,253,745,2,0
881,观测场,253,746,3,0
882,深渊大厅,254,742,1,0
883,耐普图隆的王座,254,743,2,0
884,堡垒上层,255,740,1,0
885,堡垒下层,255,741,2,0
886,1楼,256,804,1,0
887,2楼,256,805,2,0
888,校准之环,257,800,1,0
889,转化之环,257,801,2,0
890,加速之环,257,802,3,0
891,突变之环,257,803,4,0
892,青龙寺,258,791,1,0
893,藏卷人密室,258,792,2,0
894,勇气试炼,259,806,0,0
895,勇气试炼,259,807,1,0
896,冥狱深渊,259,808,2,0
897,仆役宿舍,260,809,1,0
898,上层马厩,260,810,2,0
899,宴会厅,260,811,3,0
900,会客间,260,812,4,0
901,歌剧院楼座,260,813,5,0
902,主宰的露台,260,814,6,0
903,下层断阶,260,815,7,0
904,上层断阶,260,816,8,0
905,展览馆,260,817,9,0
906,守护者的图书馆,260,818,10,0
907,图书馆一层,260,819,11,0
908,上层图书馆,260,820,12,0
909,象棋大厅,260,821,13,0
910,虚空异界,260,822,14,0
911,上层,261,831,1,0
912,下层,261,832,2,0
913,上层,262,886,5,0
914,下层,262,887,6,0
915,上层,263,883,3,0
916,下层,263,884,4,0
917,月亮密室,264,850,1,0
918,深渊王座,264,851,2,0
919,月光平台,264,852,3,0
920,守护者圣殿,264,853,4,0
921,化身密室,264,854,5,0
922,邪风裂口,264,855,6,0
923,扭曲虚空,264,856,7,0
924,月之圣殿,265,845,1,0
925,黎明森林,265,846,2,0
926,翡翠档案室,265,847,3,0
927,辉光之路,265,848,4,0
928,艾露恩圣器室,265,849,5,0
929,1楼,266,835,1,0
930,2楼,266,836,2,0
931,风暴烈酒酿造厂,267,872,0,0
932,1楼,267,873,1,0
933,2楼,267,874,2,0
934,1楼,268,840,1,0
935,2楼,268,841,2,0
936,3楼,268,842,3,0
937,1楼,269,869,1,0
938,2楼,269,870,2,0
939,1楼,270,865,1,0
940,2楼,270,866,2,0
941,安托鲁斯，燃烧王座,271,909,0,0
942,军团之眼,271,910,1,0
943,无尽通路大厅,271,911,2,0
944,艾露纳里亚,271,912,3,0
945,艾拉里亚避难所,271,913,4,0
946,排气口,271,914,5,0
947,燃烧王座,271,915,6,0
948,苦痛密室,271,916,7,0
949,世界之魂,271,917,8,0
950,万神之座,271,918,9,0
951,上层,271,919,10,0
952,下层,271,920,11,0
953,静止隔间：特雷奥,272,889,1,0
954,静止隔间：玛克希姆,272,890,2,0
955,秘蓝岛,273,891,0,0
956,1楼,273,892,1,0
957,2楼,273,893,2,0
958,3楼,273,894,3,0
959,克罗米之死,274,897,0,0
960,黑曜石巨龙圣地,274,898,1,0
961,安多哈尔,274,899,2,0
962,海加尔山,274,900,3,0
963,永恒之井,274,901,4,0
964,斯坦索姆,274,902,5,0
965,阿塔达萨,275,934,1,0
966,献祭之池,275,935,2,0
967,上层,276,940,1,0
968,下层,276,941,2,0
976,地铁站,225,606,0,0
977,前车厢,225,609,3,0
981,1楼,231,637,0,0
982,2楼,231,638,1,0
983,1楼,232,657,0,0
984,2楼,232,658,1,0
985,托尔达戈,277,974,0,0
986,排水道,277,975,1,0
987,海狱,277,976,2,0
988,禁闭室,277,977,3,0
989,军官区,277,978,4,0
990,狱长棱堡,277,979,5,0
991,狱长平台,277,980,6,0
992,暴风城,278,1012,0,0
993,监狱,278,1013,1,0
994,上层,279,1016,0,0
995,大堂,279,1015,1,0
996,地窖,279,1017,2,0
997,墓穴,279,1018,3,0
998,裂隙,279,1029,4,0
999,主层,280,1030,0,0
1000,上层,280,1031,1,0
1001,风暴神殿,281,1039,0,0
1002,风暴之陨,281,1040,1,0
1003,地渊孢林,282,1041,0,0
1004,破灭沉降梯,282,1042,1,0
1005,塞塔里斯神庙,283,1038,0,0
1006,塞塔里斯中庭,283,1043,1,0
1107,破灭沉降梯,384,1148,0,0
1108,净化大厅,384,1149,1,0
1109,抑制之环,384,1150,2,0
1110,永恒档案馆,384,1151,3,0
1111,瘟疫穹室,384,1152,4,0
1112,失败品陈列间,384,1153,5,0
1113,湮灭之门,384,1154,6,0
1114,脓溃核心,384,1155,7,0
1115,黑石深渊,385,1159,0,0
1116,熔火之心,385,1160,1,0
1117,巨擘封印,386,1163,0,0
1118,记载者大厅,386,1164,1,0
1119,高阶祭司之厅,387,1167,0,0
1120,议会大厅,387,1166,1,0
1123,下层洞窟,388,1171,0,0
1124,上层洞窟,388,1172,1,0
1125,上层,389,1173,0,0
1126,上层,389,1174,1,0
1127,上层,390,1176,0,0
1128,下层,390,1177,1,0
1129,上层,391,1179,0,0
1130,下层,391,1180,1,0
1132,上层洞窟,392,1185,1,0
1134,下层洞窟,392,1184,0,0
1135,暗影神殿,393,1345,0,0
1136,腐化触须,393,1346,1,0
1137,堡垒下层,394,1359,0,0
1138,冰封王座,394,1360,1,3
1139,托尔达戈,395,1349,0,0
1140,排水道,395,1350,1,0
1141,海狱,395,1351,2,0
1142,赞达拉港,396,1352,0,0
1143,佐卡罗广场,396,1358,1,0
1144,丰裕大厅,396,1353,2,0
1145,洛阿神灵圣所,396,1354,3,0
1146,列王神道,396,1356,4,0
1147,帝国之心,396,1357,5,0
1148,无尽之海,396,1364,6,0
1149,伯拉勒斯,396,1367,7,0
1150,齿轮大厅,397,1371,0,0
1151,宿舍,397,1372,1,0
1153,工匠议会,397,1374,3,0
1155,发射台,397,1380,2,0
1156,抑制之环,398,1381,0,0
1157,湮灭之门,398,1382,1,0
1158,麦卡贡岛,399,1490,0,0
1159,机械天穹,399,1491,1,0
1160,废物管道,399,1493,2,0
1161,地渊废料场,399,1494,3,0
1162,麦卡贡市,399,1497,4,0
1163,永恒舞台,400,1512,0,0
1164,受选者大厅,400,1513,1,0
1165,墨黑深渊,400,1514,2,0
1166,穿梭之地,400,1516,3,0
1167,孵化场,400,1517,4,0
1168,女王法庭,400,1518,5,0
1169,幻梦绝壁,400,1519,6,0
1170,最终囚牢,400,1520,7,0
1171,破碎大厅,401,1538,0,0
1172,暗影烈焰穹顶,401,1539,1,0
1173,圣光穹顶,402,1540,0,0
1174,地怒者的陵墓,402,1541,1,0
1175,四神之座,402,1542,2,0
1177,古王陵墓,403,1545,1,0
1178,上古征服者王座,403,1546,2,0
1179,赤红议事厅,403,1544,0,0
1180,征服者之台,404,1547,0,0
1181,藏书馆,404,1548,1,0
1182,无尽熔炉,404,1549,2,0
1184,永恒隧道,143,74,0,0
1185,时光之穴,143,75,1,0
1186,永恒隧道,405,1552,0,0
1187,时光之穴,405,1553,1,0
1188,麦卡贡市,406,1573,0,0
1189,地渊废料场,406,1574,1,0
1190,命运幻象,407,1580,0,0
1191,预言侧殿,407,1581,1,0
1192,尼奥罗萨,407,1582,2,0
1193,虫巢,407,1590,3,0
1194,苍凉高台,407,1591,4,0
1195,仪式大厅,407,1592,5,0
1196,暮光高台,407,1593,6,0
1197,戈玛之喉,407,1594,7,0
1198,销蚀魔穴,407,1595,8,0
1199,重生腔室,407,1596,9,0
1200,无尽真理之地,407,1597,10,0
1202,复活高台,408,1610,1,0
1206,碎骨者大厅,408,1609,0,0
1207,赎罪大厅,409,1663,0,0
1208,痛苦中殿,409,1664,1,0
1209,灵魂庇护所,409,1665,2,0
1210,通灵战潮,410,1666,0,0
1211,缝合车间,410,1667,1,0
1212,佐尔拉姆斯,410,1668,2,0
1213,掮灵之居,411,1672,0,0
1214,命运之环,411,1670,1,0
1215,转移之环,411,1671,2,0
1216,熔魂之巅,411,1673,3,0
1217,阿彻鲁斯下层,394,1681,2,1
1218,阿彻鲁斯上层,394,1682,3,2
1219,绝望深渊,412,1675,0,0
1220,哀愁竞技场,412,1676,1,1
1221,彼界,413,1680,0,0
1222,麦卡贡,413,1678,1,1
1223,祖尔格拉布,413,1679,2,2
1224,炽蓝仙野,413,1677,3,3
1225,伤逝剧场,414,1683,0,0
1226,征服密室,414,1684,1,0
1227,苦痛祭坛,414,1685,2,0
1228,屠灭坟冢上层,414,1686,3,0
1229,屠灭坟冢下层,414,1687,4,0
1230,凋魂之殇,415,1674,0,0
1231,腐烂圣所,415,1697,1,0
1232,堕罪堡上层,416,1699,0,0
1233,堕罪堡深渊,416,1700,1,0
1234,华盖,417,1703,0,0
1235,树干,417,1701,1,0
1236,树根,417,1702,2,0
1237,执政官之巅,418,1707,0,0
1238,羁绊圣所,418,1708,1,0
1239,荣耀天阶,419,1692,0,0
1240,休憩花园,419,1693,1,0
1241,忠诚之泉,419,1694,2,0
1242,执政官之座,419,1695,3,0
1243,宏伟步道,420,1735,0,0
1244,失窃贮藏,420,1744,1,0
1245,忠诚者大厅,420,1745,2,0
1246,傲气囚牢,420,1746,3,0
1247,骄矜之宴,420,1750,4,0
1248,夜隐者圣所,420,1747,5,0
1249,观象馆,420,1748,6,0
1250,苦楚之洞 - 上层,421,1820,0,0
1251,苦楚之洞 - 下层,421,1821,1,0
1252,火焰之地,422,1958,0,0
1253,萨弗隆城堡,422,1959,1,0
1254,帷纱集市,423,1989,0,0
1255,卖品会,423,1990,1,0
1256,P.O.S.T.,423,1991,2,0
1257,麦扎的绿洲,423,1992,3,0
1258,风暴峡湾,423,1995,4,0
1259,阿格拉玛的宝库,423,1997,5,0
1260,伯拉勒斯港,423,1996,6,0
1261,丰裕枢纽,423,1993,7,0
1276,诅咒之塔,426,1998,0,0
1277,影铸工厂,426,1999,1,1
1278,折磨密室,426,2000,2,2
1279,戈尔格亚之冠,426,2001,3,3
1280,统御之巅,426,2002,4,4
1283,不朽休憩所,427,2047,0,0
1284,源生摇篮,427,2048,1,0
1285,无穷铸造厂,427,2049,2,0
1286,幻磷平原,427,2061,3,0
1287,统御之握,427,2050,4,0
1288,宏伟蓝图,427,2052,5,0
1289,永恒之心,427,2051,6,0
1291,奥术植物园,428,2073,0,0
1292,上层密室,428,2074,1,0
1293,传奇陵墓,428,2075,2,0
1294,下层密室,428,2076,3,0
1295,水晶密室,428,2077,4,0
1296,守护者大厅,429,2071,0,0
1297,提尔宝库,429,2072,1,0
1298,注能室,430,2095,0,0
1299,红玉瞭望台,430,2094,1,0
1300,燃烧坩埚,431,2080,0,0
1301,烈焰密室,431,2081,1,0
1302,蕨皮山谷,432,2096,0,0
1303,腐朽之穴,432,2106,1,0
1304,艾杰斯亚学院,433,2097,0,0
1305,体育场,433,2098,1,0
1306,首席教师之地,433,2099,2,0
1307,注能者圆厅,434,2082,0,0
1308,注能室,434,2083,1,0
1313,原始壁垒,437,2119,0,0
1314,元素秘会,437,2120,1,0
1315,狂风绝壁,437,2121,2,0
1316,牢窟梯道,437,2122,3,0
1317,掠冰洞窟,437,2123,4,0
1318,龙巢繁育场,437,2126,5,0
1319,原始聚合,437,2124,6,0
1320,化身巨龙牢窟,437,2125,7,0
1322,熔火深炉,438,2166,0,0
1323,缟玛瑙实验室,438,2167,1,0
1324,抗争残垣,438,2168,2,0
1325,奈萨里奥的圣所,438,2169,3,0
1326,湮灭之垠,438,2170,4,0
1327,熔火深炉,439,2171,0,0
1328,缟玛瑙实验室,439,2172,1,0
1329,奈萨里奥的圣所,439,2173,2,0
1330,湮灭之垠,439,2174,3,0
1331,时间流,440,2198,0,0
1332,年表圣殿,440,2190,1,0
1333,千禧阈限,440,2191,2,0
1334,永恒位点,440,2192,3,0
1335,永冬轮辐,440,2193,4,0
1336,宿命路口,440,2194,5,0
1337,永恒流汇,440,2195,6,0
1338,扭曲之途,440,2196,7,0
1339,遗忘战场,440,2197,8,0
1340,星术师高塔,441,2221,0,0
1341,永恒观星台,441,2220,1,0
1342,至高之门,442,2230,0,0
1343,英灵殿,442,2231,1,0
1344,圣泉中庭,443,2232,0,0
1345,炎魔王座,443,2233,3,0
1346,阿梅达希尔,443,2234,4,0
1347,北部虬枝,443,2235,7,0
1348,东部虬枝,443,2236,6,0
1349,南部虬枝,443,2237,5,0
1350,阿梅达希尔之心,443,2238,8,0
1351,焰灼大厅,443,2244,1,0
1352,苍郁之台,443,2240,2,0
1357,神圣之地,446,2308,0,0
1358,圣焰隐修院,446,2309,1,0
1359,驭雷栖巢平台,447,2315,0,0
1360,风暴栖台,447,2316,1,0
1361,风暴栖巢,447,2317,2,0
1362,驭雷者兵营,447,2318,3,0
1363,裂雷大厅,447,2319,4,0
1364,荒弃矿洞,447,2320,5,0
1365,千丝之城,448,2343,0,0
1366,蜕躯工厂,448,2344,1,0
1367,达拉然,449,2305,0,0
1368,达拉然下水道,449,2306,1,0
1369,暗影大厅,449,2307,2,0
1370,回响眺望台,450,2357,0,0
1371,幽暗宝地,450,2358,1,0
1372,恢弘城垒,451,2292,0,0
1373,脉动深坑,451,2291,1,0
1374,君权高台,451,2293,2,0
1375,前廊,451,2294,3,0
1376,暗影华冠,451,2295,4,0
1377,暗影华冠上层区,451,2296,5,0
