ID,HordeName_lang,AllianceName_lang,Description_lang,Tooltip_lang,GarrTypeID,BuildingType,HordeGameObjectID,AllianceGameObjectID,GarrSiteID,UpgradeLevel,BuildSeconds,CurrencyTypeID,CurrencyQty,HordeUiTextureKitID,AllianceUiTextureKitID,IconFileDataID,AllianceSceneScriptPackageID,HordeSceneScriptPackageID,MaxAssignments,ShipmentCapacity,GarrAbilityID,BonusGarrAbilityID,GoldCost,Flags
35,霜壁旅社,坠月旅店,冒险！刺激！英雄和他的追随者不但需要这些，还需要一个能够安心休息的场所。,每周随机招募追随者。你可以指定你最感兴趣的专长和技能。,2,5,230417,224806,0,2,3600,824,300,138,31,134414,1236,1235,0,3,0,0,300,1
36,霜壁旅社,坠月旅店,冒险！刺激！英雄和他的追随者不但需要这些，还需要一个能够安心休息的场所。,解锁奖励大量要塞资源的任务。,2,5,230418,224807,0,3,3600,824,600,139,32,134414,1238,1237,0,5,0,0,500,1
37,灵魂小屋,法师塔,可立即抵达德拉诺的各个战略要地！,使你可以从德拉诺的食人魔身上收集到食人魔道标石。这些道标石可以用来给你在德拉诺选定的食人魔传送门充能。在战斗中偶尔也会触发能量符文。,2,13,230419,224808,0,1,3600,824,150,148,28,975740,1240,1239,0,7,0,0,150,1
38,灵魂小屋,法师塔,可立即抵达德拉诺的各个战略要地！,解锁第二座食人魔传送门，最多可解锁2座。,2,13,230420,224809,0,2,3600,824,900,149,29,975740,1242,1241,0,14,0,0,300,1
39,灵魂小屋,法师塔,可立即抵达德拉诺的各个战略要地！,解锁第三座食人魔传送门，最多可解锁3座。,2,13,230421,224810,0,3,3600,824,1200,150,30,975740,1244,1243,0,21,0,0,500,1
40,伐木场,伐木场,伐木场可解锁德拉诺的各种木材。,允许你在德拉诺标记出可砍伐的小型树木。收获的木材通过产品订单转化为要塞物资。,2,4,230422,224811,0,1,3600,0,0,8,9,975739,1246,1245,0,7,0,0,300,1
41,伐木场,伐木场,伐木场可解锁德拉诺的各种木材。,允许你标记中型树木，获取额外的木材。,2,4,230423,224812,0,2,3600,0,0,161,62,975739,1248,1247,0,14,0,0,500,1
42,宠物小窝,宠物小窝,宠物小窝可以让你训练和强化你的宠物。,吸引可为你战斗并获取奖励的精英宠物。同时让你的5只战斗宠物在要塞中游荡。,2,7,230426,224813,0,1,3600,824,50,163,100,975741,1250,1249,5,1,0,0,0,0
51,仓库,仓库,仓库可以妥善保存你和要塞所生产的物品。,令你可以使用私人银行，并使所有建筑的活跃产品订单数提升5。,2,15,230437,224854,0,1,3600,824,50,140,71,975745,1200,1199,0,5,0,0,150,1
52,废品站,废品站,废品站可以把别人的垃圾变成你的宝物。,使完成任务后偶尔能回收到一些废品。,2,14,230440,224853,0,1,3600,824,50,141,64,975742,1202,1201,0,1,0,0,150,1
60,熔炉,熔炉,熔炉可以生产出锻造所需的基本材料，以及战斗所需的护甲和武器。,允许生产锻造物品并接受产品订单。,2,17,230448,225537,0,1,3600,824,50,5,4,4620670,1204,1203,0,7,0,0,150,1
61,霜壁矿井,坠月挖掘场,这是一座曾经废弃的矿井，但它的地下依然有着丰富的矿产在等待着人们的发掘。,使玩家可在德拉诺的矿点采到德拉诺岩石。德拉诺岩石可以通过产品订单转化为德拉诺的矿产。,2,1,230466,225538,0,1,3600,824,50,160,33,4620679,1206,1205,0,7,0,0,0,0
62,霜壁矿井,坠月挖掘场,这是一座曾经废弃的矿井，但它的地下依然有着丰富的矿产在等待着人们的发掘。,允许拥有采矿专长的追随者在此工作，提供特殊的奖励。同时开放一座新矿坑，提供额外的矿点，并允许同时接受最多14份产品订单。,2,1,230467,225539,0,2,3600,824,50,160,33,4620679,1208,1207,0,14,52,0,300,1
63,霜壁矿井,坠月挖掘场,这是一座曾经废弃的矿井，但它的地下依然有着丰富的矿产在等待着人们的发掘。,最后一座矿坑，可开启富矿矿点。此外，要塞守卫会巡视矿井，确保它不被敌对的鬣蜥人破坏。并允许同时接受最多21份产品订单。,2,1,230468,225540,0,3,3600,824,100,160,33,4620679,1210,1209,0,21,52,0,500,1
64,渔夫小屋,渔夫小屋,渔夫小屋可为那些想钓大鱼的人提供场所。,可以在要塞水域内钓到小型德拉诺鱼类。同时开启德拉诺每日钓鱼任务。,2,24,230984,230985,0,1,3600,824,50,134,85,4620674,1212,1211,0,1,227,0,0,0
65,兽栏,兽栏,兽栏可以为你的坐骑提供极大的增益。,允许捕捉并训练特定的德拉诺坐骑。同时允许你在德拉诺的野外区域与物体互动时，可以保持骑乘状态。,2,11,230469,225577,0,1,3600,824,150,151,68,975744,1214,1213,3,1,0,0,150,1
66,兽栏,兽栏,兽栏可以为你的坐骑提供极大的增益。,你在骑乘状态下穿过德拉诺的野外区域时，不会被敌人晕眩。,2,11,230470,225578,0,2,3600,824,900,152,69,975744,1216,1215,5,3,0,0,300,1
67,兽栏,兽栏,兽栏可以为你的坐骑提供极大的增益。,使坐骑在德拉诺的速度提高20%。,2,11,230471,225579,0,3,3600,824,1200,153,70,975744,1218,1217,7,5,0,0,500,1
76,炼金实验室,炼金实验室,炼金实验室可以制造出各种药剂和炼金奇物。,允许生产炼金物品并接受产品订单。,2,16,230443,227179,0,1,3600,824,50,23,20,4620669,1282,1281,0,7,0,0,150,1
90,制革厂,制革厂,制革厂可以将生皮加工成各种坚韧的制皮物品，供冒险者使用。,允许生产制皮物品并接受产品订单。,2,22,230457,227070,0,1,3600,824,50,114,97,133611,1316,1315,0,7,0,0,150,1
91,工坊,工坊,工坊可以为勇敢的工匠生产出各种实用的小玩意儿和零件，还可以制造神奇的机械设备。,允许生产工程学物品并接受产品订单。,2,19,230454,227072,0,1,3600,824,50,123,39,136243,1318,1317,0,7,0,0,150,1
93,附魔研究室,附魔研究室,附魔研究室可以制造用于附魔的魔法材料以及实用的附魔产品。,允许生产附魔物品，并可以让非附魔专业的玩家分解物品，并可接受产品订单。,2,18,230451,227073,0,1,3600,824,50,126,80,4620672,1320,1319,0,7,0,0,150,1
94,裁缝店,裁缝店,裁缝店能为需要采购各种布制品的你提供一站式服务。,允许生产裁缝物品并接受产品订单。,2,23,230463,227180,0,1,3600,824,50,111,91,4620681,1322,1321,0,7,0,0,150,1
95,铭文师之家,铭文师之家,铭文师之家可以生产各种魔法墨水、颜料和纸张，还可以制作雕文和其他魔法物品。,允许生产铭文物品并接受产品订单。,2,20,230427,227074,0,1,3600,824,50,120,94,4620676,1324,1323,0,7,0,0,150,1
96,珠宝店,珠宝店,珠宝店可以制造神奇的宝石和其他珠宝加工物品。,允许生产珠宝加工物品并接受产品订单。,2,21,230460,227075,0,1,3600,824,50,117,77,4620677,1326,1325,0,7,0,0,150,1
111,货栈,货栈,货栈是要塞与德拉诺原住民们进行交易的贸易中心。,商人每天到访一次，出售各种货物，并允许你用生产材料换取要塞物资。,2,6,230472,227673,0,1,3600,0,0,154,72,975746,1252,1251,0,7,0,0,300,1
117,熔炉,熔炉,熔炉可以生产出锻造所需的基本材料，以及战斗所需的护甲和武器。,允许拥有锻造专长的追随者在此工作，提供特殊的奖励，并允许同时接受最多14份产品订单。,2,17,230449,227588,0,2,3600,824,100,129,83,4620670,1284,1283,0,14,55,0,300,1
118,熔炉,熔炉,熔炉可以生产出锻造所需的基本材料，以及战斗所需的护甲和武器。,解锁锻造任务，并允许同时接受最多21份产品订单。,2,17,230450,227589,0,3,3600,824,300,130,84,4620670,1286,1285,0,21,55,0,500,1
119,炼金实验室,炼金实验室,炼金实验室可以制造出各种药剂和炼金奇物。,允许拥有炼金专长的追随者在此工作，提供特殊的奖励，并允许同时接受最多14份产品订单。,2,16,230444,227590,0,2,3600,824,100,24,21,4620669,1288,1287,0,14,54,0,300,1
120,炼金实验室,炼金实验室,炼金实验室可以制造出各种药剂和炼金奇物。,解锁炼金任务，并允许同时接受最多21份产品订单。,2,16,230445,227591,0,3,3600,824,300,25,22,4620669,1290,1289,0,21,54,0,500,1
121,制革厂,制革厂,制革厂可以将生皮加工成各种坚韧的制皮物品，供冒险者使用。,允许拥有制皮专长的追随者在此工作，提供特殊的奖励，并允许同时接受最多14份产品订单。,2,22,230458,227592,0,2,3600,824,100,115,98,133611,1292,1291,0,14,60,0,300,1
122,制革厂,制革厂,制革厂可以将生皮加工成各种坚韧的制皮物品，供冒险者使用。,解锁制皮任务，并允许同时接受最多21份产品订单。,2,22,230459,227593,0,3,3600,824,300,116,99,133611,1294,1293,0,21,60,0,500,1
123,工坊,工坊,工坊可以为勇敢的工匠生产出各种实用的小玩意儿和零件，还可以制造神奇的机械设备。,允许拥有工程学专长的追随者在此工作，提供特殊的奖励，并允许同时接受最多14份产品订单。,2,19,230455,227594,0,2,3600,824,100,124,40,136243,1296,1295,0,14,57,0,300,1
124,工坊,工坊,工坊可以为勇敢的工匠生产出各种实用的小玩意儿和零件，还可以制造神奇的机械设备。,解锁工程学任务，并允许同时接受最多21份产品订单。,2,19,230456,227595,0,3,3600,824,300,125,41,136243,1298,1297,0,21,57,0,500,1
125,附魔研究室,附魔研究室,附魔研究室可以制造用于附魔的魔法材料以及实用的附魔产品。,允许拥有附魔专长的追随者在此工作，提供特殊的奖励，并允许同时接受最多14份产品订单。,2,18,230452,227596,0,2,3600,824,100,127,81,4620672,1300,1299,0,14,56,0,300,1
126,附魔研究室,附魔研究室,附魔研究室可以制造用于附魔的魔法材料以及实用的附魔产品。,解锁附魔任务，并允许同时接受最多21份产品订单。,2,18,230453,227597,0,3,3600,824,300,128,82,4620672,1302,1301,0,21,56,0,500,1
127,裁缝店,裁缝店,裁缝店能为需要采购各种布制品的你提供一站式服务。,允许拥有裁缝专长的追随者在此工作，提供特殊的奖励，并允许同时接受最多14份产品订单。,2,23,230464,227598,0,2,3600,824,100,112,92,4620681,1304,1303,0,14,61,0,300,1
128,裁缝店,裁缝店,裁缝店能为需要采购各种布制品的你提供一站式服务。,解锁裁缝任务，并允许同时接受最多21份产品订单。,2,23,230465,227599,0,3,3600,824,300,113,93,4620681,1306,1305,0,21,61,0,500,1
129,铭文师之家,铭文师之家,铭文师之家可以生产各种魔法墨水、颜料和纸张，还可以制作雕文和其他魔法物品。,允许拥有铭文专长的追随者在此工作，提供特殊的奖励，并允许同时接受最多14份产品订单。,2,20,230430,227600,0,2,3600,824,100,121,95,4620676,1308,1307,0,14,58,0,300,1
130,铭文师之家,铭文师之家,铭文师之家可以生产各种魔法墨水、颜料和纸张，还可以制作雕文和其他魔法物品。,解锁铭文任务，并允许同时接受最多21份产品订单。,2,20,230432,227601,0,3,3600,824,300,122,96,4620676,1310,1309,0,21,58,0,500,1
131,珠宝店,珠宝店,珠宝店可以制造神奇的宝石和其他珠宝加工物品。,允许拥有珠宝加工专长的追随者在此工作，提供特殊的奖励，并允许同时接受最多14份产品订单。,2,21,230461,227602,0,2,3600,824,100,118,78,4620677,1312,1311,0,14,59,0,300,1
132,珠宝店,珠宝店,珠宝店可以制造神奇的宝石和其他珠宝加工物品。,解锁珠宝加工任务，并允许同时接受最多21份产品订单。,2,21,230462,227603,0,3,3600,824,300,119,79,4620677,1314,1313,0,21,59,0,500,1
133,畜棚,畜棚,畜棚可以捕捉动物，为要塞提供皮革、鲜肉和毛皮。,允许你捕捉精英野兽，获取锻造史诗护甲和武器所需的狂野之血。,2,3,233188,233186,0,3,3600,824,600,133,26,975737,1232,1231,0,21,62,0,500,1
134,渔夫小屋,渔夫小屋,渔夫小屋可为那些想钓大鱼的人提供场所。,可以在要塞水域内钓到中型德拉诺鱼类。,2,24,230986,230987,0,2,3600,824,50,135,86,4620674,1254,1253,0,3,227,0,300,1
135,渔夫小屋,渔夫小屋,渔夫小屋可为那些想钓大鱼的人提供场所。,可以在要塞水域内钓到巨型德拉诺鱼类。并使你有一定几率在要塞水域内钓到特殊鱼类。这种鱼可以将神秘生物引到海滩上来。,2,24,230990,230989,0,3,3600,824,100,136,87,4620674,1256,1255,0,5,227,0,500,1
136,药圃,药圃,一块肥沃的药圃，可种植并收获德拉诺草药。,允许拥有草药学专长的追随者在此工作，提供特殊的奖励。同时并提高药圃的草药产量，并允许同时接受最多14份产品订单。,2,2,236448,235990,0,2,3600,824,50,137,59,134221,1258,1257,0,14,53,0,300,1
137,药圃,药圃,一块肥沃的药圃，可种植并收获德拉诺草药。,在你的药圃中种植一颗特别的德拉诺果树并提供食物效果。并允许同时接受最多21份产品订单。,2,2,236449,235991,0,3,3600,824,100,137,59,134221,1260,1259,0,21,53,0,500,1
138,伐木场,伐木场,伐木场可解锁德拉诺的各种木材。,允许你标记大型树木，获取更多木材。,2,4,233266,233267,0,3,3600,0,0,162,63,975739,1262,1261,0,21,228,0,1000,1
140,废品站,废品站,废品站可以把别人的垃圾变成你的宝物。,提升你在任务中回收到废品的几率。此外，你现在还可以在废品站中发现追随者用品。,2,14,230441,230475,0,2,3600,824,100,141,64,975742,1266,1265,0,3,0,0,300,1
141,废品站,废品站,废品站可以把别人的垃圾变成你的宝物。,大幅提升你在任务中回收到废品的几率。,2,14,230442,230476,0,3,3600,824,300,141,64,975742,1268,1267,0,5,0,0,500,1
142,仓库,仓库,仓库可以妥善保存你和要塞所生产的物品。,使你可以使用公会银行。,2,15,230438,234678,0,2,3600,824,100,140,71,975745,1270,1269,0,5,0,0,300,1
143,仓库,仓库,仓库可以妥善保存你和要塞所生产的物品。,解锁一名提供虚空仓库和幻化服务的虚灵商人，并使所有建筑的活跃产品订单数提升15。,2,15,230439,234679,0,3,3600,824,300,140,71,975745,1272,1271,0,15,0,0,500,1
144,货栈,货栈,货栈是要塞与德拉诺原住民们进行交易的贸易中心。,开启沙塔尔城防军或嘲颅氏族阵营声望。同时解锁一个新技能，可让你从德拉诺各地收集零件制造一名拍卖师。,2,6,230473,227674,0,2,3600,0,0,155,73,975746,1274,1273,0,14,0,0,500,1
145,货栈,货栈,货栈是要塞与德拉诺原住民们进行交易的贸易中心。,在德拉诺的声望获取速度提高20%。,2,6,230474,233189,0,3,3600,0,0,156,74,975746,1276,1275,0,21,0,0,1000,1
159,角斗士圣殿,角斗士圣殿,展示你碾压德拉诺其他敌对玩家的实力，并磨练你在浸满鲜血的竞技场内的实力。击杀你的敌人，带回他们死亡的证据以换取强大的礼物！,当你在德拉诺的野外区域时，非战斗状态下的恢复速度提高，并可以从你击败的敌方玩家身上收集到破碎骨骼（可换取胜利者的礼物）。,2,25,230477,230480,0,1,3600,824,100,145,65,975743,1332,1331,0,7,0,0,150,1
160,角斗士圣殿,角斗士圣殿,展示你碾压德拉诺其他敌对玩家的实力，并磨练你在浸满鲜血的竞技场内的实力。击杀你的敌人，带回他们死亡的证据以换取强大的礼物！,当你在德拉诺的野外区域时，可在水下无限呼吸并从高处安全降落。同时开启宿敌系列任务，要求你击败特定种族的玩家。,2,25,230478,230486,0,2,3600,824,300,146,66,975743,1334,1333,0,14,0,0,300,1
161,角斗士圣殿,角斗士圣殿,展示你碾压德拉诺其他敌对玩家的实力，并磨练你在浸满鲜血的竞技场内的实力。击杀你的敌人，带回他们死亡的证据以换取强大的礼物！,当你在德拉诺的野外区域时，生命值低于35%时受到的所有伤害降低50%。并允许你参加悬槌竞技场的角斗士大赛。,2,25,230479,230487,0,3,3600,824,600,147,67,975743,1336,1335,0,21,0,0,500,1
162,地精车间,侏儒工厂,用你的机械化力量碾压敌人！,解锁一名私人工程师，每天为你制作一种强力发明。全都是优秀的杰作！,2,26,230489,230492,0,1,3600,824,150,157,88,975747,1264,1263,0,0,0,0,150,1
163,地精车间,侏儒工厂,用你的机械化力量碾压敌人！,你的工程师可以制造五种全新的神奇设备。,2,26,230490,230493,0,2,3600,824,900,158,89,975747,1278,1277,0,0,0,0,300,1
164,地精车间,侏儒工厂,用你的机械化力量碾压敌人！,可每天生产一台攻城车。驾驶着它在德拉诺大陆上奔向胜利吧！,2,26,230491,230494,0,3,3600,824,1200,159,90,975747,1280,1279,0,1,0,0,500,1
167,宠物小窝,宠物小窝,宠物小窝可以让你训练和强化你的宠物。,提升你的陷阱成功率，并缩短在德拉诺复活战斗宠物的冷却时间。现在，可让你的最多10只宠物在要塞中游荡。,2,7,236180,235992,0,2,3600,824,50,163,100,975741,1328,1327,10,3,0,0,300,1
168,宠物小窝,宠物小窝,宠物小窝可以让你训练和强化你的宠物。,解锁一个宠物对战日常任务，并提供特殊的宠物奖励。,2,7,236181,235993,0,3,3600,824,100,163,100,975741,1330,1329,10,5,0,0,500,1
205,霜壁船坞,坠月船坞,建造船只，从要塞附近的海域出发，执行海军行动。,,2,9,230489,230489,0,1,0,0,0,14,14,1126431,0,0,0,1,0,0,0,2
206,霜壁船坞,坠月船坞,建造船只，从要塞附近的海域出发，执行海军行动。,,2,9,230489,230489,0,2,0,0,0,14,14,1126431,0,0,2,1,0,0,0,2
207,霜壁船坞,坠月船坞,建造船只，从要塞附近的海域出发，执行海军行动。,,2,9,230489,230489,0,3,0,0,0,14,14,1126431,0,0,4,1,0,0,0,2
209,职业大厅,职业大厅,,,3,0,230489,230489,0,1,0,0,0,154,72,132093,0,0,0,1,0,0,0,0
