Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID
在拍卖行出售物品的最高价格,在拍卖行出售物品的最高价格,,332,-1,-1,0,140,0,0,1,9,136243,0,2750,0,0
拾取金币,拾取金币,,333,-1,-1,0,140,0,0,1,3,136243,0,2753,0,0
最大金币数量,最大金币数量,,334,-1,-1,0,140,0,0,1,14,136243,0,2,0,0
获得小宠物,获得小宠物,,338,-1,-1,0,15219,0,0,1,1,136243,0,5294,0,0
使用绷带,使用绷带,,344,-1,-1,0,145,0,0,1,1,136243,0,1930,0,0
饮用治疗药水,饮用治疗药水,,345,-1,-1,0,145,0,0,9,4,136243,0,5882,0,0
饮用饮料,饮用饮料,,346,-1,-1,0,145,0,0,1,16,136243,0,5924,0,0
食用食品,食用食品,,347,-1,-1,0,145,0,0,9,19,136243,0,15901,0,0
乘坐公共飞行工具,乘坐公共飞行工具,,349,-1,-1,0,134,0,0,1,1,136243,0,2442,0,0
使用法师传送门,使用法师传送门,,350,-1,-1,0,134,0,0,1,3,136243,0,921,0,0
使用炉石的次数,使用炉石的次数,,353,-1,-1,0,134,0,0,1,5,136243,0,467,0,0
5v5胜利,5v5胜利,,362,-1,-1,0,152,0,0,524289,4,136243,0,532,0,0
5v5比赛,5v5比赛,,363,-1,-1,0,152,0,0,524289,3,136243,0,6137,0,0
3v3胜利,3v3胜利,,364,-1,-1,0,152,0,0,1,6,136243,0,2445,0,0
3v3比赛,3v3比赛,,365,-1,-1,0,152,0,0,1,5,136243,0,6144,0,0
2v2胜利,2v2胜利,,366,-1,-1,0,152,0,0,1,8,136243,0,6151,0,0
2v2比赛,2v2比赛,,367,-1,-1,0,152,0,0,1,7,136243,0,539,0,0
,最高的2v2个人等级,,370,-1,-1,0,152,0,0,1,43,136243,0,10139,0,0
,最高的2v2战队等级,,374,-1,-1,0,152,0,0,524289,46,136243,0,4040,0,0
世界荣誉消灭,世界荣誉消灭,,381,-1,-1,0,136,0,0,1,2,136243,0,6158,0,0
战场荣誉消灭,战场荣誉消灭,,382,-1,-1,0,136,0,0,1,4,136243,0,973,0,0
竞技场荣誉消灭,竞技场荣誉消灭,,383,-1,-1,0,136,0,0,1,3,136243,0,983,0,0
在你所属阵营的任意主城中消灭50个敌对阵营的玩家。,城市卫兵,,388,-1,1,0,95,0,10,128,18,236593,0,4372,0,0
从古拉巴什竞技场拾取竞技场高手饰物。,竞技场高手饰物,,389,-1,-1,0,95,1,10,0,16,133608,0,8047,0,0
防御奥特兰克山谷哨塔,防御奥特兰克山谷哨塔,,393,-1,-1,0,153,0,0,1,28,136243,0,2474,0,0
占领奥特兰克山谷哨塔,占领奥特兰克山谷哨塔,,394,-1,-1,0,153,0,0,1,29,136243,0,9924,0,0
夺取战歌峡谷旗帜,夺取战歌峡谷旗帜,,395,-1,-1,0,153,0,0,1,33,136243,0,4043,0,0
完成小个子约翰·米斯瑞尔的任务，获得竞技场大师饰物。,古拉巴什竞技场大师,,396,-1,-1,0,95,1,10,0,17,133599,0,7014,0,0
获得一场竞技场排位赛的胜利。,进入竞技场,,397,-1,-1,0,165,0,10,0,1,236543,0,2671,0,0
获得100场竞技场排位赛的胜利。,残酷的斗士,,398,-1,-1,397,165,0,10,0,2,236534,0,2674,0,0
在2v2竞技场比赛中达到1550个人等级。,两人世界：1550,,399,-1,-1,0,165,0,10,0,6,236323,0,3229,0,0
在2v2竞技场比赛中达到1750个人等级。,两人世界：1750,,400,-1,-1,399,165,0,10,0,7,236326,0,3251,0,0
在2v2竞技场比赛中达到2000个人等级。,两人世界：2000,,401,-1,-1,400,165,0,10,0,8,236327,0,3744,0,0
在3v3竞技场比赛中达到1550个人等级。,三人行：1550,,402,-1,-1,0,165,0,10,0,10,236330,0,2080,0,0
在3v3竞技场比赛中达到1750个人等级。,三人行：1750,,403,-1,-1,402,165,0,10,0,11,236333,0,5747,0,0
在5v5竞技场比赛中达到2000个人等级。,五子登科：2000,,404,-1,-1,407,15270,0,0,2048,110,236341,0,3349,0,0
在3v3竞技场比赛中达到2000个人等级。,三人行：2000,,405,-1,-1,403,165,0,10,0,12,236334,0,7093,0,0
在5v5竞技场比赛中达到1550个人等级。,五子登科：1550,,406,-1,-1,0,15270,0,0,2048,108,236337,0,5297,0,0
在5v5竞技场比赛中达到1750个人等级。,五子登科：1750,,407,-1,-1,406,15270,0,0,2048,109,236340,0,2464,0,0
获得连续10场排位赛的胜利。,连战连胜,,408,-1,-1,0,165,0,10,0,16,135805,0,10115,0,0
在5v5竞技场排位赛中成为最后一名幸存者。,最后一人,,409,-1,-1,0,15270,0,0,2048,112,135981,0,2071,0,0
拥有2005年BlizzCon赠送的鱼人宝宝。,奔波尔霸,,411,-1,-1,0,15268,1,0,133120,1,132834,0,4398,0,0
拥有2007年BlizzCon赠送的鱼人服装。,鱼人服装,,412,-1,-1,0,15268,1,0,2048,2,134169,0,4046,0,0
拥有2008年巴黎WWI赠送的泰瑞尔的剑柄。,泰瑞尔的剑柄,,414,-1,-1,0,15268,1,0,133120,3,135277,0,1119,0,0
拥有2008年BlizzCon赠送的暴雪巨熊。,暴雪巨熊,,415,-1,-1,0,15268,1,0,133120,4,298586,0,1043,0,0
打开安其拉之门。,甲虫之王,,416,-1,-1,0,15269,0,0,264192,57,236829,0,1735,0,0
获得头衔“残酷角斗士”。,残酷角斗士,,418,-1,-1,0,15270,0,0,2048,113,236534,0,2936,0,0
获得头衔“复仇角斗士”。,复仇角斗士,,419,-1,-1,0,15270,0,0,2048,114,236535,0,189,0,0
获得头衔“野蛮角斗士”。,野蛮角斗士,,420,-1,-1,0,15270,0,0,2048,115,236536,0,4217,0,0
获得一枚红色其拉共鸣水晶。,红色是身份的象征,,424,-1,-1,0,15269,1,0,133120,54,134396,0,3753,0,0
获得埃提耶什，守护者的传说之杖。,埃提耶什，守护者的传说之杖,,425,-1,-1,0,15271,1,0,2048,16,135226,0,3394,0,0
获得一套埃辛诺斯战刃。,埃辛诺斯战刃,,426,-1,-1,0,15271,0,0,2048,12,135561,0,1875,0,0
获得雷霆之怒，逐风者的祝福之剑。,雷霆之怒，逐风者的祝福之剑,,428,-1,-1,0,15271,0,0,2048,15,135349,0,3756,0,0
获得萨弗拉斯，炎魔拉格纳罗斯之手。,萨弗拉斯，炎魔拉格纳罗斯之手,,429,-1,-1,0,15271,0,0,2048,1,133066,0,522,0,0
拥有一头阿曼尼战熊。,阿曼尼战熊,,430,-1,-1,0,15269,1,0,133120,15,132117,0,3254,0,0
获得头衔“阿达尔之手”。,阿达尔之手,,431,-1,-1,0,15278,0,0,2048,6,133502,0,2243,0,0
获得头衔“纳鲁的勇士”。,纳鲁的勇士,,432,-1,-1,0,15278,0,0,2048,5,133531,0,6551,0,0
在60级时获得头衔“大元帅”。,大元帅,,433,-1,1,0,15279,0,0,2048,31,236590,0,80,0,0
在60级时获得头衔“元帅”。,元帅,,434,-1,1,0,15279,0,0,2048,30,236589,0,5517,0,0
在60级时获得头衔“司令”。,司令,,435,-1,1,0,15279,0,0,2048,28,236587,0,3142,0,0
在60级时获得头衔“少校”。,少校,,436,-1,1,0,15279,0,0,2048,27,236586,0,83,0,0
在60级时获得头衔“护卫骑士”。,护卫骑士,,437,-1,1,0,15279,0,0,2048,26,236585,0,6353,0,0
在60级时获得头衔“骑士队长”。,骑士队长,,438,-1,1,0,15279,0,0,2048,25,236584,0,2477,0,0
在60级时获得头衔“骑士”。,骑士,,439,-1,1,0,15279,0,0,2048,23,236582,0,86,0,0
在60级时获得头衔“士官长”。,士官长,,440,-1,1,0,15279,0,0,2048,22,236581,0,2226,0,0
在60级时获得头衔“军士长”。,军士长,,441,-1,1,0,15279,0,0,2048,21,236580,0,3699,0,0
在60级时获得头衔“列兵”。,列兵,,442,-1,1,0,15279,0,0,2048,18,236577,0,6659,0,0
在60级时获得头衔“高阶督军”。,高阶督军,,443,-1,0,0,15279,0,0,2048,17,236625,0,2229,0,0
在60级时获得头衔“中将”。,中将,,444,-1,0,0,15279,0,0,2048,14,236622,0,5649,0,0
在60级时获得头衔“督军”。,督军,,445,-1,0,0,15279,0,0,2048,16,236624,0,279,0,0
在60级时获得头衔“将军”。,将军,,446,-1,0,0,15279,0,0,2048,15,236623,0,282,0,0
在60级时获得头衔“勇士”。,勇士,,447,-1,0,0,15279,0,0,2048,13,236621,0,6350,0,0
