ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
50,麦卡贡|n|cFFFFD200声望：|r锈栓抵抗军 - 尊敬|n|cFFFFD200商人出售：|r失窃的御用贩卖机|n|cFFFFD200地区：|r锈栓镇|n|cFFFFD200价格：|r5个电流振荡器和10个S.P.A.R.E.零件箱,,13,2,295747,295844,300015,300018
51,麦卡贡|n|cFFFFD200声望：|r锈栓抵抗军 - 崇敬|n|cFFFFD200商人出售：|r失窃的御用贩卖机|n|cFFFFD200地区：|r锈栓镇|n|cFFFFD200价格：|r8个电流振荡器和20个S.P.A.R.E.零件箱,,13,3,295748,295846,300016,300020
52,麦卡贡|n|cFFFFD200声望：|r 锈栓补给品|n|cFFFFD200商人出售：|r 失窃的御用贩卖机|n|cFFFFD200地区：|r 锈栓镇,,13,4,295749,295845,300016,300020
53,永恒王宫团队副本|n|cFFFFD200组合：|r沧海圣匣|n|cFFFFD200掉落：|r 艾萨拉之辉、女王法庭或艾萨拉女王,,14,1,295840,295834,295840,295834
54,永恒王宫团队副本|n|cFFFFD200组合：|r沧海圣匣|n|cFFFFD200掉落：|r 艾萨拉之辉、女王法庭或艾萨拉女王,,14,2,295841,295836,299355,299354
55,永恒王宫团队副本|n|cFFFFD200组合：|r沧海圣匣|n|cFFFFD200掉落：|r 艾萨拉之辉、女王法庭或艾萨拉女王,,14,3,295843,295837,299358,299357
56,永恒王宫团队副本|n|cFFFFD200掉落：|r 艾萨拉女王 - 史诗难度,,14,4,295892,295839,299358,299357
57,战争模式|n|cFFFFD200任务：|r “水淹部落”|n|cFFFFD200任务给予人：|r 克拉提库斯·曼比德尔|n|cFFFFD200地区：|r 梅扎米尔,战争模式|n|cFFFFD200任务：|r “水淹联盟”|n|cFFFFD200任务给予人：|r 达兹里安|n|cFFFFD200地区：|r 新生家园,15,1,302731,302916,302731,302916
58,"战争模式|n|cFFFFD200成就：|r""两线对决""|n|cFFFFD200商人出售：|r克拉提库斯·曼比德尔|n|cFFFFD200地区：|r梅扎米尔|n|cFFFFD200价格：|r20 纳沙塔尔战争嘉奖","战争模式|n|cFFFFD200成就：|r""两线对决""|n|cFFFFD200商人出售：|r达兹里安|n|cFFFFD200地区：|r新生家园|n|cFFFFD200价格：|r20 纳沙塔尔战争嘉奖",15,2,302778,302957,302982,302984
59,战争模式|n|cFFFFD200收集：|r战斗召唤勋章|n|cFFFFD200任务：|r“战斗的召唤”每周任务|n|cFFFFD200商人出售：|r克拉提库斯·曼比德尔|n|cFFFFD200地区：|r梅扎米尔|n|cFFFFD200价格：|r10 战斗召唤勋章和50 纳沙塔尔战争嘉奖,战争模式|n|cFFFFD200收集：|r战斗召唤勋章|n|cFFFFD200任务：|r“战斗的召唤”每周任务|n|cFFFFD200商人出售：|r达兹里安|n|cFFFFD200地区：|r新生家园|n|cFFFFD200价格：|r10 战斗召唤勋章和50 纳沙塔尔战争嘉奖,15,3,302780,302961,302983,302985
60,"战争模式|n|cFFFFD200成就：|r ""刺客的补给""|n|cFFFFD200商人出售：|r 克拉提库斯·曼比德尔|n|cFFFFD200地区：|r 梅扎米尔","战争模式|n|cFFFFD200成就：|r ""刺客的补给""|n|cFFFFD200商人出售：|r 达兹里安|n|cFFFFD200地区：|r 新生家园",15,4,302910,302962,302983,302985
61,恩佐斯的惊魂幻象|n|cFFFFD200掉落：|r|n萨尔或奥蕾莉亚的诅咒宝箱|n|cFFFFD200地区：|r心之秘室,,16,1,296036,293030,296036,293030
62,恩佐斯的惊魂幻象|n|cFFFFD200掉落：|r|n失落区域的腐化的宝箱|n|cFFFFD200地区：|r心之秘室,,16,2,296038,296031,310425,310422
63,恩佐斯的惊魂幻象|n|cFFFFD200组合：|r坚壁之力火花|n|cFFFFD200掉落：|r|n腐化和失落区域的腐化的宝箱|n|cFFFFD200地区：|r心之秘室,,16,3,296104,296032,310442,310426
64,纳沙塔尔|n|cFFFFD200声望：|r剑鱼人 - 友善|n|cFFFFD200商人出售：|r代言人尤提亚|n|cFFFFD200地区：|r梅扎米尔|n|cFFFFD200价格：|r10 棱彩法力珍珠,纳沙塔尔|n|cFFFFD200声望：|r破镣者 - 友善|n|cFFFFD200商人出售：|r阿托莉亚·海珠|n|cFFFFD200地区：|r新生家园|n|cFFFFD200价格：|r10 棱彩法力珍珠,17,1,296072,296050,296072,296050
65,纳沙塔尔|n|cFFFFD200声望：|r剑鱼人 - 尊敬|n|cFFFFD200商人出售：|r代言人尤提亚|n|cFFFFD200地区：|r梅扎米尔|n|cFFFFD200价格：|r25 棱彩法力珍珠,纳沙塔尔|n|cFFFFD200声望：|r破镣者 - 尊敬|n|cFFFFD200商人出售：|r阿托莉亚·海珠|n|cFFFFD200地区：|r新生家园|n|cFFFFD200价格：|r25 棱彩法力珍珠,17,2,296074,296067,299875,299878
66,纳沙塔尔|n|cFFFFD200声望：|r剑鱼人 - 崇敬|n|cFFFFD200商人出售：|r代言人尤提亚|n|cFFFFD200地区：|r梅扎米尔|n|cFFFFD200价格：|r50 棱彩法力珍珠,纳沙塔尔|n|cFFFFD200声望：|r破镣者 - 崇敬|n|cFFFFD200商人出售：|r阿托莉亚·海珠|n|cFFFFD200地区：|r新生家园|n|cFFFFD200价格：|r50 棱彩法力珍珠,17,3,296075,296062,299876,299879
67,战场|n|cFFFFD200任务：|r “席卷战场”|n|cFFFFD200交还任务NPC：|r 加布里埃尔元帅|n|cFFFFD200地区：|r 伯拉勒斯艾什凡码头,战场|n|cFFFFD200任务：|r “席卷战场”|n|cFFFFD200交还任务NPC：|r 山德·希尔伯曼|n|cFFFFD200地区：|r 穆贾巴拉,18,1,296094,296081,296094,296081
68,"战场|n|cFFFFD200成就：|r""战场斗士""|n|cFFFFD200商人出售：|r加布里埃尔元帅|n|cFFFFD200地区：|r伯拉勒斯艾什凡码头|n|cFFFFD200价格：|r25 荣耀印记","战场|n|cFFFFD200成就：|r""战场斗士""|n|cFFFFD200商人出售：|r山德·希尔伯曼|n|cFFFFD200地区：|r穆贾巴拉|n|cFFFFD200价格：|r25 荣耀印记",18,2,296102,296091,299882,299885
69,"战场|n|cFFFFD200成就：|r""战场战术家""|n|cFFFFD200商人出售：|r加布里埃尔元帅|n|cFFFFD200地区：|r伯拉勒斯艾什凡码头|n|cFFFFD200价格：|r25 荣耀印记","战场|n|cFFFFD200成就：|r""战场战术家""|n|cFFFFD200商人出售：|r山德·希尔伯曼|n|cFFFFD200地区：|r穆贾巴拉|n|cFFFFD200价格：|r25 荣耀印记",18,3,296103,296089,299883,299887
70,麦卡贡|n|cFFFFD200声望：|r锈栓抵抗军 - 友善|n|cFFFFD200商人出售：|r失窃的御用贩卖机|n|cFFFFD200地区：|r锈栓镇|n|cFFFFD200价格：|r1个电流振荡器和2个S.P.A.R.E.零件箱,,19,1,296197,296136,296197,296136
71,麦卡贡|n|cFFFFD200声望：|r锈栓抵抗军 - 尊敬|n|cFFFFD200商人出售：|r失窃的御用贩卖机|n|cFFFFD200地区：|r锈栓镇|n|cFFFFD200价格：|r5个电流振荡器和10个S.P.A.R.E.零件箱,,19,2,296200,296192,299932,299935
72,麦卡贡|n|cFFFFD200声望：|r锈栓抵抗军 - 崇敬|n|cFFFFD200商人出售：|r失窃的御用贩卖机|n|cFFFFD200地区：|r锈栓镇|n|cFFFFD200价格：|r8个电流振荡器和20个S.P.A.R.E.零件箱,,19,3,296201,296193,299933,299936
73,史诗地下城|n|cFFFFD200组合：|r 聚焦生命心能|n|cFFFFD200掉落：|r 地下城终点首领,,20,1,293032,296207,293032,296207
74,史诗地下城|n|cFFFFD200组合：|r 聚焦生命心能|n|cFFFFD200掉落：|r 地下城终点首领,,20,2,296220,296213,299943,299939
75,史诗地下城|n|cFFFFD200组合：|r 聚焦生命心能|n|cFFFFD200掉落：|r 地下城终点首领,,20,3,296221,296214,299944,299940
76,永恒王宫团队副本|n|cFFFFD200组合：|r沧海圣匣|n|cFFFFD200掉落：|r 艾萨拉之辉、女王法庭或艾萨拉女王,,21,1,296230,303448,296230,303448
77,永恒王宫团队副本|n|cFFFFD200组合：|r沧海圣匣|n|cFFFFD200掉落：|r 艾萨拉之辉、女王法庭或艾萨拉女王,,21,2,303472,303463,299958,303474
78,永恒王宫团队副本|n|cFFFFD200组合：|r沧海圣匣|n|cFFFFD200掉落：|r 艾萨拉之辉、女王法庭或艾萨拉女王,,21,3,296232,303460,299959,303476
79,麦卡贡行动|n|cFFFFD200掉落：|r麦卡贡国王,,22,1,296325,296320,296325,296320
80,麦卡贡行动|n|cFFFFD200匠技：|r图纸：完美同步的差速齿轮|n|cFFFFD200掉落：|r麦卡贡国王,,22,2,296326,296321,299368,299367
81,麦卡贡行动|n|cFFFFD200组合：|r序列链轮|n|cFFFFD200掉落：|r麦卡贡国王,,22,3,303342,296322,299370,299369
82,"麦卡贡行动（史诗）|n|cFFFFD200成就：|r""心之锁定""|n|cFFFFD200闲聊：|r艾拉兹敏王子|n|cFFFFD200地区：|r锈栓镇",,22,4,296328,296324,299370,299369
83,战场|n|cFFFFD200任务：|r “席卷战场”|n|cFFFFD200交还任务NPC：|r 加布里埃尔元帅|n|cFFFFD200地区：|r 伯拉勒斯艾什凡码头,战场|n|cFFFFD200任务：|r “席卷战场”|n|cFFFFD200交还任务NPC：|r 山德·希尔伯曼|n|cFFFFD200地区：|r 穆贾巴拉,23,1,297108,297147,297108,297147
84,"战场|n|cFFFFD200成就：|r""战场斗士""|n|cFFFFD200商人出售：|r加布里埃尔元帅|n|cFFFFD200地区：|r伯拉勒斯艾什凡码头|n|cFFFFD200价格：|r25 荣耀印记","战场|n|cFFFFD200成就：|r""战场斗士""|n|cFFFFD200商人出售：|r山德·希尔伯曼|n|cFFFFD200地区：|r穆贾巴拉|n|cFFFFD200价格：|r25 荣耀印记",23,2,297120,297177,298273,298274
85,"战场|n|cFFFFD200成就：|r""战场战术家""|n|cFFFFD200商人出售：|r加布里埃尔元帅|n|cFFFFD200地区：|r伯拉勒斯艾什凡码头|n|cFFFFD200价格：|r25 荣耀印记","战场|n|cFFFFD200成就：|r""战场战术家""|n|cFFFFD200商人出售：|r山德·希尔伯曼|n|cFFFFD200地区：|r穆贾巴拉|n|cFFFFD200价格：|r25 荣耀印记",23,3,297122,297178,298277,298275
89,"锦绣谷|n|cFFFFD200任务链起始：|r|n""披荆斩棘""|n|cFFFFD200任务链结束：|r|n""重拾希望""|n|cFFFFD200任务给予人：|r麦格尼·铜须|n|cFFFFD200地区：|r心之秘室",,24,1,297375,297411,297375,297411
90,锦绣谷|n|cFFFFD200组合：|r永生精魂之息|n|cFFFFD200任务：|r|n每周第一次完成黑暗幻象日常任务|n|cFFFFD200任务给予人：|r黑爪特工|n|cFFFFD200地区：|r|n奥丹姆或锦绣谷的黑暗幻象传送门附近,,24,2,297546,297542,298309,298302
91,锦绣谷|n|cFFFFD200声望：|r 莱加尼 - 崇敬|n|cFFFFD200商人出售：|r 章喾|n|cFFFFD200地区：|r 缄默圣地|n|cFFFFD200价格：|r 50 腐化的纪念品,,24,3,297547,297544,298312,298304
96,纳沙塔尔|n|cFFFFD200声望：|r剑鱼人 - 友善|n|cFFFFD200商人出售：|r代言人尤提亚|n|cFFFFD200地区：|r梅扎米尔|n|cFFFFD200价格：|r10 棱彩法力珍珠,纳沙塔尔|n|cFFFFD200声望：|r破镣者 - 友善|n|cFFFFD200商人出售：|r阿托莉亚·海珠|n|cFFFFD200地区：|r新生家园|n|cFFFFD200价格：|r10 棱彩法力珍珠,25,1,298168,298193,298168,298193
97,纳沙塔尔|n|cFFFFD200声望：|r剑鱼人 - 尊敬|n|cFFFFD200商人出售：|r代言人尤提亚|n|cFFFFD200地区：|r梅扎米尔|n|cFFFFD200价格：|r25 棱彩法力珍珠,纳沙塔尔|n|cFFFFD200声望：|r破镣者 - 尊敬|n|cFFFFD200商人出售：|r阿托莉亚·海珠|n|cFFFFD200地区：|r新生家园|n|cFFFFD200价格：|r25 棱彩法力珍珠,25,2,298169,298351,299273,299274
98,纳沙塔尔|n|cFFFFD200声望：|r剑鱼人 - 崇敬|n|cFFFFD200商人出售：|r代言人尤提亚|n|cFFFFD200地区：|r梅扎米尔|n|cFFFFD200价格：|r50 棱彩法力珍珠,纳沙塔尔|n|cFFFFD200声望：|r破镣者 - 崇敬|n|cFFFFD200商人出售：|r阿托莉亚·海珠|n|cFFFFD200地区：|r新生家园|n|cFFFFD200价格：|r50 棱彩法力珍珠,25,3,298174,298352,299275,299277
99,"战场|n|cFFFFD200成就：|r ""战场大师""|n|cFFFFD200商人出售：|r 加布里埃尔元帅|n|cFFFFD200地区：|r 伯拉勒斯艾什凡码头","战场|n|cFFFFD200成就：|r ""战场大师""|n|cFFFFD200商人出售：|r 山德·希尔伯曼|n|cFFFFD200地区：|r 穆贾巴拉",23,4,298182,298183,298277,298275
100,锦绣谷|n|cFFFFD200声望：|r 莱加尼补给品|n|cFFFFD200商人出售：|r 章喾|n|cFFFFD200地区：|r 缄默圣地,,24,4,298184,298185,298312,298304
101,纳沙塔尔|n|cFFFFD200声望：|r 剑鱼人补给品|n|cFFFFD200商人出售：|r 代言人尤提亚|n|cFFFFD200地区：|r 梅扎米尔,纳沙塔尔|n|cFFFFD200声望：|r 破镣者补给品|n|cFFFFD200商人出售：|r 阿托莉亚·海珠|n|cFFFFD200地区：|r 新生家园,25,4,298186,298353,299275,299277
102,纳沙塔尔|n|cFFFFD200任务：|r “短暂的休息”|n|cFFFFD200任务给予人：|r吉安娜·普罗德摩尔|n|cFFFFD200地区：|r 梅扎米尔,纳沙塔尔|n|cFFFFD200任务：|r “深入纳沙塔尔”|n|cFFFFD200任务给予人：|r 洛瑟玛·塞隆|n|cFFFFD200地区：|r 新生家园,27,1,298357,298268,298357,298268
103,纳沙塔尔|n|cFFFFD200任务：|r “患难之交”|n|cFFFFD200任务给予人：|r吉安娜·普罗德摩尔|n|cFFFFD200地区：|r 梅扎米尔,纳沙塔尔|n|cFFFFD200任务：|r “潦而不倒”|n|cFFFFD200任务给予人：|r 洛瑟玛·塞隆|n|cFFFFD200地区：|r 新生家园,27,2,298376,298337,299372,299371
104,"纳沙塔尔|n|cFFFFD200成就：|r ""海战集训""|n|cFFFFD200商人出售：|r 代言人尤提亚|n|cFFFFD200地区：|r 梅扎米尔|n|cFFFFD200价格：|r 50 棱彩法力珍珠","纳沙塔尔|n|cFFFFD200成就：|r ""海战集训""|n|cFFFFD200商人出售：|r 阿托莉亚·海珠|n|cFFFFD200地区：|r 新生家园|n|cFFFFD200价格：|r 50 棱彩法力珍珠",27,3,298377,298339,299374,299373
105,"纳沙塔尔|n|cFFFFD200成就：|r ""灭世洪流""|n|cFFFFD200商人出售：|r 代言人尤提亚|n|cFFFFD200地区：|r 梅扎米尔","纳沙塔尔|n|cFFFFD200成就：|r ""灭世洪流""|n|cFFFFD200商人出售：|r 阿托莉亚·海珠|n|cFFFFD200地区：|r 新生家园",27,4,298405,298404,299374,299373
106,纳沙塔尔|n|cFFFFD200声望：|r剑鱼人 - 友善|n|cFFFFD200商人出售：|r代言人尤提亚|n|cFFFFD200地区：|r梅扎米尔|n|cFFFFD200价格：|r10个棱彩法力珍珠,纳沙塔尔|n|cFFFFD200声望：|r破镣者 - 友善|n|cFFFFD200商人出售：|r阿托莉亚·海珠|n|cFFFFD200地区：|r新生家园|n|cFFFFD200价格：|r10 棱彩法力珍珠,28,1,298452,298407,298452,298407
107,纳沙塔尔|n|cFFFFD200声望：|r剑鱼人 - 尊敬|n|cFFFFD200商人出售：|r代言人尤提亚|n|cFFFFD200地区：|r梅扎米尔|n|cFFFFD200价格：|r25 棱彩法力珍珠,纳沙塔尔|n|cFFFFD200声望：|r破镣者 - 尊敬|n|cFFFFD200商人出售：|r阿托莉亚·海珠|n|cFFFFD200地区：|r新生家园|n|cFFFFD200价格：|r25 棱彩法力珍珠,28,2,298455,298448,299376,299375
108,纳沙塔尔|n|cFFFFD200声望：|r剑鱼人 - 崇敬|n|cFFFFD200商人出售：|r代言人尤提亚|n|cFFFFD200地区：|r梅扎米尔|n|cFFFFD200价格：|r50 棱彩法力珍珠,纳沙塔尔|n|cFFFFD200声望：|r破镣者 - 崇敬|n|cFFFFD200商人出售：|r阿托莉亚·海珠|n|cFFFFD200地区：|r新生家园|n|cFFFFD200价格：|r50 棱彩法力珍珠,28,3,298456,298449,299378,299377
109,纳沙塔尔|n|cFFFFD200声望：|r 剑鱼人补给品|n|cFFFFD200商人出售：|r 代言人尤提亚|n|cFFFFD200地区：|r 梅扎米尔,纳沙塔尔|n|cFFFFD200声望：|r 破镣者补给品|n|cFFFFD200商人出售：|r 阿托莉亚·海珠|n|cFFFFD200地区：|r 新生家园,28,4,298457,298450,299378,299377
110,"战场|n|cFFFFD200成就：|r ""战场大师""|n|cFFFFD200商人出售：|r 加布里埃尔元帅|n|cFFFFD200地区：|r 伯拉勒斯艾什凡码头","战场|n|cFFFFD200成就：|r ""战场大师""|n|cFFFFD200商人出售：|r 山德·希尔伯曼|n|cFFFFD200地区：|r 穆贾巴拉",18,4,299518,299519,299883,299887
111,史诗钥石地下城|n|cFFFFD200赛季：|r 第三赛季及以后|n|cFFFFD200成就：|r “争霸艾泽拉斯”钥石大师|n|cFFFFD200商人出售：|r 魔术师瓦西里恩|n|cFFFFD200地区：|r伯拉勒斯汇帆市场,"史诗钥石地下城|n|cFFFFD200赛季：|r 第三赛季及以后|n|cFFFFD200成就：|r ""“争霸艾泽拉斯”钥石大师""|n|cFFFFD200商人出售：|r 魔术师瓦西里恩|n|cFFFFD200地区：|r 达萨罗百商集市",20,4,299520,299521,299944,299940
112,纳沙塔尔|n|cFFFFD200声望：|r 剑鱼人补给品|n|cFFFFD200商人出售：|r 代言人尤提亚|n|cFFFFD200地区：|r 梅扎米尔,纳沙塔尔|n|cFFFFD200声望：|r 破镣者补给品|n|cFFFFD200商人出售：|r 阿托莉亚·海珠|n|cFFFFD200地区：|r 新生家园,17,4,299522,299523,299876,299879
113,麦卡贡|n|cFFFFD200声望：|r 锈栓补给品|n|cFFFFD200商人出售：|r 失窃的御用贩卖机|n|cFFFFD200地区：|r 锈栓镇,,19,4,299529,299530,299933,299936
114,恩佐斯的惊魂幻象|n|cFFFFD200成就：|r|n“幻象彼岸”|n|cFFFFD200NPC：|r拉希奥|n|cFFFFD200地区：|r心之秘室,,16,4,299542,299544,310442,310426
115,永恒王宫团队副本|n|cFFFFD200掉落：|r 艾萨拉女王 - 史诗难度,,21,4,299559,299560,299959,303476
121,评级PvP|n|cFFFFD200赛季：|r 第三赛季及以后|n|cFFFFD200价格：|r 250荣誉点数|n|cFFFFD200商人出售：|r 加布里埃尔元帅|n|cFFFFD200地区：|r 伯拉勒斯艾什凡码头,评级PvP|n|cFFFFD200赛季：|r 第三赛季及以后|n|cFFFFD200价格：|r 250荣誉点数|n|cFFFFD200商人出售：|r 山德·希尔伯曼|n|cFFFFD200地区：|r 穆贾巴拉,32,1,303823,304081,303823,304081
