ID,Name_lang,Description_lang,GarrAbilityCategoryID,GarrFollowerTypeID,IconFileDataID,FactionChangeGarrAbilityID,Flags
120,顺劈斩,由战士施放，可同时伤害多个敌人。也用来描述竞技场队伍。,0,1,132338,0,0
121,拳击,由战士施放，可打断施法。,0,1,132938,0,0
122,鲁莽,由战士施放，可显著提高爆发性伤害。,0,1,603532,0,0
123,清算,迫使敌人攻击圣骑士。,0,1,135984,0,0
124,圣盾术,由圣骑士施放，可抵挡伤害。也可以用来怯懦地逃跑（可耻）。,0,1,524354,0,0
125,清洁术,由圣骑士施放，可移除一个有害魔法效果。,0,1,135949,0,0
126,责难,由圣骑士施放，可打断施法。,0,1,523893,0,0
127,忏悔,由圣骑士施放，可解决一个危险的敌人。,0,1,135942,0,0
128,圣光普照,由圣骑士施放，可治疗一群盟友。,0,1,457654,0,0
129,神圣恳求,由圣骑士施放，可快速恢复法力值。,0,1,237537,0,2
130,神圣风暴,由圣骑士施放，可同时伤害许多敌人。,0,1,236250,0,0
131,复仇之怒,由圣骑士施放，可显著提高爆发性伤害。,0,1,135875,0,0
132,树皮术,德鲁伊的皮肤硬化，可显著降低所受的伤害。,0,1,136097,0,0
133,激活,由德鲁伊施放，可快速恢复目标的法力值。,0,1,136048,0,2
134,纠缠根须,由德鲁伊施放，可解决一个危险的敌人。,0,1,136100,0,0
135,野性成长,由德鲁伊施放，可治疗一群盟友。,0,1,236153,0,0
136,自然之愈,由德鲁伊施放，可移除一个有害魔法效果。,0,1,236288,0,0
137,飓风,由德鲁伊施放，可同时伤害许多敌人。,0,1,136018,0,0
138,狂暴,显著提高德鲁伊的爆发性伤害。,0,1,236149,0,0
139,超凡之盟,显著提高德鲁伊的爆发性伤害。,0,1,136060,0,0
140,嚎镇八方,迫使敌人攻击武僧。,0,1,620830,0,0
141,金钟罩,由武僧施放，可显著降低所受的伤害。,0,1,611417,0,0
142,真气波,由武僧施放，可治疗一群盟友。,0,1,606541,0,0
143,滚地翻,由武僧施放，可迅速躲避伤害。,0,1,574574,0,0
144,分筋错骨,由武僧施放，可解决一个危险的敌人。,0,1,629534,0,0
145,清创生血,由武僧施放，可移除一个有害魔法效果。,0,1,460692,0,0
146,法力茶,由武僧施放，可快速恢复目标的法力值。,0,1,608949,0,2
147,切喉手,由武僧施放，可打断施法。,0,1,608940,0,0
148,驱散魔法,由牧师施放，可移除一个有害魔法效果。,0,1,135894,0,0
149,暗影魔,由牧师施放，可显著提高爆发性伤害和法力回复速度。,0,1,136199,0,2
150,精神灼烧,由牧师施放，可同时伤害许多敌人。,0,1,237565,0,0
151,统御意志,由牧师施放，可解决一个危险的敌人。在阿拉希盆地和风暴之眼尤为流行。,0,1,136206,0,0
152,能量灌注,由牧师施放，可显著提高爆发性伤害。,0,1,135939,0,0
153,水之护盾,由萨满祭司施放，可显著提高法力回复速度。,0,1,132315,0,2
154,闪电链,由萨满祭司施放，可同时伤害许多敌人。,0,1,136015,0,0
155,风剪,由萨满祭司施放，可打断施法。,0,1,463565,0,0
156,幽魂之狼,由萨满祭司施放，可迅速躲避伤害。,0,1,136095,0,0
157,妖术,由萨满祭司施放，可解决一个危险的敌人，还能让他们变笨。,0,1,237579,0,0
158,升腾,由萨满祭司施放，可显著提高爆发性伤害。有时候会显得不太公平。,0,1,135791,0,0
159,闪避,由潜行者施放，可避免严重的伤害。,0,1,136205,0,0
160,疾跑,由潜行者施放，可躲避伤害。还可以用来在邮箱和拍卖行之间快速往返。,0,1,132307,0,0
161,刀扇,由潜行者施放，可同时伤害许多敌人。,0,1,236273,0,0
162,死亡标记,由潜行者施放，可显著提高爆发性伤害。,0,1,236364,0,0
163,假死,由猎人施放，可迫使敌人攻击其他目标。,0,1,132293,0,0
164,威慑,由猎人施放，可抵挡伤害。,0,1,132369,0,0
165,逃脱,由猎人施放，可迅速躲避伤害。,0,1,132294,0,0
166,反制射击,由猎人施放，可打断施法。,0,1,249170,0,0
167,冰冻陷阱,由猎人施放，可解决一个危险的敌人。小心脚下！,0,1,135834,0,0
168,寒冰屏障,由法师施放，可暂时抵挡大量伤害。,0,1,135841,0,0
169,造食术,你的身体需要足够的能量才能发挥出全部实力！,0,1,609812,0,2
170,闪现术,由法师施放，可迅速躲避伤害。,0,1,135736,0,0
171,法术反制,由法师施放，可打断施法。,0,1,135856,0,0
172,变形术,由法师施放，可解决一个危险的敌人。,0,1,136071,0,0
173,时间扭曲,由法师施放，可显著提高爆发性伤害。,0,1,458224,0,0
174,不灭决心,由术士施放，可抵挡大量伤害。,0,1,136150,0,0
175,生命吸取,由术士施放，可恢复生命值。嘁！,0,1,136169,0,0
176,烧灼驱魔,由讨厌的小鬼施放，可移除一个有害魔法效果。,0,1,841219,0,0
177,恶魔变形,由术士施放，可伪装成一名恶魔猎手，显著提高爆发性伤害。,0,1,236293,0,0
178,火焰之雨,由术士施放，可同时伤害许多敌人。,0,1,135804,0,0
179,法术封锁,由术士施放，可打断施法。,0,1,136174,0,0
180,恐惧,用于解决一名危险的对手。有时还能令他们打破基本的物理法则，真古怪。,0,1,136183,0,0
181,召唤地狱火,由术士施放，使其感觉更强大并造成大量伤害，令附近的无辜群众神经紧张。,0,1,136219,0,0
182,急奔,由德鲁伊施放，可迅速躲避伤害，好像他们跑得还不够快似的。,0,1,132120,0,0
183,豪能酒,由武僧施放，可显著提高爆发性伤害。味道也非常不错。,0,1,608938,0,0
199,额外训练,完成任务可获得额外的经验值。,0,1,236221,0,2
200,额外训练,完成任务可获得额外的经验值。,0,1,236221,0,2
201,实战经验,额外提高任务的成功率。,11,1,458725,0,51
202,实战经验,额外提高任务的成功率。,0,1,236221,0,2
203,传送,缩短任务的行动时间。,0,1,236221,0,2
204,传送,缩短任务的行动时间。,0,1,236221,0,2
205,武器回收,完成任务可奖励额外的要塞物资。,0,1,236221,0,2
206,武器回收,完成任务可奖励额外的要塞物资。,0,1,236221,0,2
221,史诗坐骑,任务时间缩短50%。,8,1,631718,0,1
222,死亡动力,任务持续时间缩短25%。,0,1,575534,0,3
227,垂钓大师,有了纳特的知识，你在德拉诺的钓鱼技术使你能够不用鱼饵就钓到大鱼。,5,1,236574,0,19
228,林木长青,被指派到伐木场时，可使你的伐木场更加高效环保地生产木材。,5,1,236160,0,19
231,看家护院,指派到2级或3级兵营后可作为保镖陪伴你游历德拉诺。,5,1,1037260,0,19
232,动感舞王,你轻盈的步伐能让你在危险区域的移动速度提升一些。,12,1,132171,0,3
236,炉石专家,一位备受关注的战术大师。小队成员的经验获取速度提高35%。,7,1,1061040,0,3
244,蛮横,大幅提高独自执行任务的成功率。,9,1,1035504,0,19
248,导师,陪伴追随者获得其战斗特效。,7,1,442732,0,19
249,夺宝奇兵,"作为野兽知识和地形勘察的双料专家，哈里森能应对任何威胁。



|cFFFFD200“财富和荣耀，孩子。财富和荣耀。”——哈里森·琼斯|r",0,1,646781,0,18
250,圣光之速,一簇金色风暴乌鸦的羽绒，能将追随者的移动速度提升到史诗级别。,8,1,642580,0,3
252,食人魔之友,提高与食人魔一起执行任务的成功率。,4,1,1030796,0,3
253,机械狂人,提高与构造体或机械一起执行任务的成功率。,4,1,254104,0,3
254,鸟类学家,提高与鸦人一起执行任务的成功率。,4,1,1042646,0,3
255,野外生存,提高与动物伙伴一起执行任务的成功率。,4,1,134176,0,3
256,极限拾荒,完成任务后获得的要塞物资提高200%。,7,1,1005027,0,1
257,Test - Temporary Follower Ability,Temporary follower ability description.  Lasts for one mission.,0,1,463852,0,65
260,登船突击队,允许运输舰参与需要地面行动的任务。,0,2,1141393,0,51
261,潜水艇,使潜水艇可躲过雷达扫描并秘密靠近敌方舰船。,0,2,1141396,0,51
262,战列舰,发射穿甲弹，击穿对方的装甲。,0,2,1141390,0,51
263,驱逐舰,向水中投下炸弹，摧毁水下目标。,0,2,1141395,0,51
264,航母,一队轰炸机，可以从空中实施打击。,0,2,1141394,0,51
265,破冰器,在冰封水域打通一条航路。,0,2,892834,0,0
266,舱底水泵,排出舰船中过多的进水，可以保证船只在风暴天气中的浮力。,0,2,986488,0,0
267,超大功率雾灯,使用这些超级照明灯洞穿迷雾（或许还有某些人的视网膜）。,0,2,460953,0,0
268,陀螺稳定仪,保持船体的稳定端正，使其能够轻松地穿越漩涡乱流。,0,2,657937,0,0
269,高能炉,一座巨型熔炉，可以超负荷供应动力。,0,2,900306,0,0
270,真铁船舵,加固的船舵，可以在更快的航速下实现急转弯。,0,2,986491,0,0
271,鲨鱼水箱,水雷绝对比不上一箱训练有素的鲨鱼。,0,2,294472,0,0
272,邪能烟幕发射器,在你的舰船周围放出烟幕，干扰敌方视野以避免受到先发打击。,0,2,627487,0,0
273,硝基燃料箱,可让舰船燃烧硝基燃料，使其能够在目的地之间快速往返。任务时间缩短50%。,0,2,237030,0,18
274,老练船员,这位船员阅历丰富并有能力证明这一点。任务成功率提高。,0,2,669453,0,18
275,防沉护盾,面对毁灭性的打击时在舰船周围张开一张坚不可摧的护盾，挽救舰船。触发一次后损毁。,0,2,1030102,0,2
276,食品储备舱,增加了额外的食品储备空间，可提高长途任务的成功率。,0,2,651578,0,18
277,自动航空雷达,提高与航母一起执行任务的成功率。,0,2,133873,0,0
278,储备弹药,提高与战列舰一起执行任务的成功率。,0,2,249177,0,0
279,声呐增幅器,提高与驱逐舰一起执行任务的成功率。,0,2,252188,0,0
280,额外舱房,提高与运输舰一起执行任务的成功率。,0,2,133004,0,0
281,Q-43噪音水雷,提高与潜水艇一起执行任务的成功率。,0,2,948864,0,0
282,兽人船员,霜火岭周围的严寒水域早已成为了应对冰封水域航行的训练场。,0,2,236452,284,5
283,矮人船员,任务成功时可回收海军设备。,0,2,236443,286,9
284,德莱尼船员,德莱尼善于在影月谷周围浓雾笼罩的海面航行。,0,2,236442,282,9
285,牛头人船员,使所有舰船完成任务所获得的经验值提高50%。,0,2,236453,291,5
286,地精船员,任务成功时可回收海军设备。,0,2,632354,283,5
287,侏儒船员,任务成功时可回收海军设备。,0,2,236446,290,9
288,暗夜精灵船员,任务时间缩短50%。,0,2,236450,289,9
289,血精灵船员,任务时间缩短50%。,0,2,236439,288,5
290,巨魔船员,任务成功时可回收海军设备。,0,2,236456,287,5
291,狼人船员,使所有舰船完成任务所获得的经验值提高50%。,0,2,463876,285,9
292,人类船员,任务成功率提高。,0,2,236447,293,9
293,亡灵船员,任务成功率提高。,0,2,236457,292,5
294,熊猫人船员,熊猫人可以在舰船上塞进更多的补给，这有助于长途任务的完成。,0,2,626190,0,1
299,空设备舱位,在这个舱位上加装舰船装备。,0,2,0,0,2
300,空设备舱位,在这个舱位上加装舰船装备。,0,2,0,0,2
303,恶魔学识,大幅提高任务成功率。,11,1,1020342,0,51
304,残骸回收模组,在成功的任务中使用，可搜索周围水域，带回一箱有用的残骸。,0,2,236815,0,18
305,海象人渔网,附加在船后的渔网，由海象人友情赞助。可在任务成功后额外提供一批渔获。,0,2,134325,0,2
306,幽灵望远镜,一支长长的望远镜，但你透过它却什么都看不到，或许会派上用场。,0,2,134441,0,2
307,邪能冲撞,迅速扑向敌人。有时候会对小动物使用以进行快速移动。,0,4,135788,0,0
308,混乱新星,恶魔猎手的技能，用于同时控制多个危险的敌人。,0,4,135795,0,0
309,石肤术,恶魔猎手能用邪能之石覆盖他们的皮肤，吸收大量的伤害。当然副作用是会头晕恶心浑身不舒服。,0,4,538745,0,0
310,献祭,有些恶魔猎手似乎把“以火攻火”这话当成字面意思理解了。,0,4,135817,0,0
311,吞噬魔法,魔法是伊利达雷公认的美食，鸡肉味，嘎嘣脆。,0,4,236298,0,0
312,复仇回避,如果不想老是“啊，如此弓……”的话，恶魔猎手们还是多用用这个技能比较好。,0,4,236171,0,0
313,恶魔变形,恶魔猎手可以释放自己的心魔，以击败最强大的对手。,0,4,237558,0,0
314,油猴子,使完成任务后获得的原油提高100%。,7,1,252178,0,1
315,鱼人船员,即使在水下，鱼人也可以离开舰船泅水上岸，充当运输舰。两栖生物也有它的好处。,0,2,134169,0,3
317,埃匹希斯风暴,出现在这一海域的海怪可以让你在成功完成任务后获得埃匹希斯水晶。,0,2,1061300,0,2
318,制空权,一艘能够发现并攻击附近敌对舰船的飞艇，可提高任务的成功率。,0,2,342918,0,2
319,瑞妮娅船长的命令,使所有舰船完成任务所获得的经验值提高50%。,0,2,1139028,0,2
320,藏宝图,任务成功完成后可获得额外的埃匹希斯水晶。,0,2,237386,0,2
321,索卡什船长的命令,使所有舰船完成任务所获得的经验值提高50%。,0,2,1126434,0,2
322,英勇的私掠船,任务成功率提高。,0,2,1126433,0,2
323,登船突击队,允许运输舰参与需要地面行动的任务。,0,2,1141392,0,51
324,顶级捕食者,大幅提高战胜多种生物的几率。,1,1,236186,0,19
325,驱魔人,提高任务成功率，并大幅提高战胜恶魔的几率。,1,1,236262,0,19
326,埃匹希斯共鸣,使完成任务后获得埃匹希斯水晶提高100%。,7,1,1061300,0,19
327,鸦人船员,能够发动空中打击。,0,2,1042646,0,3
331,元素,能够驾驭元素的施法者，使用自然的毁灭之力打击敌人，可以应对某些|C00b3ffff首领|R。,0,4,136048,0,560
332,增强,信仰图腾之力的战士，使用灌注元素能量的武器攻击敌人，可以应对某些|C00b3ffff首领|R。,0,4,132314,0,560
333,恢复,能召唤先祖之魂的治疗者，使用水之净化能量来治愈盟友的创伤，可以应对某些|C00b3ffff首领|R。,0,4,136052,0,560
334,踏风,武艺无双的武者，尤其擅长拳脚功夫，可以应对某些|C00b3ffff首领|R。,0,4,608953,0,560
335,酒仙,坚韧的勇士，拥有行云流水、变化莫测的身法，可以应对某些|C00b3ffff首领|R。,0,4,608951,0,560
336,织雾,精通操纵生命能量之术的治疗者，可以应对某些|C00b3ffff首领|R。,0,4,608952,0,560
337,痛苦,暗影魔法大师，专精吸取能量和持续伤害法术，可以应对某些|C00b3ffff首领|R。,0,4,136145,0,560
338,恶魔学识,恶魔大师，能奴役强大的恶魔为其效命，可以应对某些|C00b3ffff首领|R。,0,4,136172,0,560
339,毁灭,使用混乱魔法的大师，能够降下灾厄的烈焰，可以应对某些|C00b3ffff首领|R。,0,4,136186,0,560
340,神圣,唤起圣光的能量来保护盟友，可以应对某些|C00b3ffff首领|R。,0,4,135920,0,560
341,惩戒,正义的十字军，使用手中的武器和神圣魔法对敌人进行审判和制裁，可以应对某些|C00b3ffff首领|R。,0,4,135873,0,560
342,防护,使用神圣的魔法为自己和盟友提供防护，可以应对某些|C00b3ffff首领|R。,0,4,236264,0,560
343,狂怒,双手各持一柄武器的暴怒狂战士，掀起的暴力飓风能够轻易将敌人切碎，可以应对某些|C00b3ffff首领|R。,0,4,132347,0,560
344,武器,久经沙场的战斗大师，擅使双手武器，利用灵活的移动和压制性的攻击来摧垮敌人，可以应对某些|C00b3ffff首领|R。,0,4,132355,0,560
345,防护,一位坚韧的守护者，可以使用盾牌来应对|C00b3ffff首领|R。,0,4,132341,0,560
346,奥术,操纵奥术之力，以压倒性的能量毁灭敌人，可以应对某些|C00b3ffff首领|R。,0,4,135932,0,560
347,火焰,使用灼热的火球和熊熊烈焰烧尽敌人，可以应对某些|C00b3ffff首领|R。,0,4,135812,0,560
348,冰霜,使用冰霜魔法冻结敌人的脚步，再彻底粉碎他们的身体，可以应对某些|C00b3ffff首领|R。,0,4,135846,0,560
349,狂徒,无情的亡命徒，擅长与敌人短兵相接，可以应对某些|C00b3ffff首领|R。,0,4,135340,0,560
350,敏锐,阴影中的追猎者，擅长在最恰当的时机对毫无戒备的猎物发起致命的伏击，可以应对某些|C00b3ffff首领|R。,0,4,132320,0,560
351,奇袭,致命的使毒高手，能够使用匕首迅速而冷酷地发动袭击，可以应对某些|C00b3ffff首领|R。,0,4,236270,0,560
352,神圣,多才多艺的治疗者，可以应对某些|C00b3ffff首领|R。,0,4,237542,0,560
353,暗影,使用邪恶的暗影魔法，可以应对某些|C00b3ffff首领|R。,0,4,136207,0,560
354,戒律,使用魔法护盾保护盟友不受伤害，可以应对某些|C00b3ffff首领|R。,0,4,135940,0,560
355,平衡,可以变形为强大的枭兽，释放奥术和自然的平衡之力，可以应对某些|C00b3ffff首领|R。,0,4,136096,0,560
356,野性,变形为致命的猎豹形态，利用撕咬和流血造成大量伤害，可以应对某些|C00b3ffff首领|R。,0,4,132115,0,560
357,恢复,使用强大的自然法术治愈盟友，可以应对某些|C00b3ffff首领|R。,0,4,136041,0,560
358,浩劫,恐怖的战刃大师，使用邪能魔法的破灭之力，可以应对某些|C00b3ffff首领|R。,0,4,1247264,0,560
359,复仇,接受内心的恶魔，用它烧尽敌人，保护盟友，可以应对某些|C00b3ffff首领|R。,0,4,1247265,0,560
360,流放者,恶魔猎手的盟友，由纳迦、破碎者甚至恶魔构成，他们会使用多种技能，可以应对某些|C00b3ffff首领|R。,0,4,1391770,0,560
361,冰霜,冰冻末日的使者，能够引导符文能量并使用武器狠毒地打击敌人，可以应对某些|C00b3ffff首领|R。,0,4,135773,0,560
362,鲜血,黑暗的守护者，控制和腐蚀生命能量的能力使其能够直面敌人的猛攻，可以应对某些|C00b3ffff首领|R。,0,4,135770,0,560
363,邪恶,死亡与腐化的大师，通过传播感染和控制亡灵爪牙作战，可以应对某些|C00b3ffff首领|R。,0,4,135775,0,560
364,野兽控制,对荒野了如指掌，能够驯服多种多样的野兽协助作战，可以应对某些|C00b3ffff首领|R。,0,4,461112,0,560
365,射击,百步穿杨的神射手，擅长远距离夺走敌人的性命，可以应对某些|C00b3ffff首领|R。,0,4,236179,0,560
366,生存,精练的追踪者，能将动物剧毒，爆炸物和陷阱当作致命的武器来使用，可以应对某些|C00b3ffff首领|R。,0,4,461113,0,560
388,旅行者的背包,执行任务时有几率带回一样随机物品。,0,4,133633,0,2
389,魔誓防毒面具,去除被邪能腐化的空气中的臭味。,0,4,133133,0,2
393,安全地带,提高这个区域的任务成功几率。,0,4,1099803,0,2
394,陈的友情,与陈·风暴烈酒一起执行任务的成功率提高${$a478}%。,0,4,236701,0,18
404,棍子上的胡萝卜,任务时长缩短3%。,0,4,134010,0,2
406,便携式传送器,任务时长缩短30%。,0,4,321487,0,2
407,玄牛之道,与玄牛弟子一起执行任务的成功率提高${$a491}%。,0,4,615340,0,18
408,白虎之道,与白虎弟子、白虎高手或白虎大师一起执行任务的成功率提高${$a492}%。,0,4,606548,0,18
410,测试——追随者测试技能,测试追随者技能介绍,0,4,463852,0,321
412,滚地翻,进行短距离翻滚，应对|C00b3ffff危害|R。,0,4,574574,0,16
413,7.0 - Test - Anders Garrison Ability Test,"Desc of ID410 $@garrabdesc410 
7 * action flat: ${$a497*7$}
Combatmax /  by 5: ${$m497/5$}
Base + max: ${$b497+$m497$}
Hours - 10: ${$h497-10$}
No expression: $a497  -  $m497
My spellDesc $@spelldesc191997",11,4,1028994,0,0
414,空装备栏,在这里装备物品。,0,4,0,0,1025
415,空装备栏,在这里装备物品。,0,4,0,0,1025
416,火焰之息,向面前喷吐火焰，应对|C00b3ffff爪牙|R。,0,4,615339,0,16
417,切喉手,猛击敌人的咽喉，应对|C00b3ffff法术|R。,0,4,608940,0,16
418,疯狂香蕉,成功完成任务有几率带回金色香蕉。可以将金色香蕉给予勇士，增加成功几率。,0,4,133980,0,18
419,怒雷破,有|C00b3ffff爪牙|R的任务成功率提高${$a503}%。,0,4,627606,0,18
420,酒仙运,有|C00b3ffff危害|R的任务成功率提高${$a504}%。,0,4,839394,0,18
421,朱鹤之道,与朱鹤弟子一起执行任务的成功率提高${$a505}%。,0,4,988195,0,18
422,风暴英雄,单人执行任务时的成功率提高${$a506}%。,0,4,136111,0,18
423,翔龙在天,任务时长缩短${100-$a507*100}%。,0,4,606545,0,18
428,减速,任务时长增加。,0,4,1383681,0,0
435,古树之力,任务成功率提高${$a523}%。,0,4,874857,0,18
436,强大,成功率降低。,0,4,1390116,0,0
437,致命,执行该任务的部队将会阵亡。,0,4,1383682,0,0
438,地狱烈焰,点燃术士周围的区域，应对|C00b3ffff爪牙|R。,0,4,135818,0,16
439,法术封锁,反制敌人的施法，应对|C00b3ffff法术|R。,0,4,136174,0,16
440,恶魔法阵,将你传送到你的恶魔法阵，应对|C00b3ffff危害|R。,0,4,237560,0,16
441,风剪,用强风冲击干扰目标的注意力，应对|C00b3ffff法术|R。,0,4,136018,0,16
442,幽魂之狼,将萨满祭司变成一头幽魂之狼，提高移动速度，应对|C00b3ffff危害|R。,0,4,136095,0,16
443,闪电链,向敌人射出一支闪电箭，造成自然伤害，应对|C00b3ffff爪牙|R。,0,4,136015,0,16
444,心灵冰冻,以寒冰之气攻击目标心灵，应对|C00b3ffff法术|R。,0,4,237527,0,16
445,枯萎凋零,腐蚀地面，造成暗影伤害，应对|C00b3ffff爪牙|R。,0,4,136144,0,16
446,冰封之韧,死亡骑士冻结自己的血液，应对|C00b3ffff危害|R。,0,4,237525,0,16
447,猎豹守护,短时间内提高你的移动速度，应对|C00b3ffff危害|R。,0,4,132242,0,16
448,爆炸陷阱,在地面上放置一个火焰陷阱，当敌人接近时会爆炸，应对|C00b3ffff爪牙|R。,0,4,135826,0,16
449,反制射击,打断施法，应对|C00b3ffff法术|R。,0,4,249170,0,16
450,旋风斩,像旋风一般挥舞手中的武器，应对|C00b3ffff爪牙|R。,0,4,132369,0,16
451,英勇飞跃,腾空跃起，应对|C00b3ffff危害|R。,0,4,236171,0,16
452,拳击,拳击目标，应对|C00b3ffff法术|R。,0,4,132938,0,16
453,奉献,奉献脚下的土地，应对|C00b3ffff爪牙|R。,0,4,135926,0,16
454,责难,责难敌人，应对|C00b3ffff法术|R。,0,4,523893,0,16
455,圣盾术,使你对所有的伤害免疫，应对|C00b3ffff危害|R。,0,4,524354,0,16
456,沉默,沉默目标，应对|C00b3ffff法术|R。,0,4,458230,0,16
457,神圣新星,制造一次以施法者为中心的神圣能量爆炸，应对|C00b3ffff爪牙|R。,0,4,135922,0,16
458,信仰飞跃,你抓住友方目标的灵魂，使其立即移动到你面前，应对|C00b3ffff危害|R。,0,4,463835,0,16
459,脚踢,快速用脚踢目标，应对|C00b3ffff法术|R。,0,4,132219,0,16
460,刀扇,向附近所有目标投掷刀刃，应对|C00b3ffff爪牙|R。,0,4,236273,0,16
