ID,OverrideNameString_lang,SlotMask,ItemNameDescriptionID
206,万古外衣,32,13866
207,憎恶之握,1024,13832
208,蔓延转移护胸,32,13833
209,法夜和谐裹甲,1024,13881
210,Chestplate of Test 1 Override,32,13882
211,Chest of Test 2 Override,32,13883
213,Three-pronged Defender (DNT),4,13588
218,狂暴暮钟裹足,256,13884
219,罪邪古训裹腕,512,13885
220,罪邪古训戒指,2048,13885
222,天球祥和披肩,8,13887
223,天球祥和护腿,128,13887
224,苍白指令戒指,2048,13888
225,苍白指令软鞋,256,13888
226,致命缠绕胸甲,32,13663
227,畸兽腿甲,128,13665
228,复活腰铠,64,13666
229,吸血指环,2048,13668
230,赤红符文护肩,8,13669
231,绝对零度护臂,512,13673
232,无尽之握战靴,256,13675
233,熔火天穹符咒,4,13679
234,深度冻结护肩,8,13682
235,纪律严明裹腕,64,13684
236,拓展潜能之靴,256,13685
237,奥术和谐刺绣护肩,8,13691
238,铭时裹布,32,13692
239,疯狂圣贤之缚,64,13694
240,乌瑟尔的虔诚,4,13695
242,无情审判官的攀登,128,13709
243,复仇心切护腿,128,13713
244,雷霆之王护手,1024,13716
245,迷狂乱舞臂铠,512,13720
246,战争领主护腕,512,13722
247,裂地回响巨盔,2,13723
248,痛苦使者护腰,64,13742
249,聚凝痛楚的铭心腕带,512,13775
250,半巨人肩甲,8,13776
251,黑眼腰索,64,13777
253,阵亡末日领主的肩胄,8,13779
254,混沌理论束带,64,13780
255,古怪的邪能核心,2048,13781
256,邪能轰炸垂饰,4,13782
258,污染者的失落腕甲,512,13784
259,螺旋邪焰腰带,64,13785
260,灼烧之魂镣铐,512,13786
261,散毒者的裹腰,64,13791
262,佐迪克家族训练护腿,128,13796
263,暮行者的指环,2048,13797
264,绿皮的浸水腰带,64,13798
265,狡诈手镯,512,13799
266,狂猛迅疾披肩,8,13789
267,鸟哨臂甲,512,13800
268,终结预兆,32,13801
269,阿卡丽的扭曲视界,2,13802
270,腐化余波,128,13803
271,致命暗影裹甲,64,13804
273,永燃护肩,8,13810
274,聚凝痛楚的肃穆之握,512,13775
275,至暗时刻裹腿,128,13778
276,邪能轰炸护肩,8,13782
277,不灭,0,13810
278,黑炎之魂纹饰勋章,4,13783
280,无尽混沌轮回,64,13780
282,黄昏与黎明披肩,8,13697
283,蔓延转移护腰,64,13833
284,终结预兆腿铠,128,13834
285,饥肠辘辘护腿,128,13835
286,憎恶护腰,64,13832
287,荣耀护腰,64,13836
288,罪孽头盔,2,13837
289,罪孽恩宠缚甲,64,13839
290,盛怒蜂群缚甲,512,13841
291,志趣亲和护符,4,13844
292,天界万灵护腿,128,13846
293,虫群风暴缚甲,512,13841
294,明澈回响护腰,64,13851
295,圣洁共鸣护腰,64,13853
296,义缚之槌肩铠,8,13854
297,炽焰亡魂护肩,8,13857
298,耀光余烬护腕,512,13853
299,四季丰裕护腿,128,13861
300,邦桑迪的契约扣甲,64,13862
301,邦桑迪的契约护腕,512,13863
302,万古护肩,8,13866
303,碎裂元素护符,4,13867
304,元素导能裹腕,512,13869
305,灭魂碎片腰带,64,13871
306,灵魂衰败之囊裹手,1024,13872
307,遏制永爆能量护肩,8,13873
308,灵魂追踪腰带,64,13874
309,军需品链盔,2,13875
310,钢丝护腿,128,13877
312,憎恶护腕,512,13832
313,蔓延转移护腰,64,13833
314,妖魂祥和腰索,64,13881
315,Boots of Test 1 Override,256,13882
316,Ring 1 Test 2 Override,0,13883
317,dfg,16777216,13588
318,Test,131072,13588
319,极乐伟力战靴,256,13889
320,极乐伟力护胫,128,13889
321,圣洁共鸣护腰,64,13890
322,圣洁共鸣胸铠,32,13890
323,深结护符,4,13682
324,魔咒师手套,1024,13681
325,末日领主护腿,128,13809
326,赤红符文护腰,64,13669
327,奈辛瓦里的陷阱吊坠,4,13744
328,魂铸余烬戒指,2048,13745
329,飞龙追猎者护胫,128,13750
330,黄昏与黎明项圈,4,13697
331,血牙戒指,2048,13792
332,染血裹布,65536,13795
333,深震玺戒,2048,13725
334,元素深渊裹腕,512,13726
335,恶魔协同披肩,8,13761
336,裂地回响战靴,256,13723
337,迷狂乱舞之戒,2048,13720
338,终结预兆披风,65536,13834
339,罪孽吊坠,4,13837
340,义缚之槌戒指,2048,13854
341,炽焰亡魂裹布,65536,13857
342,邦桑迪的契约之握,1024,13862
343,万古项圈,0,13866
344,永爆护身符,4,13873
