ID,Title_lang,BodyText_lang,JournalEncounterID,OrderIndex,ParentSectionID,FirstChildSectionID,NextSiblingSectionID,Type,IconCreatureDisplayInfoID,UiModelSceneID,SpellID,IconFileDataID,Flags,IconFlags,DifficultyMask
2034,安全限制离线,当死神5000的生命值低于30%时，它将解除自己的内部安全限制，使其在这场战斗的剩余时间中造成的物理伤害提高$88522s1%。,91,5,0,0,2035,2,0,0,0,135829,0,0,-1
2035,熔火炉渣,死神5000的启动导致熔岩池过载，周期性地产生熔火炉渣。,91,6,0,2036,2038,1,36419,0,0,0,2,8,14
2036,注视,熔火炉渣会周期性地锁定一个随机的敌方目标，在$91830d内只攻击该目标。,91,7,2035,0,2037,2,0,0,0,136088,2,0,14
2037,熔岩护盾,熔火炉渣受到的魔法伤害减半，并且每$91815t2秒对周围半径$91819A1码范围内的所有目标造成$91819s1点火焰伤害。,91,8,2035,0,0,2,0,0,0,135818,2,0,14
2038,死神原型机,在迪菲亚兄弟会的工人慌忙逃离地精铸造厂的时候，有一台死神原型机被留了下来。一个玩家可以驾驶这台死神原型机，用它来协助对死神5000作战。死神原型机的技能均为蒸汽驱动。,91,9,0,2039,0,1,36412,0,0,0,2,8,14
2039,黑曜石合金,死神原型机免疫火焰伤害。,91,10,2038,0,2040,2,0,0,0,132360,2,0,14
2040,死神打击,死神原型机对其正前方60度角的锥形区域、半径$91723A1码内的所有目标造成$91723s1点物理伤害。死神打击还可以使死神原型机获得$91723s2点蒸汽动力。,91,11,2038,0,2041,2,0,0,0,236303,2,0,14
2041,死神冲锋,死神原型机向一个敌方目标冲锋，造成$91726s2点物理伤害，并使目标昏迷$91726d。死神冲锋消耗$91726c点蒸汽动力。,91,12,2038,0,2042,2,0,0,0,132337,2,0,14
2042,高压打击,释放蒸汽的压力对一个敌方目标进行强力打击，造成$91727s2点物理伤害，并将目标击退。高压打击消耗$91727c点蒸汽动力。,91,13,2038,0,0,2,0,0,0,135906,2,0,14
2044,嗜血成性,撕心狼将军的近战攻击每次成功命中目标，他就获得$88737s1%的攻击速度加成、$88737s3%的移动速度加成，且体型增大$88737s2%，持续$88737d。这个效果最多可以叠加20次。,92,1,0,0,2045,2,0,0,0,132334,0,0,-1
2045,横扫,撕心狼将军狂暴地横扫他的主要目标和近战范围内的其他两个目标，造成的伤害相当于他的普通近战攻击伤害的$88839s1%。,92,2,0,0,2046,2,0,0,0,134296,0,0,-1
2046,迷雾,当撕心狼将军的生命值降到75%、50%和25%时，他会退入迷雾中，暂时无法被攻击。,92,3,0,2047,0,0,0,0,0,0,1,0,-1
2047,直取要害,"当撕心狼将军从迷雾中再次出现时，他会随机跳向一个敌人，造成普通近战攻击$88836s2%的伤害，并使目标昏迷$88836d。$[!2,4

在英雄模式下，撕心狼将军整场战斗都会使用直取要害技能。$]",92,4,2046,0,2048,2,0,0,0,132337,0,0,-1
2048,召唤雾气,"在迷雾笼罩甲板的时候，蒸汽生物会周期性的聚集成型，攻击附近的玩家。每当撕心狼将军遁入迷雾中，新的蒸汽生物就会形成。$[!2,4

在英雄模式下，当撕心狼将军的生命值低于10%时，会有三个额外的蒸汽生物出现在迷雾中。$]",92,5,2046,0,2049,2,0,0,0,135861,0,0,-1
2049,蒸汽,这个敌人从迷雾中发起攻击。,92,6,2046,2050,0,1,35786,0,0,0,0,0,-1
2050,冷凝,"在蒸汽形成之后，潮湿空气中的凝结水珠会使其持续成长。如果蒸汽没有在8秒内被摧毁，它会变成一个涡流蒸汽，生命值提高$92017s2%，伤害提高$92017s3%。

如果涡流蒸汽也没有在8秒内被摧毁，它就会变成一个凝结蒸汽，生命值提高$92021s2%，伤害提高$92021s3%。

如果凝结蒸汽仍没有在8秒内被摧毁，它就会最终变成一个冻结蒸汽，生命值提高$92038s2%，伤害提高$92038s3%。",92,7,2049,0,2051,2,0,0,0,135833,2,32,-2
2051,涡流蒸汽,在蒸汽变成涡流蒸汽后，它会获得施放与自己同名的法术的能力。涡流蒸汽造成$92007s2点冰霜伤害，并使其正前方60度角的锥形区域、半径$92007A1码内的所有目标移动速度降低$92007s1%，持续$92007d。,92,8,2049,0,2052,2,0,0,0,135852,2,0,-2
2052,凝结蒸汽,在涡流蒸汽变成凝结蒸汽后，它会获得施放与自己同名的法术的能力。凝结蒸汽造成$92008s2点冰霜伤害，并使其正前方60度角的锥形区域、半径$92008A1码内的所有目标移动速度降低$92008s1%，持续$92007d。,92,9,2049,0,2053,2,0,0,0,135852,2,0,-2
2053,汇流,在蒸汽完全变成冻结蒸汽后，它会爆炸，对半径$92042A1码范围内的所有敌人造成$92042s2点冰霜伤害，并将他们击退。,92,10,2049,0,0,2,0,0,0,135863,2,0,-2
2055,丢掷食物,“船长”曲奇会不断地随机向任意玩家所在的位置投掷食物。丢一次美味的食物，再丢一次腐烂的食物，如此反复。,93,1,0,0,2056,2,0,0,0,350571,0,0,-1
2056,腐蚀光环,地上的腐烂食物散发出臭气，对周围半径$89735A1码范围内的敌人造成$89735s1点自然伤害。,93,2,0,0,2057,2,0,0,0,237334,0,0,-1
2057,反胃,玩家可以右键点击甲板上的腐烂食物，将其吃掉。这样可以从甲板上移除食物，以及它附带的腐蚀光环，但是会使玩家获得反胃效果，每$89732t2秒造成$89732s2点自然伤害，持续$89732d。反胃效果可以叠加。,93,3,0,0,2058,2,0,0,0,237555,0,0,-1
2058,饱餐,"玩家可以右键点击甲板上的美味食物，将其吃掉。这样可以从甲板上移除食物，而点击食物的玩家获得饱餐效果，近战攻击速度、远程攻击速度和施法速度提高$89267s2%，持续$89267d。饱餐效果可以叠加。

每次获得饱餐效果，就会移除一层反胃效果。",93,4,0,0,0,2,0,0,0,237554,0,0,-1
2060,偏斜,梵妮莎偏转所有近战攻击、远程攻击和法术，持续$92615d。只有当她的生命值高于25%时，她才会使用这个技能。,95,1,0,0,2061,2,0,0,0,132369,2,0,14
2061,死亡利刃,梵妮莎开始快速地在敌人之间来回跳跃，每$92622t1秒随机出现在某个敌方目标身后，并对其造成背砍效果，持续$92622d。,95,2,0,0,2062,2,0,0,0,135639,2,0,14
2062,背砍,梵妮莎割伤一个敌方目标的背部，每$92619t2秒造成$92619s2点物理伤害，持续$92619d。,95,3,0,0,2063,2,0,0,0,132303,2,0,14
2063,炽热火焰,"当梵妮莎的生命值低于50%时，她会跳到船顶，引爆事先布置在船周围的炸药。这些炸药会在甲板上制造炽热火焰。身处火焰周围半径$93485A1码范围内的玩家会受到每秒$93485s1点火焰伤害。

玩家可以通过使用甲板旁边的绳子来避免自己葬身火海。",95,4,0,0,2064,2,0,0,0,135826,2,16,14
2064,范克里夫的复仇,"在梵妮莎的生命值降到50%并引爆第一组炸药后，她会不断施放范克里夫的复仇，直到重新投入战斗。这个效果每一层都可以使她造成的物理伤害提高$95542s1%，近战攻击速度提高$95542s2%，体型增大$95542s3%。这个效果最多可以叠加40次。

在梵妮莎的生命值降到25%并引爆第二组炸药后，她会一直使用这个技能，直到被杀死。",95,5,0,0,2065,2,0,0,0,236409,2,0,14
2065,粉尘爆炸,当梵妮莎的生命值仅剩1%时，她会拿出最后一桶黑火药并点燃它。爆炸会杀死她，同时对周围半径$96283A2码范围内的所有敌方目标造成$96283s2点火焰伤害。,95,6,0,0,2066,2,0,0,0,236216,2,16,14
2066,迪菲亚执行者,当梵妮莎·范克里夫的生命值高于50%时，她会不断从附近的船舱中召唤出迪菲亚执行者帮忙。,95,7,0,2067,2070,1,36166,0,0,0,2,0,14
2067,冲锋,迪菲亚执行者冲锋加入战斗。,95,8,2066,0,2068,2,0,0,0,132337,2,0,14
2068,浴血奋战,迪菲亚执行者开始快速攻击他的当前目标，在$90925d内攻击六次，每次造成普通近战攻击$90923s1%的伤害。,95,9,2066,0,2069,2,0,0,0,136124,2,0,14
2069,鲁莽,"迪菲亚执行者免疫恐惧效果，爆击几率提高$90929s1%，持续$90929d，但是护甲值降低$90929s2%。

迪菲亚执行者会在生命值低于20%的情况下使用这个技能。",95,10,2066,0,0,2,0,0,0,132109,2,0,14
2070,迪菲亚暗影戒卫,在召唤迪菲亚执行者之后不久，如果梵妮莎的生命值仍高于50%，她还会召唤一个迪菲亚暗影戒卫帮忙。,95,11,0,2071,2075,1,184,0,0,0,2,0,14
2071,影袭,迪菲亚暗影戒卫对当前目标造成普通近战攻击$90951s1%的伤害。,95,12,2070,0,2072,2,0,0,0,136189,2,0,14
2072,暗影步,迪菲亚暗影戒卫会周期性地消失在阴影中，然后在敌方目标背后出现。,95,13,2070,0,2073,2,0,0,0,132303,2,0,14
2073,剑刃旋风,迪菲亚暗影戒卫以若干旋转的利刃包围敌方目标，持续$90960d。利刃每秒对周围半径$90962A1码范围内的所有敌人造成$90962s1点物理伤害。,95,14,2070,0,2074,2,0,0,0,236273,2,0,14
2074,闪避,"迪菲亚暗影戒卫的躲闪几率提高$90958s1%，持续$90958d。

迪菲亚暗影戒卫会在生命值低于30%时使用闪避。",95,15,2070,0,0,2,0,0,0,136205,2,0,14
2075,迪菲亚血巫师,在召唤迪菲亚暗影戒卫之后不久，如果梵妮莎的生命值仍高于50%，她还会召唤一个迪菲亚血巫师帮忙。,95,16,0,2076,3585,1,2448,0,0,0,2,0,14
2076,血箭,造成$90938s1点物理伤害，并使当前敌方目标的移动速度降低$90938s2%，持续$90938d。,95,17,2075,0,2077,2,0,0,0,136168,2,0,14
2077,愤怒场,迪菲亚血巫师在某个敌方目标的位置制造一道不稳定的魔法力场，持续$90932d。力场的影响半径是$90932A1码，所有在此范围内的单位造成的伤害都提高$90932s2%。,95,18,2075,0,0,2,0,0,0,136088,2,0,14
2107,窒息,灰葬男爵将每一个玩家扔到空中，使他们昏迷并造成大量暗影伤害，在$93423d内使其生命值降为1。,96,1,0,0,2108,2,0,0,0,237532,0,0,-1
2108,怜悯治疗,"当灰葬男爵结束施放窒息之后，他立即施放死缓令。这个法术将所有玩家的生命值恢复到其上限的50%。$[!2,4

在英雄模式下，灰葬男爵将不在施法结束时治疗玩家，而是引导死缓令直到被打断。玩家每秒恢复$93706s1%的最大生命值，但灰葬男爵也会恢复$93706s2%的最大生命值。$]",96,2,0,0,2109,2,0,0,0,135917,0,96,-1
2109,饱受折磨,灰葬男爵对一个玩家引导魔法，起初每$93581t1秒造成$93581s1点暗影伤害，持续$93581d。随着法术引导时间越来越长，伤害也越来越高。,96,3,0,0,3457,2,0,0,0,136207,0,128,-1
2110,灾星,当生命值低于25%时，灰葬男爵变身成为黑暗天使长，释放他真正的力量。每$93812t1秒，灰葬男爵造成$93810s1点暗影伤害，并使敌人受到的暗影伤害提高$93810s2%，直到灰葬男爵或他的敌人死亡。这个效果可以叠加。,96,5,0,0,0,2,0,0,0,237514,2,8,14
2118,暗影迷雾,席瓦莱恩男爵诅咒他的当前敌对目标，使其受到的魔法治疗效果降低$23224s1%，持续$23224d。,97,1,0,0,2119,2,0,0,0,136160,0,256,-1
2119,诅咒迷雾,席瓦莱恩男爵对周围半径$93956A1码范围内的所有敌人造成$93956s2点暗影伤害，并使他们受到的魔法治疗效果降低$93956s1%，持续$93956d。,97,2,0,0,2120,2,0,0,0,136160,2,136,14
2120,召唤狼人灵魂,"席瓦莱恩男爵在生命值降到70%和35%的时候，从下列四个古老的狼人灵魂中随机召唤一个：盲眼守卫奥杜、屠夫拉佐克劳、雷希戈尔或狼王南杜斯。$[!2,4

在英雄模式下，席瓦莱恩男爵在90%、60%和30%生命值的时候各召唤一个狼人灵魂。$]",97,3,0,2121,0,2,0,0,0,366940,1,32,-1
2121,盲眼守卫奥杜,,97,4,2120,2122,2125,1,522,0,0,0,0,0,-1
2122,嚎叫之怒,盲眼守卫奥杜造成的物理伤害提高$93931s1%，体型增大$93931s2%，持续$93931d。这个效果最多可以叠加5次。,97,5,2121,0,2123,2,0,0,0,136088,0,0,-1
2123,刺眼暗影,盲眼守卫奥杜每秒造成$93952s1点暗影伤害，持续$93952d。,97,6,2121,0,0,2,0,0,0,132291,0,0,-1
2125,屠夫拉佐克劳,,97,7,2120,2126,2128,1,36849,0,0,0,0,0,-1
2126,鬼灵冲锋,拉佐克劳跳向最远的敌方目标，使其昏迷，每$93930t2秒造成$93928s1点物理伤害，持续$93930d。,97,8,2125,0,2127,2,0,0,0,132103,0,0,-1
2127,屠夫吸取,每当拉佐克劳的近战攻击造成伤害时，目标就会额外流失$7485s1点生命值。,97,9,2125,0,0,2,0,0,0,136208,0,0,-1
2128,雷希戈尔,,97,10,2120,2129,2130,1,36851,0,0,0,0,0,-1
2129,灵魂吸取,雷希戈尔随机对某个敌方目标引导魔法，使其无法移动，每$93863t1秒吸取$93863s1点生命值，持续$93863d。雷希戈尔恢复相当于该数值两倍的生命值。,97,11,2128,0,0,2,0,0,0,136169,0,0,-1
2130,狼王南杜斯,,97,12,2120,2131,0,1,36850,0,0,0,0,0,-1
2131,爪击,狼王南杜斯猛击他的当前目标，造成普通近战攻击$93861s1%的物理伤害。,97,13,2130,0,2132,2,0,0,0,132140,0,0,-1
2132,召唤狼之鬼灵,当狼王南杜斯投入战斗时，他召唤三个狼之鬼灵协助作战，持续$94199d。,97,14,2130,2133,0,2,0,0,0,366940,0,0,-1
2133,狼之鬼灵,这个敌人的生命值很低。,97,15,2132,0,0,1,2446,0,0,0,0,0,-1
2137,灾难打击,指挥官斯普林瓦尔猛砍他的主要目标，立即造成普通近战攻击$93685s1%的物理伤害，并获得一层邪恶能量，用以施放其它技能。,98,1,0,0,2138,2,0,0,0,237530,0,0,-1
2138,不忠之盾,"当指挥官斯普林瓦尔获得三层邪恶能量后，他会消耗它们，从盾中释放这股力量。不忠之盾每$93693t1秒对指挥官斯普林瓦尔正前方25度角范围内的敌人造成$93722s1点暗影伤害，持续$93693d。$[!2,4

在英雄难度下，攻击角度扩大至150度。$]",98,2,0,0,2139,2,0,0,0,132390,0,0,-1
2139,亵渎,指挥官斯普林瓦尔使某个玩家脚下半径$93691A1码范围的土地充满邪恶能量。站在这片邪恶之地上的所有玩家移动速度降低$93691s1%，每$93690t1秒受到$93691s2点暗影伤害。,98,3,0,0,2140,2,0,0,0,136199,0,0,-1
2140,邪恶之令,当指挥官斯普林瓦尔获得三层邪恶能量后，他会消耗它们，将这个法术随机施放到某个玩家身上。邪恶之令每$93852t1秒造成相当于该玩家生命值上限$93852s1%的暗影伤害。这个效果会一直持续到该玩家或指挥官斯普林瓦尔死亡。,98,4,0,0,2142,2,0,0,0,237555,2,8,2
2142,哀嚎的卫兵,指挥官斯普林瓦尔出现时带着一个哀嚎的卫兵和一个痛苦的军官，每隔一段时间就会有两个新的帮手加入战斗。,98,5,0,2143,2146,1,37289,0,0,0,2,8,2
2143,邪恶增强,哀嚎的卫兵试图强化指挥官斯普林瓦尔。如果这个法术成功施放，指挥官斯普林瓦尔恢复$93844s2%的生命值，并获得一层邪恶能量。,98,6,2142,0,2144,2,0,0,0,136194,2,64,2
2144,往日的尖啸,哀嚎的卫兵发出可怕的尖叫，打断周围半径$7074A1码范围内的敌人施法。被打断的敌人在$7074d内不能施放该系法术。,98,7,2142,0,2145,2,0,0,0,136164,2,0,2
2145,致死打击,哀嚎的卫兵立即攻击敌人，造成普通武器攻击$91801s1%的伤害，并使敌人受到创伤，这个效果会使该目标受到的所有治疗效果降低$91801s2%。,98,8,2142,0,0,2,0,0,0,132355,2,0,2
2146,痛苦的军官,指挥官斯普林瓦尔出现时带着一个哀嚎的卫兵和一个痛苦的军官，每隔一段时间就会有两个新的帮手加入战斗。,98,9,0,2147,0,1,37294,0,0,0,2,8,2
2147,邪恶增强,痛苦的军官试图强化指挥官斯普林瓦尔。如果这个法术成功施放，指挥官斯普林瓦尔恢复$93844s2%的生命值，并获得一层邪恶能量。,98,10,2146,0,2148,2,0,0,0,136194,2,64,2
2148,盾墙,当痛苦的军官的生命值低于20%时，他会举起盾来防御，受到的所有伤害降低$91463s1%，持续$91463d。,98,11,2146,0,2149,2,0,0,0,132362,2,0,2
2149,丢失能力,痛苦的军官诅咒一个敌方目标，持续$7054d。在诅咒持续期间，每$7054t1秒随机产生一个新的诅咒。新的诅咒持续$7039d，并且会使下列属性中的某一种降低$7039s1%：护甲、攻击伤害、治疗量、生命值上限，或者是移动速度。,98,12,2146,0,0,2,0,0,0,136121,2,320,2
2156,寒冰碎片,沃登勋爵向整个实验室释放寒冰碎片，持续$93527d。每个寒冰碎片都会从空中划过并落地，对周围半径$93535A1码范围内的所有敌方目标造成$93535s1点冰霜伤害。,99,1,0,0,2157,2,0,0,0,237236,0,0,-1
2157,制造有毒的混合剂,"沃登勋爵制造一瓶剧毒药水，然后把它扔向某个玩家所在的位置，瓶子着地即碎。

毒药立即对周围半径$93697A1码范围内的玩家造成$93697s1点自然伤害，并且每$93697t2秒继续造成$93697s2点自然伤害，且使玩家移动速度降低$93697s3%，持续$93697d。",99,2,0,0,2392,2,0,0,0,136242,2,0,1
2158,制造冰霜混合剂,沃登勋爵拿出一种冰冷的药剂，并将其在地上摔碎，立即对周围半径$93505A1码范围内的所有敌人造成$93505s1点冰霜伤害。,99,4,0,0,2159,2,0,0,0,135851,0,0,-1
2159,制造神秘毒剂,沃登勋爵召唤一锅神秘毒剂，持续10秒。里面的药水通常是增稠毒液，但是当沃登勋爵的生命值低于35%时，则会召唤一锅催化毒液。,99,5,0,0,2160,2,0,0,0,134400,2,8,2
2160,增稠毒液,"每$93572t1秒，增稠毒液的毒素就从沃登勋爵的锅中传递到附近的一个玩家身上。增稠毒液每秒造成$93617s2点伤害，并使中毒玩家的移动速度降低$93617s3%，持续$93617d。

这个效果最多可以叠加3次。叠满3层之后，毒液完全凝结，使玩家昏迷$93660d。但是只要玩家移动或跳跃，毒液就将无法凝结，并移除一层效果。",99,6,0,0,2161,2,0,0,0,348567,2,8,2
2161,催化毒液,催化毒液从沃登勋爵的锅中喷溅出来，每$93689t1秒造成$93689s1点火焰伤害，但是可以使目标的爆击几率提高$93689s2%，持续$93689d。,99,7,0,0,0,2,0,0,0,132847,2,8,2
2163,重伤,高弗雷勋爵用绑在手枪上的利刃割伤当前目标，每秒造成$93675s1点物理伤害，并使该目标受到的治疗效果降低$93675s2%，持续$93675d。这个效果最多可以叠加10次。,100,3,0,0,2165,2,0,0,0,132109,0,0,-1
2164,诅咒之弹,高弗雷勋爵随机挑选一名玩家，对其发射被诅咒的子弹，立即对目标造成$93629s1点暗影伤害，并重创目标，每$93629t2秒造成一次递增的暗影伤害，持续$93629d。,100,1,0,0,2167,2,0,0,0,136181,0,320,-1
2165,召唤嗜血食尸鬼,高弗雷勋爵向周围发射六颗亡灵弹，每颗子弹落地之后都会从地下召唤出一个嗜血食尸鬼。,100,4,0,2166,0,2,0,0,0,237524,0,0,-1
