Description_lang,StandingModified_lang,StandingChangedText_lang,ID,FactionID,TextureFileID,Flags
%s,,,210,1691,666624,0
%s,,,212,1690,666624,0
翼手龙长成了%s。,,,213,2233,0,0
恐角龙已经长成了%s。,,,315,2370,0,0
猎人阿卡纳处于%s。,猎人阿卡纳获得了%d点战斗经验值。,猎人阿卡纳达到了%s。,316,2375,0,25
先知奥利处于%s。,先知奥利获得了%d点战斗经验值。,先知奥利达到了%s。,317,2376,0,25
剑客伊诺瓦里处于%s。,剑客伊诺瓦里获得了%d点战斗经验值。,剑客伊诺瓦里达到了%s。,318,2377,0,25
奈莉·锐鳍处于%s。,奈莉·锐鳍获得了%d点战斗经验值。,奈莉·锐鳍达到了%s。,320,2389,0,25
鲍恩·分鳃处于%s。,鲍恩·分鳃获得了%d点战斗经验值。,鲍恩·分鳃达到了%s。,323,2388,0,25
维姆·盐心处于%s。,维姆·盐心获得了%d点战斗经验值。,维姆·盐心达到了%s。,324,2390,0,25
一只%s的蜜背收割者。,,,325,2398,0,0
一只%s的蜜背工蜂。,,,326,2396,0,0
一只%s的蜜背巢母。,,,327,2397,0,0
%s,,,339,2011,666624,0
%s,,,340,2010,666624,0
亚基宝宝已经成长为%s。,,,365,2427,0,0
威·娜莉的目光透露出%s。,威·娜莉现在觉得你更有价值了。 [获得了%d点声望],威·娜莉现在对你的态度很%s。,366,2432,4216713,8
瓦丝琪女男爵视你为%s。,,,367,2446,0,0
月莓女勋爵视你为%s。,,,368,2447,0,0
米卡尼科斯视你为%s。,,,370,2448,0,0
女伯爵视你为%s。,,,371,2449,0,0
亚历山德罗斯·莫格莱尼视你为%s。,,,372,2450,0,0
狩猎队长柯莱恩视你为%s。,,,373,2451,0,0
文官阿得赖斯提斯视你为%s。,,,375,2452,0,0
伦德尔和棍脸视你为%s。,,,376,2453,0,0
丘法视你为%s。,,,377,2454,0,0
地穴看守者卡希尔视你为%s。,,,379,2455,0,0
宗主艾莉奥瑟视你为%s。,,,381,2456,0,0
沃尔大师视你为%s。,,,382,2457,0,0
克雷雅和裴拉戈斯视你为%s。,,,383,2458,0,0
西卡视你为%s。,,,384,2459,0,0
石首视你为%s。,,,385,2460,0,0
魔药设计师马里莱斯视你为%s。,,,387,2461,0,0
你在缝合大师中的声望是%s。,,,389,2462,0,8
你在玛拉斯缪斯处的声望是%s。,,,390,2463,0,8
你在魅夜王庭中的声望是%s。,,,391,2464,0,8
等级 %s,分形知识提高%d,,392,2469,3762255,24
%s研究,,,393,2472,4191562,16
拉希奥视你为%s。,,,396,2517,0,0
萨贝里安视你为%s。,,,397,2518,0,0
与巨龙群岛的工匠商盟的关系是%s。,,,398,2544,0,0
钴蓝集所的奥术能量等级是：%,钴蓝集所的奥术能量提升了。,,400,2550,0,4
布里谷尔觉得你是个%s的蜗牛训练师。,,,408,2568,604882,0
