ID,Name_lang,SafeLocID,PlayerConditionID,Flags,Type,Field_8_2_0_30080_006,WaypointMapVolumeID
94,使用维迪卡尔的传送门前往达拉然,7355,0,0,1,0,0
95,使用维迪卡尔的传送门前往达拉然,7356,0,0,1,0,0
96,克拉苏斯平台（达拉然）,7357,0,0,2,0,0
97,铁炉堡入口,7358,924,1,0,0,0
98,"Wizard's Sanctum, Portal to Shattrath [DNT TEMP]",7294,70119,65,1,0,8
99,使用西部大地神殿的传送门前往海加尔山,7386,37427,0,1,0,0
100,使用诺达希尔的传送门前往奥格瑞玛,7387,0,0,1,0,0
101,探路者大厅,7388,923,0,2,0,0
102,使用西部大地神殿的传送门前往深岩之洲,7389,37429,0,1,0,0
103,深岩之洲,7390,20069,0,2,0,0
104,使用大地神殿的传送门前往奥格瑞玛,7391,20069,0,1,0,0
105,使用西部大地神殿的传送门前往暮光高地,7392,37428,0,1,0,0
106,暮光高地,7393,123821,0,2,0,0
107,使用龙喉港的传送门前往奥格瑞玛,7394,76948,0,1,0,0
108,西部大地神殿,7395,123821,0,2,0,0
109,使用西部大地神殿的传送门前往奥丹姆,7396,37426,0,1,0,0
110,使用西部大地神殿的传送门前往瓦丝琪尔,7397,57341,0,1,0,0
111,瓦丝琪尔,7398,123821,0,2,0,0
112,使用西部大地神殿的传送门前往托尔巴拉德,7399,123821,0,1,0,0
113,托尔巴拉德,7400,123821,0,2,0,0
114,使用地狱咆哮之握的传送门前往奥格瑞玛,7401,123821,0,1,0,0
115,使用探路者大厅的传送门前往银月城（燃烧的远征）,7402,123821,0,1,0,0
116,银月城,7403,123821,0,2,0,0
117,使用日怒之塔的传送门前往奥格瑞玛,7404,123821,0,1,0,0
118,使用内部圣殿的传送宝珠前往幽暗城,7405,123821,0,1,0,0
119,提瑞斯法林地,7406,123821,0,2,0,0
120,使用探路者大厅的传送门前往沙塔斯,7407,6289,0,1,0,0
121,使用圣光广场的传送门前往奥格瑞玛,7408,123821,0,1,0,0
122,使用探路者大厅的传送门前往阿什兰,7409,67336,0,1,0,0
123,阿什兰，战争之矛,7410,123821,2,2,0,0
124,使用暴风之盾的传送门前往塔纳安丛林,7411,33077,0,1,0,0
125,使用雄狮岗哨的传送门前往阿什兰,7412,33077,0,1,0,0
126,使用元素高塔的传送门前往奥格瑞玛,7413,123821,0,1,0,0
127,使用沃玛尔的传送门前往阿什兰,7414,33174,0,1,0,0
128,使用战争之矛的传送门前往塔纳安丛林,7415,32338,0,1,0,0
129,使用探路者大厅的传送门前往阿苏纳,7416,67394,0,1,0,0
130,使用倾颓王宫的传送门前往奥格瑞玛,7417,20069,0,1,0,0
131,阿苏纳,7417,20069,0,2,0,0
132,使用探路者大厅的传送门前往祖达萨,7418,67389,0,1,0,0
133,祖达萨，远古通路大厅,7419,123821,0,2,0,0
134,使用远古通路大厅的传送门前往银月城（燃烧的远征）,7420,123821,0,1,0,0
135,使用远古通路大厅的传送门前往奥格瑞玛,7421,74271,0,1,0,0
136,使用远古通路大厅的传送门前往雷霆崖,7422,123821,0,1,0,0
137,雷霆崖，预见之池,7423,123821,0,2,0,0
138,使用远古通路大厅的传送门前往希利苏斯,7424,57388,0,1,0,0
139,使用麦格尼的营地的传送门前往祖达萨,7425,57388,0,1,0,0
140,使用探路者大厅的传送门前往翡翠林,7426,67388,0,1,0,0
141,蜜露村,7427,123821,0,2,0,0
142,使用蜜露村的传送门前往奥格瑞玛,7427,123821,0,1,0,0
143,使用双月殿的传送门前往奥格瑞玛,7428,123821,0,1,0,0
144,使用探路者大厅的传送门前往晶歌森林,7429,76876,0,1,0,0
145,晶歌森林,7431,20069,0,2,0,0
146,使用夺日者圣殿的传送门前往奥格瑞玛,7434,20069,0,1,0,0
147,使用奥格瑞玛的传送门前往幽暗城,7437,123821,0,1,0,0
148,乘坐奥格瑞玛的飞艇前往荆棘谷,7438,123821,0,0,0,0
149,乘坐格罗姆高营地的飞艇前往奥格瑞玛,7439,123821,0,0,0,0
150,乘坐奥格瑞玛的飞艇前往北风苔原,7440,123821,0,0,0,0
151,乘坐战歌要塞的飞艇前往奥格瑞玛,7441,123821,0,0,0,0
152,使用命运阶梯的传送门前往奥格瑞玛,7443,123821,0,1,0,0
153,使用要塞的传送门前往阿什兰,7444,28959,0,1,0,0
154,使用要塞的传送门前往阿什兰,7445,28958,0,1,0,0
155,祖达萨港,7446,123821,0,2,0,0
156,和码头管理员交谈，前往祖达萨,7447,123821,0,1,0,0
157,和码头管理员交谈，前往祖达萨,7448,123821,0,1,0,0
158,和码头管理员交谈，前往祖达萨,7449,123821,0,1,0,0
159,使用黑暗之门前往德拉诺,7348,70212,0,1,0,0
160,通往霜火岭的黑暗之门,7450,123821,2,2,0,0
161,通往战争之矛（阿什兰）的黑暗之门,7459,33093,2,2,0,0
162,矿道地铁入口,7339,924,0,2,0,0
163,矿道地铁出口,7318,924,0,2,0,0
164,前往伯拉勒斯港（提拉加德海峡）的船,7325,123820,0,2,0,0
165,暴风城船只出口,7326,123820,0,2,0,0
166,从出口前往暴风城,7340,924,0,1,0,0
167,从出口前往铁炉堡,7319,924,0,1,0,0
168,使用梅扎米尔的传送门前往伯拉勒斯,7484,69813,0,1,0,0
169,使用贤者圣殿的传送门前往纳沙塔尔,7485,70647,0,1,0,0
170,贤者圣殿，通往纳沙塔尔的传送门,7485,70647,0,2,0,0
171,通往伯拉勒斯的传送门,7484,69813,0,2,0,0
172,使用梅扎米尔的传送门前往伯拉勒斯,7484,69813,1,1,0,0
173,使用远古通路大厅的传送门前往纳沙塔尔,7488,70647,0,1,0,0
174,使用新生家园的传送门前往祖达萨,7489,70274,0,1,0,0
175,通往祖达萨的传送门,7489,70274,0,2,0,0
176,搭乘祖达萨的潜水艇前往麦卡贡,7491,69452,0,1,0,0
177,库鲁兹船长,7491,69452,0,2,0,0
178,招股湾，麦卡贡,7492,123821,0,2,0,0
179,搭乘麦卡贡的潜水艇前往祖达萨,7493,70284,0,1,0,0
180,使用风行者圣殿的传送门前往奥格瑞玛,7494,0,0,1,0,0
181,搭乘女妖之啸号前往库尔提拉斯,7495,5703,1,0,0,0
182,搭乘风之救赎号前往赞达拉,7496,5703,1,0,0,0
183,搭乘风之救赎号前往纳兹米尔,7496,61891,0,1,0,0
184,搭乘风之救赎号前往沃顿,7496,61797,0,1,0,0
185,搭乘风之救赎号前往祖达萨,7496,61892,0,1,0,0
186,搭乘女妖之啸号前往提拉加德海峡,7495,75528,0,1,0,0
187,搭乘女妖之啸号前往德鲁斯瓦,7495,61897,0,1,0,0
188,搭乘女妖之啸号前往斯托颂谷地,7495,61723,0,1,0,0
189,搭乘女妖之啸号前往提拉加德海峡,7497,75530,0,2,0,0
190,搭乘女妖之啸号前往斯托颂谷地,7498,61723,0,2,0,0
191,搭乘女妖之啸号前往德鲁斯瓦,7499,61897,0,2,0,0
192,搭乘风之救赎号前往祖达萨,7500,61892,0,2,0,0
193,搭乘风之救赎号前往纳兹米尔,7501,61891,0,2,0,0
194,搭乘风之救赎号前往沃顿,7502,61797,0,2,0,0
195,使用麦格尼的营地的传送门前往祖达萨,7425,123821,0,2,0,0
196,使用贤者圣殿的传送门前往希利苏斯,7517,57389,0,1,0,0
197,使用麦格尼的营地的传送门前往祖达萨,7518,123820,0,2,0,0
198,使用麦格尼的营地的传送门前往提拉加德,7519,57389,0,1,0,0
199,贤者圣殿,7520,123820,0,2,0,0
202,阿什兰，暴风之盾,7300,0,0,2,0,0
203,使用探路者大厅的传送门前往时光之穴,7656,112273,16,1,0,0
204,使用时光之穴的传送门前往奥格瑞玛,7657,130569,16,1,0,0
205,使用巫师圣殿的传送门前往时光之穴,7659,123820,68,1,10,8
207,时光之穴,7655,0,16,2,0,0
208,使用时光之穴的传送门前往暴风城,7658,130571,0,1,0,0
209,使用暴风城的传送门前往达纳苏斯,7660,127988,0,1,0,0
210,使用鲁瑟兰村的传送门前往暴风城,7661,123820,0,1,0,0
211,黑海岸，通往达纳苏斯的传送门,7662,123820,0,2,0,0
212,使用探路者大厅的传送门前往祖达萨,7676,67389,1,1,0,0
213,使用提瑞斯法林地的传送门前往奥格瑞玛,7894,77256,0,1,0,0
214,使用提瑞斯法林地的传送门前往荆棘谷,7895,77256,0,1,0,0
215,使用提瑞斯法林地的传送门前往嚎风峡湾,7896,77256,0,1,0,0
216,嚎风峡湾,7897,123821,0,2,0,0
217,荆棘谷,7898,123821,0,2,0,0
218,使用探路者大厅的传送门前往奥利波斯,8017,79400,0,1,0,0
219,使用巫师圣殿的传送门前往奥利波斯,8018,79400,68,1,10,8
220,巫师圣殿，通往奥利波斯的传送门,8019,123820,0,2,0,0
221,巫师圣殿，通往奥利波斯的传送门,8020,123821,0,2,0,0
222,开启一道通往暴风城的传送门,0,81254,8,1,0,0
223,开启一道通往铁炉堡的传送门,0,81255,8,1,0,0
224,开启一道通往达纳苏斯的传送门,0,81256,8,1,0,0
225,开启一道通往埃索达的传送门,0,81257,8,1,0,0
226,开启一道通往塞拉摩的传送门,0,81258,8,1,0,0
227,开启一道通往奥格瑞玛的传送门,0,81259,8,1,0,0
228,开启一道通往幽暗城的传送门,0,81260,8,1,0,0
229,开启一道通往雷霆崖的传送门,0,81261,8,1,0,0
230,开启一道通往银月城的传送门（燃烧的远征）,0,81262,8,1,0,0
231,开启一道通往斯通纳德的传送门,0,81263,8,1,0,0
232,开启一道通往沙塔斯的传送门,0,81264,8,1,0,0
233,开启一道通往沙塔斯的传送门,0,81265,8,1,0,0
234,开启一道通往达拉然（诺森德）的传送门,0,81266,8,1,0,0
235,开启一道通往托尔巴拉德的传送门,0,81267,8,1,0,0
236,开启一道通往托尔巴拉德的传送门,0,81268,8,1,0,0
237,开启一道通往达拉然（远古）的传送门,0,81269,8,1,0,0
238,开启一道通往锦绣谷的传送门,0,81270,8,1,0,0
239,开启一道通往锦绣谷的传送门,0,81271,8,1,0,0
240,开启一道通往暴风之盾的传送门,0,81272,8,1,0,0
241,开启一道通往战争之矛的传送门,0,81273,8,1,0,0
242,开启一道通往守护者圣殿的传送门,0,81275,8,1,0,0
243,开启一道通往达拉然（破碎群岛）的传送门,0,81276,8,1,0,0
244,开启一道通往伯拉勒斯的传送门,0,81277,8,1,0,0
245,开启一道通往达萨罗的传送门,0,81278,8,1,0,0
246,暴风城,8207,81254,0,2,0,0
247,铁炉堡,8208,81255,0,2,0,0
248,达纳苏斯,8209,81256,0,2,0,0
249,埃索达,8210,81257,0,2,0,0
250,塞拉摩,8211,81258,0,2,0,0
251,沙塔斯,8212,81264,0,2,0,0
252,达拉然（诺森德）,8213,81266,0,2,0,0
253,托尔巴拉德,8214,81267,0,2,0,0
254,达拉然（远古）,8215,81269,0,2,0,0
255,锦绣谷,8216,81270,0,2,0,0
256,风暴之盾,8217,81272,0,2,0,0
257,守护者圣殿,8218,81275,0,2,0,0
258,达拉然（破碎群岛）,8219,81276,0,2,0,0
259,伯拉勒斯,8220,81277,0,2,0,0
260,奥格瑞玛,8221,81259,0,2,0,0
261,幽暗城,8222,81260,0,2,0,0
262,雷霆崖,8223,81261,0,2,0,0
263,银月城,8224,81262,0,2,0,0
264,斯通纳德,8225,81263,0,2,0,0
265,沙塔斯,8226,81265,0,2,0,0
266,托尔巴拉德,8227,81268,0,2,0,0
267,锦绣谷,8228,81271,0,2,0,0
268,战争之矛,8229,81273,0,2,0,0
269,达萨罗,8230,81278,0,2,0,0
270,从转移之环跳进噬渊,8323,93068,16,1,0,0
271,噬渊,8324,93068,16,2,0,0
272,使用道标石前往奥利波斯,8342,80945,4,1,0,0
273,奥利波斯,8343,0,16,2,0,0
274,雷文德斯,8355,0,16,2,0,0
275,玛卓克萨斯,8357,0,16,2,0,0
276,通过入口传送门进入托加斯特,8452,87423,0,1,0,0
277,通过出口之门离开托加斯特,8451,83810,0,1,0,0
278,通过出口之门离开托加斯特,8454,83810,16,2,0,0
279,通过入口传送门进入托加斯特,8455,87423,0,2,0,0
280,使用黑暗之门前往外域,7348,0,0,1,0,0
281,使用奥利波斯的传送门前往暴风城,8460,87609,0,1,0,0
282,奥利波斯,8461,87609,0,2,0,0
283,使用暴风城的传送门前往奥利波斯,8460,87609,0,1,0,0
284,使用奥利波斯的传送门前往奥格瑞玛,8463,87617,0,1,0,0
285,奥利波斯,8464,87617,0,2,0,0
286,使用奥格瑞玛的传送门前往奥利波斯,8465,87617,0,1,0,0
287,开启一道通往奥利波斯的传送门,0,88449,8,1,0,0
288,奥利波斯 - 暗影界,8475,88449,0,2,0,0
289,玛卓克萨斯,8486,0,16,2,0,0
290,玛卓克萨斯,8487,0,16,2,0,0
291,使用威·娜莉的庇护所的心能之流传送器前往刻希亚,8756,0,17,1,0,0
292,使用威·娜莉的庇护所的心能之流传送器前往刻希亚,8757,0,17,2,0,0
293,使用守护者的休憩的道标石前往奥利波斯,8758,93069,4,1,0,0
294,使用守护者的休憩的道标石前往奥利波斯,8759,0,16,2,0,0
295,在转移之环使用通往刻希亚的传送门,8759,93068,16,1,0,0
296,在转移之环使用通往刻希亚的传送门,8758,93068,16,2,0,0
297,在转移之环使用通往扎雷殁提斯的传送门,9138,94989,4,1,0,0
298,在转移之环使用通往扎雷殁提斯的传送门,9139,0,0,2,0,0
299,使用几何洞窟的道标石前往奥利波斯,9139,0,0,1,0,0
300,使用几何洞窟的道标石前往奥利波斯,9138,0,0,2,0,0
301,与奥利波斯的塔尔-伊纳拉谈一谈，前往扎雷殁提斯,9174,94561,4,1,0,0
302,使用洛丹伦废墟的传送门前往奥格瑞玛,9233,97144,0,1,0,0
303,使用洛丹伦废墟的传送门前往荆棘谷,9234,97144,0,1,0,0
304,使用洛丹伦废墟的传送门前往嚎风峡湾,9235,97144,0,1,0,0
305,搭乘暴风城的船前往觉醒海岸,9501,123820,0,1,0,0
306,前往觉醒海岸的船,9502,123820,0,2,0,0
307,前往觉醒海岸的飞艇,9503,123821,0,2,0,0
308,乘坐奥格瑞玛的飞艇前往觉醒海岸,9504,123821,0,1,0,0
309,使用奥格瑞玛的传送门前往瓦德拉肯,9505,103380,0,1,0,0
310,通往瓦德拉肯的传送门,9506,103380,0,2,0,0
311,通往瓦德拉肯的传送门,9507,103379,0,2,0,0
312,使用巫师圣殿的传送门前往瓦德拉肯,9508,103379,68,1,10,0
313,使用瓦德拉肯的传送门前往暴风城,9507,103379,0,1,0,0
314,通往暴风城的传送门,9508,103379,68,1,30,8
315,搭乘觉醒海岸的船前往暴风城,9502,123820,0,1,0,0
316,开往暴风城的船只,9501,123820,0,2,0,0
317,离开巫师圣殿,9508,103379,68,1,30,8
318,通往奥格瑞玛的传送门,9505,103380,0,2,0,0
319,使用瓦德拉肯的传送门前往奥格瑞玛,9506,103380,0,1,0,0
320,前往奥格瑞玛的飞艇,9504,123821,0,2,0,0
321,乘坐觉醒海岸的飞艇前往奥格瑞玛,9503,123821,0,1,0,0
322,通过隧道离开查拉雷克洞窟,9610,0,0,1,0,0
323,通往欧恩哈拉平原的隧道,9611,0,0,2,0,0
324,通过隧道进入查拉雷克洞窟,9612,0,0,1,0,0
325,通往查拉雷克洞窟的隧道,9613,0,0,2,0,0
326,开启一道通往瓦德拉肯的传送门,0,109942,8,1,0,0
327,瓦德拉肯 - 巨龙群岛,9630,109942,0,2,0,0
328,通过隧道离开查拉雷克洞窟,9631,0,0,1,0,0
329,通往碧蓝林海的隧道,9632,0,0,2,0,0
330,通过隧道离开查拉雷克洞窟,9633,0,0,1,0,0
331,通往欧恩哈拉平原的隧道,9634,0,0,2,0,0
332,通过隧道进入查拉雷克洞窟,9635,0,0,1,0,0
333,通往查拉雷克洞窟的隧道,9636,0,0,2,0,0
334,通过隧道进入查拉雷克洞窟,9637,0,0,1,0,0
335,通往查拉雷克洞窟的隧道,9638,0,0,2,0,0
336,从达拉然前往圣光秘殿的传送门,9766,41396,16,1,0,0
337,通往圣光秘殿的传送门,9767,41396,16,2,0,0
338,通往达拉然的传送门,9766,41396,0,2,0,0
339,从圣光秘殿前往达拉然的传送门,9767,41396,0,1,0,0
340,从达拉然前往圣光秘殿的传送门,9768,41395,16,1,0,0
341,通往圣光秘殿的传送门,9767,41395,16,2,0,0
342,从圣光秘殿前往达拉然的传送门,9767,41395,0,1,0,0
343,通往达拉然的传送门,9768,41395,0,2,0,0
344,使用远古林枝的传送门前往翡翠梦境,9777,0,0,1,0,0
345,使用远古林枝的传送门离开翡翠梦境,9778,0,0,2,0,0
346,使用远古林枝的传送门离开翡翠梦境,9779,0,0,1,0,0
347,从远古林枝前往翡翠梦境的传送门,9780,0,0,2,0,0
351,使用奥格瑞玛的传送门前往洛丹伦废墟,7437,113979,0,1,0,0
352,洛丹伦废墟,9792,113979,0,2,0,0
353,使用嚎风峡湾的传送门前往洛丹伦废墟,9793,113979,0,1,0,0
354,使用格罗姆高的传送门前往洛丹伦废墟,7898,113979,0,1,0,0
355,使用洛丹伦废墟的传送门前往奥格瑞玛,9794,113979,0,2,0,0
356,使用洛丹伦废墟的传送门前往嚎风峡湾,9795,113979,0,1,0,0
357,使用洛丹伦废墟的传送门前往格罗姆高,9796,113979,0,1,0,0
360,使用传送门前往馈赠盛典,9924,116631,0,1,0,0
361,前往馈赠盛典的传送门,9925,123821,0,2,0,0
362,前往馈赠盛典的传送门,9926,123820,0,2,0,0
363,使用传送门前往馈赠盛典,9927,116631,0,1,0,0
364,使用传送门前往馈赠盛典,9928,116631,0,1,0,0
365,使用传送门前往馈赠盛典,9929,116631,0,1,0,0
366,使用传送门前往馈赠盛典,9930,116631,0,1,0,0
367,使用传送门前往馈赠盛典,9931,116631,0,1,0,0
368,使用传送门前往馈赠盛典,9932,116631,0,1,0,0
369,使用瓦德拉肯的传送门前往翡翠梦境,9945,0,0,1,0,0
370,使用贝拉梅斯的传送门前往暴风城,9950,123820,0,1,0,0
371,通往暴风城的传送门,9951,123820,0,2,30,0
372,使用暴风城的传送门前往贝拉梅斯,9951,123820,64,1,0,8
373,通往贝拉梅斯的传送门,9950,123820,0,2,30,0
374,使用贝拉梅斯的传送门前往黑海岸,9952,123820,0,1,0,0
375,通往黑海岸的传送门,9953,123820,0,2,0,0
376,使用黑海岸的传送门前往贝拉梅斯,9954,123820,4,1,0,0
377,通往贝拉梅斯的传送门,9792,123820,0,2,0,0
378,使用贝拉梅斯的传送门前往海加尔山,9955,4383,0,1,0,0
379,通往海加尔山的传送门,9956,4383,0,2,0,0
380,使用海加尔山的传送门前往贝拉梅斯,9957,4383,0,1,0,0
381,通往贝拉梅斯的传送门,9958,4383,0,2,0,0
382,使用阿梅达希尔的传送门前往羽月要塞,9963,123820,0,1,30,0
383,使用瓦尔莎拉的传送门前往贝拉梅斯,9960,134755,0,1,0,0
384,通往贝拉梅斯的传送门,9961,134755,0,2,0,0
386,通往羽月要塞的传送门,9964,123820,0,2,0,0
387,使用羽月要塞的传送门前往贝拉梅斯,9965,123820,0,1,0,0
388,通往贝拉梅斯的传送门,9966,123820,0,2,0,0
389,使用多恩诺嘉尔的传送门前往奥格瑞玛,10073,120899,0,1,0,0
390,使用多恩诺嘉尔的传送门前往暴风城,10074,120900,0,1,0,0
391,通往奥格瑞玛的传送门,10075,120899,0,2,0,0
392,使用奥格瑞玛的传送门前往多恩诺嘉尔,10076,120899,0,1,0,0
393,通往多恩诺嘉尔的传送门,10077,120899,0,2,0,0
394,通往暴风城的传送门,10078,120900,0,2,0,0
395,使用暴风城的传送门前往多恩诺嘉尔,10079,120900,68,1,30,8
396,通往多恩诺嘉尔的传送门,10080,120900,0,2,0,0
397,开启一道通往多恩诺嘉尔的传送门,0,121677,8,1,0,0
398,多恩诺嘉尔 - 卡兹阿加,10155,121677,0,2,0,0
399,通往翡翠梦境的传送门,10177,0,0,2,0,0
400,穿过心核隧途前往多恩岛,10196,0,50,1,0,4
401,通往多恩岛的出口,10197,0,50,2,0,4
402,穿过心核隧途前往喧鸣深窟,10194,0,50,1,0,1
403,通往喧鸣深窟的出口,10195,0,50,2,0,1
404,使用尘泥沼泽的传送门前往达拉然,10186,5793,0,1,0,0
405,使用达拉然的传送门前往尘泥沼泽,10187,5793,0,2,0,0
406,使用龙骨荒野的传送门前往达拉然,10188,5793,0,1,0,0
407,使用达拉然的传送门前往龙骨荒野,10189,5793,0,2,0,0
408,使用达拉然的传送门前往灼热峡谷,10190,5793,0,2,0,0
409,使用灼热峡谷的传送门前往达拉然,10191,5793,0,1,0,0
414,穿过陨圣峪大门前往陨圣峪,10198,0,50,1,0,4
415,通往陨圣峪的出口,10199,0,50,2,0,3
416,穿过陨圣峪大门前往喧鸣深窟,10200,0,50,1,0,3
417,通往喧鸣深窟的出口,10201,0,50,2,0,4
418,穿过阿拉希之末前往艾基-卡赫特,10202,0,50,1,0,3
419,通往艾基-卡赫特的出口,10203,0,50,2,0,2
420,穿过呢喃裂谷前往艾基-卡赫特,10204,0,50,1,0,3
421,通往艾基-卡赫特的出口,10205,0,50,2,0,2
422,穿过阿拉希之末前往陨圣峪,10206,0,50,1,0,2
423,通往陨圣峪的出口,10207,0,50,2,0,3
424,通往陨圣峪的出口,10208,0,50,2,0,3
425,穿过呢喃裂谷前往陨圣峪,10209,0,50,1,0,2
426,使用深沟钻机进入安德麦,10228,0,0,1,0,0
427,前往安德麦的火箭钻机,10225,0,0,2,0,0
428,使用深沟钻机离开安德麦,10226,0,0,1,0,0
429,前往喧鸣深窟的火箭钻机,10227,0,0,2,0,0
430,使用滨海钻机进入安德麦,10230,0,0,1,0,0
431,前往安德麦的火箭钻机,10231,0,0,2,0,0
432,艾基-卡赫特,10233,0,19,0,0,0
433,陨圣峪,10234,0,19,0,0,0
434,艾基-卡赫特,10235,0,19,0,0,0
435,使用暴风城的传送门前往达拉然,10246,0,0,1,0,0
436,使用暴风城的传送门前往达拉然,10247,0,0,2,0,0
437,使用奥格瑞玛的传送门前往达拉然,10248,0,0,1,0,0
