ID,Text_lang,RelationshipFlags,EmotesTextID
63,%s重重地敲了一下你的脑袋，发出“咚”的一声。,1,13
64,你重重地敲了一下%s的脑袋，发出“咚”的一声。,2,13
65,%s重重地敲了一下他自己的脑袋，发出“咚”的一声。,4,13
66,你重重地敲了一下你的脑袋，发出“咚”的一声。,6,13
67,%s重重地敲了一下她自己的脑袋，发出“咚”的一声。,12,13
68,%s对%s感到十分厌烦。,0,14
69,%s对你感到十分厌烦。,1,14
70,你对%s感到十分厌烦。,2,14
71,"%s已经不胜其烦,这种苦差事！",4,14
72,你已经对这种苦差事不胜其烦了！,6,14
73,%s在%s面前上蹿下跳。,0,15
74,%s在你面前上蹿下跳。,1,15
75,你在%s面前上蹿下跳。,2,15
76,%s正在上蹿下跳。,4,15
77,你正在上蹿下跳。,6,15
78,%s马上就回来，%s，你先别擅自行动。,0,16
79,%s马上就回来。请先不要采取什么行动。,1,16
80,你告诉%s你会马上回来。,2,16
81,%s马上就回来。,4,16
82,你告诉大家你马上就回来。,6,16
83,%s向%s鞠躬。,0,17
84,%s向你鞠躬。,1,17
85,你向%s鞠躬。,2,17
86,%s优雅的鞠了一躬。,4,17
87,你优雅的鞠了一躬。,6,17
91,%s打了个响亮的嗝。,4,18
92,你打了个响亮的嗝。,6,18
93,%s向%s挥手告别。再见！,0,19
94,%s向你挥手告别。再见！,1,19
95,你向%s挥手告别。再见！,2,19
96,%s向大家挥手告别。再见！,4,19
97,你向大家挥手告别。再见！,6,19
98,%s对着%s咯咯地笑个不停。,0,20
99,%s对着你咯咯地笑个不停。,1,20
100,你对着%s咯咯的笑个不停。,2,20
101,%s见此情景咯咯地笑个不停。,4,20
102,你见此情景咯咯的笑个不停。,6,20
103,%s为%s而欢呼！,0,21
104,%s为你而欢呼！,1,21
105,你为%s而欢呼！,2,21
106,%s大声欢呼！,4,21
107,你大声欢呼！,6,21
108,%s像母鸡一样扇动着双臂，绕着%s咯咯咯地叫！,0,22
109,%s像母鸡一样扇动着双臂，绕着你咯咯咯地叫！,1,22
110,你像母鸡一样扇动着双臂，绕着%s咯咯咯地叫！,2,22
111,%s像母鸡一样扇动着双臂，绕着圈子咯咯咯地叫！,4,22
112,你像母鸡一样扇动着双臂，绕着圈子咯咯咯地叫！,6,22
113,%s对着%s吃吃地笑。,0,23
114,%s对着你吃吃地笑。,1,23
115,你对着%s吃吃地笑。,2,23
116,%s吃吃地笑着。,4,23
117,你吃吃地笑着。,6,23
118,%s激动地为%s鼓掌。,0,24
119,%s激动地为你鼓掌。,1,24
120,你激动地为%s鼓掌。,2,24
121,%s激动地鼓掌。,4,24
122,你激动地鼓掌。,6,24
123,%s疑惑地看着%s。,0,25
124,%s疑惑地看着你。,1,25
125,你疑惑地看着%s。,2,25
126,%s被完全搞糊涂了。,4,25
127,你被完全搞糊涂了。,6,25
128,%s向%s表示祝贺。,0,26
129,%s向你表示祝贺。,1,26
130,你向%s表示祝贺。,2,26
131,%s向大家表示祝贺。,4,26
132,你向周围的所有人表示祝贺。,6,26
133,%s干咳了几下。,0,27
134,%s干咳了几下。,1,27
135,你干咳了几下。,2,27
136,%s干咳了几下。,4,27
137,你干咳了几下。,6,27
138,%s一看到%s就害怕地退缩了。,0,28
139,%s一看到你就害怕地退缩了。,1,28
140,你一看到%s就害怕地退缩了。,2,28
141,%s害怕地退缩了。,4,28
142,你害怕地退缩了。,6,28
143,%s把手上的关节捏得咯咯作声，直直地望着%s。,0,29
144,%s把手上的关节捏得咯咯作声，直直地望着你。,1,29
145,你把手上的关节捏得咯咯作声，直直地望着%s。,2,29
146,%s把手上的关节捏得咯咯作声。,4,29
147,你把手上的关节捏得咯咯作声。,6,29
148,%s把手上的关节捏得咯咯作声，直直地望着%s。,8,29
149,%s把手上的关节捏得咯咯作声，直直地望着你。,9,29
150,%s把手上的关节捏得咯咯作声。,12,29
151,%s在%s的面前退缩了。,0,30
152,%s在你的面前退缩了。,1,30
153,你在%s的面前退缩了。,2,30
154,%s因为恐惧而退缩了。,4,30
155,你因为恐惧而退缩了。,6,30
156,%s靠在%s的肩膀上泣不成声。,0,31
157,%s靠在你的肩膀上泣不成声。,1,31
158,你扑在%s的肩膀上泣不成声。,2,31
159,%s哭了。,4,31
160,你哭了。,6,31
161,%s对于%s能胜任什么工作很感兴趣。,0,32
162,%s对于你能胜任什么工作很感兴趣。,1,32
163,你对于%s能胜任什么工作很感兴趣。,2,32
164,%s向大家表示了他的好奇心。,4,32
165,你对周围的人流露出好奇心。,6,32
166,%s对周围的人流露出好奇心。,12,32
167,%s向%s行屈膝礼。,0,33
168,%s向你行屈膝礼。,1,33
169,你向%s行屈膝礼。,2,33
170,%s行了个屈膝礼。,4,33
171,你行了个屈膝礼。,6,33
172,%s在和%s跳舞。,0,34
173,%s在和你跳舞。,1,34
174,你在和%s跳舞。,2,34
175,%s开始跳舞。,4,34
176,你开始跳舞。,6,34
177,%s向%s举杯。干杯！,0,35
178,%s向你举杯。干杯！,1,35
179,你向%s举杯。干杯！,2,35
180,%s举起酒杯，然后一饮而尽。干杯！,4,35
181,你举起酒杯，然后一饮而尽。干杯！,6,35
182,一条长长的口水挂在%s的嘴边。,0,36
183,一条长长的口水挂在%s的嘴边。,1,36
184,一条长长的口水挂在你的嘴边。,2,36
185,一条长长的口水挂在%s的嘴边。,4,36
186,一条长长的口水挂在你的嘴边。,6,36
187,%s开始在%s面前吃东西。,0,37
188,%s开始在你面前吃东西。,1,37
189,你在%s面前开始吃东西。,2,37
190,%s开始吃东西。,4,37
191,你开始吃东西。,6,37
192,%s上下打量了一下%s。,0,38
193,%s上下打量了一下你。,1,38
194,你上下打量了一下%s。,2,38
195,%s眯着眼睛看着你。,4,38
196,你眯起了眼睛。,6,38
197,%s放了一个很响的屁。嗯……什么东西这么臭？,0,39
198,%s放了一个很响的屁。嗯……什么东西这么臭？,1,39
199,你放了一个很响的屁。嗯……什么东西这么臭？,2,39
200,%s放了一个很响的屁。嗯…什么东西这么臭？,4,39
201,你放了一个很响的屁。嗯…什么东西这么臭？,6,39
202,%s等%s等得坐立不安。,0,40
203,%s等你等得坐立不安。,1,40
204,你等%s等得坐立不安。,2,40
205,%s显得坐立不安。,4,40
206,你显得坐立不安。,6,40
207,%s向%s展示肌肉。哇，好壮啊！,0,41
208,%s向你展示他的肌肉。哇，好壮啊！,1,41
209,你向%s展示你的肌肉。哇，好壮啊！,2,41
210,%s正在展示他的肌肉。哇，好壮啊！,4,41
211,你正在展示你的肌肉。哇，好壮啊！,6,41
212,%s正在展示她的肌肉。哇，好壮啊！,12,41
213,%s失望地对%s皱起了眉头。,0,42
214,%s失望地对你皱起了眉头。,1,42
215,你失望地对%s皱起了眉头。,2,42
216,%s皱着眉头。,4,42
217,你皱着眉头。,6,42
218,%s气喘吁吁地和%s说话。,0,43
219,%s气喘吁吁地和你说话。,1,43
220,你气喘吁吁地和%s说话。,2,43
221,%s显得气喘吁吁。,4,43
222,你显得气喘吁吁。,6,43
223,%s紧紧地盯着%s。,0,44
224,%s紧紧地盯着你。,1,44
225,你紧紧地盯着%s。,2,44
226,%s凝视着远方。,4,44
227,你凝视着远方。,6,44
228,%s对着%s咯咯地傻笑。,0,45
229,%s对着你咯咯地傻笑。,1,45
230,你对着%s咯咯地傻笑。,2,45
231,%s在咯咯地傻笑。,4,45
232,你在咯咯地傻笑。,6,45
233,%s生气地对着%s瞪大了眼睛。,0,46
234,%s生气地对着你瞪大了眼睛。,1,46
235,你生气地对着%s瞪大了眼睛。,2,46
236,%s生气地瞪大了眼睛。,4,46
237,你生气地瞪大了眼睛。,6,46
238,%s幸灾乐祸于%s的不幸。,0,47
239,%s幸灾乐祸于你的不幸。,1,47
240,你幸灾乐祸于%s的不幸。,2,47
241,%s幸灾乐祸于大家的不幸。,4,47
242,你幸灾乐祸于大家的不幸。,6,47
243,%s热情问候%s。,0,48
244,%s热情问候你。,1,48
245,你热情问候%s。,2,48
246,%s热情地问候大家。,4,48
247,你热情地问候大家。,6,48
248,%s顽皮地对%s一笑。,0,49
249,%s顽皮地对你一笑。,1,49
250,你顽皮地对%s一笑。,2,49
251,%s顽皮地笑了笑。,4,49
252,你顽皮地笑了笑。,6,49
253,%s对着%s痛苦地呻吟。,0,50
254,%s对着你痛苦地呻吟。,1,50
255,你对着%s痛苦地呻吟。,2,50
256,%s开始痛苦地呻吟。,4,50
257,你开始痛苦地呻吟。,6,50
258,%s在%s面前卑躬屈膝，好像一个屈从的苦工一样。,0,51
259,%s在你面前卑躬屈膝，好像一个屈从的苦工一样。,1,51
260,你在%s面前卑躬屈膝，好像一个屈从的苦工一样。,2,51
261,%s卑微地跪在地上。,4,51
262,你卑微地跪在地上。,6,51
263,%s看了%s一眼然后哈哈大笑。,0,52
264,%s看了你一眼然后哈哈大笑。,1,52
265,你看了%s一眼然后哈哈大笑。,2,52
266,%s放声大笑。,4,52
267,你放声大笑。,6,52
268,%s和%s打招呼。,0,53
269,%s和你打招呼。,1,53
270,你和%s打招呼。,2,53
271,%s和周围所有的人打招呼。,4,53
272,你和周围所有的人打招呼。,6,53
273,%s和周围所有的人打招呼。,12,53
274,%s感到和%s在一起很开心！,0,54
275,%s感到和你在一起很开心！,1,54
276,你感到和%s在一起很开心！,2,54
277,%s显得非常高兴！,4,54
278,你显得非常高兴！,6,54
279,%s真心地向%s表示问候。,0,55
280,%s真心地向你表示问候。,1,55
281,你真心地向%s表示问候。,2,55
282,%s真心地向大家表示问候。,4,55
283,你真心地向大家表示问候。,6,55
284,%s拥抱了%s。,0,56
285,%s拥抱了你。,1,56
286,你拥抱了%s。,2,56
287,%s需要一个拥抱！,4,56
288,你需要一个拥抱！,6,56
289,%s感到很饿。也许在%s那里可以找到一些食物。,0,57
290,%s感到很饿。也许在你那里可以找到一些食物。,1,57
291,你感到很饿。也许在%s那里可以找到一些食物。,2,57
292,%s感到很饿！,4,57
293,你感到很饿！,6,57
294,%s给了%s一个飞吻。,0,58
295,%s给了你一个飞吻。,1,58
296,你给了%s一个飞吻。,2,58
297,%s抛出一个飞吻。,4,58
298,你抛出一个飞吻。,6,58
299,%s在%s面前跪下。,0,59
300,%s在你面前跪下。,1,59
301,你在%s面前跪下。,2,59
302,%s跪了下来。,4,59
303,你跪了下来。,6,59
304,%s在嘲笑%s。,0,60
305,%s在嘲笑你。,1,60
306,你在嘲笑%s。,2,60
307,%s大笑。,4,60
308,你大笑。,6,60
309,%s在%s面前躺下。,0,61
310,%s在你面前躺下。,1,61
311,你在%s面前躺下。,2,61
312,%s躺了下来。,4,61
313,你躺了下来。,6,61
314,%s帮%s按摩肩膀。,0,62
315,%s帮你按摩肩膀。,1,62
316,你帮%s按摩肩膀。,2,62
317,%s需要按摩一下！,4,62
318,你需要按摩一下！,6,62
319,,0,63
320,,1,63
321,,2,63
322,,4,63
323,,6,63
324,%s把屁股对着大家。,0,64
325,%s把屁股对着大家。,1,64
326,你把屁股对着大家。,2,64
327,%s把屁股对着大家。,4,64
328,你把屁股对着大家。,6,64
329,%s把屁股对着大家。,8,64
330,%s把屁股对着大家。,9,64
331,%s把屁股对着大家。,12,64
332,%s深深的陷入对于%s之死的哀思中。,0,65
333,%s深深的陷入对于你的死亡的哀思中。,1,65
334,你深深的陷入对于%s之死的哀思中。,2,65
335,%s深深的陷入对于死者的哀思中。,4,65
336,你深深的陷入对于死者的哀思中。,6,65
337,%s坚决地对%s说不。,0,66
338,%s坚决地对你说不。,1,66
339,你坚决地对%s说不。,2,66
340,%s坚决地声明，不。,4,66
341,你斩钉截铁地说了个不字。,6,66
342,%s对%s点了点头。,0,67
343,%s对你点了点头。,1,67
344,你对%s点了点头。,2,67
345,%s点了点头。,4,67
346,你点了点头。,6,67
347,%s挖了挖鼻孔，把手指伸到%s面前。,0,68
348,%s挖了挖鼻孔，把手指伸到你面前。,1,68
349,你挖了挖鼻孔，把手指伸到%s面前。,2,68
350,%s无聊地挖鼻孔来打发时间。,4,68
351,你无聊地挖鼻孔来打发时间。,6,68
352,%s挖了挖鼻孔，把手指伸到%s面前。,8,68
353,%s挖了挖鼻孔，把手指伸到你面前。,9,68
354,%s看了一眼%s，然后大惊失色。,0,69
355,%s看了一眼你，然后大惊失色。,1,69
356,你看了一眼%s，然后大惊失色。,2,69
357,%s惊恐地跑来跑去。,4,69
358,你惊恐地跑来跑去。,6,69
359,%s仔细地打量了一下%s。,0,70
360,%s仔细地打量了一下你。,1,70
361,你仔细地打量了一下%s。,2,70
362,%s仔细地打量了一下四周。,4,70
363,你仔细地打量了一下四周。,6,70
364,%s向%s恳求。,0,71
365,%s向你恳求。,1,71
366,你向%s恳求。,2,71
367,%s跪了下来，绝望地恳求着。,4,71
368,你跪了下来，绝望地恳求着。,6,71
369,%s跪了下来，绝望地恳求着。,12,71
370,%s指着%s。,0,72
371,%s指着你。,1,72
372,你指着%s。,2,72
373,%s指向远方。,4,72
374,你指向远方。,6,72
375,%s戳了戳%s说：“嗨！”,0,73
376,%s戳了戳你说：“嗨！”,1,73
377,你戳了戳%s说：“嗨！”,2,73
378,%s戳了戳他的肚子然后咯咯地傻笑。,4,73
379,你戳了戳你的肚子然后咯咯地傻笑。,6,73
380,%s戳了戳她的肚子然后咯咯地傻笑。,12,73
381,%s虔诚地为%s祈祷。,0,74
382,%s虔诚地为你祈祷。,1,74
383,你虔诚地为%s祈祷。,2,74
384,%s虔诚地向神祈祷。,4,74
385,你虔诚地向神祈祷。,6,74
386,%s对着%s发出野兽般的狂吼。好凶啊！,0,75
387,%s对着你发出野兽般的狂吼。好凶啊！,1,75
388,你对着%s发出野兽般的狂吼。好凶啊！,2,75
389,%s发出野兽般的狂吼。好凶啊！,4,75
390,你发出野兽般的狂吼。好凶啊！,6,75
391,%s对着%s笑翻在地。,0,76
392,%s对着你笑翻在地。,1,76
393,你对着%s笑翻在地。,2,76
394,%s笑翻在地。,4,76
395,你笑翻在地。,6,76
396,%s对%s做了个粗鲁的手势。,0,77
397,%s对你做了个粗鲁的手势。,1,77
398,你对%s做了个粗鲁的手势。,2,77
399,%s做了个粗鲁的手势。,4,77
400,你做了个粗鲁的手势。,6,77
401,%s满怀敬意地向%s致礼。,0,78
402,%s满怀敬意地向你致礼。,1,78
403,你满怀敬意地向%s致礼。,2,78
404,%s立正敬礼。,4,78
405,你立正敬礼。,6,78
406,%s在帮%s搔痒。好可爱啊！,0,79
407,%s在帮你搔痒。好可爱啊！,1,79
408,你在帮%s搔痒。好可爱啊！,2,79
409,%s在帮他自己搔痒。啊，舒服多了！,4,79
410,你在帮你自己搔痒。啊，舒服多了！,6,79
411,%s在帮她自己搔痒。啊，舒服多了！,12,79
412,%s觉得%s真是魅力十足。,0,80
413,%s觉得你真是魅力十足。,1,80
414,你觉得%s真是魅力十足。,2,80
415,%s的装束实在是太有诱惑力了……让人怦然心动。,4,80
416,你的装束实在是太有诱惑力了……让人怦然心动。,6,80
417,%s的装束实在是太有诱惑力了……让人怦然心动。,12,80
418,,0,81
419,,1,81
420,,2,81
421,,4,81
422,,6,81
423,,8,81
424,,9,81
425,,12,81
426,%s对着%s大叫。,0,82
427,%s对着你大叫。,1,82
428,你对着%s大叫。,2,82
429,%s在大叫。,4,82
430,你在大叫。,6,82
431,%s对着%s耸了耸肩说：“天知道。”,0,83
432,%s对着你耸了耸肩说：“天知道。”,1,83
433,你对着%s耸了耸肩说：“天知道。”,2,83
434,%s耸了耸肩说：“天知道。”,4,83
435,你耸了耸肩说：“天知道。”,6,83
436,%s害羞地避开了%s。,0,84
437,%s害羞地避开了你。,1,84
438,你在%s面前感到很害羞。,2,84
439,%s显得十分害羞！,4,84
440,你显得十分害羞！,6,84
441,%s对着%s叹了口气。,0,85
442,%s对着你叹了口气,1,85
443,你对着%s叹了口气,2,85
444,%s长长地叹了一口气。,4,85
445,你长长地叹了一口气。,6,85
446,,4,86
447,,6,86
448,%s进入了梦乡。Zzzzzzz…,4,87
449,你进入了梦乡。Zzzzzzz…,6,87
450,%s呲牙咧嘴地朝着%s怒吼。,0,88
451,%s呲牙咧嘴地朝着你怒吼。,1,88
452,你呲牙咧嘴地朝着%s怒吼。,2,88
453,%s呲牙咧嘴地开始怒吼。,4,88
454,你呲牙咧嘴地开始怒吼。,6,88
455,%s呲牙咧嘴地朝着%s怒吼。,8,88
456,%s呲牙咧嘴地朝着你怒吼。,9,88
457,%s呲牙咧嘴地开始怒吼。,12,88
458,,0,89
459,,1,89
460,,2,89
461,%s朝地上吐口水。,4,89
462,你朝地上吐口水。,6,89
463,%s用目光压倒了%s。,0,90
464,%s用目光压倒了你。,1,90
465,你用目光压倒了%s。,2,90
466,%s凝视着远方。,4,90
467,你凝视着远方。,6,90
468,%s对于%s的行为感到很惊讶。,0,91
469,%s对于你的行为感到很惊讶。,1,91
470,你对于%s的行为感到很惊讶。,2,91
471,%s感到非常惊讶！,4,91
472,你感到非常惊讶！,6,91
473,%s向%s投降。失败的滋味真不好受啊……,0,92
474,%s向你投降。失败的滋味真不好受啊……,1,92
475,你向%s投降。失败的滋味真不好受啊…,2,92
476,%s向他的对手投降。,4,92
477,你向对手投降。,6,92
478,%s向她的对手投降。,12,92
479,%s有些事想和%s讨论一下。,0,93
480,%s有些事想和你讨论一下。,1,93
481,你有些事想和%s讨论一下。,2,93
482,因为没有人感兴趣，%s只能自言自语。,4,93
483,看上去没有人感兴趣，你只能自言自语。,6,93
484,看上去没有人感兴趣，%s只能自言自语。,12,93
485,%s正和%s兴高采烈地交谈着。,0,94
486,%s正和你兴高采烈地交谈着。,1,94
487,你正和%s兴高采烈地交谈着。,2,94
488,%s正和大家兴高采烈地交谈着。,4,94
489,你正和大家兴高采烈地交谈着。,6,94
490,%s正在向%s提问。,0,95
491,%s向你提问。,1,95
492,你向%s提问。,2,95
493,%s想要知道生活的意义。,4,95
494,你想要知道生活的意义。,6,95
495,%s一边用脚打着拍子一边等待%s。,0,96
496,%s一边用脚打着拍子一边等你。,1,96
497,你一边用脚打着拍子一边等待%s。,2,96
498,%s不耐烦地用脚打着拍子，快一点！,4,96
499,你不耐烦地用脚打着拍子，快一点！,6,96
500,%s一边用脚打着拍子一边等待%s。,8,96
501,%s一边用脚打着拍子一边等你。,9,96
502,%s不耐烦地用脚打着拍子，快一点！,12,96
503,%s向%s表示感谢。,0,97
504,%s对你表示感谢。,1,97
505,你对%s表示感谢。,2,97
506,%s向大家表示感谢。,4,97
507,你向周围的大家表示感谢。,6,97
508,%s怒不可遏地威胁%s。,0,98
509,%s怒不可遏地威胁你。,1,98
510,你怒不可遏地威胁%s。,2,98
511,%s怒不可遏地威胁大家。,4,98
512,你怒不可遏地威胁大家。,6,98
513,%s告诉%s他已经很累了。,0,99
514,%s告诉你他已经很累了。,1,99
515,你告诉%s你已经很累了。,2,99
516,%s告诉大家他已经很累了。,4,99
517,你告诉大家你已经很累了。,6,99
518,%s告诉%s她已经很累了。,8,99
519,%s告诉你她已经很累了。,9,99
520,%s告诉大家她已经很累了。,12,99
521,%s与%s一起分享胜利的荣耀。,0,100
522,%s与你一起分享胜利的荣耀。,1,100
523,你与%s一起分享胜利的荣耀。,2,100
524,%s沉醉在胜利的荣耀之中。,4,100
525,你沉醉在胜利的荣耀之中。,6,100
526,%s向%s挥手致意。,0,101
527,%s向你挥手致意。,1,101
528,你向%s挥手致意。,2,101
529,%s挥了挥手。,4,101
530,你挥了挥手。,6,101
531,%s欢迎%s的到来。,0,102
532,%s欢迎你的到来。,1,102
533,你欢迎%s的到来。,2,102
534,%s向大家表示欢迎。,4,102
535,你向大家表示欢迎。,6,102
536,%s可怜巴巴地向%s诉苦。,0,103
537,%s可怜巴巴地向你诉苦。,1,103
538,你可怜巴巴地向%s诉苦。,2,103
539,%s在可怜巴巴地诉苦。,4,103
540,你在可怜巴巴地诉苦。,6,103
541,%s响亮地吹了一声口哨。,0,104
542,%s响亮地吹了一声口哨。,1,104
543,你响亮地吹了一声口哨。,2,104
544,%s响亮地吹了一声口哨。,4,104
545,你响亮地吹了一声口哨。,6,104
546,%s在和%s一起工作。,0,105
547,%s和你一起工作。,1,105
548,你和%s一起工作。,2,105
549,%s开始工作。,4,105
550,你开始工作。,6,105
551,%s对着%s深深地打了个哈欠。,0,106
552,%s对着你深深地打了个哈欠。,1,106
553,你对着%s深深地打了个哈欠。,2,106
554,%s深深地打了个哈欠。,4,106
555,你深深地打了个哈欠。,6,106
556,%s对%s不置可否。,0,107
557,%s对你不置可否。,1,107
558,你对%s不置可否。,2,107
559,%s对这个状况不置可否。,4,107
560,你对这个状况不置可否。,6,107
561,%s试图让%s冷静下来。,0,108
562,%s试图让你冷静下来。,1,108
563,你试图让%s冷静下来。,2,108
564,%s保持冷静。,4,108
565,你保持冷静。,6,108
566,%s告诉%s他感到很冷。,0,109
567,%s告诉你他感到很冷。,1,109
568,你告诉%s你感到很冷。,2,109
569,%s告诉大家他感到很冷。,4,109
570,你告诉大家你感到很冷。,6,109
571,%s告诉%s她感到很冷。,8,109
572,%s告诉你她感到很冷。,9,109
573,%s告诉大家她感到很冷。,12,109
574,%s在安慰%s。,0,110
575,%s安慰你。,1,110
576,你安慰%s。,2,110
577,%s需要被安慰。,4,110
578,你需要安慰。,6,110
579,%s靠着%s睡去。,0,111
580,%s靠着你睡去。,1,111
581,你靠着%s睡去。,2,111
582,%s想要被拥抱一下。,4,111
583,你想要被拥抱一下。,6,111
584,%s躲到%s身后。,0,112
585,%s紧紧地跟在你地后面。,1,112
586,你紧紧地跟在%s后面。,2,112
587,%s蹲着藏了起来。,4,112
588,你蹲着藏了起来。,6,112
589,%s认为%s是个没有教养的家伙。,0,113
590,%s认为你是个没有教养的家伙。,1,113
591,你认为%s是个没教养的家伙。,2,113
592,%s认为他周围的人都是没教养的家伙。,4,113
593,你觉得你身边的人都是没有教养的家伙。,6,113
594,%s觉得她身边的人都是没有教养的家伙。,12,113
595,%s向%s作了一番自我介绍。,0,114
596,%s向你介绍他自己。,1,114
597,你向%s作了一番自我介绍。,2,114
598,%s向大家作了一番自我介绍。,4,114
599,你向大家介绍你自己。,6,114
600,%s向%s介绍她自己。,8,114
601,%s向你作了一番自我介绍。,9,114
602,%s向大家介绍她自己。,12,114
603,%s告诉%s他只是在开玩笑。,0,115
604,%s告诉你他只是在开玩笑。,1,115
605,你告诉%s你只是在开玩笑。,2,115
606,%s只是在开玩笑。,4,115
607,你只是在开玩笑。,6,115
608,%s告诉%s她只是在开玩笑。,8,115
609,%s告诉你她只是在开玩笑。,9,115
610,%s舔了舔%s。,0,116
611,%s舔了舔你。,1,116
612,你舔了舔%s。,2,116
613,%s舔了舔嘴唇。,4,116
614,你舔了舔嘴唇。,6,116
615,%s舔了舔嘴唇。,12,116
616,%s正在专心地听%s讲话。,0,117
617,%s认真地听你说话。,1,117
618,你认真地听%s说话。,2,117
619,%s正在专心地听着。,4,117
620,你正在仔细地聆听！,6,117
621,%s想要让%s知道他完全地失败了。,0,118
622,%s告诉你他已经彻底失败了。,1,118
623,你告诉%s你已经彻底失败了。,2,118
624,%s彻底地失败了。,4,118
625,你彻底地失败了。,6,118
626,%s想要让%s知道她完全地失败了。,8,118
627,%s告诉你她已经彻底失败了。,9,118
628,%s嘲笑%s的愚蠢。,0,119
629,%s嘲笑你的愚蠢。,1,119
630,你嘲笑%s的愚蠢。,2,119
631,%s似乎万念俱灰了。,4,119
632,你看破红尘，觉得一切都无所谓了。,6,119
633,%s认真思考着%s的行为。,0,120
634,%s对你的行为认真的思考着。,1,120
635,你对%s的行为认真的思考着。,2,120
636,%s对这样的状况认真的思考着。,4,120
637,你仔细斟酌着当前的状况。,6,120
638,%s向%s飞身猛扑了过去。,0,121
639,%s向着你扑了过来。,1,121
640,你向着%s扑了过去。,2,121
641,%s从暗处扑了出来。,4,121
642,你从暗处扑了出来。,6,121
643,%s对于%s大加赞赏。,0,122
644,%s对于你大加赞赏。,1,122
645,你对于%s大加赞赏。,2,122
646,%s赞美光明的力量。,4,122
647,你赞美光明的力量。,6,122
648,%s对着%s发出咕噜声。,0,123
649,%s对着你发出咕噜声。,1,123
650,你对着%s发出咕噜声。,2,123
651,%s像猫一样发出咕噜声。,4,123
652,你像猫一样发出咕噜声。,6,123
653,%s被%s搞糊涂了。,0,124
654,%s被你搞糊涂了。你在做什么啊？,1,124
655,你被%s搞糊涂了。,2,124
656,%s被搞糊涂了。这到底是怎么一回事啊？,4,124
657,你被搞糊涂了。这到底是怎么一回事啊？,6,124
658,%s看着%s并举起了他的手。,0,125
659,%s看着你，举起了他的手。,1,125
660,你看着%s，举起了你的手。,2,125
661,%s举起了他的手。,4,125
662,你举起了你的手。,6,125
663,%s看着%s并举起了她的手。,8,125
664,%s看着你，举起了她的手。,9,125
665,%s举起了她的手。,12,125
666,%s告诉%s已经准备好了！,0,126
667,%s告诉你已经准备好了！,1,126
668,你告诉%s你已经准备好了。,2,126
669,%s让大家知道他已经准备好了。,4,126
670,你告诉大家你已经准备好了！,6,126
671,%s告诉你她已经准备好了！,9,126
672,%s告诉大家她已经准备好了！,12,126
673,%s在%s面前舞动。,0,127
674,%s在你面前舞动。,1,127
675,你在%s面前舞动。,2,127
676,%s在众人面前舞动。,4,127
677,你在众人面前舞动。,6,127
678,%s靠着%s，冷得不断颤抖。,0,128
