ID,Name_lang,Description_lang,Cooldown,Duration,Flags,SchoolMask,IconFileDataID
21,疗愈之灵,卡蕾塔尔为所有盟友恢复$s1点生命值。,4,4,0,1,1022944
22,冷酷饥饿,阿耶勒斯吸取附近所有敌人的心能，造成$s1点暗影伤害，并且每轮将额外造成$s2点伤害。,3,2,0,32,460700
23,DNT JasonTest Taunt Spell,嘲讽,0,2,0,0,0
24,光明之矛,泰莉阿强化自己的战矛，对最远处的敌人造成$s1点神圣伤害，并为距离最近的盟友恢复$s2点生命值。,2,0,0,2,1508065
25,旋风之拳,凯兹吉奥斯快速地持续轰击近战范围内的所有敌人，造成$s1点神圣伤害并强化自身，使自己可以造成$s2%的额外伤害。,2,3,0,2,2065583
26,医师药水,泰利萨卡斯为距离最近的盟友灌下一瓶药水，为其恢复$s1点生命值，并使其最大生命值提高$s2%。,3,2,0,8,236882
27,XX - Test - Physical,,0,0,0,1,1059120
28,XX - Test - Melee - Holy,,0,0,0,2,0
29,XX - Test - Melee - Fire,,0,0,0,4,0
30,XX - Test - Melee - Nature,,0,0,0,8,0
31,XX - Test - Melee - Frost,,0,0,0,16,0
32,XX - Test - Melee - Shadow,,0,0,0,32,0
33,XX - Test - Melee - Arcane,,0,0,0,64,0
34,XX - Test - Ranged - Physical,,0,0,0,1,0
35,XX - Test - Ranged - Holy,,0,0,0,2,0
36,XX - Test - Ranged - Fire,,0,0,0,4,0
37,XX - Test - Ranged - Nature,,0,0,0,8,0
38,XX - Test - Ranged - Frost,,0,0,0,16,0
39,XX - Test - Ranged - Shadow,,0,0,0,32,0
40,XX - Test - Ranged - Arcane,,0,0,0,64,0
41,背包猛击,走私者用其背包挥击，对附近所有敌人造成伤害。,3,0,0,1,133634
42,JasonTest Passive,,0,0,0,0,0
43,吸取心能,从最远处的敌人身上吸取心能，对其造成$s1点暗影伤害并为自身恢复$s2点生命值。,1,0,0,32,136212
44,二连刺,连续戳刺距离最近的敌人两次，用第一把匕首造成$s1点物理伤害，然后用第二把匕首造成$s2点物理伤害。,3,0,0,1,333546
45,灵魂虹吸,对最远处的敌人造成$s1点奥术伤害，并为自身恢复$s2点生命值。,2,0,0,64,136211
46,明日之盾,方阵兵受到的伤害降低10%，还可以用同样的方式保护所有远程盟友。,2,1,0,2,517159
47,防护光环,德莱文的翼展护卫着自己和所有盟友，使受到的所有伤害降低20%。,0,0,0,32,2182687
48,暗遁,娜德佳无法被设为目标，同时恢复$s2点生命值。,4,1,0,32,451170
49,驱血术,西塔尔从远处在所有敌人身上撕开伤口，使其受到的伤害提高$s1%。,4,4,0,32,999949
50,长戟打击,戟兵用武器切割最远处的敌人，造成$s1点物理伤害。,3,0,0,1,135576
51,白骨风暴,原地旋转，对近战范围的所有敌人造成$s1点暗影伤害。,5,0,0,32,1535071
52,魔药之歌,对远处敌人发出尖嚎，每轮造成$s1点自然伤害，持续4轮。,5,4,0,8,136147
53,荆棘陷阱,盘曲的触须诱捕所有敌人，每隔一轮造成$s1点自然伤害并使敌人造成的伤害降低20%。,6,6,0,8,1535071
54,双切暗影,蕾哈尔兴奋地切割最近处的敌人，并向最远处的敌人投掷一把匕首，对二者均造成$s1点暗影伤害。,3,0,0,32,1455921
55,礼貌问候,石首微笑并礼貌地砸击近战范围内的所有敌人，造成$s1点物理伤害。,4,0,0,1,236550
56,折磨之镜,西蒙妮精准地挥击她的镜子，对最远处的敌人造成$s1点奥术伤害。,1,0,0,64,458243
57,礼仪课,博格丹提醒最近处的敌人注意行为举止，在接下来的3轮对其造成$s1点暗影伤害。,5,3,0,32,1544136
58,裂颅之击,失落的西比尔砸击附近所有敌人的头颅，造成$s1点物理伤害。,2,0,0,1,132094
59,悔恨之镜,沃尔卡召唤失落之力，对远处的所有敌人造成$s1点奥术伤害。,3,0,0,64,1020341
60,酸液喷射,向最远处的敌人喷吐酸液，造成$s1点自然伤害。,2,0,0,8,136007
61,颚骨猛击,猛击距离最近的敌人，造成$s1点自然伤害。,4,0,0,8,1508493
62,刺伤,用角戳刺近战范围内的所有敌人，造成$s1点自然伤害。,3,0,0,8,454039
63,音速惊嚎,大声尖啸，对所有敌人造成$s1点自然伤害并使其造成的伤害降低20%，持续2轮。,5,2,0,8,133707
64,巨力震地,用外壳猛击地面，对所有敌人造成$s1点自然伤害。,2,0,0,8,451165
65,疑虑缠身,啃咬距离最近的敌人，造成$s1点暗影伤害。,2,0,0,32,1398088
66,哥利亚猛击,猛击附近的敌人，对其及其身后的一名敌人造成$s1点暗影伤害。,1,0,0,32,132323
67,暗影跃击,跳跃至空中，然后用暗影之矛打击最远处的敌人，造成$s1点暗影伤害。,3,0,0,32,376832
68,亮蹄践踏,打击近战范围内的所有敌人，造成$s1点神圣伤害并使其造成的伤害降低80%，持续一轮。,3,1,1,2,132368
69,DNT JasonTest Ability Spell2,"DNT Test test  Effect 0 Attack points $s0, Effect 1 Attack points % $s1, Effect 2 Flat points $s2, Effect 3 Flat points % $s3",3,2,0,0,461809
70,DNT JasonTest Spell Tooltip,DNT test test test,0,0,0,0,0
71,活力藤蔓,为距离最近的盟友恢复$s1点生命值。,2,0,0,8,134413
72,共鸣打击,哈拉攻击距离最近的敌人，对其造成$s1点神圣伤害。冲击力会生成次生冲击波，对所有远处的敌人造成$s2点神圣伤害。,4,0,0,2,135891
73,净化光线,莫拉科净化一条直线上的所有敌人，造成$s1点神圣伤害。,2,0,0,2,135949
74,重组配置：防御,伊斯皮隆重组配置，调用资源保护自己，使自身受到和造成的所有伤害降低40%，持续3轮。,5,3,0,2,1405810
75,翼狮跃袭,涅美娅召唤一只翼狮伙伴跃入战场，对最远处的敌人造成$s1点物理伤害。,2,0,0,1,3155392
76,灵豹闪击,佩罗迪斯召唤一只灵豹冲入战场，对最远处的敌人造成$s1点神圣伤害。,3,0,0,2,3061647
77,压轴之力药水,西卡为团队分发药水，使其攻击额外造成$s1点神圣伤害，持续3轮。,5,3,0,2,134749
78,顺劈斩,柯洛拉劈斩近战范围内的所有敌人，造成$s1点神圣伤害。,1,0,0,2,132338
79,神圣新星,刻斯玛斯迸发出圣光，对所有敌人造成$s1点神圣伤害，并为盟友恢复$s2点生命值。,2,0,0,2,135922
80,黎明震击,阿波罗恩的圣光点燃最远处的敌人，造成$s1点火焰伤害，并在接下来的2轮中造成$s2点火焰伤害。,3,2,0,4,236216
81,重组配置：反射,布隆重组配置，将自己包裹在圣光之环内，在接下来的3轮中对所有攻击者造成$s1点神圣伤害。,5,3,0,2,461858
82,持锤待战,克雷雅的决心（和战锤）使敌人付出沉重的代价，对所有攻击者造成$s1点物理伤害。,0,0,0,1,3054888
83,带头冲锋,克雷雅冲入战场，对附近的所有敌人造成$s1点物理伤害。,3,0,0,1,132337
84,闪亮的流波之球核心,米卡尼科斯令所有敌人目眩神迷，使其造成的伤害减低100%，持续2轮。不会在战斗开始时施放。,4,2,1,64,1990984
85,强韧之羽,米卡尼科斯强化最近处一名盟友的韧性，使其受到的伤害减低50%，持续2轮。,3,2,1,2,1596903
86,[PH]Placeholder Punch,[PH] Powerfully punches the nearest enemy for $s1 Physical damage.,2,0,0,1,2447782
87,克服疑虑,裴拉戈斯直面自己的恐惧，向敌人投掷圣光，对远处的所有敌人造成$s1点神圣伤害。,2,0,0,2,132351
88,战斗冥想,裴拉戈斯陷入冥想，使自身造成的伤害提高30%，并对所有敌人施加悲伤的记忆，造成$s2点神圣伤害。,3,3,0,2,3528283
89,尖刺果实陷阱,尼娅的果实陷阱每轮会对最远处的敌人造成$s1点自然伤害，持续2轮。,4,2,0,8,132309
90,补气药草,尼娅鼓舞附近的盟友，使其造成的伤害提高20%。,0,0,0,8,960671
91,炫目之尘,喜悦之翼使最远处的敌人所造成的伤害改变$s1点，持续3轮。,4,3,0,8,1387618
92,欺诈者的折磨,暮叶对远处的所有敌人造成$s1点暗影伤害，持续2轮。,2,2,0,32,1396977
93,汲血之种,卡林姆维利安从距离最近的敌人身上抽取力量，对其造成$s1点自然伤害，并为自身恢复$s2点生命值。,3,0,0,8,464030
94,冰孢之矛,乔基斯用长矛挥砍近战范围内的所有敌人，并植入寒冰孢子，每轮造成$s1点冰霜伤害，持续3轮。,4,3,0,16,135127
95,星光打击,罗斯维林呼唤群星，对最远处的敌人造成$s1点奥术伤害，并对远处的所有敌人造成$s2点奥术伤害。,3,0,0,64,651082
96,虫群,伊拉莉亚召唤虫群折磨最远处的敌人，造成$s1点自然伤害，并使其造成的伤害降低30%，持续2轮。,4,2,0,8,136045
97,飞闪锐矢,科塔射出一阵箭雨，对最近处的敌人及其身后的锥形区域造成$s1点物理伤害。,2,1,0,1,133580
98,心能箭矢,夏罗用成形的心能轰击最远处的敌人，造成$s1点奥术伤害。,1,0,0,64,1391777
99,强袭,泰赞用他的利齿撕裂对方，对近战范围内的所有敌人造成$s1点自然伤害。,3,1,0,9,1027879
100,森林之心,卡达林对自身造成$s1点自然治疗。,1,0,0,0,136081
101,扼心之种,守护者暮花向距离最近的敌人植入一枚种子，造成$s1点自然伤害，并使其受到的伤害提高20%，持续3轮。,4,3,0,16,960689
102,森林之触,格鲁诺姆克鲁克的枝条在风中鞭笞，对直线上的所有敌人造成$s1点自然伤害。,2,0,0,8,133749
103,蝴蝶效应,织梦者使所有盟友造成的伤害翻倍，持续2轮。,4,2,0,8,237573
104,灵茧守护者,为一名相邻的盟友恢复$s1点生命值，但会使其在下一轮中造成的伤害降低10%。,1,1,0,8,656440
105,坚守阵地,柯莱恩和盟友受到的伤害降低10%。,0,0,0,1,136088
106,勇面敌人,柯莱恩坚定决心并挥砍对手，对所有相邻的敌人造成$s1点物理伤害。,2,0,0,1,132344
107,不稳定的溶液,马里莱斯淋湿距离最近的敌人，造成$s1点暗影伤害，并且只要目标被击中，就会受到额外$s2点暗影伤害，持续3轮。,5,3,0,32,1500943
108,乌兹的和谐覆层,马里莱斯使一名附近的盟友回复$s1点生命值并使其最大生命值提高10%。,4,2,0,32,3459800
109,锯齿肩刃,攻击海尔米尔的敌人会受到$s1点物理伤害。,0,0,0,1,134427
110,贪婪胸针,海尔米尔的胸针使其回复$s1点生命值。,1,0,0,32,237519
111,硫磺喷发,艾米妮的毒气对近战范围的敌人造成$s1点自然伤害。,3,0,0,8,136182
112,啮咬咀嚼者,艾米妮神奇的咀嚼方式鼓舞了临近的所有盟友，使其额外造成$s1点暗影伤害。,5,3,0,32,132103
113,剑斗士的审判,米维克斯认为对手有所欠缺，对他前方锥形范围内的所有敌人造成$s1点暗影冰霜伤害。,4,0,0,48,135401
114,重建,加恩每轮为自己回复$s1点生命值。,1,0,0,32,1045943
115,动力之拳,伦希萨大发雷霆，对附近的敌人造成$s1点暗影伤害。,2,0,0,32,1280877
116,梦境冲锋,幼年沼泽鹿放低双角，进行冲锋，对最近处的敌人造成$s1点自然伤害。,3,0,0,8,1247261
117,迅猛斩击,斩击前排的敌人，造成$s1点自然伤害。,2,0,0,8,1373911
118,调皮轰炸,冲击最远处的敌人，造成$s1点自然伤害。,4,0,1,8,136006
119,腐蚀猛刺,发出腐蚀性的锥形攻击，对最近处的敌人及其身后的锥形区域造成$s1点自然伤害。,2,0,0,8,136016
120,激励鼓动,欺诈者激励随机一位盟友，让其更加努力。,2,2,0,8,1058933
121,催眠之尘,欺诈者向所有敌人吹出一片闪光之尘，分散他们的注意力，并使目标的伤害降低50%，持续一轮。,3,1,0,64,463521
122,诙谐之焰,混沌与火焰！此攻击会在三轮内对随机的一名敌人造成$s1点火焰伤害。,2,0,0,4,463567
123,治疗之风,欺诈者为前排的盟友恢复$s1点生命值。,4,0,0,8,136041
124,脚踢,用强力的蹄子踢击临近的所有敌人，造成$s1点自然伤害。,3,0,0,8,132368
125,癫狂凿刻者,清道夫向随机的一名敌人发泄怒火，造成$s1点自然伤害，并使目标的伤害降低50%，持续一轮。,3,1,0,8,132155
126,附体治疗,护林者会运用他们关于滋养魔法的知识，为前排盟友恢复$s1点生命值。,3,1,0,8,136044
127,轻咬,戈姆蛴品尝了所有近战范围内的敌人的味道，造成$s1点自然伤害。,4,1,0,8,1392547
128,反刍,戈姆蛴朝远处的所有敌人反刍出一道酸性液体，造成$s1点自然伤害。,5,1,0,8,136007
129,女王的命令,女王命令她的爪牙更加卖力地战斗，为其恢复$s1点生命值，并使其造成的伤害提高$s2%，持续一轮。,5,1,0,8,132176
130,外壳荆棘,戈姆蛴生成了一道防护性的荆棘护盾，对攻击它的人造成$s1点自然伤害，持续三轮。,4,3,0,8,415052
131,奥术尖角,符文牡鹿的角上射出奥术箭，对远处的所有敌人造成$s1点奥术伤害。,3,0,0,64,236205
132,巨树爆发,此攻击会爆发出倒下的巨树的力量，对所有近战范围内的敌人造成$s1点自然伤害，并使其伤害降低25%，持续一轮。,4,1,0,8,136025
133,隐藏的力量,具象吸取远古的力量，对所有远处的敌人造成$s1点奥术伤害，并以等量的数值治疗其自身。,4,0,0,64,3578232
134,黑暗森林的诅咒,诅咒所有敌人，使其受到的伤害提高25%，持续两轮。,4,2,0,32,136214
135,统御之火,在战场上喷吐如潮的火焰投射物，对所有远处的敌人造成$s1点火焰伤害。,3,0,0,4,1035051
136,灼烧之颚,用烈焰之颚撕咬距离最近的敌人，在三轮内造成$s1点火焰伤害。,4,3,0,4,236167
137,激烈战吼,一声激烈的战吼，使造成的伤害提高$s1%，持续两轮。,4,2,0,8,132333
138,尾击,对近战范围内的所有临近的敌人发泄怒气，造成$s1点奥术伤害。,2,0,0,64,236222
139,饥饿狂乱,战斗开始时处于冷却状态。这个生物会进入狂乱状态，对远处敌人发泄怒气，造成$s1点奥术伤害。,6,0,1,64,135739
140,刀扇,卡莱克向所有远处的敌人投掷注能匕首，造成$s1点暗影伤害并使其造成的伤害降低10%，持续2轮。,4,2,0,32,135640
141,群体免疫,这个生物会和其他生物分享其剩余的心能以保护群体。所有盟友获得50%的减伤效果，持续两轮。,4,2,0,64,135739
142,奥术恢复,这个生物会发出一波凝聚的心能，对最近处的盟友及其身后的锥形区域恢复$s1点生命值。,3,0,0,64,1717106
143,傲慢吹嘘,这个具象会表达对其能力的自信，造成的伤害提高$s1%，持续两轮。,4,2,0,32,132333
144,热忱防御,这个具象会守护阵线，使所有盟友受到的伤害降低75%，持续两轮。,4,2,1,32,135733
145,盾击,猛击距离最近的敌人，造成$s1点暗影伤害。,4,0,0,32,236318
146,黑暗标枪,向最远处的敌人投掷标枪，造成$s1点暗影伤害。,4,0,0,32,135131
147,紧密阵型,裁定者会鼓舞弃誓者，使所有盟友受到的伤害降低50%，持续两轮。,5,2,0,32,136051
148,神圣维护,释放出恢复性的心能，为前排盟友恢复$s1点生命值。,4,1,0,32,136044
149,灵豹斩击,斩击前排的敌人，造成$s1点暗影伤害。,3,0,0,32,1373911
150,粉碎之爪,愤怒的爪击乱舞，对最近处的敌人及其身后的锥形区域造成$s1点暗影伤害。,3,0,0,32,1508486
151,俯冲轰炸,向距离最近的敌人猛扑，造成$s1点物理伤害。,2,1,0,32,3386321
152,心能波,蝶母发出一道纯净的心能波，为所有盟友恢复$s1点生命值，并使其造成的伤害提高$s2%，持续一轮。,5,1,1,8,3528289
153,禁忌研究,投射一道浓缩的心能之流，对最近处的敌人及其身后的锥形区域造成$s1点暗影伤害。,4,0,0,32,3528286
154,失窃结界,生成一道反射护盾，对攻击它的人造成$s1点暗影伤害，持续三轮。,5,3,0,32,3528283
155,震荡咆哮,一声震荡咆哮，令所有敌人颤抖，使其造成的伤害降低75%，持续一轮。,4,1,0,32,132121
156,受诅学识,诅咒所有敌人，使其受到的伤害提高$s1%，持续两轮。,5,2,0,32,136214
157,狂乱扑翅,狂乱地扑动锐利的翅膀，打击近战范围内的所有临近的敌人，造成$s1点伤害。,4,0,0,1,1373911
158,黑暗学识爆炸,战斗开始时处于冷却状态。冲击所有远处的敌人，造成$s1点暗影伤害。,3,0,1,32,3528287
159,疑虑宣言,这个生物令所有敌人怀疑他们自己，造成的伤害降低25%，持续两轮。,4,2,0,32,132333
160,震地猛击,用巨大的拳头猛击地面，对所有敌人造成$s1点自然伤害。,3,0,0,8,451165
161,黑暗命令,监督者号令着他的部队，为其恢复$s1点生命值，并使其造成的伤害提高$s2%，持续一轮。,4,1,0,8,458226
162,黑暗诅咒,诅咒所有敌人，使其造成的伤害降低50%，持续两轮。,5,2,0,32,236287
163,定罪波,战斗开始时处于冷却状态。发出强大的心能波，对所有敌人造成$s1点暗影伤害。,6,0,1,32,237510
164,黑暗烈焰,吐出一道黑暗烈焰，在三轮内对最近处的敌人及其身后的锥形区域造成$s1点暗影伤害。,6,3,0,32,463567
165,飞翼突袭,斩击距离最近的敌人，造成$s1点暗影伤害。,4,0,0,32,1373911
166,吸血之咬,噬咬随机的一个敌人，造成$s1点暗影伤害并使自己回复$s2点生命值。,2,0,0,32,459148
167,剃刀碎片,向远处的所有敌人投掷一系列的锐器、石头和碎片，造成$s1点自然伤害。,4,0,0,8,136018
168,异世嚎叫,发出恶毒的嚎叫，将恐惧刻入最近处的敌人心里，使其造成的伤害降低50%，持续两轮。,4,2,0,32,1033494
169,消耗打击,打击最近处的敌人，造成$s1点暗影伤害，并在三轮内持续造成$s2点伤害。,5,3,0,32,1398088
170,岩石猛击,飞行的岩石之拳对所有近战范围的敌人造成$s1点自然伤害。,4,1,0,8,136025
171,巨石投掷,投掷巨大的石头，对远处的所有敌人造成$s1点自然伤害。,3,1,0,8,132153
172,恶毒斩击,打击近战范围内的所有敌人，造成$s1点暗影伤害并使其造成的伤害降低50%，持续一轮。,3,1,1,32,132133
173,寒冰冲击,冲击最远的敌人，造成$s1点冰霜伤害，使其伤害降低25%。,4,2,0,16,135849
174,反光寒冰护体,生成一道冰冻反射护盾，对攻击它的人造成$s1点冰霜伤害，持续三轮。,4,3,0,16,236214
175,猛击,派对动物一时间失去了控制，对随机一个目标大发脾气，造成$s1点暗影伤害。,3,0,0,32,1392547
176,傲慢否认,这名贵族激烈地为贵族制辩护，分散所有敌人的注意力，受到的伤害提高$s1%。,3,1,0,32,841384
177,肩顶,猛击距离最近的敌人，造成$s1点伤害。,3,0,0,1,413576
178,抽取心能,从最远处的敌人身上吸取心能，对其造成$s1点暗影伤害并为自己恢复$s2点生命值。,4,0,0,32,538040
179,医嘱,散发出治疗之雾，为所有盟友恢复$s1点生命值，并使其伤害提高$s2点，持续两轮。,6,2,0,2,627487
180,心智突袭,用末日视线锁定随机一名敌人，造成$s1点暗影伤害。,3,0,0,32,460687
181,心能爆发,战斗开始时处于冷却状态。冲击所有远处的敌人，造成$s1点暗影伤害。,6,0,1,32,3528311
182,狡诈之法,用镜子的映像令所有敌人迷惑，使其造成的伤害降低50%，持续两轮。,5,2,0,32,132171
183,暗影横扫,用利爪斩击近战范围内的所有敌人，造成$s1点暗影伤害。,3,0,0,32,236222
184,心能鞭笞,用心能冲击对距离最近的敌人及其身后的锥形区域，造成$s1点暗影伤害。,4,0,0,32,3528310
185,七窍生烟,斯塔卡用尽全力发脾气，对所有敌人造成$s1点暗影伤害。,4,0,0,32,236260
186,野性之怒,战斗开始时处于冷却状态。狂野地用爪子和尖牙攻击近战范围内的所有敌人，造成$s1点暗影伤害。,5,0,1,32,132139
187,剧毒瘴气,放出剧毒的魔法波，穿透所有敌人，在二轮内造成持续伤害效果，伤害值为$s1点。,5,2,0,32,136160
188,愤怒砸击,大闪向最近处的一名敌人发泄怒火，造成$s1点伤害，并使目标的伤害降低50%，持续一轮。,3,1,0,1,132298
189,愤怒痛击,痛击距离最近的敌人，造成$s1点伤害。,3,0,0,1,135906
190,心能波,冲击近战范围内的所有敌人，造成$s1点暗影伤害。,3,0,0,32,3528313
191,剧毒消散,每轮对所有敌人造成$s1点自然伤害，并为所有盟友恢复$s2点生命值。,1,0,0,8,132104
192,暗影箭,拉萨恩冲击距离最远的敌人，造成$s1点暗影伤害。,2,0,0,32,135640
193,血肉爆发,血肢献祭自己的血肉，对近战范围的敌人造成$s1点物理伤害，对其自身造成$s2点伤害。,2,0,0,32,134084
194,赋能,阿什拉卡牺牲自己的生命值，强化一名邻近的盟友，使其造成额外的$s1点暗影伤害，并使其受到的伤害降低20%，持续2轮。,3,2,0,32,236294
195,颤抖严寒,塔勒西每轮对前方锥形区域内的敌人造成$s1点冰霜伤害，持续2轮。,4,2,0,16,135837
196,刃雹,威尔凯恩打击一名邻近的敌人多次，先造成$s1点物理伤害，然后$s2点，然后$s3点，然后$s4点。,5,0,0,1,458731
197,重装,装配工泽尔托拉重构所有临近的盟友，为其恢复$s1点生命值。,2,0,0,32,3386320
198,白骨之盾,响袋将自身封入旋转的骨头中，受到的伤害降低$s1点，对攻击他的人造成$s2点暗影伤害。,3,2,0,32,136127
199,笨拙挥击,狂野的挥击，打击近战范围内的所有敌人，造成$s1点伤害。,3,0,0,1,236316
200,震惊挥击,大发脾气，对近战范围内的所有敌人造成$s1点自然伤害，并使其伤害降低50%，持续一轮。,4,1,0,8,132105
201,残暴之怒,进入狂乱状态，攻击远处的所有敌人，造成$s1点自然伤害。,4,0,0,8,136217
202,旋转之墙,吸引所有敌人的注意力，令他们都关注他自己。,4,2,0,8,136018
203,噬咬狂风,灌注了心能的致命的魔法狂风撕裂近战范围内的所有敌人，造成$s1点自然伤害。,4,0,0,8,136022
204,死亡冲击,冲击最近处的敌人，造成$s1点暗影伤害，使其伤害降低50%，持续两轮。,5,2,0,32,460686
205,骨尘,死灵能量向前涌动，为前排盟友恢复$s1点生命值。,3,0,0,8,132097
206,憎恶踢击,这是一只脚，还是一只蹄子？很难说，但它踢人很疼，会对最近处的敌人造成$s1点伤害。,3,0,0,1,132368
207,狂野扑击,用尖牙和利爪扑击敌人，对一条线上的所有敌人造成$s1点伤害。,2,0,0,1,132133
208,破胆咆哮,发出令人脊背发凉的咆哮，从而对随机的一名敌人发出挑战，使其注意力转向它。,4,2,0,8,132137
209,仪式狂热,鼓舞一名随机盟友做出更大牺牲。使其伤害提高$s1%，持续一轮。,2,1,0,32,3528291
210,亡者波,发出死亡魔法波，对所有敌人造成$s1点暗影伤害。,3,0,0,32,451165
211,酸液排放,吐出一串毒性物质，对最近处的敌人及其身后的锥形区域造成$s1点自然伤害。,4,0,0,8,136016
212,恐慌攻击,恐慌的野兽打击一个随机的目标，造成$s1点伤害。,4,0,0,1,136147
213,愈疗族群,这个远古生物发出有益的孢子波，为最近处的盟友及其身后的锥形区域恢复$s1点生命值。,3,0,0,8,628135
214,通灵怒击,用通灵能量发泄怒意，对最近处的敌人及其身后的锥形区域造成$s1点暗影伤害。,2,0,0,32,3528297
215,粘液之拳,用巨大的拳头打击，对最近处的敌人造成$s1点自然伤害。,5,0,0,8,840404
216,威胁嘶鸣,大声嘶鸣。走开！使自身不会成为目标，持续两轮。,5,2,0,32,132103
217,屠灭,用通灵能量发泄怒意，攻击远处的所有敌人，造成$s1点暗影伤害。,4,0,0,32,3528295
218,骨骸仪式,身边有一层保护性的旋转白骨。使自身受到的伤害降低50%，持续两轮。,5,2,0,32,458717
219,通灵愈疗,吸收死亡之力，强化其通灵能量，为最近处的盟友恢复$s1点生命值，并使其受到的伤害降低50%，持续两轮。,6,2,0,32,3528292
220,狂野切割,致命的利爪撕裂近战范围内的所有敌人，造成$s1点伤害。,3,0,0,1,457637
221,钻地,潜地，避免成为目标，持续两轮。,5,2,0,8,136025
222,毒性噬咬,用沾毒的牙齿攻击，对最近处的敌人造成$s1点自然伤害，并在两轮内造成$s2点自然伤害。,4,2,0,8,136016
223,永亡波,强大的死亡魔法在折磨平原滚动，对你的全体队员造成随时间越来越高的伤害。,1,10,0,32,136160
224,渊锻斩击,致命的利爪撕裂近战范围内的所有敌人，造成$s1点伤害。,3,0,0,1,132116
225,痛楚尖叫,吐出一团尖叫之云，对最近处的敌人及其身后的锥形区域造成$s1点暗影伤害。,2,0,0,32,236302
226,噬渊之刺,用长矛发泄怒意，对最近处的敌人及其身后的锥形区域造成$s1点暗影伤害。,3,0,0,32,3528302
227,恐惧轰炸,典狱长用飞弹轰炸白垩之地，每轮对随机一名敌人造成暗影伤害，数值相当于其生命值的$s1%。,1,0,0,32,3528302
228,毁灭,十轮后，会造成彻底毁灭的能量波会流过特玛库伦，对你的队伍造成$s1点伤害。,10,0,1,32,3528305
229,渊誓仪式,远古仪式和符文保护随机一名盟友，使其受到的伤害降低50%，持续两轮。,4,2,0,32,3528305
230,统御信仰,统御祭坛是渊誓者的信仰中心，可以为他们的恢复$s1点生命值。,3,1,0,32,3528299
231,渊誓力量,威慑随机的一名敌人，使其受到的伤害提高$s1%，持续两轮。,4,2,0,32,3528299
232,死亡光环,对随机的一名敌人聚集恐惧感，使其造成的伤害降低50%，持续三轮。,4,3,0,32,3528300
233,噬渊之牙,对距离最近的敌人发射纯粹末日的具象，造成$s1点暗影伤害。,3,0,0,32,3528298
234,痛楚之力,鼓舞其盟友克服恐惧，使其造成的伤害提高$s1%，持续两轮。,4,2,0,32,3528299
235,渊誓复仇,以远处的敌人为目标，召唤由纯粹噬渊心能汇聚的飞弹，造成$s1点暗影伤害。,3,0,0,32,3528302
236,强化爪牙,吸收噬渊本身的力量强化盟友，使其受到的伤害降低50%，持续两轮。,4,2,0,32,3528299
237,噬渊横扫,精准地扫击，攻击近战范围内的所有敌人，造成$s1点暗影伤害。,4,0,0,32,3528301
238,死亡护盾,吸引所有敌人的注意，持续两轮。,4,2,0,8,136051
239,末日射线,对远距离的敌人发射纯粹末日的具象，造成$s1点暗影伤害。,5,0,0,32,3528298
240,恐惧之矛,突入敌方阵线，对一条直线上的所有敌人造成$s1点暗影伤害。,3,0,0,32,135131
