ID,BaseTag,TagText_lang,Flags
9651,MAINHANDSLOT,主手,1
9652,SECONDARYHANDSLOT,副手,1
9653,RANGEDSLOT,远程,1
9654,BAGSLOT,背包,1
9655,INVTYPE_HEAD,头部,1
9656,INVTYPE_NECK,颈部,1
9657,INVTYPE_BODY,衬衣,1
9658,INVTYPE_CHEST,胸部,1
9659,INVTYPE_LEGS,腿部,1
9660,INVTYPE_FEET,脚,1
9661,INVTYPE_WRIST,腕部,1
9662,INVTYPE_HAND,手,1
9663,INVTYPE_FINGER,手指,1
9664,INVTYPE_WEAPON,单手,1
9665,INVTYPE_WEAPONOFFHAND,副手,1
9666,INVTYPE_SHIELD,副手,1
9667,INVTYPE_RANGED,远程,1
9668,INVTYPE_CLOAK,背部,1
9669,INVTYPE_2HWEAPON,双手,1
9670,INVTYPE_BAG,背包,1
9671,INVTYPE_HOLDABLE,副手物品,1
9672,BANK_BAG,背包栏位,1
9673,ITEMSLOTTEXT,物品栏位,1
9674,BAGSLOTTEXT,背包栏位,1
9675,BANKSLOTPURCHASE_LABEL,你想要再购买一个用来放置背包的栏位吗？,1
9676,BANKSLOTPURCHASE,购买,1
9677,ADD_FRIEND,添加好友,3
9678,ADD_IGNORE_LABEL,输入想要屏蔽的玩家名字\n或者\n在聊天窗口中按住Shift点击该玩家的名字：,1
9679,REMOVE_FRIEND,删除好友,1
9680,GROUP_INVITE,组队邀请,1
9681,SEND_MESSAGE,发送信息,3
9682,FRIENDS,好友,3
9683,FRIENDS_LIST,好友名单,1
9684,IGNORE,屏蔽,3
9685,IGNORE_PLAYER,屏蔽玩家,1
9686,GROUPS,组队,1
9687,WHO,查询,1
9688,FRIENDS_LIST_TEMPLATE,|cffffffff- %s|r %s,1
9689,FRIENDS_LEVEL_TEMPLATE,等级%d %s,1
9690,ITEM_BIND_ON_EQUIP,装备后绑定,1
9691,ITEM_BIND_ON_USE,使用后绑定,1
9692,ITEM_BIND_QUEST,任务物品,1
9693,ITEM_CLASSES_ALLOWED,职业：%s,1
9694,ITEM_COOLDOWN_TIME_MIN,冷却时间剩余：%d 分钟,1
9695,ITEM_LEVEL,物品等级%d,1
9696,ITEM_MIN_SKILL,需要%s（%d）,1
9697,ITEM_MOD_MANA,%c%s 法力值,1
9698,ITEM_MOD_HEALTH,%c%s 生命值,1
9699,ITEM_MOD_AGILITY,%c%s 敏捷,1
9700,ITEM_MOD_STRENGTH,%c%s 力量,1
9701,ITEM_MOD_SPIRIT,%c%s 精神,1
9702,ITEM_MOD_STAMINA,%c%s 耐力,1
9703,ITEM_NO_DROP,无法丢弃,1
9704,ITEM_PROPOSED_ENCHANT,将获得%s的效果。,1
9705,ITEM_QUALITY1_DESC,普通,1
9706,ITEM_QUALITY2_DESC,优秀,1
9707,ITEM_QUALITY3_DESC,精良,1
9708,ITEM_QUALITY4_DESC,史诗,1
9709,ITEM_QUALITY5_DESC,传说,1
9710,ITEM_REQ_SKILL,需要%s,1
9711,ITEM_RESIST_ALL,%c%d 所有抗性,1
9712,MORE_REAGENTS,更多材料,1
9713,TRADE_SKILL_TITLE,%s,1
9714,COLOR_PICKER,颜色选择器,1
9715,PLAYER_NOT_FOUND,无法找到指定玩家,1
9716,TRADE,交易,1
9717,ERR_QUEST_FAILED_WRONG_RACE,你的种族不能接受这个任务。,1
9718,PROFANITY_FILTER,语言过滤器,1
9719,VOICEMACRO_0_Dw_0_FEMALE,帮助我！,1
9720,VOICEMACRO_0_Dw_1_FEMALE,我需要帮助！,1
9721,ERR_NO_ITEMS_WHILE_SHAPESHIFTED,不能在变形状态下使用物品,1
9722,BUG_CATEGORY10,声效,1
9723,TRADE_WITH_QUESTION,和%s交易吗？,1
9724,JOINED_PARTY,%s加入了队伍。,1
9725,LEFT_PARTY,%s离开了队伍。,1
9726,NOT_IN_GROUP,你没有加入任何队伍,1
9727,PARTY_INVITE,邀请,1
9728,PARTY_LEAVE,离开队伍,1
9729,PARTY_PROMOTE,提升为队长,1
9730,PARTY_UNINVITE,移除,1
9731,GUILD_INFO_TEMPLATE,公会创立于%1$d-%2$d-%3$d，%4$d名成员，%5$d个账号,1
9732,GUILD_MEMBER_TEMPLATE,%s，%s,1
9733,GUILD_RANK0_DESC,公会领袖,1
9734,GUILD_RANK1_DESC,公会官员,1
9735,GUILD_RANK2_DESC,资深成员,1
9736,GUILD_RANK3_DESC,普通成员,1
9737,GUILD_RANK4_DESC,见习成员,1
9738,GUILD_ROSTER_TEMPLATE,%d玩家，%d账号,1
9739,GUILD_TITLE_TEMPLATE,%2$s - %1$s,1
9740,PET_PASSIVE,被动型,1
9741,PET_DEFENSIVE,防御型,1
9742,PET_AGGRESSIVE,攻击型,1
9743,PET_WAIT,停留,1
9744,PET_FOLLOW,跟随,1
9745,PET_ATTACK,攻击,1
9746,PET_ABANDON,放弃,1
9747,PET_DISMISS,解散,1
9748,PET_RENAME,重命名,1
9763,ERR_ONLY_ONE_QUIVER,你只能装备一个箭袋,1
9764,BAGS_ONLY,这里只能放置背包！,1
9765,CANT_AFFORD_ITEM,你买不起这个物品。,1
9766,CANT_USE_ITEM,你不能使用这件物品。,1
9767,FACING_WRONG_DIRECTION,你没有面向正确的方向！,1
9768,FOOD_TIMER,你已经吃得太饱了。,1
9769,INSPECT_NOTIFY,%s正在观察你。,1
9770,INVENTORY_FULL,物品栏已满。,1
9771,ITEM_WRONG_CLASS,你的职业无法使用这件物品！,1
9772,LEVEL_TOO_LOW,你需要达到等级%d才能装备这件物品。,1
9775,LEVEL_UP_SKILL_POINTS,你还可以再学习%d个专业。,1
9777,LOCKED_WITH_ITEM,需要%s,1
9778,LOCKED_WITH_SPELL,需要%s,1
9779,LOOT_ITEM_PUSHED_SELF,你获得了物品：%s,1
9780,LOOT_MONEY,%s拾取了%s。,1
9781,LOOT_MONEY_SPLIT,你分到%s。,1
9782,LOOT_NEXT_PAGE,切换页面,1
9783,LOOT_NO_DROP,拾取%s后，该物品将与你绑定。,1
9784,NOT_ENOUGH_MANA,你没有足够的法力值来施放%s。,1
9785,ONLY_EMPTY_BAGS,只能捡起空的背包！,1
9786,RACE_CLASS_ONLY,%s专用,1
9787,SKILL_RANK_UP,你的%s技能提高到了%d。,1
9788,ABILITIES,技能,1
9789,ACCEPT,接受,1
9790,ARMOR,护甲,3
9791,CANCEL,取消,3
9792,CHARACTER,角色,1
9793,CHARACTER_INFO,角色信息,1
9794,COMPLETE,完成,1
9795,COPPER_AMOUNT,%d铜币,1
9796,CORPSE_RED,|cffff2020尸体|r,1
9797,DAMAGE,伤害,1
9798,DEAD,死亡,1
9799,DECLINE,拒绝,3
9800,ERROR_CAPS,错误,1
9801,EXIT,退出,1
9802,INSPECT,观察,1
9803,ITEMS,物品,1
9804,GOLD_AMOUNT,%d金币,1
9805,GOODBYE,再见,1
9806,LANGUAGE,语言,1
9807,LEVEL,等级,3
9808,LEVEL_REQUIRED,需要等级%d,1
9809,MINUTES,|4分钟:分钟;,3
9810,NEXT,下一页,3
9811,NO,否,3
9812,NONE_CAPS,无,3
9813,OKAY,确定,3
9814,PAGE_NUMBER,第%d页,1
9815,PREV,上一页,1
9816,SECONDS,|4秒:秒;,3
9817,SOCIALS,社交,1
9818,SPEED,速度,3
9819,SPELLBOOK,法术书,1
9820,SPELLS,法术,1
9821,UNKNOWN,未知,1
9822,XP,经验值,1
9823,HP,生命值,1
9824,MP,法力值,1
9825,YES,是,3
9826,YOU,你,1
9827,TIME_TWELVEHOURPM,%d:%02d PM,1
9828,TIME_TWENTYFOURHOURS,%d：%02d,1
9829,TIME_DAYHOURMINUTESECOND,%d天，%d小时，%d分钟，%d秒,1
9830,DAYS_ABBR,%d|4天:天;,3
9832,HOURS_ABBR,%d|4小时:小时;,3
9836,FRAMERATE_LABEL,每秒帧数:,1
9837,SCREENSHOT_SUCCESS,截图完成,1
9838,VIDEOOPTIONS_MENU,视频,3
9839,QUIT,退出,3
9840,CONTINUE,继续,3
9841,OPTIONS_MENU,选项菜单,1
9842,LOW,低,3
9843,HIGH,高,3
9844,WORLD_LOD,世界细节层次,3
9845,INVERT_MOUSE,反转鼠标,1
9846,STATUS_BAR_TEXT,状态栏数值,1
9847,ENVIRONMENT_DETAIL,环境细节,3
9848,WATER_DETAIL,水面细节,1
9849,FARCLIP,视野距离,3
9850,TERRAIN_MIP,地貌混合,3
9851,ANIMATION,动画,1
9852,GAMMA,伽马值,3
9866,SPELL_SKILL_LINE,%s,1
9867,MANA_COST_PER_TIME,%s点法力值，外加每秒%s点,1
9868,SPELL_DURATION_SEC,%.1f秒,1
9869,SPELL_DURATION_MIN,%.1f分钟,1
9870,SPELL_DURATION_UNTIL_CANCELLED,直到主动取消,1
9871,SPELL_EQUIPPED_ITEM,需要%s,1
9872,SPELL_REQUIRED_FORM,需要%s,1
9873,SPELL_NOT_SHAPESHIFTED,不能在变形状态下实施该动作,1
9874,SPELL_EQUIPPED_ITEM_NOSPACE,需要%s,1
9875,SPELL_INSTANT_EFFECT,即时效果,1
9876,SPELL_LASTING_EFFECT,%s效果,1
9877,SPELL_STAT1_NAME,力量,1
9878,SPELL_STAT4_NAME,智力,1
9879,SPELL_STAT5_NAME,精神,1
9880,SPELL_STATALL,所有属性,1
9881,SPELL_SCHOOL0_NAME,物理,1
9882,SPELL_SCHOOL1_NAME,神圣,1
9883,SPELL_SCHOOL2_NAME,火焰,1
9884,SPELL_SCHOOL3_NAME,自然,1
9885,SPELL_SCHOOL4_NAME,冰霜,1
9886,SPELL_SCHOOL5_NAME,暗影,1
9887,SPELL_SCHOOLALL,全部,1
9888,SPELL_SCHOOLMAGICAL,魔法的,1
9889,SPELL_SCHOOL0_CAP,物理,1
9890,SPELL_SCHOOL1_CAP,神圣,1
9891,SPELL_SCHOOL2_CAP,火焰,1
9892,SPELL_SCHOOL3_CAP,自然,1
9893,SPELL_SCHOOL4_CAP,冰霜,1
9894,SPELL_SCHOOL5_CAP,暗影,1
9896,SPELL_TARGET_TEMPLATE,目标%s,1
9897,SPELL_TARGET_MULTIPLE_TEMPLATE,目标%1$s，位于%3$s周围%2$d码的范围内,1
9898,SPELL_TARGET_CONE_TEMPLATE,目标%1$s，位于%3$s面前锥形范围%2$d码内,1
9899,SPELL_TARGET_TYPE1_DESC,任何,1
9900,SPELL_TARGET_TYPE_DEAD1_DESC,死亡的,1
9901,SPELL_TARGET_TYPE2_DESC,友方,1
9902,SPELL_TARGET_TYPE_DEAD2_DESC,死亡的友方,1
9903,SPELL_TARGET_TYPE3_DESC,敌人,1
9904,SPELL_TARGET_TYPE_DEAD3_DESC,死亡的敌人,1
9905,SPELL_TARGET_TYPE4_DESC,队伍成员,1
9906,SPELL_TARGET_TYPE_DEAD4_DESC,死亡的队伍成员,1
9907,SPELL_TARGET_TYPE6_DESC,所在地区,1
9908,SPELL_TARGET_TYPE7_DESC,物体,1
9909,SPELL_TARGET_TYPE8_DESC,宠物,1
9910,SPELL_TARGET_TYPE9_DESC,主手物品,1
9911,COSTS_LABEL,花费：,1
9912,STATS_LABEL,状态：,1
9913,REQUIRES_LABEL,需要：,1
9914,EFFECTS_LABEL,高级,3
9915,TRAIN,训练,1
9916,TRAINER_CAST_TIME_INSTANT,施放时间：|cffffffff即时|r,1
9917,TRAINER_CAST_TIME_SEC,施放时间：|cffffffff%d秒|r,1
9918,TRAINER_COOLDOWN_TIME_INSTANT,冷却时间：|cffffffff即时|r,1
9919,TRAINER_COOLDOWN_TIME_SEC,冷却时间：|cffffffff%d秒|r,1
9920,TRAINER_MANA_COST,法力消耗：|cffffffff%d|r,1
9921,TRAINER_MANA_COST_PER_TIME,法力消耗：|cffffffff%d，外加%d每秒|r,1
9922,TRAINER_REQ_LEVEL_RED,等级 |cffff2020%d|r,1
9924,TRAINER_REQ_SKILL_RANK,%s (|cffffffff%d|r),1
9925,TRAINER_REQ_SKILL_RANK_RED,%s (|cffff2020%d|r),1
9926,TRAINER_REQ_ABILITY,|cffffffff%s|r,1
9927,TRAINER_REQ_ABILITY_RED,|cffff2020%s|r,1
9928,TRAINER_COST_TP_RED,|cffff2020%d|r 天赋,1
9929,LOOT_ROUND_ROBIN,分配方式：轮流拾取,1
9930,LOOT_MASTER_LOOTER,分配方式：队长分配（公会）,1
9931,LOOT_PROMOTE,提升为物品分配者,1
9932,CHAT_EMOTE_GET,%s\32,1
9933,CHAT_EMOTE_SEND,%s\32,1
9934,CHAT_GUILD_SEND,公会：\32,1
9935,CHAT_GUILD_UNINVITE_SEND,从公会中开除：,1
9936,CHAT_GUILD_PROMOTE_SEND,提升,1
9937,CHAT_GUILD_DEMOTE_SEND,降职,1
9938,CHAT_GUILD_LEADER_SEND,设定公会领袖：,1
9939,CHAT_INVITE_SEND,邀请,1
9940,CHAT_MONSTER_SAY_GET,%s说：\32,1
9941,CHAT_MONSTER_EMOTE_GET,,1
9942,CHAT_OFFICER_GET,|Hchannel:OFFICER|h[官员]|h %s：\32,1
9943,CHAT_OFFICER_SEND,官员：\32,1
9944,CHAT_PARTY_SEND,小队：\32,1
9945,CHAT_PROMOTE_SEND,提升,1
9946,CHAT_SAY_GET,%s说：\32,1
9947,CHAT_SAY_SEND,说：\32,1
9948,CHAT_UNINVITE_SEND,移除,1
9949,CHAT_WHISPER_INFORM_GET,发送给%s：\32,1
9950,CHAT_WHISPER_GET,%s悄悄地说：\32,1
9951,CHAT_WHISPER_SEND,告诉%s：\32,1
9952,CHAT_YELL_SEND,大喊：\32,1
9953,CHAT_CHANNEL_LEAVE_GET,%s离开频道。,1
9954,CHAT_YOU_LEFT_NOTICE,离开频道：|Hchannel:%d|h[%s]|h,1
9955,CHAT_CHANNEL_GET,%s：\32,1
9956,CHAT_CHANNEL_SEND,[%d. %s]：\32,1
9957,CHAT_CHANNEL_LIST_GET,|Hchannel:CHANNEL:%d|h[%s]|h\32,1
9958,CHAT_NOT_MODERATOR_NOTICE,不是|Hchannel:%d|h[%s]|h的管理员。,1
9959,CHAT_PASSWORD_CHANGED_NOTICE,|Hchannel:%d|h[%s]|h 密码已被%s修改。,1
9960,CHAT_OWNER_CHANGED_NOTICE,|Hchannel:%d|h[%s]|h 频道所有者被设定为%s。,1
9961,CHAT_CHANNEL_OWNER_NOTICE,|Hchannel:%d|h[%s]|h 频道所有者被设定为%s。,1
9962,CHAT_ANNOUNCEMENTS_ON_NOTICE,|Hchannel:%d|h[%s]|h 频道公告已被%s打开。,1
9963,CHAT_MODERATION_OFF_NOTICE,|Hchannel:%d|h[%s]|h 频道修改已被%s禁止。,1
9964,CHAT_SET_MODERATOR_NOTICE,|Hchannel:%d|h[%s]|h %s获得修改权限。,1
9965,CHAT_MUTED_NOTICE,|Hchannel:%d|h[%s]|h 你没有发言权限。,1
9966,CHAT_PLAYER_ALREADY_MEMBER_NOTICE,|Hchannel:%d|h[%s]|h %s已在此频道中。,1
9967,CHAT_WRONG_FACTION_NOTICE,与%s错误地结盟。,1
9968,CHAT_AFK_GET,%s目前处于离开状态,1
9969,CHAT_FLAG_AFK,<离开>,1
9970,CHAT_FLAG_DND,<忙碌>,1
9971,CHAT_FLAG_GM,<GM>,1
9972,CHAT_IGNORED,%s已将你屏蔽。,1
9973,EMOTE_MESSAGE,表情,1
9974,GUILD_MESSAGE,公会聊天,1
9975,PARTY_MESSAGE,队伍聊天,1
9976,REPLY_MESSAGE,回复,1
9977,SAY_MESSAGE,说,1
9978,WHISPER_MESSAGE,悄悄话,1
9979,SLASH_ASSIST1,/a,1
9980,SLASH_EMOTE1,/e,1
9981,SLASH_EMOTE2,/表情,1
9982,SLASH_EMOTE3,/emote,1
9983,SLASH_EMOTE4,/emote,1
9984,SLASH_GUILD1,/g,1
9985,SLASH_GUILD2,/gc,1
9986,SLASH_GUILD3,/gu,1
9987,SLASH_GUILD4,/公会,1
9988,SLASH_GUILD_HELP1,/ghelp,1
9989,SLASH_GUILD_HELP2,/guildhelp,1
9990,SLASH_GUILD_INVITE1,/ginvite,1
9991,SLASH_GUILD_UNINVITE1,/gremove,1
9992,SLASH_GUILD_UNINVITE2,/公会删除,1
9993,SLASH_GUILD_PROMOTE1,/gpromote,1
9994,SLASH_GUILD_DEMOTE1,/gdemote,1
9995,SLASH_GUILD_DEMOTE2,/公会降职,1
9996,SLASH_GUILD_ROSTER1,/groster,1
9997,SLASH_GUILD_DISBAND1,/gdisband,1
9998,SLASH_GUILD_LEADER1,/gleader,1
9999,SLASH_GUILD_LEAVE1,/gquit,1
10000,SLASH_GUILD_LEAVE2,/退出公会,1
10001,SLASH_GUILD_MOTD1,/gmotd,1
10002,SLASH_GUILD_MOTD2,/guildmotd,1
10003,SLASH_HELP1,/h,1
10004,SLASH_HELP2,/帮助,1
10005,SLASH_HELP3,/?,1
10006,SLASH_INSPECT1,/ins,1
10008,SLASH_INVITE1,/inv,1
10009,SLASH_INVITE2,/邀请,1
10010,SLASH_OFFICER1,/o,1
10011,SLASH_OFFICER2,/官员发言,1
10012,SLASH_PARTY1,/p,1
10013,SLASH_PARTY2,/party,1
10014,SLASH_PLAYED1,/played,1
10015,SLASH_PROMOTE1,/pr,1
10016,SLASH_PROMOTE2,/升职,1
10017,SLASH_REPLY1,/r,1
10018,SLASH_SAY1,/s,1
10019,SLASH_TIME1,/时间,1
10020,SLASH_TRADE2,/交易,1
10021,SLASH_UNINVITE1,/u,1
10022,SLASH_UNINVITE2,/un,1
10023,SPELL_TARGET_TYPE10_DESC,副手物品,1
10024,SPELL_TARGET_TYPE11_DESC,队伍,1
10025,SPELL_TARGET_TYPE12_DESC,全部,1
10026,SPELL_TARGET_TYPE_DEAD12_DESC,所有已死亡人物,1
10027,SPELL_TARGET_TYPE13_DESC,敌人,1
10028,SPELL_TARGET_TYPE14_DESC,队伍成员,1
10029,SPELL_TARGET_TYPE_DEAD14_DESC,死亡的队伍成员,1
10030,SPELL_TARGET_CREATURE_TYPE1_DESC,%s,1
10031,SPELL_TARGET_CREATURE_TYPE_DEAD1_DESC,死亡的%s,1
10032,SPELL_TARGET_CREATURE_TYPE2_DESC,友方%s,1
10033,SPELL_TARGET_CREATURE_TYPE_DEAD2_DESC,死亡的友方%s,1
10034,SPELL_TARGET_CREATURE_TYPE3_DESC,敌方%s,1
10035,SPELL_TARGET_CREATURE_TYPE_DEAD3_DESC,死亡的敌方%s,1
10036,SPELL_TARGET_CREATURE_TYPE12_DESC,所有%s,1
10037,SPELL_TARGET_CREATURE_TYPE_DEAD12_DESC,所有已死亡%s,1
10038,SPELL_TARGET_CREATURE_TYPE13_DESC,敌方%s,1
10039,SPELL_TARGET_CENTER_CASTER,施法者,1
10040,SPELL_TARGET_CENTER_LOC,目标位置,1
10041,SPELL_CAST_TIME_MIN,%.2g分钟施法时间,1
10042,SPELL_PASSIVE,被动,1
10043,SPELL_RECAST_TIME_MIN,%.2g分钟冷却时间,1
10044,SPELL_RECAST_TIME_INSTANT,即时冷却,1
10045,SPELL_TIME_REMAINING_SEC,剩余%d秒,1
10046,SPELL_TIME_REMAINING_MIN,剩余%d分钟,1
10047,PROC_EVENT2_DESC,被击中时,1
10048,PROC_EVENT3_DESC,击中目标或被击中时,1
10049,ERR_CANT_EQUIP_EVER,你永远不能使用这个物品,1
10050,ERR_BAG_FULL,这个背包已经满了,1
10051,ERR_NO_SLOT_AVAILABLE,你没有可以装备这件物品的栏位。,1
10052,SPELL_TIMER,%s失败：你还没有完全恢复。,1
10053,TIME_PLAYED_TOTAL,总游戏时间：%s,1
10054,TIME_TEMPLATE_LONG,%d天，%d小时，%d分钟，%d秒,1
10055,USE_NO_DROP,使用该物品后会将它和你绑定,1
10056,WRONG_SLOT_FOR_ITEM,物品无法放入该空位。,1
10057,PLAYER_LOGOUT_FAILED_ERROR,由于你现在无法坐下，所以无法登出。,1
10058,ATTACK,攻击,1
10061,BLOCK,格挡,3
10066,DODGE,躲闪,3
10069,PARRIED,招架,1
10071,PARRY,招架,3
10075,INTERRUPTED,被打断,1
10076,INTERRUPT,中断,1
10078,RESIST,抵抗,1
10083,IMMUNE,免疫,1
10086,STUNNED,昏迷,1
10087,STUN,昏迷,1
10088,STUN_CAPS,昏迷,1
10089,DEATH_RELEASE,释放灵魂,1
10090,DEATH_RELEASE_TIMER,%d%s后释放灵魂,1
10091,CAMP_TIMER,%d%s后返回角色选择画面,1
10092,CAMP_NOW,立刻返回角色选择画面,3
10094,SEND_SUGGEST,发送建议,1
10095,SEND_BUG,提交Bug,1
10096,SUGGESTFRAME_TITLE,建议和Bug,1
10097,ASSIGNED_COLON,当前指派：,1
10098,CLOSE_LOG,关闭日志,1
10099,COMPLETE_QUEST,完成任务,1
10100,CURRENT_QUESTS,现有任务,1
10101,QUEST_COMPLETE,任务完成,1
10102,QUEST_DESCRIPTION,描述,1
10103,QUEST_FAILED,任务失败,1
10104,QUEST_FAILED_TAG,- 失败,1
10105,QUEST_HARD,（困难）,1
10106,QUEST_LOG,任务日志,1
10107,QUEST_OBJECTS_FOUND,%2$d/%3$d %1$s,1
10108,QUEST_ITEMS_NEEDED,%2$d/%3$d %1$s,1
10109,QUEST_OBJECTIVES,任务目标,1
10110,QUEST_REWARDS,奖励,1
10111,QUEST_TIMERS,任务计时,1
10112,QUESTS_COLON,任务：,1
10113,REWARD_CHOICES,你可以从这些奖励品中选择一件：,1
10114,REWARD_ITEMS,你还将得到：,1
10115,SORT_QUEST,任务分类,1
10116,TASKS_COLON,任务：,1
10117,TIME_REMAINING,剩余时间：,1
10118,TURN_IN_ITEMS,需要物品：,1
10119,ALREADY_LEARNED,已经学会,1
10120,ITEM_RESIST_SINGLE,%c%d %s抗性,1
10121,ITEM_SOULBOUND,灵魂绑定,1
10122,ITEM_SPELL_CHARGES,%d次,1
10123,ITEM_UNIQUE,唯一,1
10124,ITEM_UNIQUE_MULTIPLE,唯一（%d）,1
10125,ITEM_CONJURED,魔法制造的物品,1
10126,LEVEL_GAINED,等级 %d,1
10127,PRIMARY,主要,1
10128,PRIMARY_SKILLS,主要技能：,1
10129,PROFICIENCIES,精通：,1
10130,SECONDARY,次要,1
10131,SECONDARY_SKILLS,次要技能：,1
10132,SKILL_LEVEL,技能等级,1
10133,SPECIAL_SKILLS,%s技能：,1
10134,TRADE_SKILLS,专业,1
10135,HELP_TEXT_LINE12,- 'r' 或 '/r' 回复最后一个悄悄话,1
10136,HELP_TEXT_LINE13,- 输入/who 获取玩家列表,1
10137,CHAT_HELP_TEXT_LINE2,"/#, /c, /csay - 向#频道发送信息 (例如：/1 你好！)",1
10138,CHAT_HELP_TEXT_LINE4,"/join, /channel, /chan - 加入一个频道",1
10139,CHAT_HELP_TEXT_LINE8,/own <频道> [玩家] - 显示或改变频道管理员,1
10140,CHAT_HELP_TEXT_LINE9,"/mod, /moderator, /unmod, /unmoderator <频道> <玩家> - 改变一个玩家的频道管理权限",1
10141,GUILD_HELP_TEXT_LINE1,要创建一个公会，请在控制台中输入'guildcreate <公会名称>',1
10142,GUILD_HELP_TEXT_LINE4,'/o <信息>' 向公会中所有的管理人员发送一条信息,1
10143,GUILD_HELP_TEXT_LINE5,'/ginvite <玩家>' 邀请玩家加入你的公会,1
10144,GUILD_HELP_TEXT_LINE9,/gmotd <信息>' 设置公会的今日信息,1
10145,SPELL_FAILED_UNKNOWN,未知原因,1
10146,SPELL_FAILED_ERROR,内部错误,1
10147,SPELL_FAILED_BAD_TARGETS,无效的目标,1
10148,SPELL_FAILED_BAD_IMPLICIT_TARGETS,没有目标,1
10149,SPELL_FAILED_NOT_HERE,不能在这里使用。,1
10150,SPELL_FAILED_SPELL_IN_PROGRESS,另外一个动作正在进行中,1
10151,SPELL_FAILED_TOO_CLOSE,目标过于接近,1
10152,SPELL_FAILED_LINE_OF_SIGHT,目标不在视野中,1
10153,SPELL_FAILED_NOT_READY,尚未恢复,1
10154,SPELL_FAILED_NOT_KNOWN,法术尚未学会,1
10155,SPELL_FAILED_INTERRUPTED,被打断,1
10156,SPELL_FAILED_CASTER_DEAD,你已经死亡,1
10157,SPELL_FAILED_FIZZLE,失败,1
10158,SPELL_FAILED_REAGENTS,缺少材料：%s,1
10159,SPELL_FAILED_NO_CHARGES_REMAIN,无使用次数,1
10160,SPELL_FAILED_TARGETS_DEAD,目标已经死亡,1
10161,SPELL_FAILED_NO_AMMO,弹药不足,1
10162,SPELL_FAILED_ALREADY_HAVE_CHARM,你已经控制了一个被魅惑的生物,1
10163,SPELL_FAILED_ALREADY_HAVE_SUMMON,你已经控制了一个召唤生物,1
10164,SPELL_FAILED_TARGET_NOT_DEAD,目标是活着的,1
10165,SPELL_FAILED_TARGET_FRIENDLY,目标处于友好状态,1
10166,SPELL_FAILED_TARGET_ENEMY,目标处于敌对状态,1
10167,SPELL_FAILED_NOT_MOUNTED,你正在骑乘状态。,1
10170,SPELL_FAILED_ONLY_INDOORS,只能在室内使用,1
10171,SPELL_FAILED_ONLY_SHAPESHIFT,必须在%s中,1
10172,SPELL_FAILED_NOT_SHAPESHIFT,你正在变形状态下,1
10173,SPELL_FAILED_ONLY_STEALTHED,你必须在潜行状态下。,1
10174,SPELL_FAILED_LOWLEVEL,目标等级太低,1
10175,SPELL_FAILED_NEED_AMMO_POUCH,需要：%s,1
10176,SPELL_FAILED_NEED_AMMO,使用弹药之前必须将弹药放在角色状态界面下方的弹药栏中。,1
10177,SPELL_FAILED_NEED_EXOTIC_AMMO,需要异种弹药：%s,1
10178,SPELL_FAILED_LOW_CASTLEVEL,技能等级不够,1
10179,SPELL_FAILED_SILENCED,不能在沉默状态中实施该动作,1
10180,SPELL_FAILED_ITEM_ALREADY_ENCHANTED,物品已经被附魔,1
10181,SPELL_FAILED_REQUIRES_SPELL_FOCUS,需要%s,1
