ID,Name_lang,Description_lang,IconFileDataID,Category
80,激流漩渦,激烈的漩渦毫無預警地出現，會對任何企圖硬闖穿越的船隻造成重創。,892446,2
81,迅疾,可以在水中高速前進。光是要追上就得費一番功夫，然後才能開始真正交戰。,132120,2
82,閃避,可以快速急轉彎，敵人很難命中這樣的目標。,136205,2
83,佈雷船,佈雷船會在它的後方散佈感應水雷，想追擊它的話得小心了！,133710,2
84,先手攻擊,快速的先手攻擊，往往能在戰事開打之際就將其結束。,132212,2
85,精英船長,由老練的船長所駕駛的船艦，對海戰的精妙之處相當清楚。精英船長無法直接反制，只能硬碰硬勝過他們。,133168,2
86,地面目標,,132296,2
87,陸上目標,"需要將物資或兵力運輸到陸上地點的目標。

|cffb2f0ff反制它需要：|r
|TInterface\ICONS\Ships_ABILITY_BoardingPartyALLIANCE.blp:24:24:0:0|t|cffffffff運輸艦|r",132296,2
88,詛咒船員,船上都是受詛咒的水手。,135974,2
89,山崖,一個艱難而危險的地方。,409549,0
109,首領,"|CFFFFFFF0首領|R
若是沒有反制，任務成功機率會降低。",1357797,2
110,危險,"|CFFFFFFF0危險|R
若是沒有反制，任務時間會延長。",1357798,2
111,旋風斬,,132369,2
112,戰士,,132347,2
113,首領,"|CFFFFFFF0首領|R
若是沒有反制，任務成功機率會降低。",1357797,2
114,首領,"|CFFFFFFF0首領|R
若是沒有反制，任務成功機率會降低。",1357797,2
115,手下,"|CFFFFFFF0軍隊|R
這支軍隊有精良的護甲。若是沒有反制，任務時間會延長。",1357814,2
121,法術,"|CFFFFFFF0法術|R
高傷害的法術。若是沒有反制，對部隊造成的傷害會提高。",1357804,2
122,伏擊,任務成功機率降低。無法反制。,1357812,2
124,首領,"|CFFFFFFF0首領|R
若是沒有反制，任務成功機率會降低。",1357797,2
125,首領,"|CFFFFFFF0首領|R
若是沒有反制，任務成功機率會降低。",1357797,2
126,殘酷,成功機率降低${$a910}%。,311232,2
127,簡單,成功機率降低${$a909}%。,311236,2
128,困難,成功機率降低${$a907}%。,311237,2
129,極難,成功機率降低${$a908}%。,311238,2
130,精英,任務成功機率降低。無法反制。,1357812,2
131,地城,任務成功機率降低。無法反制。,1357812,2
132,團隊,任務成功機率降低。無法反制。,1357812,2
135,阿古斯精英怪,"|CFFFFFFF0阿古斯精英怪|R
若是沒有反制，任務成功機率會降低。",1113433,2
138,主要目標,擅長製造裝置和破壞裝置，或是製造破壞其他裝置的裝置。,134520,2
139,偵察,|cFFFFD200「集體行動會吸引注意」|r,134441,2
141,斥候,,134441,2
142,遠程,,236201,2
143,近戰,,132269,2
144,騎兵,,132226,2
145,破壞,"作用時，使其他任務的持續時間提高50%。

|cFFFFD200「爆炸會搞得一團亂」|r",133715,0
147,主要目標,尋找目標，取回資訊，俐落帥氣。,132288,2
148,夜視能力,有辦法在一片黑暗中看見東西。,136057,2
149,主要目標,受過各種作戰方式和武器訓練。,615342,2
150,快速打擊,"縮短任務時間，同時提高成功機率。



|cFFFFD200「快速攻擊讓敵人大吃一驚，毫無反擊能力。進出戰場如入無人之境。」|r",134376,0
151,精英任務,任務成功機率降低。無法反制。,616373,2
153,潛行,"部隊會使成功機率降低100%。

|cFFFFD200「集體行動會吸引注意」|r",132320,2
154,持久戰,"進行任務的部隊的每一點精力，都可以讓成功機率提高10% 

|cFFFFD200「長途旅行和艱困的環境，反而會為體力充沛的部隊帶來優勢。」|r",1060984,2
256,深海,"任務成功率降低。

|cFFFFD200「你要我們怎麼過去？游過去嗎？」|r",135861,2
257,JasonTest Mechanic,JasonTest Mechanic,0,0
