ID,Title_lang,Description_lang,WorldPosition[0],WorldPosition[1],Type,PlayerConditionID,QuestID,LfgDungeonID,RewardItemID,UiTextureAtlasMemberID,UiTextureKitID,MapID,AreaTableID
45,斯陀頌恩谷地,驍勇無比的庫爾提拉斯海軍艦隊憑空消失，前往調查斯陀頌恩家族隱藏在海洋中的秘密以尋求解答。,2513.85,537.756,1,61849,47962,0,0,0,0,1643,0
148,提拉加德海灣,在提拉加德海灣協助暗影獵手泰巾。,-295,-1473,1,61822,51800,0,0,0,262,1643,0
149,佐司瓦,在佐司瓦協助加里維克斯跟伊崔格。,-413,4110,1,61823,51801,0,0,0,262,1643,0
150,斯陀頌恩谷地,在斯陀頌恩谷地協助雷克薩。,3941,469,1,61824,51802,0,0,0,262,1643,0
151,祖達薩,在祖達薩協助凱爾希‧鋼火。,-1410,-663,1,61798,51570,0,0,0,261,1642,0
152,納茲米爾,在納茲米爾協助布萊恩‧銅鬚。,2084,184,1,61800,51571,0,0,0,261,1642,0
153,沃魯敦,在沃魯敦協助聯盟部隊。,2840,4199,1,61799,51572,0,0,0,261,1642,0
161,斯寇德斯刑牢,看守者斯寇德斯及他的兇惡野獸折磨著被鎖鍊困在這些大廳中的靈魂。,300,700,1,34450,60092,0,0,0,0,2162,0
162,碎骨之牢,瑪卓薩斯的囚犯被關押在這些房間，一次又一次承受斷骨之苦。,325,300,1,34450,60099,0,0,0,0,2162,0
163,熔魂工坊,無比熾熱的熔爐真的將靈魂熔化，鑄成護甲和武器，武裝閻獄之主的大軍。,400,700,1,34450,60100,0,0,0,0,2162,0
164,亡魂之間,位於牢房區之間的詭異多變之地，充滿飽受折磨的幽魂，他們早已忘卻自己的過去。,425,300,1,34450,60101,0,0,0,0,2162,0
165,厲嘯空島,淵誓琪瑞安的迎風棲息地。,500,700,1,34450,60102,0,0,0,0,2162,0
166,異變之室,死靈法師和曲魂師對這裡的靈魂進行實驗，將他們轉化成可怕的黑暗怪物。,525,300,1,34450,60103,0,0,0,0,2162,0
167,黑暗禁地,幾乎無光的地方。扒手、小人、鼠輩、噬魂者還有被遺忘的鬼魂，潛伏在每一個角落。,600,700,1,34450,60104,0,0,0,0,2162,0
168,噬罪者鐘樓,效忠閻獄之主的汎希爾族的暫居地。,625,300,1,34450,60105,0,0,0,0,2162,0
169,牢塔上層,裡面收容著閻獄之主最重要的囚犯…以及他最危險的副官。,700,700,1,34450,60106,0,0,0,0,2162,0
171,蜿蜒大廳,托迦司看似無窮無盡的一個區塊 - 只有不停向上延伸的無盡大廳…,250,500,1,34450,60107,0,0,0,0,2162,0
172,昇靈堡,一生秉持侍奉之心的人，死後會來到昇靈堡，負責引渡靈魂進入暗影之境。,-2000,-4600,1,87724,62275,0,0,0,0,2222,0
173,瑪卓薩斯,瑪卓薩斯是死靈法術的源頭，有著野心的靈魂在那裡可以獲得成就。,2500,-2000,1,87723,62278,0,0,0,0,2222,0
174,亞登曠野,亞登曠野是由暗夜妖精所照護的無盡復生之地。,-7000,800,1,87725,62277,0,0,0,0,2222,0
175,瑞文崔斯,瑞文崔斯是罪惡收割者汎希爾族的家園。罪孽深重的靈魂來這裡尋求救贖…以免在淵喉受到無盡折磨。,-2500,7000,1,87726,62279,0,0,0,0,2222,0
176,托迦司,托迦司是閻獄之主的權力核心。那裡曾是關押宇宙中最危險靈魂的監獄，但如今卻囚禁無數無辜的人，永世遭受無盡折磨。,3500,7000,1,93245,64846,0,0,0,0,2222,0
177,戰場,奧睿博司的仲介者在招募熱中於競爭的人，讓他們在戰場彼此對抗，再從中觀察並學習。,-2100,1300,1,93585,65031,0,0,0,0,2222,0
178,翡翠花園傳送門,在雍亞拉平原蓊鬱翠綠的山坡上，藏著一個人們遺忘已久的休眠之石。,-1379.76,4499.69,1,101296,70706,0,0,0,0,2444,0
181,甦醒海岸,甦醒海岸是黑龍與紅龍軍團的家園。,3200,0,1,103950,72266,0,0,0,0,2444,0
182,雍亞拉平原,雍亞拉平原是半人馬與綠龍軍團的家園。,-1000,2600,1,103951,72267,0,0,0,0,2444,0
183,蒼藍高地,蒼藍高地是藍龍軍團先前的家園。,-3300,-1000,1,103952,72268,0,0,0,0,2444,0
184,薩爪祖斯,薩爪祖斯是守護巨龍的所在之處與青銅龍軍團的家園。,0,-2000,1,103953,72269,0,0,0,0,2444,0
185,塞拉摩,在塞拉摩廢墟中調查一群狂野法師。,-2000,6000,1,110001,72939,0,0,0,0,-1,14620
186,冬泉谷,在冬泉谷與哈爾琳一同進行文物工作。,1750,5500,1,110002,72656,0,0,0,0,-1,14620
187,水晶之歌森林,在水晶之歌森林中彌補過去的錯誤。,6500,500,1,110003,73091,0,0,0,0,-1,14620
188,翠玉林,在翠玉林與卡雷苟斯的老友「琦麗苟莎」重聚。,-5200,250,1,110004,73227,0,0,0,0,-1,14620
189,藏寶海灣,在藏寶海灣拯救欠了一屁股債的藍色巨龍「澤羅斯」。,-4200,-8500,1,105628,73026,0,0,0,0,-1,14620
190,多恩島,多恩島是多恩諾加誓語者和芙林無縛者的家園。,2514,-3270,1,125031,83548,0,0,0,0,2552,0
191,鳴響深淵,鳴響深淵是盡責機語者與睿智狗頭人的家園。,1775,-3533,1,125033,83550,0,0,0,0,2601,0
192,聖落之地,聖落之地是阿拉希遠征隊堅強生還者的家園。,2367,230,1,125034,83551,0,0,0,0,2601,0
193,阿茲-卡罕特,阿茲-卡罕特是奈幽蟲族的家園，也是首都蛛絲城的所在地。,-802,-1395,1,125035,83552,0,0,0,0,2601,0
