ID,OverrideNameString_lang,SlotMask,ItemNameDescriptionID
84,活化腿甲,128,13666
87,混血巨人面具,2,13776
90,厄運領主之蹄,256,13779
99,安德列斯爪靴,256,13760
100,依米亞的優雅環帶,64,13774
102,刺客大師符印,2560,13790
105,影塵上衣,32,13793
106,淬毒刀刃長靴,256,13791
110,薄暮行者的調解,32,13797
111,綠皮巫木,2,13798
112,強盜符咒,4,13799
114,迅敏戒環,2048,13789
115,隱蔽的短槍,1024,13800
116,勁爆終曲,65536,13801
117,艾可莉的靈魂碎片,1024,13802
119,致命暗影,128,13804
126,惡魔協同面具,2,13761
127,揍敵客家族足履,256,13796
128,染血的毀滅之刃肩冑,8,13795
130,滴血尖牙肩甲,8,13792
131,腐滅食慾,65536,13803
151,失序魔核根基,256,13781
158,魔焰頭盔,2,13782
159,黑暗時刻罩氅,32,13778
161,黑暗之眼勳章,4,13777
163,混沌循環,64,13780
165,永燃護胸,32,13810
167,厄運領主之蹄,256,13809
168,魔化烈焰的不息循環,2048,13785
169,暗焰風帽,2,13783
170,熾熱靈魂的魯莽之握,1024,13786
171,褻瀆者的失落腿甲,128,13784
172,黃昏與黎明之視,2,13697
175,終末頭盔,130,13834
176,無盡飢餓護脛,256,13835
179,罪孽肩鎧,8,13837
180,榮耀胸甲,32,13836
182,罪孽沉溺之握,1024,13839
184,族裔親和肩甲,8,13844
185,星穹魂靈足靴,256,13846
186,憤怒蜂擁護胸,32,13841
187,響徹明晰肩墊,8,13851
189,盡責裁決錘頭盔,2,13854
190,熾烈屠殺護腿,256,13857
191,聖輝餘燼之握,1024,13853
192,豐收季長靴,256,13861
193,伯昂撒姆第的契約頭盔,2,13862
195,暗言術：操縱護腕,512,13863
197,分裂元素護腰裹布,64,13867
198,元素傳導鍊甲衫,32,13869
199,殲滅裂片護腿,128,13871
200,凋零靈魂薄靴,256,13872
201,侷限的恆爆頭巾,2,13873
202,靈魂潛獵者手套,1024,13874
203,彈藥大師護手,512,13875
204,陳年鹿角碎片項鍊,4,13876
205,剃刀碎片長靴,256,13877
206,豐收外衣,32,13866
207,憎惡之握,1024,13832
208,蔓延轉移胸鎧,32,13833
209,妖精之諧裹布,1024,13881
210,Chestplate of Test 1 Override,32,13882
211,Chest of Test 2 Override,32,13883
213,Three-pronged Defender (DNT),4,13588
218,瘋狂禱鐘裹足,256,13884
219,邪惡教誨裹腕,512,13885
220,邪惡教誨指環,2048,13885
222,球體之諧披肩,8,13887
223,球體之諧護腿,128,13887
224,蒼白命令戒指,2048,13888
225,蒼白命令便鞋,256,13888
226,致命纏繞胸鎧,32,13663
227,巨怪腿鎧,128,13665
228,復生護腰,64,13666
229,吸血指環,2048,13668
230,赤紅符文肩衛,8,13669
231,絕對零度臂甲,512,13673
232,無盡之握戰靴,256,13675
233,熔岩蔽天符咒,4,13679
234,深層凍結肩墊,8,13682
235,循規蹈矩裹腕,64,13684
236,延伸潛能長靴,256,13685
237,秘法和諧刺繡肩墊,8,13691
238,時光銘刻披肩,32,13692
239,瘋狂楷模之縛,64,13694
240,烏瑟的虔誠,4,13695
242,堅毅審判官天秤,128,13709
243,報復腿甲,128,13713
244,雷霆之王護手,1024,13716
245,精神異常臂鎧,512,13720
246,戰鬥領主腕甲,512,13722
247,震地迴響大頭盔,2,13723
248,痛苦使者護腰,64,13742
249,集體苦痛紋刻手鐲,512,13775
250,混血巨人肩衛,8,13776
251,黑暗之眼腰環,64,13777
253,墮落厄運領主肩甲,8,13779
254,混沌理論之索,64,13780
255,失序魔核,2048,13781
256,魔化投彈手墜飾,4,13782
258,污染者的遺失護臂,512,13784
259,螺旋魔化烈焰炎光,64,13785
260,燒灼靈魂鐐銬,512,13786
261,淬毒下毒者裹腰,64,13791
262,揍敵客家族訓練護腿,128,13796
263,薄暮行者的戒環,2048,13797
264,綠皮的浸濕腰環,64,13798
265,狡詐手鐲,512,13799
266,迅敏披肩,8,13789
267,鳥哨護臂,512,13800
268,終末,32,13801
269,艾可莉的扭曲幻象,2,13802
270,腐滅餘波,128,13803
271,致命暗影裹布,64,13804
273,永燃肩衛,8,13810
274,集體苦痛的莊嚴之握,512,13775
275,黑暗時刻外衣,128,13778
276,魔化投彈手肩衛,8,13782
277,永燃,0,13810
278,紋刻暗焰勳章,4,13783
280,無盡混沌循環,64,13780
282,黃昏與黎明披肩,8,13697
283,蔓延轉移護腰,64,13833
284,終末腿鎧,128,13834
285,無盡飢餓腿鎧,128,13835
286,憎惡護腰,64,13832
287,榮耀護腰,64,13836
288,罪孽頭盔,2,13837
289,罪孽沉溺之索,64,13839
290,憤怒蜂擁束腕,512,13841
291,族裔親和咒符,4,13844
292,星穹魂靈護腿,128,13846
293,群聚蝗蟲束腕,512,13841
294,響徹明晰護腰,64,13851
295,神性共鳴護腰,64,13853
296,盡責裁決錘肩鎧,8,13854
297,熾烈屠殺肩甲,8,13857
298,聖輝餘燼護腕,512,13853
299,豐收季護腿,128,13861
300,伯昂撒姆第的契約扣環,64,13862
301,伯昂撒姆第的契約護腕,512,13863
302,豐收肩鎧,8,13866
303,分裂元素護符,4,13867
304,元素傳導裹腕,512,13869
305,殲滅裂片腰帶,64,13871
306,凋零靈魂背袋裹手,1024,13872
307,恆爆能量肩衛,8,13873
308,靈魂潛獵腰環,64,13874
309,彈藥鍊甲兜帽,2,13875
310,鋒利鐵絲腿甲,128,13877
312,憎惡腕甲,512,13832
313,蔓延轉移護腰,64,13833
314,妖精之諧腰索,64,13881
315,Boots of Test 1 Override,256,13882
316,Ring 1 Test 2 Override,0,13883
317,dfg,16777216,13588
318,Test,131072,13588
319,樂土之力脛甲,256,13889
320,樂土之力護脛,128,13889
321,神性共鳴護腰,64,13890
322,神性共鳴胸鎧,32,13890
323,深層凍結咒符,4,13682
324,魔法使的手套,1024,13681
325,厄運領主腿甲,128,13809
326,赤紅符文護腰,64,13669
327,奈辛瓦里的困陷墜飾,4,13744
328,魂鑄餘燼指環,2048,13745
329,萊拉克巡者護脛,128,13750
330,黃昏與黎明頸飾,4,13697
331,滴血尖牙指環,2048,13792
332,染血的罩氅,65536,13795
333,震慄璽戒,2048,13725
334,深淵元素裹腕,512,13726
335,惡魔協同披肩,8,13761
336,震地迴響脛甲,256,13723
337,精神異常指環,2048,13720
338,終末披風,65536,13834
339,罪孽墜飾,4,13837
340,盡責裁決錘戒指,2048,13854
341,熾烈屠殺罩氅,65536,13857
342,伯昂撒姆第的契約之握,1024,13862
343,豐收頸飾,0,13866
344,侷限的恆爆符咒,4,13873
