ID,Name_lang,Description_lang,ButtonText_lang,RewardDescription_lang,ContinueDescription_lang,Type,PlayerConditionID,Flags,ButtonActionType,TextureFileDataID,LfgDungeonID,QuestID,BattleMasterListID,PriorityMin,PriorityMax,CurrencyType,CurrencyQuantity,UIMapID,BonusPlayerConditionID[0],BonusPlayerConditionID[1],BonusValue[0],BonusValue[1]
111,塔拉多爾,鋼鐵部落已經登陸塔拉多爾，並防堵我們進入這處交通要道。指揮官，我們需要你的部隊幫忙。,開始任務,,,0,33755,0,3,1060985,0,36953,0,9,10,0,0,535,33756,0,0,0
112,阿拉卡山,阿拉卡山陷入戰爭與叛亂中。被流放的阿拉卡難民成群結隊地逃難，他們或許能成為我們的重要盟友。,開始任務,,,0,33757,0,3,1060981,0,36951,0,9,10,0,0,542,33758,0,0,0
113,阿拉卡山,指揮官，阿拉卡山陷入戰爭與叛亂中。被流放的阿拉卡難民一群群逃向地面，或許能成為我們的重要盟友。,開始任務,,,0,33759,0,3,1060981,0,36951,0,9,10,0,0,542,33760,0,0,0
114,塔拉多爾,鋼鐵部落已經登陸塔拉多爾，並防堵我們進入這處交通要道。指揮官，我們需要你的部隊幫忙。,開始任務,,,0,33761,0,3,1060985,0,34676,0,9,10,0,0,535,33762,0,0,0
115,納葛蘭,索爾已經尋求協助，好在納葛蘭建立據點，那裡可是令人聞風喪膽的戰歌與燃刃氏族的家園。,開始任務,,,0,33765,0,3,1032150,0,36952,0,9,10,0,0,550,33766,0,0,0
116,納葛蘭,復仇者伊芮爾已經尋求協助，好在納葛蘭建立據點，那裡可是令人聞風喪膽的戰歌與燃刃氏族的家園。,開始任務,,,0,33767,0,3,1032150,0,34674,0,9,10,0,0,550,33768,0,0,0
117,準備進攻！,大酋長沃金親臨要塞，與你進一步討論塔南森林的進攻計畫。你的部隊準備好了嗎？,開始任務,,在你的要塞和大酋長沃金交談，討論進攻塔南森林的計畫。,0,33769,0,3,1048305,0,38567,0,9,10,0,0,543,33770,0,0,0
118,阿拉希盆地,阿拉希盆地是一座資源戰戰場，擊敗部落玩家，為聯盟拿下它吧。,加入戰鬥！,,,5,33772,1,4,236712,0,0,3,1,7,0,0,0,34691,0,1,0
119,準備進攻！,瓦里安‧烏瑞恩國王親臨要塞，與你進一步討論塔南森林的進攻計畫。你的部隊準備好了嗎？,開始任務,,在你的要塞和瓦里安‧烏瑞恩國王交談，討論進攻塔南森林的計畫。,0,33771,0,3,1048305,0,38253,0,9,10,0,0,543,33773,0,0,0
120,黑澗深淵,這座遠古的夜精靈神殿已被暮光之錘所佔據。在未知的邪惡被喚醒之前打倒他們！,加入隊伍,,,6,33775,0,1,236436,10,0,0,7,8,0,0,0,33809,33978,0,0
123,暴風城監獄,暴風城監獄中的囚犯正準備逃獄。阻止他們！,加入隊伍,,,6,33806,0,1,134163,12,0,0,7,8,0,0,0,33810,33979,0,0
124,諾姆瑞根,探索遭受輻射污染的諾姆瑞根主城，清除穴居怪、麻瘋地精和恐怖尖端科技的侵擾。,加入隊伍,,,6,33807,0,1,236424,14,0,0,7,8,0,0,0,33811,33981,0,0
125,血色大廳,血色十字軍的兇殘戰士正在血色大廳集結成軍。在他們出征之前打倒他們。,加入隊伍,,,6,33808,0,1,133154,163,0,0,7,8,0,0,0,33813,33982,0,0
126,血色修道院,攻擊血色十字軍的據點：血色修道院，並將其狂熱的領導者就地正法。,加入隊伍,,,6,33814,0,1,135955,164,0,0,7,8,0,0,0,33815,33816,0,0
127,瑪拉頓,進入瑪拉頓的水晶洞穴，有傳言說那裡出現了惡魔。,加入隊伍,,,6,33817,0,1,136345,272,0,0,7,8,0,0,0,33818,0,0,0
128,剃刀沼澤,到剃刀沼澤冒險，深入滿是荊棘和野豬人的要塞重地。,加入隊伍,,,6,33819,0,1,236405,16,0,0,7,8,0,0,0,33820,33983,0,0
129,毒菇洞穴,前往地底的毒菇洞穴，根除腐化瑪拉頓的力量，將其淨化。,加入隊伍,,,6,33821,0,1,136345,26,0,0,7,8,0,0,0,33818,0,0,0
130,地歌瀑布,我們需要一位英雄挺身而出，將瑪拉頓洞穴裡的瑟萊德絲公主和她的手下所造成的腐化完全清除。,加入隊伍,,,6,33822,0,1,136345,273,0,0,7,8,0,0,0,33818,33984,0,0
131,奧達曼,探索奧達曼這座遠古泰坦所遺留的城市，裡面滿是失敗的創造和神奇的財寶。,加入隊伍,,,6,33823,0,1,236401,22,0,0,7,8,0,0,0,33824,33985,0,0
132,扭木廣場,消滅盤據在厄運之槌東翼的腐化先祖與居民。,加入隊伍,,,6,33825,0,1,136333,34,0,0,7,8,0,0,0,33826,0,0,0
133,通靈學院,需要一位英雄來面對通靈學院可怕的死靈法師以及他們用邪惡的知識創造出來的不死生物。,加入隊伍,,,6,33827,0,1,135974,2,0,0,7,8,0,0,0,33828,33986,0,0
134,中心花園,精靈們盲目追尋重獲永生的慾望，導致了黑暗詛咒的降臨。冒險進入厄運之槌解除它。,加入隊伍,,,6,33829,0,1,136333,36,0,0,7,8,0,0,0,33830,0,0,0
135,剃刀高地,在這座野豬人的堡壘中發現了不死生物，讓人擔心此地可能已成為天譴軍在卡林多的另一座據點。,加入隊伍,,,6,33832,0,1,236400,20,0,0,7,8,0,0,0,33831,33987,0,0
136,戈多克平民區,這些殘暴的戈多克巨魔已經控制了厄運之槌的北側，開始利用裡面的力量。,加入隊伍,,,6,33833,0,1,132340,38,0,0,7,8,0,0,0,33830,33988,0,0
137,斯坦索姆 - 主門,曾經雄峙一時的人類城市斯坦索姆，現在僅餘殘磚破瓦，成為不死生物的巢穴。只有最勇敢的英雄才敢跨越前門，入內一探。,加入隊伍,,,6,33834,0,1,237511,40,0,0,7,8,0,0,0,33835,33989,0,0
138,祖爾法拉克,曾經強大而冷酷的祖爾法拉克沙怒食人妖似乎在集結不死大軍。你願意挺身對抗他們嗎？,加入隊伍,,,6,33838,0,1,236406,24,0,0,7,8,0,0,0,33837,33990,0,0
139,斯坦索姆 - 僕從入口,我們發現斯坦索姆廢墟有一道側門，利用它來攻擊其中的天譴軍團。,加入隊伍,,,6,33839,0,1,237511,274,0,0,7,8,0,0,0,33840,33991,0,0
140,禁閉室,黑石深淵中的黑鐵矮人正和暮光之錘教徒攜手合作，一定要阻止他們。,加入隊伍,,,6,33841,0,1,236410,30,0,0,7,8,0,0,0,33842,33992,0,0
141,沉沒的神廟,冒險進入沉沒的神廟，消滅腐化的綠龍看守者，並阻止邪惡的阿塔萊食人妖祭司。,加入隊伍,,,6,33843,0,1,236434,28,0,0,7,8,0,0,0,33844,33993,0,0
142,黑石深淵,進入黑鐵矮人首都深處，與他們的邪惡領導者索瑞森大帝交戰。,加入隊伍,,,6,33845,0,1,236410,276,0,0,7,8,0,0,0,33842,33994,0,0
143,黑石塔下層,對抗集結於大酋長雷德‧黑手麾下的冒牌部落軍隊，以及他的黑龍盟友。,加入隊伍,,,6,33846,0,1,236429,32,0,0,7,8,0,0,0,33847,33995,0,0
144,地獄火壁壘,在地獄火半島攻擊固若金湯的魔獄部落行動基地。,加入隊伍,,,6,33848,0,1,236427,136,0,0,7,8,0,0,0,33849,33996,0,0
145,血熔爐,魔獄部落在自己的族人身上進行各種黑暗又詭異的實驗，以創造用來打仗的殘暴士兵。,加入隊伍,,,6,33850,0,1,236417,137,0,0,7,8,0,0,0,33849,33851,0,0
146,奴隸監獄,到贊格沼澤的奴隸監獄釋放盤牙納迦的囚犯。,加入隊伍,,,6,33852,0,1,236433,140,0,0,7,8,0,0,0,33853,33997,0,0
147,深幽泥沼,冒險進入深幽泥沼，面對來自深處的奇特蕈類生物。,加入隊伍,,,6,33854,0,1,254502,146,0,0,7,8,0,0,0,33853,33855,0,0
148,法力墓地,阻止打著奈薩斯王子薩法爾的名號肆虐的以太拾荒者，別讓他們褻瀆奧齊頓裡的德萊尼墓穴。,加入隊伍,,,6,33856,0,1,236426,148,0,0,7,8,0,0,0,33857,33998,0,0
149,奧奇奈地穴,探索遠古的奧奇奈地穴，與徘徊不去的德萊尼靈魂戰鬥，並使瘋狂的防禦者獲得平靜。,加入隊伍,,,6,33858,0,1,236411,149,0,0,7,8,0,0,0,33857,33999,0,0
150,逃離敦霍爾德,穿越時光回到希爾斯布萊德丘陵舊址，阻止當時邪惡力量試圖刺殺年少索爾的計畫。,加入隊伍,,,6,33859,0,1,254647,170,0,0,7,8,0,0,0,33861,34000,0,0
151,塞司克大廳,對抗全面掌控塞司克大廳的強大阿拉卡法師。,加入隊伍,,,6,33862,0,1,236435,150,0,0,7,8,0,0,0,33857,34001,0,0
152,麥克納爾,對抗麥克納爾的血精靈，阻止他們解開那魯所隱藏的秘密。,加入隊伍,,,6,33863,0,1,236430,172,0,0,7,8,0,0,0,33864,34002,0,0
153,博學者殿堂,凱爾薩斯‧逐日者已經向燃燒軍團效忠，並撤回到博學者殿堂中。一定要阻止他！,加入隊伍,,,6,33865,0,1,250117,198,0,0,7,8,0,0,0,33868,34003,0,0
154,俄特加德要塞,俄特加德要塞曾被視為一片廢墟，但其古老的大廳再次佈滿了維酷戰士的足跡。,加入隊伍,,,6,33888,0,1,236528,202,0,0,7,8,0,0,0,33889,34004,0,0
