String_lang,ID,Flags
需要$@spellname392356天賦,1063,0
需要$@spellname390378天賦或$@spellname450184天賦,1064,0
需要$@spellname102793天賦,1065,0
需要$@spellname194878天賦,1066,0
需要$@spellname279302天賦,1067,0
需要$@spellname42650天賦,1068,0
需要$@spellname232893天賦,1070,0
需要$@spellname179057天賦,1071,0
需要$@spellname360194天賦,1072,0
需要$@spellname382245天賦,1073,0
需要$@spellname57934天賦,1074,0
需要$@spellname51690天賦,1075,0
需要$@spellname359844天賦,1076,0
需要$@spellname288613天賦,1077,0
需要$@spellname19574天賦,1078,0
需要$@spellname360952天賦,1079,0
需要$@spellname153561天賦,1080,0
需要$@spellname153595天賦,1081,0
需要$@spellname342245天賦,1082,0
需要$@spellname389713天賦,1083,0
需要$@spellname382440天賦,1084,0
需要$@spellname55342天賦,1085,0
需要$@spellname365350天賦,1086,0
需要$@spellname12472天賦,1087,0
需要$@spellname190319天賦,1088,0
需要$@spellname384581天賦,1089,0
需要$@spellname2948天賦,1090,0
需要$@spellname157980天賦,1091,0
需要$@spellname399491天賦,1092,0
需要$@spellname388917天賦,1093,0
需要$@spellname322118天賦或$@spellname325197天賦,1094,0
需要$@spellname123904天賦,1095,0
需要$@spellname457397天賦,1096,0
需要$@spellname451505天賦,1097,0
需要$@spellname388193天賦,1098,0
需要$@spellname322507天賦,1099,0
需要$@spellname123986天賦或$@spellname450391天賦,1100,0
需要$@spellname116841天賦,1101,0
需要$@spellname255937天賦,1102,0
需要$@spellname114165天賦或$@spellname148039天賦,1103,0
需要$@spellname384376天賦,1104,0
需要$@spellname53595天賦或$@spellname204019天賦,1105,0
需要$@spellname387174天賦,1106,0
需要$@spellname375576天賦,1107,0
需要$@spellname6940天賦,1108,0
需要$@spellname190784天賦,1109,0
需要$@spellname10060天賦,1110,0
需要$@spellname280719天賦,1111,0
需要$@spellname33757天賦,1112,0
需要$@spellname382021天賦,1113,0
需要$@spellname60103天賦,1114,0
需要$@spellname5394天賦,1115,0
以物品等級更高的火花重新製作這個物品後，將會永久移除奈幽織寶者增加的插槽。|n|n確定要繼續嗎？,1117,1
需要$@spellname232893天賦和$@spellname198793天賦,1118,0
需要$@spellname373481天賦,1119,0
等級2,1123,0
等級3,1124,0
等級4,1125,0
等級5,1126,0
等級6,1127,0
等級7,1128,0
等級8,1129,0
等級9,1130,0
等級10,1131,0
等級11,1132,0
需要$@spellname199786天賦,1133,0
需要$@spellname454016天賦,1134,0
需要$@spellname200183或$@spellname391387天賦,1135,0
幻象第2週,1136,1
