Name_lang,Description_lang,ID,DisplayIndex,UiCameraID,AltHandUICameraID,ForgeAttachmentOverride,Flags,ArtifactID
原初之流,,68,3,354,0,-1,0,53
黑暗泰坦的傲慢,,69,2,359,0,-1,0,38
古爾丹的回聲,,70,3,360,0,-1,0,38
毀滅者之影,,71,4,362,0,-1,0,38
軍團之懼,,72,6,361,0,-1,1,38
遊俠將軍的護衛,,73,4,933,0,-1,0,55
鳳凰重生,,74,3,722,0,-1,0,55
姊妹情深,,75,2,720,0,-1,0,55
烏鴉守衛,,76,6,721,0,-1,1,55
詛咒之手,,77,2,858,863,-1,0,43
絕心者,,78,3,860,864,-1,0,43
屠法者之刃,,79,4,859,865,-1,0,43
斷骨者,,80,6,861,866,-1,1,43
伊露恩之鐮,,81,1,631,0,-1,0,59
上古之神的擁抱,,82,2,773,957,-1,0,47
墮落之刃,,83,3,774,953,-1,0,47
瘋狂異象,,84,4,776,955,-1,0,47
曲折鏡像,,85,5,775,954,-1,0,47
石爪,,86,2,188,638,-1,0,57
厄索爾的化身,,87,3,188,638,-1,0,57
臣服夢魘,,88,4,188,638,-1,0,57
林地守護者,,89,6,188,638,-1,1,57
奧達奇戰刃,,90,1,753,759,-1,0,60
亞夏曼之牙,,91,1,636,637,-1,0,58
血喉,,92,2,701,0,-1,0,15
骨顎,,93,5,702,0,-1,0,15
噬靈者,,94,3,704,0,-1,0,15
處決者,,95,4,703,0,-1,0,15
霜之哀傷的遺物,,96,2,662,663,-1,0,12
收魂者,,97,5,664,665,-1,0,12
守墓者,,98,4,700,699,-1,0,12
辛德拉苟莎之怒,,99,3,667,666,-1,0,12
饑荒使者,,100,4,658,0,-1,0,16
疫病信使,,101,3,661,0,-1,0,16
穢邪之戰,,102,2,659,0,-1,0,16
亡骨鉤鐮,,103,6,660,0,-1,1,16
伊利達瑞紋章,,104,2,901,902,-1,0,60
恐懼之骨,,105,4,903,904,-1,0,60
驚懼領主之噬,,106,3,905,906,-1,0,60
鋼鐵看守者,,107,6,907,908,-1,1,60
戈德林使者,,108,2,831,0,-1,0,59
月喚,,109,3,832,0,-1,0,59
守日者之擊,,110,6,834,0,-1,1,59
夢魘腐化,,111,4,833,0,-1,0,59
自然之怒,,112,2,636,637,-1,0,58
原始潛獵者,,113,3,636,637,-1,0,58
獸母之魂,,114,5,636,637,-1,0,58
夢魘化身,,115,4,636,637,-1,0,58
泰坦之擊,,116,1,754,0,-1,0,56
鷹眼絕射,,117,2,789,0,-1,0,56
野豬火砲,,118,4,791,0,-1,0,56
伊萊克之雷,,119,3,790,0,-1,0,56
毒蛇之噬,,120,5,792,0,-1,0,56
神鷹重生,,121,2,715,0,-1,0,34
狼王之矛,,122,3,717,0,-1,0,34
毒蛇之擊,,123,4,716,0,-1,0,34
巨熊之韌,,124,6,718,0,-1,1,34
逐日者之傲,,125,2,838,937,-1,0,54
鳳凰重生,,126,3,840,940,-1,0,54
熔岩火刃,,127,4,839,939,-1,0,54
曲時之劍,,128,5,841,941,-1,0,54
"福山之杖
漫行者之伴",,129,1,710,0,-1,0,52
美猴王的重擔,,130,2,711,0,-1,0,52
龍焰之握,,131,4,713,0,-1,0,52
玄牛之心,,132,3,712,0,-1,0,52
迷霧使者,,133,5,714,0,-1,0,52
濛霧響鐘,,134,2,845,0,-1,0,51
不朽龍息,,135,6,846,0,-1,1,51
煞化絕刑,,136,4,847,0,-1,0,51
赤吉之靈,,137,3,848,0,-1,0,51
蒼天之拳,,138,1,629,630,-1,0,50
奧拉基爾之觸,,139,2,691,692,-1,0,50
魂靈之擊,,140,3,694,693,-1,0,50
影潘傳承,,141,4,696,695,-1,0,50
風暴之拳,,142,6,698,697,-1,1,50
墮落看守者之拳,,143,2,785,199,-1,0,48
正義之火,,144,5,788,199,-1,0,48
守墓者,,145,4,786,199,-1,0,48
守護者的審判,,146,3,787,199,-1,0,48
真理之盾,,147,1,756,755,-1,0,49
泰坦之光,,148,2,777,945,-1,0,49
黑暗守衛者,,149,4,780,943,-1,0,49
聖火紋章,,150,5,778,944,-1,0,49
復仇者的壁壘,,151,6,779,946,-1,1,49
聖光之怒,,152,1,705,0,-1,0,46
救贖紋章,,153,2,706,0,-1,0,46
聖典守衛者之杖,,154,6,709,0,-1,1,46
永恆之惕,,155,4,708,0,-1,0,46
聖光之杯,,156,3,707,0,-1,0,46
純淨旌旗,,157,2,950,0,-1,0,45
光之守衛者,,158,3,948,0,-1,0,45
阿古斯的記憶,,159,5,949,0,-1,0,45
虛無之擁,,160,4,951,0,-1,0,45
驚懼雙刀,,161,1,757,758,-1,0,44
海上煞星的承諾,,162,2,868,873,-1,0,44
火吻,,163,3,869,874,-1,0,44
劍士之擊,,164,5,870,875,-1,0,44
惡棍遺言,,165,4,871,876,-1,0,44
風暴守護者,,166,2,880,885,-1,0,40
語地者,,167,3,881,886,-1,0,40
雷加的傳承,,168,5,882,887,-1,0,40
墮落薩滿之拳,,169,4,883,888,-1,0,40
風暴使者,,170,2,632,0,-1,0,41
燃燒軍團的末日,,171,3,633,0,-1,0,41
黑手的命運,,172,4,634,0,-1,0,41
颱風,,173,5,635,0,-1,0,41
深淵權杖,,174,2,801,963,-1,0,42
泰坦後裔,,175,3,802,961,-1,0,42
圖騰使者,,176,4,803,962,-1,0,42
冰封運命,,177,5,804,959,-1,0,42
逆風收割者,,178,1,646,0,-1,0,39
苦難之手,,179,2,647,0,-1,0,39
靈魂虹吸,,180,3,648,0,-1,0,39
命運終結,,181,6,649,0,-1,1,39
死神之手,,182,4,650,0,-1,0,39
曼那瑞之顱,,183,1,760,922,20,0,37
初代召喚師的凝視,,184,2,781,927,20,0,37
深淵領主之傲,,185,3,782,926,20,0,37
燃燒殘怨,,186,4,783,923,20,0,37
遺忘之魂,,187,5,784,925,20,0,37
斯托姆卡，破戰巨劍,,188,1,641,0,-1,0,36
亡者的復仇,,189,2,749,0,-1,0,36
憤怒之刃,,190,4,752,0,-1,0,36
奪焰者,,191,3,750,0,-1,0,36
天空勇者之劍,,192,5,751,0,-1,0,36
華爾拉亞戰劍,,193,1,639,640,-1,0,35
龍騎兵武裝,,194,2,761,765,-1,0,35
風暴吐息,,195,4,764,768,-1,0,35
黑爾雅之視,,196,5,763,767,-1,0,35
勇氣之喉,,197,3,762,766,-1,0,35
野地行者,,200,5,934,0,-1,0,55
月梟之靈,,203,6,636,637,-1,1,58
灰燼使者,,206,1,62,0,-1,0,80
灰燼使者,,207,1,62,0,-1,0,81
灰燼使者,,208,1,62,0,-1,0,80
粼光釣竿,,211,1,818,0,1,0,73
毛卜師之杖,,212,6,825,0,-1,1,4
不死之觸,,213,6,826,0,-1,1,15
黑暗符文刃,,214,6,827,828,-1,1,12
死亡判決,,215,5,829,0,-1,0,16
死亡行者,,216,6,830,932,-1,1,3
幽暗之翼,,217,5,909,910,-1,0,60
法力鐮刀,,218,5,835,0,-1,0,59
灰喉之力,,219,5,188,638,-1,0,57
長夜警醒,,220,5,67,0,-1,0,13
泰坦機弓,,221,6,836,0,-1,1,56
森林守護者,,222,5,837,0,-1,0,34
星辰圖譜,,223,6,842,938,-1,1,54
精英魔導師,,224,5,843,0,-1,0,53
遠古釀酒大師,,225,6,844,0,-1,1,52
寧神之華,,226,5,849,0,-1,0,51
雪怒執法者,,227,5,850,851,-1,0,50
看守者的武裝,,228,6,852,199,-1,1,48
神性保衛者,,229,3,853,942,-1,0,49
腐化的回憶,,230,6,854,0,-1,1,2
昇靈守望,,231,5,855,0,-1,0,46
光育紋章,,232,6,947,0,-1,1,45
恩若司之爪,,233,6,857,956,-1,1,47
幽魂刃,,234,5,862,867,-1,0,43
"雷霆之怒
馭風者的神聖之刃",,235,6,872,877,-1,1,44
毒噬,,236,6,878,879,-1,1,17
阿曼尼的尊榮,,237,6,884,889,-1,1,40
贊達拉勇士,,238,6,890,0,-1,1,41
盤蛇,,239,6,891,960,-1,1,42
罪人脊骨,,240,5,892,0,-1,0,39
薩奇爾的面容,,241,6,893,924,20,1,37
晦暗者的偽裝,,242,5,894,0,-1,0,38
奧金破刃斧,,243,6,895,0,-1,1,36
屠龍者的斬斧,,244,6,896,897,-1,1,35
軍團破壞者,,245,5,898,964,-1,0,11
