Description_lang,StandingModified_lang,StandingChangedText_lang,ID,FactionID,TextureFileID,Flags
月莓女士將你視為%s。,,,368,2447,604882,0
米卡尼寇斯將你視為%s。,,,370,2448,604882,0
女伯爵將你視為%s。,,,371,2449,604882,0
亞歷山卓斯‧莫格萊尼將你視為%s。,,,372,2450,604882,0
狩獵隊長克芮恩將你視為%s。,,,373,2451,604882,0
軍政官阿德雷特斯將你視為%s。,,,375,2452,604882,0
倫德與棍臉認為你是個%s。,,,376,2453,604882,0
丘發將你視為%s。,,,377,2454,604882,0
墓穴守衛者凱希爾將你視為%s。,,,379,2455,604882,0
艾利歐德樹林長將你視為%s。,,,381,2456,604882,0
沃爾大師將你視為%s。,,,382,2457,604882,0
克蕾雅與佩拉苟斯將你視為%s。,,,383,2458,604882,0
西卡將你視為%s。,,,384,2459,604882,0
岩石頭將你視為%s。,,,385,2460,604882,0
瘟疫設計者瑪利雷斯將你視為%s。,,,387,2461,604882,0
你的縫合大師聲望已達到%s。,,,389,2462,604882,8
你的瑪拉茲莫斯聲望已達到%s。,,,390,2463,604882,8
戰隊與暗夜之廷現在為%s。,,,391,2464,604882,8
等級%s,碎形知識提高%d,,392,2469,3762255,24
%s研究,,,393,2472,4191562,16
怒西昂將你的戰隊視為|5%s。,,你的戰隊現在被視為怒西昂的|5%s。,396,2517,604882,0
賽柏利安將你的戰隊視為|5%s。,,你的戰隊現在被視為賽柏利安的|5%s。,397,2518,604882,0
在巨龍群島的工匠聯盟聲望已達到%s。,,,398,2544,604882,0
鈷藍集會的秘法能量等級：%s,鈷藍集會的秘法能量提高。,鈷藍集會的秘法能量等級現在為%s。,400,2550,4191562,0
布莉古爾將你視為%s蝸牛訓練師。,,,408,2568,604882,0
索芮朵蜜將你的戰隊視為|5%s。,,索芮朵蜜現在將你視為|5%s。,411,2553,604882,0
布萊恩‧銅鬚達到%s。,布萊恩‧銅鬚獲得%d點經驗值。,布萊恩‧銅鬚達到%s。,412,2640,604882,1
曾為皇家織絲者的寡婦阿拉克娜依現在以她縝密的眼光關照著她過去的家園。有了能由她自由運用的小織蛛與間諜網路，沒有什麼情報能躲過她的注意。,,你與織絲者的立場現在為%s。,416,2601,5862764,0
阿努巴札爾曾是阿茲-卡罕特裡最為知名的軍事領袖，如今卻被安蘇芮克最為寵信的一名晉升者取代。令他完全無法接受。,,你與將軍的立場現在為%s。,417,2605,5862762,0
執行官尼茲瑞克是安蘇芮克女王最忠誠的諫官，待在這個職位上的他每天都得提心吊膽。所幸，安蘇芮克還尚未發現他窮極了一生的力量，試圖終結她的統治。,,你與輔臣的立場現在為%s。,418,2607,5862763,4
你已晉升至%s級文物管理員。,,你現在為%s級文物管理員。,419,2615,1391545,0
