ID,Name_lang,Description_lang,DescriptionShort_lang,Icon,Order,ChrRacesID
150,建立營地/返回營地,在戶外設置一處友善的營地，之後可以再回來。,設置一處可返回的營地,3193418,1,35
151,專嗅麻煩,降低敵人的第一次攻擊對你造成的傷害。,降低第一次對你造成的傷害,3193419,2,35
152,羊駝鞍袋,你的背包有8個額外的欄位。,你的背包有8個額外的欄位,3193421,3,35
153,火焰抗性,降低受到的火焰傷害。,降低受到的火焰傷害,3193417,4,35
248,卸去凡軀,"身軀消散並幻化成純粹的靈魄，移動速度大幅提高、掉落速度降低，並獲得前進的動能。

在持續時間內，敵人能夠偵測到你的範圍降低。",,298642,0,15
249,神聖鳴響,立刻施放強化過的神聖震擊、復仇之盾或審判，並且可攻擊附近所有目標。,,133706,1,15
250,融合,"使你自己與一名敵人或盟友融合。你無法被敵人指定為目標，但是也無法攻擊或施放法術。

如果敵人跟你同等或比你低等，則可以在持續時間內控制敵人。",,237147,0,16
251,血誓,染血立誓，立刻移除自己身上最有害的效果，並使你的技能造成額外傷害或治療，相當於此技能所耗生命力的量。,,133523,0,16
252,守護形態,化身為靈狐，移動速度提高，並使敵人無視你的存在。,,797544,0,17
253,光之林地,"在目標區域產生一片光之林地，每3秒為你和一名受傷盟友恢復生命力。

對站在光之林地裡的一名敵人施放審判，有一定機率不會觸發冷卻時間。",,135931,0,17
254,暗影之門,遁入暗影，然後出現在目標位置。,,134430,0,18
255,灰暗日落,"汲取聖光，並吸取附近敵人的生命力來治療自己。

吸取至少一名敵人可使你的下一個技能必定造成致命一擊。",,461857,0,18
490,影遁,可潛入暗影中。,可潛入暗影中,132089,0,4
491,迅捷,更不容易被擊中。,更不容易被擊中,132279,1,4
492,幽光之魂,死亡時變成幽光形態，提高移動速度。,提高死亡時的移動速度,136116,2,4
493,自然抗性,對自然傷害有抗性。,對自然傷害有抗性,136094,3,4
494,隱匿,提高潛行時的移動速度。,提高潛行時的移動速度,132280,4,4
495,伊露恩之觸,夜晚時攻擊速度提高，白天時致命一擊機率提高。,夜晚時攻擊速度提高，白天時致命一擊機率提高,135900,5,4
496,逃命專家,可掙脫各種減速效果的影響。,掙脫各種減速效果的影響,132309,0,7
497,遼闊心智,人物資源上限提高，如法力或能量。,人物資源上限提高,132864,1,7
498,秘法抗性,對秘法傷害有抗性。,對秘法傷害有抗性,136116,2,7
499,工程學專精,提高工程學技能。,提高工程學技能,134063,3,7
500,靈機之指,提高攻擊速度。,提高攻擊速度,135641,4,7
501,寶石雕刻,提高珠寶設計技能。,提高珠寶設計技能,135998,0,11
502,那魯的祝福,可持續治療自己或其他人。,可持續治療自己或其他人,135923,1,11
503,英勇風采,提高敏捷、智力和力量。,提高敏捷、智力和力量,133123,2,11
504,暗影抗性,對暗影傷害有抗性。,對暗影傷害有抗性,136152,3,11
505,暗月疾奔,可定期提高移動速度。,可定期提高移動速度,366937,0,22
506,兇惡,提高致命一擊機率。,提高致命一擊機率,132203,1,22
507,變異,對自然與暗影傷害有抗性。,對自然與暗影傷害有抗性,136121,2,22
508,剝皮者,提高剝皮技能和剝皮速度。,提高剝皮技能和剝皮速度,132140,3,22
509,震動掌,只要用手輕輕一碰就能讓敵人沉睡。,用手輕輕一碰就能讓敵人沉睡,572035,0,24
510,內在平靜,充分休息可獲得兩倍的經驗值。,充分休息可獲得兩倍的經驗值,572034,1,24
511,美食主義者,增強充分進食所獲得的增益效果。,增強充分進食所獲得的效果,571692,2,24
512,美食家,提高烹飪技能。,提高烹飪技能,571693,3,24
513,一流彈性,彈性十足，掉落時受到的傷害較低。,降低掉落時受到的傷害,572033,4,24
514,血之烈怒,可進入狂怒狀態以提高傷害。,進入狂怒狀態以提高傷害,135726,0,2
515,堅韌,對昏迷效果有抗性。,對昏迷效果有抗性,133125,1,2
516,命令,提高寵物的傷害。,提高寵物的傷害,132366,2,2
517,戰爭踐踏,可以踐踏並擊昏周圍的敵人。,踐踏並擊昏周圍的敵人,132368,0,6
518,耐力,提高耐力。,耐力提高,136112,1,6
519,栽培,提高草藥學技能和速度。,提高草藥學技能和速度,133938,2,6
520,自然抗性,對自然傷害有抗性。,對自然傷害有抗性,136094,3,6
521,健壯,提高致命一擊的效果。,提高致命一擊的效果,134174,4,6
522,狂暴,狂暴，提高攻擊速度和施法速度。,狂暴，提高攻擊速度和施法速度,135727,0,8
523,再生,提高生命恢復速度。,提高生命恢復速度,136077,1,8
524,野獸殺手,殺死野獸時獲得額外的經驗值。,殺死野獸時獲得額外的經驗值,134357,2,8
525,巫毒勁舞,縮短移動限制效果的持續時間。,縮短移動限制效果的持續時間,134231,3,8
526,秘法親和,提高附魔技能。,提高附魔技能,132876,0,10
527,奧流之術,可恢復人物資源，如法力或能量。,恢復人物資源，如法力或能量,136222,1,10
528,奧流之術,可驅散附近敵人的魔法效果。,驅散附近敵人的魔法效果,136222,2,10
529,秘法抗性,對秘法傷害有抗性。,對秘法傷害有抗性,136120,3,10
530,火箭跳躍,可往前火箭跳躍。,可往前火箭跳躍,370769,0,9
531,火箭彈幕,可以對敵人發射火箭。,對敵人發射火箭,133032,1,9
532,最佳折扣,可在商店獲得折扣。,在商店獲得折扣,369760,2,9
533,攜帶大哥布林,可定期召喚個人銀行。,召喚個人銀行,370211,3,9
534,時間就是金錢,加速提高。,提高加速,369214,4,9
535,化學讓人生更精采,提高鍊金術技能和藥水治療效果。,提高鍊金術技能和藥水治療效果,370670,5,9
606,飛騰/滑翔,用你的翅膀在空中滑翔，從高處飛騰。,用你的翅膀在空中滑翔，從高處飛騰,4622485,0,52
607,急速起飛,利用天空騎術以強化飛騰，並且能更常在空中飛翔。,利用天空騎術以強化飛騰，並且能更常在空中飛翔。,4622483,1,52
608,尾巴揮擊/振翅攻擊,用你的翅膀及尾巴將敵人擊退。,用你的翅膀及尾巴將敵人擊退,4622486,2,52
609,覺醒,精通提高。,精通提高,4622481,3,52
610,銳利眼光,採集時會找到其他稀有材料。,採集時會找到其他稀有材料,4630415,4,52
611,飛騰/滑翔,用你的翅膀在空中滑翔，從高處飛騰。,用你的翅膀在空中滑翔，從高處飛騰,4622485,0,70
612,急速起飛,利用天空騎術以強化飛騰，並且能更常在空中飛翔。,利用天空騎術以強化飛騰，並且能更常在空中飛翔。,4622483,1,70
613,尾巴揮擊/振翅攻擊,用你的翅膀及尾巴將敵人擊退。,用你的翅膀及尾巴將敵人擊退,4622486,2,70
614,覺醒,精通提高。,精通提高,4622481,3,70
615,銳利眼光,採集時會找到其他稀有材料。,採集時會找到其他稀有材料,4630415,4,70
616,艾澤萊晶岩激盪,對敵人造成火焰傷害並治療你的盟友。,對敵人造成火焰傷害並治療盟友,5788297,0,84
617,吞食礦物,食用寶石以進入永久充分進食狀態。,食用寶石以進入充分進食狀態,5788301,1,84
618,極致產能,技法提高，獲得收集到額外材料的機率。,有機率收集到額外材料,5788298,2,84
619,泰坦鑄造框架,提高護甲值。,提高護甲值,5788302,3,84
620,大開眼界,給予提高的探索經驗值。,提高探索經驗值,5788303,4,84
621,艾澤萊晶岩激盪,對敵人造成火焰傷害並治療你的盟友。,對敵人造成火焰傷害並治療你的盟友。,5788297,0,85
622,吞食礦物,食用寶石以進入永久充分進食狀態。,食用寶石以進入充分進食狀態,5788301,1,85
623,極致產能,技法提高，獲得收集到額外材料的機率。,有機率收集到額外材料,5788298,2,85
624,泰坦鑄造框架,提高護甲值。,提高護甲值,5788302,3,85
625,大開眼界,給予提高的探索經驗值。,提高探索經驗值,5788303,4,85
634,安靜沉思,在脫離戰鬥時啟用可恢復生命力和法力。,脫離戰鬥時恢復生命力和法力。,1499566,5,84
635,安靜沉思,在脫離戰鬥時啟用可恢復生命力和法力。,脫離戰鬥時恢復生命力和法力。,1499566,5,85
