Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,ParentCategory,DefaultAuctionHouseFilter,AuctionHouseExtraColumn
肩部,裝等,107,9,189,0,80,99,0,1
披風,裝等,108,9,190,0,90,99,0,1
武器,裝等,109,9,198,0,100,99,0,1
手指,裝等,110,9,197,0,110,99,0,1
腳部,裝等,111,9,196,0,120,99,0,1
腿部,裝等,112,9,195,0,130,99,0,1
腰部,裝等,113,9,194,0,140,99,0,1
消耗品,等級,114,1,0,0,600,0,0,3
梵陀符文,等級,115,1,184,0,10,114,0,3
精煉藥劑與藥瓶,等級,116,1,131,0,20,114,0,3
爆裂物與裝置,等級,117,1,43,0,30,114,0,3
藥水,等級,118,1,44,0,40,114,0,3
藥劑,等級,119,1,45,0,50,114,0,3
食物和飲料,等級,120,1,133,0,60,114,0,3
繃帶,等級,121,1,135,0,70,114,0,3
其他,等級,122,1,136,0,80,114,0,3
雕紋,,123,17,0,0,700,0,0,0
德魯伊,,124,17,161,0,10,123,0,0
術士,,125,17,160,0,20,123,0,0
法師,,126,17,159,0,30,123,0,0
薩滿,,127,17,158,0,40,123,0,0
牧師,,128,17,157,0,50,123,0,0
盜賊,,129,17,156,0,60,123,0,0
獵人,,130,17,155,0,70,123,0,0
聖騎士,,131,17,154,0,80,123,0,0
死亡騎士,,132,17,162,0,90,123,0,0
武僧,,133,17,177,0,100,123,0,0
戰士,,134,17,153,0,110,123,0,0
惡魔獵人,,135,17,183,0,120,123,0,0
商品,,136,8,0,0,800,0,0,0
布料,,137,8,137,0,10,136,0,0
皮革,,138,8,138,0,20,136,0,0
金屬與石頭,,139,8,139,0,30,136,0,0
烹飪,,140,8,140,0,40,136,0,0
草藥,,141,8,141,0,50,136,0,0
附魔,,142,8,148,0,50,136,0,0
銘文,,143,8,185,0,60,136,0,0
珠寶設計,,144,8,115,0,70,136,0,0
零件,,145,8,38,0,80,136,0,0
元素,,146,8,142,0,90,136,0,0
額外材料,,147,8,327,0,100,136,0,0
其他,,148,8,143,0,120,136,0,0
配方,技能,149,10,0,0,900,0,0,4
銘文,技能,150,10,168,0,10,149,0,4
裁縫,技能,151,10,42,0,20,149,0,4
製皮,技能,152,10,41,0,30,149,0,4
珠寶設計,技能,153,10,106,0,40,149,0,4
鍊金術,技能,154,10,102,0,50,149,0,4
鍛造,技能,155,10,100,0,60,149,0,4
工程學,技能,156,10,99,0,70,149,0,4
附魔,技能,157,10,104,0,80,149,0,4
烹飪,技能,158,10,101,0,90,149,0,4
急救,技能,159,10,103,0,100,149,0,4
釣魚,技能,160,10,105,0,110,149,0,4
書籍,技能,161,10,40,0,120,149,0,4
戰寵,等級,162,18,0,0,1000,0,0,3
寵物夥伴,等級,163,16,145,0,1000,162,0,3
任務物品,,164,13,0,0,1100,0,0,0
雜項,,165,16,0,0,1200,0,0,0
垃圾,,166,16,52,0,10,165,0,0
施法材料,,167,16,144,0,20,165,0,0
節慶用品,,168,16,146,0,30,165,0,0
其他,,169,16,147,0,40,165,0,0
坐騎,,170,16,152,0,50,165,0,0
坐騎裝備,,171,16,326,0,60,165,0,0
專業技能裝備,裝等,172,145,0,0,950,0,0,1
銘文學,裝等,173,145,341,0,10,172,0,1
裁縫,裝等,174,145,335,0,20,172,0,1
製皮,裝等,175,145,330,0,30,172,0,1
珠寶設計,裝等,176,145,340,0,40,172,0,1
鍊金術,裝等,177,145,331,0,50,172,0,1
鍛造,裝等,178,145,329,0,60,172,0,1
工程學,裝等,179,145,336,0,70,172,0,1
附魔,裝等,180,145,337,0,80,172,0,1
烹飪,裝等,181,145,333,0,120,172,0,1
釣魚,裝等,182,145,338,0,130,172,0,1
工具,裝等,183,145,341,29,10,173,0,1
飾品,裝等,184,145,341,30,20,173,0,1
工具,裝等,185,145,340,29,10,176,0,1
飾品,裝等,186,145,340,30,20,176,0,1
飾品,裝等,187,145,335,30,20,174,0,1
工具,裝等,188,145,335,29,10,174,0,1
工具,裝等,189,145,330,29,10,175,0,1
飾品,裝等,190,145,330,30,20,175,0,1
工具,裝等,191,145,331,29,10,177,0,1
飾品,裝等,192,145,331,30,20,177,0,1
工具,裝等,193,145,329,29,10,178,0,1
飾品,裝等,194,145,329,30,20,178,0,1
工具,裝等,195,145,336,29,10,179,0,1
飾品,裝等,196,145,336,30,20,179,0,1
工具,裝等,197,145,337,29,10,180,0,1
飾品,裝等,198,145,337,30,20,180,0,1
工具,裝等,199,145,333,29,10,181,0,1
飾品,裝等,200,145,333,30,20,181,0,1
工具,裝等,201,145,338,29,10,182,0,1
飾品,裝等,202,145,338,30,20,182,0,1
採礦,裝等,203,145,334,0,90,172,0,1
草藥學,裝等,204,145,332,0,100,172,0,1
剝皮,裝等,205,145,339,0,110,172,0,1
飾品,裝等,206,145,334,30,20,203,0,1
工具,裝等,207,145,334,29,10,203,0,1
飾品,裝等,208,145,332,30,20,204,0,1
工具,裝等,209,145,332,29,10,204,0,1
飾品,裝等,210,145,339,30,20,205,0,1
工具,裝等,211,145,339,29,10,205,0,1
頸部,裝等,212,9,188,0,45,99,0,0
材料袋,欄位,215,2,344,0,15,76,0,2
最後加工材料,,217,8,343,0,110,136,0,0
