Field_11_0_0_54935_000_lang,ID,Field_11_0_0_54935_002,GossipXUIDisplayInfoID
|cnWHITE_FONT_COLOR:傳送器震顫|r|n協助多話的工程師修復他的傳送網路。,18,122389,50
|cnWHITE_FONT_COLOR:失蹤的豬|r|n農夫的豬在洞穴中失蹤了，需要把牠找回來。,19,122332,58
|cnWHITE_FONT_COLOR:大尋寶|r|n迪奈爾大廚將舉辦一場尋寶活動。,20,122333,58
|cnWHITE_FONT_COLOR:NYI|r|n,21,122334,58
|cnWHITE_FONT_COLOR:蘑菇佳餚|r|n阿里雅‧西爾海姆需要有人幫她從一隻難纏的怪物手中奪回蘑菇。,22,122335,58
|cnWHITE_FONT_COLOR:被擒的工程師|r|n狗頭人已經佔領了水力發電壩，並綁架了在裡頭工作的工程師。,23,122395,52
|cnWHITE_FONT_COLOR:信任問題|r|n協助一名狗頭人與機語者取回水力發電壩中的寶藏。,24,122396,52
|cnWHITE_FONT_COLOR:重踏氣味|r|n機語者需要有人幫忙測試某個裝置，來取回遭竊的材料。,25,122397,52
|cnWHITE_FONT_COLOR:NYI|r|n,26,122399,52
|cnWHITE_FONT_COLOR:幻象救援|r|n拯救遭寇拜斯綁架的阿拉索。,27,122400,53
|cnWHITE_FONT_COLOR:NYI|r|n,28,122401,53
|cnWHITE_FONT_COLOR:瑞恩的險招|r|n瑞恩‧唐卡瓦莉爾正找人幫忙奪回遭寇拜斯偷走的文物。,29,122402,53
|cnWHITE_FONT_COLOR:潛伏恐獸|r|n寇拜斯正試著掌控世界深處的恐怖事物。,30,122403,53
|cnWHITE_FONT_COLOR:哥布林惡作劇|r|n調查塔克-瑞桑深淵中的哥布林勢力。,31,122404,54
|cnWHITE_FONT_COLOR:被綁架的鼴鼠人|r|n許多鼴鼠人被寇拜斯綁架了！,32,122406,54
|cnWHITE_FONT_COLOR:費洛蒙之怒|r|n寇拜斯偷走了好幾箱費洛蒙，好用來伏擊織絲者的盟友。,33,122407,54
|cnWHITE_FONT_COLOR:NYI|r|n,34,122408,54
|cnWHITE_FONT_COLOR:被綁架的土靈|r|n奈幽蟲族從芙林村裡綁架了礦工！,35,122341,56
|cnWHITE_FONT_COLOR:珍貴礦石|r|n協助衰弱的土靈來來對奈幽蟲族發動反擊。,36,122372,56
|cnWHITE_FONT_COLOR:熾熱大地|r|n協助一名受困的燈火者擊退奈幽蟲族的威脅。,37,122373,56
|cnWHITE_FONT_COLOR:尋找寶藏|r|n黑鐵矮人會不惜一切代價尋找寶藏。,38,122374,56
|cnWHITE_FONT_COLOR:遺失的寶石|r|n奈幽蟲族偷走了一箱記憶寶石！,39,122409,63
|cnWHITE_FONT_COLOR:猛擊斯卡汀|r|n奈幽蟲族利用斯卡汀綁架了機語者！,40,122410,63
|cnWHITE_FONT_COLOR:綁架狗頭人|r|n一對友善的狗頭人需要有人幫忙拯救困在奈幽蟲族手中的朋友。,41,122411,63
|cnWHITE_FONT_COLOR:NYI|r|n,42,122412,63
|cnWHITE_FONT_COLOR:古老儀式|r|n燈火者需要有人協助阻止禁忌神殿深處中進行的奈幽儀式。,43,122413,64
|cnWHITE_FONT_COLOR:雷尼拉什的召喚|r|n黑夜教團入侵了奔蛛裂層，而他們認為這裡是召喚雷尼拉什的關鍵要地。,44,122414,64
|cnWHITE_FONT_COLOR:NYI|r|n,45,122415,64
|cnWHITE_FONT_COLOR:暗影國度|r|n奔蛛裂層裡異常地安靜，不過其中竟然有個詭異的傳送門。,46,122416,64
|cnWHITE_FONT_COLOR:遭折磨的人質|r|n艾澤拉斯各處抓來的人質都被送到迴繞地道裡進行折磨。,47,122417,57
|cnWHITE_FONT_COLOR:來自織絲者的愛|r|n織絲者有個能阻止迴繞地道裡的行動的計畫。,48,122418,57
|cnWHITE_FONT_COLOR:詭異干擾|r|n迴繞地道裡的奈幽蟲族的行為好像變得很奇怪。,49,122419,57
|cnWHITE_FONT_COLOR:NYI|r|n,50,122420,57
|cnWHITE_FONT_COLOR:澤克維爾的力量|r|n先驅之手澤克維爾在此佔地為家。只有最為強大的勇者才夠格挑戰他的力量。,52,34450,61
|cnWHITE_FONT_COLOR:失蹤的挖掘者|r|n挖掘該區域的哥布林並未歸來回報。,53,129109,65
|cnWHITE_FONT_COLOR:黑血利潤|r|n一個哥布林正在試圖利用這片區域的黑血來製造一些利潤。,54,129110,65
|cnWHITE_FONT_COLOR:喧鬧裂隙|r|n9號挖掘場各地出現了數道奇怪的裂口。,55,129111,65
|cnWHITE_FONT_COLOR:閃亮的玩意兒|r|n暗融偷走了市民的黃金，並利用其活化一個元素生物！,60,130367,66
|cnWHITE_FONT_COLOR:探究者先生|r|n數名哥布林技師在後街水閘內失蹤。,61,130368,66
|cnWHITE_FONT_COLOR:傳送器之亂|r|n實驗型傳送器被用來加強暗融在這片區域的行動。,62,130369,66
|cnWHITE_FONT_COLOR:迷宮原型|r|n探索錯綜複雜的洞穴，裡面充滿奈幽蟲族、蘑菇人等各種鬼東西。,63,34450,67
|cnWHITE_FONT_COLOR:傳奇演出|r|n幽坑霸主最為知名的，就是在門票銷售一空的爆鬥場賽事中摧毀他的對手。,64,34450,68
|cnWHITE_FONT_COLOR:腐化蠟燭|r|n暗融哥布林正在洗劫克里格瓦之眠。幫助狗頭人恢復秩序。,65,133756,51
|cnWHITE_FONT_COLOR:火爆行動|r|n一場地精鑽鑿行動正在這裡進行中，但暗融哥布林卻現身搗亂。,67,133769,50
|cnWHITE_FONT_COLOR:蟲滿為患|r|n幫助滅蟲小隊解決嚴重的蟲害。,68,133773,56
|cnWHITE_FONT_COLOR:抄起扳手來！|r|n哥布林將所有老問題都解決了…同時也製造出了一大堆新麻煩！,69,133774,52
|cnWHITE_FONT_COLOR:暗融干擾|r|n暗融哥布林正在設立營地。阻止他們的計畫！,70,133778,63
|cnWHITE_FONT_COLOR:古神的聖物|r|n加里維克斯的暴徒受到古神聖物的控制，在狀況變得更糟之前擺平這件事！,71,133782,64
|cnWHITE_FONT_COLOR:志在扯平|r|n幫助尼姆西解決他和黑夜教團的恩怨。,73,133783,59
|cnWHITE_FONT_COLOR:孤兒的假期|r|n幫助艾莉莎‧弓焰繼續對寇拜斯展開她的嗜血復仇。,75,133786,53
|cnWHITE_FONT_COLOR:第三方行動|r|n幫助苟雅女士不讓寶貴的黑血落入加里維克斯的手中。,76,133788,60
|cnWHITE_FONT_COLOR:泵浦制動|r|n幫助帕姆西和團隊破壞加里維克斯的泵浦作業。,77,133792,54
|cnWHITE_FONT_COLOR:挫挫銳氣|r|n利用奈幽蟲族火力來放倒哥布林機甲。,78,133850,57
|cnWHITE_FONT_COLOR:取回聖物|r|n協助取回以太族從蒼藍高地掠奪的神器。,79,136927,69
|cnWHITE_FONT_COLOR:暗影之翼|r|n救援被入侵的以太族注入虛無的藍龍。,80,136928,69
|cnWHITE_FONT_COLOR:以牙還牙|r|n使用以太族自己的基礎設施擊退他們。,81,136929,69
|cnWHITE_FONT_COLOR:料理災難|r|n一名哥布林廚師想要利用區域內的潛在資源。,82,137352,65
|cnWHITE_FONT_COLOR:鱷魚放生|r|n將幽坑城下水道的鱷魚放回牠們的自然棲地，協助保護這個物種。,83,137516,66
|cnWHITE_FONT_COLOR:騎士任務|r|n狗頭人騎士包圍住一隻兇猛的野獸，需要協助追蹤到牠的巢穴。,84,137714,65
|cnWHITE_FONT_COLOR:拆彈|r|n「安全地」棄置堆在下水道中的不穩定爆裂物。,85,138372,66
|cnWHITE_FONT_COLOR:暗箭難防|r|n奇維扎只歡迎最值得、最魯莽的目標到她家。,86,34450,70
|cnWHITE_FONT_COLOR:入侵之光|r|n清除滋長的光綻，別讓它在校園內蔓延！,87,144950,71
|cnWHITE_FONT_COLOR:被圍攻的學院|r|n終結虛無入侵，別讓它蔓延校園之外！,88,144951,71
|cnWHITE_FONT_COLOR:恐懼教授|r|n揭開假教授的真面目，終結暮光之刃對於學生身體的影響。,89,144952,71
|cnWHITE_FONT_COLOR:堅守陣線|r|n在虛無展開一波新攻勢的同時，協助重建太陽之井的防衛。,92,144941,72
|cnWHITE_FONT_COLOR:秘法兵團行軍|r|n部署哨兵，對抗吞噬之眾的虛無水晶塔。,93,144942,72
|cnWHITE_FONT_COLOR:轟炸任務|r|n使用強力的秘法炸彈摧毀吞噬之眾在虛無之中的軍事要塞。,94,144943,72
|cnWHITE_FONT_COLOR:腐蝕碎擊|r|n烏拉特克的軟泥薩滿正在召喚軟泥怪，並釋放陣陣毒液波浪。快阻止他們！,95,151764,72
|cnWHITE_FONT_COLOR:鱷魚放生|r|n將幽坑城下水道的鱷魚放回牠們的自然棲地，協助保護這個物種。,96,5793,72
|cnWHITE_FONT_COLOR:殘虐腐柄|r|n激怒粉絲和戰鬥員，同時偽裝成你另一個殘暴的人格。,102,143768,74
|cnWHITE_FONT_COLOR:競技場勇士|r|n經過一輪又一輪的奮戰，最終挑戰衛冕的勇士。,103,143769,74
|cnWHITE_FONT_COLOR:光綻入侵|r|n幫助蘑菇人擊退光綻的入侵。,104,143770,74
|cnWHITE_FONT_COLOR:進入『帷幕市集』塔札維許！|r|n|n在帷幕市集殺出一條血路，阻止索利亞獲取力量。,107,92044,75
|cnWHITE_FONT_COLOR:圖騰殲滅|r|n摧毀邪枝部族用來將阿奇爾森囚禁於聖壇的詛咒圖騰。,108,144947,76
|cnWHITE_FONT_COLOR:儀式中斷|r|n阻止邪枝食人妖的獻祭儀式，拯救靈爪幼獸。,109,144948,76
|cnWHITE_FONT_COLOR:蟾蜍災難|r|n擊敗邪枝部族，破除將阿曼尼食人妖化為青蛙的妖術。,110,144949,76
|cnWHITE_FONT_COLOR:劇毒煙霧|r|n清除阿塔阿曼的毒霧。,111,158705,76
|cnWHITE_FONT_COLOR:鱷魚放生|r|n將幽坑城下水道的鱷魚放回牠們的自然棲地，協助保護這個物種。,112,5793,76
|cnWHITE_FONT_COLOR:派對破壞者|r|n阻止暮光之刃和虛無接觸。,113,144935,77
|cnWHITE_FONT_COLOR:受困！|r|n救出墓穴中受遺忘的人質。,114,144936,77
|cnWHITE_FONT_COLOR:獲釋的羅亞|r|n從邪枝食人妖的枷鎖救出一個暴怒的羅亞。,115,144937,77
|cnWHITE_FONT_COLOR:為什麼一定得是蛇？|r|n幫助哈里遜‧瓊斯在這些滿是毒蛇的墓穴中尋找失落的聖物。,116,151156,77
|cnWHITE_FONT_COLOR:鱷魚放生|r|n將幽坑城下水道的鱷魚放回牠們的自然棲地，協助保護這個物種。,117,5793,77
|cnWHITE_FONT_COLOR:甬道之門騙局|r|n重建寶庫的甬道之門網絡。瓦解其中的以太族部隊！,118,138779,69
|cnWHITE_FONT_COLOR:麻煩的核心|r|n收集所需的充能核心來破除多曼納爾對於聖所的控制。,124,144944,79
|cnWHITE_FONT_COLOR:重力效應|r|n在對抗多曼納爾的過程中，使用微型奇異點的重力牽引來獲取優勢。,125,144945,79
|cnWHITE_FONT_COLOR:非我所望|r|n解決德瑞米斯‧暮行進行光綻實驗所引起的混亂。,126,144946,79
|cnWHITE_FONT_COLOR:傳送器之亂|r|n實驗型傳送器被用來加強暗融在這片區域的行動。,127,5793,79
|cnWHITE_FONT_COLOR:鱷魚放生|r|n將幽坑城下水道的鱷魚放回牠們的自然棲地，協助保護這個物種。,128,5793,79
|cnWHITE_FONT_COLOR:支配與絕望|r|n努萊厄斯等待著勇者或愚者前來挑戰他的支配領域。,134,34450,81
|cnWHITE_FONT_COLOR:失竊的法力|r|n影衛不分敵我地吸取法力，為他們的機器供應能量。,135,144524,73
|cnWHITE_FONT_COLOR:被捕獲的野生動物|r|n讓虛無風暴的野生動物去對付影衛，干擾他們的行動。,136,144526,73
|cnWHITE_FONT_COLOR:結果：災難|r|n中斷影衛對不穩定虛無的實驗。,137,144528,73
|cnWHITE_FONT_COLOR:叛徒的死期|r|n中斷暮光之刃的暗影儀式，並且制裁安諾里恩。,139,144779,78
|cnWHITE_FONT_COLOR:哈拉尼爾進入地底|r|n重走哈拉尼爾跟隨艾澤拉斯之歌前往哈朗達的旅程。,140,144783,80
|cnWHITE_FONT_COLOR:聚焦器受到壓制|r|n暮光之刃入侵了蘇拉瑪爾下方的隧道，並干擾其中的地脈。,141,144938,83
|cnWHITE_FONT_COLOR:地脈技師|r|n在蘇拉瑪爾地下解開肉眼不可見的秘法流動能量。,142,144939,83
|cnWHITE_FONT_COLOR:強化巨魔|r|n暮光之刃釋放了自己都掌控不了的力量，而這些秘法能量就這樣在蘇拉瑪爾地下的通道裡流竄。,143,144940,83
|cnWHITE_FONT_COLOR:艾恩蛾點心|r|n給飢餓的艾恩蛾餵食新鮮的光綻增生物， 並防止它們不受控制地增生。,149,144931,80
|cnWHITE_FONT_COLOR:孢龍快遞|r|n巨大的孢龍在回憶裂口傳播具有爆炸性的光綻孢子，必須有人阻止它們。,150,144932,80
|cnWHITE_FONT_COLOR:暗影補給品|r|n「釋出」暮光之刃攢來的補給品，免得他們重新恢復武裝和捲土重來。,151,144933,78
|cnWHITE_FONT_COLOR:鏡光閃閃|r|n蓋比‧閃客有個計畫，試圖透過反射陽光來驅逐區域裡的暗影。,152,144934,78
|cnWHITE_FONT_COLOR:真菌猛藥|r|n將烏拉特克之子從牠們的地穴中消滅，並淨化牠們的毒液。,153,151355,74
|cnWHITE_FONT_COLOR:學術解毒劑|r|n收集解毒劑並拯救中毒的居民！,154,152313,71
|cnWHITE_FONT_COLOR:潛入與改進|r|n破壞一項計畫以召喚烏拉特克本尊。,155,152588,78
|cnWHITE_FONT_COLOR:腐化之路|r|n毀信者葛洛克只能看到一條前進道路。以虛無腐化一切，任由混亂掌控。,156,34450,85
|cnWHITE_FONT_COLOR:來自海洋的攻擊|r|n瑟連弗嘉認為她的族人可以趁著局勢動盪，乘勢崛起。而且利用前盟友的力量，她很可能成功。,157,34450,86
|cnWHITE_FONT_COLOR:零碎古物|r|n納爾丁劫掠者俘虜了許多來不及逃跑的托爾托長者。請幫忙營救他們，並取回任何在納爾丁悉心照料下倖存的物資。,162,154191,88
|cnWHITE_FONT_COLOR:米奇的骨頭冒險|r|n被啃食過的骨頭堆或許會讓大多數人敬而遠之，但對米奇和他的帽子來說，這可是絕對不能錯過的學習機會！,163,154190,88
|cnWHITE_FONT_COLOR:說他們的語言|r|n幫助托爾托人傳遞連納爾丁也能理解的訊息。,164,154189,88
|cnWHITE_FONT_COLOR:名稱|r|n描述,165,5793,88
|cnWHITE_FONT_COLOR:開張之夜|r|n在競技場中與挑戰者和勇士們正面對決來尋求榮耀。,166,154202,89
|cnWHITE_FONT_COLOR:遊戲日|r|n頭骨足球，這項競技場史上最熱門、且暴力到不行的運動，正如火如荼進行中！,167,154201,89
|cnWHITE_FONT_COLOR:領養馬拉松|r|n在這場你見過最可愛的有組織謀殺秀中，可愛的動物寶寶需要被圍捕，而競爭對手則需要被消滅。,168,154200,89
|cnWHITE_FONT_COLOR:名稱|r|n描述,169,5793,89
|cnWHITE_FONT_COLOR:毒液之心|r|n強大的毒液祭司阿茲塔瑞正從他的巢穴中散布毒液，淹沒整個海島。,170,34450,90
"|cnWHITE_FONT_COLOR:衛爾|r|n叛變的虛無勢力在一個遙遠、凍結的世界建立了充滿黑暗力量的壁壘。|r|n
踏入衛爾受盡風暴摧殘的荒原，終結他們惡毒的陰謀吧。",173,34450,93
"|cnWHITE_FONT_COLOR:奈格塔|r|n傳說中的赫哈達以太族在這個遍布神秘蕈菇的世界，建立了法力熔爐基地。
|r|n踏入奈格塔充滿法力的沼地，終結他們陰險的計畫吧。",174,34450,94
浪縛岩窟在阿塔烏特克的波濤之下。這是一個被變幻莫測的潮汐所籠罩的淹沒洞穴。,177,49081,97
|cnWHITE_FONT_COLOR:石化蜥蜴閃擊戰|r|n在他們逃跑之前，摧毀特別強力的盤蛇巨怪。,179,158765,73
|cnWHITE_FONT_COLOR:爆蛋生長|r|n烏拉特克之子攻破了地道，開始在裡頭築巢了。趁一整群新的怪物孵化前摧毀牠們的蛋！,199,160623,83
