Description_lang,Title_lang,ID,ScenarioID,CriteriatreeID,RewardQuestID,RelatedStep,Supersedes,OrderIndex,Flags,VisibilityPlayerConditionID,WidgetSetID
擊敗四個遠古魔古神器的守護者。,奪取神器,173,68,22737,0,0,0,3,0,0,0
[PH] Defeat the three masters.,[PH] Defeat Masters,174,70,0,0,0,0,0,0,0,0
殺出一條血路，進入已被摧毀的塞拉摩中心。,進入廢墟,175,71,27452,0,0,0,2,0,0,0
殺了聯盟船長並在所有船上安置火藥桶。,前往水岸!,179,72,22975,0,0,0,0,0,0,0
通知爆破專家火星塞你的成功。,爆破專家,180,72,22989,0,0,0,1,0,0,0
殺死巴德拉克和他的獅鷲獸。,獅鷲獸墜落,181,72,22977,0,0,0,2,0,0,0
摧毀大貝紗，並且破壞任何無人駕駛的坦克。,消失吧，坦克!,182,72,22980,0,0,0,3,0,0,0
殺死海瑞克‧伊文凱恩，然後在據點城塞救出塔倫‧織歌者。,飛吧，間諜!,183,72,22986,0,0,0,4,0,0,0
破壞西門的攻城器械，並且取回失竊的軍旗。,破壞毀滅者,185,71,27457,0,0,0,4,0,0,0
保護珍娜，讓她能和聚源虹膜的魔法進行同化。,背水一戰,186,71,27460,0,0,0,5,0,0,0
保護船隻不被進攻的部落所傷。,歡迎來到塞拉摩,193,71,27242,0,0,0,0,0,0,0
擊敗攻擊綠石道場的怪物。,拯救道場,194,40,21061,0,0,0,1,0,0,0
消滅港口裡的部落成員。,掃蕩港口,210,71,27256,0,0,0,1,0,0,0
淨化煞對生命之池的污染。,生命之池,211,39,27197,0,0,0,1,0,0,0
到法力炸彈的坑口尋找珍娜。,普勞德摩爾女士,217,71,27467,0,0,0,3,0,0,0
找到學者舒業。,博學行者的命運,224,68,27622,0,0,0,0,0,0,0
尋找薩烏洛克洞穴的入口。,我們策騎奔馳!,367,179,30884,0,0,0,1,0,0,0
打敗看守洞穴的薩烏洛克。,守衛!,368,179,30568,0,0,0,2,0,0,0
找出薩烏洛克的來源。,源頭,369,179,30948,0,0,0,4,0,0,0
打敗育主諾許。,育主,370,179,30570,0,0,0,5,0,0,0
擊退柯爾克隆的突襲。,突襲!,371,179,30572,0,0,0,7,0,0,0
摧毀然後進入堡壘。,潛入遠古堡壘,372,180,30566,0,0,0,0,0,0,0
在泰坦傀儡被施放之前拿走越多寶物越好。,偷盜得利,373,180,0,0,0,0,1,0,0,0
對贊斐斯島發動攻擊。,襲擊贊斐斯,374,181,30957,0,0,0,0,0,0,0
摧毀音波控制哨塔並關閉贊斐斯防護盾。,贊斐斯的防禦,375,181,30959,0,0,0,1,0,0,0
攻擊沙灘並抵達贊斐斯之心。,贊斐斯之心,376,181,30966,0,0,0,2,0,0,0
擊敗海格曼上將。,打敗上將!,377,182,30733,0,0,0,3,0,0,0
保護船隻!打敗部落登船小隊。,登船小隊!,378,182,30721,0,0,0,0,0,0,0
在部落船隻上安置炸藥來摧毀它!,炸成碎片!,379,182,30723,0,0,0,2,0,0,0
與沃金交談來開始尋找薩烏洛克洞穴。,任務...,382,179,30886,0,0,0,0,0,0,0
進入洞穴的更深處。,進入洞穴,383,179,30939,0,0,0,3,0,0,0
調查魔古雕像。,調查,384,179,30950,0,0,0,6,0,0,0
加入達金‧風鬚。,飛行管理員,386,184,31196,0,0,0,0,0,0,0
打敗指揮官泰弗瑞克並取回螳螂人武器貯藏箱。,贊斐斯的武器,387,181,30964,0,0,0,3,0,0,0
幫助兩組苦力建立他們的防衛力量。,防守準備,398,183,30997,0,0,0,0,0,0,0
閃避守衛進入暗影聖堂。,進入黑暗神廟,408,200,31008,0,0,0,0,0,0,0
尋找黑穫議會的蹤跡。,尋找議會存在的跡象,409,200,31010,0,0,0,1,0,0,0
與阿卡瑪一起前往失落靈魂神殿。,跟著阿卡瑪前往失落靈魂神殿,410,200,31012,0,0,0,2,0,0,0
打敗指揮官疤口並收復紅鶴寺。,殺了指揮官疤口,412,183,31192,0,0,0,1,0,0,0
調查失落靈魂神殿。,揭發議會的計畫,413,200,31019,0,0,0,3,0,0,0
取得黑穫議會留下的靈魂水晶。,打敗秩序精華,414,200,31017,0,0,0,4,0,0,0
擊退聖匣所釋放的惡魔，接著回去苦痛大廳找阿卡瑪。,逃離失落靈魂神殿,415,200,31021,0,0,0,5,0,0,0
在時間結束前盡可能搜括寶物。,劫掠凡慾邪窟,416,200,31023,0,0,0,6,0,0,0
帶著強能靈魂之核前往神廟頂層。,前往神廟頂層,417,200,31034,0,0,0,7,0,0,0
奮戰穿越碼頭去找泰勒上將。,死亡碼頭,419,184,31202,0,0,0,1,0,0,0
打敗攻擊要塞的部落軍隊。,收復中庭!,420,184,31283,0,0,0,2,0,0,0
從軍情七處小隊那裡收集資訊。,跑腿,423,184,31296,0,0,0,4,0,0,0
保衛要塞抵抗源源不絕的部落入侵者與他們的指揮官。,守住陣線!,424,184,31291,0,0,0,6,0,0,0
對贊斐斯島發動攻擊。,襲擊贊斐斯,430,203,31227,0,0,0,0,0,0,0
摧毀音波控制哨塔並關閉贊斐斯防護盾。,贊斐斯的防禦,431,203,31229,0,0,0,1,0,0,0
攻擊沙灘並抵達贊斐斯之心。,贊斐斯之心,432,203,31233,0,0,0,2,0,0,0
打敗指揮官泰弗瑞克並取回螳螂人武器貯藏箱。,贊斐斯的武器,433,203,31236,0,0,0,3,0,0,0
找到大元帥塔文布萊德並幫忙擊退入侵的部落。,大元帥,434,184,31288,0,0,0,3,0,0,0
準備好蘇利的武器，等著保衛要塞!,做好準備,435,184,31300,0,0,0,5,0,0,0
加入克隆莎。,飛行管理員,436,201,31475,0,0,0,0,0,0,0
一路奮戰，穿過燃燒的精煉廠去找納茲格寧姆將軍。,A.C.E.部隊來襲,437,201,31477,0,0,0,1,0,0,0
打敗攻擊要塞的聯盟軍隊。,收復中庭!,438,201,31479,0,0,0,2,0,0,0
找到督軍血柄並幫忙擊退入侵的聯盟。,督軍,439,201,31483,0,0,0,3,0,0,0
收集關於聯盟和部落軍隊的相關資訊。,跑腿,440,201,31486,0,0,0,4,0,0,0
準備好理弗特的武器，等著保衛要塞!,做好準備,441,201,31490,0,0,0,5,0,0,0
保衛要塞抵抗源源不絕的聯盟入侵者與他們的指揮官。,守住陣線!,442,201,31494,0,0,0,6,0,0,0
騎乘雷翅翼手龍從空中偵察狂濤港。,混入其中,443,205,31682,0,0,0,0,0,0,0
把煙霧彈扔在崗哨圖騰上來癱瘓它們。,煙霧之途,444,205,31684,0,0,0,1,0,0,0
打暈陶氏標記的船員並潛行到船頭的攻城武器旁。,風暴中的陰影,445,205,31686,0,0,0,2,0,0,0
潛過船塢，並往上前進到『門將』胡聖那裡。,保持安靜,446,205,31689,0,0,0,4,0,0,0
殺死『門將』胡聖並取得他的鑰匙。,照亮夜晚,447,205,31691,0,0,0,5,0,0,0
騎上奪日者血鷹並與斥候隊長艾爾西雅飛往島嶼。,和斥候隊長艾爾西雅會合,448,206,31670,0,0,0,0,0,0,0
,撐過敵人的埋伏,449,206,31672,0,0,0,1,0,0,0
,摧毀路障,450,206,31674,0,0,0,2,0,0,0
,殺死『撕裂者』克雷什,451,206,31676,0,0,0,3,0,0,0
,殺死秘宗圖拉切與他的靈魂面具,452,206,31679,0,0,0,4,0,0,0
騎上你的雷翅翼手龍!,動身...,453,207,31693,0,0,0,0,0,0,0
贊達拉看見你了!擊敗敵人!,攔截!,454,207,31695,0,0,0,1,0,0,0
霍拉奇將你從坐騎上擊落!打敗他!,馴服馴獸者,455,207,31697,0,0,0,2,0,0,0
與你的影潘聯絡人陶氏碰面。,進入礦坑,456,207,31830,0,0,0,3,0,0,0
在陶氏替礦坑大門開鎖時掩護她，並擊敗奴隸主夏許。,掩護我!,458,207,31703,0,0,0,5,0,0,0
與盟友們一起攻擊染血路口。,染血路口,460,208,31844,0,0,0,0,0,0,0
擊敗衫布的魔古和贊達拉防衛者。,雷神之足,465,208,31718,0,0,0,2,0,0,0
擊敗宮殿守門人來打開門鎖。,擊敗守門人,472,208,31710,0,0,0,1,0,0,0
尋找強力炸藥。,尋找遺失的炸藥,473,204,31833,0,0,0,0,0,0,0
點燃強力炸藥的引信。,引爆炸藥,474,204,31839,0,0,0,2,0,0,0
,殺死戰神阿裘卡拉,475,204,31837,0,0,0,3,0,0,0
尋找強力炸藥。,尋找遺失的炸藥,476,209,31746,0,0,0,0,0,0,0
點燃強力炸藥的引信。,引爆炸藥,477,209,31768,0,0,0,2,0,0,0
,殺死戰神阿裘卡拉,478,209,31804,0,0,0,3,0,0,0
跟在城牆外的艾爾西雅交談。,遞送炸藥,479,209,31765,0,0,0,1,0,0,0
跟在城牆外的凡蕾莎交談。,遞送炸藥,480,204,31835,0,0,0,1,0,0,0
協助塔蘭‧祝和雅里亞擊敗衫布。,擊敗衫布,482,208,31723,0,0,0,3,0,0,0
到甲板下刺殺哈魯寇船長。,刺殺任務,483,205,31806,0,0,0,3,0,0,0
在怒西昂替雷霆熔爐充能時保護他。,充能中,484,211,31810,0,0,0,2,0,0,0
在星穹鐵匠打造閃電長槍時保護他。,偵測到腐化,485,211,31812,0,0,0,4,0,0,0
擊敗襲擊雷霆熔爐的煞的融合體。,腐化現身,486,211,31814,0,0,0,5,0,0,0
想辦法前往礦坑大門。,你的礦就是我的礦!,487,207,31841,0,0,0,4,0,0,0
與怒西昂交談以想出啟動雷霆熔爐的方法。,與怒西昂交談,490,211,31856,0,0,0,0,0,0,0
把強能靈魂之核放在惡魔靈魂井中，並擊敗坎瑞薩德。,擊敗坎瑞薩德,491,200,31858,0,0,0,8,0,0,0
把延齡石倒進模子裡並開始替雷霆熔爐充能。,由延齡石打造而成,492,211,31923,0,0,0,1,0,0,0
騎上白銀誓盟角鷹獸並與遊俠將軍凡蕾莎‧風行者飛往島嶼。,和遊俠將軍凡蕾莎‧風行者會合,493,212,31925,0,0,0,0,0,0,0
,撐過敵人的埋伏,494,212,31928,0,0,0,1,0,0,0
,摧毀路障,495,212,31930,0,0,0,2,0,0,0
,殺死安奇及喚獸者帕古它許,496,212,31932,0,0,0,3,0,0,0
,殺死秘宗瑪拉卡與他的靈魂面具,497,212,31934,0,0,0,4,0,0,0
使用守門者寶珠來打開染血路口的門。,逃脫,498,205,31937,0,0,0,6,0,0,0
你只有有限的時間盡可能地收集寶藏。等你準備好開始時，跟陶氏說話。,與陶氏說話,508,215,31993,0,0,0,0,0,0,0
與怒西昂交談來啟動雷霆熔爐,進入熔爐,509,211,32142,0,0,0,3,0,0,0
盡可能地收集寶藏然後在時間結束前抵達出口。,抵達出口,510,215,32158,0,0,0,1,0,0,0
與格里斯‧輪滑交談。,與工頭交談,511,216,32592,0,0,0,0,0,0,0
攻入主室，並阻止綁架事件。,滲透,514,219,32524,0,0,0,0,0,0,0
調查主室。,偵察,515,219,32588,0,0,0,1,0,0,0
幫助提克爾製造裝置來打開下一道門。,上鎖的門,516,219,32589,0,0,0,2,0,0,0
當派奇建立逃脫路徑時保護哥布林戰隊。,抵抗,533,219,32590,0,0,0,3,0,0,0
消滅在繁花挖掘場肆虐的巨型元素。,研磨石頭,535,216,32594,0,0,0,1,0,0,0
在等待輪滑的工人清除礦坑入口時，幫忙輪滑收集文物。,經濟復甦,536,216,32596,0,0,0,2,0,0,0
深入繁花礦坑並轟開一面牆。,礦坑終點,537,216,32598,0,0,0,3,0,0,0
消滅亞煞拉懼的分身。,心碎,538,216,32637,0,0,0,4,0,0,0
聯絡閃光嶺上面的黑鐵巡山人，然後找到辦法阻止風暴。,巡山人,539,210,32623,0,0,0,0,0,0,0
從食人妖的烤肉鐵叉解救斥候石鬚。,解救斥候石鬚,540,210,32644,0,0,0,1,0,0,0
殺死要把斥候勇釀煮來吃的食人妖。,解救斥候勇釀,541,210,32648,0,0,0,2,0,0,0
殺死要把斥候鍛扈當成祭品的食人妖。,解救斥候鍛扈,542,210,32650,0,0,0,3,0,0,0
殺死冰穴裡的元素之靈來停止這場暴風雪。,冰穴,543,210,32652,0,0,0,4,0,0,0
加入茉艾拉的部隊，殺死贊達拉領袖，然後佔領霜鬃村。,不勝即亡,544,210,32654,0,0,0,5,0,0,0
從敵方爆破專家那邊偷取炸藥。,取得炸藥,545,182,32657,0,0,0,1,0,0,0
和羅通交談以開始試煉。,選擇一項試煉,550,237,33998,0,0,0,0,0,0,0
完成額外目標來獲得額外獎勵。,獎勵目標,551,210,32743,32898,0,0,6,3,0,0
保護船隻!打敗聯盟登船小隊。,登船小隊!,556,239,32774,0,0,0,0,0,0,0
從敵方爆破專家那邊偷取炸藥。,取得炸藥,557,239,32776,0,0,0,1,0,0,0
在聯盟船隻上安置炸藥來摧毀它!,炸成碎片!,558,239,32778,0,0,0,2,0,0,0
擊敗霍森上將。,打敗上將!,559,239,32781,0,0,0,3,0,0,0
完成額外目標來獲得額外獎勵。,獎勵目標,560,182,32791,32898,0,0,4,3,0,0
完成所有額外目標來獲得額外獎勵。,獎勵目標,561,219,32799,32898,0,0,4,3,0,0
完成額外目標來獲得額外獎勵。,獎勵目標,565,65,32818,32898,0,0,3,3,0,0
完成額外目標來獲得額外獎勵。,獎勵目標,566,39,32821,32898,0,0,4,3,0,0
完成額外目標來獲得額外獎勵。,獎勵目標,567,216,32831,32898,0,0,5,3,0,0
完成額外目標來獲得額外獎勵。,獎勵目標,580,239,162971,32898,559,0,4,3,0,0
步驟1說明。,步驟1,587,247,32959,0,0,0,0,0,0,0
步驟2說明。,步驟2,593,247,32961,0,0,0,1,0,0,0
步驟3說明。,步驟3,594,247,32963,0,0,0,2,0,0,0
步驟4說明。,步驟4,595,247,32965,0,0,0,3,0,0,0
步驟5說明。,步驟5,596,247,32967,0,0,0,4,0,0,0
步驟6說明。,步驟6,597,247,32969,0,0,0,5,0,0,0
試煉即將開始。,做好準備...,598,248,32993,0,0,0,0,0,0,0
,試煉場,599,248,33951,0,0,0,1,0,0,0
,步驟2,607,254,0,0,0,0,2,0,0,0
,步驟1,608,254,0,0,0,0,1,0,0,0
消滅擾亂玄牛寺的魔物。,無魂之生者,615,256,33244,0,0,0,0,0,0,0
階段0,測試階段0,616,254,0,0,0,0,0,0,0,0
,步驟3,617,254,0,0,0,0,3,0,0,0
,步驟4,618,254,0,0,0,0,4,0,0,0
結束！,步驟5,619,254,0,0,0,0,5,0,0,0
在寵物對戰中擊敗三名潘達利亞之傑。,潘達利亞之傑,620,257,33302,0,0,0,0,0,0,0
在寵物對戰中擊敗每一名聖獸天尊。,天尊之戰,621,257,33331,0,0,0,1,0,0,0
讓登門的客人就座並送上餐點。別讓5名以上的客人還沒用餐就離開。,湯麵時刻,637,269,33600,0,0,0,1,0,0,0
學會如何經營拉麵攤。,教學導覽,647,269,33924,0,0,0,0,0,0,0
招呼與服務上門的客人。別讓還沒用餐就離開的客人超過5名。,湯麵時刻,652,278,33926,0,0,0,0,0,0,0
"獲得至少30,000點分數",獎勵目標:金牌挑戰,653,278,33928,0,0,0,1,3,0,0
殺光葛羅瑪的獸人。,葛羅瑪掃蕩行動,654,275,33985,0,0,0,2,0,0,0
殺死『戰矛大師』歐若克。,葛羅瑪大門,655,275,33994,0,0,0,1,0,0,0
在剃刀沼澤的野豬人城市中擊敗亡首野豬人勢力。,剃刀沼澤,680,294,34480,0,0,0,0,0,0,0
在蒸汽動力用完之前盡量採礦！,收集資源,718,318,0,0,0,0,0,0,0,0
殺死古拉魯克，海軍基地的機械工人。,古拉魯克,721,320,34857,0,0,0,2,0,0,0
殺死斯通納德守衛。,全部殺光,725,322,34859,0,0,0,0,0,0,0
送出事件 36841,步驟2,726,322,34861,0,0,0,1,0,0,0
送出事件 36841,步驟3,727,322,34863,0,0,0,2,0,0,0
阻止血之谷薩滿復活佛莫的骷髏。,阻止儀式,728,323,34871,0,0,0,0,0,0,0
護送索爾，直到他進入內室。,靈魂大軍,729,323,34875,0,0,0,1,0,0,0
正面迎戰基爾羅格‧亡眼並阻止黑暗儀式。,基爾羅格‧亡眼,730,323,34877,0,0,0,2,0,0,0
殺死瑪格歐克。,殺死瑪格歐克,731,324,34882,0,0,0,8,0,0,0
清光碼頭來的剩餘獸人，殺死指揮官沃爾卡。,天降大火,732,275,34884,0,0,0,3,0,0,0
殺死房內的敵人以熄滅符文。,熄滅符文,736,329,34898,0,0,0,0,0,0,0
抵擋鋼鐵部落的攻勢，守住霜火峰。,守住隘口,737,324,34904,0,0,0,1,0,0,0
摧毀鋼鐵集束砲。,鋼鐵集束砲,738,324,34906,0,0,0,2,0,0,0
抵擋鋼鐵部落的攻勢，守住霜火峰。,良好的防禦,739,324,34908,0,0,0,3,0,0,0
在鋼鐵部落的攻擊之下保護德雷克塔爾。,保護德雷克塔爾,740,324,34910,0,0,0,4,0,0,0
抵擋鋼鐵部落的攻勢，守住霜火峰。,鋼鐵雷霆王,741,324,34912,0,0,0,5,0,0,0
擊敗瑪格林‧風臂。,瑪格林‧風臂,742,324,34914,0,0,0,6,0,0,0
抵擋鋼鐵部落的攻勢，守住霜火峰。,最終防禦,743,324,34916,0,0,0,7,0,0,0
和杜洛坦交談。,大戰將至,745,324,34921,0,0,0,0,0,0,0
在大法師卡德加的帶領之下，聯盟的軍隊已經準備好進行撒塔斯的戰役。,做好準備,747,331,34944,0,0,0,0,0,0,0
用鋼鐵之星清出通到港邊的路。,盟友參戰,748,331,34946,0,0,0,2,0,0,0
鋼鐵部落已經集結在碼頭。保護卡德加，讓他能夠專心準備清理港灣的法術。,鋼鐵港灣,752,331,34954,0,0,0,3,0,0,0
鋼鐵部落的傳說武器就在港灣裡。拿下那艘旗艦，你的盟友會協助排除想阻礙你的黑手氏族。,傳說武器,753,331,34956,0,0,0,4,0,0,0
與復仇者瑪銳德交談。,卡拉的選擇,754,275,34959,0,0,0,0,0,0,0
和杜洛坦交談。,和杜洛坦交談。,755,320,34985,0,0,0,0,0,0,0
護衛你的小隊前往北方的機械室,前往機械室,756,320,34983,0,0,0,1,0,0,0
前往補給站。,前往補給站,757,320,34987,0,0,0,3,0,0,0
使用火藥桶抵擋鋼鐵部落獸人的攻擊並存活下來。,在鋼鐵部落的突襲中存活,758,320,34989,0,0,0,4,0,0,0
前往中央碼頭並登上弒浪者駁船。,前往中央碼頭,759,320,34991,0,0,0,5,0,0,0
和羅科交談，他會將你發射到弒浪者駁船上。,登上駁船。,761,320,34995,0,0,0,6,0,0,0
摧毀弒浪者駁船。,摧毀弒浪者駁船,762,320,34997,0,0,0,7,0,0,0
擊敗黑澗深淵的首領,黑澗深淵,765,333,35169,35929,0,0,0,0,0,0
擊敗朵米娜,獎勵目標,773,333,35183,35930,0,0,1,1,0,0
擊敗佔據了黑石塔上層的鋼鐵戰線部隊。,黑石塔上層,796,329,35686,35963,0,0,1,0,0,0
殺了5個敵人,5的獎勵,833,323,35365,0,0,0,3,1,0,0
殺了10個敵人,10的獎勵,834,323,35367,0,0,0,4,1,0,0
擊敗擎天峰頂的魯克馬爾擁護者,擎天峰,835,423,35369,0,0,0,0,0,0,0
擊敗營運熔渣礦場的血槌奴隸商人。,血槌熔渣礦場,837,425,35389,0,0,0,0,0,0,0
破壞鋼鐵部落的海軍部隊。,鋼鐵碼頭,838,426,35393,0,0,0,0,0,0,0
根除奧齊頓裡的腐化勢力。,奧齊頓,839,427,35397,0,0,0,0,0,0,0
擊敗耐祖奧的影月教徒,影月墓地,840,428,35401,0,0,0,0,0,0,0
阻止恐軌列車運送致命的武器。,恐軌車站,841,429,35405,0,0,0,0,0,0,0
調查永茂林的祈倫托哨站。,永茂林,842,430,35409,0,0,0,0,0,0,0
擊敗佔據了黑石塔上層的鋼鐵戰線部隊。,黑石塔上層,844,432,35413,0,0,0,0,0,0,0
殺至後門並擊敗『燃燒者』阿諾克。,擊敗『燃燒者』阿諾克,861,449,35587,0,0,0,0,0,0,0
一路殺進卡拉伯爾港,在卡拉伯爾港與伊芮爾碰面,862,449,35589,0,0,0,1,0,0,0
在卡拉完全強化之前保護它。,保護卡拉不受入侵敵軍的威脅,863,449,35591,0,0,0,2,0,0,0
跟隨預言者費倫。,揭露異象,864,450,35613,0,0,0,0,0,0,0
見證指揮官沃爾卡的到來。,指揮官沃爾卡,865,450,35615,0,0,0,2,0,0,0
擊敗克魯爾。,敵方猛攻,866,450,35628,0,0,0,1,0,0,0
在卡拉伯爾階梯與預言者費倫交談。,最終防禦,868,450,35631,0,0,0,3,0,0,0
阻止卡拉伯爾轟炸！,殺死指揮官沃爾卡！,873,449,35704,0,0,0,3,0,0,0
擊敗征服者寇烏爾,獎勵目標,884,333,35745,35930,0,0,2,1,0,0
擊敗深淵守護者,獎勵目標,885,333,35747,35930,0,0,3,1,0,0
在黑鐵部落旗艦上擊敗黑手。,黑手,895,331,36023,0,0,0,5,0,0,0
撐過戈倫的攻擊。,堅持到底,914,499,36131,0,0,0,2,0,0,0
擊敗古羅。,就在眼前,915,499,36133,35914,0,0,5,0,0,0
擊敗戈倫的伏擊,伏擊,920,499,36137,0,0,0,1,0,0,0
跟隨士官,入侵！,928,499,36157,0,0,0,0,0,0,0
和復仇者伊芮爾交談，開始聯盟對葛羅瑪夏的進攻。,開始攻擊,929,508,37446,0,0,0,0,0,0,0
戰歌氏族的力量來自於他們的狼騎兵，只要從側翼攻擊狼王就能瓦解戰歌氏族的力量核心。,擊敗狼王,930,508,36375,0,0,0,2,0,0,0
鋼鐵部落中雷霆王氏族的成員奴役了有巨大力量的古羅，『飢餓者』唐恩。殺了他。,殺死『飢餓者』唐恩,931,508,36377,0,0,0,4,0,0,0
你和復仇者伊芮爾的時機來了，迎戰卡爾洛斯‧地獄吼。,迎戰卡爾洛斯‧地獄吼酋長,932,508,36379,0,0,0,6,0,0,0
和杜洛坦交談，開始部落對葛羅瑪夏的進攻。,開始攻擊,933,509,37448,0,0,0,0,0,0,0
戰歌氏族的力量來自於他們的狼騎兵，只要從側翼攻擊狼王就能瓦解戰歌氏族的力量核心。,擊敗狼王,934,509,36381,0,0,0,2,0,0,0
鋼鐵部落中雷霆王氏族的成員奴役了有巨大力量的古羅，『飢餓者』唐恩。殺了他。,殺死『飢餓者』唐恩,935,509,36383,0,0,0,4,0,0,0
你和杜洛坦的時機來了，迎戰卡爾洛斯‧地獄吼。,迎戰卡爾洛斯‧地獄吼酋長,936,509,36385,0,0,0,6,0,0,0
返回城鎮中心。,歇息備戰,937,499,36202,0,0,0,4,0,0,0
擊敗監獄的犯人,監獄,938,510,36222,35288,0,0,0,0,0,0
擊敗怒焰裂谷的首領。,怒焰裂谷,939,511,36226,35287,0,0,0,0,0,0
擊敗哀嚎洞穴的敵人,納拉雷克斯侍徒,940,515,36231,0,0,0,0,0,0,0
擊敗克雷什,獎勵目標,941,515,36264,35307,0,0,2,1,0,0
擊敗影牙城堡的首領。,影牙城堡,942,516,36250,35304,0,0,0,0,0,0
在影牙城堡裡面擊敗席瓦萊恩男爵。,獎勵目標：擊敗席瓦萊恩男爵,946,516,36260,35305,0,0,1,1,0,0
在影牙城堡內擊敗指揮官斯普林瓦爾。,獎勵目標：指揮官斯普林瓦爾,947,516,36262,35305,0,0,2,1,0,0
當繆幽執行喚醒儀式時保護他,納拉雷克斯侍徒,948,515,36257,35303,0,0,1,0,0,0
擊敗斯卡姆,獎勵目標,949,515,36266,35307,0,0,3,1,0,0
擊敗影牙城堡的首領。,影牙城堡,956,523,36268,35309,0,0,0,0,0,0
在影牙城堡裡面擊敗席瓦萊恩男爵。,獎勵目標：擊敗席瓦萊恩男爵,957,523,36272,35311,0,0,1,1,0,0
在影牙城堡內擊敗指揮官斯普林瓦爾。,獎勵目標：指揮官斯普林瓦爾,958,523,36274,35311,0,0,2,1,0,0
擊敗圍攻怒兆寺的首領。,圍攻怒兆寺,959,524,36276,35312,0,0,0,0,0,0
擊敗圍攻怒兆寺的首領。,圍攻怒兆寺,960,525,36278,35461,0,0,0,0,0,0
擊敗落陽關的首領,落陽關,961,526,36280,35315,0,0,0,0,0,0
擊敗落陽關的首領,落陽關,962,527,36285,35316,0,0,0,0,0,0
擊敗魔古山宮的首領。,魔古山宮,963,528,36290,35318,0,0,0,0,0,0
擊敗影潘僧院的首領。,影潘僧院,966,531,36292,35319,0,0,0,0,0,0
擊敗影潘僧院的首領。,影潘僧院,970,535,36297,35320,0,0,0,0,0,0
