ID,NameSubtext_lang,Description_lang,AuraDescription_lang
136,,"在$d內為寵物治療其總生命力的$<total>%。$?s343242[

每次治療寵物對寵物進行治療時，都有$343242s2%的機率驅散寵物身上的一個有害魔法效果。][]","每$t1秒為寵物治療其生命力的$w1%。$?s343242[
每次治療寵物對寵物進行治療時，你都有$343242s2%的機率驅散寵物身上的一個有害魔法效果。][]"
139,,讓目標充滿對聖光的信念，在$d內恢復$o1點生命力。,每$t1秒治療$w1點生命力。
172,,腐蝕目標，造成$s3點暗影傷害，同時$?a196103[每$146739t1秒造成$146739s1點暗影傷害。][在$146739d內額外造成$146739o1點暗影傷害。],
184,,為盟友施加火焰之盾，每$t1秒對施法者附近的敵人造成火焰傷害，持續$d。,每$t1秒對附近敵人造成火焰傷害。
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
227,,,
228,等級2,將敵人變成一隻雞，使其不能施法，傷害能力降低$s3%，最多持續$d。,不能施法，傷害能力降低$s3%。
246,,使敵人的移動速度降低$s2%，攻擊速度降低$s1%，持續$d。,"移動速度降低$s2%。
攻擊速度降低$s1%。"
261,,,
264,,,
265,,轟殺半徑30碼範圍內的所有敵人。簡直作弊。,
266,,,
269,,,
339,,"將目標固定在原地，持續$d。任何傷害都有可能取消此效果。$?s33891[

|C0033AA11生命之樹：瞬發法術|R][]",被定身。$?<$w2>0>[每$t2秒受到$w2點自然傷害。][]
348,,"灼燒敵人，立即造成$s1點火焰傷害，並在$157736d內額外造成$157736o1點火焰傷害。

|cFFFFFFFF週期性傷害會產生1塊靈魂裂片碎塊，並且有$s2%機率於致命一擊時再額外產生一塊。|r",
355,,嘲諷目標攻擊你。,被嘲諷。
370,,"淨化敵方目標，移除$m1個增益魔法效果。$?(s147762&s51530)
[成功淨化一個目標可使你獲得一層氣漩武器效果。][]",
379,,$@spelldesc974,
408,,"擊昏目標的終結技$?a426588[，並製造暗影複製體，擊昏附近的所有其他敵人][]。根據連擊點數的數量決定效果持續時間，最多可至$s2秒：
   1點：${$m2-4}秒
   2點：${$s2-3}秒
   3點：${$s2-2}秒
   4點：${$s2-1}秒
   5點：$s2秒",昏迷。
427,,傳送至修道院!!!,
428,,,
430,,在$d內恢復總計${$m2/5*18}點法力。喝飲料時必須保持坐姿。,每秒恢復${$m2/5}點法力。
431,,在$d內恢復總計${$m2/5*21}點法力。喝飲料時必須保持坐姿。,每秒恢復${$m2/5}點法力。
432,,在$d內恢復總計${$m2/5*24}點法力。喝飲料時必須保持坐姿。,每秒恢復${$m2/5}點法力。
433,,在$d內恢復總計${$m1*18/5}點生命力，進食時必須保持坐姿。,每秒恢復${$m1/5}點生命力。
434,,在$d內恢復總計${$s1*$d/5}點生命力，進食時必須保持坐姿。,每秒恢復$/5;s1點生命力。
435,,在$d內恢復總計${$s1*$d/5}點生命力，進食時必須保持坐姿。,每秒恢復$/5;s1點生命力。
436,,恢復$s1點法力。,
437,,恢復$s1點法力。,
438,,恢復$s1點法力。,
439,,恢復$s1點生命力。,
440,,恢復$s1點生命力。,
441,,恢復$s1點生命力。,
442,,傳送至北郡修道院!!!,
443,,傳送至兵營!!!,
444,,傳送至燈塔!!!,
445,,傳送至夜色鎮!!!,
446,,傳送至陵墓!!!,
447,,傳送至樹人!!!,
453,,安撫目標範圍內的敵人，使其開始攻擊你的範圍減少$s1碼。只對人形生物和龍類目標有效，持續$d。,降低目標開始攻擊你的範圍。
458,,召喚或解散一匹可供騎乘的棕馬。,$?j1g[地面速度提高$j1g%。][]$?j1f[飛行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
459,,召喚或解散一隻可供騎乘的灰狼。,$?j1g[地面速度提高$j1g%。][]$?j1f[飛行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
465,,$a1碼範圍內的隊伍與團隊成員受到虔誠的激勵，使其受到的傷害降低$s1%。,受到的傷害降低$w1%。
467,,使友方目標身上環繞著荊棘，對任何命中被保護者的敵人造成$?s33876[${$M1+($AP*.168)}][${($M1+($SP*.168))*$<mult>}]點自然傷害。$?s84840[由仇恨增益所獲得的攻擊強度不會提高荊棘術的傷害。][]持續$d。,對攻擊者造成$w1點自然傷害。
468,,召喚或解散一匹可供騎乘的白馬。,$?j1g[地面速度提高$j1g%。][]$?j1f[飛行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
470,,召喚或解散一匹可供騎乘的黑馬。,$?j1g[地面速度提高$j1g%。][]$?j1f[飛行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
471,,召喚或解散一匹可供騎乘的褐色馬。,$?j1g[地面速度提高$j1g%。][]$?j1f[飛行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
472,,召喚或解散一匹可供騎乘的雜色馬。,$?j1g[地面速度提高$j1g%。][]$?j1f[飛行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
475,,移除一名友方目標身上的所有詛咒。$?s115700[移除詛咒時可使你造成的傷害額外提高$115701s1%，持續$115701d。][],
483,,,
498,,你受到的所有傷害降低$s1%，持續$d。可在昏迷時使用。,"受到的傷害降低$w1%。$?a469439[

受到的治療效果提高$w2%。][]"
512,等級2,在敵人周圍形成冰封的鏈條，將目標鎖定在原地，持續$d。,被定身在原地。
514,,,
518,,從安其拉的深處召喚范克里斯的爪牙。,
522,,,
527,,驅散目標身上的有害效果，移除所有魔法$?s390632[與疾病][]效果。,
528,,驅散魔法可移除敵方目標身上$m1個增益魔法效果。,
530,,,
546,,使友方目標可以在水面上行走，持續$d。受到傷害會解除水上行走效果。,可以在水上行走。
550,等級1,目標對毒素免疫，並且治癒所有當前中毒狀態，持續$d。,免疫毒藥。
556,,令你穿越扭曲虛空，回到$z。與不同地區的旅店老闆談話可以改變你家所在的位置。,
568,,對$a1碼範圍內的所有敵人造成$s1點秘法傷害，使其移動速度降低$s3%並擊退目標。,移動速度降低$s3%。
578,,召喚或解散一隻可供騎乘的黑狼。,$?j1g[地面速度提高$j1g%。][]$?j1f[飛行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
579,,召喚或解散一隻可供騎乘的赤狼。,$?j1g[地面速度提高$j1g%。][]$?j1f[飛行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
580,,召喚或解散一隻可供騎乘的森林狼。,$?j1g[地面速度提高$j1g%。][]$?j1f[飛行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
581,,召喚或解散一隻可供騎乘的冬狼。,$?j1g[地面速度提高$j1g%。][]$?j1f[飛行速度提高$j1f%。][]$?j1s[游泳速度提高$j1s%。][]
585,,懲擊一名敵人，造成$s1點神聖傷害$?s231682[，並吸收該敵人後續造成的$<shield>點傷害]?s231687[，有$231687s1%的機率重置神聖之火的冷卻時間][]。,
586,,消隱，暫時移除你的威脅值並且縮短敵人對你的攻擊距離，持續$d。,"降低威脅值。縮短敵人對你的攻擊距離。$?e3
[
受到的傷害降低$s4%。][]"
589,,"黑暗的咒語，立即造成$?a390707[${$s1*(1+$390707s1/100)}][$s1]點暗影傷害，接著在$d內額外造成$?a390707[${$o2*(1+$390707s1/100)}][$o2]點暗影傷害。$?s137033[

|cFFFFFFFF產生${$m3/100}點瘋狂。|r][]",每$t2秒承受$w2點暗影傷害。
596,,一道強大的禱言，治療目標及$A2碼內${$s3-1}位受傷的盟友$s2點生命力。,
603,,"對目標施加末日逼近，立刻造成$s2點暗影傷害，並在$d後，對$453567a1碼內的敵人造成$453567s1點暗影傷害。超過$s1個目標時，傷害降低。

消耗魔能之核會使末日的持續時間縮短$s3秒。",末日將至，即將劇烈爆炸，對$453567a1碼內的敵人造成$453567s1點暗影傷害。
605,,控制心智等級最多超過你1級的目標，持續$d。無法對惡魔$?A320889[][、不死生物]或機械生物使用。會與其他困惑效果共用遞減效應。,受控於$@auracaster。
606,等級1,從目標身上吸取$o1點法力，持續$d。,吸取法力，每5秒$s1點。
633,,"治療一個友方目標，為其恢復相當於你生命力上限$s2%的生命力。$?a387791[

使目標的護甲值提高$387792s1%，持續$387792d。][]

無法使用在有自律效果的目標身上。產生自律效果，持續$25771d。",
642,,"使你對所有傷害和有害效果、擊退和強制移動效果免疫，持續$d。$?a204077[嘲諷15碼範圍內的所有目標。][]

你有自律效果時無法使用。產生自律效果，持續$25771d。",對所有攻擊和有害效果免疫。
668,,,
669,,,
670,,,
671,,,
672,,,
673,,提高$m1點護甲值，持續$d。守護藥劑。,提高$w1點護甲值。守護藥劑。
674,被動,可以在副手上裝備單手或副手武器。,
686,,"對敵人射出一支暗影箭，造成$s1點暗影傷害。$?c2[

|cFFFFFFFF產生1枚靈魂裂片。|r][]",
688,召喚,召喚一隻小鬼為你效力，會施放遠程火焰箭。,
691,召喚,召喚一頭惡魔獵犬供你驅使，可以干擾敵人施法。,
697,召喚,召喚一隻虛無行者為你效力，可以承受沉重的攻擊。,
698,,開啟一個製造召喚傳送門的儀式。需要施法者與2名盟友以完成儀式。此傳送門可以用來召喚隊伍和團隊成員。,
700,等級1,使敵人進入睡眠狀態，最多持續$d。任何對目標造成傷害的行為都會喚醒它。同一時間內只能使一名目標進入睡眠狀態。對等級$ctrmax2067以上的目標可能無效。,沉睡。
702,,"使敵人兩次攻擊之間的間隔時間提高$s1%，持續$d。$?s103112[

|CFFE55BB0靈魂炙燃：你的虛弱詛咒將影響目標附近$104222A碼內的所有敵人。|R][]

|cFF8282FF詛咒：同一時間術士只能詛咒一名目標。|r",攻擊時間間隔延長$w1%。$?e1[造成致命一擊的機率降低$w2%。][]
703,,"猛勒敵人的脖子，在$d內造成$o1點流血傷害。$?a196861[在潛行下使用時，使目標沉默$1330d。][]

|cFFFFFFFF獎勵$s3個連擊點數。|r",每$t1秒受到$w1點傷害。
710,,放逐一個敵方惡魔、變異怪$?s386651[、不死生物][]或元素生物，使其無法行動，持續$d。同一時間最多影響1個目標。再次對目標施放放逐時會取消此效果。,不會受到傷害，但也無法行動。
712,召喚,召喚一隻魅魔為你效力，會誘惑人形生物，使其無法攻擊。,
720,,不屈的范克里斯的蟲穴會將目標拉至附近小異種蟲的行徑上，使其被定身$d。,被定身。
731,,不屈的范克里斯的蟲穴會將目標拉至附近小異種蟲的行徑上，使其被定身$d。,被定身。
740,,"在$d內治療$a2碼範圍內所有盟友$<healing>點生命力。每次治療都會額外在$157982d內治療目標$157982o2點生命力，此效果可堆疊。

超過$s3個目標時，治療效果降低。",治療$a1碼內的所有盟友，每$t1秒可恢復$157982s1點生命力。
742,,,
744,,每$t1秒對敵人造成自然傷害，持續$d。,每$t1秒造成自然傷害。
745,,對一名敵人施放絲網使其無法移動，持續$d。,無法移動。
746,等級1,在$d內恢復$o1點生命力。,每秒治療$w1點傷害。
747,,召喚$s1個施法者的複製體。,
750,,使你可以裝備鎧甲物品。,
755,,犧牲你生命力上限的${$m3*$d/$t1}%，在$d內以雙倍效果治療你所召喚的惡魔。,正在轉移生命力。
759,,"召喚一顆法力寶石，使用後立刻恢復$5405s1%的法力，並且使法術傷害提高$384280s1%，持續$384280d。最多有$s2次使用次數。

$@spellname118812
$@spelldesc118812",
768,變身,"變身成獵豹形態，自動攻擊傷害提高$s4%，移動速度提高$113636s1%，獲得免疫變形術的能力，且降低掉落傷害。

變身可解除你身上的移動限制效果。","自動攻擊的傷害提高$w4%。
對變形效果免疫。
移動速度提高$113636s1%，並降低掉落傷害。"
772,,"使目標受傷，立刻造成$s1點物理傷害，並在$388539d內額外造成$388539o1點流血傷害。$?s6343[

|cFFFFFFFF雷霆一擊會對附近$6343s5個目標附加撕裂。
][]",每$t2秒因流血而受到$w2點傷害。
774,,"在$d內為目標恢復$o1點生命力。$?s155675[

你可以對相同目標使用兩次回春術。][]$?s33891[

|C0033AA11生命之樹：治療效果提高$5420s5%，法力消耗降低$5420s4%。|R][]",每$t1秒治療$w1點生命。
781,,往後跳躍$?s109215[，移除移動限制效果，並使你的移動速度提高$118922s1%，持續$118922d][]$?s109298[，同時啟動一個黏網陷阱，將$115928A1碼內的所有目標都困在黏網裡無法移動，持續$136634d][]。,
783,變身,"根據你身處地點變身為適當的旅行形態，提高陸上、水中或空中的移動速度，同時使你對變形效果免疫。

變身可以解除你身上的移動限制效果。$?a159456[

在非戰鬥期間，陸地移動速度提高。此效果不適用於戰場與競技場。][]",對變形效果免疫。移動速度提高。
785,,受到預言者斯克拉姆能量的感召，感化目標並使其充滿神聖的能量。在此期間，目標的法術變成瞬發、傷害提高$s2%、所有抗性提高$2313s2點，並且移動速度提高$2313s3%，持續$d。,"被魅惑。
傷害提高$s2%。
所有法術成為瞬發法術。
所有抗性提高$2313s2點。
移動速度提高$2313s3%。"
799,,,
800,,,
802,,提高附近一個甲蟲的生命力和傷害力。,"生命力提高$s1%。
傷害提高$s3%。"
804,,灌注一隻甲蟲能量，使其在$t1秒後爆炸。,準備爆炸。
806,,提高$s1點力量，但是每$m2秒對你造成$s2點傷害，持續$d。,力量提高，但是受到持續的傷害。
812,,週期性的施放法力燃燒。,週期性的施放法力燃燒。
813,,,
814,,,
815,,,
816,,,
817,,,
818,,點起一堆營火，使附近的冒險者們的臨機應變提高$7353s1點，並可以在營火旁烹飪。,
822,種族特長，被動,使受到的秘法傷害降低$s1%。,
823,,,
824,被動,,
825,被動,,
826,被動,,
827,,提高$s1點坐騎速度。,
828,被動,,
829,,,
830,,,
831,,,
833,,立即恢復$s1點生命力，並在$d內恢復$o2點法力。飲用時必須保持坐姿。,每秒恢復$/5;s2點法力。
835,,使目標昏迷$d。使用在等級$ctrmax2067以上的目標有隨等級而提高的失敗機率。,昏迷。
836,,,
845,,攻擊你面前的所有敵人，造成$s1點物理傷害，並施以重傷。順劈斬會消耗你的壓制效果以提高造成的傷害。超過$s2個目標時，造成的傷害降低。,
851,等級3,將敵人變成一隻不能施法、不能攻擊的綿羊，移動速度降低$s2%，最多持續$d。,不能施法或攻擊，移動速度降低$s2%。
853,,使目標昏迷$d。,昏迷。
871,,你受到的所有傷害降低$s1%，持續$d。,受到的所有傷害降低$w1%。
883,,召喚你的第一隻寵物到你身邊。,
898,,製造一瓶熱情藥水。,
921,,偷取目標攜帶的物品。,
932,,恢復目標的法力。,
952,,,
974,,"以一道大地之盾保護目標，使你對他們的治療量提高$s1%，並且在他們受到傷害時治療${$379s1*(1+$s1/100)}點生命力。此治療每$?a462454[${$proccooldown+($462454s2/1000)}.1][$proccooldown]秒只會觸發一次。$?a1217622[持續$d][最多生效$u次]。

$?s383010[在同一時間內，大地之盾只能對薩滿本身和另外一個目標施放。薩滿身上最多可啟動兩種元素之盾。][在同一時間內，大地之盾一次只能對一個目標施放。薩滿身上只能啟動一種元素之盾。]","$?$w3!=0[受到的傷害降低$w3%。

][]受到傷害時，恢復${$w2*(1+$w1/100)}點生命力。"
980,,"對目標施加逐漸增加的痛苦，在$d內最多造成${$s1*$d/$t1*$u}點暗影傷害。傷害一開始較低，然後逐漸提高。重置痛苦時，將會維持當前所提升的週期性傷害量。

|cFFFFFFFF痛苦造成傷害時，有時會產生1塊靈魂裂片。|r",每$t1秒受到$w1點暗影傷害。傷害會逐漸提高。
982,,復活你的寵物，並為其恢復基礎生命力的$s1%。,
1022,,"為一名隊伍或團隊成員施加祝福，使其對物理攻擊和有害效果免疫，持續$d。

無法使用在有自律效果的目標身上。產生自律效果，持續$25771d。$?c2[

與抗咒祝福共用冷卻時間。][]","免疫物理傷害和有害效果。$?a469770[

移動速度提高$w4%。][]"
1044,,為一名隊伍或團隊成員施加祝福，使其對移動限制效果免疫$?s199325[，並且使移動速度提高$199325m1%][]，持續$d。,對一切移動限制效果免疫。$?s199325[移動速度提高$199325m1%][]
1050,,,
1064,,為一名友方目標恢復$s1點生命力，然後轉而治療$?a236502[${$s3*(($236502s2/100)+1)}][$s3]碼內傷勢最重的其他$<jumps>名盟友。每次彈跳後的治療效果都會降低$s2%。,
1066,變身,"德魯伊變身為水棲形態，游泳速度提高$5421s1%，並且可以在水中呼吸。可使施法者免疫變形效果。

變身可以解除施法者身上的移動限制效果。",對變形效果免疫。游泳速度提高$w2%，並且可以在水中呼吸。
1079,,"造成持續性流血效果的終結技。每個連擊點數可以延長有效時間。

   1點：${$d*2}秒內造成${$o1*2}點傷害
   2點：${$d*3}秒內造成${$o1*3}點傷害
   3點：${$d*4}秒內造成${$o1*4}點傷害
   4點：${$d*5}秒內造成${$o1*5}點傷害
   5點：${$d*6}秒內造成${$o1*6}點傷害",流血，每$t1秒受到$w1點傷害。
1090,等級2,使敵人進入睡眠狀態，最多持續$d。任何對目標造成傷害的行為都會喚醒該目標。同一時間內只能使一名目標進入睡眠狀態。對高於$ctrmax2067級以上的目標可能無效。,沉睡。
1098,,制伏最高$s1級的惡魔，使其聽從你的號令，持續$d。,受$@auracaster制伏的惡魔。
1121,,不屈的范克里斯的蟲穴會將目標拉至附近小異種蟲的行徑上，使其被定身$d。,被定身。
1122,守護者,"從扭曲虛空中召來一個煉獄火，對其著陸區域的所有敵人造成$22703s1點火焰傷害，並且使他們昏迷$22703d。

煉獄火會為你效力$111685d，每$19483t1秒對附近所有敵人造成${$20153s1*(100+$137046s3)/100}點傷害，並且每$264364t1秒產生$264365s1塊靈魂裂片碎塊。",
1126,,"將野性之力注入一個友方目標，使其臨機應變提高$s1%，持續60分鐘。

如果目標在你的隊伍或團隊，所有的隊伍或團隊成員都會受到影響。
",臨機應變提高$w1%。
1127,,在$d內恢復${$m1*5}點生命力，進食時必須保持坐姿。,每秒恢復${$m1/5}點生命力。
1129,,在$d內恢復總計${$s1*$d/5}點生命力，進食時必須保持坐姿。,每秒恢復$/5;s1點生命力。
1130,,"給目標加上獵人印記，使所有攻擊者對該目標的遠程攻擊傷害提高$s2%。獵人能看見並且追蹤任何被其施加印記的目標。

秘法射擊、奇美拉射擊、擊殺命令與爆裂射擊會自動為目標標上獵人印記。

持續$d。",對此目標的所有遠程攻擊傷害都提高$s2%。即使在潛行或隱形狀態下仍可看到。
1131,,"在$d內恢復${$s1*$d/5}點生命力。
進食時必須保持坐姿。",每秒恢復$/5;s1點生命力。
1132,,,
1133,,在$d內恢復總計${$m2/5*27}點法力。喝飲料時必須保持坐姿。,每秒恢復${$m2/5}點法力。
1135,,在$d內恢復總計${$m2/5*30}點法力。喝飲料時必須保持坐姿。,每秒恢復${$m2/5}點法力。
1137,,在$d內恢復總計${$m2/5*30}點法力。喝飲料時必須保持坐姿。,每秒恢復${$m2/5}點法力。
1139,,使目標的攻擊間隔時間延長$s1%，持續$d。,攻擊速度降低。
1159,等級2,在$d內治療$o1點生命力。,每$t1秒治療$s1點傷害。
1160,,"$?s199023[使$A2碼範圍內的所有敵人士氣低落，造成的傷害降低$s2%，持續$d。][使$A2碼範圍內的所有敵人士氣低落，對你造成的傷害降低$s1%，持續$d。]$?s202743[

|cFFFFFFFF產生${$m5/10}點怒氣。|r][]",$?s199023[士氣低落，造成的傷害降低$w2%。][士氣低落，對$@auracaster造成的傷害降低$w1%。]$?s202743[來自$@auracaster的傷害提高$w3%。][]
1161,,嘲諷$A1碼範圍內的所有敵人，使其攻擊你，持續$d。,被嘲諷。
1178,,,
1180,,,
1234,,"吸收致命的傷害。
每$t2秒治療$s2%的生命力。

","吸收致命的傷害。
每$t2秒治療$s2%的生命力。"
1329,,"使用主、副手武器攻擊目標，造成總計$<dmg>點物理傷害。

|cFFFFFFFF獎勵$s2個連擊點數。|r",
1330,,使一名敵人沉默$d。,沉默。
1364,等級4,,
1373,召喚,,
1386,等級4,,近戰、遠程和法術攻擊對不死生物所造成的傷害提高$s1%。
1446,變身,,
1449,,"在施法者身邊引發魔法爆炸，對$A2碼範圍內的所有敵人造成$s2點秘法傷害。$?a137021[

|cFFFFFFFF命中任何目標可產生$s1層秘法充能。|r][]",
1454,,犧牲生命力上限的$s2%，獲得${$s1/10}塊靈魂裂片。,
1459,,"以魔法的光輝籠罩目標，使其智力提高$s1%，持續$d。

如果目標在你的隊伍或團隊中，所有的隊伍或團隊成員都會受到影響。",智力提高$w1%。
1462,,收集目標野獸的相關資訊，顯示該野獸的飲食習慣、技能、專精，該野獸是否可以被馴服，以及是否為奇特的野獸。,顯示相關資料。
1463,,魔法能量在戰鬥狀態下流過你全身，造成的傷害會逐漸提高至${$116267m1*5}%，然後逐漸降低至$116267s1%。此效果每10秒循環一次。,
1464,,"猛擊一名敵人，對其造成$s1點物理傷害。$?s388903[

|cFFFFFFFF產生${$388903s6/10}點怒氣。][]",
1485,,使用遠程武器攻擊目標。,
1490,,$@spelldesc255260,受到的魔法傷害提高$s1%。
1494,,在小地圖上顯示附近所有野獸的位置，,追蹤野獸。
1513,,恐嚇一頭野獸，使其因恐慌而逃跑，最多持續$d。任何傷害都有可能打斷這個效果。每個獵人在同一時間內只能恐嚇一頭野獸。,恐懼。
1515,,"$?a166615[|CFFFF2020你必須先解散你目前的寵物才能馴服另外一隻。|CFFFFD200

][]嘗試馴服一隻野獸，使其成為你的寵物。如果你因為任何原因失去了牠的注意力，馴服將會失敗。

你必須解散任何啟用中的野獸寵物，並有多餘的召喚寵物欄位，才能開始馴服一隻新的野獸。只有精通野獸控制的獵人才能馴服奇特野獸。",正在馴服一隻寵物。
1516,等級1,,
1522,,,
1528,,使你的主人逃脫任何束縛和禁錮。,
1536,,,
1538,,在三座葬禮火堆上為赫爾庫拉魔棒充能。,
1539,,使用指定的食物為你的寵物餵食，可立即恢復寵物$1539s1%的總生命力。無法在戰鬥中使用。,
1543,,使目標區域內所有潛行和隱形的敵人現形，持續$m1秒。,
1557,,使移動速度增加$s1點。,
1588,,,
1604,,一個震盪性的打擊，使目標解除坐騎，並使其移動速度降低$s1%，持續$d。,移動速度降低$s1%。
1609,,,
1645,,教狼人雙重形態技能。,
1650,,,
1680,,像旋風一般揮舞武器，$?s202316[對你的主要目標施展猛擊，並且][]對附近所有目標造成$<baseDmg>點物理傷害。超過$s1個目標時，造成的傷害降低。,
1706,,讓一位隊伍或團隊成員離地漂浮數尺，持續$111759d，降低掉落速度，且可以在水上行走。,漂浮中。
1714,,"強迫目標使用惡魔語，使其所有法術的施法時間延長$s1%，持續$d。$?s103112[

|CFFE55BB0靈魂炙燃：你的語言詛咒會影響你目標周圍$104224A碼範圍內的所有敵人。|R][]

|cFF8282FF詛咒：每個術士只能對一個目標施加一種詛咒。|r",以惡魔語施展法術，施法時間延長$w1%。
1715,,使敵人殘廢，造成$s2點物理傷害，並使移動速度降低$s1%，持續$d。,移動速度降低$s1%。
1719,,"進入狂暴狀態，使你產生的所有怒氣提高$s1%，且技能造成致命一擊的機率提高$s4%，持續$d。$?a396749[

|cFFFFFFFF產生${$s3/10}點怒氣。|r][]","產生的怒氣提高$w1%。
所有技能造成致命一擊的機率提高$w4%。"
1725,,投擲物體吸引附近所有怪物的注意力，持續$s1秒。可在潛行狀態下使用。,
1752,,"猛擊一名敵人，對其造成$s1點物理傷害。

|cFFFFFFFF獎勵$s2個連擊點數。|r",
1766,,迅速踢腿，中斷目標正在施放的法術，並使其在$d內無法施放任何同系的法術。,
1776,,"鑿挖敵方目標的眼珠，使對手癱瘓$d。傷害可能會中斷此效果。

你必須站在目標前方。

|cFFFFFFFF獎勵$s2個連擊點數。|r",癱瘓。
1784,,潛入暗影之中，使你能夠在不被發現的情況下追蹤敵人，直到主動取消。$?s14062[潛行狀態下的移動速度提高$s3%，造成的傷害提高$s4%。]?s108209[潛行狀態下，技能消耗的能量減少$112942s1%。][]$?s31223[在潛行狀態下以及脫離潛行之後的$31223s1秒內，發動攻擊造成的傷害提高$31665s1%。][],"潛行。$?$w3!=0[
移動速度提高$w3%。][]"
1800,,,
1804,,可以打開需要$PL點開鎖技能的箱子和門。,
1809,初級,,
1810,中級,,
1822,,"掃擊目標造成$s1點流血傷害，並在$155722d內額外造成$155722o1點流血傷害。$?s48484[目標的移動速度降低$58180s1%，持續$58180d。][]$?a231052[

在潛行期間，掃擊會擊昏目標$163505d，且造成的傷害提高$s4%。][]$?a405834[

在潛行期間，掃擊會擊昏目標$163505d，且造成的傷害提高$s4%。][]

|cFFFFFFFF獎勵$s2個連擊點數。|r",
1825,,將你的寵物的控制權轉給另一個玩家。,
1833,,"使目標昏迷$d。

|cFFFFFFFF獎勵$s2個連擊點數。|r",昏迷。
1834,,使移動速度提高,移動速度提高$s1%。
1843,,解除陷阱...,
