Name_lang,ID,MapID,DifficultyID,OrderIndex,CompleteWorldStateID,Bit,Flags,SpellIconFileID,Faction,Field_11_1_5_59735_010
蘭斯利德,426,349,1,4000,4707,4,4,0,-1,0
技工吉茲洛克,427,349,1,1500,4708,5,4,0,-1,0
洛特格里普,428,349,1,6000,4709,6,4,0,-1,0
瑟萊德絲公主,429,349,1,7000,4710,7,4,0,-1,0
魯古格,438,47,1,375,8591,0,0,0,-1,0
審問者韋沙斯,444,189,1,0,24615,0,0,0,-1,0
馴犬者洛克希,446,189,1,2000,24617,2,0,0,-1,0
秘法師杜安,447,189,1,3000,24618,3,0,0,-1,0
赫洛德,448,189,1,4000,24619,4,0,0,-1,0
高階審判官法爾班克斯,449,189,1,5000,24620,5,0,0,-1,0
高階審判官懷特邁恩,450,189,1,6000,24621,6,0,0,-1,0
傳令官基爾圖諾斯,451,289,1,0,4573,0,0,0,-1,0
詹迪斯‧巴羅夫,452,289,1,1000,4574,1,0,0,-1,0
血骨傀儡,453,289,1,2000,4575,2,0,0,-1,0
馬杜克‧布萊克波爾,454,289,1,3000,4576,3,0,0,-1,0
維克圖斯,455,289,1,4000,4577,4,0,0,-1,0
萊斯‧霜語,456,289,1,5000,4578,5,0,0,-1,0
講師瑪麗希亞,457,289,1,6000,4588,6,0,0,-1,0
瑟爾林‧卡斯迪諾夫教授,458,289,1,7000,4589,7,0,0,-1,0
博學者普克爾特,459,289,1,8000,4590,8,0,0,-1,0
拉文尼亞,460,289,1,9000,4591,9,0,0,-1,0
阿萊克斯‧巴羅夫領主,461,289,1,10000,4592,10,0,0,-1,0
伊露希亞‧巴羅夫女士,462,289,1,11000,4593,11,0,0,-1,0
黑暗院長加丁,463,289,1,12000,4594,12,0,0,-1,0
不可寬恕者,472,329,0,6500,4719,0,4,0,-1,0
爐邊歌手弗瑞斯坦,473,329,0,1000,4720,1,4,0,-1,0
殘忍的提米,474,329,0,2000,4721,2,4,0,-1,0
威利‧希望破除者,475,329,0,3000,4723,3,4,0,-1,0
指揮官瑪洛爾,476,329,0,2500,4722,4,4,0,-1,0
古卷管理者加爾福特,477,329,0,5000,4724,5,4,0,-1,0
巴納札爾,478,329,0,6000,4725,6,4,0,-1,0
安娜絲塔麗男爵夫人,479,329,0,7000,4726,7,4,0,-1,0
奈幽布恩坎,480,329,0,8000,4727,8,4,0,-1,0
蒼白的瑪勒基,481,329,0,9000,4728,9,4,0,-1,0
巴瑟拉斯鎮長,482,329,0,10000,4729,10,4,0,-1,0
『暴食者』拉姆斯登,483,329,0,11000,4730,11,4,0,-1,0
奧里爾斯‧瑞文戴爾領主,484,329,0,12000,4731,12,4,0,-1,0
德姆塞卡爾,486,109,1,1000,4734,1,4,0,-1,0
德拉維沃爾,487,109,1,2000,4735,2,4,0,-1,0
『預言者』迦瑪蘭,488,109,1,500,121,3,4,0,-1,0
摩弗拉斯,490,109,1,5000,4737,5,4,0,-1,0
哈札斯,491,109,1,6000,4738,6,4,0,-1,0
哈卡的化身,492,109,1,-500,4739,7,4,0,-1,0
伊蘭尼庫斯之影,493,109,1,8000,4740,8,4,0,-1,0
冰凍的指揮官,519,576,2,0,3685,0,0,0,-1,0
『審問者』德拉高斯,528,578,1,0,3869,0,0,0,-1,0
『審問者』德拉高斯,529,578,2,1000,3869,0,0,0,-1,0
瓦羅斯‧雲行者,530,578,1,1000,3871,1,0,0,-1,0
瓦羅斯‧雲行者,531,578,2,2000,3871,1,0,0,-1,0
法師領主厄隆,532,578,1,2000,3872,2,0,0,-1,0
法師領主厄隆,533,578,2,3000,3872,2,0,0,-1,0
地脈守護者伊瑞茍斯,534,578,1,3000,3873,3,0,0,-1,0
地脈守護者伊瑞茍斯,535,578,2,4000,3873,3,0,0,-1,0
魯維羅什,547,70,1,0,4758,0,4,0,-1,0
失落的矮人,548,70,1,1000,4761,1,4,0,-1,0
艾隆納亞,549,70,1,2000,4762,2,4,0,-1,0
上古石之守衛者,551,70,1,4000,4764,4,4,0,-1,0
加加恩‧火錘,552,70,1,5000,4765,5,4,0,-1,0
格瑞姆洛克,553,70,1,6000,4766,6,4,0,-1,0
阿札達斯,554,70,1,7000,4767,7,4,0,-1,0
安娜科德拉女士,585,43,1,0,4776,0,4,0,-1,0
考布萊恩領主,586,43,1,1000,4777,1,4,0,-1,0
克雷什,587,43,1,2000,4778,2,4,0,-1,0
皮薩斯領主,588,43,1,3000,4779,3,4,0,-1,0
斯卡姆,589,43,1,4000,4780,4,4,0,-1,0
瑟芬迪斯領主,590,43,1,5000,4781,5,4,0,-1,0
永生的沃爾丹,591,43,1,6000,4782,6,4,0,-1,0
『吞噬者』穆坦努斯,592,43,1,7000,4783,7,4,0,-1,0
水占師維蕾薩,593,209,0,0,4784,0,4,0,-1,0
加茲瑞拉,594,209,0,1000,4785,1,4,0,-1,0
安圖蘇爾,595,209,0,-500,4786,2,4,0,-1,0
『殉教者』塞卡,596,209,0,-1000,4787,3,4,0,-1,0
巫醫祖穆拉恩,597,209,0,-250,4788,4,4,0,-1,0
耐克倫‧嚼腸者,598,209,0,5000,4789,5,4,0,-1,0
暗影祭司塞瑟斯,599,209,0,6000,4790,6,4,0,-1,0
烏克茲‧沙頂,600,209,0,7000,4791,7,4,0,-1,0
高階督軍納珍塔斯,601,564,0,0,3013,0,6,0,-1,0
瑟普莫斯,602,564,0,1000,3012,1,6,0,-1,0
阿卡瑪的黑暗面,603,564,0,2000,3058,2,6,0,-1,0
泰朗‧血魔,604,564,0,3000,4792,3,6,0,-1,0
葛塔格‧血沸,605,564,0,4000,3014,4,6,0,-1,0
靈魂聖匣,606,564,0,5000,4793,5,6,0,-1,0
薩拉茲女士,607,564,0,6000,12150,6,6,0,-1,0
伊利達瑞議會,608,564,0,7000,3030,7,6,0,-1,0
伊利丹‧怒風,609,564,0,8000,4794,8,7,0,-1,0
狂野的拉佐格爾,610,469,0,0,4795,0,6,0,-1,0
墮落的瓦拉斯塔茲,611,469,0,1000,4796,1,6,0,-1,0
幼龍領主勒西雷爾,612,469,0,2000,4797,2,6,0,-1,0
費爾默,613,469,0,3000,4798,3,6,0,-1,0
埃博諾克,614,469,0,4000,4799,4,6,0,-1,0
弗萊格爾,615,469,0,5000,4800,5,6,0,-1,0
克洛瑪古斯,616,469,0,6000,4801,6,6,0,-1,0
奈法利安,617,469,0,7000,1641,7,7,0,-1,0
瑞齊‧凜冬,618,534,0,0,2519,0,6,0,-1,0
安納塞隆,619,534,0,1000,2464,1,6,0,-1,0
卡茲洛加,620,534,0,2000,2523,2,6,0,-1,0
亞茲加洛,621,534,0,3000,2487,3,6,0,-1,0
阿克蒙德,622,534,0,4000,2530,4,7,0,-1,0
不穩定者海卓司,623,548,0,0,2853,0,6,0,-1,0
海底潛伏者,624,548,0,1000,2855,1,6,0,-1,0
『盲目者』李奧薩拉斯,625,548,0,2000,2857,2,6,0,-1,0
深淵之王卡拉薩瑞斯,626,548,0,3000,2856,3,6,0,-1,0
莫洛葛利姆‧潮行者,627,548,0,4000,2854,4,6,0,-1,0
瓦許女士,628,548,0,5000,4802,5,7,0,-1,0
大君王莫卡爾,649,565,0,0,2778,0,2,0,-1,0
弒龍者戈魯爾,650,565,0,1000,4804,1,3,0,-1,0
瑪瑟里頓,651,544,0,0,4805,0,7,0,-1,0
獵人阿圖曼,652,532,0,0,2315,0,4,0,-1,0
摩洛斯,653,532,0,1000,2309,1,4,0,-1,0
貞潔聖女,654,532,0,2000,4806,2,4,0,-1,0
歌劇大廳,655,532,0,3000,2381,3,4,0,-1,0
館長,656,532,0,4000,2501,4,4,0,-1,0
泰瑞斯提安‧疫蹄,657,532,0,5000,2336,5,4,0,-1,0
埃蘭之影,658,532,0,6000,2910,6,4,0,-1,0
尼德斯,659,532,0,7000,2865,7,4,0,-1,0
西洋棋事件,660,532,0,8000,2517,8,4,0,-1,0
莫克札王子,661,532,0,9000,4807,9,4,0,-1,0
夜禍,662,532,0,10000,4808,10,4,0,-1,0
魯西弗隆,663,409,0,0,4809,0,6,0,-1,0
瑪格曼達,664,409,0,1000,847,1,6,0,-1,0
基赫納斯,665,409,0,2000,848,2,6,0,-1,0
加爾,666,409,0,3000,846,3,6,0,-1,0
沙斯拉爾,667,409,0,4000,850,4,6,0,-1,0
迦頓男爵,668,409,0,5000,845,5,6,0,-1,0
薩弗隆先驅者,669,409,0,6000,761,6,6,0,-1,0
『焚化者』古雷曼格,670,409,0,7000,741,7,6,0,-1,0
管理者埃克索圖斯,671,409,0,8000,1502,8,6,0,-1,0
拉格納羅斯,672,409,0,9000,1666,9,7,0,-1,0
預言者斯克拉姆,709,531,0,0,4821,0,6,0,-1,0
異種蠍皇族,710,531,0,1000,4822,1,6,0,-1,0
戰地衛士沙爾圖拉,711,531,0,2000,4823,2,6,0,-1,0
不屈的范克里斯,712,531,0,3000,4824,3,6,0,-1,0
維希度斯,713,531,0,4000,4825,4,6,0,-1,0
哈霍蘭公主,714,531,0,5000,4826,5,6,0,-1,0
雙子帝王,715,531,0,6000,4827,6,6,0,-1,0
奧羅,716,531,0,7000,2296,7,6,0,-1,0
克蘇恩,717,531,0,8000,4828,8,7,0,-1,0
庫林納克斯,718,509,0,0,4811,0,6,0,-1,0
拉賈克斯將軍,719,509,0,1000,2174,1,6,0,-1,0
莫阿姆,720,509,0,2000,4812,2,6,0,-1,0
『暴食者』布魯,721,509,0,3000,4813,3,6,0,-1,0
『狩獵者』阿亞米斯,722,509,0,4000,4814,4,6,0,-1,0
『無疤者』奧斯里安,723,509,0,5000,4815,5,7,0,-1,0
卡雷苟斯,724,580,0,0,3434,0,6,0,-1,0
布魯托魯斯,725,580,0,1000,3336,1,6,0,-1,0
魔龍謎霧,726,580,0,2000,3337,2,6,0,-1,0
埃雷達爾雙子,727,580,0,3000,3435,3,6,0,-1,0
莫魯,728,580,0,4000,3423,4,6,0,-1,0
基爾加丹,729,580,0,5000,4816,5,7,0,-1,0
歐爾,730,550,0,0,4817,0,6,0,-1,0
虛無劫奪者,731,550,0,1000,4818,1,6,0,-1,0
高階星術師索拉瑞恩,732,550,0,2000,4819,2,6,0,-1,0
凱爾薩斯‧逐日者,733,550,0,3000,4820,3,7,0,-1,0
高階祭司溫諾希斯,784,309,1,0,1967,0,0,0,-1,0
高階祭司耶克里克,785,309,1,-1000,1968,1,0,0,-1,0
高階祭司瑪俐,786,309,1,2000,1969,2,0,0,-1,0
血領主曼多基爾,787,309,1,3000,4839,3,0,0,-1,0
瘋狂之緣,788,309,1,4000,4850,4,0,0,-1,0
高階祭司塞卡爾,789,309,1,5000,1970,5,0,0,-1,0
加茲蘭卡,790,309,1,6000,4840,6,0,0,-1,0
高階祭司阿洛克,791,309,1,7000,1971,7,0,0,-1,0
『妖術師』金度,792,309,1,8000,4841,8,0,0,-1,0
哈卡,793,309,1,9000,4844,9,0,0,-1,0
亞特拉米德,1022,669,0,0,5182,0,6,0,-1,0
奇瑪隆,1023,669,0,1000,5318,1,6,0,-1,0
熔喉,1024,669,0,-500,5301,2,14,0,-1,0
瑪洛里亞克,1025,669,0,3000,5315,3,6,0,-1,0
奈法利安的末路,1026,669,0,4000,5203,4,7,0,-1,0
全能魔像防禦系統,1027,669,0,-1000,5303,5,6,0,-1,0
卓越者議會,1028,671,0,2000,5339,0,10,0,-1,0
丘加利,1029,671,0,2500,5494,1,11,0,-1,0
哈福斯‧破龍者,1030,671,0,-1000,5380,2,10,0,-1,0
瑟拉里恩與瓦莉歐娜,1032,671,0,1500,5517,4,10,0,-1,0
阿加羅斯,1033,757,0,0,5575,0,14,0,-1,0
奧拉基爾,1034,754,0,0,5565,0,11,0,-1,0
風之議會,1035,754,0,-1000,5563,1,6,0,-1,0
卓越者統領奧希迪厄斯,1036,645,0,0,5131,0,4,0,-1,0
美麗,1037,645,0,-1000,5129,1,4,0,-1,0
暮光信使柯爾菈,1038,645,0,-2000,5112,2,4,0,-1,0
卡爾許‧控鋼者,1039,645,0,-1500,5119,3,4,0,-1,0
羅姆歐格‧裂骨者,1040,645,0,-3000,5127,4,4,0,-1,0
艾塔伊洛斯,1041,657,0,0,5497,0,4,0,-1,0
亞沙德,1042,657,0,1000,5496,1,4,0,-1,0
首相伊爾丹,1043,657,0,-1000,5500,2,4,0,-1,0
指揮官烏索克,1044,643,0,0,5325,0,4,0,-1,0
納茲賈爾女士,1045,643,0,-1000,5125,1,4,0,-1,0
屈心者哥爾薩,1046,643,0,1000,5326,2,4,0,-1,0
歐蘇瑪特,1047,643,0,2000,5557,3,4,0,-1,0
德拉卡‧燃影者,1048,670,0,0,5098,0,4,0,-1,0
伊魯達克斯,1049,670,0,1000,5175,1,4,0,-1,0
鍛造大師瑟隆葛斯,1050,670,0,-1000,5077,2,4,0,-1,0
昂布里斯將軍,1051,670,0,-2000,5065,3,4,0,-1,0
胡薩姆將軍,1052,755,0,0,5389,0,4,0,-1,0
高階預言者巴瑞姆,1053,755,0,1000,5382,1,4,0,-1,0
鎖喉,1054,755,0,2000,5562,2,4,0,-1,0
希亞梅特,1055,755,0,3000,5476,3,4,0,-1,0
寇伯拉斯,1056,725,0,0,5569,0,4,0,-1,0
高階祭司艾吉兒,1057,725,0,1000,5572,1,4,0,-1,0
歐茲魯克,1058,725,0,500,5571,2,4,0,-1,0
岩革,1059,725,0,250,5570,3,4,0,-1,0
艾胥柏利男爵,1069,33,0,0,5551,0,4,0,-1,0
席瓦萊恩男爵,1070,33,0,1000,4597,1,4,0,-1,0
指揮官斯普林瓦爾,1071,33,0,2000,4598,2,4,0,-1,0
高佛雷領主,1072,33,0,3000,5553,3,4,0,-1,0
瓦爾登領主,1073,33,0,2500,5552,4,4,0,-1,0
安姆內,1074,644,0,0,5166,0,4,0,-1,0
安拉斐特,1075,644,0,-1000,5107,1,4,0,-1,0
地怒者普塔,1076,644,0,-2000,5165,2,4,0,-1,0
伊希賽特,1077,644,0,-500,5002,3,4,0,-1,0
拉頡,1078,644,0,1000,5168,4,4,0,-1,0
賽特胥,1079,644,0,500,5167,5,4,0,-1,0
神殿守護者安胡爾,1080,644,0,-3000,4985,6,4,0,-1,0
凡妮莎‧范克里夫,1081,36,2,7000,5613,5,4,0,-1,0
賽絲特拉,1082,671,5,3500,5523,3,11,0,-1,0
賽絲特拉,1083,671,6,3500,5523,3,11,0,-1,0
奧妮克希亞,1084,249,0,0,4810,0,7,0,-1,0
阿努巴拉克,1085,649,0,5000,4241,0,11,0,-1,0
陣營勇士,1086,649,0,3000,4803,1,10,0,-1,0
賈拉克瑟斯領主,1087,649,0,2000,4272,2,10,0,-1,0
北裂境巨獸,1088,649,0,0,4370,3,10,0,-1,0
華爾琪雙子,1089,649,0,4000,4334,4,10,0,-1,0
撒爾薩里安,1090,615,0,4000,4833,0,7,0,-1,0
夏德朗,1091,615,0,3000,4831,1,4,0,-1,0
坦納伯朗,1092,615,0,2000,4830,2,4,0,-1,0
維斯佩朗,1093,615,0,0,4832,3,4,0,-1,0
瑪里苟斯,1094,616,0,0,4829,0,2,0,-1,0
血腥議會,1095,631,0,7000,4733,0,10,0,-1,0
死亡使者薩魯法爾,1096,631,0,3000,4519,1,2,0,-1,0
膿腸,1097,631,0,5000,4870,2,10,0,-1,0
瓦莉絲瑞雅‧夢行者,1098,631,0,10000,4855,3,6,0,-1,0
冰冠城塞砲艇戰,1099,631,0,2000,4492,4,10,0,-1,0
亡語女士,1100,631,0,1000,4869,5,10,0,-1,0
瑪洛嘉領主,1101,631,0,0,4471,6,10,0,-1,0
普崔希德教授,1102,631,0,6000,4871,7,10,0,-1,0
血腥女王菈娜薩爾,1103,631,0,9000,4868,8,10,0,-1,0
腐臉,1104,631,0,4000,4435,9,10,0,-1,0
辛德拉苟莎,1105,631,0,12000,4842,10,10,0,-1,0
巫妖王,1106,631,0,14000,4910,11,7,0,-1,0
阿努比瑞克漢,1107,533,0,0,2255,0,14,0,-1,0
古魯斯,1108,533,0,1000,2242,1,14,0,-1,0
『收割者』高希,1109,533,0,500,2238,2,14,0,-1,0
大寡婦費琳娜,1110,533,0,250,2256,3,14,0,-1,0
葛羅巴斯,1111,533,0,750,2247,4,14,0,-1,0
『不潔者』海根,1112,533,0,375,2258,5,14,0,-1,0
講師拉祖維斯,1113,533,0,437,2307,6,14,0,-1,0
科爾蘇加德,1114,533,0,2000,2269,7,7,0,-1,0
憎恨者,1115,533,0,406,2245,8,14,0,-1,0
梅克絲娜,1116,533,0,312,2253,9,14,0,-1,0
『瘟疫使者』諾斯,1117,533,0,343,2257,10,14,0,-1,0
縫補者,1118,533,0,625,2244,11,14,0,-1,0
薩菲隆,1119,533,0,1500,2268,12,14,0,-1,0
泰迪斯,1120,533,0,1250,2243,13,14,0,-1,0
四騎士,1121,533,0,562,4012,14,6,0,-1,0
『石之看守者』亞夏梵,1126,624,0,0,4836,0,10,0,-1,0
『風暴看守者』艾瑪隆,1127,624,0,1000,4837,1,10,0,-1,0
『烈焰看守者』寇拉隆,1128,624,0,2000,4838,2,10,0,-1,0
『寒冰看守者』拓拉梵,1129,624,0,3000,4895,3,10,0,-1,0
『觀察者』艾爾加隆,1130,603,0,0,4093,0,66,0,-1,0
奧芮雅,1131,603,0,-1000,4140,1,6,0,-1,0
烈焰戰輪,1132,603,0,-2000,4114,2,6,0,-1,0
芙蕾雅,1133,603,0,-500,4059,3,6,0,-1,0
威札斯將軍,1134,603,0,-250,4067,4,6,0,-1,0
霍迪爾,1135,603,0,-750,4050,5,6,0,-1,0
『火爐之主』伊格尼司,1136,603,0,-1500,4834,6,6,0,-1,0
柯洛剛恩,1137,603,0,-1250,4089,7,6,0,-1,0
彌米倫,1138,603,0,-375,4060,8,6,0,-1,0
銳鱗,1139,603,0,-1375,4835,9,6,0,-1,0
鐵之集會,1140,603,0,-1312,4091,10,6,0,-1,0
索林姆,1141,603,0,-625,4057,11,6,0,-1,0
XT-002拆解者,1142,603,0,-1343,4138,12,6,0,-1,0
尤格薩倫,1143,603,0,-125,4121,13,7,0,-1,0
霍格,1144,34,1,1000,5509,3,4,0,-1,0
歐玻西特王,1145,34,1,2000,5510,4,4,0,-1,0
藍道夫‧摩洛克,1146,34,1,3000,5511,5,4,0,-1,0
『戰爭之子』巴爾薩魯斯,1147,724,0,0,5031,0,4,0,-1,0
扎里斯利安將軍,1148,724,0,1000,5033,1,4,0,-1,0
薩薇安娜‧怒焰,1149,724,0,500,5032,2,4,0,-1,0
海萊恩,1150,724,0,2000,5048,3,6,0,-1,0
亮葉長者,1164,603,0,-562,5630,14,0,0,-1,0
鐵枒長者,1165,603,0,-531,5631,15,0,0,-1,0
石木長者,1166,603,0,-515,5632,16,0,0,-1,0
高階祭司溫諾希斯,1178,859,0,0,5779,0,12,0,-1,0
血領主曼多基爾,1179,859,0,1000,5810,1,4,0,-1,0
高階祭司基爾娜拉,1180,859,0,2000,5780,2,4,0,-1,0
贊吉爾,1181,859,0,3000,5769,3,12,0,-1,0
破神者金度,1182,859,0,4000,5778,4,4,0,-1,0
管理者鹿盔,1185,720,0,0,5827,0,14,0,-1,0
狂性儲納所,1188,859,0,1500,5824,5,4,0,-1,0
阿奇爾森,1189,568,0,0,3122,0,12,0,-1,0
納羅拉克,1190,568,0,1000,3077,1,12,0,-1,0
賈納雷,1191,568,0,2000,3153,2,12,0,-1,0
哈拉齊,1192,568,0,3000,3152,3,12,0,-1,0
妖術領主瑪拉克雷斯,1193,568,0,4000,3146,4,12,0,-1,0
達卡拉,1194,568,0,5000,3148,5,12,0,-1,0
貝絲堤拉克,1197,720,0,-4000,5882,1,14,0,-1,0
巴勒羅克,1200,720,0,-1000,5898,2,14,0,-1,0
拉格納羅斯,1203,720,0,2000,5911,3,15,0,-1,0
萊爾利斯領主,1204,720,0,-3000,5872,4,6,0,-1,0
夏諾克斯,1205,720,0,-2375,5919,5,14,0,-1,0
艾里絲拉卓,1206,720,0,-1750,5942,6,14,0,-1,0
歐庫薩,1250,757,0,1000,5821,1,14,0,-1,0
姆多茲諾,1271,938,0,8000,6048,4,4,0,-1,0
佩洛薩恩,1272,939,0,0,6067,0,4,0,-1,0
艾薩拉女王,1273,939,0,1000,6038,1,4,0,-1,0
瑪諾洛斯,1274,939,0,2000,6055,2,4,0,-1,0
死亡之翼的脊椎,1291,967,0,0,6097,0,6,0,-1,0
魔寇,1292,967,0,-1000,6082,1,2,0,-1,0
督軍松奧茲,1294,967,0,-500,6084,2,2,0,-1,0
未眠者尤沙吉,1295,967,0,-250,6102,3,2,0,-1,0
哈甲拉,1296,967,0,-125,6106,4,2,0,-1,0
奧特拉賽恩,1297,967,0,-62,6128,5,2,0,-1,0
將領黑角,1298,967,0,-31,6134,6,2,0,-1,0
死亡之翼的狂亂,1299,967,0,1000,6142,7,7,0,-1,0
古‧雲擊,1303,959,0,0,6585,0,0,0,-1,0
雪迅大師,1304,959,0,1000,6117,1,0,0,-1,0
暴力之煞,1305,959,0,2000,6138,2,0,0,-1,0
塔蘭‧祝,1306,959,0,3000,6151,3,0,0,-1,0
阿利札巴,1332,757,0,2000,6158,2,14,0,-1,0
阿奇里森,1337,940,0,0,6161,0,4,0,-1,0
大主教本尼迪塔斯,1339,940,0,1000,6088,1,4,0,-1,0
阿希拉黎明殺戮者,1340,940,0,500,6062,2,4,0,-1,0
『測試龍』奧瑪,1348,598,1,0,6215,0,0,0,-1,0
『咒魔』馮,1390,1008,0,0,6428,0,6,306868,-1,0
石衛士,1395,1008,0,-1000,6431,1,6,0,-1,0
『破壞者』奇普提拉克,1397,962,0,0,6153,0,4,0,-1,0
打擊者卡多克,1405,962,0,1000,6465,1,0,0,-1,0
指揮官黎莫克,1406,962,0,2000,6466,2,0,0,-1,0
大帝之志,1407,1008,0,3000,6470,2,7,0,-1,0
豐泉守衛者,1409,996,0,0,6473,0,6,0,-1,0
歐克‧歐克,1412,961,0,0,6143,0,4,0,-1,0
跳跳巨兔妖,1413,961,0,1000,6375,1,4,0,-1,0
『破罈者』嚴祝,1414,961,0,2000,6378,2,4,0,-1,0
劉‧焰心,1416,960,0,1000,6141,1,4,0,-1,0
博學行者石步,1417,960,0,0,6295,2,4,0,-1,0
智者瑪利,1418,960,0,-1000,6400,3,4,0,-1,0
雷剛,1419,962,0,3000,6293,3,0,0,-1,0
織焰者喀格勒,1420,1001,0,0,6330,0,4,0,-1,0
武器大師哈倫,1421,1001,0,-500,6542,1,4,0,-1,0
馴犬者布勞恩,1422,1001,0,-1000,6521,2,4,0,-1,0
『靈魂撕裂者』薩爾諾斯,1423,1004,0,1000,4568,0,4,0,-1,0
克羅夫修士,1424,1004,0,2000,6444,1,4,0,-1,0
高階審判官懷特邁恩,1425,1004,0,3000,6450,2,4,0,-1,0
講師冷心,1426,1007,0,0,6321,0,0,0,-1,0
詹迪斯‧巴羅夫,1427,1007,0,1000,6331,1,0,0,-1,0
血骨傀儡,1428,1007,0,2000,6335,2,0,0,-1,0
莉莉安‧佛斯,1429,1007,0,3000,6334,3,0,0,-1,0
黑暗院長加丁,1430,1007,0,4000,6319,4,0,0,-1,0
恐懼之煞,1431,996,0,1000,6525,1,7,0,-1,0
『縛靈者』卡拉賈,1434,1008,0,500,6463,3,6,0,-1,0
帝王之魂,1436,1008,0,2000,6529,4,6,0,-1,0
疑惑之煞,1439,960,0,3000,6125,0,4,0,-1,0
『武器大師』辛,1441,994,0,1000,6579,1,0,0,-1,0
帝王的試煉,1442,994,0,-1000,6586,2,4,0,-1,0
阿達洛葛,1443,389,0,0,6580,0,4,0,-1,0
黑暗薩滿坷蘭索,1444,389,0,1000,6583,1,4,0,-1,0
斯納格瑪,1445,389,0,2000,6589,2,4,0,-1,0
熔岩守衛哥爾多斯,1446,389,0,3000,6592,3,4,0,-1,0
帕伐拉克將軍,1447,1011,0,1500,6594,0,0,0,-1,0
加拉隆,1463,1009,0,-1250,6649,0,6,0,-1,0
飛翼領袖紐若納克,1464,1011,0,2500,6658,1,0,0,-1,0
大臣金巴克,1465,1011,0,0,6625,2,0,0,-1,0
風領主瑪爾加拉克,1498,1009,0,-1000,6677,1,6,0,-1,0
