ID,Name_lang,MinScale,MinScaleLevel,MaxScale,MaxScaleLevel,PetFoodMask,PetTalentType,CategoryEnumID,IconFileID,SkillLine[0],SkillLine[1]
148,冥淵火,0,0,1,1,0,-1,41,0,1982,0
150,河獸,0.6,1,0.8,50,56,1,33,1044490,1819,270
151,雄鹿,0.5,1,0.8,50,60,1,34,1044501,1993,270
154,機械,0.7,1,1,60,256,2,37,132247,2189,270
155,憎惡體,0.6,1,0.8,80,0,-1,35,136118,2216,0
156,鱗皮,0.5,1,0.8,50,60,0,38,646378,2280,270
157,玄牛,0.5,1,0.8,50,60,1,39,616693,2279,270
160,羽鬃,0.5,1,0.8,50,255,1,54,929300,2361,270
288,蜥蜴,0.5,1,1,50,243,1,0,2027936,2703,270
290,翼手龍,0.2,1,0.3,50,227,2,0,1624590,2705,270
291,跳跳兔妖,0.3,1,0.6,50,243,1,0,804969,2706,270
292,硬殼蟲,0.5,1,0.75,50,65,1,0,2011146,2707,270
296,血獸,0.45,1,0.65,50,195,1,14,1687702,2719,270
298,駱駝,0.5,1,0.8,50,56,2,52,454771,2807,270
299,駿馬,0.5,1,0.8,50,48,0,38,2143073,2806,270
300,長毛象,0.5,1,0.8,50,60,1,6,132254,2805,270
302,夢魔,0,0,1,1,0,-1,41,0,205,0
303,小型龍類,0.5,1,0.8,50,195,0,6,797547,2850,270
