ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
15,海嶼遠征|n|cFFFFD200收集：|r世界之脈情報|n|cFFFFD200任務獎勵：|r「聯盟的艾澤萊晶岩」|n|cFFFFD200回報NPC：|r弗林‧晴風|n|cFFFFD200任務桌：|r「追蹤世界之脈」|n|cFFFFD200地點：|r波拉勒斯碼頭,海嶼遠征|n|cFFFFD200收集：|r世界之脈情報|n|cFFFFD200任務獎勵：|r「聯盟的艾澤萊晶岩」|n|cFFFFD200回報NPC：|r瑞卓昆船長|n|cFFFFD200任務桌：|r「追蹤世界之脈」|n|cFFFFD200地點：|r贊達拉港,4,3,295160,295165,299334,299333
16,海嶼遠征|n|cFFFFD200任務：|r「聯盟的艾澤萊晶岩」|n|cFFFFD200回報NPC：|r弗林‧晴風|n|cFFFFD200任務桌：|r「最後的世界之脈」|n|cFFFFD200地點：|r波拉勒斯碼頭|n,海嶼遠征|n|cFFFFD200任務：|r「部落的艾澤萊晶岩」|n|cFFFFD200回報NPC：|r瑞卓昆船長|n|cFFFFD200任務桌：|r「最後的世界之脈」|n|cFFFFD200地點：|r贊達拉港,4,4,295210,295166,299334,299333
17,傳奇難度地城|n|cFFFFD200合成：|r濃縮的生命血靈|n|cFFFFD200掉落：|r地城最後首領,,5,1,295258,295246,295258,295246
18,傳奇難度地城|n|cFFFFD200合成：|r濃縮的生命血靈|n|cFFFFD200掉落：|r地城最後首領,,5,2,295262,295251,299336,299335
19,傳奇難度地城|n|cFFFFD200合成：|r濃縮的生命血靈|n|cFFFFD200掉落：|r地城最後首領,,5,3,295263,295252,299338,299337
20,傳奇難度+地城|n|cFFFFD200賽季：|r第三季或之後賽季|n|cFFFFD200成就：|r「決戰艾澤拉斯鑰石王」|n|cFFFFD200商人：|r奇術師瓦須林|n|cFFFFD200地點：|r波拉勒斯的信風市場,傳奇難度+地城|n|cFFFFD200賽季：|r第三季或之後賽季|n|cFFFFD200成就：|r「決戰艾澤拉斯鑰石王」|n|cFFFFD200商人：|r奇術師瓦須林|n|cFFFFD200地點：|r達薩亞洛的大市集,5,4,295264,295253,299338,299337
21,傳奇難度地城|n|cFFFFD200合成：|r濃縮的生命血靈|n|cFFFFD200掉落：|r地城最後首領,,7,1,294926,294964,294926,294964
22,傳奇難度地城|n|cFFFFD200合成：|r濃縮的生命血靈|n|cFFFFD200掉落：|r地城最後首領,,7,2,295307,294970,300002,300004
23,傳奇難度+地城|n|cFFFFD200賽季：|r第三季或之後賽季|n|cFFFFD200成就：|r「決戰艾澤拉斯鑰石王」|n|cFFFFD200商人：|r奇術師瓦須林|n|cFFFFD200地點：|r波拉勒斯的信風市場,傳奇難度+地城|n|cFFFFD200賽季：|r第三季或之後賽季|n|cFFFFD200成就：|r「決戰艾澤拉斯鑰石王」|n|cFFFFD200商人：|r奇術師瓦須林|n|cFFFFD200地點：|r達薩亞洛的大市集,7,4,295306,294972,300003,300005
24,傳奇難度地城|n|cFFFFD200合成：|r濃縮的生命血靈|n|cFFFFD200掉落：|r地城最後首領,,7,3,294945,294969,300003,300005
29,機械岡|n|cFFFFD200聲望：|r鏽栓反抗軍 - 友好|n|cFFFFD200商人：|r失竊的皇家販賣機器人|n|cFFFFD200地點：|r鏽栓鎮|n|cFFFFD200費用：|r1個電流振動器和2個備用零件箱,,6,1,295337,295293,295337,295293
30,機械岡|n|cFFFFD200聲望：|r鏽栓反抗軍 - 尊敬|n|cFFFFD200商人：|r失竊的皇家販賣機器人|n|cFFFFD200地點：|r鏽栓鎮|n|cFFFFD200費用：|r5個電流振動器和10個備用零件箱,,6,2,295364,295363,299345,299343
31,機械岡|n|cFFFFD200聲望：|r鏽栓反抗軍 - 崇敬|n|cFFFFD200商人：|r失竊的皇家販賣機器人|n|cFFFFD200地點：|r鏽栓鎮|n|cFFFFD200費用：|r8個電流振動器和20個備用零件箱,,6,3,295352,295351,299347,299346
32,機械岡|n|cFFFFD200聲望：|r鏽栓補給品|n|cFFFFD200商人：|r失竊的皇家販賣機器人|n|cFFFFD200地點：|r鏽栓鎮,,6,4,295358,295333,299347,299346
45,守護巨龍|n|cFFFFD200任務：|r「母親知我心」|n|cFFFFD200任務給予者：|r麥格尼‧銅鬚|n|cFFFFD200地點：|r心之室,,12,1,295373,295365,295373,295365
46,守護巨龍|n|cFFFFD200艾澤拉斯之心等級：|r54|n|cFFFFD200任務：|r「我在黑暗中沉入夢境」|n|cFFFFD200任務給予者：|r卡雷克|n|cFFFFD200地點：|r心之室,,12,2,295377,295372,299349,299348
47,守護巨龍|n|cFFFFD200艾澤拉斯之心等級：|r60|n|cFFFFD200任務：|r「調查高地」|n|cFFFFD200任務給予者：|r卡雷克|n|cFFFFD200地點：|r心之室,,12,3,295379,295369,299353,299350
48,守護巨龍|n|cFFFFD200艾澤拉斯之心等級：|r70|n|cFFFFD200任務：|r「藍天霹靂」|n|cFFFFD200任務給予者：|r卡雷克|n|cFFFFD200地點：|r心之室,,12,4,295380,295381,299353,299350
49,機械岡|n|cFFFFD200聲望：|r鏽栓反抗軍 - 友好|n|cFFFFD200商人：|r失竊的皇家販賣機器人|n|cFFFFD200地點：|r鏽栓鎮|n|cFFFFD200費用：|r1個電流振動器和2個備用零件箱,,13,1,295746,295750,295746,295750
50,機械岡|n|cFFFFD200聲望：|r鏽栓反抗軍 - 尊敬|n|cFFFFD200商人：|r失竊的皇家販賣機器人|n|cFFFFD200地點：|r鏽栓鎮|n|cFFFFD200費用：|r5個電流振動器和10個備用零件箱,,13,2,295747,295844,300015,300018
51,機械岡|n|cFFFFD200聲望：|r鏽栓反抗軍 - 崇敬|n|cFFFFD200商人：|r失竊的皇家販賣機器人|n|cFFFFD200地點：|r鏽栓鎮|n|cFFFFD200費用：|r8個電流振動器和20個備用零件箱,,13,3,295748,295846,300016,300020
52,機械岡|n|cFFFFD200聲望：|r鏽栓補給品|n|cFFFFD200商人：|r失竊的皇家販賣機器人|n|cFFFFD200地點：|r鏽栓鎮,,13,4,295749,295845,300016,300020
53,永恆宮殿團隊副本|n|cFFFFD200合成：|r元水聖匣|n|cFFFFD200掉落：|r艾薩拉光輝，女王法庭或艾薩拉女王,,14,1,295840,295834,295840,295834
54,永恆宮殿團隊副本|n|cFFFFD200混合成：|r元水聖匣|n|cFFFFD200掉落：|r艾薩拉光輝，女王法庭或艾薩拉女王,,14,2,295841,295836,299355,299354
55,永恆宮殿團隊副本|n|cFFFFD200合成：|r元水聖匣|n|cFFFFD200掉落：|r艾薩拉光輝、女王法庭或艾薩拉女王,,14,3,295843,295837,299358,299357
56,永恆宮殿團隊副本|n|cFFFFD200掉落：|r艾薩拉女王 - 傳奇,,14,4,295892,295839,299358,299357
57,戰爭模式|n|cFFFFD200任務：|r「水淹部落」|n|cFFFFD200任務給予者：|r克夫提庫斯‧屈心者|n|cFFFFD200地點：|r梅札米爾,戰爭模式|n|cFFFFD200任務：|r「水淹聯盟」|n|cFFFFD200任務給予者：|r戴澤里安|n|cFFFFD200地點：|r新鄉,15,1,302731,302916,302731,302916
58,戰爭模式|n|cFFFFD200成就：|r「兩面臨敵」|n|cFFFFD200商人：|r克夫提庫斯‧屈心者|n|cFFFFD200地點：|r梅札米爾|n|cFFFFD200費用：|r20個納沙塔爾戰鬥表揚,戰爭模式|n|cFFFFD200成就：|r「兩面臨敵」|n|cFFFFD200商人：|r戴澤里安|n|cFFFFD200地點：|r新鄉|n|cFFFFD200費用：|r20個納沙塔爾戰鬥表揚,15,2,302778,302957,302982,302984
59,戰爭模式|n|cFFFFD200收集：|r戰鬥的號角勛章|n|cFFFFD200任務：|r每周戰鬥的號角|n|cFFFFD200商人：|r克夫提庫斯‧屈心者|n|cFFFFD200地點：|r梅札米爾|n|cFFFFD200費用：|r10個戰鬥的號角勛章和50個納沙塔爾戰鬥表揚,戰爭模式|n|cFFFFD200收集：|r戰鬥的號角勛章|n|cFFFFD200任務：|r每周戰鬥的號角|n|cFFFFD200商人：|r戴澤里安|n|cFFFFD200地點：|r新鄉|n|cFFFFD200費用：|r10個戰鬥的號角勛章和50個納沙塔爾戰鬥表揚,15,3,302780,302961,302983,302985
60,戰爭模式|n|cFFFFD200成就：|r「刺客補給」|n|cFFFFD200商人：|r克夫提庫斯‧屈心者|n|cFFFFD200地點：|r梅札米爾,戰爭模式|n|cFFFFD200成就：|r「刺客補給」|n|cFFFFD200商人：|r戴澤里安|n|cFFFFD200地點：|r新鄉,15,4,302910,302962,302983,302985
61,恩若司的恐怖幻象|n|cFFFFD200掉落：|r|n索爾或艾蘭里亞的詛咒寶箱|n|cFFFFD200地點：|r心之室,,16,1,296036,293030,296036,293030
62,恩若司恐怖幻象|n|cFFFFD200掉落：|r|n失落區域的腐化寶箱|n|cFFFFD200地點：|r心之室,,16,2,296038,296031,310425,310422
63,恩若司恐怖幻象|n|cFFFFD200合成：|r堅定力量的火花|n|cFFFFD200掉落：|r|n腐化與失落區域的腐化寶箱|n|cFFFFD200地點：|r心之室,,16,3,296104,296032,310442,310426
64,納沙塔爾|n|cFFFFD200聲望：|r安寇恩 - 友好|n|cFFFFD200商人：|r使者尤提亞|n|cFFFFD200地點：|r梅札米爾|n|cFFFFD200費用：|r10顆稜光法力珍珠,納沙塔爾|n|cFFFFD200聲望：|r破縛者 - 友好|n|cFFFFD200商人：|r安托莉亞‧海珠|n|cFFFFD200地點：|r新鄉|n|cFFFFD200費用：|r10顆稜光法力珍珠,17,1,296072,296050,296072,296050
65,納沙塔爾|n|cFFFFD200聲望：|r安寇恩 - 尊敬|n|cFFFFD200商人：|r使者尤提亞|n|cFFFFD200地點：|r梅札米爾|n|cFFFFD200費用：|r25顆稜光法力珍珠,納沙塔爾|n|cFFFFD200聲望：|r破縛者 - 尊敬|n|cFFFFD200商人：|r安托莉亞‧海珠|n|cFFFFD200地點：|r新鄉|n|cFFFFD200費用：|r25顆稜光法力珍珠,17,2,296074,296067,299875,299878
66,納沙塔爾|n|cFFFFD200聲望：|r安寇恩 - 崇敬|n|cFFFFD200商人：|r使者尤提亞|n|cFFFFD200地點：|r梅札米爾|n|cFFFFD200費用：|r50顆稜光法力珍珠,納沙塔爾|n|cFFFFD200聲望：|r破縛者 - 崇敬|n|cFFFFD200商人：|r安托莉亞‧海珠|n|cFFFFD200地點：|r新鄉|n|cFFFFD200費用：|r50顆稜光法力珍珠,17,3,296075,296062,299876,299879
67,戰場|n|cFFFFD200任務：|r「戰場衝鋒」|n|cFFFFD200回報NPC：|r賈伯里元帥|n|cFFFFD200地點：|r波拉勒斯的艾胥凡碼頭,戰場|n|cFFFFD200任務：|r「戰場衝鋒」|n|cFFFFD200回報NPC：|r山德‧銀法|n|cFFFFD200地點：|r穆干巴拉,18,1,296094,296081,296094,296081
68,戰場|n|cFFFFD200成就：|r「戰場尖兵」|n|cFFFFD200商人：|r賈伯里元帥|n|cFFFFD200地點：|r艾胥凡碼頭，波拉勒斯|n|cFFFFD200費用：|r25個榮譽獎章,戰場|n|cFFFFD200成就：|r「戰場尖兵」|n|cFFFFD200商人：|r山德‧銀法|n|cFFFFD200地點：|r穆干巴拉|n|cFFFFD200費用：|r25個榮譽獎章,18,2,296102,296091,299882,299885
69,戰場|n|cFFFFD200成就：|r「戰場戰術師」|n|cFFFFD200商人：|r賈伯里元帥|n|cFFFFD200地點：|r艾胥凡碼頭，波拉勒斯|n|cFFFFD200費用：|r25個榮譽獎章,戰場|n|cFFFFD200成就：|r「戰場戰術師」|n|cFFFFD200商人：|r山德‧銀法|n|cFFFFD200地點：|r穆干巴拉|n|cFFFFD200費用：|r25個榮譽獎章,18,3,296103,296089,299883,299887
70,機械岡|n|cFFFFD200聲望：|r鏽栓反抗軍 - 友好|n|cFFFFD200商人：|r失竊的皇家販賣機器人|n|cFFFFD200地點：|r鏽栓鎮|n|cFFFFD200費用：|r1個電流振動器和2個備用零件箱,,19,1,296197,296136,296197,296136
71,機械岡|n|cFFFFD200聲望：|r鏽栓反抗軍 - 尊敬|n|cFFFFD200商人：|r失竊的皇家販賣機器人|n|cFFFFD200地點：|r鏽栓鎮|n|cFFFFD200費用：|r5個電流振動器和10個備用零件箱,,19,2,296200,296192,299932,299935
72,機械岡|n|cFFFFD200聲望：|r鏽栓反抗軍 - 崇敬|n|cFFFFD200商人：|r失竊的皇家販賣機器人|n|cFFFFD200地點：|r鏽栓鎮|n|cFFFFD200費用：|r8個電流振動器和20個備用零件箱,,19,3,296201,296193,299933,299936
73,傳奇難度地城|n|cFFFFD200合成：|r濃縮的生命血靈|n|cFFFFD200掉落：|r地城最後首領,,20,1,293032,296207,293032,296207
74,傳奇難度地城|n|cFFFFD200合成：|r濃縮的生命血靈|n|cFFFFD200掉落：|r地城最後首領,,20,2,296220,296213,299943,299939
75,傳奇難度地城|n|cFFFFD200合成：|r濃縮的生命血靈|n|cFFFFD200掉落：|r地城最後首領,,20,3,296221,296214,299944,299940
76,永恆宮殿團隊副本|n|cFFFFD200合成：|r元水聖匣|n|cFFFFD200掉落：|r艾薩拉光輝，女王法庭或艾薩拉女王,,21,1,296230,303448,296230,303448
77,永恆宮殿團隊副本|n|cFFFFD200合成：|r元水聖匣|n|cFFFFD200掉落：|r艾薩拉光輝，女王法庭或艾薩拉女王,,21,2,303472,303463,299958,303474
78,永恆宮殿團隊副本|n|cFFFFD200合成：|r元水聖匣|n|cFFFFD200掉落：|r艾薩拉光輝、女王法庭或艾薩拉女王,,21,3,296232,303460,299959,303476
79,機械岡行動|n|cFFFFD200掉落：|r機械岡國王,,22,1,296325,296320,296325,296320
80,機械岡行動|n|cFFFFD200工程：|r完美計時差距藍圖|n|cFFFFD200掉落：|r機械岡國王,,22,2,296326,296321,299368,299367
81,機械岡行動|n|cFFFFD200合成：|r扣鏈齒輪|n|cFFFFD200掉落：|r機械岡國王,,22,3,303342,296322,299370,299369
82,機械岡行動(傳奇難度)|n|cFFFFD200成就：|r「赫茲儲物箱」|n|cFFFFD200閒聊：|r伊拉敏王子|n|cFFFFD200地點：|r鏽栓鎮,,22,4,296328,296324,299370,299369
83,戰場|n|cFFFFD200任務：|r「戰場衝鋒」|n|cFFFFD200回報NPC：|r賈伯里元帥|n|cFFFFD200地點：|r波拉勒斯的艾胥凡碼頭,戰場|n|cFFFFD200任務：|r「戰場衝鋒」|n|cFFFFD200回報NPC：|r山德‧銀法|n|cFFFFD200地點：|r穆干巴拉,23,1,297108,297147,297108,297147
84,戰場|n|cFFFFD200成就：|r「戰場尖兵」|n|cFFFFD200商人：|r賈伯里元帥|n|cFFFFD200地點：|r艾胥凡碼頭，波拉勒斯|n|cFFFFD200費用：|r25個榮譽獎章,戰場|n|cFFFFD200成就：|r「戰場尖兵」|n|cFFFFD200商人：|r山德‧銀法|n|cFFFFD200地點：|r穆干巴拉|n|cFFFFD200費用：|r25個榮譽獎章,23,2,297120,297177,298273,298274
85,戰場|n|cFFFFD200成就：|r「戰場戰術師」|n|cFFFFD200商人：|r賈伯里元帥|n|cFFFFD200地點：|r艾胥凡碼頭，波拉勒斯|n|cFFFFD200費用：|r25個榮譽獎章,戰場|n|cFFFFD200成就：|r「戰場戰術師」|n|cFFFFD200商人：|r山德‧銀法|n|cFFFFD200地點：|r穆干巴拉|n|cFFFFD200費用：|r25個榮譽獎章,23,3,297122,297178,298277,298275
89,恆春谷|n|cFFFFD200任務串起點：|r|n「處境堪慮」|n|cFFFFD200任務串終點：|r|n「重拾希望」|n|cFFFFD200任務給予者：|r麥格尼‧銅鬚|n|cFFFFD200地點：|r心之室,,24,1,297375,297411,297375,297411
90,恆春谷|n|cFFFFD200合成：|r永恆靈魂之息|n|cFFFFD200任務：|r|n當週第一個黑暗幻象每日任務。|n|cFFFFD200任務給予者：|r暗爪探員|n|cFFFFD200地點：|r|n靠近奧丹姆或恆春谷的黑暗幻象傳送門,,24,2,297546,297542,298309,298302
91,恆春谷|n|cFFFFD200聲望：|r萊加尼 - 崇敬|n|cFFFFD200商人：|r張古|n|cFFFFD200地點：|r靜默聖地|n|cFFFFD200費用：|r50個腐化的紀念物,,24,3,297547,297544,298312,298304
96,納沙塔爾|n|cFFFFD200聲望：|r安寇恩 - 友好|n|cFFFFD200商人：|r使者尤提亞|n|cFFFFD200地點：|r梅札米爾|n|cFFFFD200費用：|r10顆稜光法力珍珠,納沙塔爾|n|cFFFFD200聲望：|r破縛者 - 友好|n|cFFFFD200商人：|r安托莉亞‧海珠|n|cFFFFD200地點：|r新鄉|n|cFFFFD200費用：|r10顆稜光法力珍珠,25,1,298168,298193,298168,298193
97,納沙塔爾|n|cFFFFD200聲望：|r安寇恩 - 尊敬|n|cFFFFD200商人：|r使者尤提亞|n|cFFFFD200地點：|r梅札米爾|n|cFFFFD200費用：|r25顆稜光法力珍珠,納沙塔爾|n|cFFFFD200聲望：|r破縛者 - 尊敬|n|cFFFFD200商人：|r安托莉亞‧海珠|n|cFFFFD200地點：|r新鄉|n|cFFFFD200費用：|r25顆稜光法力珍珠,25,2,298169,298351,299273,299274
98,納沙塔爾|n|cFFFFD200聲望：|r安寇恩 - 崇敬|n|cFFFFD200商人：|r使者尤提亞|n|cFFFFD200地點：|r梅札米爾|n|cFFFFD200費用：|r50顆稜光法力珍珠,納沙塔爾|n|cFFFFD200聲望：|r破縛者 - 崇敬|n|cFFFFD200商人：|r安托莉亞‧海珠|n|cFFFFD200地點：|r新鄉|n|cFFFFD200費用：|r50顆稜光法力珍珠,25,3,298174,298352,299275,299277
99,戰場|n|cFFFFD200成就：|r「戰場大師」|n|cFFFFD200商人：|r賈伯里元帥|n|cFFFFD200地點：|r艾胥凡碼頭，波拉勒斯,戰場|n|cFFFFD200成就：|r「戰場大師」|n|cFFFFD200商人：|r山德‧銀法|n|cFFFFD200地點：|r穆干巴拉,23,4,298182,298183,298277,298275
100,恆春谷|n|cFFFFD200聲望：|r萊加尼補給品|n|cFFFFD200商人：|r張古|n|cFFFFD200地點：|r靜默聖地,,24,4,298184,298185,298312,298304
101,納沙塔爾|n|cFFFFD200聲望：|r安寇恩補給品|n|cFFFFD200商人：|r使者尤提亞|n|cFFFFD200地點：|r梅札米爾,納沙塔爾|n|cFFFFD200聲望：|r破縛者補給品|n|cFFFFD200商人：|r安托莉亞‧海珠l|n|cFFFFD200地點：|r新鄉,25,4,298186,298353,299275,299277
102,納沙塔爾|n|cFFFFD200任務：|r「短暫的歇息」|n|cFFFFD200任務給予者：|r珍娜‧普勞德摩爾女士|n|cFFFFD200地點：|r梅札米爾,納沙塔爾|n|cFFFFD200任務：|r「深入納沙塔爾」|n|cFFFFD200任務給予者：|r洛索瑪‧塞隆|n|cFFFFD200地點：|r新鄉,27,1,298357,298268,298357,298268
103,納沙塔爾|n|cFFFFD200任務：|r「朋友有難」|n|cFFFFD200任務給予者：|r珍娜‧普勞德摩爾女士|n|cFFFFD200地點：|r梅札米爾,納沙塔爾|n|cFFFFD200任務：|r「再接再厲」|n|cFFFFD200任務給予者：|r洛索瑪‧塞隆|n|cFFFFD200地點：|r新鄉,27,2,298376,298337,299372,299371
104,納沙塔爾|n|cFFFFD200成就：|r「海上實戰訓練」|n|cFFFFD200商人：|r使者尤提亞|n|cFFFFD200地點：|r梅札米爾|n|cFFFFD200費用：|r50顆稜光法力珍珠,納沙塔爾|n|cFFFFD200成就：|r「海上實戰訓練」|n|cFFFFD200商人：|r安托莉亞‧海珠|n|cFFFFD200地點：|r新鄉|n|cFFFFD200費用：|r50顆稜光法力珍珠,27,3,298377,298339,299374,299373
105,納沙塔爾|n|cFFFFD200成就：|r「海陸通吃」|n|cFFFFD200商人：|r使者尤提亞|n|cFFFFD200地點：|r梅札米爾,納沙塔爾|n|cFFFFD200成就：|r「海陸通吃」|n|cFFFFD200商人：|r安托莉亞‧海珠l|n|cFFFFD200地點：|r新鄉,27,4,298405,298404,299374,299373
106,納沙塔爾|n|cFFFFD200聲望：|r安寇恩 - 友好|n|cFFFFD200商人：|r使者尤提亞|n|cFFFFD200地點：|r梅札米爾|n|cFFFFD200費用：|r10顆稜光法力珍珠,納沙塔爾|n|cFFFFD200聲望：|r破縛者 - 友好|n|cFFFFD200商人：|r安托莉亞‧海珠|n|cFFFFD200地點：|r新鄉|n|cFFFFD200費用：|r10顆稜光法力珍珠,28,1,298452,298407,298452,298407
107,納沙塔爾|n|cFFFFD200聲望：|r安寇恩 - 尊敬|n|cFFFFD200商人：|r使者尤提亞|n|cFFFFD200地點：|r梅札米爾|n|cFFFFD200費用：|r25顆稜光法力珍珠,納沙塔爾|n|cFFFFD200聲望：|r破縛者 - 尊敬|n|cFFFFD200商人：|r安托莉亞‧海珠|n|cFFFFD200地點：|r新鄉|n|cFFFFD200費用：|r25顆稜光法力珍珠,28,2,298455,298448,299376,299375
108,納沙塔爾|n|cFFFFD200聲望：|r安寇恩 - 崇敬|n|cFFFFD200商人：|r使者尤提亞|n|cFFFFD200地點：|r梅札米爾|n|cFFFFD200費用：|r50顆稜光法力珍珠,納沙塔爾|n|cFFFFD200聲望：|r破縛者 - 崇敬|n|cFFFFD200商人：|r安托莉亞‧海珠|n|cFFFFD200地點：|r新鄉|n|cFFFFD200費用：|r50顆稜光法力珍珠,28,3,298456,298449,299378,299377
109,納沙塔爾|n|cFFFFD200聲望：|r安寇恩補給品|n|cFFFFD200商人：|r使者尤提亞|n|cFFFFD200地點：|r梅札米爾,納沙塔爾|n|cFFFFD200聲望：|r破縛者補給品|n|cFFFFD200商人：|r安托莉亞‧海珠l|n|cFFFFD200地點：|r新鄉,28,4,298457,298450,299378,299377
110,戰場|n|cFFFFD200成就：|r「戰場大師」|n|cFFFFD200商人：|r賈伯里元帥|n|cFFFFD200地點：|r艾胥凡碼頭，波拉勒斯,戰場|n|cFFFFD200成就：|r「戰場大師」|n|cFFFFD200商人：|r山德‧銀法|n|cFFFFD200地點：|r穆干巴拉,18,4,299518,299519,299883,299887
111,傳奇難度+地城|n|cFFFFD200賽季：|r第三季或之後賽季|n|cFFFFD200成就：|r「決戰艾澤拉斯鑰石王」|n|cFFFFD200商人：|r奇術師瓦須林|n|cFFFFD200地點：|r波拉勒斯的信風市場,傳奇難度+地城|n|cFFFFD200賽季：|r第3季以及之後賽季|n|cFFFFD200成就：|r「決戰艾澤拉斯鑰石王」|n|cFFFFD200商人：|r奇術師瓦須林|n|cFFFFD200地點：|r達薩亞洛的大市集,20,4,299520,299521,299944,299940
112,納沙塔爾|n|cFFFFD200聲望：|r安寇恩補給品|n|cFFFFD200商人：|r使者尤提亞|n|cFFFFD200地點：|r梅札米爾,納沙塔爾|n|cFFFFD200聲望：|r破縛者補給品|n|cFFFFD200商人：|r安托莉亞‧海珠l|n|cFFFFD200地點：|r新鄉,17,4,299522,299523,299876,299879
113,機械岡|n|cFFFFD200聲望：|r鏽栓補給品|n|cFFFFD200商人：|r失竊的皇家販賣機器人|n|cFFFFD200地點：|r鏽栓鎮,,19,4,299529,299530,299933,299936
114,恩若司恐怖幻象|n|cFFFFD200成就：|r|n「穿過幻象深處」|n|cFFFFD200NPC：|r怒西昂|n|cFFFFD200地點：|r心之室,,16,4,299542,299544,310442,310426
115,永恆宮殿團隊副本|n|cFFFFD200掉落：|r艾薩拉女王 - 傳奇,,21,4,299559,299560,299959,303476
121,PvP積分賽程|n|cFFFFD200賽季：|r第三季或之後賽季|n|cFFFFD200費用：|r250點榮譽點數|n|cFFFFD200商人：|r賈伯里元帥|n|cFFFFD200地點：|r波拉勒斯的艾胥凡碼頭,PvP積分賽程|n|cFFFFD200賽季：|r第三季或之後賽季|n|cFFFFD200費用：|r250點榮譽點數|n|cFFFFD200商人：|r山德‧銀法|n|cFFFFD200地點：|r穆干巴拉,32,1,303823,304081,303823,304081
122,PvP積分賽程|n|cFFFFD200賽季：|r第三季或之後賽季|n|cFFFFD200積分：|r上週1000+|n|cFFFFD200費用：|r500點榮譽點數|n|cFFFFD200商人：|r賈伯里元帥|n|cFFFFD200地點：|r艾胥凡碼頭，波拉勒斯,PvP積分賽程|n|cFFFFD200賽季：|r第三季或之後賽季|n|cFFFFD200積分：|r上週1000+|n|cFFFFD200費用：|r500點榮譽點數|n|cFFFFD200商人：|r山德‧銀法|n|cFFFFD200地點：|r穆干巴拉,32,2,304086,304055,304088,304089
