SourceText_lang,ID,ItemID,PvpFaction,SourceTypeEnum,SpellID
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍊金術（55）|n|cFFFFD200花費：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2553,0,-1,3,2337
|cFFFFD200專業技能訓練師：|r艾澤拉斯採礦（65）|n|cFFFFD200花費：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2561,0,-1,3,2658
|cFFFFD200專業技能訓練師：|r艾澤拉斯採礦（50）|n|cFFFFD200花費：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2562,0,-1,3,2659
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（35）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t30|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2564,0,-1,3,2661
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（1）|n|cFFFFD200花費：|r10|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2565,0,-1,3,2662
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（90）|n|cFFFFD200花費：|r6|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2567,0,-1,3,2664
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（65）|n|cFFFFD200花費：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2568,0,-1,3,2665
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（70）|n|cFFFFD200花費：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2569,0,-1,3,2666
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落|n|n|cFFFFD200收集：|r世界地圖點,2570,0,0,0,2667
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（105）|n|cFFFFD200花費：|r12|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2571,0,-1,3,2668
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（105）|n|cFFFFD200花費：|r12|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2572,0,-1,3,2670
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（120）|n|cFFFFD200花費：|r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2573,0,-1,3,2672
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（125）|n|cFFFFD200花費：|r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2574,0,-1,3,2674
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（145）|n|cFFFFD200花費：|r52|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2575,0,-1,3,2675
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（15）|n|cFFFFD200花費：|r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2576,0,-1,3,2737
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（110）|n|cFFFFD200花費：|r15|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2577,0,-1,3,2740
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（115）|n|cFFFFD200花費：|r17|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2578,0,-1,3,2741
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（20）|n|cFFFFD200花費：|r75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2579,0,-1,3,2738
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（25）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2580,0,-1,3,2739
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（120）|n|cFFFFD200花費：|r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2581,0,-1,3,2742
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（125）|n|cFFFFD200花費：|r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2587,0,-1,3,3117
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（65）|n|cFFFFD200花費：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2588,0,-1,3,3116
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍊金術（90）|n|cFFFFD200花費：|r6|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2589,0,-1,3,3171
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍊金術（120）|n|cFFFFD200花費：|r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2590,0,-1,3,3173
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落|n|n|cFFFFD200收集：|r世界地圖點,2591,0,0,0,3174
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍊金術（125）|n|cFFFFD200花費：|r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2592,0,-1,3,3176
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍊金術（130）|n|cFFFFD200花費：|r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2593,0,-1,3,3177
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2594,0,0,0,2333
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2595,0,0,0,3188
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍊金術（15）|n|cFFFFD200花費：|r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2596,0,-1,3,3170
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落|n|n|cFFFFD200收集：|r世界地圖點,2597,0,0,0,3230
|cFFFFD200專業技能訓練師：|r艾澤拉斯採礦（115）|n|cFFFFD200花費：|r17|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2598,0,-1,3,3308
|cFFFFD200專業技能訓練師：|r艾澤拉斯採礦（100）|n|cFFFFD200花費：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2599,0,-1,3,3307
|cFFFFD200專業技能訓練師：|r艾澤拉斯採礦（50）|n|cFFFFD200花費：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2600,0,-1,3,3304
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（95）|n|cFFFFD200花費：|r7|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2601,0,-1,3,3292
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（35）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t30|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2602,0,-1,3,3293
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（70）|n|cFFFFD200花費：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2603,0,-1,3,3294
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落|n|n|cFFFFD200收集：|r世界地圖點,2604,0,0,0,3295
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（130）|n|cFFFFD200花費：|r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2605,0,-1,3,3296
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2606,0,0,0,3297
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（20）|n|cFFFFD200花費：|r75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2607,0,-1,3,3319
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（25）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2608,0,-1,3,3320
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2609,0,0,0,3321
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（40）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2610,0,-1,3,3323
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（45）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2611,0,-1,3,3324
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落|n|n|cFFFFD200收集：|r世界地圖點,2612,0,0,0,3325
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（75）|n|cFFFFD200花費：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2613,0,-1,3,3326
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（110）|n|cFFFFD200花費：|r15|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2614,0,-1,3,3328
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落|n|n|cFFFFD200收集：|r世界地圖點,2615,0,0,0,3330
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（130）|n|cFFFFD200花費：|r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2616,0,-1,3,3331
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（135）|n|cFFFFD200花費：|r35|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2617,0,-1,3,3333
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2618,0,0,0,3334
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2619,0,0,0,3336
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（125）|n|cFFFFD200花費：|r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2620,0,-1,3,3337
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍊金術（110）|n|cFFFFD200花費：|r15|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2621,0,-1,3,3447
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍊金術（165）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2622,0,-1,3,3448
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍊金術（165）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2623,0,-1,3,3449
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍊金術（175）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t55|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2624,0,-1,3,3450
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2625,0,0,0,3451
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍊金術（160）|n|cFFFFD200花費：|r90|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2626,0,-1,3,3452
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2627,0,0,0,3453
|cFFFFD200商人：|r布洛金|n|cFFFFD200區域：|r希爾斯布萊德丘陵|n|cFFFFD200花費：|r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2628,0,-1,2,3454
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（105）|n|cFFFFD200花費：|r12|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2630,0,-1,3,3491
|cFFFFD200商人：|r世界商人|n|cFFFFD200花費：|r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2631,0,-1,2,3492
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2632,0,0,0,3493
|cFFFFD200商人：|r高階上將『殼甲』喬瑞克|n|cFFFFD200區域：|r西部荒野|n|cFFFFD200花費：|r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200商人：|r莫爾蘭|n|cFFFFD200區域：|r淒涼之地|n|cFFFFD200花費：|r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2633,0,0,2,3494
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2634,0,0,0,3495
|cFFFFD200商人：|r薩瑞娜‧克羅姆溫德|n|cFFFFD200區域：|r荊棘谷海角|n|cFFFFD200花費：|r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2635,0,-1,2,3496
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2636,0,0,0,3497
|cFFFFD200商人：|r加奎琳娜‧德拉米特|n|cFFFFD200區域：|r北荊棘谷|n|cFFFFD200花費：|r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200商人：|r維哈爾|n|cFFFFD200區域：|r北荊棘谷|n|cFFFFD200花費：|r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2637,0,-1,2,3498
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2638,0,0,0,3500
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（165）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2639,0,-1,3,3501
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（170）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2640,0,-1,3,3502
|cFFFFD200商人：|r克林科‧古德斯迪爾|n|cFFFFD200區域：|r塔納利斯|n|cFFFFD200花費：|r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200商人：|r克林科‧古德斯迪爾|n|cFFFFD200區域：|r塔納利斯|n|cFFFFD200花費：|r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2641,0,-1,2,3503
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2642,0,0,0,3504
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2643,0,0,0,3505
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（155）|n|cFFFFD200花費：|r77|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2644,0,-1,3,3506
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2645,0,0,0,3507
|cFFFFD200專業技能訓練師：|r艾澤拉斯鍛造（180）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t80|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2646,0,-1,3,3508
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2647,0,0,0,3511
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2648,0,0,0,3513
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2649,0,0,0,3515
|cFFFFD200專業技能訓練師：|r艾澤拉斯採礦（125）|n|cFFFFD200花費：|r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2652,0,-1,3,3569
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（25）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2655,0,-1,3,3753
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（55）|n|cFFFFD200花費：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2656,0,-1,3,3756
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（75）|n|cFFFFD200花費：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2657,0,-1,3,3759
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（150）|n|cFFFFD200花費：|r65|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2658,0,-1,3,3760
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（85）|n|cFFFFD200花費：|r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2659,0,-1,3,3761
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落|n|n|cFFFFD200收集：|r世界地圖點,2660,0,0,0,3762
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（80）|n|cFFFFD200花費：|r4|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2661,0,-1,3,3763
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（145）|n|cFFFFD200花費：|r52|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2662,0,-1,3,3764
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2663,0,0,0,3765
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（125）|n|cFFFFD200花費：|r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2664,0,-1,3,3766
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落|n|n|cFFFFD200收集：|r世界地圖點,2665,0,0,0,3767
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（130）|n|cFFFFD200花費：|r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2666,0,-1,3,3768
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2667,0,0,0,3769
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（135）|n|cFFFFD200花費：|r35|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2668,0,-1,3,3770
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2669,0,0,0,3771
|cFFFFD200商人：|r喬治‧坎達特|n|cFFFFD200區域：|r希爾斯布萊德丘陵|n|cFFFFD200花費：|r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2670,0,0,2,3772
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2671,0,0,0,3773
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（160）|n|cFFFFD200花費：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2672,0,-1,3,3774
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2673,0,0,0,3775
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（180）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t80|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2674,0,-1,3,3776
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2675,0,0,0,3777
|cFFFFD200商人：|r雷克奇茲|n|cFFFFD200區域：|r荊棘谷海角|n|cFFFFD200花費：|r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2676,0,-1,2,3778
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r世界掉落,2677,0,0,0,3779
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（35）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t30|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2678,0,-1,3,3816
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（100）|n|cFFFFD200花費：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2679,0,-1,3,3817
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（150）|n|cFFFFD200花費：|r65|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2680,0,-1,3,3818
|cFFFFD200專業技能訓練師：|r艾澤拉斯製皮（150）|n|cFFFFD200花費：|r65|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2681,0,-1,3,3780
|cFFFFD200專業技能訓練師：|r艾澤拉斯裁縫（10）|n|cFFFFD200花費：|r30|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2687,0,-1,3,2385
|cFFFFD200掉落：|r世界生物|n|n|cFFFFD200寶藏：|r外域,2688,0,0,0,2389
|cFFFFD200專業技能訓練師：|r艾澤拉斯裁縫（65）|n|cFFFFD200花費：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2689,0,-1,3,2386
|cFFFFD200專業技能訓練師：|r艾澤拉斯裁縫（40）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2690,0,-1,3,2392
|cFFFFD200專業技能訓練師：|r艾澤拉斯裁縫（1）|n|cFFFFD200花費：|r10|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2691,0,-1,3,2393
|cFFFFD200專業技能訓練師：|r艾澤拉斯裁縫（40）|n|cFFFFD200花費：|r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2692,0,-1,3,2394
|cFFFFD200專業技能訓練師：|r艾澤拉斯裁縫（60）|n|cFFFFD200花費：|r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2693,0,-1,3,2397
|cFFFFD200專業技能訓練師：|r艾澤拉斯裁縫（70）|n|cFFFFD200花費：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2694,0,-1,3,2395
|cFFFFD200專業技能訓練師：|r艾澤拉斯裁縫（70）|n|cFFFFD200花費：|r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2695,0,-1,3,2396
