Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID,HiddenBeforeDisplaySeason,LegacyAfterTimeEvent
完成下列的祖爾德拉克故事情節。,祖爾德拉克帝國,,36,-1,-1,0,14863,0,10,131072,17,236862,0,1881,0,0,0,0
完成下列的灰白之丘故事情節。,灰白之丘是我家後花園,,37,-1,1,0,14863,0,10,131072,14,236772,0,5284,0,0,0,0
完成下列的風暴群山故事情節。,風暴群山之顛,,38,-1,-1,0,14863,0,10,131072,22,236838,0,1884,0,0,0,0
完成下列的休拉薩盆地故事情節。,深入盆地,,39,-1,-1,0,14863,0,10,131072,20,236823,0,1887,0,0,0,0
完成下列的寒冰皇冠故事情節。,寒冰皇冠:最終目標,,40,-1,-1,0,14863,0,10,131072,23,236799,0,3375,0,0,0,0
完成下列的北裂境任務成就。,北裂境博學大師,,41,-1,-1,0,14863,0,10,131072,33,236812,0,5756,0,0,0,0
探索東部王國所有區域。,東部王國探險家,,42,-1,-1,0,97,0,25,131072,1,236759,0,2402,0,0,0,0
探索卡林多所有區域。,卡林多探險家,,43,-1,-1,0,97,0,25,131072,2,236807,0,3317,0,0,0,0
探索外域所有區域。,外域探險家,,44,-1,-1,0,97,0,25,131072,3,236813,0,3340,0,0,0,0
探索北裂境所有區域。,北裂境探險家,獎勵：探險者外袍,45,-1,-1,0,97,0,25,131072,4,236812,0,12064,0,0,0,0
探索東部王國、卡林多、外域、北裂境、因為大災變出現的區域、潘達利亞、德拉諾、破碎群島、庫爾提拉斯以及贊達拉。,世界探險家,頭銜：探險家,46,-1,-1,0,97,0,50,131072,13,237381,0,3257,0,0,0,0
奧特蘭克山谷獲勝次數,奧特蘭克山谷獲勝次數,,49,30,-1,0,153,0,0,1,6,136243,0,15889,0,0,0,0
暴風之眼獲勝次數,暴風之眼獲勝次數,,50,566,-1,0,153,0,0,1,13,136243,0,9109,0,0,0,0
阿拉希盆地獲勝次數,阿拉希盆地獲勝次數,,51,529,-1,0,153,0,0,1,8,136243,0,5504,0,0,0,0
參與戰歌峽谷戰場次數,參與戰歌峽谷戰場次數,,52,489,-1,0,153,0,0,1,20,136243,0,5507,0,0,0,0
參與奧特蘭克山谷戰場次數,參與奧特蘭克山谷戰場次數,,53,30,-1,0,153,0,0,1,5,136243,0,5510,0,0,0,0
參與暴風之眼戰場次數,參與暴風之眼戰場次數,,54,566,-1,0,153,0,0,1,11,136243,0,1272,0,0,0,0
參與阿拉希盆地戰場次數,參與阿拉希盆地戰場次數,,55,529,-1,0,153,0,0,1,7,136243,0,3391,0,0,0,0
死亡總數,死亡總次數,,60,-1,-1,0,122,0,0,1,1,136243,0,1189,0,0,0,0
在單場阿拉希盆地戰鬥中突襲3座基地。,使盆地蒙羞,,73,-1,-1,0,14802,0,10,0,5,132333,0,7709,0,0,0,0
放棄的任務數,放棄的任務數,,94,-1,-1,0,133,0,0,1,5,136243,0,805,0,0,0,0
平均一天完成的任務數,平均一天完成的任務數,,95,-1,-1,0,133,0,0,65,2,136243,0,5199,98,0,0,0
每日任務完成數,每日任務完成數,,97,-1,-1,0,133,0,0,1,3,136243,0,5766,0,0,0,0
任務完成數,任務完成數,,98,-1,-1,0,133,0,0,1,1,136243,0,758,0,0,0,0
參與羅德隆廢墟賽事次數,參與羅德隆廢墟賽事次數,,99,-1,-1,0,152,0,0,1,33,136243,0,15898,0,0,0,0
納葛蘭競技場獲勝次數,納葛蘭競技場獲勝次數,,100,-1,-1,0,152,0,0,1,28,136243,0,836,0,0,0,0
納葛蘭競技場賽事次數,納葛蘭競技場賽事次數,,101,-1,-1,0,152,0,0,1,27,136243,0,945,0,0,0,0
羅德隆廢墟獲勝次數,羅德隆廢墟獲勝次數,,102,-1,-1,0,152,0,0,1,34,136243,0,8210,0,0,0,0
劍刃競技場賽事次數,劍刃競技場賽事次數,,103,-1,-1,0,152,0,0,1,13,136243,0,808,0,0,0,0
劍刃競技場獲勝次數,劍刃競技場獲勝次數,,104,-1,-1,0,152,0,0,1,14,136243,0,15892,0,0,0,0
戰歌峽谷獲勝次數,戰歌峽谷獲勝次數,,105,-1,-1,0,153,0,0,1,21,136243,0,3068,0,0,0,0
曾擊殺的生物數,曾擊殺的生物,,107,-1,-1,0,135,0,0,1,1,136243,0,762,0,0,0,0
曾擊殺的小動物數,曾擊殺的小動物,,108,-1,-1,0,135,0,0,1,4,136243,0,774,0,0,0,0
擊殺最多次的巫妖王之怒5人首領,擊敗最多次的巫妖王之怒5人首領,,110,-1,-1,0,14807,0,0,1,8,136243,0,2277,1467,0,0,0
溺水致死次數,溺水致死次數,,112,-1,-1,0,122,0,0,1,2,136243,0,9921,0,0,0,0
死於疲倦的次數,死於疲倦的次數,,113,-1,-1,0,122,0,0,1,3,136243,0,777,0,0,0,0
死於掉落的次數,死於掉落的次數,,114,-1,-1,0,122,0,0,1,4,136243,0,2429,0,0,0,0
死於火焰與熔岩的次數,死於火焰與熔岩的次數,,115,-1,-1,0,122,0,0,1,5,136243,0,1592,0,0,0,0
在一個「艾澤拉斯」主要專業技能獲得150點技能點數。,專業中級職人,,116,-1,-1,0,169,1,10,0,1,134327,0,65946,0,0,0,0
獲得150點「艾澤拉斯」烹飪技能點數。,中級廚師,,121,-1,-1,0,170,0,10,0,1,4620671,0,5281,0,0,0,0
獲得225點「艾澤拉斯」烹飪技能點數。,高級廚師,,122,-1,-1,121,170,0,10,0,2,4620671,0,2377,0,0,0,0
獲得300點「艾澤拉斯」烹飪技能點數。,艾澤拉斯廚師,,123,-1,-1,122,170,0,10,0,3,4620671,0,4033,0,0,0,0
獲得75點「外域」烹飪技能點數。,外域廚師,,124,-1,-1,0,170,0,10,0,4,4620671,0,2432,0,0,0,0
獲得75點「北裂境」烹飪技能點數。,北裂境廚師,,125,-1,-1,0,170,0,10,0,5,4620671,0,1578,0,0,0,0
獲得150點「艾澤拉斯」釣魚技能點數。,中級漁夫,,126,-1,-1,0,171,0,10,0,1,4620674,0,1738,0,0,0,0
獲得225點「艾澤拉斯」釣魚技能點數。,高級漁夫,,127,-1,-1,126,171,0,10,0,4,4620674,0,3071,0,0,0,0
獲得300點「艾澤拉斯」釣魚技能點數。,專家級漁夫,,128,-1,-1,127,171,0,10,0,5,4620674,0,2467,0,0,0,0
獲得75點「外域」釣魚技能點數。,外域漁夫,,129,-1,-1,0,171,0,10,0,6,4620674,0,3667,0,0,0,0
獲得75點「北裂境」釣魚技能點數。,北裂境漁夫,,130,-1,-1,0,171,0,10,0,7,4620674,0,2380,0,0,0,0
獲得150點急救技能點數。,中級醫護員,,131,-1,-1,0,172,0,0,2099200,1,135966,0,2435,0,0,0,0
獲得225點急救技能點數。,高級醫護員,,132,-1,-1,131,172,0,0,2099200,3,135966,0,149,0,0,0,0
獲得300點急救技能點數。,專家級醫護員,,133,-1,-1,132,172,0,0,2048,4,135966,0,1620,0,0,0,0
獲得375點急救技能點數。,大師級醫護員,,134,-1,-1,133,172,0,0,2048,6,135966,0,3355,0,0,0,0
獲得450點急救技能點數。,宗師級醫護員,,135,-1,-1,134,172,0,0,2048,8,135966,0,2792,0,0,0,0
製造500個厚霜紋繃帶。,存起來,,137,-1,-1,0,15496,0,5,131072,14,133674,0,2804,0,0,0,0
使用厚霜紋繃帶、任何一種燼絲繃帶或風絨繃帶治療生命力低於5%的其他玩家。,基本檢傷,,141,-1,-1,0,15496,1,5,0,17,134470,0,6753,0,0,0,0
於毒蛇神殿洞穴中釣出海底潛伏者。,海上潛伏者,,144,-1,-1,0,171,0,10,0,25,132107,0,2813,0,0,0,0
在奧格瑪與暴風城釣到一條魚。,垂釣外交官,,150,-1,-1,0,171,0,10,131072,19,133146,0,1281,0,0,0,0
成功的在魚點中釣魚。,地精老人與海,,153,-1,-1,0,171,1,10,0,17,236573,0,609,0,0,0,0
阿拉希盆地獲勝。,阿拉希盆地勝利,,154,-1,-1,0,14802,0,10,0,1,236385,0,2065,0,0,0,0
在阿拉希盆地完成100次勝利。,阿拉希盆地精兵,,155,-1,-1,154,14802,0,10,131072,2,236381,0,4715,0,0,0,0
於控制5個旗幟的情況下獲得10場阿拉希盆地勝利。,領土主宰,,156,-1,-1,0,14802,0,10,131072,9,236386,0,117,0,0,0,0
在阿拉希盆地守住基地的旗子50次。,及時救援！,,157,-1,-1,0,14802,0,10,131072,7,132365,0,5243,0,0,0,0
在阿拉希盆地中奪取50個旗幟。,我和我的摸旗技術讓這一切成為現實,,158,-1,-1,0,14802,0,10,131072,4,236373,0,1076,0,0,0,0
阿拉希盆地在6分鐘以內獲勝。,搞定它,,159,-1,-1,0,14802,0,10,0,10,236387,0,1079,0,0,0,0
在阿拉希盆地的競賽中，克服500點資源不利的情況獲勝。,強韌獲勝,,161,-1,-1,0,14802,1,10,0,8,236371,0,4405,0,0,0,0
在阿拉希盆地以50分之內的差距獲勝。,我們終究贏了 *咳嗽*,,162,-1,-1,0,14802,0,10,0,11,136165,0,129,0,0,0,0
阿拉希盆地以1600比0獲勝。,阿拉希盆地完封,,165,-1,-1,0,14802,0,20,0,3,236348,0,881,0,0,0,0
戰歌峽谷獲勝。,戰歌峽谷勝利,,166,489,-1,0,14804,0,10,0,1,236396,0,419,0,0,0,0
在戰歌峽谷完成100次勝利。,戰歌峽谷精兵,,167,489,-1,166,14804,0,10,131072,2,236384,0,422,0,0,0,0
戰歌峽谷以3比0獲勝。,戰歌峽谷完封,,168,489,-1,0,14804,0,10,0,8,236397,0,9102,0,0,0,0
已學會的附魔公式,已學會的附魔公式,,178,-1,-1,0,173,0,0,1,6,136243,0,1285,0,0,0,0
曾經分解過的物品,曾經分解過的物品,,181,-1,-1,0,173,0,0,1,8,136243,0,146,0,0,0,0
藉由分解所產生的材料,藉由分解所產生的材料,,183,-1,-1,0,173,0,0,1,7,136243,0,2339,0,0,0,0
你在戰歌峽谷中攜帶並佔領旗幟。,佔領旗幟,,199,489,-1,0,14804,0,10,0,3,236350,0,3500,0,0,0,0
於戰歌峽谷中以防守方身分搶回50根旗幟。,固執防衛者,,200,489,-1,0,14804,0,10,131072,4,236355,0,2383,0,0,0,0
戰歌峽谷在7分鐘以內獲勝。,戰歌快手,,201,489,-1,0,14804,0,10,0,9,236398,0,8437,0,0,0,0
75秒內奪取旗幟並且佔據它。,交旗快手,,202,489,1,0,14804,0,10,0,16,236353,0,2342,0,0,0,0
在單場戰歌峽谷中，在2位旗幟持有者離開銀翼戰旗廳前擊殺他們。,別在我的地盤鬧事,,203,2106,1,0,14804,0,10,0,14,236362,0,2077,0,0,0,0
在單場戰歌峽谷戰鬥中，奪取並佔領旗幟3次，同時未曾死亡。,鐵人,,204,489,-1,0,14804,0,10,0,10,236344,0,3655,0,0,0,0
於戰歌峽谷中殺死100位旗幟持有者。,無上防衛者,,206,489,1,0,14804,0,10,131072,6,236360,0,3409,0,0,0,0
當敵人旗幟還在基地時，在敵隊戰旗廳中擊殺攜帶本隊旗幟的敵人。,反敗為勝,,207,489,-1,0,14804,1,10,0,18,132308,0,13704,0,0,0,0
暴風之眼獲勝。,暴風之眼勝利,,208,566,-1,0,14803,0,10,0,1,236392,0,1763,0,0,0,0
在暴風之眼完成100次勝利。,暴風之眼精兵,,209,566,-1,208,14803,0,10,131072,2,236383,0,1766,0,0,0,0
當你的隊伍在暴風之眼控制了4座基地時，你奪取了旗幟並且佔據了它。,暴風榮耀,,211,566,-1,0,14803,0,10,0,12,236354,0,183,0,0,0,0
你在暴風之眼中攜帶並佔領旗幟。,暴風籠罩,,212,566,-1,0,14803,0,10,128,7,236349,0,5265,0,0,0,0
於單場暴風之眼戰鬥中擊殺5名旗幟的持有者。,暴風突襲兵,,213,566,-1,0,14803,0,10,128,6,236359,0,5778,0,0,0,0
暴風之眼在6分鐘以內獲勝。,狂風,,214,566,-1,0,14803,0,10,0,5,236393,0,3145,0,0,0,0
在單場暴風之眼競賽中，佔領旗幟3次，同時未曾死亡。,為榮耀而生,,216,566,-1,0,14803,0,10,0,8,135739,0,5268,0,0,0,0
奧特蘭克山谷獲勝。,奧特蘭克山谷勝利,,218,30,-1,0,14801,0,10,0,1,236388,0,6278,0,0,0,0
在奧特蘭克山谷完成100次勝利。,奧特蘭克山谷精兵,,219,30,-1,218,14801,0,10,131072,4,236382,0,3874,0,0,0,0
奧特蘭克山谷沒有失去任何哨塔與上尉就獲勝。你必須同時控制所有的部落哨塔。,雷矛完封,,220,30,1,0,14801,0,20,0,13,133431,0,3823,0,0,0,0
在奧特蘭克山谷中奪取50個墓地。,奧特蘭克盜墓者,,221,30,-1,0,14801,0,10,131072,5,236399,0,186,0,0,0,0
在奧特蘭克山谷中守住50座哨塔。,哨塔防禦,,222,30,-1,0,14801,0,10,131072,6,236351,0,3358,0,0,0,0
奧特蘭克山谷中，在征戰平原殺一個尚未下馬的敵人。,病態的蹬羚,,223,30,-1,0,14801,0,10,131072,12,236361,0,3412,0,0,0,0
奧特蘭克山谷中，於霜狼大廳中擊殺50名敵對玩家。,忠誠防禦者,,224,30,0,0,14801,0,10,131072,7,236368,0,4479,0,0,0,0
奧特蘭克山谷友軍控制了兩座礦坑時獲勝。,什麼都用的上,,225,30,1,0,14801,0,10,0,9,236389,0,3835,0,0,0,0
奧特蘭克山谷在6分鐘以內獲勝。,奧特蘭克閃擊戰,,226,30,-1,0,14801,0,20,0,11,236390,0,7771,0,0,0,0
"在單場戰場戰鬥中造成或治療300,000點傷害。本傷害或治療必須是以玩家為目標。",傷害控制,,227,-1,-1,0,95,1,10,0,37,236374,0,990,0,0,0,0
在單場戰場戰鬥中達成30次榮譽擊殺。,死神,,229,-1,-1,0,95,1,10,0,32,136177,0,914,0,0,0,0
完成下列戰場成就。,戰鬥大師,頭銜：戰鬥大師,230,-1,1,0,95,0,50,143360,41,236591,0,4965,0,0,0,0
於單場戰場戰鬥中，在不死亡的條件下取得20次最後擊殺。,破壞鐵球,,231,-1,-1,0,95,1,10,0,38,132364,0,3855,0,0,0,0
在暴風之眼中，於狂暴增益的效果下取得最後一擊。,嗜血狂戰士,,233,566,-1,0,14803,0,10,0,11,136012,0,5215,0,0,0,0
達成一個榮譽擊殺。,一個榮譽擊殺,,238,-1,-1,0,95,0,10,0,1,236647,0,5218,0,0,0,0
達成25000次榮譽擊殺。,25000次榮譽擊殺,,239,-1,-1,509,95,0,10,135168,9,236657,0,5221,0,0,0,0
分別對每一個不同種職業取得最後一擊。,不分職業,,245,-1,-1,0,95,0,10,131072,14,132092,0,6934,0,0,0,0
分別對所有部落種族取得榮譽擊殺。,瞭解敵人,,246,-1,1,0,95,0,10,131072,15,132155,0,6264,0,0,0,0
在他們釋放靈魂之前，對一個死亡的敵人使用/擁抱。,要愛，不要魔獸,,247,-1,-1,0,95,0,10,0,17,135767,0,8295,0,0,0,0
在貴族花園節慶中打開明亮的彩蛋，得到白色禮服襯衣和黑色禮服束褲。,週日盛裝,,248,-1,-1,0,159,0,10,0,5,135012,0,8291,0,0,0,0
在貴族花園節慶中打開明亮的彩蛋，得到一件端莊的晚禮服。,盛裝出席,,249,-1,-1,0,159,0,10,0,6,132645,0,4669,0,0,0,0
經由冬幕歡樂製造器變身成小助手時，達成50次榮譽擊殺。,朋友的小助手,,252,-1,-1,0,156,0,10,131200,3,236703,0,4724,0,0,0,0
在2023年節日重置之前，擊殺無頭騎士。,把那個誰的頭帶給我...噢，等等,,255,-1,-1,0,15274,0,0,2048,78,134015,0,1673,0,0,0,0
在冬幕節時對貝恩‧血蹄丟一顆雪球。,小氣財神,,259,-1,0,0,156,1,10,0,4,132387,0,20082,0,0,0,0
製造12個可愛符咒手鐲。,超可愛,,260,-1,-1,0,15274,0,0,133120,81,133334,0,2103,0,0,0,0
在奴隸監獄殺死艾胡恩。,凍死冰霜領主,,263,-1,-1,0,161,1,10,0,1,135861,0,5612,0,0,0,0
穿著完整的仲夏節套裝在緞帶柱下跳舞60秒。,燃燒的火柱之舞,,271,-1,-1,0,161,0,10,0,2,236216,0,7608,0,0,0,0
15秒內在達拉然拋擲火炬40次。,火炬雜耍師,,272,-1,-1,0,161,0,10,0,45,135433,0,2097,0,0,0,0
拯救麋鹿梅特森。,梅特森騎手！,,273,-1,-1,0,156,1,10,0,1,236707,0,5556,0,0,0,0
取得艾格伯特的蛋、瞌睡蟲韋利、和伊萊克訓練項圈。,老練褓母,,275,-1,-1,0,163,0,50,131072,7,134505,0,3662,0,0,0,0
在冬幕節期間，穿著3件冬天服飾並食用格拉庫的肉餡水果蛋糕。,季節到了,,277,-1,-1,0,156,0,10,0,7,132934,0,4076,0,0,0,0
完成取回燻木牧場被偷走的禮品任務，並獲得燻木牧場的感謝。,一整個討人厭,,279,-1,-1,0,156,1,10,0,9,133170,0,14224,0,0,0,0
急救技能,急救技能,,281,-1,-1,0,178,0,0,1,5,136243,0,458,0,0,0,0
被下列的萬鬼節魔杖變身成各種裝扮過。,化妝舞會,,283,-1,-1,0,158,0,10,131072,14,236548,0,4423,0,0,0,0
收集24種下列表中的面具。,萬用面具,,284,-1,-1,0,158,0,20,131072,8,133567,0,3964,0,0,0,0
吃太多搗蛋糖果，吃到腸胃不適。,吐出來,,288,-1,-1,0,158,0,10,0,2,136182,0,9018,0,0,0,0
完成拯救村莊免於無頭騎士毒手的任務。,萬鬼節的救星,,289,-1,-1,0,158,1,10,0,6,236545,0,3849,0,0,0,0
用增重的南瓜燈籠在下列種族頭上放個南瓜頭。,檢查你的頭,,291,-1,-1,0,158,0,10,131072,13,133661,0,8,0,0,0,0
在萬鬼節世界事件中，透過撿拾或搗蛋糖果獲得邪惡小南瓜和巨型南瓜燈籠。,邪惡呼喚,,292,-1,-1,0,158,0,10,131072,15,236547,0,5513,0,0,0,0
穿上3件啤酒節服飾，在達拉然喝個爛醉跟跳舞。,擾亂安寧,,293,571,-1,0,162,0,10,0,9,133696,0,448,0,0,0,0
擊殺寇仁‧恐酒。,把酒喝光,,295,230,-1,0,162,0,10,0,8,134159,0,3232,0,0,0,0
獲得一隻啤酒節坐騎，或是使用啤酒節啤酒花轉換你的坐騎為啤酒節坐騎。,有了桶子，就有樂子,,303,-1,-1,0,162,1,10,131072,10,132620,0,842,0,0,0,0
贏得藏寶海灣釣魚競賽。,艾澤拉斯釣魚大師,,306,-1,-1,0,171,1,20,0,20,133892,0,4432,0,0,0,0
,死於敵對陣營的總次數,,318,-1,-1,0,21,0,0,1,2,136243,0,4712,0,0,0,0
決鬥獲勝次數,決鬥獲勝次數,,319,-1,-1,0,154,0,0,1,1,136243,0,8204,0,0,0,0
決鬥落敗次數,決鬥落敗次數,,320,-1,-1,0,154,0,0,1,3,136243,0,22,0,0,0,0
任務獎勵金幣總額,任務獎勵金幣總額,,326,-1,-1,0,140,0,0,1,4,136243,0,10543,0,0,0,0
金幣獲得總額,金幣獲得總額,,328,-1,-1,0,140,0,0,1,1,136243,0,2744,0,0,0,0
委託拍賣總數,委託拍賣總數,,329,-1,-1,0,140,0,0,1,6,136243,0,15895,0,0,0,0
購得拍賣總數,購得拍賣總數,,330,-1,-1,0,140,0,0,1,7,136243,0,2083,0,0,0,0
購買過最貴的拍賣品,購買過最貴的拍賣品,,331,-1,-1,0,140,0,0,1,8,136243,0,264,0,0,0,0
售出過最貴的拍賣品,售出過最貴的拍賣品,,332,-1,-1,0,140,0,0,1,9,136243,0,2750,0,0,0,0
拾取金幣總額,拾取金幣總額,,333,-1,-1,0,140,0,0,1,3,136243,0,2753,0,0,0,0
最大持有金幣總額,最大持有金幣總額,,334,-1,-1,0,140,0,0,1,14,136243,0,2,0,0,0,0
持有的小寵物數量,持有的小寵物數量,,338,-1,-1,0,15219,0,0,1,1,136243,0,5294,0,0,0,0
使用過的繃帶,使用過的繃帶,,344,-1,-1,0,145,0,0,1,1,136243,0,1930,0,0,0,0
服用過的治療藥水,服用過的治療藥水,,345,-1,-1,0,145,0,0,9,4,136243,0,5882,0,0,0,0
飲用過的飲料,飲用過的飲料,,346,-1,-1,0,145,0,0,1,16,136243,0,5924,0,0,0,0
吃過的食物,吃過的食物,,347,-1,-1,0,145,0,0,9,19,136243,0,15901,0,0,0,0
飛行趟數,飛行趟數,,349,-1,-1,0,134,0,0,1,1,136243,0,2442,0,0,0,0
通過法師傳送門的總次數,通過法師傳送門的總次數,,350,-1,-1,0,134,0,0,1,3,136243,0,921,0,0,0,0
使用爐石次數,使用爐石次數,,353,-1,-1,0,134,0,0,1,5,136243,0,467,0,0,0,0
5v5獲勝次數,5v5獲勝次數,,362,-1,-1,0,152,0,0,524289,4,136243,0,532,0,0,0,0
參與5v5賽事次數,參與5v5賽事次數,,363,-1,-1,0,152,0,0,524289,3,136243,0,6137,0,0,0,0
3v3獲勝次數,3v3獲勝次數,,364,-1,-1,0,152,0,0,1,6,136243,0,2445,0,0,0,0
參與3v3賽事次數,參與3v3賽事次數,,365,-1,-1,0,152,0,0,1,5,136243,0,6144,0,0,0,0
2v2獲勝次數,2v2獲勝次數,,366,-1,-1,0,152,0,0,1,8,136243,0,6151,0,0,0,0
參與2v2賽事次數,參與2v2賽事次數,,367,-1,-1,0,152,0,0,1,7,136243,0,539,0,0,0,0
,最高2v2個人積分,,370,-1,-1,0,152,0,0,1,43,136243,0,10139,0,0,0,0
,最高2v2隊伍積分,,374,-1,-1,0,152,0,0,524289,46,136243,0,4040,0,0,0,0
世界榮譽擊殺數,世界榮譽擊殺數,,381,-1,-1,0,136,0,0,1,2,136243,0,6158,0,0,0,0
戰場榮譽擊殺數,戰場榮譽擊殺數,,382,-1,-1,0,136,0,0,1,4,136243,0,973,0,0,0,0
競技場榮譽擊殺數,競技場榮譽擊殺數,,383,-1,-1,0,136,0,0,1,3,136243,0,983,0,0,0,0
在你的主城中殺死50名敵對玩家。,城市防衛者,,388,-1,1,0,95,0,10,131200,20,236593,0,4372,0,0,0,0
從古拉巴什競技場中奪取競技場大師飾品。,古拉巴什競技場大師,,389,-1,-1,0,95,1,10,0,18,133608,0,8047,0,0,0,0
防守奧特蘭克山谷哨塔,防守奧特蘭克山谷哨塔,,393,-1,-1,0,153,0,0,1,30,136243,0,2474,0,0,0,0
佔領奧特蘭克山谷哨塔,佔領奧特蘭克山谷哨塔,,394,-1,-1,0,153,0,0,1,31,136243,0,9924,0,0,0,0
奪取戰歌峽谷旗幟,奪取戰歌峽谷旗幟,,395,-1,-1,0,153,0,0,1,35,136243,0,4043,0,0,0,0
完成小個子約翰‧米斯瑞爾的任務，取得競技場宗師飾物。,古拉巴什競技場宗師,,396,-1,-1,0,95,1,10,0,19,133599,0,7014,0,0,0,0
在競技場積分賽中獲勝。,跨入競技場,,397,-1,-1,0,165,0,10,0,1,236543,0,2671,0,0,0,0
在競技場積分賽中獲得100場勝利。,無情獻身,,398,-1,-1,397,165,0,10,131072,2,236534,0,2674,0,0,0,0
在2v2競技場賽程中獲得1550點個人積分。,只有我倆：1550,,399,-1,-1,0,165,0,10,0,6,236323,0,3229,0,0,0,0
在2v2競技場賽程中獲得1750點個人積分。,只有我倆：1750,,400,-1,-1,399,165,0,10,0,7,236326,0,3251,0,0,0,0
在2v2競技場賽程中獲得2000點個人積分。,只有我倆：2000,,401,-1,-1,400,165,0,10,0,8,236327,0,3744,0,0,0,0
在3v3競技場賽程中獲得1550點個人積分。,三人成行：1550,,402,-1,-1,0,165,0,10,0,10,236330,0,2080,0,0,0,0
在3v3競技場賽程中獲得1750點個人積分。,三人成行：1750,,403,-1,-1,402,165,0,10,0,11,236333,0,5747,0,0,0,0
在5v5競技場賽程中獲得2000點個人積分。,五強聚首：2000,,404,-1,-1,407,15270,0,0,2048,124,236341,0,3349,0,0,0,0
在3v3競技場賽程中獲得2000點個人積分。,三人成行：2000,,405,-1,-1,403,165,0,10,0,12,236334,0,7093,0,0,0,0
在5v5競技場賽程中獲得1550點個人積分。,五強聚首：1550,,406,-1,-1,0,15270,0,0,2048,122,236337,0,5297,0,0,0,0
在5v5競技場賽程中獲得1750點個人積分。,五強聚首：1750,,407,-1,-1,406,15270,0,0,2048,123,236340,0,2464,0,0,0,0
在積分賽中連勝十場。,熱門連勝,,408,-1,-1,0,165,0,10,0,16,135805,0,10115,0,0,0,0
成為等級80的5v5積分賽終場的唯一倖存者。,最後存活者,,409,-1,-1,0,15270,0,0,2048,126,135981,0,2071,0,0,0,0
2005年加州安那罕BlizzCon莫奇的光榮擁有人。,莫奇,,411,-1,-1,0,15268,1,0,133120,1,132834,0,4398,0,0,0,0
2007年加州安那罕BlizzCon魚人裝束的光榮擁有人。,魚人裝束,,412,-1,-1,0,15268,1,0,133120,2,134169,0,4046,0,0,0,0
2008年法國巴黎WWI泰瑞爾之柄的光榮擁有人。,泰瑞爾之柄,,414,-1,-1,0,15268,1,0,133120,3,135277,0,1119,0,0,0,0
2008年BlizzCon暴風雪大熊的光榮擁有人。,暴風雪大熊,,415,-1,-1,0,15268,1,0,133120,4,298586,0,1043,0,0,0,0
打開安其拉之門。,聖甲蟲領主,,416,-1,-1,0,15269,0,0,264192,59,236829,0,1735,0,0,0,0
取得殘忍鬥士頭銜。,殘忍鬥士,,418,-1,-1,0,15270,0,0,2048,127,236534,0,2936,0,0,0,0
取得仇恨鬥士頭銜。,仇恨鬥士,,419,-1,-1,0,15270,0,0,2048,128,236535,0,189,0,0,0,0
取得野蠻鬥士頭銜。,野蠻鬥士,,420,-1,-1,0,15270,0,0,2048,129,236536,0,4217,0,0,0,0
獲得一顆紅色其拉共鳴水晶。,問我為什麼?因為它是紅色的,,424,-1,-1,0,15269,1,0,133120,56,134396,0,3753,0,0,0,0
