DisplayName_lang,VerboseName_lang,ID,ClassID,SubClassID,AuctionHouseSortOrder,PrerequisiteProficiency,Flags,DisplayFlags,WeaponSwingSize,PostrequisiteProficiency
耐力,,121,3,3,4,-1,0,1,0,-1
精神,,122,3,4,5,-1,0,3,0,-1
致命一擊,,123,3,5,6,-1,0,1,0,-1
精通,,124,3,6,7,-1,0,1,0,-1
加速,,125,3,7,8,-1,0,1,0,-1
臨機應變,,126,3,8,9,-1,0,1,0,-1
精煉藥劑與藥瓶,,131,0,3,0,-1,0,1,0,-1
卷軸(廢棄),,132,0,4,0,-1,0,3,0,-1
食物和飲料,,133,0,5,0,-1,0,1,0,-1
物品附魔(廢棄),,134,0,6,0,-1,0,3,0,-1
繃帶,,135,0,7,0,-1,0,1,0,-1
其他,,136,0,8,10,-1,0,1,0,-1
布料,,137,7,5,0,-1,0,1,0,-1
皮革,,138,7,6,0,-1,0,1,0,-1
金屬與石頭,,139,7,7,0,-1,0,1,0,-1
烹飪,,140,7,8,0,-1,0,1,0,-1
草藥,,141,7,9,0,-1,0,1,0,-1
元素,,142,7,10,20,-1,0,1,0,-1
其他,,143,7,11,30,-1,0,1,0,-1
施法材料,,144,15,1,0,-1,0,1,0,-1
寵物夥伴,,145,15,2,0,-1,0,1,0,-1
節慶用品,,146,15,3,0,-1,0,1,0,-1
其他,,147,15,4,30,-1,0,1,0,-1
附魔,,148,7,12,0,-1,0,1,0,-1
製皮包,,149,1,7,0,-1,0,0,0,-1
原料(廢棄),,150,7,13,0,-1,0,3,0,-1
坐騎,坐騎,152,15,5,0,-1,0,0,0,-1
戰士,戰士,153,16,1,0,-1,0,0,0,-1
聖騎士,聖騎士,154,16,2,0,-1,0,0,0,-1
獵人,獵人,155,16,3,0,-1,0,0,0,-1
盜賊,盜賊,156,16,4,0,-1,0,0,0,-1
牧師,牧師,157,16,5,0,-1,0,0,0,-1
薩滿,薩滿,158,16,7,0,-1,0,0,0,-1
法師,法師,159,16,8,0,-1,0,0,0,-1
術士,術士,160,16,9,0,-1,0,0,0,-1
德魯伊,德魯伊,161,16,11,0,-1,0,0,0,-1
死亡騎士,死亡騎士,162,16,6,0,-1,0,0,0,-1
物品附魔(廢棄),,163,7,14,0,-1,0,3,0,-1
武器附魔 - 廢棄,武器附魔 - 廢棄,164,7,15,0,-1,0,3,0,-1
符印,符印,165,4,10,0,-1,0,2,0,-1
銘文包,,167,1,8,0,-1,0,0,0,-1
銘文,銘文,168,9,11,0,-1,0,1,0,-1
其他,,169,3,9,10,-1,0,1,0,-1
多項屬性,,170,3,10,11,-1,0,0,0,-1
釣餌箱,,171,1,9,0,-1,0,0,0,-1
聖物,,173,4,11,0,-1,0,2,0,-1
武僧,武僧,177,16,10,0,-1,0,0,0,-1
戰寵,戰寵,178,17,0,0,-1,0,0,0,-1
烹飪包,烹飪包,179,1,10,0,-1,0,0,0,-1
魔獸代幣,,180,18,0,0,-1,0,0,0,-1
鑰石,,181,5,1,0,-1,0,1,0,-1
惡魔獵人,惡魔獵人,183,16,12,0,-1,0,0,0,-1
梵陀符文,,184,0,9,0,-1,0,1,0,-1
銘文,,185,7,16,0,-1,0,1,0,-1
爆裂物與裝置(廢棄),,186,7,17,11,-1,0,3,0,-1
神兵聖物,,187,3,11,0,-1,0,1,0,-1
頸部,,188,8,1,0,-1,0,1,0,-1
肩部,,189,8,2,0,-1,0,1,0,-1
披風,,190,8,3,0,-1,0,1,0,-1
胸部,,191,8,4,0,-1,0,1,0,-1
手腕,,192,8,5,0,-1,0,1,0,-1
手部,,193,8,6,0,-1,0,1,0,-1
腰部,,194,8,7,0,-1,0,1,0,-1
腿部,,195,8,8,0,-1,0,1,0,-1
腳部,,196,8,9,0,-1,0,1,0,-1
手指,,197,8,10,0,-1,0,1,0,-1
武器,,198,8,11,0,-1,0,1,0,-1
雙手武器,,199,8,12,0,-1,0,1,0,-1
盾牌/副手,,200,8,13,0,-1,0,1,0,-1
雜項,,201,8,14,0,-1,0,1,0,-1
坐騎裝備,,326,15,6,0,-1,0,0,0,-1
額外材料,,327,7,18,25,-1,0,1,0,-1
脈絡標記,,328,5,2,0,-1,0,1,0,-1
鍛造,,329,19,0,0,-1,0,0,0,-1
製皮,,330,19,1,0,-1,0,0,0,-1
鍊金術,,331,19,2,0,-1,0,0,0,-1
草藥學,,332,19,3,0,-1,0,0,0,-1
烹飪,,333,19,4,0,-1,0,0,0,-1
採礦,,334,19,5,0,-1,0,0,0,-1
裁縫,,335,19,6,0,-1,0,0,0,-1
工程學,,336,19,7,0,-1,0,0,0,-1
附魔,,337,19,8,0,-1,0,0,0,-1
釣魚,,338,19,9,0,-1,0,0,0,-1
剝皮,,339,19,10,0,-1,0,0,0,-1
珠寶設計,,340,19,11,0,-1,0,0,0,-1
銘文,,341,19,12,0,-1,0,0,0,-1
考古學,,342,19,13,0,-1,0,0,0,-1
最後加工材料,,343,7,19,25,-1,0,1,0,-1
材料袋,,344,1,11,0,-1,0,0,0,-1
通用珍品,,345,0,10,0,-1,0,2,0,-1
戰鬥珍品,,346,0,11,0,-1,0,2,0,-1
