ID,Header_lang,TopLeftFeatureTitle_lang,TopLeftFeatureDesc_lang,BottomLeftFeatureTitle_lang,BottomLeftFeatureDesc_lang,RightFeatureTitle_lang,RightFeatureDesc_lang,AllianceQuestID,HordeQuestID,ScreenType,TextureKitID,SoundKitID,PlayerConditionID,CharLevelConditionID,RequiredTimeEventPassed
48,《巨龍崛起》前夕全新內容！,風暴來襲,勇闖席捲艾澤拉斯各地的風暴，消滅作亂的強大元素生物。,奧達曼,深入奧達曼的新區域，捍衛龍族的未來。,半龍人喚能師,艾澤拉斯最新的種族與職業已經覺醒，以龍族之力重創對手或是醫治盟友。,0,0,0,5483,0,0,104814,262
49,《巨龍崛起》全新內容！,專業技能更新,全新的製作訂單、裝備、專精系統，以及更多內容！,飛龍騎術,在巨龍群島的天空翱翔，體驗嶄新刺激的飛行操作系統！,巨龍群島,前往巨龍的古老家園，協助他們重返榮耀！,67700,65444,0,5484,0,0,104813,254
50,第1季新內容！,PvP第1季,在全新的單人隨機積分賽模式中取得獎勵。,傳奇鑰石難度：第1賽季,全新地城輪替和「雷霆」詞綴等你來體驗。,洪荒化身牢獄,阻止洪荒使者釋放菈薩葛絲被囚禁的同胞。,0,0,0,5492,0,0,104738,260
55,10.0.5版本全新內容！,風暴之怒,在洪荒使者未來對抗洪荒使者可獲得史詩級的獎勵。,塑形更新,白色和灰色物品現在可用於塑形！,貿易站盛大開幕！,新的造型商店已於暴風城和奧格瑪開幕。,0,0,0,5529,0,0,104814,343
56,10.0.7版本全新內容！,人類和獸人傳承,探索這些種族的文化和歷史時，順便收集獨特的護甲套裝。,招兵買馬召集令更新,帶著你的朋友來艾澤拉斯，獲得驚人的全新獎勵！,返回禁忌之境,探究半龍人在逃難時留下的謎題。,74381,74381,0,5514,0,0,104814,362
57,10.1.0版本全新內容！,盤旋滑龍,騎乘新的原生飛龍騎術坐騎，快速穿梭於扎拉萊克洞窟！,跨陣營公會,有始以來第一次，部落和聯盟的玩家可以加入同一個公會！,扎拉萊克洞窟,繼續進行碎裂火焰軍的故事線，在這個被遺忘的地底世界迎戰洪荒化身的部隊。,72975,72975,0,5532,0,0,104814,364
58,第2季新內容！,巨龍崛起第2賽季,在傳奇鑰石地城與PvP獲得全新獎勵,傳奇鑰石重置,體驗全新強化和煥然一新的傳奇鑰石地城池！,『朧影實驗場』亞貝魯斯,在這座古老的實驗室中追擊沙卡瑞斯，探索奈薩里奧的遺產。,0,0,1,5533,0,0,104738,294
59,10.1.5版本全新內容！,解鎖強化,全新傷害專精搭配獨特的支援型玩法！,崩壞的時間之道,在紀元邊境和時間裂隙援助青銅龍軍團！,恆龍黎明,在大型傳奇地城中迎戰恆龍軍團！,0,0,0,5540,0,0,104814,379
60,10.1.7版本全新內容！,夜精靈和被遺忘者傳承護甲,探索這些種族的文化和歷史時，順便收集獨特的護甲套裝。,隆重推出指示系統,查看選項功能表，開始使用指示來快速溝通。,夢境湧現,在埃達希爾盛開之際，在巨龍群島對抗被夢境強化的敵人！,0,0,0,5548,0,0,104814,422
61,10.2.0版本全新內容！,夢境守護者,以新的名望、事件和獎勵，一起加入守護夢境的行列。,戰場閃擊戰,加入8v8單人佇列戰場，體驗這個模式的步調有多快！,翡翠夢境,進入夢境，從菲拉卡和火焰德魯伊的魔掌中保護綻放的世界樹埃達希爾。,0,0,0,5553,0,0,104814,470
62,第3季新內容！,巨龍崛起第3賽季,在傳奇鑰石地城與PvP獲得全新獎勵！,寶庫更新,英雄、傳奇和時光漫遊地城現在會解鎖寶庫獎勵。,『夢境希望』埃達希爾,阻止菲拉卡吞噬埃達希爾，不能任由他把翡翠夢境化為滿是火海的荒地。,0,0,1,5553,0,0,104738,350
63,10.2.5版本全新內容！,艾澤拉斯文庫,深入探索巨龍群島失落的軼事和傳說。,追隨者地城,和非玩家追隨者一同進入巨龍崛起地城佇列！,奪回吉爾尼斯,和吉恩‧葛雷邁恩以及吉爾尼斯人一起奪回他們的家園。,78596,78597,0,5548,0,0,104814,535
64,第4季新內容！,巨龍崛起第4賽季,獲得全新獎勵。,更新的地城進度,英雄、傳奇和傳奇鑰石難度及獎勵重製。,覺醒團隊副本,征服全部三個巨龍崛起團隊副本以獲得更新後的獎勵！,0,0,1,5566,0,0,104738,353
68,,獲得獎勵,收集劫掠品來獲得坐騎、寵物和塑形等獎勵！,開始遊玩,若想遊玩，請登出並在角色選擇畫面選擇強襲風暴。,強襲風暴,海盜們在磅礡的大逃殺中相互廝殺！,0,0,0,5572,0,0,104814,587
69,10.2.7潘達利亞之謎：混搭再造,獲得帳號獎勵,收集青銅幣來獲得坐騎、寵物及外觀！,開始遊玩,在角色選擇畫面中創建新的時光奔走者。,潘達利亞之謎：混搭再造,體驗不同於以往的《潘達利亞之謎》！,0,0,1,5582,0,0,104814,570
70,10.2.7版本全新內容,德萊尼與食人妖傳承,探索他們的文化與歷史，同時收集獨特的護甲套裝。,潘達利亞混搭再造,下週開始就會有狂野的升級方法！,黑暗先驅者,隨著和平重返巨龍群島，一項黑暗的計畫展開了。,0,0,1,5583,0,0,104814,582
71,《地心之戰》前夕全新內容！,璀璨回音,在回憶重新湧現時消滅艾澤拉斯的過往之敵。於8月1日開放！,地心之戰即將推出,8月27日上市(8月23日搶先體驗)。,戰隊,你的角色可共享戰隊銀行、巨龍崛起聲望等！,0,0,0,5624,0,0,104814,705
72,《地心之戰》全新內容！,探究,深入探究、解開謎團及尋找寶藏。,英雄天賦,拓展你的職業風格，自訂你的天賦配置！,地心之戰,前往卡茲阿爾加，響應璀璨之歌的呼喚！,0,0,0,5632,0,0,104814,606
73,第1賽季新內容！,第1賽季開跑,在傳奇難度地城和新的積分戰場閃擊戰中獲得獎勵！,奈幽巴宮殿,進攻安蘇芮克女王在阿茲-卡罕特的王座。,澤克維爾巢穴,在全新賽季探究內容中一路推進，解鎖澤克維爾巢穴。,84224,84224,0,5651,0,0,104814,574
74,11.0.5版本全新內容！,半龍人職業擴充,以半龍人戰士、牧師、法師、術士、盜賊或獵人之姿加入戰鬥！,艾澤拉斯時光漫遊,重溫經典地城：死亡礦坑、祖爾法拉克、厄運之槌和斯坦索姆。,魔獸世界20週年紀念,參加慶祝活動！幫助克羅米準備一場史詩旅程。與茉艾拉突襲黑石深淵。還有更多精彩內容！,82672,82672,0,5650,0,0,129656,711
75,11.0.7版本全新內容！,不散暗影,繼續進行故事，在黑暗中揭露一張熟悉的老面孔。,查看你的日曆,冬幕節、動盪的時間之道、強襲風暴等更多活動即將登場！,海妖島,回應海妖島的召喚！面對過去的敵人、解開全新的謎團，並獲得強大的物品！,0,0,0,5658,0,0,132472,958
76,11.1.0版本全新內容！,D.R.I.V.E.,透過可自訂的斷頸者G-99，在幽坑城中體驗全新的移動方式！,自訂你的營地,在角色選擇畫面中創建新的營隊，還可以從一系列可解鎖的背景中選擇你喜歡的！,幽坑城,持續追擊薩拉塔斯，並在幽坑城的錯縱街道中對抗加里維克斯的勢力。,0,0,0,5686,0,0,104814,1057
77,第2季新內容！,探究更新,隆重推出全新獎勵、古董、新宿敵和最高難度中的改善獎勵！,第2季開始,更新地城與PvP獎勵、一個全新地城、水閘行動。,解放幽坑城,和集結的集團一起從加里維克斯手中解放幽坑城。,0,0,1,5689,0,0,136119,576
