ID,DisplayName_lang,Description_lang,Type,Cost_Modifier,Race,Sex,Data
327,山羊鬍,,2,0.75,4,0,5
349,禿頭,,0,1,3,0,0
350,長,,0,1,3,0,1
351,馬尾,,0,1,3,0,2
352,短,,0,1,3,0,3
353,沖天炮,,0,1,3,0,4
354,短馬尾,,0,1,3,0,5
355,後梳,,0,1,3,0,6
356,髮線後退,,0,1,3,0,7
357,武士頭,,0,1,3,0,8
358,辮子,,0,1,3,0,9
359,短辮子,,0,1,3,0,10
370,厚重,,2,0.75,3,0,0
371,雙辮子,,2,0.75,3,0,1
372,精心修飾,,2,0.75,3,0,2
373,短,,2,0.75,3,0,3
374,大鬍子,,2,0.75,3,0,4
375,辮狀鬍鬚,,2,0.75,3,0,5
376,時尚,,2,0.75,3,0,6
377,尖鬍,,2,0.75,3,0,7
378,辮狀,,2,0.75,3,0,8
379,假鬍子,,2,0.75,3,0,9
380,怪鬍子,,2,0.75,3,0,10
413,沖天炮,,0,1,2,1,0
414,馬尾,,0,1,2,1,1
415,冠毛,,0,1,2,1,2
416,分束,,0,1,2,1,3
417,野豬尾,,0,1,2,1,4
418,雙角髻,,0,1,2,1,5
419,毛鬃,,0,1,2,1,6
420,剃毛,,0,1,2,1,7
429,無穿孔,,2,0.75,2,1,0
430,耳環,,2,0.75,2,1,1
431,上部耳環,,2,0.75,2,1,2
432,鼻環,,2,0.75,2,1,3
433,鼻子和耳環,,2,0.75,2,1,4
434,鼻子和上部耳環,,2,0.75,2,1,5
435,全部都穿環,,2,0.75,2,1,6
459,雙辮子,,0,1,3,1,0
460,辮髻,,0,1,3,1,1
461,辮狀,,0,1,3,1,2
462,野豬尾,,0,1,3,1,3
463,辮髻,,0,1,3,1,4
464,圈圈,,0,1,3,1,5
465,繫帶,,0,1,3,1,6
466,短,,0,1,3,1,7
467,分線,,0,1,3,1,8
468,短辮子,,0,1,3,1,9
469,鮑伯頭,,0,1,3,1,10
470,剪短,,0,1,3,1,11
471,瀏海與辮子,,0,1,3,1,12
472,聚攏,,0,1,3,1,13
483,無穿孔,,2,0.75,3,1,0
484,耳環,,2,0.75,3,1,1
485,上部耳環,,2,0.75,3,1,2
486,雙上部耳環,,2,0.75,3,1,3
487,鼻環,,2,0.75,3,1,4
488,小耳環,,2,0.75,3,1,5
519,高塔形,,0,1,7,1,0
520,萌萌頭,,0,1,7,1,1
521,野豬尾,,0,1,7,1,2
522,分線,,0,1,7,1,3
523,緊貼,,0,1,7,1,4
524,辮髻,,0,1,7,1,5
525,鮑伯頭,,0,1,7,1,6
535,無穿孔,,2,0.75,7,1,0
536,耳環,,2,0.75,7,1,1
537,小耳環,,2,0.75,7,1,2
538,上部耳環,,2,0.75,7,1,3
539,全部都穿環,,2,0.75,7,1,4
540,左邊耳環,,2,0.75,7,1,5
541,右邊耳環,,2,0.75,7,1,6
565,禿頭,,0,1,7,0,0
566,翼形,,0,1,7,0,1
567,精心修飾,,0,1,7,0,2
568,高聳直立,,0,1,7,0,3
569,時尚,,0,1,7,0,4
570,漸禿,,0,1,7,0,5
571,瞞天過海,,0,1,7,0,6
581,清爽,,2,0.75,7,0,0
582,山羊鬍,,2,0.75,7,0,1
583,兩頰,,2,0.75,7,0,2
584,蠟鬍,,2,0.75,7,0,3
585,鉤鬍,,2,0.75,7,0,4
586,龍鬚,,2,0.75,7,0,5
587,時尚,,2,0.75,7,0,6
588,大鬍鬚,,2,0.75,7,0,7
613,禿頭,,0,1,5,0,0
614,怪頭,,0,1,5,0,1
615,亂糟糟,,0,1,5,0,2
616,束髮,,0,1,5,0,3
617,刺蝟頭,,0,1,5,0,4
618,狂野,,0,1,5,0,5
619,學者,,0,1,5,0,6
620,厚重,,0,1,5,0,7
621,沖天炮,,0,1,5,0,8
622,長,,0,1,5,0,9
633,完整,,2,0.75,5,0,0
634,腐斑,,2,0.75,5,0,1
635,皮帶捆住,,2,0.75,5,0,2
636,捆住的鬆下巴,,2,0.75,5,0,3
637,捆住的嘴角,,2,0.75,5,0,4
638,爛斑,,2,0.75,5,0,5
639,腐爛的鬆下巴,,2,0.75,5,0,6
640,腐爛的嘴角,,2,0.75,5,0,7
641,骨顎,,2,0.75,5,0,8
642,戽斗,,2,0.75,5,0,9
643,露齒,,2,0.75,5,0,10
644,露齒的鬆下巴,,2,0.75,5,0,11
645,粗糙,,2,0.75,5,0,12
646,粗糙的鬆下巴,,2,0.75,5,0,13
647,腐化,,2,0.75,5,0,14
648,腐化的鬆下巴,,2,0.75,5,0,15
649,腐化的嘴角,,2,0.75,5,0,16
687,狂野,,0,1,5,1,0
688,亂糟糟,,0,1,5,1,1
689,蓬鬆,,0,1,5,1,2
690,怒髮衝冠,,0,1,5,1,3
691,長,,0,1,5,1,4
692,新娘頭,,0,1,5,1,5
693,男生頭,,0,1,5,1,6
694,時尚,,0,1,5,1,7
695,鮑伯頭,,0,1,5,1,8
696,緊貼,,0,1,5,1,9
707,完整,,2,0.75,5,1,0
708,縫接,,2,0.75,5,1,1
709,皮帶捆住,,2,0.75,5,1,2
710,爛斑,,2,0.75,5,1,3
711,骨顎,,2,0.75,5,1,4
712,露齒,,2,0.75,5,1,5
713,粗糙,,2,0.75,5,1,6
714,腐化,,2,0.75,5,1,7
743,長角,,0,1,6,0,0
744,雄壯,,0,1,6,0,1
745,戰騎,,0,1,6,0,2
746,斷裂,,0,1,6,0,3
747,折斷,,0,1,6,0,4
748,細,,0,1,6,0,5
749,水牛,,0,1,6,0,6
750,牴角,,0,1,6,0,7
754,清爽,,2,0.75,6,0,0
755,三辮子,,2,0.75,6,0,1
756,穿環,,2,0.75,6,0,2
757,辮子,,2,0.75,6,0,3
758,鉤鬍,,2,0.75,6,0,4
759,雙辮子,,2,0.75,6,0,5
760,穿環和編辮,,2,0.75,6,0,6
779,禿頭,,0,1,2,0,0
780,沖天炮,,0,1,2,0,1
781,武士頭,,0,1,2,0,2
782,冠毛,,0,1,2,0,3
783,長髮武士頭,,0,1,2,0,4
784,辮狀,,0,1,2,0,5
785,馬尾,,0,1,2,0,6
794,清爽,,2,0.75,2,0,0
795,粗直,,2,0.75,2,0,1
796,修剪過的鬍子,,2,0.75,2,0,2
797,簡短的鬍子,,2,0.75,2,0,3
798,狂野鬍鬚,,2,0.75,2,0,4
799,細辮子,,2,0.75,2,0,5
800,雙辮子,,2,0.75,2,0,6
801,頰辮,,2,0.75,2,0,7
802,細辮子,,2,0.75,2,0,8
803,兩頰,,2,0.75,2,0,9
804,分束,,2,0.75,2,0,10
831,角狀,,0,1,6,1,0
832,低,,0,1,6,1,1
833,長,,0,1,6,1,2
834,上翹,,0,1,6,1,3
835,小,,0,1,6,1,4
836,寬,,0,1,6,1,5
837,水牛,,0,1,6,1,6
841,毛鬃狀,,2,0.75,6,1,0
842,辮子,,2,0.75,6,1,1
843,環形,,2,0.75,6,1,2
844,馬尾,,2,0.75,6,1,3
845,分束,,2,0.75,6,1,4
861,長,,0,1,4,1,0
862,蓬鬆馬尾,,0,1,4,1,1
863,短,,0,1,4,1,2
864,高馬尾,,0,1,4,1,3
865,辮狀雙馬尾,,0,1,4,1,4
866,短馬尾,,0,1,4,1,5
867,辮狀馬尾,,0,1,4,1,6
876,熊形,,2,0.75,4,1,0
877,刃形,,2,0.75,4,1,1
878,鶴形,,2,0.75,4,1,2
879,葉形,,2,0.75,4,1,3
880,爪形,,2,0.75,4,1,4
881,翼形,,2,0.75,4,1,5
882,蛇形,,2,0.75,4,1,6
883,貓頭鷹形,,2,0.75,4,1,7
884,暗影,,2,0.75,4,1,8
885,無紋面,,2,0.75,4,1,9
911,禿頭,,0,1,8,0,0
912,髮線後退,,0,1,8,0,1
913,冠毛,,0,1,8,0,2
914,怒髮衝冠,,0,1,8,0,3
915,沖天炮,,0,1,8,0,4
916,馬尾,,0,1,8,0,5
927,獠牙狀,,2,0.75,8,0,0
928,圓鑿狀,,2,0.75,8,0,1
929,長毛象牙,,2,0.75,8,0,2
930,上翹,,2,0.75,8,0,3
931,馬轡狀,,2,0.75,8,0,4
932,獠牙面具,,2,0.75,8,0,5
933,戰紋圓鑿狀,,2,0.75,8,0,6
934,條紋長毛象牙,,2,0.75,8,0,7
935,有色上翹狀,,2,0.75,8,0,8
936,有色馬轡狀,,2,0.75,8,0,9
937,斑點長毛象牙,,2,0.75,8,0,10
965,辮子,,0,1,8,1,0
966,高馬尾,,0,1,8,1,1
967,後梳辮子頭,,0,1,8,1,2
968,沖天炮,,0,1,8,1,3
969,辮狀冠毛,,0,1,8,1,4
980,點狀,,2,0.75,8,1,0
981,短,,2,0.75,8,1,1
982,直,,2,0.75,8,1,2
983,上翹,,2,0.75,8,1,3
984,長,,2,0.75,8,1,4
985,鬼獠牙,,2,0.75,8,1,5
1012,王子,,0,1,1,0,12
1013,尖刺,,0,1,1,0,13
1014,後梳,,0,1,1,0,14
1015,狐尾,,0,1,1,0,15
1016,光亮,,0,1,1,0,16
1017,時尚,,0,1,10,1,14
1018,精巧繁複,,0,1,10,1,15
1019,露頸,,0,1,10,1,16
1020,野豬尾,,0,1,10,1,17
1021,瀏海,,0,1,10,1,18
1022,無穿孔,,2,0.75,10,1,0
1029,毛鬃,,0,1,10,0,11
1030,髮髻辮子,,0,1,10,0,12
1031,馬尾,,0,1,10,0,13
1032,怒髮衝冠,,0,1,10,0,14
1033,長髮髻,,0,1,10,0,15
1034,刺蝟頭,,0,1,11,0,9
1035,背矛,,0,1,11,0,10
1036,角狀狐尾,,0,1,11,0,11
1037,沖天炮,,0,1,11,0,12
1038,視覺系,,0,1,11,0,13
1039,髮帶,,0,1,11,1,11
1040,高貴,,0,1,11,1,12
1041,半遮面,,0,1,11,1,13
1042,高馬尾,,0,1,11,1,14
1043,緊貼,,0,1,11,1,15
1044,野蠻人,,0,1,3,0,11
1045,士兵,,0,1,3,0,12
1046,學者,,0,1,3,0,13
1047,桂冠,,0,1,3,0,14
1048,驚人,,0,1,3,0,15
1049,圓髻,,0,1,3,1,14
1050,花俏,,0,1,3,1,15
1051,捲髮鮑伯,,0,1,3,1,16
1052,辮狀雙馬尾,,0,1,3,1,17
1053,辮狀馬尾,,0,1,3,1,18
1054,怒髮衝冠,,0,1,7,0,7
1055,亂糟糟,,0,1,7,0,8
1056,怪頭,,0,1,7,0,9
1057,蓬鬆,,0,1,7,0,10
1058,狂野,,0,1,7,0,11
1059,短,,0,1,7,1,7
1060,可愛,,0,1,7,1,8
1061,馬尾,,0,1,7,1,9
1062,圈圈,,0,1,7,1,10
1063,繫帶,,0,1,7,1,11
1064,光亮,,0,1,1,1,19
1065,時尚,,0,1,1,1,20
1066,捲曲,,0,1,1,1,21
1067,瑞秋頭,,0,1,1,1,22
1068,簡單,,0,1,1,1,23
1069,短辮狀馬尾,,0,1,4,0,7
1070,狂野,,0,1,4,0,8
1071,辮狀馬尾,,0,1,4,0,9
1072,怪頭,,0,1,4,0,10
1073,長辮狀馬尾,,0,1,4,0,11
1074,髮帶,,0,1,4,1,7
1075,緊貼,,0,1,4,1,8
1076,男生頭,,0,1,4,1,9
1077,聚攏,,0,1,4,1,10
1078,圈圈,,0,1,4,1,11
1079,刺蝟頭,,0,1,2,0,7
1080,怪頭,,0,1,2,0,8
1081,整齊沖天炮,,0,1,2,0,9
1082,長,,0,1,2,0,10
1083,狂野,,0,1,2,0,11
1084,狂野,,0,1,2,1,8
1085,時尚,,0,1,2,1,9
1086,男生頭,,0,1,2,1,10
1087,輕飄飄,,0,1,2,1,11
1088,尖蓋,,0,1,6,0,8
1089,捲曲,,0,1,6,0,9
1090,加蓋,,0,1,6,0,10
1091,豎形,,0,1,6,0,11
1092,環狀,,0,1,6,0,12
1093,戰騎,,0,1,6,1,7
1094,折斷,,0,1,6,1,8
1095,圓鑿狀,,0,1,6,1,9
1096,緊閉,,0,1,6,1,10
1097,粗短,,0,1,6,1,11
1098,辮子,,0,1,8,0,6
1099,羽毛,,0,1,8,0,7
1100,髒亂,,0,1,8,0,8
1101,怪頭,,0,1,8,0,9
1102,叢林風,,0,1,8,1,5
1103,辮子盤頭,,0,1,8,1,6
1104,怪頭,,0,1,8,1,7
1105,莫塔頭,,0,1,8,1,8
1106,仿鷹式,,0,1,8,1,9
1107,後梳,,0,1,5,0,10
1108,僧侶,,0,1,5,0,11
1109,高,,0,1,5,0,12
1110,野蠻人,,0,1,5,0,13
1111,短,,0,1,5,0,14
1112,野豬尾,,0,1,5,1,10
1113,分線,,0,1,5,1,11
1114,短,,0,1,5,1,12
1115,蓬亂,,0,1,5,1,13
1116,萌萌頭,,0,1,5,1,14
1117,長,,0,1,2,1,12
1120,,,3,10,6,0,0
1121,,,3,10,6,0,1
1122,,,3,10,6,0,2
1123,,,3,10,6,0,3
1124,,,3,10,6,0,4
1125,,,3,10,6,0,5
1126,,,3,10,6,0,6
1127,,,3,10,6,0,7
1128,,,3,10,6,0,8
1129,,,3,10,6,0,9
1130,,,3,10,6,0,10
1131,,,3,10,6,0,11
1132,,,3,10,6,0,12
1133,,,3,10,6,0,13
1134,,,3,10,6,0,14
1135,,,3,10,6,0,15
1136,,,3,10,6,0,16
1137,,,3,10,6,0,17
1138,,,3,10,6,0,18
1139,,,3,10,6,1,0
1140,,,3,10,6,1,1
1141,,,3,10,6,1,2
1142,,,3,10,6,1,3
1143,,,3,10,6,1,4
1144,,,3,10,6,1,5
1145,,,3,10,6,1,6
1146,,,3,10,6,1,7
1147,,,3,10,6,1,8
1148,,,3,10,6,1,9
1149,,,3,10,6,1,10
1150,鑲珠馬尾,,0,1,22,0,0
1151,狂野,,0,1,22,0,1
1152,兩頰,,0,1,22,0,2
1153,髒亂,,0,1,22,0,3
1154,鑲珠分束,,0,1,22,0,5
1155,清爽,,2,0.75,22,0,0
1156,毛鬃,,0,1,22,1,0
1157,清爽,,2,0.75,22,1,0
1158,沖天炮,,0,1,9,0,0
1159,搗亂,,0,1,9,0,1
1160,羊尾巴,,0,1,9,0,2
1161,滑頭,,0,1,9,0,3
1162,海盜,,0,1,9,0,4
1163,沖天炮與羊尾巴,,0,1,9,0,5
1164,漂亮女郎,,0,1,9,0,6
1165,怪頭,,0,1,9,0,7
1166,火爆浪子,,0,1,9,0,8
1167,髮髻,,0,1,9,0,9
1168,螺旋燙,,0,1,9,0,10
1169,惹人厭,,0,1,9,0,11
1170,管理階級,,0,1,9,0,12
1171,髒亂,,0,1,9,0,13
1172,流氓頭,,0,1,9,0,14
1173,髮捲,,0,1,9,0,15
1174,沖天炮與螺旋燙,,0,1,9,0,16
1175,髒亂髮髻,,0,1,9,0,17
1176,禿頭,,0,1,9,0,18
1177,隔環,,2,0.75,9,0,0
1178,鼻環,,2,0.75,9,0,1
1179,鼻環,,2,0.75,9,0,2
1180,簡單,,2,0.75,9,0,3
1181,飛揚的,,2,0.75,9,0,4
1182,高,,2,0.75,9,0,5
1183,垂尖,,2,0.75,9,0,6
1184,上方環,,2,0.75,9,0,7
1185,粗短,,2,0.75,9,0,8
1186,環和釘飾,,2,0.75,9,0,9
1187,穿洞,,2,0.75,9,0,10
1188,野豬尾,,0,1,9,1,0
1189,比薩斜塔,,0,1,9,1,1
1190,雙髮束,,0,1,9,1,2
1191,吹高上翹,,0,1,9,1,3
1192,可愛捲毛,,0,1,9,1,4
1193,仿鷹式,,0,1,9,1,5
1194,喇叭佳人,,0,1,9,1,6
1195,瀏海與髮束,,0,1,9,1,7
1196,躲貓貓女孩,,0,1,9,1,8
1197,壞女孩,,0,1,9,1,9
1198,怪人,,0,1,9,1,10
1199,倔強女孩,,0,1,9,1,11
1200,杯子蛋糕,,0,1,9,1,12
1201,高雅,,0,1,9,1,13
1202,俏皮,,0,1,9,1,14
1203,三髮髻,,0,1,9,1,15
1204,痞子,,0,1,9,1,16
1205,高,,2,0.75,9,1,0
1206,活潑的,,2,0.75,9,1,1
1207,簡單,,2,0.75,9,1,2
1208,黑瑪瑙和環,,2,0.75,9,1,3
1209,環,,2,0.75,9,1,4
1210,骨形,,2,0.75,9,1,5
1211,喙形,,2,0.75,9,1,6
1212,粗短,,2,0.75,9,1,7
1213,箍,,2,0.75,9,1,8
1214,骷髏,,2,0.75,9,1,9
1215,高環,,2,0.75,9,1,10
1223,,,3,10,6,1,11
1224,,,3,10,6,1,12
1225,,,3,10,6,1,13
1226,,,3,10,6,0,19
1227,,,3,10,6,0,20
1228,,,3,10,6,0,21
1229,馬尾盤頭,,0,1,22,0,4
1230,軟分束,,0,1,22,0,6
1231,辮狀雙馬尾,,0,1,22,0,7
1232,四團,,0,1,22,0,8
1233,尖刺,,0,1,22,0,9
1234,長辮子,,0,1,22,0,10
1237,斑白的,,2,0.75,22,0,1
1238,一束,,2,0.75,22,0,2
1239,山羊鬍,,2,0.75,22,0,3
1240,珠狀,,2,0.75,22,0,4
1241,飽受風霜的,,2,0.75,22,0,5
1242,破爛的,,2,0.75,22,0,6
1243,雙髮束,,2,0.75,22,0,7
1244,旁分,,2,0.75,22,0,8
1287,毛茸茸的,,2,0.75,22,1,1
1288,警覺的,,2,0.75,22,1,2
1289,尖形指針,,2,0.75,22,1,3
1290,圓滑指針,,2,0.75,22,1,4
1291,大,,2,0.75,22,1,5
1292,寬,,2,0.75,22,1,6
1293,簇飾,,2,0.75,22,1,7
1294,高,,2,0.75,22,1,8
1295,髒亂,,2,0.75,22,1,9
1296,小,,2,0.75,22,1,10
1297,塌耳,,2,0.75,22,1,11
1299,鑲珠,,0,1,22,1,1
1300,瀏海,,0,1,22,1,2
1301,時尚,,0,1,22,1,3
1302,散馬尾,,0,1,22,1,4
1303,散鬃,,0,1,22,1,5
1304,長辮子,,0,1,22,1,6
1305,厚重,,0,1,22,1,7
1306,短辮子,,0,1,22,1,8
1307,細辮子,,0,1,22,1,9
1308,厚重瀏海,,0,1,22,1,10
1309,厚重辮子,,0,1,22,1,11
1310,長毛鬃,,0,1,22,1,12
1311,左邊馬尾,,0,1,22,1,13
1312,雙馬尾,,0,1,22,1,14
1314,,,3,10,22,0,0
1315,,,3,10,22,0,1
1316,,,3,10,22,0,2
1317,,,3,10,22,0,3
1318,,,3,10,22,0,4
1319,,,3,10,22,1,0
1320,,,3,10,22,1,1
1321,,,3,10,22,1,2
1322,,,3,10,22,1,3
1323,,,3,10,22,1,4
1324,,,3,10,22,1,5
1325,,,3,10,22,1,6
1326,,,3,10,22,1,7
1327,,,3,10,22,1,8
1328,,,3,10,22,1,9
1329,,,3,10,22,1,10
1330,,,3,10,22,1,11
1331,髒亂辮子,,0,1,22,0,11
1332,毛鬃,,0,1,22,0,12
1367,短,,0,1,10,0,16
1368,辮狀馬尾,,0,1,10,1,19
1369,光亮,,0,1,11,1,16
1370,翼形,,0,1,3,1,19
1371,活潑圓髻,,0,1,3,1,20
1372,三重結,,0,1,3,0,16
1373,蓬亂,,0,1,3,0,17
1374,瞞天過海,,0,1,3,0,18
1375,瀏海與辮子,,0,1,7,1,12
1376,燃燒,,0,1,7,1,13
1377,捲毛,,0,1,7,0,12
1378,劍刃,,0,1,7,0,13
1379,仿鷹式,,0,1,7,0,14
1380,活潑圓髻,,0,1,4,1,12
1381,活潑馬尾,,0,1,4,1,13
1382,瀏海,,0,1,2,1,13
1384,辮狀鷹式,,0,1,2,1,14
1385,楔形,,0,1,2,0,12
1386,高,,0,1,6,1,12
1387,歐美加,,0,1,6,1,13
1388,往後梳,,0,1,6,1,14
1389,直髮結,,0,1,8,1,10
1390,往後吹,,0,1,8,1,11
1391,漸禿辮子,,0,1,8,0,10
1392,龍紋,,0,1,8,0,11
1393,坍塌仿鷹式,,0,1,8,0,12
1394,楔形,,0,1,5,0,15
1410,,,3,10,22,0,5
1411,,,3,10,22,0,6
1412,,,3,10,22,0,7
1603,光頭,,0,1,24,0,0
1605,沖天炮,,0,1,24,0,18
1607,怪頭,,0,1,24,0,1
1609,光亮,,0,1,24,0,2
1611,鑲珠馬尾,,0,1,24,0,3
1613,後梳頭,,0,1,24,0,4
1615,爆尾沖天炮,,0,1,24,0,6
1617,長沖天炮,,0,1,24,0,7
1619,後梳型沖天炮,,0,1,24,0,8
1621,蝴蝶結長辮,,0,1,24,0,9
1623,髮頂圓髻,,0,1,24,0,10
1625,高聳沖天炮,,0,1,24,0,5
1627,雞冠頭,,0,1,24,0,11
1629,披髮圓髻,,0,1,24,0,12
1631,髮髻,,0,1,24,0,13
1633,沖天炮盤頭,,0,1,24,0,14
1635,筷子圓髻,,0,1,24,0,15
1637,龐克頭,,0,1,24,0,16
1639,嘴上無毛,,2,0.75,24,0,0
1641,廟繩鬚,,2,0.75,24,0,1
1643,八字落腮鬍,,2,0.75,24,0,2
1645,鑲珠鬍鬚,,2,0.75,24,0,3
1647,成捆廟繩鬚,,2,0.75,24,0,4
1649,兩撇鑲珠鬍鬚,,2,0.75,24,0,5
1651,八字廟繩鬚,,2,0.75,24,0,6
1653,刺蝟鬍,,2,0.75,24,0,8
1655,弩張鬍,,2,0.75,24,0,9
1657,沈思鬍,,2,0.75,24,0,10
1659,結辮旗幟鬍,,2,0.75,24,0,11
1661,八字廟繩鬚,,2,0.75,24,0,12
1663,刀削鬍,,2,0.75,24,0,13
1665,旗幟鬍,,2,0.75,24,0,14
1667,兩頰廟繩鬚,,2,0.75,24,0,15
1669,長鰓鬚,,2,0.75,24,0,16
1671,三道短髭,,2,0.75,24,0,17
1673,廟索鬍,,2,0.75,24,0,20
1675,精巧八字鑲珠鬍鬚,,2,0.75,24,0,21
1677,廟索鬍,,2,0.75,24,0,22
1679,結辮長鬚,,2,0.75,24,0,23
1681,刀削鬍結辮長鬚,,2,0.75,24,0,24
1683,短毛剛鬚,,2,0.75,24,0,25
1685,三道廟繩鬚,,2,0.75,24,0,26
1687,八字小山羊鬍,,2,0.75,24,0,27
1689,八字鑲珠鬍鬚,,2,0.75,24,0,28
1691,兩撇長鬚,,2,0.75,24,0,29
1693,刀削廟索鬍,,2,0.75,24,0,30
1695,長落腮鬍,,2,0.75,24,0,7
1697,張飛鬍,,2,0.75,24,0,18
1699,刀削刺蝟鬍,,2,0.75,24,0,19
1701,束髮辮,,0,1,24,1,0
1703,筷子馬尾,,0,1,24,1,1
1705,簡易馬尾,,0,1,24,1,2
1707,辮狀馬尾,,0,1,24,1,3
1709,簪花盤頭,,0,1,24,1,4
1711,沖天炮,,0,1,24,1,5
